Than ^in++++=Than
in ^in++++=in
any ^dti++++=any
decent ^jj+atrb+++=decent
pickle ^nn+++??+=pickle;
; ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
bound ^jj++agls+xvbnx+=bound
to ^to+jcmp+++=to
confess ^nns+nom+++=confess
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
clothes ^nns++++=clothes
seem ^vb+seem+++=seem
always ^rb++++=always
as ^ql++++=as
dry ^vb++++=dry
and ^cc++++=and
comfortable ^jj++++=comfortable
as ^ql++++=as
my ^pp$+pp1+++=my
own ^ap++++=own.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
wish ^vb+vprv+++=wish
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
not ^xnot++not++=not
so ^rb++++=so
often ^rb++++=often
expose ^vb++++=expose
himself ^ppl+pp3+++=himself
in ^in++++=in
liquor ^nn++++=liquor.
. ^zz++++=EXTRAWORD
All ^abn++++=All
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
hitherto ^rb++splt++=hitherto
related ^vprf+++xvbnx+=related
may ^md+pos+++=may
be ^vb+be+aux++=be
classed ^vpsv++agls+xvbnx+=classed
among ^in++++=among
those ^dt+dem+++=those
little ^jj+atrb+++=little
personal ^jj+atrb+++=personal
oddities ^nns+nom+++=oddities
which ^whp+rel+subj++=which
agreeably ^rb++++=agreeably
diversify ^vb++++=diversify
the ^ati++++=the
surface ^nn++++=surface
of ^in++++=of
society ^nn++++=society,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
may ^md+pos+++=may
sometimes ^rb++++=sometimes
annoy ^nn+++??+=annoy
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
keep ^vb++++=keep
our ^pp$+pp1+++=our
daily ^jj+atrb+++=daily
intercourse ^nn+++??+=intercourse
fresher ^jjr++++=fresher
and ^cc+phrs+++=and
livelier ^jjr++++=livelier
than ^in++++=than
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
done ^vpsv++agls+xvbnx+=done
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
By ^in++++=By
an ^at++++=an
occasional ^jj+atrb+++=occasional
hint ^nn++++=hint,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
endeavored ^vprf+++xvbnx+=endeavored
to ^to+vcmp+++=to
pave ^vbi++++=pave
the ^ati++++=the
way ^nn++++=way
for ^in++++=for
stranger ^jjr+atrb+++=stranger
things ^nns++++=things
to ^to++++=to
come ^vbi++++=come,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
they ^pp3a+pp3+++=they
been ^vprf+ben+aux+xvbnx+=been
disclosed ^vpsv++agls+xvbnx+=disclosed
at ^rb++++=at
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
deemed ^vpsv++agls+xvbnx+=deemed
a ^at++++=a
shadow ^nn++++=shadow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
myself ^ppl+pp1+++=myself
a ^at++++=a
person ^nn++++=person
of ^in++++=of
no ^at++++=no
veracity ^nn+nom+++=veracity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
truthful ^jj+atrb+++=truthful
history ^nn++++=history
a ^at++++=a
fabulous ^jj+atrb+++=fabulous
legend ^nn++++=legend.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
that ^cs+sub+++=that
the ^ati++++=the
reader ^nn++++=reader
knows ^vbz+vprv+++=knows
me ^pp1o+pp1+++=me
worthy ^jj++++=worthy
of ^in++++=of
his ^pp$+pp3+++=his
confidence ^nn+nom+++=confidence,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
begin ^vb++++=begin
to ^to++++=to
make ^vbi++++=make
him ^pp3o+pp3+++=him
stare ^nn++++=stare.
. ^zz++++=EXTRAWORD
To ^to++++=To
speak ^vbi++++=speak
frankly ^rb+cnj+++=frankly,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
bring ^vb++++=bring
the ^ati++++=the
most ^ql+emph+++=most
astounding ^jj+atrb+++=astounding
proofs ^nns++++=proofs
that ^tht+rel+obj++=that
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir
is ^vbz+bez+vrb++=is
at ^rb++++=at
least ^rb"++++=least
a ^at++++=a
conjurer ^jjr++++=conjurer,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
not ^xnot++not++=not
one ^pn++++=one
of ^in++++=of
that ^dt+dem+++=that
unearthly ^jj+atrb+++=unearthly
tribe ^nn++++=tribe
with ^in++++=with
whom ^whp+rel+pied++=whom
conjurers ^nns+nom+++=conjurers
deal ^nn++++=deal.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+vrb++=has
inscrutable ^jj+atrb+++=inscrutable
methods ^nns++++=methods
of ^in++++=of
conveying ^xvbg+++xvbg+=conveying
himself ^ppl+pp3+++=himself
from ^in++++=from
place ^nn++++=place
to ^to++++=to
place ^vbi++++=place
with ^in++++=with
the ^ati++++=the
rapidity ^nn+nom+++=rapidity
of ^in++++=of
the ^ati++++=the
swiftest ^jjt+atrb+++=swiftest
steamboat ^nn+++??+=steamboat
or ^cc++++=or
rail ^nn++++=rail-car.
- ^zz++++=EXTRAWORD
car ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Brick ^nn++++=Brick
walls ^nns++++=walls
and ^cc++++=and
oaken ^jj+atrb++xvbn+=oaken
doors ^nns++++=doors
and ^cc++++=and
iron ^nn++++=iron
bolts ^nns++++=bolts
are ^vb+ber+vrb++=are
no ^at++++=no
impediment ^nn+nom+++=impediment
to ^in++++=to
his ^pp$+pp3+++=his
passage ^nn+nom+++=passage.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
in ^in++++=in
my ^pp$+pp1+++=my
chamber ^nn++++=chamber,
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
evening ^nn++++=evening
deepens ^nns+++??+=deepens
into ^in++++=into
night ^nn++++=night,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sit ^vb++++=sit
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
the ^ati++++=the
key ^nn++++=key
turned ^vbd+++xvbn+=turned
and ^cc+phrs+++=and
withdrawn ^vbd+++xvbn+=withdrawn
from ^in++++=from
the ^ati++++=the
lock ^nn++++=lock,
, ^zz++++=EXTRAWORD
the ^ati++++=the
keyhole ^nn++++=keyhole
stuffed ^vbd+++xvbn+=stuffed
with ^in++++=with
paper ^nn++++=paper
to ^to++++=to
keep ^vbi++++=keep
out ^rb+phrv+++=out
a ^at++++=a
peevish ^jj++++=peevish
little ^ap++++=little
blast ^nn++++=blast
of ^in++++=of
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
Yet ^rb+cnj+++=Yet,
, ^zz++++=EXTRAWORD
lonely ^jj++++=lonely
as ^ql++++=as
I ^pp1a+pp1+++=I
seem ^vb+seem+++=seem,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
I ^pp1a+pp1+++=I
to ^to++++=to
lift ^vbi++++=lift
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
lamps ^nns++++=lamps
and ^cc++++=and
step ^nn++++=step
five ^cd++++=five
paces ^nns++++=paces
eastward ^rb+cnj+++=eastward,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir
would ^md+prd+++=would
be ^vb+be+vrb++=be
sure ^jj+pred+++=sure
to ^to+jcmp+++=to
meet ^vbi++++=meet
me ^pp1o+pp1+++=me
with ^in++++=with
a ^at++++=a
lamp ^nn++++=lamp
also ^rb++++=also
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
were ^vbd+bed+vrb++=were
I ^pp1a+pp1+++=I
to ^to++++=to
take ^vbi++++=take
the ^ati++++=the
stage ^nn++++=stage-coach
- ^zz++++=EXTRAWORD
coach ^nn++++=EXTRAWORD
to ^to++++=to-morrow,
- ^zz++++=EXTRAWORD
morrow ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
without ^in++++=without
giving ^xvbg+++xvbg+=giving
him ^pp3o+pp3+++=him
the ^ati++++=the
least ^rbt++++=least
hint ^nn++++=hint
of ^in++++=of
my ^pp$+pp1+++=my
design ^nn++++=design,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
post ^nn++++=post
onward ^jjb++++=onward
till ^cs+sub+++=till
the ^ati++++=the
week ^nn++++=week's
's ^$++++=EXTRAWORD
end ^nn++++=end,
, ^zz++++=EXTRAWORD
at ^rb++++=at
whatever ^nn+nom+++=whatever
hotel ^nn++++=hotel
I ^pp1a+pp1+++=I
might ^md+pos+++=might
find ^vb+vprv+tht0++=find
myself ^ppl+pp1+++=myself
I ^pp1a+pp1+++=I
should ^md+nec+++=should
expect ^vb+vprv+++=expect
to ^to+vcmp+++=to
share ^vbi++++=share
my ^pp$+pp1+++=my
private ^jj+atrb+++=private
apartment ^nn+nom+++=apartment
with ^in++++=with
this ^dt+dem+++=this
inevitable ^jj+atrb+++=inevitable
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or,
, ^zz++++=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
a ^at++++=a
mere ^jjb+atrb+++=mere
wayward ^jj+atrb+++=wayward
fantasy ^nn++++=fantasy,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
I ^pp1a+pp1+++=I
to ^to++++=to
go ^vbi++++=go,
, ^zz++++=EXTRAWORD
by ^in++++=by
moonlight ^nn++++=moonlight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stand ^nn++++=stand
beside ^in+pl+++=beside
the ^ati++++=the
stone ^nn++++=stone
Pout ^nn++++=Pout
of ^in++++=of
the ^ati++++=the
Shaker ^np+++??+=Shaker
Spring ^vb++++=Spring
at ^rb++++=at
Canterbury ^np++++=Canterbury,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir
would ^md+prd+++=would
set ^xvbn+++xvbn+=set
forth ^rb+phrv+++=forth
on ^in++++=on
the ^ati++++=the
same ^ap++++=same
fool ^jjb+atrb+++=fool's
's ^vbz+bez+vrb++0=EXTRAWORD
errand ^nn++++=errand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
not ^xnot++not++=not
fail ^vb++++=fail
to ^to+vcmp+++=to
meet ^vbi++++=meet
me ^pp1o+pp1+++=me
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Shall ^md+prd+++=Shall
I ^pp1a+pp1+++=I
heighten ^vbd+++xvbnx+=heighten
the ^ati++++=the
reader ^nn++++=reader's
's ^$++++=EXTRAWORD
wonder ^nn++++=wonder?
? ^zz++++=EXTRAWORD
While ^cs+sub+++=While
writing ^vbg+++xvbg+=writing
these ^dt+dem+++=these
latter ^ap++++=latter
sentences ^nns+nom+++=sentences,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
happened ^vbd+++xvbnx+=happened
to ^to+vcmp+++=to
glance ^vb++++=glance
towards ^in++++=towards
the ^ati++++=the
large ^jj++++=large,
, ^zz++++=EXTRAWORD
round ^in++++=round
globe ^nn++++=globe
of ^in++++=of
one ^pn++++=one
off ^in+pl+++=off
the ^ati++++=the
brass ^nn++++=brass
andirons ^nns+++??+=andirons,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lo ^np++++=lo!
! ^zz++++=EXTRAWORD
a ^at++++=a
miniature ^nn++++=miniature
apparition ^nn+nom+++=apparition
of ^in++++=of
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
face ^vb++++=face
widened ^vbd+++xvbn+=widened
and ^cc++++=and
grotesquely ^rb++++=grotesquely
contorted ^vbd+++xvbn+=contorted,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
were ^vbd+bed+aux++=were
making ^vbg+++xvbgx+=making
fun ^nn++++=fun
of ^in++++=of
my ^pp$+pp1+++=my
amazement ^nn+nom+++=amazement!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
played ^vprf+++xvbnx+=played
so ^pn++++=so
many ^ap++++=many
of ^in++++=of
these ^dt+dem+++=these
jokes ^nns++++=jokes
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
begin ^vb++++=begin
to ^to++++=to
lose ^vbi++++=lose
their ^pp$+pp3+++=their
effect ^nn++++=effect.
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
presumptuous ^vb++++=presumptuous
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
stole ^vbd+++xvbnx+=stole
into ^in++++=into
the ^ati++++=the
heaven ^nn++++=heaven
of ^in++++=of
a ^at++++=a
young ^jj+atrb+++=young
lady ^nn++++=lady's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes;
; ^zz++++=EXTRAWORD
so ^ql++++=so
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
gazed ^vbd+++xvbnx+=gazed
and ^cc++++=and
was ^vbd+bedz+aux++=was
dreaming ^vbg+++xvbgx+=dreaming
only ^rb+down+++=only
of ^in++++=of
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
him ^pp3o+pp3+++=him
also ^rb++++=also
in ^in++++=in
my ^pp$+pp1+++=my
dream ^nn++++=dream.
. ^zz++++=EXTRAWORD
Years ^nns++++=Years
have ^vb+hv+vrb++=have
so ^ql+emph+++=so
changed ^jj+++xvbn+=changed
him ^pp3o+pp3+++=him
since ^cs+sub+++=since
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
need ^nn++++=need
never ^rb++++=never
hope ^vb++++=hope
to ^to+vcmp+++=to
enter ^vbi++++=enter
those ^dt+dem+++=those
heavenly ^jj+atrb+++=heavenly
orbs ^nns+++??+=orbs
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
From ^in++++=From
these ^dt+dem+++=these
veritable ^jj+atrb+++=veritable
statements ^nns+nom+++=statements
it ^pp3+it+++=it
will ^md+prd+++=will
be ^vb+be+aux++=be
readily ^rb++splt++=readily
concluded ^vpsv++tht0+xvbnx+=concluded
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir
played ^vbd+++xvbn+=played
such ^abl++++=such
pranks ^nns+++??+=pranks
in ^in++++=in
old ^jj+atrb+++=old
witch ^nn++++=witch
times ^nns++++=times,
, ^zz++++=EXTRAWORD
matters ^nns+nom+++=matters
might ^md+pos+++=might
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone
hard ^jj++++=hard
with ^in++++=with
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least
if ^cs+cnd+++=if
the ^ati++++=the
constable ^nn++++=constable
and ^cc++++=and
posse ^nn++++=posse
comitatus ^nns+++??+=comitatus
could ^md+pos+++=could
have ^vb+hv+aux++=have
executed ^vprf+++xvbnx+=executed
a ^at++++=a
warrant ^nn+nom+++=warrant,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
jailer ^jjr++++=jailer
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
cunning ^jj++++=cunning
enough ^qlp++++=enough
to ^to++++=to
keep ^vbi++++=keep
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
often ^rb++splt++=often
occurred ^vprf+++xvbnx+=occurred
to ^in++++=to
me ^pp1o+pp1+++=me
as ^in++++=as
a ^at++++=a
very ^ql+amp+++=very
singular ^nn++++=singular
circumstance ^nn+nom+++=circumstance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
betokening ^jj+++xvbg+=betokening
either ^dtx++++=either
a ^at++++=a
temperament ^nn+nom+++=temperament
morbidly ^rb++++=morbidly
suspicious ^jj++++=suspicious
or ^cc++++=or
some ^dti++++=some
weighty ^jj+atrb+++=weighty
cause ^nn++++=cause
of ^in++++=of
apprehension ^nn++++=apprehension,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
never ^rb++++=never
trusts ^vbz++++=trusts
himself ^ppl+pp3+++=himself
within ^in++++=within
the ^ati++++=the
grasp ^nn++++=grasp
even ^rb++++=even
of ^in++++=of
his ^pp$+pp3+++=his
most ^ql+emph+++=most
intimate ^jj+atrb+++=intimate
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
step ^vb++++=step
forward ^rb+phrv+++=forward
to ^in+ppvb+++=to
meet ^vbi++++=meet
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
readily ^rb++++=readily
advances ^nns+nom+++=advances;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
offer ^nn++++=offer
him ^pp3o+pp3+++=him
your ^pp$+pp2+++=your
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
extends ^vbz++++=extends
his ^pp$+pp3+++=his
own ^ap++++=own
with ^in++++=with
an ^at++++=an
air ^nn++++=air
of ^in++++=of
the ^ati++++=the
utmost ^jjb+atrb+++=utmost
frankness ^nns+nom+++=frankness;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
you ^pp2+pp2+++=you
calculate ^nn+nom+++=calculate
upon ^in++++=upon
a ^at++++=a
hearty ^jj+atrb+++=hearty
shake ^nn++++=shake,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+aux++=do
not ^xnot++not++=not
get ^vb++++=get
hold ^nn++++=hold
of ^in++++=of
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
finger ^nn++++=finger.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir
is ^vbz+bez+vrb++=is
a ^at++++=a
slippery ^jj++++=slippery
fellow ^jjb++++=fellow!
! ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
truly ^rb++++=truly
are ^vb+ber+vrb++=are
matters ^nns+nom+++=matters
of ^in++++=of
special ^jj+atrb+++=special
admiration ^nn+nom+++=admiration.
. ^zz++++=EXTRAWORD
After ^in++++=After
vainly ^rb++++=vainly
endeavoring ^jj+++xvbg+=endeavoring,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
strenuous ^jj+atrb+++=strenuous
exertion ^nn+nom+++=exertion
of ^in++++=of
my ^pp$+pp1+++=my
own ^ap++++=own
wits ^nns++++=wits,
, ^zz++++=EXTRAWORD
to ^to++++=to
gain ^vbi++++=gain
a ^at++++=a
satisfactory ^jj+atrb+++=satisfactory
insight ^nn++++=insight
into ^in++++=into
the ^ati++++=the
character ^nn+nom+++=character
of ^in++++=of
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
recourse ^nn++++=recourse
to ^in++++=to
certain ^jj+atrb+++=certain
wise ^jj+atrb+++=wise
men ^nns++++=men,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
also ^rb++++=also
to ^in++++=to
books ^nns++++=books
of ^in++++=of
abstruse ^nn+++??+=abstruse
philosophy ^nn++++=philosophy,
, ^zz++++=EXTRAWORD
seeking ^vbg+++xvbg+=seeking
who ^whp+who+++=who
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
that ^cs+sub+++=that
haunted ^jj+++xvbn+=haunted
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
why ^wrb+who+++=why.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
long ^rb++++=long
lectures ^nns++++=lectures
and ^cc++++=and
read ^vb+vprv++xvbn+=read
huge ^jj+atrb+++=huge
volumes ^nns++++=volumes
with ^in++++=with
little ^jj+atrb+++=little
profit ^nn++++=profit
beyond ^in++++=beyond
the ^ati++++=the
knowledge ^nn++++=knowledge
that ^tht+ncmp+++=that
many ^ap++++=many
former ^ap++++=former
instances ^nns+nom+++=instances
are ^vb+ber+aux++=are
recorded ^vpsv++agls+xvbnx+=recorded,
, ^zz++++=EXTRAWORD
in ^in++++=in
successive ^jj+atrb+++=successive
ages ^nns++++=ages,
, ^zz++++=EXTRAWORD
of ^in++++=of
similar ^jj+atrb+++=similar
connections ^nns+nom+++=connections
between ^in++++=between
ordinary ^jj+atrb+++=ordinary
mortals ^nns+nom+++=mortals
and ^cc++++=and
beings ^nns++++=beings
possessing ^vwbg+++xvbg+=possessing
the ^ati++++=the
attributes ^nns++++=attributes
of ^in++++=of
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
now ^rn+tm+++=now
alive ^jj++++=alive,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
besides ^rb++++=besides
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
such ^abl++++=such
attendants ^nns+nom+++=attendants.
. ^zz++++=EXTRAWORD
Would ^md+prd+++=Would
that ^cs+sub+++=that
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir
could ^md+pos+++=could
be ^vb+be+aux++=be
persuaded ^vpsv++agls+xvbnx+=persuaded
to ^to+vcmp+++=to
transfer ^nn+nom+++=transfer
his ^pp$+pp3+++=his
attachment ^nn+nom+++=attachment
to ^to++++=to
one ^pn++++=one
of ^in++++=of
those ^dt+pdem+++=those,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
allow ^vb++++=allow
some ^dti++++=some
other ^ap++++=other
of ^in++++=of
his ^pp$+pp3+++=his
race ^nn++++=race
to ^to++++=to
assume ^vbi+vprv+++=assume
the ^ati++++=the
situation ^nn+nom+++=situation
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
now ^rn+tm+++=now
holds ^vbz+vprv+++=holds
in ^in++++=in
regard ^in"++++=regard
to ^in"++++=to
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
must ^md+nec+++=must
needs ^vb++++=needs
have ^vb+hv+vrb++=have
so ^ql+emph+++=so
intrusive ^jj++++=intrusive
an ^at++++=an
intimate ^jj++++=intimate,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
stares ^nns+++??+=stares
me ^pp1o+pp1+++=me
in ^in++++=in
the ^ati++++=the
face ^nn++++=face
in ^in++++=in
my ^pp$+pp1+++=my
closest ^jjt+atrb+++=closest
privacy ^nn+nom+++=privacy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
follows ^vbz+vprv+++=follows
me ^pp1o+pp1+++=me
even ^rb++++=even
to ^in++++=to
my ^pp$+pp1+++=my
bedchamber ^jjr++++=bedchamber,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
prefer ^vb+vprv+++=prefer
scandal ^nn++++=scandal
apart ^in++++=apart
the ^ati++++=the
laughing ^jj+atrb++xvbg+=laughing
bloom ^nn++++=bloom
of ^in++++=of
a ^at++++=a
young ^jj+atrb+++=young
girl ^nn++++=girl
to ^in++++=to
the ^ati++++=the
dark ^jj+atrb+++=dark
and ^cc+phrs+++=and
bearded ^jj+atrb+++=bearded
gravity ^nn+nom+++=gravity
of ^in++++=of
my ^pp$+pp1+++=my
present ^jj+atrb+++=present
companion ^nn++++=companion.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
such ^abl++++=such
desires ^nns++++=desires
are ^vb+ber+vrb++=are
never ^rb++++=never
to ^to++++=to
be ^vbi+vbi+aux++=be
gratified ^vpsv++agls+xvbnx+=gratified.
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
the ^ati++++=the
members ^nns+nom+++=members
of ^in++++=of
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np++++=Miroir's
's ^$++++=EXTRAWORD
family ^nn++++=family
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
accused ^vpsv++agls+xvbnx+=accused,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
justly ^rb+cnj+++=justly,
, ^zz++++=EXTRAWORD
of ^in++++=of
visiting ^xvbg+++xvbg+=visiting
their ^pp$+pp3+++=their
friends ^nns++++=friends
often ^rb++++=often
in ^in++++=in
splendid ^jj+atrb+++=splendid
halls ^nns++++=halls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
seldom ^rb++++=seldom
in ^in++++=in
darksome ^nn+++??+=darksome
dungeons ^nns+++??+=dungeons,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
they ^pp3a+pp3+++=they
exhibit ^vb++++=exhibit
a ^at++++=a
rare ^jj+atrb+++=rare
constancy ^nn++++=constancy
to ^in++++=to
the ^ati++++=the
objects ^nns++++=objects
of ^in++++=of
their ^pp$+pp3+++=their
first ^od++++=first
attachment ^nn+nom+++=attachment,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however
unlovely ^jj++++=unlovely
in ^in++++=in
person ^nn++++=person
or ^cc++++=or
unamiable ^jj++++=unamiable
in ^in++++=in
disposition ^nn+nom+++=disposition,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however
unfortunate ^jj++++=unfortunate,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
even ^rb++++=even
