Philo ^np+++??+=Philo
carefully ^rb++++=carefully
around ^in++++=around
took ^vbd+++xvbn+=took
seats ^nns++++=seats
on ^in++++=on
the ^ati++++=the
fallen ^vprf+++xvbn+=fallen
bricks ^nns++++=bricks,
, ^zz++++=EXTRAWORD
resting ^vbg+++xvbg+=resting
their ^pp$+pp3+++=their
backs ^nns++++=backs
against ^in++++=against
the ^ati++++=the
partly ^rb+down+++=partly
demolished ^vbd+++xvbn+=demolished
kiln ^nn++++=kiln.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
arranged ^vbd+vsua++xvbnx+=arranged
the ^ati++++=the
bricks ^nns++++=bricks
as ^in++++=as
comfortably ^rb++++=comfortably
as ^in++++=as
possible ^nn++++=possible
before ^in++++=before
seating ^xvbg+++xvbg+=seating
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
seated ^vpsv++agls+xvbnx+=seated,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
drew ^vbd+++xvbn+=drew
a ^at++++=a
whiskey ^nn+++??+=whiskey
bottle ^nn++++=bottle
from ^in++++=from
his ^pp$+pp3+++=his
pocket ^nn++++=pocket
and ^cc++++=and,
, ^zz++++=EXTRAWORD
after ^in++++=after
taking ^xvbg+++xvbg+=taking
a ^at++++=a
good ^jj+atrb+++=good
swig ^nn+++??+=swig,
, ^zz++++=EXTRAWORD
offered ^j+++xvbn+=offered
it ^pp3+it+++=it
to ^in++++=to
his ^pp$+pp3+++=his
partner ^nn++++=partner.
. ^zz++++=EXTRAWORD
" ^zz++++="Nope!"
nope ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
steer ^vb++++=steer
clear ^jj++++=clear
of ^in++++=of
that ^dt+dem+++=that
stuff ^nn++++=stuff
until ^cs+sub+++=until
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
where ^wrb+who+whcl++=where
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
at ^rb+cnj+++=at,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
a ^at++++=a
fool ^nn++++=fool
for ^in++++=for
not ^xnot++not++=not
doing ^vbg+++xvbg+=doing
the ^ati++++=the
same ^ap++++=same,
, ^zz++++=EXTRAWORD
Wixy ^np+++??+=Wixy.
. ^zz++++=EXTRAWORD
First ^rb++++=First
thing ^nn++++=thing
you ^pp2+pp2+++=you
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+aux++=be
soused ^vpsv++agls+xvbnx+=soused,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
anything ^pn++++=anything
turns ^vbz++++=turns
up ^rb+cnj+++=up,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what'll
'll ^md+prd+++0=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
all ^abn++++=all
I ^pp1a+pp1+++=I
can ^md+pos+++=can
do ^vb+do+aux++=do
to ^to++++=to
take ^vbi++++=take
care ^nn++++=care
of ^in++++=of
you ^pp2+pp2+++=you
sober ^jj++++=sober."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
turn ^nn++++=turn
up ^rp++++=up!
! ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What's
's ^vbz+bez+vrb++0=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
turn ^vbi++++=turn
up ^rb+phrv+++=up
' ^zz++++='way
way ^nn++++=EXTRAWORD
out ^rp+pl+++=out
here ^rn+pl+++=here?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Wixy ^np+++??+=Wixy.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
nobody ^pn++++=nobody
follerin ^nn+++??+=follerin'
' ^zz++++=EXTRAWORD
us ^pp1o+pp1+++=us
anyway ^rb++++=anyway.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
just ^rb+emph+++=just
a ^at++++=a
notion ^nn++++=notion
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
nerves ^nns++++=nerves
has ^vbz+hvz+aux++=has
gone ^vprf+++xvbnx+=gone
back ^rb+phrv+++=back
on ^in+ppvb+++=on
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Sandlot ^np+++??+=Sandlot."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
nerve ^nn++++=nerve
is ^vbz+bez+vrb++=is
all ^abn++++=all
right ^jj++++=right,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
worry ^vb+vprv+++=worry
about ^in++++=about
that ^dt+pdem+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Sandlot ^np+++??+=Sandlot.
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
plenty ^nn++++=plenty
of ^in++++=of
nerve ^nn++++=nerve
so ^ql++++=so
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
to ^in++++=to
brace ^nn++++=brace
it ^pp3+it+++=it
up ^rb+phrv+++=up
with ^in+ppvb+++=with
booze ^nn++++=booze,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
ai ^vb+be+++=ain't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+aux++0=EXTRAWORD
what ^wdt+who+++=what's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
matter ^nn++++=matter
with ^in++++=with
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
saw ^vbd+vprv++xvbn+=saw
that ^tht+vcmp+++=that
feller ^nn++++=feller
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did.
. ^zz++++=EXTRAWORD
Did ^vbd+dod+vrb++=Didn't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
him ^pp3o+pp3+++=him
at ^in++++=at
Bureau ^nn++++=Bureau?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
feller ^nn++++=feller
with ^in++++=with
the ^ati++++=the
white ^jj+atrb+++=white
whiskers ^nns+nom+++=whiskers?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
him ^pp3o+pp3+++=him
again ^rb+tm+++=again
at ^in++++=at
Derlingport ^np+++??+=Derlingport?
? ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
was ^vbd+bedz+aux++=was
he ^pp3a+pp3+++=he
follerin ^nn+++??+=follerin'
' ^zz++++=EXTRAWORD
us ^pp1o+pp1+++=us
that ^cs+sub+++=that
way ^nn++++=way
for ^in++++=for
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
told ^vbd+vpub++xvbnx+=told
us ^pp1o+pp1+++=us
at ^in++++=at
Joliet ^np+++??+=Joliet
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
East ^np+pl+++=East?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
tramp ^nn++++=tramp
has ^vbz+hvz+vrb++=has
as ^in++++=as
good ^jj++++=good
a ^at++++=a
right ^nn++++=right
to ^to+ncmp+++=to
change ^vb++++=change
his ^pp$+pp3+++=his
mind ^nn++++=mind
as ^ql++++=as
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Wixy ^np+++??+=Wixy.
. ^zz++++=EXTRAWORD
" ^zz++++="Didn't
did ^vbd+dod+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
we ^pp1a+pp1+++=we
tell ^vb++++=tell
him ^pp3o+pp3+++=him
we ^pp1a+pp1+++=we
was ^vbd+bedz+vrb++=was
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
East ^nr+pl+++=East
ourselves ^ppls+pp1+++=ourselves?
? ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
he ^pp3a+pp3+++=he
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
for ^in++++=for
steady ^jj+atrb+++=steady
company ^nn++++=company
any ^dti++++=any
more ^ql++++=more
than ^cs+sub+++=than
we ^pp1a+pp1+++=we
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
he ^pp3a+pp3+++=he
come ^vb++++=come
this ^dt+dem+++=this
way ^nn++++=way
to ^to++++=to
get ^vbi++++=get
away ^rb+phrv+++=away
from ^in"++++=from
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
like ^in++++=like
we ^pp1a+pp1+++=we
did ^vbd+dod+aux++=did
to ^to++++=to
get ^vbi++++=get
away ^rb+phrv+++=away
from ^in"++++=from--say!--Sandlot,"
-- ^--+clp+++=EXTRAWORD
say! ^nn+++??+=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
sandlot ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
almost ^rb+hdg+++=almost
pleadingly ^jj++++=pleadingly,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
really ^rb+emph+++=really
think ^vb+vprv+++=think
old ^jj++++=old
White ^jj++++=White-Whiskers
- ^zz++++=EXTRAWORD
whiskers ^nns+nom+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a-trailin'
- ^zz++++=EXTRAWORD
trailin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
got ^vprf+++xvbn+=got
a ^at++++=a
notion ^nn++++=notion
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
detective ^nn++++=detective?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
do ^vb+do+vrb++=do
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Sandlot ^np+++??+=Sandlot.
. ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
a ^at++++=a
feller ^nn++++=feller
like ^in++++=like
that ^dt+pdem+++=that
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
looks ^nns++++=looks
like ^in++++=like
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
tryin ^nn+++??+=tryin'
' ^zz++++=EXTRAWORD
to ^to++++=to
keep ^vbi++++=keep
hid ^vbd+++xvbn+=hid
from ^in++++=from
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
shake ^vbi++++=shake
him ^pp3o+pp3+++=him
off ^rp+pl+++=off.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
shake ^vbi++++=shake
him ^pp3o+pp3+++=him
off ^rp+pl+++=off.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
get ^vb++++=get
all ^abn++++=all
boozed ^jj+++xvbn+=boozed
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
full ^jj++++=full
of ^in++++=of
liquor ^nn++++=liquor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
walk ^vb++++=walk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
feller ^nn++++=feller
shows ^vbz+vprv+++=shows
up ^rp++++=up,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
a ^at++++=a-goin'
- ^zz++++=EXTRAWORD
goin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
to ^to++++=to
quit ^vbi++++=quit
you ^pp2+pp2+++=you
and ^cc++++=and
look ^vb++++=look
out ^rb+phrv+++=out
for ^in+ppvb+++=for
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
a ^at++++=a
feller ^nn++++=feller
steals ^vbz++++=steals
something ^pn++++=something,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
does ^vbz+doz+vrb++=does
any ^dti++++=any
little ^jj+atrb+++=little
harmless ^jj+atrb+++=harmless
thing ^nn++++=thing
like ^in++++=like
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
different ^jj++++=different.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
can ^md+pos+++=can
afford ^vb++++=afford
to ^to+vcmp+++=to
stick ^vbi++++=stick
to ^in++++=to
a ^at++++=a
pal ^nn++++=pal,
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
gets ^vbz++++=gets
nabbed ^jj+++xvbn+=nabbed.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
case ^nn++++=case
of ^in+strn+++=of--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
use ^nn++++=use
that ^tht+rel+++=that
word ^nn++++=word!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Wixy ^np+++??+=Wixy
angrily ^rb++++=angrily.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
more ^rbr++++=more
murder ^nn++++=murder
than ^in++++=than
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
Was ^vbd+bedz+aux++=Was
we ^pp1a+pp1+++=we
going ^md"++pmd"++=going
to ^md+prd+++=to
let ^vb+++xvbn+=let
Chicago ^np++++=Chicago
Chicken ^nn++++=Chicken
bash ^nn++++=bash
our ^pp$+pp1+++=our
heads ^nns++++=heads
in ^in++++=in
just ^rb+emph+++=just
because ^cs+cos+++=because
we ^pp1a+pp1+++=we
stood ^vbd+++xvbn+=stood
up ^rp++++=up
for ^in++++=for
our ^pp$+pp1+++=our
rights ^nns++++=rights?
? ^zz++++=EXTRAWORD
Him ^pp3o+pp3+++=Him
wantin ^nn+++??+=wantin'
' ^zz++++=EXTRAWORD
a ^at++++=a
full ^jj+atrb+++=full
half ^nn++++=half
just ^rb+emph+++=just
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
put ^vbd+++xvbnx+=put
us ^pp1o+pp1+++=us
onto ^in++++=onto
the ^ati++++=the
job ^nn++++=job!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++0=He'd
'd ^md+prd+aux++=EXTRAWORD
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
been ^vb+vb+aux+xvbn+=been
killed ^vpsv++agls+xvbnx+=killed
for ^in++++=for
askin ^nn+++??+=askin'
' ^zz++++=EXTRAWORD
such ^abl++++=such
a ^at++++=a
thing ^nn++++=thing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
he ^pp3a+pp3+++=he?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Sandlot ^np+++??+=Sandlot.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
killed ^vbd+++xvbn+=killed
him ^pp3o+pp3+++=him
all ^abn++++=all
right ^jj++++=right.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
you ^pp2+pp2+++=you
swung ^vbd+++xvbn+=swung
on ^in++++=on
him ^pp3o+pp3+++=him
with ^in++++=with
the ^ati++++=the
rock ^nn++++=rock,
, ^zz++++=EXTRAWORD
Wixy ^np+++??+=Wixy,
, ^zz++++=EXTRAWORD
remember ^nn+nom+++=remember
that ^tht+vcmp+++=that!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Tryin'
tryin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
to ^to++++=to
put ^vbi++++=put
it ^pp3+it+++=it
off ^rp+pl+++=off
on ^rp++++=on
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Wixy ^np+++??+=Wixy
angrily ^rb++++=angrily.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
hang ^nn++++=hang,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
hang ^vb++++=hang.
. ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
take ^vb++++=take
a ^at++++=a
rock ^nn++++=rock
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
had ^vb+hv+aux++=had
him ^pp3o+pp3+++=him
strangled ^vbd+++xvbn+=strangled
to ^in++++=to
death ^nn++++=death
before ^in++++=before
I ^pp1a+pp1+++=I
ever ^rb++++=ever
hit ^nn+++xvbn+=hit
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
gabbin ^nn+++??+=gabbin'
' ^zz++++=EXTRAWORD
about ^in++++=about
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Sandlot ^np+++??+=Sandlot.
. ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
made ^vbd+++xvbn+=made
our ^pp$+pp1+++=our
get ^vb++++=get-away,
- ^zz++++=EXTRAWORD
away ^rp+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
we ^pp1a+pp1+++=we
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
do ^vbi++++=do
is ^vbz+bez+aux++=is
to ^to++++=to
keep ^vbi++++=keep
got ^vbd+++xvbn+=got
away ^rb+phrv+++=away.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
anybody ^pn++++=anybody
ever ^rb++++=ever
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
find ^vbi+vprv+++=find
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
sunk ^vbd+++xvbn+=sunk
him ^pp3o+pp3+++=him
in ^cs+sub+++=in
that ^cs"++++=that
deep ^jj+atrb+++=deep
water ^nn++++=water."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ain't
ai ^vb+be+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
I ^pp1a+pp1+++=I
been ^vb+vbd+vrb+xvbnx+=been
sayin ^nn+++??+=sayin'
' ^zz++++=EXTRAWORD
that ^dt+dem+++=that
right ^jj++++=right
along ^in+strn+++=along?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Wixy ^np+++??+=Wixy.
. ^zz++++=EXTRAWORD
" ^zz++++="Ain't
ai ^vb+be+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
I ^pp1a+pp1+++=I
been ^vb+vbd+vrb+xvbnx+=been
tellin ^nn+++??+=tellin'
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
you ^pp2+pp2+++=you
was ^vbd+bedz+vrb++=was
a ^at++++=a
fool ^jjb++++=fool
to ^to++++=to
be ^vbi+vbi+aux++=be
scared ^vpsv++agls+xvbnx+=scared
of ^in++++=of
an ^at++++=an
old ^jj+atrb+++=old
feller ^nn++++=feller
like ^in++++=like
White ^jj++++=White-Whiskers?
- ^zz++++=EXTRAWORD
whiskers ^nns+nom+++=EXTRAWORD
? ^zz++++=EXTRAWORD
Cuttin ^np+++??+=Cuttin'
' ^zz++++=EXTRAWORD
across ^in+pl+++=across
country ^nn++++=country
this ^dt+dem+++=this
way ^nn++++=way
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
might ^md+pos+++=might
as ^rb++++=as
well ^rb++++=well
be ^vb+be+vrb++=be
forty ^cd++++=forty
miles ^nns++++=miles
more ^rbr++++=more
down ^in++++=down
the ^ati++++=the
Rock ^npl++++=Rock
Island ^nn++++=Island,
, ^zz++++=EXTRAWORD
travelin ^nn+++??+=travelin'
' ^zz++++=EXTRAWORD
along ^in++++=along
as ^ql++++=as
nice ^jj++++=nice
as ^ql++++=as
you ^pp2+pp2+++=you
please ^uh++++=please
in ^in++++=in
a ^at++++=a
box ^nn++++=box
car ^nn++++=car."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
look ^vb++++=look
here ^rn+pl+++=here!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Sandlot ^np+++??+=Sandlot
menacingly ^rb++++=menacingly.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
take ^vbi++++=take
no ^at++++=no
abuse ^nn++++=abuse
from ^in++++=from
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
drunk ^j+++xvbn+=drunk
or ^cc+phrs+++=or
sober ^jj++++=sober.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
my ^pp$+pp1+++=my
way ^nn++++=way,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
go ^vb++++=go
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
railroad ^nn++++=railroad
and ^cc++++=and
leave ^nn++++=leave
me ^pp1o+pp1+++=me
go ^vb++++=go
my ^pp$+pp1+++=my
own ^ap++++=own
way ^nn++++=way.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
on ^in++++=on
across ^in+pl+++=across
country ^nn++++=country
until ^cs+sub+++=until
