Heavy ^jj+atrb+++=Heavy
'" ^nn+++??+=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
blest ^jjt+pred+++=blest!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaims ^vbz++++=exclaims
Sergei ^np+++??+=Sergei,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
delighted ^nn++++=delighted
whisper ^vb+vpub+++=whisper.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
you ^pp2+pp2+++=you
told ^vbd+vpub+tht0+xvbn+=told
her ^pp$+pp3+++=her
straight ^jj++++=straight
to ^to++++=to
go ^vbi++++=go
into ^in++++=into
a ^at++++=a
convent ^nn++++=convent?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
her ^pp$+pp3+++=her
to ^to++++=to
go ^vbi++++=go,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answers ^nns+nom+++=answers
Mitia ^np+++??+=Mitia
simply ^rb++++=simply.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
she ^pp3a+pp3+++=she
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
a ^at++++=a
fool ^nn++++=fool?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
queried ^vbd+++xvbn+=queried
Sergei ^np+++??+=Sergei,
, ^zz++++=EXTRAWORD
raising ^jj+++xvbg+=raising
his ^pp$+pp3+++=his
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
insulted ^vbd+++xvbnx+=insulted
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
right ^jj+pred+++=right,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
friend ^nn++++=friend;
; ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
right ^jj+pred+++=right!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
deserve ^vb++++=deserve
a ^at++++=a
proper ^jj+atrb+++=proper
hammering ^nvbg+++xvbg+=hammering."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
Sergei ^np+++??+=Sergei,
, ^zz++++=EXTRAWORD
changing ^jj+++xvbg+=changing
suddenly ^rb++++=suddenly
his ^pp$+pp3+++=his
tone ^nn++++=tone,
, ^zz++++=EXTRAWORD
continued ^j+++xvbn+=continued
with ^in++++=with
severity ^nn+nom+++=severity
and ^cc++++=and
authority ^nn+nom+++=authority:
: ^zz++++=EXTRAWORD
" ^zz++++="Have
have ^vb+hv+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
any ^dti++++=any
right ^nn++++=right
to ^to+ncmp+++=to
go ^vbi++++=go
against ^in+ppvb+++=against
the ^ati++++=the
law ^nn++++=law?
? ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=did
go ^vb++++=go
against ^in+ppvb+++=against
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
Things ^nns++++=Things
are ^vb+ber+aux++=are
arranged ^vpsv++agls+xvbnx+=arranged
in ^in++++=in
a ^at++++=a
certain ^jj+atrb+++=certain
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
use ^nn++++=use
going ^vwbg+++xvbg+=going
against ^in++++=against
them ^pp3o+pp3+++=them!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=mustn't
n't ^xnot++not++0=EXTRAWORD
even ^rb++++=even
discuss ^vb++++=discuss
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
what ^wdt+who+whq++=what
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
got ^vbd+++xvbn+=got
some ^dti++++=some
maggot ^nn++++=maggot
into ^in++++=into
your ^pp$+pp2+++=your
head ^nn++++=head.
. ^zz++++=EXTRAWORD
A ^at++++=A
convent ^nn++++=convent,
, ^zz++++=EXTRAWORD
indeed ^rb++++=indeed!
! ^zz++++=EXTRAWORD
Silly ^jj++++=Silly
fool ^jjb++++=fool!
! ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
did ^vbd+dod+aux++=did
the ^ati++++=the
girl ^nn++++=girl
want ^nn++++=want?
? ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
she ^pp3a+pp3+++=she
want ^vb++++=want
your ^pp$+pp2+++=your
convent ^nn++++=convent?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
set ^nn+++xvbn+=set
of ^in++++=of
muddle ^nn++++=muddle-headed
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
fools ^nns++++=fools
there ^ex+pex+++=there
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
be ^vbi++vrb++=be
now ^rn+tm+++=now!
! ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
think ^vb+vprv+++=think
what ^wdt+who+whcl++=what's
's ^vbz+bez+aux++0=EXTRAWORD
happened ^vbd+++xvbn+=happened!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
neither ^dt++neg++=neither
fish ^nns++++=fish
nor ^cc++neg++=nor
fowl ^nn+++??+=fowl,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
good ^jj++++=good
red ^jj++++=red-herring.
- ^zz++++=EXTRAWORD
herring ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
girl ^nn++++=girl's
's ^$++++=EXTRAWORD
done ^vwbn+++xvbn+=done
for ^in+strn+++=for!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She's
's ^vbz+bez+aux++0=EXTRAWORD
living ^vbg+++xvbgx+=living
with ^in+ppvb+++=with
an ^at++++=an
old ^jj+atrb+++=old
man ^nn++++=man!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
you ^pp2+pp2+++=you
drove ^vbd+++xvbn+=drove
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
into ^in++++=into
sin ^nn++++=sin!
! ^zz++++=EXTRAWORD
How ^wrb+who+++=How
many ^ap++++=many
laws ^nns++++=laws
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you
broken ^vbd+++xvbn+=broken?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
clever ^jj+atrb+++=clever
head ^nn++++=head!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Law,
law ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Sergei ^np+++??+=Sergei,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
in ^in++++=in
the ^ati++++=the
soul ^nn++++=soul.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
one ^cd1++++=one
law ^nn++++=law
for ^in++++=for
everyone ^pn++++=everyone.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
things ^nns++++=things
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
against ^in++++=against
your ^pp$+pp2+++=your
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
will ^md+prd+++=will
do ^vb+do+vrb++=do
no ^at++++=no
evil ^nn++++=evil
on ^in++++=on
the ^ati++++=the
earth ^nn++++=earth,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
Mitia ^np+++??+=Mitia,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
slow ^jj+atrb+++=slow,
, ^zz++++=EXTRAWORD
conciliatory ^jj+atrb+++=conciliatory
tone ^nn++++=tone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nodding ^vbg+++xvbg+=nodding
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=did
do ^vb+do+vrb++=do
evil ^nn++++=evil,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
Sergei ^np+++??+=Sergei,
, ^zz++++=EXTRAWORD
energetically ^rb++++=energetically.
. ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
the ^ati++++=the
soul ^nn++++=soul!
! ^zz++++=EXTRAWORD
A ^at++++=A
fine ^jj+atrb+++=fine
idea ^nn++++=idea!
! ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
many ^ap++++=many
things ^nns++++=things
in ^in++++=in
the ^ati++++=the
soul ^nn++++=soul.
. ^zz++++=EXTRAWORD
Certain ^jj+atrb+++=Certain
things ^nns++++=things
must ^md+nec+++=must
be ^vb+be+aux++=be
forbidden ^vpsv++agls+xvbnx+=forbidden.
. ^zz++++=EXTRAWORD
The ^ati++++=The
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
the ^ati++++=the
soul ^nn++++=soul!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
first ^od++++=first
understand ^vb+vprv+++=understand
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
" ^zz++++="
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
Sergei ^np+++??+=Sergei,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Mitia ^np+++??+=Mitia
with ^in++++=with
warmth ^nn++++=warmth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
inspired ^vpsv++agls+xvbnx+=inspired.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
always ^rb++++=always
as ^ql++++=as
clear ^vb++++=clear
as ^ql++++=as
dew ^nn++++=dew.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
true ^jj++++=true,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
voice ^nn++++=voice
lies ^vbz++++=lies
deep ^jj++++=deep
down ^rp++++=down
within ^in++++=within
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+vrb++=is
difficult ^jj+pred+++=difficult
to ^to+jcmp+++=to
hear ^vbi+vprv+++=hear;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
listen ^vb++++=listen,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
can ^md+pos+++=can
never ^rb++++=never
be ^vb+be+aux++=be
mistaken ^vpsv++agls+xvbnx+=mistaken.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
we ^pp1a+pp1+++=we
act ^nn++++=act
according ^in++++=according
to ^to++++=to
what ^wdt+who+++=what
is ^vbz+bez+vrb++=is
in ^in++++=in
our ^pp$+pp1+++=our
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
always ^rb++++=always
act ^nn++++=act
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
will ^nn++++=will
of ^in++++=of
God ^nn++++=God.
. ^zz++++=EXTRAWORD
God ^np++++=God
is ^vbz+bez+vrb++=is
in ^in++++=in
the ^ati++++=the
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
law ^nn++++=law
must ^md+nec+++=must
be ^vb+be+vrb++=be
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
soul ^nn++++=soul
was ^vbd+bedz+aux++=was
created ^vpsv++by+xvbnx+=created
by ^in++++=by
God ^np++++=God,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
breathed ^vpsv++by+xvbn+=breathed
by ^in++++=by
God ^nn++++=God
into ^in++++=into
man ^nn++++=man.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
only ^rb+down+++=only
to ^to++++=to
learn ^vbi+vprv+++=learn
to ^to+vcmp+++=to
look ^vbi++++=look
into ^in+ppvb+++=into
it ^pp3+it+++=it
and ^cc++++=and
we ^pp1a+pp1+++=we
must ^md+nec+++=must
look ^vb++++=look
into ^in+ppvb+++=into
it ^pp3+it+++=it
without ^in++++=without
sparing ^xvbg+++xvbg+=sparing
our ^pp$+pp1+++=our
own ^ap++++=own
feelings ^nns+nom+++=feelings."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
sleepy ^jj+atrb+++=sleepy
devils ^nns++++=devils!
! ^zz++++=EXTRAWORD
Look ^vb++++=Look
ahead ^rb+pl+++=ahead
there ^rn+pl+++=there!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
voice ^nn++++=voice
thundered ^vbd+++xvbn+=thundered
from ^in++++=from
the ^ati++++=the
forward ^jj+atrb+++=forward
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
raft ^nn++++=raft,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
swept ^vbd+++xvbn+=swept
back ^jjb++++=back
down ^in++++=down
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
strength ^nn++++=strength
of ^in++++=of
the ^ati++++=the
sound ^nn++++=sound
one ^cd1++++=one
could ^md+pos+++=could
recognize ^vb+vprv+++=recognize
that ^tht+vcmp+++=that
the ^ati++++=the
owner ^nn++++=owner
of ^in++++=of
the ^ati++++=the
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
healthy ^jj+pred+++=healthy,
, ^zz++++=EXTRAWORD
energetic ^jj++++=energetic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pleased ^vpsv++agls+xvbn+=pleased
with ^in++++=with
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
with ^in++++=with
large ^jj+atrb+++=large
and ^cc+phrs+++=and
conscious ^jj+atrb+++=conscious
vitality ^nn+nom+++=vitality.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shouted ^vbd+vpub++xvbnx+=shouted,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
had ^md"++pmd"++=had
to ^md+nec+++=to
give ^vb++++=give
a ^at++++=a
necessary ^jj+atrb+++=necessary
order ^vb++++=order
to ^to+vcmp+++=to
the ^ati++++=the
steersmen ^jj+++xvbn+=steersmen,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
because ^cs+cos+++=because
his ^pp$+pp3+++=his
soul ^nn++++=soul
was ^vbd+bedz+vrb++=was
full ^jj+pred+++=full
of ^in++++=of
life ^nn++++=life
and ^cc++++=and
strength ^nn++++=strength,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
life ^nn++++=life
and ^cc++++=and
strength ^nn++++=strength
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
free ^jj+atrb+++=free
expression ^nn++++=expression,
, ^zz++++=EXTRAWORD
so ^ql++++=so
it ^pp3+it+++=it
rushed ^vbd+++xvbn+=rushed
forth ^np++++=forth
in ^cs+sub+++=in
that ^cs"++++=that
thunderous ^jj+atrb+++=thunderous
and ^cc+phrs+++=and
forceful ^jj+atrb+++=forceful
sound ^nn++++=sound.
. ^zz++++=EXTRAWORD
" ^zz++++="Listen
listen ^vb++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
old ^jj+atrb+++=old
blackguard ^nn++++=blackguard
shouting ^vwbg+++xvbg+=shouting,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
continued ^vbd+++xvbn+=continued
Sergei ^np+++??+=Sergei
with ^in++++=with
delight ^nn++++=delight,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
ahead ^rb+pl+++=ahead
with ^in++++=with
a ^at++++=a
piercing ^jj+atrb++xvbg+=piercing
glance ^nn++++=glance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
smiling ^jj+++xvbg+=smiling.
. ^zz++++=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
at ^rb++++=at
them ^pp3o+pp3+++=them
billing ^nn+nom+++=billing
and ^cc++++=and
cooing ^nn++++=cooing
like ^in++++=like
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
doves ^nns++++=doves!
! ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
ever ^rb++++=ever
envy ^nn++++=envy
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
Mitia ^np+++??+=Mitia?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mitia ^np+++??+=Mitia
watched ^vbd+++xvbn+=watched
with ^in++++=with
indifference ^nn+nom+++=indifference
the ^ati++++=the
working ^jj+++xvbg+=working
of ^in++++=of
the ^ati++++=the
two ^cd++++=two
forward ^rb++++=forward
oars ^nns+++??+=oars,
, ^zz++++=EXTRAWORD
held ^vpbn+vprv++xvbn+=held
by ^in++++=by
two ^cd++++=two
figures ^nns++++=figures
who ^whp+rel+subj++=who
moved ^vbd+++xvbn+=moved
backward ^jj++++=backward
and ^cc++++=and
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
forming ^vbg+++xvbg+=forming
sometimes ^rb++++=sometimes
as ^ql++++=as
they ^pp3a+pp3+++=they
touched ^vbd+++xvbnx+=touched
each ^ppls++++=each
other ^ap++++=other
one ^cd1++++=one
compact ^jj+atrb+++=compact
and ^cc+phrs+++=and
dark ^jj+atrb+++=dark
mass ^nn++++=mass.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
you ^pp2+pp2+++=you
say ^vb+vpub+tht0++=say
you ^pp2+pp2+++=you
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
envy ^nn++++=envy
them ^pp3o+pp3+++=them?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
repeated ^xvbn+++xvbn+=repeated
Sergei ^np+++??+=Sergei.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
it ^pp3+it+++=it
to ^in++++=to
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
their ^pp$+pp3+++=their
sin ^nn++++=sin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
must ^md+nec+++=must
answer ^vb++++=answer
for ^in+ppvb+++=for
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Mitia ^np+++??+=Mitia
quietly ^rb++++=quietly.
. ^zz++++=EXTRAWORD
" ^zz++++="Hm!"
hm ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ironically ^rb++++=ironically
interjected ^vbd+++xvbn+=interjected
Sergei ^np+++??+=Sergei,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
filled ^vbd+++xvbnx+=filled
his ^pp$+pp3+++=his
pipe ^nn++++=pipe.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
more ^rbr++++=more
the ^ati++++=the
small ^jj+atrb+++=small
red ^jj+atrb+++=red
patch ^nn++++=patch
of ^in++++=of
light ^nn++++=light
glowed ^vbd+++xvbn+=glowed
in ^in++++=in
the ^ati++++=the
darkness ^nns+nom+++=darkness;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
night ^nn++++=night
grew ^vbd+++xvbn+=grew
thicker ^jjr++++=thicker,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
gray ^np++++=gray
clouds ^np++++=clouds
sank ^vbd+++xvbn+=sank
lower ^jjr++++=lower
toward ^in++++=toward
the ^ati++++=the
swollen ^jj+atrb+++=swollen
river ^nn++++=river.
. ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+whq++=EXTRAWORD
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you
get ^vb++++=get
hold ^nn++++=hold
of ^in++++=of
that ^dt+dem+++=that
fine ^jj+atrb+++=fine
stuff ^nn++++=stuff,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
does ^vbz+doz+aux++=does
it ^pp3+it+++=it
come ^vb++++=come
to ^in++++=to
you ^pp2+pp2+++=you
naturally ^rb++++=naturally?
? ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
after ^in+ppvb+++=after
your ^pp$+pp2+++=your
father ^nn++++=father,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
lad ^nn++++=lad!
! ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
father ^nn++++=father's
's ^$++++=EXTRAWORD
a ^at++++=a
fine ^jj+atrb+++=fine
old ^jj+atrb+++=old
chap ^nn++++=chap.
. ^zz++++=EXTRAWORD
Look ^vb++++=Look
at ^rb++++=at
him ^pp3o+pp3+++=him!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+vrb++0=EXTRAWORD
fifty ^cd++++=fifty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
see ^vb+vprv+++=see
what ^wdt+who+whcl++=what
a ^at++++=a
strapping ^jj+atrb+++=strapping
wench ^nn+++??+=wench
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
carrying ^vbg+++xvbgx+=carrying
on ^in++++=on
with ^in+strn+++=with!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She's
's ^vbz+bez+vrb++0=EXTRAWORD
as ^ql++++=as
fine ^jj++++=fine
a ^at++++=a
woman ^nn++++=woman
as ^cs+sub+++=as
ever ^rb++++=ever
wore ^vbd+++xvbn+=wore
shoe ^nn++++=shoe-leather.
- ^zz++++=EXTRAWORD
leather ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
she ^pp3a+pp3+++=she
loves ^nns++++=loves
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
use ^nn++++=use
denying ^vwbg+vpub++xvbg+=denying
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
loves ^nns++++=loves
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
lad ^nn++++=lad!
! ^zz++++=EXTRAWORD
One ^cd1++++=One
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help
admiring ^vbg+++xvbg+=admiring
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
such ^abl++++=such
a ^at++++=a
trump ^nn+++??+=trump,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
father ^nn++++=father
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
king ^nn++++=king
of ^in++++=of
trumps ^nns+++??+=trumps!
! ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
at ^rb++++=at
work ^nn++++=work,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
worth ^in++++=worth
while ^cs+sub+++=while
watching ^jj+++xvbg+=watching
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
rich ^jj++++=rich!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
look ^vb++++=look
how ^wrb+who+++=how
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
respected ^vpsv++agls+xvbnx+=respected!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
his ^pp$+pp3+++=his
head ^nn++++=head's
's ^$++++=EXTRAWORD
screwed ^vpsv++agls+xvbnx+=screwed
on ^in++++=on
the ^ati++++=the
right ^jj+atrb+++=right
way ^nn++++=way.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+vrb++0=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
bit ^nn++++=bit
like ^in++++=like
either ^dtx++++=either
your ^pp$+pp2+++=your
father ^nn++++=father
or ^cc++++=or
your ^pp$+pp2+++=your
mother ^nn++++=mother?
? ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
would ^md+prd+++=would
your ^pp$+pp2+++=your
father ^nn++++=father
have ^vb+hv+aux++=have
