According ^in+cmpx+++=According
burning ^vbg+++xvbgx+=burning
brightly ^rb++++=brightly
on ^in++++=on
the ^ati++++=the
ceiling ^nn+nom+++=ceiling.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
burning ^vbg+++xvbgx+=burning
all ^abn++++=all
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
Max ^np++++=Max
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
now ^rn+tm+++=now
what ^wdt+who+++=what
darkness ^nns+nom+++=darkness
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
furniture ^nn++++=furniture
in ^in++++=in
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Max ^np++++=Max
had ^md"++pmd"++=had
to ^md+nec+++=to
lie ^vb++++=lie
on ^in++++=on
the ^ati++++=the
stone ^nn++++=stone
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lay ^vbd+++xvbnx+=lay
curled ^vbd+++xvbn+=curled
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
narrowness ^nns+nom+++=narrowness
of ^in++++=of
the ^ati++++=the
room ^nn++++=room
did ^vbd+dod+aux++=did
not ^xnot++not++=not
permit ^vb++++=permit
him ^pp3o+pp3+++=him
to ^to++++=to
stretch ^vbi++++=stretch
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
sense ^nn++++=sense
of ^in++++=of
hearing ^nn++++=hearing
reported ^vbd+vpub++xvbn+=reported
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him
that ^dt+dem+++=that
until ^cs+sub+++=until
the ^ati++++=the
day ^nn++++=day
of ^in++++=of
his ^pp$+pp3+++=his
death ^nn++++=death
he ^pp3a+pp3+++=he
would ^md+prd+++=would
not ^xnot++not++=not
leave ^vb++++=leave
this ^dt+dem+++=this
room.. ^nn+++??+=room....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Having ^xvbg+++xvbg+=Having
reported ^vbn+vpub+tht0+xvbn+=reported
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hearing ^xvbg+++xvbg+=hearing
sank ^vbd+++xvbn+=sank
into ^in++++=into
inactivity ^nn+nom+++=inactivity,
, ^zz++++=EXTRAWORD
for ^in++++=for
not ^xnot++not++=not
the ^ati++++=the
slightest ^jjt++++=slightest
sound ^jj++++=sound
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
without ^in+strn+++=without,
, ^zz++++=EXTRAWORD
except ^in++++=except
the ^ati++++=the
sounds ^nns++++=sounds
which ^whp+rel+obj++=which
Max ^np++++=Max
himself ^ppl+pp3+++=himself
produced ^vbd+++xvbn+=produced,
, ^zz++++=EXTRAWORD
tossing ^vbg+++xvbg+=tossing
about ^rb+cnj+++=about,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
shouting ^vbg+vpub++xvbg+=shouting
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
hoarse ^jj+pred+++=hoarse,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
lost ^vbd+++xvbnx+=lost
his ^pp$+pp3+++=his
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
Max ^np++++=Max
looked ^vbd+++xvbn+=looked
into ^in+ppvb+++=into
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast
to ^in++++=to
the ^ati++++=the
outward ^jjb++++=outward
light ^jj++++=light
which ^whp+who+++=which
never ^rb++++=never
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
within ^in++++=within
himself ^ppl+pp3+++=himself
impenetrable ^jj++++=impenetrable,
, ^zz++++=EXTRAWORD
heavy ^jj++++=heavy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
motionless ^jj+atrb+++=motionless
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
In ^cs+sub+++=In
that ^cs"++++=that
darkness ^nns+nom+++=darkness
his ^pp$+pp3+++=his
love ^nn++++=love
and ^cc++++=and
faith ^nn++++=faith
were ^vbd+bed+aux++=were
buried ^vpsv++agls+xvbnx+=buried.
. ^zz++++=EXTRAWORD
Max ^np++++=Max
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
whether ^cs+who+++=whether
time ^nn++++=time
was ^vbd+bedz+aux++=was
moving ^vbg+++xvbgx+=moving
or ^cc+cls+++=or
whether ^cs+who+++=whether
it ^pp3+it+++=it
stood ^vbd+++xvbn+=stood
motionless ^jj++++=motionless.
. ^zz++++=EXTRAWORD
The ^ati++++=The
same ^ap++++=same
even ^rb+cnj+++=even,
, ^zz++++=EXTRAWORD
white ^jj++++=white
light ^jj++++=light
poured ^jj+++xvbn+=poured
down ^rp++++=down
on ^rp++++=on
him ^pp3o+pp3+++=him--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
same ^ap++++=same
silence ^nn+nom+++=silence
and ^cc++++=and
quiet ^jj++++=quiet.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
by ^in++++=by
the ^ati++++=the
beating ^jj+++xvbg+=beating
of ^in++++=of
his ^pp$+pp3+++=his
heart ^nn++++=heart
Max ^np++++=Max
could ^md+pos+++=could
judge ^vb++++=judge
that ^tht+rel+obj++=that
Chronos ^np+++??+=Chronos
had ^vb+hv+aux++=had
not ^xnot++not++=not
left ^vprf+++xvbn+=left
his ^pp$+pp3+++=his
chariot ^nn++++=chariot.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
body ^nn++++=body
was ^vbd+bedz+aux++=was
aching ^vbg+++xvbgx+=aching
ever ^rb++++=ever
more ^rbr++++=more
from ^in++++=from
the ^ati++++=the
unnatural ^jj+atrb+++=unnatural
position ^nn+nom+++=position
in ^in++++=in
which ^whp+rel+pied++=which
it ^pp3+it+++=it
lay ^vbd+++xvbn+=lay,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
constant ^jj++++=constant
light ^jj++++=light
and ^cc++++=and
silence ^nn+nom+++=silence
were ^vbd+bed+aux++=were
growing ^vbg+++xvbgx+=growing
ever ^rb++++=ever
more ^ql++++=more
tormenting ^nvbg+++xvbg+=tormenting.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
happy ^jj++++=happy
are ^vb+ber+vrb++=are
they ^pp3a+pp3+++=they
for ^in++++=for
whom ^whp+rel+pied++=whom
night ^nn++++=night
exists ^vbz++++=exists,
, ^zz++++=EXTRAWORD
near ^in+pl+++=near
whom ^whp+rel+pied++=whom
people ^nn++++=people
are ^vb+ber+aux++=are
shouting ^vbg+vpub++xvbgx+=shouting,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
noise ^nn++++=noise,
, ^zz++++=EXTRAWORD
beating ^nvbg+++xvbg+=beating
drums ^nns++++=drums;
; ^zz++++=EXTRAWORD
who ^whp+who+whq++=who
may ^md+pos+++=may
sit ^vb++++=sit
on ^in++++=on
a ^at++++=a
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
with ^in++++=with
their ^pp$+pp3+++=their
feet ^nns++++=feet
hanging ^vwbg+++xvbg+=hanging
down ^rp++++=down,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
lie ^nn++++=lie
with ^in++++=with
their ^pp$+pp3+++=their
feet ^nns++++=feet
outstretched ^jj++++=outstretched,
, ^zz++++=EXTRAWORD
placing ^nvbg+++xvbg+=placing
the ^ati++++=the
head ^nn++++=head
in ^in++++=in
a ^at++++=a
corner ^nn++++=corner
and ^cc++++=and
covering ^nvbg+++xvbg+=covering
it ^pp3+it+++=it
with ^in++++=with
the ^ati++++=the
hands ^nns++++=hands
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
create ^vb++++=create
the ^ati++++=the
illusion ^nn++++=illusion
of ^in++++=of
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
Max ^np++++=Max
made ^vbd+++xvbn+=made
an ^at++++=an
effort ^nn++++=effort
to ^to+ncmp+++=to
recall ^vbi+vprv+++=recall
and ^cc++++=and
to ^in++++=to
picture ^nn++++=picture
to ^in++++=to
himself ^ppl+pp3+++=himself
what ^wdt+who+++=what
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
in ^in++++=in
life ^nn++++=life;
; ^zz++++=EXTRAWORD
human ^jj+atrb+++=human
faces ^nns++++=faces,
, ^zz++++=EXTRAWORD
voices ^nns++++=voices,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stars.. ^nn+++??+=stars....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
would ^md+prd+++=would
never ^rb++++=never
in ^in++++=in
life ^nn++++=life
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv+tht0+xvbnx+=knew
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
he ^pp3a+pp3+++=he
lived ^vbd+++xvbnx+=lived.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
have ^vb+hv+aux++=have
destroyed ^vprf+++xvbnx+=destroyed
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
for ^in++++=for
there ^rn+pl+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
position ^nn+nom+++=position
in ^in++++=in
which ^whp+rel+pied++=which
a ^at++++=a
man ^nn++++=man
can ^md+pos+++=can
not ^xnot++not++=not
do ^vb+do+vrb++=do
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
instead ^rb+cnj+++=instead
Max ^np++++=Max
worried ^vbd+vprv++xvbn+=worried
about ^in++++=about
his ^pp$+pp3+++=his
health ^nn++++=health,
, ^zz++++=EXTRAWORD
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
eat ^vbi++++=eat,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
no ^at++++=no
appetite ^nn++++=appetite,
, ^zz++++=EXTRAWORD
solving ^jj+atrb++xvbg+=solving
mathematical ^jj+atrb+++=mathematical
problems ^nns++++=problems
to ^to++++=to
occupy ^vbi++++=occupy
his ^pp$+pp3+++=his
mind ^nn++++=mind
so ^ql++++=so
as ^ql++++=as
not ^xnot++not++=not
to ^to++++=to
lose ^vbi++++=lose
his ^pp$+pp3+++=his
reason ^nn++++=reason.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
struggled ^vbd+++xvbnx+=struggled
against ^in++++=against
death ^nn++++=death
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
his ^pp$+pp3+++=his
deliverer ^nn+nom+++=deliverer,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
enemy ^nn++++=enemy;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^cs+sub+++=as
if ^cs+cnd+++=if
life ^nn++++=life
were ^vbd+bed+vrb++=were
to ^to++++=to
him ^pp3o+pp3+++=him
not ^xnot++not++=not
the ^ati++++=the
worst ^nn++++=worst
of ^in++++=of
infernal ^nn+nom+++=infernal
tortures ^vbz++++=tortures--but
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
love ^nn++++=love,
, ^zz++++=EXTRAWORD
faith ^nn++++=faith,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
happiness ^nns+nom+++=happiness.
. ^zz++++=EXTRAWORD
Gloom ^nn++++=Gloom
in ^in++++=in
the ^ati++++=the
Past ^jjb++++=Past,
, ^zz++++=EXTRAWORD
the ^ati++++=the
grave ^nn++++=grave
in ^in++++=in
the ^ati++++=the
Future ^jjb++++=Future,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
infernal ^nn+nom+++=infernal
tortures ^vbz++++=tortures
in ^in++++=in
the ^ati++++=the
Present ^jj+atrb+++=Present--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
yet ^rb++++=yet
he ^pp3a+pp3+++=he
lived ^vbd+++xvbnx+=lived.
. ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
John ^np++++=John
N ^zz++++=N.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
where ^wrb+who+whq++=where
did ^vbd+dod+vrb++=did
he ^pp3a+pp3+++=he
get ^vb++++=get
the ^ati++++=the
strength ^nn++++=strength
for ^in++++=for
that ^dt+pdem+++=that?
? ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=He
hoped ^vbd+vprv++xvbn+=hoped.
. ^zz++++=EXTRAWORD
