Solomon ^np++++=SOLOMON
strange ^jj+atrb+++=strange
land ^nn++++=land,
, ^zz++++=EXTRAWORD
along ^in++++=along
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
dark ^nn++++=dark!
! ^zz++++=EXTRAWORD
When ^wrb+who+++=When
we ^pp1a+pp1+++=we
finished ^vbd+++xvbn+=finished
the ^ati++++=the
thirty ^cd++++=thirty-fifth
- ^zz++++=EXTRAWORD
fifth ^od++++=EXTRAWORD
mile ^nn++++=mile,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
drew ^vbd+++xvbn+=drew
up ^rb+phrv+++=up
in ^in++++=in
the ^ati++++=the
courtyard ^nn++++=courtyard
of ^in++++=of
the ^ati++++=the
station ^nn+nom+++=station
at ^rb++++=at
Frydenlund ^np+++??+=Frydenlund,
, ^zz++++=EXTRAWORD
Graygown ^np+++??+=Graygown
sprang ^vbd+++xvbn+=sprang
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^rb++++=a
little ^rb"++++=little
sigh ^nn++++=sigh
of ^in++++=of
regret ^nn++++=regret.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
it ^pp3+it+++=it
last ^jj+atrb+++=last
night ^nn++++=night,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
" ^zz++++="or
or ^cc++++=EXTRAWORD
tomorrow ^nr+tm+++=to-morrow
morning ^nn++++=morning?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
n't ^xnot++not++0=n't
the ^ati++++=the
least ^rbt++++=least
idea ^nn++++=idea
what ^wdt+who+++=what
time ^nn++++=time
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
as ^cs+sub+++=as
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
travelling ^nvbg+++xvbg+=travelling
in ^in++++=in
eternity ^nn+nom+++=eternity."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
just ^rb+emph+++=just
ten ^cd++++=ten
o ^zz++++=o'clock,"
'clock," ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
answered ^vbd+vpub++xvbnx+=answered,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
the ^ati++++=the
landlord ^nn++++=landlord
says ^vbz+vpub+tht0++=says
there ^ex+pex+++=there
will ^md+prd+++=will
be ^vb+be+vrb++=be
a ^at++++=a
hot ^jj+atrb+++=hot
supper ^nn++++=supper
of ^in++++=of
trout ^nn++++=trout
ready ^jj++++=ready
for ^in++++=for
us ^pp1o+pp1+++=us
in ^in++++=in
five ^cd++++=five
minutes ^nns++++=minutes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
be ^vb+be+vrb++=be
vain ^jj+pred+++=vain
to ^in++++=to
attempt ^nn++++=attempt
to ^to+ncmp+++=to
give ^vbi++++=give
a ^at++++=a
daily ^jj+atrb+++=daily
record ^nn++++=record
of ^in++++=of
the ^ati++++=the
whole ^jj+atrb+++=whole
journey ^nn++++=journey
in ^in++++=in
which ^whp+rel+pied++=which
we ^pp1a+pp1+++=we
made ^vbd+++xvbn+=made
this ^dt+dem+++=this
fair ^jj+atrb+++=fair
beginning ^nvbg+++xvbg+=beginning.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
most ^ql+emph+++=most
idle ^vb++++=idle
and ^cc++++=and
unsystematic ^jj+atrb+++=unsystematic
pilgrimage ^nn+nom+++=pilgrimage.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
wandered ^vbd+++xvbn+=wandered
up ^rp++++=up
and ^cc++++=and
down ^in+strn+++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turned ^vbd+++xvbn+=turned
aside ^rp++++=aside
when ^wrb+who+++=when
fancy ^nn++++=fancy
beckoned ^vbd+++xvbn+=beckoned.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
we ^pp1a+pp1+++=we
hurried ^vbd+++xvbn+=hurried
on ^in++++=on
as ^ql++++=as
fast ^rb++++=fast
as ^ql++++=as
the ^ati++++=the
horses ^nns++++=horses
would ^md+prd+++=would
carry ^vb++++=carry
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
driving ^nvbg+++xvbg+=driving
sixty ^cd++++=sixty
or ^cc++++=or
seventy ^cd++++=seventy
miles ^nns++++=miles
a ^at++++=a
day ^nn++++=day;
; ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
we ^pp1a+pp1+++=we
loitered ^vbd+++xvbn+=loitered
and ^cc+phrs+++=and
dawdled ^vbd+++xvbn+=dawdled,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
did ^vbd+dod+aux++=did
not ^xnot++not++=not
care ^vb+vprv+++=care
whether ^cs+who+++=whether
we ^pp1a+pp1+++=we
got ^vbd+++xvbn+=got
anywhere ^rb++++=anywhere
or ^cc++++=or
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
a ^at++++=a
place ^nn++++=place
pleased ^vbd+++xvbn+=pleased
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
stayed ^vbd+++xvbn+=stayed
and ^cc+phrs+++=and
tried ^vbd+++xvbn+=tried
the ^ati++++=the
fishing ^nvbg+++xvbg+=fishing.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
tired ^vpsv++agls+xvbnx+=tired
of ^in++++=of
driving ^xvbg+++xvbg+=driving,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
took ^vbd+++xvbn+=took
to ^to+vcmp+++=to
the ^ati++++=the
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
travelled ^vpsv++by+xvbn+=travelled
by ^in++++=by
steamer ^np++++=steamer
along ^in++++=along
a ^at++++=a
fjord ^nn+++??+=fjord,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
hired ^vbd+++xvbn+=hired
a ^at++++=a
rowboat ^nn+++??+=rowboat
to ^to++++=to
cross ^vbi++++=cross
from ^in++++=from
point ^nn++++=point
to ^in++++=to
point ^nn++++=point.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day
we ^pp1a+pp1+++=we
would ^md+prd+++=would
be ^vb+be+vrb++=be
in ^in++++=in
a ^at++++=a
good ^jj++++=good
little ^ap++++=little
hotel ^npl++++=hotel,
, ^zz++++=EXTRAWORD
with ^in++++=with
polyglot ^nn+++??+=polyglot
guests ^nns++++=guests,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
serving ^vbg+++xvbg+=serving-maids
- ^zz++++=EXTRAWORD
maids ^nns++++=EXTRAWORD
in ^in++++=in
stagey ^nn+++??+=stagey
Norse ^np+++??+=Norse
costumes ^nns++++=costumes,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
famous ^jj+atrb+++=famous
inn ^npl++++=inn
at ^rb++++=at
Stalheim ^np+++??+=Stalheim,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
commands ^vbz+vsua+++=commands
the ^ati++++=the
amazing ^jj+atrb+++=amazing
panorama ^nn++++=panorama
of ^in++++=of
the ^ati++++=the
Naerodal ^np+nom++??+=Naerodal.
. ^zz++++=EXTRAWORD
Another ^ppls++++=Another
day ^np++++=day
we ^pp1a+pp1+++=we
would ^md+prd+++=would
lodge ^vb++++=lodge
in ^in++++=in
a ^at++++=a
plain ^jj+atrb+++=plain
farmhouse ^nn++++=farmhouse
like ^in++++=like
the ^ati++++=the
station ^nn+nom+++=station
at ^rb++++=at
Nedre ^np+++??+=Nedre
Vasenden ^np+++??+=Vasenden,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
eggs ^nns++++=eggs
and ^cc++++=and
fish ^nn++++=fish
were ^vbd+bed+vrb++=were
the ^ati++++=the
staples ^nns++++=staples
of ^in++++=of
diet ^nn++++=diet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
farmer ^nn++++=farmer's
's ^$++++=EXTRAWORD
daughter ^nn+nom+++=daughter
wore ^vbd+++xvbn+=wore
the ^ati++++=the
picturesque ^jj+atrb+++=picturesque
peasants ^nns+nom+++=peasants'
' ^zz++++=EXTRAWORD
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
tall ^jj+atrb+++=tall
cap ^nn++++=cap,
, ^zz++++=EXTRAWORD
without ^in++++=without
any ^dti++++=any
dramatic ^jj++++=dramatic
airs ^&fw++++=airs.
. ^zz++++=EXTRAWORD
Lakes ^nns++++=Lakes
and ^cc++++=and
rivers ^nns++++=rivers,
, ^zz++++=EXTRAWORD
precipices ^nns+++??+=precipices
and ^cc++++=and
gorges ^nns+++??+=gorges,
, ^zz++++=EXTRAWORD
waterfalls ^nns++++=waterfalls
and ^cc++++=and
glaciers ^nns+nom+++=glaciers
and ^cc++++=and
snowy ^jj+atrb+++=snowy
mountains ^nns++++=mountains
were ^vbd+bed+vrb++=were
our ^pp$+pp1+++=our
daily ^jj+atrb+++=daily
repast ^nn++++=repast.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
drove ^vbd+++xvbn+=drove
over ^in++++=over
five ^cd++++=five
hundred ^cd++++=hundred
miles ^nns++++=miles
in ^in++++=in
various ^jj+atrb+++=various
kinds ^nns++++=kinds
of ^in++++=of
open ^jj+atrb+++=open
wagons ^nns++++=wagons,
, ^zz++++=EXTRAWORD
Kariols ^np+++??+=KARIOLS
for ^in++++=for
one ^pn++++=one,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Stolkjaerres ^np+++??+=STOLKJAERRES
for ^in++++=for
two ^cd++++=two,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
our ^pp$+pp1+++=our
comfortable ^jj+atrb+++=comfortable
gig ^nn++++=gig
behind ^in+pl+++=behind
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
ancient ^jj+atrb+++=ancient
dragon ^nn++++=dragon-gabled
- ^zz++++=EXTRAWORD
gabled ^vbd+++xvbn+=EXTRAWORD
church ^npl++++=church
of ^in++++=of
Burgund ^np+++??+=Burgund;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
delightful ^jj++++=delightful,
, ^zz++++=EXTRAWORD
showery ^nn+nom+++=showery
town ^nn++++=town
of ^in++++=of
Bergen ^np+++??+=Bergen;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
gloomy ^jj+atrb+++=gloomy
cliffs ^nns++++=cliffs
of ^in++++=of
the ^ati++++=the
Geiranger ^np+nom++??+=Geiranger-Fjord
- ^zz++++=EXTRAWORD
fjord ^jj+++??+=EXTRAWORD
laced ^vwbn+++xvbn+=laced
with ^in++++=with
filmy ^jj+atrb+++=filmy
cataracts ^nns+++??+=cataracts;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
bewitched ^jj+atrb++xvbn+=bewitched
crags ^nns+++??+=crags
of ^in++++=of
the ^ati++++=the
Romsdal ^np+++??+=Romsdal;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
wide ^jj+atrb+++=wide,
, ^zz++++=EXTRAWORD
desolate ^jj+atrb+++=desolate
landscape ^nn++++=landscape
of ^in++++=of
Jerkin ^nn++++=Jerkin;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
hundred ^cd++++=hundred
other ^ap++++=other
unforgotten ^jj+atrb++xvbn+=unforgotten
scenes ^nns++++=scenes.
. ^zz++++=EXTRAWORD
Somehow ^rb++++=Somehow
or ^cc++++=or
other ^ap++++=other
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went,
, ^zz++++=EXTRAWORD
( ^zz++++=(around
around ^rp++++=EXTRAWORD
and ^cc+phrs+++=and
about ^rb+cnj+++=about,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
up ^rp++++=up
and ^cc++++=and
down ^in+strn+++=down,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
on ^in++++=on
wheels ^nns++++=wheels,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
on ^in++++=on
foot ^nn++++=foot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
in ^in++++=in
a ^at++++=a
boat ^nn++++=boat,)
, ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
way ^nn++++=way
from ^in++++=from
Christiania ^np+++??+=Christiania
to ^in++++=to
Throndhjem ^np+++??+=Throndhjem.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
lady ^nn++++=lady
Graygown ^np+++??+=Graygown
could ^md+pos+++=could
give ^vb++++=give
you ^pp2+pp2+++=you
the ^ati++++=the
exact ^jj+atrb+++=exact
itinerary ^nn+nom+++=itinerary,
, ^zz++++=EXTRAWORD
for ^in++++=for
she ^pp3a+pp3+++=she
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
well ^jj+pred+++=well
brought ^vbd+++xvbn+=brought
up ^rb+cnj+++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
always ^rb++++=always
keeps ^vbz++++=keeps
a ^at++++=a
diary ^nn++++=diary.
. ^zz++++=EXTRAWORD
All ^abn++++=All
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
set ^vbd+++xvbn+=set
out ^rb+phrv+++=out
from ^in++++=from
one ^cd1++++=one
city ^nn++++=city
and ^cc++++=and
arrived ^vbd+++xvbn+=arrived
at ^rb++++=at
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
gathered ^vpsv++by+xvbn+=gathered
by ^in++++=by
the ^ati++++=the
way ^nn++++=way
a ^at++++=a
collection ^nn+nom+++=collection
of ^in++++=of
instantaneous ^jj+atrb+++=instantaneous
photographs ^nns++++=photographs.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
going ^md"++pmd"++=going
to ^md+prd+++=to
turn ^vb++++=turn
them ^pp3o+pp3+++=them
over ^in++++=over
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pick ^vb++++=pick
out ^rp+pl+++=out
a ^ap++++=a
few ^ap"++++=few
of ^in++++=of
the ^ati++++=the
clearest ^jjt+atrb+++=clearest
pictures ^nns++++=pictures.
. ^zz++++=EXTRAWORD
Iii ^np+++??+=III
Here ^rn+pl+++=Here
is ^vbz+bez+vrb++=is
the ^ati++++=the
bridge ^npl++++=bridge
over ^in++++=over
the ^ati++++=the
Naeselv ^np+++??+=Naeselv
at ^in++++=at
Fagernaes ^np+++??+=Fagernaes.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
below ^in+pl+++=below
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
good ^jj+atrb+++=good
pool ^nn++++=pool
for ^in++++=for
trout ^nn++++=trout,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
river ^nn++++=river
is ^vbz+bez+vrb++=is
broad ^jj+pred+++=broad
and ^cc+phrs+++=and
deep ^jj++++=deep
and ^cc+phrs+++=and
swift ^jj++++=swift.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
difficult ^jj++++=difficult
wading ^jj+++xvbg+=wading
to ^to++++=to
get ^vbi++++=get
out ^rb+phrv+++=out
within ^in++++=within
reach ^nn++++=reach
of ^in++++=of
the ^ati++++=the
fish ^nn++++=fish.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
taken ^vprf+++xvbnx+=taken
half ^abn++++=half
a ^at++++=a
dozen ^cd++++=dozen
small ^jj+atrb+++=small
ones ^cd1s++++=ones
and ^cc++++=and
come ^vb++++=come
to ^in++++=to
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
my ^pp$+pp1+++=my
cast ^nn+++xvbn+=cast.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
big ^jj+atrb+++=big
one ^cd1++++=one
lying ^vbg+++xvbg+=lying
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
sure ^jj+pred+++=sure.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
water ^nn++++=water
already ^rb++++=already
rises ^vbz++++=rises
to ^in++++=to
my ^pp$+pp1+++=my
hips ^nns++++=hips;
; ^zz++++=EXTRAWORD
another ^dt++++=another
step ^vb++++=step
will ^md+prd+++=will
bring ^vb++++=bring
it ^pp3+it+++=it
over ^in++++=over
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
my ^pp$+pp1+++=my
waders ^nns++++=waders,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
send ^vb++++=send
me ^pp1o+pp1+++=me
downstream ^rb+pl+++=downstream
feet ^nns++++=feet
uppermost ^jj++++=uppermost.
. ^zz++++=EXTRAWORD
" ^zz++++="Take
take ^vb++++=EXTRAWORD
care ^nn++++=care!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cries ^nns++++=cries
Graygown ^np+++??+=Graygown
from ^in++++=from
the ^ati++++=the
grassy ^jj+atrb+++=grassy
bank ^nn++++=bank,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
sits ^vbz++++=sits
placidly ^rb++++=placidly
crocheting ^jj+++xvbg+=crocheting
some ^dti++++=some
mysterious ^jj+atrb+++=mysterious
fabric ^nn++++=fabric
of ^in++++=of
white ^jj+atrb+++=white
yarn ^nn++++=yarn.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
does ^vbz+doz+aux++=does
not ^xnot++not++=not
see ^vb+vprv+++=see
the ^ati++++=the
large ^jj+atrb+++=large
rock ^nn++++=rock
lying ^vwbg+++xvbg+=lying
at ^in++++=at
the ^ati++++=the
bottom ^nn++++=bottom
of ^in++++=of
the ^ati++++=the
river ^nn++++=river
just ^rb+emph+++=just
beyond ^in++++=beyond
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
can ^md+pos+++=can
step ^vb++++=step
on ^in++++=on
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stand ^vb++++=stand
there ^rn+pl+++=there
without ^in++++=without
being ^nn+nn+aux++=being
swept ^vwbn+++xvbn+=swept
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
reach ^vb++++=reach
the ^ati++++=the
mid ^jjb++++=mid-current
- ^zz++++=EXTRAWORD
current ^jj++++=EXTRAWORD
with ^in++++=with
my ^pp$+pp1+++=my
flies ^nns++++=flies.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
long ^rb++++=long
stride ^nn++++=stride
and ^cc++++=and
a ^at++++=a
slippery ^jj+atrb+++=slippery
foothold ^nn++++=foothold,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
by ^in++++=by
good ^jj+atrb+++=good
luck ^nn++++=luck
" ^zz++++="the
the ^ati++++=EXTRAWORD
last ^rb++++=last
step ^vb++++=step
which ^whp+who+++=which
costs ^nns++++=costs"
" ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
accomplished ^vpsv++agls+xvbnx+=accomplished.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tiny ^jj+atrb+++=tiny
black ^nn++++=black
and ^cc++++=and
orange ^np++++=orange
hackle ^nn+++??+=hackle
goes ^vbz++++=goes
curling ^vbg+nom++xvbg+=curling
out ^rp+pl+++=out
over ^in++++=over
the ^ati++++=the
stream ^nn++++=stream,
, ^zz++++=EXTRAWORD
lights ^nns++++=lights
softly ^rb+cnj+++=softly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
swings ^vbz++++=swings
around ^rb++++=around
with ^in++++=with
the ^ati++++=the
current ^nn++++=current,
, ^zz++++=EXTRAWORD
folding ^jj++++=folding
and ^cc+phrs+++=and
expanding ^jj+++xvbg+=expanding
its ^pp$+it+++=its
feathers ^nns+nom+++=feathers
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
alive ^jj+pred+++=alive.
. ^zz++++=EXTRAWORD
The ^ati++++=The
big ^jj+atrb+++=big
trout ^nn++++=trout
takes ^vbz++++=takes
it ^pp3+it+++=it
promptly ^rb++++=promptly
the ^ati++++=the
instant ^nn+nom+++=instant
it ^pp3+it+++=it
passes ^vbz++++=passes
over ^rb+phrv+++=over
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
play ^nn++++=play
him ^pp3o+pp3+++=him
and ^cc++++=and
net ^jjb++++=net
him ^pp3o+pp3+++=him
without ^in++++=without
moving ^nn++++=moving
from ^in++++=from
my ^pp$+pp1+++=my
perilous ^jj+atrb+++=perilous
perch ^nn++++=perch.
. ^zz++++=EXTRAWORD
Graygown ^np+++??+=Graygown
waves ^nns++++=waves
her ^pp$+pp3+++=her
crochet ^nn++++=crochet-work
- ^zz++++=EXTRAWORD
work ^nn++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
flag ^nn++++=flag,
, ^zz++++=EXTRAWORD
" ^zz++++="Bravo!"
bravo ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cries ^nns++++=cries.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
beauty ^nn++++=beauty,
, ^zz++++=EXTRAWORD
nearly ^rb+down+++=nearly
two ^cd++++=two
pounds ^nns++++=pounds!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
do ^vb+do+aux++=do
be ^vb+be+vrb++=be
careful ^jj+pred+++=careful
about ^in++++=about
coming ^xvbg+++xvbg+=coming
back ^jjb++++=back;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
not ^xnot++not++=not
good ^jj++++=good
enough ^qlp++++=enough
to ^to++++=to
take ^vbi++++=take
any ^dti++++=any
risks ^nns++++=risks
yet ^rb++++=yet."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
station ^nn+nom+++=station
at ^rb++++=at
Skogstad ^np+++??+=Skogstad
is ^vbz+bez+vrb++=is
a ^at++++=a
solitary ^jj+atrb+++=solitary
farmhouse ^nn++++=farmhouse
lying ^vwbg+++xvbg+=lying
far ^rb+pl+++=far
up ^rp++++=up
on ^in++++=on
the ^ati++++=the
bare ^jj+atrb+++=bare
hillside ^nn++++=hillside,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
barns ^nns+++??+=barns
and ^cc++++=and
out ^rp+pl+++=out-buildings
- ^zz++++=EXTRAWORD
buildings ^nns++++=EXTRAWORD
grouped ^vwbn+++xvbn+=grouped
around ^rp++++=around
a ^at++++=a
central ^jj+atrb+++=central
courtyard ^nn++++=courtyard,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
rude ^jj+atrb+++=rude
fortress ^nns+nom+++=fortress.
. ^zz++++=EXTRAWORD
The ^ati++++=The
river ^nn++++=river
travels ^nns++++=travels
along ^in++++=along
the ^ati++++=the
valley ^nn++++=valley
below ^rb++++=below,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
wrestling ^vbg+nom++xvbg+=wrestling
its ^pp$+it+++=its
way ^nn++++=way
through ^in++++=through
a ^at++++=a
narrow ^jj+atrb+++=narrow
passage ^nn+nom+++=passage
among ^in++++=among
the ^ati++++=the
rocks ^nns++++=rocks,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
spreading ^vbg+++xvbg+=spreading
out ^rp+pl+++=out
at ^rb++++=at
leisure ^nn++++=leisure
in ^in++++=in
a ^at++++=a
green ^jj+atrb+++=green
meadow ^nn++++=meadow.
. ^zz++++=EXTRAWORD
As ^ql++++=As
we ^pp1a+pp1+++=we
cross ^vb++++=cross
the ^ati++++=the
bridge ^nn++++=bridge,
, ^zz++++=EXTRAWORD
the ^ati++++=the
crystal ^nn++++=crystal
water ^nn++++=water
is ^vbz+bez+aux++=is
changed ^vpsv++agls+xvbnx+=changed
to ^in++++=to
opal ^nn++++=opal
by ^in++++=by
the ^ati++++=the
sunset ^nn++++=sunset
glow ^nn++++=glow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
gentle ^jj+atrb+++=gentle
breeze ^nn++++=breeze
ruffles ^nns+++??+=ruffles
the ^ati++++=the
long ^jj+atrb+++=long
pools ^nns++++=pools,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
trout ^nn++++=trout
are ^vb+ber+aux++=are
rising ^vbg+++xvbgx+=rising
freely ^rb++++=freely.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
the ^ati++++=the
perfect ^jj+atrb+++=perfect
hour ^nn++++=hour
for ^in++++=for
fishing ^xvbg+++xvbg+=fishing.
. ^zz++++=EXTRAWORD
Would ^md+prd+++=Would
Graygown ^vb+++??+=Graygown
dare ^vb++++=dare
to ^to+vcmp+++=to
drive ^vbi++++=drive
on ^in++++=on
alone ^rb++++=alone
to ^in++++=to
the ^ati++++=the
gate ^nn++++=gate
of ^in++++=of
the ^ati++++=the
fortress ^nns+nom+++=fortress,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
blow ^nn++++=blow
upon ^in++++=upon
the ^ati++++=the
long ^rb++++=long
horn ^np++++=horn
which ^whp+rel+subj++=which
doubtless ^rb++++=doubtless
hangs ^vbz++++=hangs
beside ^in+pl+++=beside
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
demand ^nn++++=demand
admittance ^nn+nom+++=admittance
and ^cc++++=and
a ^at++++=a
lodging ^nn++++=lodging,
, ^zz++++=EXTRAWORD
" ^zz++++="in
in ^in++++=EXTRAWORD
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
the ^ati++++=the
great ^jj+atrb+++=great
