Along ^in++++=Along
the ^ati++++=the
denial ^nn++++=denial
of ^in++++=of
his ^pp$+pp3+++=his
rights ^nns++++=rights.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
his ^pp$+pp3+++=his
party ^nn++++=party
came ^vbd+++xvbn+=came
within ^in++++=within
a ^at++++=a
quarter ^nn++++=quarter
of ^in++++=of
a ^at++++=a
mile ^nn++++=mile
of ^in++++=of
the ^ati++++=the
corrals ^nns+nom+++=corrals,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
noticed ^vpsv++agls+xvbnx+=noticed
that ^tht+vcmp+++=that
Ninde ^np+++??+=Ninde
and ^cc++++=and
his ^pp$+pp3+++=his
deputies ^nns++++=deputies
ceased ^vbd+++xvbn+=ceased
their ^pp$+pp3+++=their
work ^nn++++=work,
, ^zz++++=EXTRAWORD
mounted ^j+++xvbn+=mounted
their ^pp$+pp3+++=their
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rode ^vbd+++xvbn+=rode
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
open ^jj++++=open,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sheriff ^nn++++=sheriff
in ^in++++=in
the ^ati++++=the
lead ^nn++++=lead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
halted ^jj+++xvbn+=halted
to ^to++++=to
await ^vbi++++=await
the ^ati++++=the
meeting ^nvbg+++xvbg+=meeting.
. ^zz++++=EXTRAWORD
Gray ^np++++=Gray
rode ^vbd+++xvbn+=rode
up ^in+cmpx+++=up
to ^in"++++=to
within ^in++++=within
a ^at++++=a
hundred ^cd++++=hundred
feet ^nns++++=feet
of ^in++++=of
Ninde ^np++++=Ninde's
's ^$++++=EXTRAWORD
posse ^nn++++=posse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dismounting ^xvbg+++xvbg+=dismounting
handed ^vwbn+++xvbn+=handed
the ^ati++++=the
reins ^nns++++=reins
of ^in++++=of
his ^pp$+pp3+++=his
bridle ^nn++++=bridle
to ^in++++=to
his ^pp$+pp3+++=his
son ^nn++++=son.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
advanced ^vbd+++xvbnx+=advanced
with ^in++++=with
a ^at++++=a
steady ^jj++++=steady,
, ^zz++++=EXTRAWORD
even ^rb++++=even
stride ^nn++++=stride,
, ^zz++++=EXTRAWORD
a ^at++++=a
double ^jj++++=double-barreled
- ^zz++++=EXTRAWORD
barreled ^jj+atrb++xvbn+=EXTRAWORD
shotgun ^nn++++=shotgun
held ^vbd+vprv++xvbn+=held
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
expected ^vbd+vprv++xvbnx+=expected
to ^to+vcmp+++=to
flush ^rb++++=flush
a ^at++++=a
partridge ^nn+++??+=partridge.
. ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
critical ^jj+atrb+++=critical
juncture ^nn++++=juncture,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
party ^nn++++=party
following ^vwbg+++xvbg+=following
him ^pp3o+pp3+++=him
up ^rp++++=up,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
that ^tht+vcmp+++=that
reputations ^nns+nom+++=reputations
as ^in++++=as
bad ^jj+atrb+++=bad
men ^nns++++=men
were ^vbd+bed+vrb++=were
due ^jj+pred+++=due
to ^to+jcmp+++=to
get ^vbi++++=get
action ^nn++++=action,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
suffer ^vb++++=suffer
a ^at++++=a
discount ^nn++++=discount
at ^in+cmpx+++=at
the ^in"++++=the
hands ^in"++++=hands
of ^in"++++=of
heretofore ^nn+++??+=heretofore
peaceable ^jj+atrb+++=peaceable
men ^nns++++=men.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
man ^nn++++=man
in ^in++++=in
either ^dtx++++=either
party ^nn++++=party
had ^vb+hv+vrb++=had
his ^pp$+pp3+++=his
arms ^nns++++=arms
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
would ^md+prd+++=would
be ^vb+be+vrb++=be
instantly ^rb+tm+++=instantly
available ^jj+pred+++=available
should ^md+nec+++=should
the ^ati++++=the
occasion ^nn++++=occasion
demand ^nn++++=demand
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Gray ^np++++=Gray
came ^vbd+++xvbn+=came
within ^in++++=within
easy ^jj+atrb+++=easy
hailing ^nn+nom+++=hailing
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
challenge ^nn++++=challenge
was ^vbd+bedz+vrb++=was
clear ^jj+pred+++=clear
and ^cc+phrs+++=and
audible ^jj++++=audible
to ^in++++=to
every ^at++++=every
one ^pn++++=one.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
in ^in++++=in
hell ^nn++++=hell
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
doing ^vbg+++xvbg+=doing
with ^in++++=with
my ^pp$+pp1+++=my
horses ^nns++++=horses?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^md"++pmd"++0=EXTRAWORD
got ^vb++pmd"+xvbnx+=got
to ^to+vcmp+pmd++=to
have ^vbi++vrb++=have
these ^dt+dem+++=these
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
Ninde ^np+++??+=Ninde.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
realize ^vb+vprv+++=realize
what ^wdt+who+whcl++=what
it ^pp3+it+++=it
will ^md+prd+++=will
take ^vb++++=take
to ^to+vcmp+++=to
get ^vbi++++=get
them ^pp3o+pp3+++=them?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Gray ^np++++=Gray,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
brought ^vbd+++xvbnx+=brought
his ^pp$+pp3+++=his
gun ^nn++++=gun,
, ^zz++++=EXTRAWORD
both ^abx++++=both
barrels ^nns++++=barrels
at ^in++++=at
full ^jj+atrb+++=full
cock ^nn++++=cock,
, ^zz++++=EXTRAWORD
to ^in++++=to
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
" ^zz++++="Bat
bat ^nn++++=EXTRAWORD
an ^at++++=an
eye ^nn++++=eye,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
crook ^nn++++=crook
your ^pp$+pp2+++=your
little ^jj+atrb+++=little
finger ^nn++++=finger
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
dare ^vb++++=dare,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
send ^vb++++=send
your ^pp$+pp2+++=your
soul ^nn++++=soul
glimmering ^vwbg+++xvbg+=glimmering
into ^in++++=into
eternity ^nn+nom+++=eternity,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
my ^pp$+pp1+++=my
own ^ap++++=own
goes ^vbz++++=goes
to ^in++++=to
hell ^nn++++=hell
for ^in++++=for
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
something ^pn++++=something
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
that ^tht+rel+subj++=that
conveyed ^vbd+++xvbn+=conveyed
the ^ati++++=the
impression ^nn++++=impression
that ^tht+ncmp+++=that
these ^dt+pdem+++=these
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
idle ^jj+atrb+++=idle
words ^nns++++=words.
. ^zz++++=EXTRAWORD
To ^in++++=To
heed ^nn++++=heed
them ^pp3o+pp3+++=them
was ^vbd+bedz+vrb++=was
the ^ati++++=the
better ^jjr+atrb+++=better
way ^nn++++=way,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
human ^jj+atrb+++=human
life ^nn++++=life
had ^vb+hv+vrb++=had
any ^dti++++=any
value ^nn++++=value.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gray ^np++++=Gray,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
sheriff ^nn++++=sheriff,
, ^zz++++=EXTRAWORD
" ^zz++++="put
put ^vbd+++xvbn+=EXTRAWORD
down ^rb+phrv+++=down
your ^pp$+pp2+++=your
gun ^nn++++=gun
and ^cc++++=and
take ^vb++++=take
your ^pp$+pp2+++=your
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
bad ^jj+atrb+++=bad
piece ^nn++++=piece
of ^in++++=of
business ^nns+nom+++=business
for ^in++++=for
us ^pp1o+pp1+++=us--take
-- ^--+clp+++=EXTRAWORD
take ^vb++++=EXTRAWORD
your ^pp$+pp2+++=your
horses ^nns++++=horses
and ^cc++++=and
go ^vb++++=go,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
bondsmen ^jj+++xvbn+=bondsmen
can ^md+pos+++=can
pay ^vb++++=pay
that ^tht+rel+++=that
judgment ^nn+nom+++=judgment,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
to ^in+strn+++=to."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Gray ^np++++=Gray's
's ^$++++=EXTRAWORD
son ^nn++++=son
rode ^vbd+++xvbn+=rode
around ^rb++++=around
during ^in++++=during
the ^ati++++=the
conversation ^nn+nom+++=conversation,
, ^zz++++=EXTRAWORD
opened ^j+++xvbn+=opened
the ^ati++++=the
gate ^nn++++=gate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turned ^vbd+++xvbn+=turned
out ^rb+phrv+++=out
the ^ati++++=the
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
or ^cc++++=or
two ^cd++++=two
men ^nns++++=men
helped ^vbd+++xvbn+=helped
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
herd ^nn++++=herd
was ^vbd+bedz+vrb++=was
soon ^rb+tm+++=soon
on ^in++++=on
its ^pp$+it+++=its
way ^nn++++=way
to ^in++++=to
the ^ati++++=the
pasture ^nn++++=pasture.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
men ^nns++++=men
of ^in++++=of
his ^pp$+pp3+++=his
party ^nn++++=party
turned ^vbd+++xvbn+=turned
to ^to++++=to
follow ^vbi+vprv+++=follow
Gray ^np++++=Gray,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
remounted ^vprf+++xvbnx+=remounted,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
presented ^vbd+++xvbnx+=presented
a ^at++++=a
pitiful ^jj+atrb+++=pitiful
sight ^nn++++=sight.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
still ^rb+atrb+++=still
determined ^jj+atrb++xvbn+=determined
features ^nns++++=features,
, ^zz++++=EXTRAWORD
relaxed ^j+++xvbn+=relaxed
from ^in++++=from
the ^ati++++=the
high ^jj+atrb+++=high
tension ^nn++++=tension
to ^to++++=to
which ^whp+who+++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
nerved ^vpsv++agls+xvbnx+=nerved,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
blanched ^jj+pred+++=blanched
to ^in++++=to
the ^ati++++=the
color ^nn++++=color
of ^in++++=of
his ^pp$+pp3+++=his
hair ^nn++++=hair
and ^cc++++=and
beard ^nn++++=beard.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
like ^in++++=like
a ^at++++=a
drowning ^jj+atrb++xvbg+=drowning
man ^nn++++=man--with
-- ^--+clp+++=EXTRAWORD
with ^in++++=EXTRAWORD
the ^ati++++=the
strength ^nn++++=strength
of ^in++++=of
two ^cd++++=two--when
-- ^--+clp+++=EXTRAWORD
when ^wrb+who+++=EXTRAWORD
rescued ^vbd+++xvbn+=rescued
and ^cc+phrs+++=and
brought ^vbd+++xvbn+=brought
safely ^rb++++=safely
to ^in++++=to
land ^nn++++=land,
, ^zz++++=EXTRAWORD
fainting ^nvbg+++xvbg+=fainting
through ^in++++=through
sheer ^jjb+atrb+++=sheer
weakness ^nns+nom+++=weakness.
. ^zz++++=EXTRAWORD
A ^at++++=A
reprieve ^nn++++=reprieve
from ^in++++=from
death ^nn++++=death
itself ^ppl++++=itself
or ^cc++++=or
the ^ati++++=the
blood ^nn++++=blood
of ^in++++=of
his ^pp$+pp3+++=his
fellow ^jjb+atrb+++=fellow
man ^nn++++=man
upon ^in++++=upon
his ^pp$+pp3+++=his
hands ^nns++++=hands
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
met ^vpsv++agls+xvbnx+=met
and ^cc+phrs+++=and
passed ^vbd+++xvbn+=passed.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
some ^dti++++=some
little ^jj+atrb+++=little
time ^nn++++=time
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
reckon ^vb+vprv+tht0++=reckon
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
best ^jjt+pred+++=best,
, ^zz++++=EXTRAWORD
the ^ati++++=the
way ^nn++++=way
things ^nns++++=things
turned ^vbd+++xvbn+=turned
out ^rb+cnj+++=out,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
would ^md+prd+++=would
hate ^vb++++=hate
to ^to+vcmp+++=to
kill ^vbi++++=kill
any ^dti++++=any
man ^nn++++=man,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
would ^md+prd+++=would
gladly ^rb++splt++=gladly
die ^vb++++=die
rather ^rb++++=rather
than ^in++++=than
suffer ^vb++++=suffer
an ^at++++=an
injustice ^nn++++=injustice
or ^cc++++=or
quietly ^rb++++=quietly
submit ^vb+vpub+++=submit
to ^to++++=to
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
was ^vbd+bedz+vrb++=was
a ^at++++=a
wrong ^nn++++=wrong
against ^in++++=against
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
some ^dti++++=some
moments ^nns+nom+++=moments
before ^cs+sub+++=before
the ^ati++++=the
party ^nn++++=party
became ^vbd+++xvbn+=became
communicative ^jj++++=communicative,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
all ^abn++++=all
had ^vb+hv+vrb++=had
a ^at++++=a
respect ^nn++++=respect
for ^in++++=for
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man's
's ^$++++=EXTRAWORD
feelings ^nns+nom+++=feelings.
. ^zz++++=EXTRAWORD
Ninde ^np+++??+=Ninde
was ^vbd+bedz+vrb++=was
on ^in++++=on
the ^ati++++=the
uneasy ^jj+atrb+++=uneasy
seat ^nn++++=seat,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
would ^md+prd+++=would
not ^xnot++not++=not
return ^vb++++=return
to ^in++++=to
the ^ati++++=the
State ^nn++++=State,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
his ^pp$+pp3+++=his
posse ^nn++++=posse
returned ^vbd+++xvbn+=returned
somewhat ^rb+down+++=somewhat
crestfallen ^jj++++=crestfallen.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
may ^md+pos+++=may
be ^vb+be+aux++=be
added ^vpsv++agls+xvbnx+=added
that ^tht+vcmp+++=that
the ^ati++++=the
sheriff ^nn++++=sheriff's
's ^$++++=EXTRAWORD
bondsmen ^vpsv++agls+xvbnx+=bondsmen,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
an ^at++++=an
examination ^nn+nom+++=examination
into ^in++++=into
the ^ati++++=the
facts ^nns++++=facts
in ^in++++=in
the ^ati++++=the
case ^nn++++=case,
, ^zz++++=EXTRAWORD
concluded ^j+++xvbn+=concluded
to ^to++++=to
stand ^vbi++++=stand
a ^at++++=a
suit ^nn++++=suit
on ^in++++=on
the ^ati++++=the
developments ^nns+nom+++=developments
of ^in++++=of
some ^dti++++=some
facts ^nns++++=facts
which ^whp+rel+obj++=which
their ^pp$+pp3+++=their
examination ^nn+nom+++=examination
had ^vbd+hvd+aux++=had
uncovered ^vprf+++xvbnx+=uncovered
in ^in++++=in
the ^ati++++=the
original ^jj+atrb+++=original
proceedings ^nns++++=proceedings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
matter ^nn++++=matter
was ^vbd+bedz+aux++=was
dropped ^vpsv++agls+xvbnx+=dropped,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
fight ^nn++++=fight
it ^pp3+it+++=it
through ^in++++=through
in ^in++++=in
open ^jj+atrb+++=open
court ^nn++++=court.
. ^zz++++=EXTRAWORD
