That ^dt+pdem+++=That
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
lose ^vb++++=lose
all ^rb++++=all
the ^ati++++=the
sweetest ^jjt+atrb+++=sweetest
joys ^nns++++=joys
of ^in++++=of
the ^ati++++=the
present ^jj+atrb+++=present,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
husbands ^nns++++=husbands
were ^vbd+bed+aux++=were
compelled ^vpsv++agls+xvbnx+=compelled,
, ^zz++++=EXTRAWORD
from ^in++++=from
motives ^nns++++=motives
of ^in++++=of
conjugal ^jj+atrb+++=conjugal
policy ^nn++++=policy,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
show ^nn++++=show
them ^pp3o+pp3+++=them
all ^abn++++=all
the ^ati++++=the
jewels ^nns++++=jewels
in ^in++++=in
the ^ati++++=the
shrine ^nn++++=shrine
of ^in++++=of
love ^nn++++=love,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
the ^ati++++=the
said ^vbd+vpub+tht0+xvbn+=said
jewels ^nns++++=jewels
would ^md+prd+++=would
so ^ql++++=so
affect ^vb++++=affect
their ^pp$+pp3+++=their
hearts ^nns++++=hearts,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
rapturously ^jj++++=rapturously
delicious ^jj++++=delicious,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
titillatingly ^jj++++=titillatingly
voluptuous ^jj++++=voluptuous,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
a ^at++++=a
woman ^nn++++=woman
would ^md+prd+++=would
no ^at++++=no
longer ^rbr++++=longer
consent ^nn++++=consent
to ^to++++=to
dwell ^vbi++++=dwell
in ^in++++=in
the ^ati++++=the
cold ^jj+atrb+++=cold
regions ^nns++++=regions
of ^in++++=of
domestic ^jj+atrb+++=domestic
life ^nn++++=life;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
declared ^vbd+vpub++xvbnx+=declared
this ^dt+dem+++=this
marital ^jj+atrb+++=marital
abomination ^nn+nom+++=abomination
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
great ^jj+atrb+++=great
felony ^nn+++??+=felony,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
the ^ati++++=the
least ^rbt++++=least
thing ^nn++++=thing
a ^at++++=a
man ^nn++++=man
could ^md+pos+++=could
do ^vb+do+vrb++=do
in ^in++++=in
recognition ^nn+nom+++=recognition
of ^in++++=of
the ^ati++++=the
virtuous ^jj+atrb+++=virtuous
life ^nn++++=life
of ^in++++=of
a ^at++++=a
good ^jj+atrb+++=good
woman ^nn++++=woman
and ^cc++++=and
her ^pp$+pp3+++=her
great ^jj+atrb+++=great
merits ^nns++++=merits,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
to ^in++++=to
overwork ^nn++++=overwork
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
to ^to++++=to
exert ^vbi++++=exert,
, ^zz++++=EXTRAWORD
to ^to++++=to
exterminate ^nn+nom+++=exterminate
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
to ^to++++=to
please ^uh++++=please
her ^pp$+pp3+++=her
in ^in++++=in
every ^at++++=every
way ^nn++++=way,
, ^zz++++=EXTRAWORD
with ^in++++=with
fondlings ^nns+nom+++=fondlings
and ^cc++++=and
kissings ^nns+++??+=kissings
and ^cc++++=and
wrestlings ^nns+nom+++=wrestlings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
the ^ati++++=the
delicacies ^nns+nom+++=delicacies
and ^cc++++=and
sweet ^jj+atrb+++=sweet
confectionery ^nn+nom+++=confectionery
of ^in++++=of
love ^nn++++=love;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
would ^md+prd+++=would
taste ^vb++++=taste
a ^rb++++=a
little ^rb"++++=little
of ^in++++=of
the ^ati++++=the
seraphic ^jj+atrb+++=seraphic
joys ^nns++++=joys
of ^in++++=of
these ^dt+dem+++=these
little ^jj+atrb+++=little
ways ^nns++++=ways
to ^in++++=to
her ^pp$+pp3+++=her
unknown ^jj++++=unknown,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
believe ^vb+vprv+++=believe
all ^rb++++=all
the ^ati++++=the
other ^ap++++=other
things ^nns++++=things
of ^in++++=of
life ^nn++++=life
as ^ql++++=as
not ^xnot++not++=not
worth ^in++++=worth
a ^at++++=a
straw ^nn++++=straw;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
such ^abl++++=such
were ^vbd+bed+aux++=were
her ^pp$+pp3+++=her
wish ^vb+vprv+++=wish,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
forever ^rb++++=forever
be ^vb+be+vrb++=be
as ^ql++++=as
silent ^jj++++=silent
as ^in++++=as
the ^ati++++=the
grave ^nn++++=grave,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
last ^rb++++=last
no ^at++++=no
scandal ^nn++++=scandal
would ^md+prd+++=would
besmear ^vb+++??+=besmear
her ^pp3o+pp3+++=her
virtue ^nn++++=virtue.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
lewd ^nn+++??+=lewd
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
perceiving ^vb++++=perceiving
that ^tht+vcmp+obj++=that
the ^ati++++=the
lady ^nn++++=lady
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
stop ^nn++++=stop
her ^pp3o+pp3+++=her
ears ^nns++++=ears,
, ^zz++++=EXTRAWORD
commenced ^xvbn+++xvbn+=commenced
to ^to++++=to
describe ^vbi++++=describe
to ^in++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
after ^in++++=after
the ^ati++++=the
fashion ^nn++++=fashion
of ^in++++=of
arabesque ^jj+atrb+++=arabesque
pictures ^nns++++=pictures,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
at ^rb++++=at
that ^dt+dem+++=that
time ^nn++++=time
were ^vbd+bed+aux++=were
much ^rb++splt++=much
esteemed ^vpsv++agls+xvbnx+=esteemed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wanton ^jj+atrb+++=wanton
inventions ^nns+nom+++=inventions
of ^in++++=of
debauchery ^nn+nom+++=debauchery.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
did ^vbd+dod+vrb++=did
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
shoot ^vb++++=shoot
flame ^nn++++=flame,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
words ^nns++++=words
burn ^nn++++=burn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
voice ^nn++++=voice
ring ^nn++++=ring,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
himself ^ppl+pp3+++=himself
took ^vbd+++xvbn+=took
great ^jj+atrb+++=great
pleasure ^nn++++=pleasure
in ^in++++=in
calling ^xvbg+++xvbg+=calling
to ^in++++=to
mind ^nn++++=mind
the ^ati++++=the
various ^jj+atrb+++=various
ways ^nns++++=ways
of ^in++++=of
his ^pp$+pp3+++=his
ladies ^nns++++=ladies,
, ^zz++++=EXTRAWORD
naming ^nvbg+++xvbg+=naming
them ^pp3o+pp3+++=them
to ^in++++=to
Madame ^npt++++=Madame
d ^zz++++=d'Hocquetonville,
'hocquetonville, ^nn+++??+=EXTRAWORD
and ^cc++++=and
even ^rb++++=even
revealing ^vbg+nom++xvbg+=revealing
to ^in++++=to
her ^pp3o+pp3+++=her
the ^ati++++=the
tricks ^nns++++=tricks,
, ^zz++++=EXTRAWORD
caresses ^nns+nom+++=caresses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
amorous ^jj+atrb+++=amorous
ways ^nns++++=ways
of ^in++++=of
Queen ^npt++++=Queen
Isabella ^np+++??+=Isabella,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
use ^nn++++=use
of ^in++++=of
expression ^nn++++=expression
so ^rb+emph+++=so
gracious ^jj++++=gracious
and ^cc++++=and
so ^rb++++=so
ardently ^rb++++=ardently
inciting ^jj+++xvbg+=inciting,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
fancying ^jj+++xvbg+=fancying
it ^pp3+it+++=it
caused ^vbd+++xvbn+=caused
the ^ati++++=the
lady ^nn++++=lady
to ^to++++=to
relax ^vbi++++=relax
her ^pp$+pp3+++=her
hold ^nn++++=hold
upon ^in++++=upon
the ^ati++++=the
stiletto ^nn+++??+=stiletto
a ^rb++++=a
little ^rb"++++=little,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
as ^cs+sub+++=as
if ^cs+cnd+++=if
to ^in++++=to
approach ^nn++++=approach
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
ashamed ^jj++++=ashamed
to ^to+jcmp+++=to
be ^vbi+vbi+aux++=be
found ^vpsv++agls+xvbnx+=found
buried ^vbd+++xvbn+=buried
in ^in++++=in
thought ^nn+++xvbn+=thought,
, ^zz++++=EXTRAWORD
gazed ^j+++xvbn+=gazed
proudly ^rb++++=proudly
at ^in++++=at
the ^ati++++=the
diabolical ^jj+atrb+++=diabolical
leviathan ^nn+nom+++=leviathan
who ^whp+rel+subj++=who
tempted ^vbd+++xvbn+=tempted
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vpsv++agls+xvbn+=said
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
" ^zz++++="Fine
fine ^jj+atrb+++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thank ^vb++++=thank
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
caused ^vprf+++xvbnx+=caused
me ^pp1o+pp1+++=me
to ^in++++=to
love ^nn++++=love
my ^pp$+pp1+++=my
husband ^nn++++=husband
all ^rb++++=all
the ^ati++++=the
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
for ^in++++=for
from ^in++++=from
your ^pp$+pp2+++=your
discourse ^nn++++=discourse
I ^pp1a+pp1+++=I
learn ^vb+vprv+++=learn
how ^wrb+who+whcl++=how
much ^rb++++=much
he ^pp3a+pp3+++=he
esteems ^nns+++??+=esteems
me ^pp1o+pp1+++=me
by ^in++++=by
holding ^xvbg+++xvbg+=holding
me ^pp1o+pp1+++=me
in ^in++++=in
such ^abl++++=such
respect ^nn++++=respect
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
dishonour ^nn++++=dishonour
his ^pp$+pp3+++=his
couch ^nn++++=couch
with ^in++++=with
the ^ati++++=the
tricks ^nns++++=tricks
of ^in++++=of
street ^npl++++=street-walkers
- ^zz++++=EXTRAWORD
walkers ^nns+nom+++=EXTRAWORD
and ^cc++++=and
bad ^jj+atrb+++=bad
women ^nns++++=women.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
think ^vb+vprv+tht0++=think
myself ^ppl+pp1+++=myself
forever ^rb++++=forever
disgraced ^vbd+++xvbn+=disgraced,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
should ^md+nec+++=should
be ^vb+be+aux++=be
contaminated ^vpsv++agls+xvbnx+=contaminated
to ^in++++=to
all ^abn++++=all
eternity ^nn+nom+++=eternity
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
put ^vbd+++xvbnx+=put
my ^pp$+pp1+++=my
foot ^nn++++=foot
in ^in++++=in
these ^dt+dem+++=these
sloughs ^nns+++??+=sloughs
where ^wrb+who+++=where
go ^vb++++=go
these ^dt+dem+++=these
shameless ^jj+atrb+++=shameless
hussies ^nns+++??+=hussies.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man's
's ^$++++=EXTRAWORD
wife ^nn++++=wife
is ^vbz+bez+vrb++=is
one ^cd1++++=one
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
mistress ^nns+nom+++=mistress
another ^ppls++++=another."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
wager ^jjr++++=wager,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
duke ^nn++++=duke,
, ^zz++++=EXTRAWORD
smiling ^jj+++xvbg+=smiling,
, ^zz++++=EXTRAWORD
" ^zz++++="that,
that ^dt+pdem+++=EXTRAWORD
, ^zz++++=EXTRAWORD
nevertheless ^rb+cnj+++=nevertheless,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
future ^jjb++++=future
you ^pp2+pp2+++=you
spur ^nn++++=spur
the ^ati++++=the
Sire ^np+++??+=Sire
d ^zz++++=d'Hocquetonville
'hocquetonville ^nn+++??+=EXTRAWORD
to ^in++++=to
a ^rb++++=a
little ^rb"++++=little
sharper ^jjr+atrb+++=sharper
pace ^nn++++=pace."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
the ^ati++++=the
good ^jj+atrb+++=good
woman ^nn++++=woman
trembled ^vbd+++xvbn+=trembled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cried ^vbd+++xvbn+=cried,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
a ^at++++=a
wicked ^jj+atrb+++=wicked
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
I ^pp1a+pp1+++=I
both ^abx++++=both
despise ^vb++++=despise
and ^cc+phrs+++=and
abominate ^nn+nom+++=abominate
you ^pp2+pp2+++=you!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What!
! ^zz++++=EXTRAWORD
unable ^jj++++=unable
to ^to+jcmp+++=to
rob ^vbi++++=rob
me ^pp1o+pp1+++=me
of ^in++++=of
my ^pp$+pp1+++=my
honour ^nn++++=honour,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
attempt ^vb++++=attempt
to ^to+vcmp+++=to
poison ^vbi++++=poison
my ^pp$+pp1+++=my
mind ^nn++++=mind!
! ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
lord ^npt++++=lord,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
night ^nn++++=night's
's ^$++++=EXTRAWORD
work ^nn++++=work
will ^md+prd+++=will
cost ^vb++++=cost
you ^pp2+pp2+++=you
dear ^jj++++=dear-"If
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
if ^cs+cnd+++=EXTRAWORD
I ^pp1a+pp1+++=I
forget ^vb+vprv+tht0++=forget
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
a ^at++++=a
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
God ^np++++=God
will ^md+prd+++=will
not ^xnot++not++=not
forget ^vb+vprv+++=forget.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
not ^xnot++not++=not
those ^dt+dem+++=those
of ^in++++=of
verse ^nn++++=verse
is ^vbz+bez+vrb++=is
yours ^pp$$++++=yours?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Madame,"
madame ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
duke ^nn++++=duke,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
pale ^nn++++=pale
with ^in++++=with
anger ^nn++++=anger,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you
bound ^vbd+++xvbn+=bound--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh
oh ^uh++++=EXTRAWORD
no ^at++++=no!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
free ^jj++++=free
myself ^ppl+pp1+++=myself,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub+tht0+xvbn+=replied
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
brandishing ^jj+++xvbg+=brandishing
the ^ati++++=the
stiletto ^nn+++??+=stiletto.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rapscallion ^nn+++??+=rapscallion
began ^vbd+++xvbn+=began
to ^to++++=to
laugh ^vbi++++=laugh.
. ^zz++++=EXTRAWORD
" ^zz++++="Never
never ^rb++++=EXTRAWORD
mind ^nn++++=mind,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
a ^at++++=a
means ^nn++++=means
of ^in++++=of
plunging ^xvbg+++xvbg+=plunging
you ^pp2+pp2+++=you
into ^in++++=into
the ^ati++++=the
sloughs ^nns+++??+=sloughs
of ^in++++=of
three ^cd++++=three
brazen ^vb++++=brazen
hussies ^nns+++??+=hussies,
, ^zz++++=EXTRAWORD
as ^ql++++=as
you ^pp2+pp2+++=you
call ^nn++++=call
them ^pp3o+pp3+++=them."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Never,
never ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
live ^vb++++=live."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Head
head ^nn++++=EXTRAWORD
and ^cc++++=and
heels ^nns++++=heels
you ^pp2+pp2+++=you
shall ^md+prd+++=shall
go ^vb++++=go
in ^in+strn+++=in--with
-- ^--+clp+++=EXTRAWORD
with ^in++++=EXTRAWORD
your ^pp$+pp2+++=your
two ^cd++++=two
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
two ^cd++++=two
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
two ^cd++++=two
ivory ^nn++++=ivory
breasts ^nns++++=breasts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
other ^ap++++=other
things ^nns++++=things,
, ^zz++++=EXTRAWORD
white ^jj++++=white
as ^ql++++=as
snow ^np++++=snow--your
-- ^--+clp+++=EXTRAWORD
your ^pp$+pp2+++=EXTRAWORD
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
go ^vb++++=go
of ^in++++=of
your ^pp$+pp2+++=your
own ^ap++++=own
accord ^nn++++=accord;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
shall ^md+prd+++=shall
enter ^vb++++=enter
into ^in+ppvb+++=into
it ^pp3+it+++=it
lasciviously ^rb+cnj+++=lasciviously,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
a ^at++++=a
way ^nn++++=way
to ^to++++=to
crush ^vbi++++=crush
your ^pp$+pp2+++=your
cavalier ^np+nom+++=cavalier,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
wild ^jj+atrb+++=wild
horse ^nn++++=horse
does ^vbz+doz+vrb++=does
its ^pp$+it+++=its
rider ^nn++++=rider--stamping,
-- ^--+clp+++=EXTRAWORD
stamping ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
leaping ^vbg+++xvbg+=leaping,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
snorting ^jj++++=snorting.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
swear ^vbd+vpub+tht0+xvbnx+=swear
it ^pp3+it+++=it
by ^in++++=by
Saint ^nn++++=Saint
Castud ^np+++??+=Castud!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Instantly ^rb+tm+++=Instantly
he ^pp3a+pp3+++=he
whistled ^vbd+++xvbnx+=whistled
for ^in++++=for
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
pages ^nns++++=pages.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
the ^ati++++=the
page ^nn++++=page
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
secretly ^rb++++=secretly
ordered ^jj+++xvbn+=ordered
him ^pp3o+pp3+++=him
to ^to++++=to
go ^vbi++++=go
and ^cc+phrs+++=and
seek ^vb++++=seek
the ^ati++++=the
Sire ^np+++??+=Sire
d ^zz++++=d'Hocquetonville,
'hocquetonville, ^nn+++??+=EXTRAWORD
Savoisy ^np+++??+=Savoisy,
, ^zz++++=EXTRAWORD
Tanneguy ^np+++??+=Tanneguy,
, ^zz++++=EXTRAWORD
Cypierre ^np+++??+=Cypierre,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
members ^nns+nom+++=members
of ^in++++=of
his ^pp$+pp3+++=his
band ^nn++++=band,
, ^zz++++=EXTRAWORD
asking ^jj+++xvbg+=asking
them ^pp3o+pp3+++=them
to ^in++++=to
these ^dt+dem+++=these
rooms ^nns++++=rooms
to ^in++++=to
supper ^nn++++=supper,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
without ^in++++=without
at ^in++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time
inviting ^vwbg+++xvbg+=inviting
to ^to++++=to
meet ^vbi++++=meet
his ^pp$+pp3+++=his
guests ^nns++++=guests
a ^at++++=a
pretty ^jj+atrb+++=pretty
petticoat ^nn++++=petticoat
or ^cc++++=or
two ^cd++++=two.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
and ^cc+phrs+++=and
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
in ^in++++=in
his ^pp$+pp3+++=his
chair ^nn++++=chair
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
ten ^cd++++=ten
paces ^nns++++=paces
from ^in++++=from
the ^ati++++=the
lady ^nn++++=lady,
, ^zz++++=EXTRAWORD
off ^rp+pl+++=off
whom ^whp+wpor+++=whom
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
not ^xnot++not++=not
taken ^vprf+++xvbn+=taken
his ^pp$+pp3+++=his
eye ^nn++++=eye
while ^cs+sub+++=while
giving ^vbg+++xvbg+=giving
his ^pp$+pp3+++=his
commands ^nns++++=commands
to ^in++++=to
the ^ati++++=the
page ^nn++++=page
in ^in++++=in
a ^at++++=a
whisper ^nn++++=whisper.
. ^zz++++=EXTRAWORD
" ^zz++++="Raoul
raoul ^np++++=EXTRAWORD
is ^vbz+bez+vrb++=is
jealous ^jj+pred+++=jealous,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
give ^vb++++=give
you ^pp2+pp2+++=you
a ^at++++=a
word ^nn++++=word
of ^in++++=of
advice ^nn++++=advice.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
place ^nn++++=place,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added,
, ^zz++++=EXTRAWORD
pointing ^vbg+++xvbg+=pointing
to ^in++++=to
a ^at++++=a
secret ^jj+atrb+++=secret
door ^nn++++=door,
, ^zz++++=EXTRAWORD
" ^zz++++="are
are ^vb+ber+vrb++=EXTRAWORD
the ^ati++++=the
oils ^nns++++=oils
and ^cc++++=and
superfine ^nn+++??+=superfine
perfumes ^nns++++=perfumes
of ^in++++=of
the ^ati++++=the
queen ^nn++++=queen;
; ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
other ^ap++++=other
little ^jj+atrb+++=little
closet ^nn++++=closet
she ^pp3a+pp3+++=she
performs ^vbz++++=performs
her ^pp$+pp3+++=her
ablutions ^nns+nom+++=ablutions
and ^cc++++=and
little ^jj+atrb+++=little
feminine ^jj+atrb+++=feminine
offices ^nns++++=offices.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
by ^in++++=by
much ^ap++++=much
experience ^nn+nom+++=experience
that ^tht+rel+obj++=that
each ^ppls++++=each
one ^pn++++=one
of ^in++++=of
you ^pp2+pp2+++=you
gentle ^jj+atrb+++=gentle
creatures ^nns++++=creatures
has ^vbz+hvz+vrb++=has
her ^pp$+pp3+++=her
own ^ap++++=own
special ^jj+atrb+++=special
perfume ^nn++++=perfume,
, ^zz++++=EXTRAWORD
by ^in++++=by
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
is ^vbz+bez+aux++=is
smelt ^vpsv++agls+xvbnx+=smelt
and ^cc++++=and
recognised ^jj+++xvbn+=recognised.
. ^zz++++=EXTRAWORD
So ^ql++++=So
if ^cs+cnd+++=if,
, ^zz++++=EXTRAWORD
as ^ql++++=as
you ^pp2+pp2+++=you
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
Raoul ^np++++=Raoul
is ^vbz+bez+vrb++=is
overwhelmingly ^rb++++=overwhelmingly
jealous ^jj+pred+++=jealous
with ^in++++=with
the ^ati++++=the
worst ^nn++++=worst
of ^in++++=of
all ^abn++++=all
jealousies ^nns++++=jealousies,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
use ^vb++++=use
these ^dt+dem+++=these
fast ^jj+atrb+++=fast
hussies ^nns+++??+=hussies'
' ^zz++++=EXTRAWORD
scents ^nns++++=scents,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
your ^pp$+pp2+++=your
danger ^nn++++=danger
approaches ^nns++++=approaches
fast ^rb++++=fast."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
lord ^npt++++=lord,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
intend ^vb++++=intend
to ^to+vcmp+++=to
do ^vbi++++=do?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
will ^md+prd+++=will
know ^vb+vprv+++=know
