Over ^in++++=Over
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
the ^ati++++=the
fathers ^nns+nom+++=fathers
and ^cc++++=and
mothers ^nns+nom+++=mothers
were ^vbd+bed+vrb++=were
apt ^jj+pred+++=apt
to ^to+jcmp+++=to
begin ^vbi++++=begin
talking ^vbg+++xvbg+=talking
of ^in++++=of
those ^dt+dem+++=those
occult ^jj+atrb++xvbn+=occult
things ^nns++++=things
that ^tht+rel+subj++=that
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
the ^ati++++=the
creeps ^nns+++??+=creeps.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
after ^in++++=after
the ^ati++++=the
Rochester ^np+nom++??+=Rochester
Knockings ^nns++++=Knockings,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
called ^vpsv++agls+xvbnx+=called,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
exposed ^vpsv++agls+xvbnx+=exposed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
had ^vbd+hvd+aux++=had
spread ^vprf+++xvbnx+=spread
like ^in++++=like
an ^at++++=an
infection ^nn+nom+++=infection
everywhere ^rb++++=everywhere.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
as ^cs+sub+++=as
if ^cs+cnd+++=if
people ^nns++++=people
were ^vbd+bed+aux++=were
waiting ^vbg+++xvbgx+=waiting
to ^to+vcmp+++=to
have ^vbi++vrb++=have
the ^ati++++=the
fraud ^nn++++=fraud
shown ^vbd+vprv++xvbn+=shown
up ^rp++++=up
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
believe ^vb+vprv+++=believe
in ^in++++=in
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
sort ^nn++++=sort
of ^in++++=of
thing ^nn++++=thing
happens ^vbz+vsua+++=happens,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Wanhope ^np+++??+=Wanhope
agreed ^vbd+vpub++xvbn+=agreed.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
seeds ^nns++++=seeds
of ^in++++=of
the ^ati++++=the
ventilated ^jj+atrb++xvbn+=ventilated
imposture ^nn+++??+=imposture
were ^vbd+bed+aux++=were
carried ^vpsv++agls+xvbnx+=carried
atmospherically ^rb++++=atmospherically
into ^in++++=into
the ^ati++++=the
human ^jj+atrb+++=human
mind ^nn++++=mind
broadcast ^nn++++=broadcast
and ^cc++++=and
a ^at++++=a
universal ^jj+atrb+++=universal
crop ^nn++++=crop
of ^in++++=of
self ^nn++++=self-delusion
- ^zz++++=EXTRAWORD
delusion ^nn++++=EXTRAWORD
sprang ^vbd+++xvbn+=sprang
up ^rp++++=up."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="At
at ^rb++++=EXTRAWORD
any ^dti++++=any
rate ^nn++++=rate,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Minver ^np+++??+=Minver
resumed ^vbd+++xvbn+=resumed,
, ^zz++++=EXTRAWORD
" ^zz++++="instead
instead ^rb+cnj+++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
gift ^nn++++=gift
being ^xvbg+++xvbg+=being
confined ^vbd+++xvbn+=confined
to ^in++++=to
a ^ap++++=a
few ^ap"++++=few
persons ^nns++++=persons--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
small ^jj+atrb+++=small
sisterhood ^nn+nom+++=sisterhood
with ^in++++=with
detonating ^xvbg+++xvbg+=detonating
knee-joints ^nns+++??+=knee-joints--there
-- ^--+clp+++=EXTRAWORD
there ^ex+pex+++=EXTRAWORD
were ^vbd+bed+vrb++=were
rappings ^nns+++??+=rappings
in ^in++++=in
every ^at++++=every
well ^rb++++=well-regulated
- ^zz++++=EXTRAWORD
regulated ^vbd+++xvbn+=EXTRAWORD
household ^nn++++=household;
; ^zz++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
tables ^nns++++=tables
tipped ^vwbn+++xvbn+=tipped;
; ^zz++++=EXTRAWORD
people ^nns++++=people
went ^vbd+++xvbn+=went
to ^to++++=to
sleep ^vbi++++=sleep
to ^in++++=to
the ^ati++++=the
soft ^jj+atrb+++=soft
patter ^nn++++=patter
of ^in++++=of
raps ^nns+++??+=raps
on ^in++++=on
the ^ati++++=the
headboards ^nns+++??+=headboards
of ^in++++=of
their ^pp$+pp3+++=their
beds ^nns++++=beds;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
girls ^nns++++=girls
who ^whp+rel+subj++=who
could ^md+pos+++=could
not ^xnot++not++=not
spell ^nn++++=spell
were ^vbd+bed+aux++=were
occupied ^vpsv++agls+xvbnx+=occupied
in ^in++++=in
delivering ^xvbg+++xvbg+=delivering
messages ^nns+nom+++=messages
from ^in++++=from
Socrates ^nns+nom++??+=Socrates,
, ^zz++++=EXTRAWORD
Ben ^np++++=Ben
Franklin ^np++++=Franklin
and ^cc++++=and
Shakespeare ^np++++=Shakespeare.
. ^zz++++=EXTRAWORD
Besides ^rb+cnj+++=Besides
the ^ati++++=the
physical ^jj+atrb+++=physical
demonstrations ^nns+nom+++=demonstrations,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
all ^abn++++=all
sorts ^nns++++=sorts
of ^in++++=of
psychical ^jj+atrb+++=psychical
intimations ^nns+nom+++=intimations
from ^in++++=from
the ^ati++++=the
world ^nn++++=world
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we've
've ^vb+hv+aux++0=EXTRAWORD
now ^rn+tm+splt++=now
abolished ^vprf+++xvbnx+=abolished."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
permanently ^rb+cnj+++=permanently,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suggested ^vbd+vpub++xvbnx+=suggested.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
remains ^nns++++=remains
to ^to++++=to
be ^vbi+vbi+aux++=be
seen ^vpsv++agls+xvbnx+=seen,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Minver ^np+++??+=Minver
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
this ^dt+dem+++=this
sort ^nn++++=sort
of ^in++++=of
thing ^nn++++=thing
which ^whp+rel+obj++=which
my ^pp$+pp1+++=my
people ^nns++++=people
valued ^vwbn+++xvbn+=valued
above ^jjb++++=above
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
exclusive ^jj+pred+++=exclusive
in ^in++++=in
their ^pp$+pp3+++=their
tastes ^nns++++=tastes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
care ^nn++++=care
for ^in++++=for
an ^at++++=an
occultism ^nn+nom+++=occultism
which ^whp+rel+obj++=which
the ^ati++++=the
crowd ^nn++++=crowd
could ^md+pos+++=could
share ^vb++++=share
with ^in++++=with
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
though ^cs+sub+++=though
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
a ^at++++=a
conjecture ^nn++++=conjecture
too ^ql++++=too
long ^rb++++=long
after ^in++++=after
the ^ati++++=the
fact ^nn++++=fact
to ^in++++=to
have ^vbi++vrb++=have
much ^ap++++=much
value ^nn++++=value.
. ^zz++++=EXTRAWORD
As ^in++++=As
far ^in"+pl+++=far
as ^in"++++=as
I ^pp1a+pp1+++=I
can ^md+pos+++=can
now ^rn+tm+splt++=now
remember ^nn+nom+++=remember,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
used ^md"++pmd"++=used
to ^to++++=to
talk ^vb++++=talk
of ^in++++=of
the ^ati++++=the
double ^jj+atrb+++=double
presence ^nn+nom+++=presence
of ^in++++=of
living ^xvbg+++xvbg+=living
persons ^nns++++=persons,
, ^zz++++=EXTRAWORD
like ^in++++=like
their ^pp$+pp3+++=their
being ^vbg+beg++xvbg+=being
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
greatly ^rb+amp+++=greatly
wished ^vbd+vprv++xvbn+=wished
to ^to+vcmp+++=to
be ^vbi++vrb++=be
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
really ^rb+emph+++=really
were ^vbd+bed+vrb++=were;
; ^zz++++=EXTRAWORD
of ^in++++=of
clairvoyance ^nn+nom+++=clairvoyance;
; ^zz++++=EXTRAWORD
of ^in++++=of
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
call ^vb++++=call
mind ^nn++++=mind-transference,
- ^zz++++=EXTRAWORD
transference ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now;
; ^zz++++=EXTRAWORD
of ^in++++=of
weird ^jj+atrb+++=weird
coincidences ^nns+nom+++=coincidences
of ^in++++=of
all ^abn++++=all
kinds ^nns++++=kinds;
; ^zz++++=EXTRAWORD
of ^in++++=of
strange ^jj+atrb+++=strange
experiences ^nns+nom+++=experiences
of ^in++++=of
their ^pp$+pp3+++=their
own ^ap++++=own
and ^cc++++=and
of ^in++++=of
others ^aps++++=others;
; ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
participation ^nn+nom+++=participation
of ^in++++=of
animals ^nns+nom+++=animals
in ^in++++=in
these ^dt+dem+++=these
experiences ^nns+nom+++=experiences,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
testimony ^nn++++=testimony
of ^in++++=of
cats ^nns++++=cats
and ^cc++++=and
dogs ^nns++++=dogs
to ^in++++=to
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
invisible ^jj+atrb+++=invisible
spirits ^nns++++=spirits;
; ^zz++++=EXTRAWORD
of ^in++++=of
dreams ^vb++++=dreams
that ^tht+vcmp+subj++=that
came ^vbd+++xvbn+=came
true ^jj++++=true,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
came ^vpsv++agls+xvbn+=came
near ^in+pl+++=near
coming ^xvbg+++xvbg+=coming
true ^jj++++=true;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
above ^rb++++=above
everything ^pn++++=everything,
, ^zz++++=EXTRAWORD
of ^in++++=of
forebodings ^nns+++??+=forebodings
and ^cc++++=and
presentiments ^nns+nom+++=presentiments.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
dare ^vb++++=dare
say ^vb+vpub+tht0++=say
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
always ^rb++++=always
talk ^nn++++=talk
of ^in++++=of
such ^abl++++=such
things ^nns++++=things,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
giving ^vbg+++xvbgx+=giving
possibly ^rb++++=possibly
a ^at++++=a
general ^jj+atrb+++=general
impression ^nn++++=impression
from ^in++++=from
a ^at++++=a
single ^jj+atrb+++=single
instance ^nn+nom+++=instance;
; ^zz++++=EXTRAWORD
everything ^pn++++=everything
remembered ^vbd+vprv++xvbn+=remembered
of ^in++++=of
childhood ^nn+nom+++=childhood
is ^vbz+bez+vrb++=is
as ^cs+sub+++=as
if ^cs+cnd+++=if
from ^in++++=from
large ^jj+atrb+++=large
and ^cc+phrs+++=and
repeated ^jj+atrb++xvbn+=repeated
occurrence ^nn+nom+++=occurrence.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
must ^md+nec+++=must
have ^vb+hv+aux++=have
happened ^vprf+++xvbnx+=happened
more ^rbr++++=more
than ^in++++=than
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
recall ^vb+vprv+++=recall
that ^tht+vcmp+++=that
when ^wrb+who+++=when
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
to ^in++++=to
presentiments ^nns+nom+++=presentiments
my ^pp$+pp1+++=my
aunt ^nn++++=aunt
broke ^vbd+++xvbn+=broke
it ^pp3+it+++=it
up ^rp++++=up,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
once ^rb+tm+++=once
only ^rb+down+++=only.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
cousin ^nn++++=cousin
used ^md"++pmd"++=used
to ^to++++=to
get ^vb++++=get
very ^ql+amp+++=very
sleepy ^jj++++=sleepy
on ^in++++=on
the ^ati++++=the
rug ^nn++++=rug
before ^in++++=before
the ^ati++++=the
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp3o+pp3+++=her
mother ^npt++++=mother
would ^md+prd+++=would
carry ^vb++++=carry
her ^pp$+pp3+++=her
off ^rp+pl+++=off
to ^in++++=to
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
cross ^np++++=cross
and ^cc++++=and
impatient ^jj++++=impatient
of ^in++++=of
being ^nn+nn+aux++=being
kissed ^vbd+++xvbn+=kissed
good ^jj+atrb+++=good
night ^nn++++=night,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
left ^vpsv++agls+xvbnx+=left
to ^in++++=to
the ^ati++++=the
brunt ^nn++++=brunt
of ^in++++=of
the ^ati++++=the
occult ^jj+++xvbn+=occult
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
go ^vb++++=go
with ^in++++=with
my ^pp$+pp1+++=my
aunt ^nn++++=aunt
and ^cc++++=and
cousin ^nn++++=cousin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
folded ^vbd+++xvbnx+=folded
myself ^ppl+pp1+++=myself
in ^in++++=in
my ^pp$+pp1+++=my
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
skirt ^nn++++=skirt,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
at ^rb++++=at
her ^pp3o+pp3+++=her
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
listened ^vpsv++agls+xvbn+=listened
in ^in++++=in
an ^at++++=an
anguish ^nn++++=anguish
of ^in++++=of
drowsy ^jj+atrb+++=drowsy
terror ^nn++++=terror.
. ^zz++++=EXTRAWORD
The ^ati++++=The
talk ^nn++++=talk
would ^md+prd+++=would
pass ^vb++++=pass
into ^in++++=into
my ^pp$+pp1+++=my
dreams ^nps++++=dreams,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
dreams ^nps++++=dreams
would ^md+prd+++=would
return ^vb++++=return
into ^in++++=into
the ^ati++++=the
talk ^nn++++=talk;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
would ^md+prd+++=would
suffer ^vb++++=suffer
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
double ^jj+atrb+++=double
nightmare ^nn++++=nightmare,
, ^zz++++=EXTRAWORD
waking ^vbg+++xvbg+=waking
and ^cc+phrs+++=and
sleeping ^vbg+++xvbg+=sleeping."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Poor
poor ^jj+atrb+++=EXTRAWORD
little ^jj+atrb+++=little
devil ^nn++++=devil!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Rulledge ^np+++??+=Rulledge
broke ^vbd+++xvbn+=broke
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
astonishing ^jj++++=astonishing
how ^wrb+who+++=how
people ^nns++++=people
will ^md+prd+++=will
go ^vb++++=go
on ^in++++=on
before ^in++++=before
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
never ^rb++++=never
think ^vb+vprv+++=think
of ^in++++=of
the ^ati++++=the
misery ^nn++++=misery
they ^pp3a+pp3+++=they're
're ^vb+ber+aux++0=EXTRAWORD
making ^vbg+++xvbgx+=making
for ^in+ppvb+++=for
them ^pp3o+pp3+++=them."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
believe ^vb+vprv+tht0++=believe
my ^pp$+pp1+++=my
mother ^npt++++=mother
thought ^vbd+++xvbn+=thought
of ^in++++=of
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Minver ^np+++??+=Minver
returned ^vbd+++xvbn+=returned,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc+cls+++=EXTRAWORD
when ^wrb+who+++=when
that ^dt+dem+++=that
sort ^nn++++=sort
of ^in++++=of
talk ^nn++++=talk
began ^vbd+++xvbn+=began,
, ^zz++++=EXTRAWORD
the ^ati++++=the
witchery ^nn+nom+++=witchery
of ^in++++=of
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
probably ^rb++++=probably
too ^rb++++=too
strong ^jj++++=strong
for ^in++++=for
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
' ^zz++++='It
it ^pp3+it+++=EXTRAWORD
held ^vbd+vprv++xvbn+=held
her ^pp$+pp3+++=her
like ^in++++=like
a ^at++++=a
two ^cd++++=two
years ^nns++++=years'
' ^zz++++=EXTRAWORD
child ^nn++++=child';
'; ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
eight ^cd++++=eight
that ^cs+sub+++=that
winter ^nn++++=winter.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
long ^rb++++=long
my ^pp$+pp1+++=my
suffering ^vbg+++xvbg+=suffering
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
my ^pp$+pp1+++=my
aunt ^nn++++=aunt
came ^vbd+++xvbn+=came
back ^jjb++++=back
and ^cc+phrs+++=and
seemed ^vb+++xvbn+=seemed
to ^to+vcmp+++=to
break ^vbi++++=break
up ^rp++++=up
the ^ati++++=the
talk ^nn++++=talk.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
got ^vprf+++xvbnx+=got
to ^to+vcmp+++=to
presentiments ^nns+nom+++=presentiments,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
they ^pp3a+pp3+++=they
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
this ^dt+pdem+++=this
was ^vbd+bedz+aux++=was
forbidden ^vpsv++agls+xvbnx+=forbidden
ground ^nn++++=ground
with ^in++++=with
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
whether ^cs+who+++=whether
she ^pp3a+pp3+++=she
now ^rn+tm+++=now
actually ^rb+amp+++=actually
said ^vbd+vpub+tht0+xvbn+=said
something ^pn++++=something
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
turned ^vbd+++xvbnx+=turned
to ^to++++=to
talk ^vbi++++=talk
of ^in++++=of
other ^ap++++=other
things ^nns++++=things.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
not ^xnot++not++=not
telling ^vbg+nom++xvbg+=telling
you ^pp2+pp2+++=you
all ^rb++++=all
this ^dt+dem+++=this
from ^in++++=from
my ^pp$+pp1+++=my
own ^ap++++=own
memory ^nn++++=memory,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
deals ^vbz++++=deals
with ^in+ppvb+++=with
only ^rb+down+++=only
a ^at++++=a
point ^nn++++=point
or ^cc++++=or
two ^cd++++=two.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
father ^nn++++=father
and ^cc++++=and
mother ^npt++++=mother
used ^vwbn+++xvbn+=used
to ^in++++=to
recur ^nn+++??+=recur
to ^in++++=to
it ^pp3+it+++=it
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
older ^jjr+pred+++=older,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
piecing ^vbg+++xvbgx+=piecing
out ^rp+pl+++=out
my ^pp$+pp1+++=my
story ^nn++++=story
from ^in++++=from
their ^pp$+pp3+++=their
memories ^nns++++=memories.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
uncle ^nn++++=uncle,
, ^zz++++=EXTRAWORD
with ^in++++=with
all ^abn++++=all
his ^pp$+pp3+++=his
temperamental ^jj+atrb+++=temperamental
pensiveness ^nns+nom+++=pensiveness,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
aunt ^nn++++=aunt's
's ^$++++=EXTRAWORD
stay ^nn++++=stay
and ^cc++++=and
cheer ^nn++++=cheer
in ^in++++=in
the ^ati++++=the
fits ^nn++++=fits
of ^in++++=of
depression ^nn++++=depression
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
paid ^vbd+++xvbnx+=paid
with ^in++++=with
for ^in++++=for
her ^pp$+pp3+++=her
usual ^jj+atrb+++=usual
gaiety ^nn++++=gaiety.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
these ^dt+dem+++=these
fits ^nns++++=fits
always ^rb++++=always
began ^vbd+++xvbn+=began
with ^in++++=with
some ^dti++++=some
uncommon ^jj+atrb+++=uncommon
depression ^nn++++=depression
of ^in++++=of
his ^pp$+pp3+++=his--some
-- ^--+clp+++=EXTRAWORD
some ^dti++++=EXTRAWORD
effect ^nn++++=effect
of ^in++++=of
the ^ati++++=the
forebodings ^nns+++??+=forebodings
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
subject ^nn++++=subject
to ^in+strn+++=to.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
opposition ^nn+nom+++=opposition
to ^in++++=to
that ^dt+dem+++=that
kind ^rb++++=kind
of ^rb"++++=of
thing ^nn++++=thing
was ^vbd+bedz+vrb++=was
purely ^rb++++=purely
unselfish ^jj+pred+++=unselfish,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
certainly ^rb++++=certainly
she ^pp3a+pp3+++=she
dreaded ^vbd+++xvbnx+=dreaded
it ^pp3+it+++=it
for ^in++++=for
him ^pp3o+pp3+++=him
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+tht0++=suppose
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
conscious ^jj+atrb+++=conscious
silence ^nn+nom+++=silence
in ^in++++=in
the ^ati++++=the
others ^aps++++=others
which ^whp+rel+subj++=which
betrayed ^vprf+++xvbn+=betrayed
them ^pp3o+pp3+++=them
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
' ^zz++++='Well,'
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
laughing ^vbg+++xvbg+=laughing,
, ^zz++++=EXTRAWORD
' ^zz++++='have
have ^vb+hv+aux++=EXTRAWORD
you ^pp2+pp2+++=you
been ^vprf+ben+vrb+xvbn+=been
at ^rb++++=at
it ^pp3+it+++=it
again ^rb+tm+++=again?
? ^zz++++=EXTRAWORD
That ^dt+dem+++=That
poor ^jj+atrb+++=poor
child ^nn++++=child
looks ^vbz++++=looks
frightened ^vbd+++xvbn+=frightened
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
wits ^nns++++=wits.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
all ^rb++++=all
laughed ^vbd+++xvbn+=laughed
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
father ^npt++++=father
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
hypocritically ^rb+cnj+++=hypocritically,
, ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
just ^rb+emph+splt++=just
going ^md"++pmd"++=going
to ^md+prd+++=to
ask ^vb++++=ask
Felix ^np++++=Felix
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
expected ^vbd+vprv++xvbnx+=expected
to ^to+vcmp+++=to
start ^vbi++++=start
East ^np+pl+++=East
this ^dt+dem+++=this
week ^nn++++=week
or ^cc++++=or
next ^rb++++=next.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
uncle ^npt++++=uncle
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
make ^vbi++++=make
light ^jj++++=light
of ^in++++=of
what ^wdt+who+++=what
was ^vbd+bedz+vrb++=was
always ^rb++++=always
a ^at++++=a
heavy ^jj+atrb+++=heavy
matter ^nn++++=matter
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
' ^zz++++='Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
yesterday ^nr+tm+++=yesterday,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
answered ^vbd+vpub++xvbnx+=answered,
, ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
have ^vb+hv+aux++=have
said ^vprf+++xvbnx+=said
next ^ap++++=next
week ^nn++++=week;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
this ^dt+dem+++=this
week ^nn++++=week,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
