Possibly ^rb++++=Possibly
several ^ap++++=several
shots ^nns++++=shots
dangerously ^rb++++=dangerously
close ^in+cmpx+++=close
to ^in"++++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
too ^ql++++=too
much ^ap++++=much
to ^to++++=to
expect ^vbi+vprv+++=expect
him ^pp3o+pp3+++=him
to ^to++++=to
shoot ^vbi++++=shoot
unarmed ^jj+atrb+++=unarmed
men ^nns++++=men,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
they ^pp3a+pp3+++=they
knew ^vbd+vprv++xvbnx+=knew
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=did;
; ^zz++++=EXTRAWORD
so ^ql++++=so
they ^pp3a+pp3+++=they
continued ^vbd+++xvbnx+=continued
to ^to++++=to
pull ^vbi++++=pull
doggedly ^rb++++=doggedly
round ^jj++++=round
and ^cc++++=and
round ^in++++=round
the ^ati++++=the
ship ^nn++++=ship.
. ^zz++++=EXTRAWORD
" ^zz++++="We'll
we ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
run ^vb+++xvbn+=run
them ^pp3o+pp3+++=them
down ^rp++++=down,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Charley ^np++++=Charley
exclaimed ^vbd+++xvbn+=exclaimed.
. ^zz++++=EXTRAWORD
" ^zz++++="We'll
we ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
wear ^vb++++=wear
them ^pp3o+pp3+++=them
out ^rp+pl+++=out
and ^cc++++=and
wind ^nn++++=wind
them ^pp3o+pp3+++=them!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^cs+sub+++=So
the ^ati++++=the
chase ^nn++++=chase
continued ^vbd+++xvbn+=continued.
. ^zz++++=EXTRAWORD
Twenty ^cd++++=Twenty
times ^nns++++=times
more ^ql++++=more
we ^pp1a+pp1+++=we
ran ^vbd+++xvbn+=ran
them ^pp3o+pp3+++=them
around ^in++++=around
the ^ati++++=the
Lancashire ^np++++=Lancashire
Queen ^nn++++=Queen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
last ^rb"++++=last
we ^pp1a+pp1+++=we
could ^md+pos+++=could
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
even ^rb++++=even
their ^pp$+pp3+++=their
iron ^nn++++=iron
muscles ^nns++++=muscles
were ^vbd+bed+aux++=were
giving ^vbg+++xvbgx+=giving
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
nearly ^rb+down+splt++=nearly
exhausted ^vpsv++agls+xvbnx+=exhausted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
a ^at++++=a
matter ^nn++++=matter
of ^in++++=of
a ^ap++++=a
few ^ap"++++=few
more ^ql++++=more
circuits ^nns++++=circuits,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
game ^nn++++=game
took ^vbd+++xvbn+=took
on ^rb+phrv+++=on
a ^at++++=a
new ^jj+atrb+++=new
feature ^nn++++=feature.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
row ^nn++++=row
to ^in++++=to
windward ^jjb++++=windward
they ^pp3a+pp3+++=they
always ^rb++++=always
gained ^vbd+++xvbn+=gained
on ^rp++++=on
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
half ^abn++++=half-way
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
down ^in++++=down
the ^ati++++=the
ship ^nn++++=ship's
's ^$++++=EXTRAWORD
side ^nn++++=side
on ^in++++=on
the ^ati++++=the
row ^nn++++=row
to ^in++++=to
leeward ^rb++++=leeward
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
passing ^vbg+++xvbgx+=passing
the ^ati++++=the
bow ^nn++++=bow.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
this ^dt+dem+++=this
last ^jj+atrb+++=last
time ^nn++++=time,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
passed ^vbd+++xvbn+=passed
the ^ati++++=the
bow ^nn++++=bow,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
saw ^vbd+vprv+tht0+xvbn+=saw
them ^pp3o+pp3+++=them
escaping ^vbg+++xvbg+=escaping
up ^rp++++=up
the ^ati++++=the
ship ^nn++++=ship's
's ^$++++=EXTRAWORD
gangway ^nn++++=gangway,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
suddenly ^rb++splt++=suddenly
lowered ^vpsv++agls+xvbn+=lowered.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
an ^at++++=an
organized ^nn++++=organized
move ^vb++++=move
on ^in+cmpx+++=on
the ^in"++++=the
part ^in"++++=part
of ^in"++++=of
the ^ati++++=the
sailors ^nns++++=sailors,
, ^zz++++=EXTRAWORD
evidently ^rb++++=evidently
countenanced ^vpsv++by+xvbn+=countenanced
by ^in++++=by
the ^ati++++=the
captain ^nn++++=captain;
; ^zz++++=EXTRAWORD
for ^in++++=for
by ^in++++=by
the ^ati++++=the
time ^nn++++=time
we ^pp1a+pp1+++=we
arrived ^vbd+++xvbn+=arrived
where ^wrb+who+++=where
the ^ati++++=the
gangway ^nn++++=gangway
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
being ^vbg+beg+aux+xvbg+=being
hoisted ^vpsv++agls+xvbn+=hoisted
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
skiff ^nn+++??+=skiff,
, ^zz++++=EXTRAWORD
slung ^j+++xvbn+=slung
in ^in++++=in
the ^ati++++=the
ship ^nn++++=ship's
's ^$++++=EXTRAWORD
davits ^nns+++??+=davits,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
likewise ^rb+cnj+splt++=likewise
flying ^vbg+++xvbgx+=flying
aloft ^rb++++=aloft
out ^rp+pl+++=out
of ^in++++=of
reach ^nn++++=reach.
. ^zz++++=EXTRAWORD
The ^ati++++=The
parley ^nn+++??+=parley
that ^tht+rel+++=that
followed ^jj+++xvbn+=followed
with ^in++++=with
the ^ati++++=the
captain ^nn++++=captain
was ^vbd+bedz+vrb++=was
short ^jj+pred+++=short
and ^cc+phrs+++=and
snappy ^jj++++=snappy.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
absolutely ^rb+amp+++=absolutely
forbade ^vbd+++xvbn+=forbade
us ^pp1o+pp1+++=us
to ^in++++=to
board ^nn++++=board
the ^ati++++=the
Lancashire ^np++++=Lancashire
Queen ^nn++++=Queen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^cs+sub+++=as
absolutely ^rb+amp+++=absolutely
refused ^vbd+++xvbn+=refused
to ^to+vcmp+++=to
give ^vbi++++=give
up ^rb+phrv+++=up
the ^ati++++=the
two ^cd++++=two
men ^nns++++=men.
. ^zz++++=EXTRAWORD
By ^in++++=By
this ^dt+dem+++=this
time ^nn++++=time
Charley ^np++++=Charley
was ^vbd+bedz+aux++=was
as ^cs+sub+++=as
enraged ^vbd+++xvbn+=enraged
as ^ql++++=as
the ^ati++++=the
Greek ^nn++++=Greek.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
only ^rb+down+++=only
had ^vb+hv+aux++=had
he ^pp3a+pp3+++=he
been ^vprf+ben+aux+xvbnx+=been
foiled ^vpsv++agls+xvbnx+=foiled
in ^in++++=in
a ^at++++=a
long ^jj+atrb+++=long
and ^cc+phrs+++=and
ridiculous ^jj+atrb+++=ridiculous
chase ^nn++++=chase,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
knocked ^vpsv++agls+xvbnx+=knocked
senseless ^jj++++=senseless
into ^in++++=into
the ^ati++++=the
bottom ^nn++++=bottom
of ^in++++=of
his ^pp$+pp3+++=his
boat ^nn++++=boat
by ^in++++=by
the ^ati++++=the
men ^nns++++=men
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
escaped ^vprf+++xvbnx+=escaped
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Knock
knock ^vb++++=EXTRAWORD
off ^in+pl+++=off
my ^pp$+pp1+++=my
head ^nn++++=head
with ^in++++=with
little ^jj+atrb+++=little
apples ^nns++++=apples,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
declared ^vbd+vpub++xvbnx+=declared
emphatically ^rb+cnj+++=emphatically,
, ^zz++++=EXTRAWORD
striking ^vbg+++xvbg+=striking
the ^ati++++=the
fist ^nn++++=fist
of ^in++++=of
one ^cd1++++=one
hand ^nn++++=hand
into ^in++++=into
the ^ati++++=the
palm ^nn++++=palm
of ^in++++=of
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
" ^zz++++="if
if ^cs+cnd+++=EXTRAWORD
those ^dt+dem+++=those
two ^cd++++=two
men ^nns++++=men
ever ^rb++++=ever
escape ^nn++++=escape
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
stay ^vb++++=stay
here ^rn+pl+++=here
to ^to++++=to
get ^vbi++++=get
them ^pp3o+pp3+++=them
if ^cs+cnd+++=if
it ^pp3+it+++=it
takes ^vbz++++=takes
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
my ^pp$+pp1+++=my
natural ^jj+atrb+++=natural
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
promise ^nn++++=promise
you ^pp2+pp2+++=you
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
live ^vb++++=live
unnaturally ^rb++++=unnaturally
long ^jj++++=long
or ^cc++++=or
until ^cs+sub+++=until
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
get ^vb++++=get
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
my ^pp$+pp1+++=my
name ^nn++++=name's
's ^$++++=EXTRAWORD
not ^xnot++not++=not
Charley ^np++++=Charley
Le ^&fw++++=Le
Grant ^nn++++=Grant!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
then ^rn+tm+++=then
began ^vbd+++xvbn+=began
the ^ati++++=the
siege ^nn++++=siege
of ^in++++=of
the ^ati++++=the
Lancashire ^np++++=Lancashire
Queen ^nn++++=Queen,
, ^zz++++=EXTRAWORD
a ^at++++=a
siege ^nn++++=siege
memorable ^jj++++=memorable
in ^in++++=in
the ^ati++++=the
annals ^nns++++=annals
of ^in++++=of
both ^abx++++=both
fishermen ^nns++++=fishermen
and ^cc++++=and
fish ^nns++++=fish
patrol ^nn++++=patrol.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
Reindeer ^np+nom++??+=Reindeer
came ^vbd+++xvbn+=came
along ^in+strn+++=along,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
fruitless ^jj+atrb+++=fruitless
pursuit ^nn++++=pursuit
of ^in++++=of
the ^ati++++=the
shad ^nn++++=shad
fleet ^nn++++=fleet,
, ^zz++++=EXTRAWORD
Charley ^np++++=Charley
instructed ^vwbn+++xvbn+=instructed
Neil ^np++++=Neil
Partington ^np+++??+=Partington
to ^to++++=to
send ^vbi++++=send
out ^rp+pl+++=out
his ^pp$+pp3+++=his
own ^ap++++=own
salmon ^nn++++=salmon
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
with ^in++++=with
blankets ^nns++++=blankets,
, ^zz++++=EXTRAWORD
provisions ^nns++++=provisions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
fisherman ^nn+nom+++=fisherman's
's ^$++++=EXTRAWORD
charcoal ^nn+nom+++=charcoal
stove ^nn++++=stove.
. ^zz++++=EXTRAWORD
By ^in++++=By
sunset ^nn++++=sunset
this ^dt+dem+++=this
exchange ^nn++++=exchange
of ^in++++=of
boats ^nns++++=boats
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
said ^vbd+vpub++xvbn+=said
good ^jj++++=good-by
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
to ^in++++=to
our ^pp$+pp1+++=our
Greek ^nn++++=Greek,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
perforce ^rb++++=perforce
had ^md"++pmd"++=had
to ^md+nec+++=to
go ^vb++++=go
into ^in++++=into
Benicia ^np+++??+=Benicia
and ^cc++++=and
be ^vb+be+aux++=be
locked ^vpsv++agls+xvbnx+=locked
up ^rp++++=up
for ^in++++=for
his ^pp$+pp3+++=his
own ^ap++++=own
violation ^nn+nom+++=violation
of ^in++++=of
the ^ati++++=the
law ^nn++++=law.
. ^zz++++=EXTRAWORD
After ^in++++=After
supper ^nn++++=supper,
, ^zz++++=EXTRAWORD
Charley ^np++++=Charley
and ^cc++++=and
I ^pp1a+pp1+++=I
kept ^vbd+++xvbnx+=kept
alternate ^nn+nom+++=alternate
four ^cd++++=four-hour
- ^zz++++=EXTRAWORD
hour ^nn++++=EXTRAWORD
watches ^vbz++++=watches
till ^cs+sub+++=till
day ^nn++++=day-light.
- ^zz++++=EXTRAWORD
light ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
fishermen ^nns++++=fishermen
made ^vbd+++xvbn+=made
no ^at++++=no
attempt ^nn++++=attempt
to ^to+ncmp+++=to
escape ^vbi++++=escape
that ^dt+dem+++=that
night ^nn++++=night,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
ship ^nn++++=ship
sent ^vbd+++xvbn+=sent
out ^rp+pl+++=out
a ^at++++=a
boat ^nn++++=boat
for ^in++++=for
scouting ^xvbg+++xvbg+=scouting
purposes ^nns++++=purposes
to ^to++++=to
find ^vbi+vprv+++=find
if ^cs+cnd+++=if
the ^ati++++=the
coast ^nn++++=coast
were ^vbd+bed+vrb++=were
clear ^jj+pred+++=clear.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
next ^ap++++=next
day ^nn++++=day
we ^pp1a+pp1+++=we
saw ^vbd+vprv++xvbn+=saw
that ^tht+vcmp+++=that
a ^at++++=a
steady ^jj+atrb+++=steady
siege ^nn++++=siege
was ^vbd+bedz+vrb++=was
in ^in++++=in
order ^nn++++=order,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
perfected ^vbd+++xvbn+=perfected
our ^pp$+pp1+++=our
plans ^nns++++=plans
with ^in++++=with
an ^at++++=an
eye ^nn++++=eye
to ^in++++=to
our ^pp$+pp1+++=our
own ^ap++++=own
comfort ^nn++++=comfort.
. ^zz++++=EXTRAWORD
A ^at++++=A
dock ^nn++++=dock,
, ^zz++++=EXTRAWORD
known ^j+++xvbn+=known
as ^ql++++=as
the ^ati++++=the
Solano ^np+++??+=Solano
Wharf ^nn++++=Wharf,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
ran ^vbd+++xvbn+=ran
out ^rp+pl+++=out
from ^in++++=from
the ^ati++++=the
Benicia ^np+++??+=Benicia
shore ^nn++++=shore,
, ^zz++++=EXTRAWORD
helped ^j+++xvbn+=helped
us ^pp1o+pp1+++=us
in ^in++++=in
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
happened ^vbd+++xvbn+=happened
that ^dt+dem+++=that
the ^ati++++=the
Lancashire ^np++++=Lancashire
Queen ^nn++++=Queen,
, ^zz++++=EXTRAWORD
the ^ati++++=the
shore ^nn++++=shore
at ^rb++++=at
Turner ^np++++=Turner's
's ^$++++=EXTRAWORD
Shipyard ^nn++++=Shipyard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Solano ^np+++??+=Solano
Wharf ^nn++++=Wharf
were ^vbd+bed+vrb++=were
the ^ati++++=the
corners ^nns+nom+++=corners
of ^in++++=of
a ^at++++=a
big ^jj+atrb+++=big
equilateral ^nn+nom+++=equilateral
triangle ^nn++++=triangle.
. ^zz++++=EXTRAWORD
From ^in++++=From
ship ^nn++++=ship
to ^in++++=to
shore ^nn++++=shore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
triangle ^nn++++=triangle
along ^in++++=along
which ^whp+rel+pied++=which
the ^ati++++=the
Italians ^nn++++=Italians
had ^md"++pmd"++=had
to ^md+nec+++=to
escape ^vb++++=escape,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
distance ^nn+nom+++=distance
equal ^jj++++=equal
to ^in++++=to
that ^dt+dem+++=that
from ^in++++=from
the ^ati++++=the
Solano ^np+++??+=Solano
Wharf ^nn++++=Wharf
to ^in++++=to
the ^ati++++=the
shore ^nn++++=shore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
triangle ^nn++++=triangle
along ^in++++=along
which ^whp+rel+pied++=which
we ^pp1a+pp1+++=we
had ^md"++pmd"++=had
to ^md+nec+++=to
travel ^vb++++=travel
to ^to++++=to
get ^vbi++++=get
to ^to+vcmp+++=to
the ^ati++++=the
shore ^nn++++=shore
before ^in++++=before
the ^ati++++=the
Italians ^nn++++=Italians.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
as ^ql++++=as
we ^pp1a+pp1+++=we
could ^md+pos+++=could
sail ^vb++++=sail
much ^ap++++=much
faster ^rbr++++=faster
than ^cs+sub+++=than
they ^pp3a+pp3+++=they
could ^md+pos+++=could
row ^vb++++=row,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
could ^md+pos+++=could
permit ^vb++++=permit
them ^pp3o+pp3+++=them
to ^to++++=to
travel ^vbi++++=travel
about ^in++++=about
half ^abn++++=half
their ^pp$+pp3+++=their
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
triangle ^nn++++=triangle
before ^cs+sub+++=before
we ^pp1a+pp1+++=we
darted ^vbd+++xvbn+=darted
out ^rp+pl+++=out
along ^in++++=along
our ^pp$+pp1+++=our
side ^nn++++=side.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
we ^pp1a+pp1+++=we
allowed ^vbd+++xvbn+=allowed
them ^pp3o+pp3+++=them
to ^to++++=to
get ^vbi++++=get
more ^ql++++=more
than ^cs+sub+++=than
half ^abn++++=half-way,
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
certain ^jj+pred+++=certain
to ^to+jcmp+++=to
beat ^vbi++++=beat
us ^pp1o+pp1+++=us
to ^in++++=to
shore ^nn++++=shore;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
started ^vbd+++xvbn+=started
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
half ^abn++++=half-way,
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
equally ^rb++++=equally
certain ^jj+pred+++=certain
to ^to+jcmp+++=to
beat ^vbi++++=beat
us ^pp1o+pp1+++=us
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
ship ^nn++++=ship.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
an ^at++++=an
imaginary ^jj+atrb+++=imaginary
line ^nn++++=line,
, ^zz++++=EXTRAWORD
drawn ^xvbn+++xvbn+=drawn
from ^in++++=from
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
wharf ^nn++++=wharf
to ^in++++=to
a ^at++++=a
windmill ^nn++++=windmill
farther ^rbr++++=farther
along ^in++++=along
the ^ati++++=the
shore ^nn++++=shore,
, ^zz++++=EXTRAWORD
cut ^j+++xvbn+=cut
precisely ^rb++++=precisely
in ^in++++=in
half ^nn++++=half
the ^ati++++=the
line ^nn++++=line
of ^in++++=of
the ^ati++++=the
triangle ^nn++++=triangle
along ^in++++=along
which ^whp+rel+pied++=which
the ^ati++++=the
Italians ^nn++++=Italians
must ^md+nec+++=must
escape ^vb++++=escape
to ^to++++=to
reach ^vbi++++=reach
the ^ati++++=the
land ^nn++++=land.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
line ^nn++++=line
made ^vbd+++xvbn+=made
it ^pp3+it+++=it
easy ^jj++++=easy
for ^in++++=for
us ^pp1o+pp1+++=us
to ^to++++=to
determine ^vbi++++=determine
how ^wrb+who+++=how
far ^rb+pl+++=far
to ^to++++=to
let ^vbi++++=let
them ^pp3o+pp3+++=them
run ^vbd+++xvbn+=run
away ^rp+pl+++=away
before ^cs+sub+++=before
we ^pp1a+pp1+++=we
bestirred ^vbd+++xvbn+=bestirred
ourselves ^ppls+pp1+++=ourselves
in ^in++++=in
pursuit ^nn++++=pursuit.
. ^zz++++=EXTRAWORD
Day ^nn++++=Day
after ^cs+sub+++=after
day ^nn++++=day
we ^pp1a+pp1+++=we
would ^md+prd+++=would
watch ^vb++++=watch
them ^pp3o+pp3+++=them
through ^in++++=through
our ^pp$+pp1+++=our
glasses ^nns++++=glasses
as ^ql++++=as
they ^pp3a+pp3+++=they
rowed ^vbd+++xvbnx+=rowed
leisurely ^jj++++=leisurely
along ^in++++=along
toward ^in++++=toward
the ^ati++++=the
half ^abn++++=half-way
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
point ^nn++++=point;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
they ^pp3a+pp3+++=they
drew ^vbd+++xvbnx+=drew
close ^nn++++=close
into ^in++++=into
line ^nn++++=line
with ^in++++=with
the ^ati++++=the
windmill ^nn++++=windmill,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
would ^md+prd+++=would
leap ^vb++++=leap
into ^in++++=into
the ^ati++++=the
boat ^nn++++=boat
and ^cc++++=and
get ^vb++++=get
up ^rp++++=up
sail ^nn++++=sail.
. ^zz++++=EXTRAWORD
At ^in++++=At
sight ^nn++++=sight
of ^in++++=of
our ^pp$+pp1+++=our
preparation ^nn+nom+++=preparation,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
turn ^vb++++=turn
and ^cc++++=and
row ^nn++++=row
slowly ^rb++++=slowly
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
Lancashire ^np++++=Lancashire
Queen ^nn++++=Queen,
, ^zz++++=EXTRAWORD
secure ^vb++++=secure
in ^in++++=in
the ^ati++++=the
knowledge ^nn++++=knowledge
that ^tht+ncmp+++=that
we ^pp1a+pp1+++=we
could ^md+pos+++=could
not ^xnot++not++=not
overtake ^vb++++=overtake
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
To ^to++++=To
guard ^vbi++++=guard
against ^in++++=against
calms ^vbz++++=calms
when ^wrb+who+++=when
our ^pp$+pp1+++=our
salmon ^nn++++=salmon
boat ^nn++++=boat
would ^md+prd+++=would
be ^vb+be+vrb++=be
useless ^jj+pred+++=useless
we ^pp1a+pp1+++=we
also ^rb++++=also
had ^vb+hv+vrb++=had
in ^in++++=in
readiness ^nns+nom+++=readiness
a ^at++++=a
light ^jj++++=light
rowing ^jj+++xvbg+=rowing
skiff ^jj+++??+=skiff
equipped ^jj+++xvbn+=equipped
with ^in++++=with
spoonoars ^nns+++??+=spoonoars.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
at ^rb++++=at
such ^abl++++=such
times ^nns++++=times,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
wind ^nn++++=wind
failed ^vbd+++xvbn+=failed
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
forced ^vpsv++agls+xvbnx+=forced
to ^to+vcmp+++=to
row ^vb++++=row
out ^rp+pl+++=out
from ^in++++=from
the ^ati++++=the
wharf ^nn++++=wharf
as ^in++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
they ^pp3a+pp3+++=they
rowed ^vbd+++xvbnx+=rowed
from ^in++++=from
the ^ati++++=the
ship ^nn++++=ship.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
night ^nn++++=night-time,
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
compelled ^vpsv++agls+xvbnx+=compelled
to ^to+vcmp+++=to
patrol ^vb++++=patrol
the ^ati++++=the
immediate ^jj+atrb+++=immediate
vicinity ^nn+nom+++=vicinity
of ^in++++=of
the ^ati++++=the
ship ^nn++++=ship;
; ^zz++++=EXTRAWORD
which ^whp+who+++=which
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
Charley ^np++++=Charley
and ^cc++++=and
I ^pp1a+pp1+++=I
standing ^vbg+++xvbg+=standing
four ^cd++++=four-hour
- ^zz++++=EXTRAWORD
hour ^nn++++=EXTRAWORD
watches ^vbz++++=watches
turn ^nn++++=turn
and ^cc++++=and
turn ^nn++++=turn
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Italians ^nn++++=Italians,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
preferred ^j+++xvbn+=preferred
the ^ati++++=the
daytime ^nn++++=daytime
in ^in++++=in
which ^whp+rel+pied++=which
to ^to++++=to
escape ^vbi++++=escape,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
our ^pp$+pp1+++=our
long ^jj+atrb+++=long
night ^nn++++=night
vigils ^nns++++=vigils
were ^vbd+bed+vrb++=were
without ^in++++=without
result ^nn++++=result.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
makes ^vbz++++=makes
me ^pp1o+pp1+++=me
mad ^jj++++=mad,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Charley ^np++++=Charley,
, ^zz++++=EXTRAWORD
" ^zz++++="is
