Tom ^np++++=Tom
He ^pp3a+pp3+++=He
ran ^vbd+++xvbnx+=ran
for ^in++++=for
it ^pp3+it+++=it
and ^cc++++=and
swung ^vbd+++xvbn+=swung
himself ^ppl+pp3+++=himself
onto ^in++++=onto
the ^ati++++=the
platform ^nn++++=platform
of ^in++++=of
the ^ati++++=the
Pullman ^np++++=Pullman.
. ^zz++++=EXTRAWORD
A ^at++++=A
porter ^nn++++=porter
was ^vbd+bedz+aux++=was
just ^rb+emph+splt++=just
closing ^vbg+++xvbgx+=closing
the ^ati++++=the
vestibule ^nn++++=vestibule
door ^nn++++=door.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
Senator ^npt++++=Senator
August ^nr++++=August
on ^in++++=on
board ^nn++++=board?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
gasped ^vbd+++xvbn+=gasped
Tom ^np++++=Tom.
. ^zz++++=EXTRAWORD
The ^ati++++=The
porter ^nn++++=porter
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
assured ^vbd+vpub++xvbnx+=assured
Tom ^np++++=Tom
that ^tht+rel+++=that
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
the ^ati++++=the
train ^nn++++=train
for ^in++++=for
New ^jj+atrb+++=New
York ^np++++=York
and ^cc++++=and
so ^rb++++=so
the ^ati++++=the
latter ^ap++++=latter
entered ^jj+++xvbn+=entered
the ^ati++++=the
Pullman ^np++++=Pullman.
. ^zz++++=EXTRAWORD
The ^ati++++=The
car ^nn++++=car
held ^vbd+vprv++xvbn+=held
seven ^cd++++=seven
men ^nns++++=men
and ^cc++++=and
an ^at++++=an
elderly ^jj+atrb+++=elderly
lady ^nn++++=lady.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
idea ^nn++++=idea
of ^in++++=of
a ^at++++=a
senator ^nn++++=senator
was ^vbd+bedz+vrb++=was
a ^at++++=a
big ^jj+atrb+++=big
man ^nn++++=man
dressed ^vbd+++xvbn+=dressed
in ^in++++=in
a ^at++++=a
black ^jj+atrb+++=black
frock ^nn++++=frock
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
a ^at++++=a
black ^jj+atrb+++=black
string ^nn++++=string
tie ^nn++++=tie
and ^cc++++=and
a ^at++++=a
tall ^jj+atrb+++=tall
silk ^nn++++=silk
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
one ^pn++++=one
in ^in++++=in
sight ^nn++++=sight
attired ^vbd+++xvbn+=attired
in ^in++++=in
such ^abl++++=such
fashion ^nn++++=fashion
and ^cc++++=and
Tom ^np++++=Tom
paused ^vbd+++xvbn+=paused
at ^in++++=at
a ^at++++=a
loss ^nn++++=loss.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
chance ^nn++++=chance
that ^tht+rel+subj++=that
led ^vprf+++xvbn+=led
him ^pp3o+pp3+++=him
halfway ^rb++++=halfway
down ^in++++=down
the ^ati++++=the
aisle ^nn++++=aisle
and ^cc++++=and
caused ^vbd+++xvbn+=caused
him ^pp3o+pp3+++=him
to ^in++++=to
question ^nn+nom+++=question
a ^at++++=a
military ^jj++++=military,
, ^zz++++=EXTRAWORD
middle ^jjb++++=middle-aged
- ^zz++++=EXTRAWORD
aged ^jj+atrb+++=EXTRAWORD
gentleman ^nn+nom+++=gentleman
who ^whp+rel+subj++=who
wore ^vbd+++xvbn+=wore
a ^at++++=a
quiet ^nn++++=quiet
suit ^nn++++=suit
of ^in++++=of
gray ^np++++=gray
tweeds ^nns++++=tweeds
and ^cc++++=and
was ^vbd+bedz+vrb++=was
deep ^jj+pred+++=deep
in ^in++++=in
a ^at++++=a
magazine ^nn++++=magazine.
. ^zz++++=EXTRAWORD
The ^ati++++=The
face ^nn++++=face
that ^tht+rel+++=that
looked ^jj+++xvbn+=looked
up ^rp++++=up
was ^vbd+bedz+vrb++=was
shrewd ^jj+pred+++=shrewd
but ^cc++++=but
kindly ^rb+cnj+++=kindly,
, ^zz++++=EXTRAWORD
albeit ^cs+sub+++=albeit
it ^pp3+it+++=it
frowned ^vbd+++xvbn+=frowned
a ^rb++++=a
little ^rb"++++=little
at ^in++++=at
the ^ati++++=the
interruption ^nn+nom+++=interruption.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
Senator ^npt++++=Senator
August ^nr++++=August,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
unexpected ^jj+atrb+++=unexpected
reply ^nn++++=reply.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh!"
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
Tom ^np++++=Tom
blankly ^rb++++=blankly.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
pushed ^vbd+++xvbnx+=pushed
aside ^rp++++=aside
a ^at++++=a
small ^jj+atrb+++=small
valise ^nn++++=valise
on ^in++++=on
the ^ati++++=the
opposite ^jj+atrb+++=opposite
seat ^nn++++=seat
and ^cc++++=and
took ^vbd+++xvbn+=took
its ^pp$+it+++=its
place ^nn++++=place.
. ^zz++++=EXTRAWORD
The ^ati++++=The
frown ^nn++++=frown
on ^in++++=on
the ^ati++++=the
senator ^nn++++=senator's
's ^$++++=EXTRAWORD
face ^nn++++=face
grew ^vbd+++xvbn+=grew.
. ^zz++++=EXTRAWORD
" ^zz++++="Reporter?"
reporter ^nn+nom+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
laconically ^rb++++=laconically.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
Tom ^np++++=Tom.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
from ^in++++=from
the ^ati++++=the
Washington ^np++++=Washington
World ^nn++++=World.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
just ^rb+emph+++=just
missed ^vbd+++xvbn+=missed
you ^pp2+pp2+++=you
at ^in++++=at
the ^ati++++=the
hotel ^nn++++=hotel
so ^ql++++=so
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
the ^ati++++=the
liberty ^nn++++=liberty
of ^in++++=of
following ^xvbg+++xvbg+=following
you ^pp2+pp2+++=you
to ^in++++=to
the ^ati++++=the
train ^nn++++=train."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tom ^np++++=Tom
thought ^vbd+++xvbn+=thought
that ^tht+vcmp+++=that
sounded ^vbd+++xvbn+=sounded
pretty ^rb++++=pretty
well ^rb++++=well
and ^cc++++=and
paused ^vbd+++xvbn+=paused
to ^to++++=to
see ^vbi+vprv+++=see
what ^wdt+who+whcl++=what
impression ^nn++++=impression
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
created ^vprf+++xvbnx+=created.
. ^zz++++=EXTRAWORD
The ^ati++++=The
result ^nn++++=result
was ^vbd+bedz+vrb++=was
disappointing ^jj+pred+++=disappointing.
. ^zz++++=EXTRAWORD
" ^zz++++="Well?"
well ^rb++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
senator ^nn++++=senator
coldly ^rb++++=coldly.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
World ^nn++++=World
would ^md+prd+++=would
like ^vb++++=like
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
what ^wdt+who+whcl++=what
decision ^nn++++=decision
was ^vbd+bedz+aux++=was
reached ^vpsv++agls+xvbnx+=reached
at ^rb++++=at
last ^rb"++++=last
night ^nn++++=night's
's ^$++++=EXTRAWORD
conference ^nn+nom+++=conference,
, ^zz++++=EXTRAWORD
senator ^npt++++=senator."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
doubt ^vb++++=doubt
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
the ^ati++++=the
senator ^nn++++=senator
dryly ^rb++++=dryly.
. ^zz++++=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
here ^rn+pl+++=here,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued
with ^in++++=with
asperity ^nn+nom+++=asperity,
, ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
refused ^vprf+++xvbnx+=refused
to ^to+vcmp+++=to
talk ^vbi++++=talk
to ^in++++=to
at ^rb++++=at
least ^rb"++++=least
two ^cd++++=two
dozen ^cd++++=dozen
reporters ^nns+nom+++=reporters
and ^cc++++=and
correspondents ^nns++++=correspondents
to ^to++++=to-day.
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
of ^in++++=of
last ^jj+atrb+++=last
night ^nn++++=night's
's ^$++++=EXTRAWORD
conference ^nn+nom+++=conference
will ^md+prd+++=will
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made
public ^jj++++=public
by ^in++++=by
Senator ^nn++++=Senator
Goodman ^np+++??+=Goodman
and ^cc++++=and
myself ^ppl+pp1+++=myself
at ^in++++=at
the ^ati++++=the
proper ^jj+atrb+++=proper
time ^nn++++=time
and ^cc++++=and
place ^nn++++=place;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
until ^in++++=until
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
all ^abn++++=all
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
can ^md+pos+++=can
tell ^vb++++=tell
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But--"
but ^cc++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
began ^vbd+++xvbn+=began
Tom ^np++++=Tom.
. ^zz++++=EXTRAWORD
" ^zz++++="Understand
understand ^vb+vprv+++=EXTRAWORD
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
please ^uh++++=please;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
say ^vb+vpub+tht0++=say
nothing ^pn++++=nothing
more ^rbr++++=more
on ^in++++=on
the ^ati++++=the
subject ^nn++++=subject."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Will
will ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you
give ^vb++++=give
me ^pp1o+pp1+++=me
some ^dti++++=some
idea ^nn++++=idea
as ^in++++=as
to ^in"++++=to
when ^wrb+who+++=when
the ^ati++++=the
proper ^jj+atrb+++=proper
time ^nn++++=time
will ^md+prd+++=will
be ^vb+be+vrb++=be?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Tom ^np++++=Tom
respectfully ^rb++++=respectfully.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
that ^cs+sub+++=that
either ^dtx++++=either.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
to ^to++++=to-morrow;
- ^zz++++=EXTRAWORD
morrow ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
not ^xnot++not++=not
for ^in++++=for
several ^ap++++=several
days ^nns++++=days."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+aux++=EXTRAWORD
you ^pp2+pp2+++=you
going ^vbg+++xvbg+=going
to ^in++++=to
New ^jj+atrb+++=New
York ^np++++=York,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
on ^in++++=on
my ^pp$+pp1+++=my
way ^nn++++=way
to ^in++++=to
my ^pp$+pp1+++=my
home ^nr++++=home
in ^in++++=in
Massachusetts ^np+++??+=Massachusetts."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Thank
thank ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Have ^vb+hv+vrb++=Have
you ^pp2+pp2+++=you
any ^dti++++=any
objection ^nn+nom+++=objection
to ^in++++=to
my ^pp$+pp1+++=my
accompanying ^jj+++xvbg+=accompanying
you ^pp2+pp2+++=you
on ^in++++=on
the ^ati++++=the
same ^ap++++=same
train ^nn++++=train?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Senator ^npt++++=Senator
August ^nr++++=August
opened ^vbd+++xvbn+=opened
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
a ^rb++++=a
little ^rb"++++=little.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
that ^dt+dem+++=that
necessary ^jj++++=necessary?
? ^zz++++=EXTRAWORD
The ^ati++++=The
announcement ^nn+nom+++=announcement
will ^md+prd+++=will
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made
to ^to+vcmp+++=to
the ^ati++++=the
Associated ^jj+atrb++xvbn+=Associated
Press ^nn++++=Press
and ^cc++++=and,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
mistaken ^vpsv++agls+xvbnx+=mistaken,
, ^zz++++=EXTRAWORD
the ^ati++++=the
World ^nn++++=World
is ^vbz+bez+vrb++=is
a ^at++++=a
member ^nn++++=member
of ^in++++=of
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
true ^jj++++=true,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
assigned ^vpsv++agls+xvbnx+=assigned
to ^to++++=to
get ^vbi++++=get
the ^ati++++=the
result ^nn++++=result
of ^in++++=of
the ^ati++++=the
conference ^nn+nom+++=conference
and ^cc++++=and
I ^pp1a+pp1+++=I've
've ^md"++pmd"++0=EXTRAWORD
got ^vb++pmd"+xvbnx+=got
to ^to+vcmp+pmd++=to
do ^vb++++=do
it ^pp3+it+++=it--that
-- ^--+clp+++=EXTRAWORD
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
can ^md+pos+++=can."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
no ^at++++=no
objection ^nn+nom+++=objection
to ^in++++=to
your ^pp$+pp2+++=your
traveling ^nn+nom+++=traveling
on ^in++++=on
the ^ati++++=the
same ^ap++++=same
train ^nn++++=train
with ^in++++=with
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
long ^rb++++=long
as ^ql++++=as
you ^pp2+pp2+++=you
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
bother ^nn++++=bother
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
that ^dt+pdem+++=that
do ^vb+do+vrb++=do?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
thank ^vb++++=thank
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
sorry ^jj++++=sorry
that ^tht+jcmp+++=that
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
troubled ^vprf+++xvbnx+=troubled
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
" ^zz++++="Sorry
sorry ^jj++++=EXTRAWORD
to ^to+jcmp+++=to
have ^vbi+vbi+aux++=have
troubled ^vprf+++xvbnx+=troubled
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Hm;
hm ^uh++++=EXTRAWORD
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
the ^ati++++=the
first ^rb++++=first
one ^cd1++++=one
today ^nr+tm+++=to-day
that ^tht+rel+subj++=that
has ^vbz+hvz+aux++=has
expressed ^vprf+++xvbnx+=expressed
such ^abl++++=such
a ^at++++=a
feeling ^nvbg+++xvbg+=feeling.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
be ^vb+be+vrb++=be
new ^jj+pred+++=new
at ^rb++++=at
the ^ati++++=the
business ^nns+nom+++=business."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
Tom ^np++++=Tom.
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
reporter ^nn+nom+++=reporter
only ^ap+down+++=only
half ^abn++++=half
an ^at++++=an
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
certain ^jj++++=certain
that ^tht+jcmp+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
one ^cd1++++=one
at ^rb++++=at
all ^abn++++=all."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How's
how ^wrb+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
that ^tht+vcmp+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
senator ^nn++++=senator,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
his ^pp$+pp3+++=his
magazine ^nn++++=magazine
face ^nn++++=face
down ^rp++++=down
on ^in++++=on
the ^ati++++=the
seat ^nn++++=seat
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Tom ^np++++=Tom
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Told ^j+++xvbn+=Told
about ^in++++=about
his ^pp$+pp3+++=his
three ^cd++++=three
weeks ^nns++++=weeks
of ^in++++=of
dreary ^jj+atrb+++=dreary
search ^nn++++=search
for ^in++++=for
a ^at++++=a
position ^nn+nom+++=position,
, ^zz++++=EXTRAWORD
of ^in++++=of
his ^pp$+pp3+++=his
interview ^nn++++=interview
with ^in++++=with
the ^ati++++=the
city ^nn++++=city
editor ^nn++++=editor
of ^in++++=of
the ^ati++++=the
Evening ^nn++++=Evening
World ^nn++++=World,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
the ^ati++++=the
forlorn ^jj+atrb+++=forlorn
hope ^nn++++=hope
upon ^in++++=upon
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
entered ^vpsv++agls+xvbnx+=entered.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
finished ^vprf+++xvbnx+=finished
his ^pp$+pp3+++=his
story ^nn++++=story,
, ^zz++++=EXTRAWORD
Senator ^npt++++=Senator
August ^nr++++=August
was ^vbd+bedz+vrb++=was
no ^at++++=no
longer ^rbr++++=longer
frowning ^jj+++xvbg+=frowning;
; ^zz++++=EXTRAWORD
the ^ati++++=the
boy ^nn++++=boy's
's ^$++++=EXTRAWORD
tale ^nn++++=tale
had ^vb+hv+vrb++=had
interested ^jj++++=interested
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
put ^vb+++xvbn+=put
you ^pp2+pp2+++=you
up ^in+cmpx+++=up
against ^in"++++=against
a ^at++++=a
hard ^jj+atrb+++=hard
task ^nn++++=task;
; ^zz++++=EXTRAWORD
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
me ^vbi++++=me
to ^in++++=to
have ^vbi+vbi+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
quite ^rb++++=quite
fair ^jj++++=fair.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
every ^at++++=every
reporter ^nn+nom+++=reporter
had ^vbd+hvd+aux++=had
failed ^vprf+++xvbnx+=failed
and ^cc++++=and
he ^pp3a+pp3+++=he
must ^md+nec+++=must
have ^vb+hv+aux++=have
known ^vprf+++xvbnx+=known
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
would ^md+prd+++=would
fail ^vb++++=fail
as ^rb++++=as
well ^rb++++=well.
. ^zz++++=EXTRAWORD
Seems ^vbz+seem+++=Seems
to ^to+vcmp+++=to
have ^vbi++++=have
been ^vprf+ben+vrb+xvbn+=been
merely ^rb+down+++=merely
a ^at++++=a
neat ^jj+atrb+++=neat
way ^nn++++=way
of ^in++++=of
getting ^nn++++=getting
rid ^vbd+++xvbn+=rid
of ^in++++=of
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+++=think?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tom ^np++++=Tom
hesitated ^vbd+++xvbn+=hesitated
a ^at++++=a
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
anyhow ^rb+cnj+++=anyhow,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
doing ^vbg+++xvbgx+=doing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
fair ^jj+pred+++=fair
enough ^qlp++++=enough,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
surely ^rb++++=surely
you ^pp2+pp2+++=you
had ^vb+hv+vrb++=had
no ^at++++=no
idea ^nn++++=idea
of ^in++++=of
success ^nns+nom+++=success?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
ought ^md+nec+++=ought
not ^xnot++not++=not
to ^to++++=to
have ^vbi++vrb++=have,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
Tom ^np++++=Tom
hesitatingly ^rb+cnj+++=hesitatingly,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
afraid ^jj+pred+++=afraid
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
senator ^npt++++=senator
looked ^vbd+++xvbn+=looked
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
window ^nn++++=window
and ^cc++++=and
was ^vbd+bedz+vrb++=was
silent ^jj+pred+++=silent
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
while ^cs+sub+++=while
the ^ati++++=the
express ^nn++++=express
sped ^vbd+++xvbn+=sped
on ^in++++=on
through ^in++++=through
the ^ati++++=the
afternoon ^nn++++=afternoon
sunlight ^nn++++=sunlight.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
his ^pp$+pp3+++=his
face ^nn++++=face
toward ^in++++=toward
Tom ^np++++=Tom
again ^rb+tm+++=again
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
smiling ^nvbg+++xvbg+=smiling.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
have ^vbi++++=have
pluck ^nn+++??+=pluck,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
lad ^nn++++=lad,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
pretty ^rb++++=pretty
certain ^jj+pred+++=certain
