John ^np++++=John
offing ^nn++++=offing
and ^cc++++=and
anchored ^jj+++xvbn+=anchored.
. ^zz++++=EXTRAWORD
The ^ati++++=The
beach ^nn++++=beach
was ^vbd+bedz+aux++=was
lined ^vpsv++agls+xvbnx+=lined
with ^in++++=with
spectators ^nns++++=spectators
while ^cs+sub+++=while
the ^ati++++=the
quarantine ^nn++++=quarantine
doctor ^nn++++=doctor
and ^cc++++=and
the ^ati++++=the
custom ^nn++++=custom-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
crew ^nn++++=crew
rowed ^vbd+++xvbn+=rowed
out ^rp+pl+++=out
to ^to++++=to
attend ^vbi++++=attend
to ^in++++=to
their ^pp$+pp3+++=their
duties ^nns++++=duties.
. ^zz++++=EXTRAWORD
An ^at++++=An
hour ^nn++++=hour
later ^rbr+tm+++=later
Billy ^np++++=Billy
Keogh ^np+++??+=Keogh
lounged ^vbd+++xvbn+=lounged
into ^in++++=into
the ^ati++++=the
consulate ^nn+nom+++=consulate,
, ^zz++++=EXTRAWORD
clean ^jj++++=clean
and ^cc+phrs+++=and
cool ^jj++++=cool
in ^in++++=in
his ^pp$+pp3+++=his
linen ^nn++++=linen
clothes ^nns++++=clothes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
grinning ^vbg+++xvbg+=grinning
like ^in++++=like
a ^at++++=a
pleased ^jj+atrb++xvbn+=pleased
shark ^nn+++??+=shark.
. ^zz++++=EXTRAWORD
" ^zz++++="Guess
guess ^vb++++=EXTRAWORD
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
Johnny ^vb++++=Johnny,
, ^zz++++=EXTRAWORD
lounging ^vbg+++xvbg+=lounging
in ^in++++=in
his ^pp$+pp3+++=his
hammock ^nn+++??+=hammock.
. ^zz++++=EXTRAWORD
" ^zz++++="Too
too ^ql++++=EXTRAWORD
hot ^jj++++=hot
to ^to++++=to
guess ^vbi++++=guess,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Johnny ^np++++=Johnny,
, ^zz++++=EXTRAWORD
lazily ^rb++++=lazily.
. ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
shoe ^nn++++=shoe-store
- ^zz++++=EXTRAWORD
store ^nn++++=EXTRAWORD
man ^nn++++=man's
's ^$++++=EXTRAWORD
come ^vb++++=come,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Keogh ^np+++??+=Keogh,
, ^zz++++=EXTRAWORD
rolling ^vbg+nom++xvbg+=rolling
the ^ati++++=the
sweet ^jj+atrb+++=sweet
morsel ^nn+++??+=morsel
on ^in++++=on
his ^pp$+pp3+++=his
tongue ^nn++++=tongue,
, ^zz++++=EXTRAWORD
" ^zz++++="with
with ^in++++=EXTRAWORD
a ^at++++=a
stock ^nn++++=stock
of ^in++++=of
goods ^nns++++=goods
big ^jj++++=big
enough ^qlp++++=enough
to ^to++++=to
supply ^vbi++++=supply
the ^ati++++=the
continent ^nn++++=continent
as ^in++++=as
far ^rb+pl+++=far
down ^rp++++=down
as ^ql++++=as
Tierra ^np+++??+=Tierra
del ^&fw++++=del
Fuego ^np+++??+=Fuego.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They're
're ^vb+ber+aux++0=EXTRAWORD
carting ^vbg+++xvbgx+=carting
his ^pp$+pp3+++=his
cases ^nns++++=cases
over ^in++++=over
to ^in++++=to
the ^ati++++=the
custom ^nn++++=custom-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Six ^cd++++=Six
barges ^nns++++=barges
full ^jj++++=full
they ^pp3a+pp3+++=they
brought ^vbd+++xvbnx+=brought
ashore ^rb+pl+++=ashore
and ^cc++++=and
have ^vb+hv+aux++=have
paddled ^vprf+++xvbnx+=paddled
back ^jjb++++=back
for ^in++++=for
the ^ati++++=the
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
ye ^pp2+pp2+++=ye
saints ^nns++++=saints
in ^in++++=in
glory ^nn++++=glory!
! ^zz++++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
there ^ex+pex+++=there
be ^vb+be+vrb++=be
regalements ^nns+nom+++=regalements
in ^in++++=in
the ^ati++++=the
air ^nn++++=air
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
gets ^vbz++++=gets
onto ^in++++=onto
the ^ati++++=the
joke ^nn++++=joke
and ^cc++++=and
has ^vbz+hvz+vrb++=has
an ^at++++=an
interview ^nn++++=interview
with ^in++++=with
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Consul ^np++++=Consul?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
worth ^in++++=worth
nine ^cd++++=nine
years ^nns++++=years
in ^in++++=in
the ^ati++++=the
tropics ^nns++++=tropics
just ^rb+emph+++=just
to ^in++++=to
witness ^nns+nom+++=witness
that ^tht+rel+++=that
one ^cd1++++=one
joyful ^jj+atrb+++=joyful
moment ^nn++++=moment."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Keogh ^np+++??+=Keogh
loved ^vbd+++xvbn+=loved
to ^to+vcmp+++=to
take ^vbi++++=take
his ^pp$+pp3+++=his
mirth ^nn++++=mirth
easily ^rb++++=easily.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
selected ^vbd+++xvbnx+=selected
a ^at++++=a
clean ^jj+atrb+++=clean
place ^nn++++=place
on ^in++++=on
the ^ati++++=the
matting ^nn++++=matting
and ^cc++++=and
lay ^vpsv++agls+xvbn+=lay
upon ^in++++=upon
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
The ^ati++++=The
walls ^nns++++=walls
shook ^vbd+++xvbn+=shook
with ^in++++=with
his ^pp$+pp3+++=his
enjoyment ^nn+nom+++=enjoyment.
. ^zz++++=EXTRAWORD
Johnny ^np++++=Johnny
turned ^vbd+++xvbn+=turned
half ^abn++++=half
over ^in++++=over
and ^cc++++=and
blinked ^vbd+++xvbn+=blinked.
. ^zz++++=EXTRAWORD
" ^zz++++="Didn't
did ^vbd+dod+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
tell ^vb++++=tell
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
anybody ^pn++++=anybody
was ^vbd+bedz+vrb++=was
fool ^jjb+pred+++=fool
enough ^qlp++++=enough
to ^to++++=to
take ^vbi++++=take
that ^dt+dem+++=that
letter ^nn++++=letter
seriously ^rb++++=seriously."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Four-thousand-dollar
four ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
thousand ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
dollar ^nn++++=EXTRAWORD
stock ^nn++++=stock
of ^in++++=of
goods ^nns++++=goods!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
gasped ^vbd+++xvbn+=gasped
Keogh ^np+++??+=Keogh,
, ^zz++++=EXTRAWORD
in ^in++++=in
ecstasy ^nn++++=ecstasy.
. ^zz++++=EXTRAWORD
" ^zz++++="Talk
talk ^nn++++=EXTRAWORD
about ^in++++=about
coals ^nns++++=coals
to ^in++++=to
Newcastle ^np++++=Newcastle!
! ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
he ^pp3a+pp3+++=he
take ^vb++++=take
a ^at++++=a
ship ^nn++++=ship-load
- ^zz++++=EXTRAWORD
load ^nn++++=EXTRAWORD
of ^in++++=of
palm ^nn++++=palm-leaf
- ^zz++++=EXTRAWORD
leaf ^nn++++=EXTRAWORD
fans ^nns++++=fans
to ^in++++=to
Spitzenbergen ^np+++??+=Spitzenbergen
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
about ^in++++=about
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Saw ^j+++xvbn+=Saw
the ^ati++++=the
old ^jj++++=old
codger ^jjr++++=codger
on ^in++++=on
the ^ati++++=the
beach ^nn++++=beach.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi+vbi+aux++=have
been ^vprf+ben+vrb+xvbn+=been
there ^rn+pl+++=there
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
put ^vbd+++xvbnx+=put
on ^rb+phrv+++=on
his ^pp$+pp3+++=his
specs ^nns+++??+=specs
and ^cc++++=and
squinted ^vpsv++agls+xvbn+=squinted
at ^in++++=at
the ^ati++++=the
five ^cd++++=five
hundred ^cd++++=hundred
or ^cc++++=or
so ^rb+emph+++=so
barefooted ^jj+atrb+++=barefooted
citizens ^nns++++=citizens
standing ^vwbg+++xvbg+=standing
around ^rp++++=around."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+aux++=EXTRAWORD
you ^pp2+pp2+++=you
telling ^vbg+nom++xvbg+=telling
the ^ati++++=the
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
Billy ^np++++=Billy?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
consul ^np++++=consul,
, ^zz++++=EXTRAWORD
weakly ^rb++++=weakly.
. ^zz++++=EXTRAWORD
" ^zz++++="Am
am ^vb+bem+vrb++=EXTRAWORD
I ^pp1a+pp1+++=I?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
see ^vb+vprv+++=see
the ^ati++++=the
buncoed ^jj+atrb++xvbn+=buncoed
gentleman ^nn+nom+++=gentleman's
's ^$++++=EXTRAWORD
daughter ^nn+nom+++=daughter
he ^pp3a+pp3+++=he
brought ^vbd+++xvbnx+=brought
along ^rb+phrv+++=along.
. ^zz++++=EXTRAWORD
Looks ^nns++++=Looks!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
makes ^vbz++++=makes
the ^ati++++=the
brick ^nn++++=brick-dust
- ^zz++++=EXTRAWORD
dust ^nn++++=EXTRAWORD
senoritas ^nns+++??+=senoritas
here ^rn+pl+++=here
look ^vb++++=look
like ^in++++=like
tar ^nn++++=tar-babies."
- ^zz++++=EXTRAWORD
babies ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Go
go ^vb++++=EXTRAWORD
on ^in+strn+++=on,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Johnny ^np++++=Johnny,
, ^zz++++=EXTRAWORD
" ^zz++++="if
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
stop ^vb++++=stop
that ^dt+dem+++=that
asinine ^nn+++??+=asinine
giggling ^vwbg+++xvbg+=giggling.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hate ^vb++++=hate
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
a ^at++++=a
grown ^vprf+++xvbn+=grown
man ^nn++++=man
make ^vb++++=make
a ^at++++=a
laughing ^jj+atrb++xvbg+=laughing
hyena ^nn++++=hyena
of ^in++++=of
himself ^ppl+pp3+++=himself."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Name
name ^nn++++=EXTRAWORD
is ^vbz+bez+vrb++=is
Hemstetter ^np+nom++??+=Hemstetter,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
went ^vbd+++xvbn+=went
on ^in++++=on
Keogh ^np+++??+=Keogh.
. ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a--Hello!
-- ^--+clp+++=EXTRAWORD
hello ^rb+dspt+++=EXTRAWORD
! ^zz++++=EXTRAWORD
what ^wdt+who+++=what's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
matter ^nn++++=matter
now ^rn+tm+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Johnny ^np++++=Johnny's
's ^$++++=EXTRAWORD
moccasined ^jj+atrb++xvbn+=moccasined
feet ^nns++++=feet
struck ^vbd+++xvbn+=struck
the ^ati++++=the
floor ^nn++++=floor
with ^in++++=with
a ^at++++=a
thud ^nn++++=thud
as ^ql++++=as
he ^pp3a+pp3+++=he
wriggled ^vbd+++xvbnx+=wriggled
out ^rb+phrv+++=out
of ^in+ppvb+++=of
his ^pp$+pp3+++=his
hammock ^nn+++??+=hammock.
. ^zz++++=EXTRAWORD
" ^zz++++="Get
get ^vb++++=EXTRAWORD
up ^rp++++=up,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
idiot ^nn++++=idiot,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
sternly ^rb+cnj+++=sternly,
, ^zz++++=EXTRAWORD
" ^zz++++="or
or ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
brain ^vb++++=brain
you ^pp2+pp2+++=you
with ^in++++=with
this ^dt+dem+++=this
inkstand ^nn+++??+=inkstand.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
Rosine ^np+++??+=Rosine
and ^cc++++=and
her ^pp3o+pp3+++=her
father ^npt++++=father.
. ^zz++++=EXTRAWORD
Gad ^np+++??+=Gad!
! ^zz++++=EXTRAWORD
what ^wdt+who+++=what
a ^at++++=a
drivelling ^nn+nom+++=drivelling
idiot ^nn++++=idiot
old ^jj+atrb+++=old
Patterson ^np++++=Patterson
is ^vbz+bez+aux++=is!
! ^zz++++=EXTRAWORD
Get ^vb++++=Get
up ^rp++++=up,
, ^zz++++=EXTRAWORD
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
Billy ^np++++=Billy
Keogh ^np+++??+=Keogh,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
help ^nn++++=help
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
the ^ati++++=the
devil ^nn++++=devil
are ^vb+ber+aux++=are
we ^pp1a+pp1+++=we
going ^md"++pmd"++=going
to ^md+prd+++=to
do ^vb++++=do?
? ^zz++++=EXTRAWORD
Has ^vbz+hvz+vrb++=Has
all ^rb++++=all
the ^ati++++=the
world ^nn++++=world
gone ^vbd+++xvbn+=gone
crazy ^jj++++=crazy?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Keogh ^np+++??+=Keogh
rose ^vbd+++xvbn+=rose
and ^cc+phrs+++=and
dusted ^vbd+++xvbn+=dusted
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
managed ^vbd+++xvbnx+=managed
to ^to+vcmp+++=to
regain ^vbi++++=regain
a ^at++++=a
decorous ^jj+atrb+++=decorous
demeanor ^nn++++=demeanor.
. ^zz++++=EXTRAWORD
" ^zz++++="Situation
situation ^nn+nom+++=EXTRAWORD
has ^md"++pmd"++=has
got ^vb++pmd"+xvbnx+=got
to ^to+vcmp+pmd++=to
be ^vbi+vbi+aux++=be
met ^vbd+++xvbn+=met,
, ^zz++++=EXTRAWORD
Johnny ^np++++=Johnny,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
with ^in++++=with
some ^dti++++=some
success ^nns+nom+++=success
at ^in++++=at
seriousness ^nns+nom+++=seriousness.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+++=think
about ^in++++=about
its ^pp$+it+++=its
being ^vbg+beg++xvbg+=being
your ^pp$+pp2+++=your
girl ^nn++++=girl
until ^cs+sub+++=until
you ^pp2+pp2+++=you
spoke ^vbd+++xvbn+=spoke.
. ^zz++++=EXTRAWORD
First ^rb++++=First
thing ^nn++++=thing
to ^to++++=to
do ^vbi++++=do
is ^vbz+bez+aux++=is
to ^to++++=to
get ^vbi++++=get
them ^pp3o+pp3+++=them
comfortable ^jj+atrb+++=comfortable
quarters ^nns+nom+++=quarters.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
go ^vb++++=go
down ^rp++++=down
and ^cc++++=and
face ^nn++++=face
the ^ati++++=the
music ^nn++++=music,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
trot ^vb++++=trot
out ^rp+pl+++=out
to ^in++++=to
Goodwin ^np++++=Goodwin's
's ^$++++=EXTRAWORD
and ^cc++++=and
see ^vb+vprv+++=see
if ^cs+cnd+++=if
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Goodwin ^np++++=Goodwin
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
them ^pp3o+pp3+++=them
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
the ^ati++++=the
decentest ^jjt++++=decentest
house ^npl++++=house
in ^in++++=in
town ^nn++++=town."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Bless
bless ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Billy ^np++++=Billy!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
consul ^np++++=consul.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
knew ^vbd+vprv+tht0+xvbnx+=knew
you ^pp2+pp2+++=you
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
desert ^nn++++=desert
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
The ^ati++++=The
world ^nn++++=world's
's ^$++++=EXTRAWORD
bound ^jj++agls+xvbnx+=bound
to ^to+jcmp+++=to
come ^vbi++++=come
to ^in++++=to
an ^at++++=an
end ^nn++++=end,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
maybe ^rb+hdg+++=maybe
we ^pp1a+pp1+++=we
can ^md+pos+++=can
stave ^vb++++=stave
it ^pp3+it+++=it
off ^rp+pl+++=off
for ^in++++=for
a ^at++++=a
day ^nn++++=day
or ^cc++++=or
two ^cd++++=two."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Keogh ^np+++??+=Keogh
hoisted ^vbd+++xvbn+=hoisted
his ^pp$+pp3+++=his
umbrella ^nn++++=umbrella
and ^cc++++=and
set ^nn+++xvbn+=set
out ^rb+phrv+++=out
for ^in+ppvb+++=for
Goodwin ^np++++=Goodwin's
's ^$++++=EXTRAWORD
house ^npl++++=house.
. ^zz++++=EXTRAWORD
Johnny ^np++++=Johnny
put ^vbd+++xvbn+=put
on ^rb+phrv+++=on
his ^pp$+pp3+++=his
coat ^nn++++=coat
and ^cc++++=and
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
picked ^vbd+++xvbnx+=picked
up ^rp++++=up
the ^ati++++=the
brandy ^nn++++=brandy
bottle ^nn++++=bottle,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
set ^nn+++xvbn+=set
it ^pp3+it+++=it
down ^in++++=down
again ^rb+tm+++=again
without ^in++++=without
drinking ^xvbg+++xvbg+=drinking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
marched ^vbd+++xvbn+=marched
bravely ^rb++++=bravely
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
beach ^nn++++=beach.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
shade ^nn++++=shade
of ^in++++=of
the ^ati++++=the
custom ^nn++++=custom-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
walls ^nns++++=walls
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Hemstetter ^np+nom+++=Hemstetter
and ^cc++++=and
Rosine ^np+++??+=Rosine
surrounded ^vwbn+++xvbn+=surrounded
by ^in++++=by
a ^at++++=a
mass ^nn++++=mass
of ^in++++=of
gaping ^jj+atrb+++=gaping
citizens ^nns++++=citizens.
. ^zz++++=EXTRAWORD
The ^ati++++=The
customs ^nns++++=customs
officers ^nns+nom+++=officers
were ^vbd+bed+aux++=were
ducking ^vbg+++xvbgx+=ducking
and ^cc++++=and
scraping ^nn++++=scraping,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
captain ^nn++++=captain
of ^in++++=of
the ^ati++++=the
Andador ^np+++??+=Andador
interpreted ^vbd+++xvbn+=interpreted
the ^ati++++=the
business ^nns+nom+++=business
of ^in++++=of
the ^ati++++=the
new ^jj+atrb+++=new
arrivals ^nns+nom+++=arrivals.
. ^zz++++=EXTRAWORD
Rosine ^np+++??+=Rosine
looked ^vbd+++xvbn+=looked
healthy ^jj++++=healthy
and ^cc++++=and
very ^ql+amp+++=very
much ^ap++++=much
alive ^jj++++=alive.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
gazing ^vbg+++xvbgx+=gazing
at ^in++++=at
the ^ati++++=the
strange ^jj+atrb+++=strange
scenes ^nns++++=scenes
around ^in++++=around
her ^pp$+pp3+++=her
with ^in++++=with
amused ^jj+atrb++xvbn+=amused
interest ^nn++++=interest.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
faint ^nn++++=faint
blush ^vb++++=blush
upon ^in++++=upon
her ^pp$+pp3+++=her
round ^in++++=round
cheek ^nn++++=cheek
as ^ql++++=as
she ^pp3a+pp3+++=she
greeted ^vbd+++xvbnx+=greeted
her ^pp$+pp3+++=her
old ^jj+atrb+++=old
admirer ^nn++++=admirer.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Hemstetter ^np+nom+++=Hemstetter
shook ^vbd+++xvbn+=shook
hands ^nns++++=hands
with ^in++++=with
Johnny ^np++++=Johnny
in ^in++++=in
a ^at++++=a
very ^ql+amp+++=very
friendly ^jj+atrb+++=friendly
way ^nn++++=way.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
an ^at++++=an
oldish ^jj+atrb+++=oldish,
, ^zz++++=EXTRAWORD
impractical ^jj+atrb+++=impractical
man ^nn++++=man
-- ^--+clp+++=--one
one ^pn++++=EXTRAWORD
of ^in++++=of
that ^dt+dem+++=that
numerous ^jj+atrb+++=numerous
class ^nn++++=class
of ^in++++=of
erratic ^jj+atrb+++=erratic
business ^nns+nom+++=business
men ^nns++++=men
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
forever ^rb++++=forever
dissatisfied ^jj+pred+++=dissatisfied,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
seeking ^vbg+++xvbg+=seeking
a ^at++++=a
change ^nn++++=change.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
very ^ql+amp+++=very
glad ^jj++++=glad
to ^to+jcmp+++=to
see ^vbi+vprv+tht0++=see
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
John ^np++++=John--may
-- ^--+clp+++=EXTRAWORD
may ^md+pos+++=EXTRAWORD
I ^pp1a+pp1+++=I
call ^vb++++=call
you ^pp2+pp2+++=you
John ^np++++=John?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
me ^pp1o+pp1+++=me
thank ^vb++++=thank
you ^pp2+pp2+++=you
for ^in++++=for
your ^pp$+pp2+++=your
prompt ^jj+atrb+++=prompt
answer ^nn++++=answer
to ^in++++=to
our ^pp$+pp1+++=our
postmaster ^nn+nom+++=postmaster's
's ^$++++=EXTRAWORD
letter ^nn++++=letter
of ^in++++=of
inquiry ^nn++++=inquiry.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
volunteered ^vbd+++xvbnx+=volunteered
to ^to+vcmp+++=to
write ^vbi++++=write
to ^in++++=to
you ^pp2+pp2+++=you
on ^in++++=on
my ^pp$+pp1+++=my
behalf ^nn++++=behalf.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
about ^in++++=about
for ^in++++=for
something ^pn++++=something
different ^jj++++=different
in ^in++++=in
the ^ati++++=the
way ^nn++++=way
of ^in++++=of
a ^at++++=a
business ^nns+nom+++=business
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
profits ^nns++++=profits
would ^md+prd+++=would
be ^vb+be+vrb++=be
greater ^jjr+pred+++=greater.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
noticed ^vprf+++xvbnx+=noticed
in ^in++++=in
the ^ati++++=the
papers ^nns++++=papers
that ^tht+rel+obj++=that
this ^dt+dem+++=this
coast ^nn++++=coast
was ^vbd+bedz+aux++=was
receiving ^vbg+++xvbgx+=receiving
much ^ap++++=much
attention ^nn+nom+++=attention
from ^in++++=from
investors ^nns++++=investors.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
extremely ^rb+amp+++=extremely
grateful ^jj+pred+++=grateful
for ^in++++=for
your ^pp$+pp2+++=your
advice ^nn++++=advice
to ^to++++=to
come ^vbi++++=come.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sold ^vbd+++xvbnx+=sold
out ^rp+pl+++=out
everything ^pn++++=everything
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
possess ^nns+nom+++=possess,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
invested ^vbd+++xvbn+=invested
the ^ati++++=the
proceeds ^nn++++=proceeds
in ^in++++=in
as ^ql++++=as
fine ^jj++++=fine
a ^at++++=a
stock ^nn++++=stock
of ^in++++=of
shoes ^nns++++=shoes
as ^ql++++=as
could ^md+pos+++=could
be ^vb+be+aux++=be
bought ^vpsv++agls+xvbnx+=bought
in ^in++++=in
the ^ati++++=the
North ^np+pl+++=North.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+vrb++=have
a ^at++++=a
picturesque ^jj+atrb+++=picturesque
