( ^zz++++=(After
hut ^nn++++=hut."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
the ^ati++++=the
slave ^nn++++=slave
picked ^vbd+++xvbn+=picked
up ^rp++++=up
the ^ati++++=the
cocoanut ^nn+++??+=cocoanut
shell ^nn++++=shell,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying:
: ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
sun ^nn++++=sun."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
lame ^jj+atrb+++=lame
man ^nn++++=man
with ^in++++=with
crutches ^nns++++=crutches,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
near ^in+pl+++=near
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
heard ^j+++xvbn+=heard
these ^dt+dem+++=these
words ^nns++++=words,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laughed ^vbd+++xvbn+=laughed:
: ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
evidently ^rb++splt++=evidently
been ^vprf+ben+vrb+xvbnx+=been
blind ^jj++++=blind
all ^rb++++=all
your ^pp$+pp2+++=your
life ^nn++++=life,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
to ^in++++=to
the ^ati++++=the
blind ^jj+atrb+++=blind
man ^nn++++=man,
, ^zz++++=EXTRAWORD
" ^zz++++="not
not ^xnot++not++=EXTRAWORD
to ^to++++=to
know ^vbi+vprv+++=know
what ^wdt+who+whcl++=what
the ^ati++++=the
sun ^nn++++=sun
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
tell ^vb++++=tell
you ^pp2+pp2+++=you
what ^wdt+who+++=what
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun
is ^vbz+bez+vrb++=is
a ^at++++=a
ball ^nn++++=ball
of ^in++++=of
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
rises ^vbz++++=rises
every ^at++++=every
morning ^nn++++=morning
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
sea ^nn++++=sea
and ^cc++++=and
goes ^vbz++++=goes
down ^in++++=down
again ^rb+tm+++=again
among ^in++++=among
the ^ati++++=the
mountains ^nns++++=mountains
of ^in++++=of
our ^pp$+pp1+++=our
island ^nn++++=island
each ^dt++++=each
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
all ^abn++++=all
seen ^jj+++xvbn+=seen
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
your ^pp$+pp2+++=your
eyesight ^nn++++=eyesight
you ^pp2+pp2+++=you
too ^ql++++=too
would ^md+prd+++=would
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
fisherman ^nn+nom+++=fisherman,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
listening ^vbg+++xvbgx+=listening
to ^in++++=to
the ^ati++++=the
conversation ^nn+nom+++=conversation
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
plain ^nn++++=plain
enough ^qlp++++=enough
that ^dt+dem+++=that
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
beyond ^in++++=beyond
your ^pp$+pp2+++=your
own ^ap++++=own
island ^nn++++=island.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
lame ^jj++++=lame,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
out ^rp+pl+++=out
as ^ql++++=as
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
in ^in++++=in
a ^at++++=a
fishing ^jj+++xvbg+=fishing-boat,
- ^zz++++=EXTRAWORD
boat ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
would ^md+prd+++=would
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
the ^ati++++=the
sun ^nn++++=sun
does ^vbz+doz+aux++=does
not ^xnot++not++=not
set ^vb+++xvbn+=set
among ^in++++=among
the ^ati++++=the
mountains ^nns++++=mountains
of ^in++++=of
our ^pp$+pp1+++=our
island ^nn++++=island,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^ql++++=as
it ^pp3+it+++=it
rises ^vbz++++=rises
from ^in++++=from
the ^ati++++=the
ocean ^nn++++=ocean
every ^at++++=every
morning ^nn++++=morning
so ^ql++++=so
it ^pp3+it+++=it
sets ^vbz++++=sets
again ^rb+tm+++=again
in ^in++++=in
the ^ati++++=the
sea ^nn++++=sea
every ^at++++=every
night ^nn++++=night.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
telling ^nvbg+++xvbg+=telling
you ^pp2+pp2+++=you
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
see ^vb+vprv+tht0++=see
it ^pp3+it+++=it
every ^at++++=every
day ^nn++++=day
with ^in++++=with
my ^pp$+pp1+++=my
own ^ap++++=own
eyes ^nns++++=eyes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
an ^at++++=an
Indian ^nn++++=Indian
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
of ^in++++=of
our ^pp$+pp1+++=our
party ^nn++++=party,
, ^zz++++=EXTRAWORD
interrupted ^j+++xvbn+=interrupted
him ^pp3o+pp3+++=him
by ^in++++=by
saying ^xvbg+++xvbg+=saying:
: ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
astonished ^vpsv++agls+xvbnx+=astonished
that ^dt+dem+++=that
a ^at++++=a
reasonable ^jj+atrb+++=reasonable
man ^nn++++=man
should ^md+nec+++=should
talk ^vb++++=talk
such ^abl++++=such
nonsense ^nn++++=nonsense.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
can ^md+pos+++=can
a ^at++++=a
ball ^nn++++=ball
of ^in++++=of
fire ^nn++++=fire
possibly ^rb++++=possibly
descend ^vb++++=descend
into ^in++++=into
the ^ati++++=the
water ^nn++++=water
and ^cc++++=and
not ^xnot++not++=not
be ^vb+be+aux++=be
extinguished ^vpsv++agls+xvbnx+=extinguished?
? ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
ball ^nn++++=ball
of ^in++++=of
fire ^nn++++=fire
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
the ^ati++++=the
Deity ^nn++++=Deity
named ^vbd+++xvbn+=named
Deva ^np+++??+=Deva,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
rides ^vbz++++=rides
for ^rb++++=for
ever ^rb"++++=ever
in ^in++++=in
a ^at++++=a
chariot ^nn++++=chariot
round ^in++++=round
the ^ati++++=the
golden ^jj+atrb+++=golden
mountain ^nn++++=mountain,
, ^zz++++=EXTRAWORD
Meru ^np+++??+=Meru.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
the ^ati++++=the
evil ^jj+atrb+++=evil
serpents ^nns++++=serpents
Ragu ^np+++??+=Ragu
and ^cc++++=and
Ketu ^np+++??+=Ketu
attack ^nn++++=attack
Deva ^np+++??+=Deva
and ^cc++++=and
swallow ^vb++++=swallow
him ^pp3o+pp3+++=him:
: ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
the ^ati++++=the
earth ^nn++++=earth
is ^vbz+bez+vrb++=is
dark ^jj+pred+++=dark.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
our ^pp$+pp1+++=our
priests ^nns++++=priests
pray ^vb+vsua+++=pray
that ^tht+vcmp+++=that
the ^ati++++=the
Deity ^nn++++=Deity
may ^md+pos+++=may
be ^vb+be+aux++=be
released ^vpsv++agls+xvbnx+=released,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
set ^vpsv++agls+xvbnx+=set
free ^jj++++=free.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
such ^abl++++=such
ignorant ^jj+atrb+++=ignorant
men ^nns++++=men
as ^ql++++=as
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
beyond ^in++++=beyond
their ^pp$+pp3+++=their
own ^ap++++=own
island ^nn++++=island,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
imagine ^vb+vprv+++=imagine
that ^tht+vcmp+++=that
the ^ati++++=the
sun ^nn++++=sun
shines ^vbz++++=shines
for ^in++++=for
their ^pp$+pp3+++=their
country ^nn++++=country
alone ^rb++++=alone."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
master ^nn++++=master
of ^in++++=of
an ^at++++=an
Egyptian ^jj+atrb+++=Egyptian
vessel ^nn++++=vessel,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
present ^vb++++=present,
, ^zz++++=EXTRAWORD
spoke ^j+++xvbn+=spoke
in ^in++++=in
his ^pp$+pp3+++=his
turn ^nn++++=turn.
. ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
also ^rb++++=also
are ^vb+ber+vrb++=are
wrong ^jj+pred+++=wrong.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
Deity ^nn++++=Deity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
does ^vbz+doz+aux++=does
not ^xnot++not++=not
move ^vb++++=move
only ^rb+down+++=only
round ^in++++=round
India ^np++++=India
and ^cc++++=and
its ^pp$+it+++=its
golden ^jj+atrb+++=golden
mountain ^nn++++=mountain.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
sailed ^vprf+++xvbnx+=sailed
much ^ap++++=much
on ^in++++=on
the ^ati++++=the
Black ^jj+atrb+++=Black
Sea ^nn++++=Sea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
along ^in++++=along
the ^ati++++=the
coasts ^nns++++=coasts
of ^in++++=of
Arabia ^np++++=Arabia,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
to ^in++++=to
Madagascar ^np++++=Madagascar
and ^cc++++=and
to ^in++++=to
the ^ati++++=the
Philippines ^np+++??+=Philippines.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun
lights ^nns++++=lights
the ^ati++++=the
whole ^jj+atrb+++=whole
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
India ^np++++=India
alone ^jj++++=alone.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
circle ^nn++++=circle
round ^in++++=round
one ^cd1++++=one
mountain ^nn++++=mountain,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
rises ^nns++++=rises
far ^rb+pl+++=far
in ^in++++=in
the ^ati++++=the
East ^np+pl+++=East,
, ^zz++++=EXTRAWORD
beyond ^in++++=beyond
the ^ati++++=the
Isles ^npls++++=Isles
of ^in++++=of
Japan ^np++++=Japan,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sets ^nns++++=sets
far ^rb+cnj+++=far,
, ^zz++++=EXTRAWORD
far ^rb+pl+++=far
away ^rp+pl+++=away
in ^in++++=in
the ^ati++++=the
West ^np+pl+++=West,
, ^zz++++=EXTRAWORD
beyond ^in++++=beyond
the ^ati++++=the
islands ^nns++++=islands
of ^in++++=of
England ^np++++=England.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
why ^wrb+who+++=why
the ^ati++++=the
Japanese ^nn++++=Japanese
call ^vb++++=call
their ^pp$+pp3+++=their
country ^nn++++=country
' ^zz++++='Nippon,'
nippon ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
' ^zz++++='the
the ^ati++++=EXTRAWORD
birth ^nn++++=birth
of ^in++++=of
the ^ati++++=the
sun ^nn++++=sun.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
this ^dt+pdem+++=this
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
myself ^ppl+pp1+++=myself
seen ^vbd+vprv++xvbn+=seen
much ^ap++++=much,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
heard ^vbd+vprv++xvbn+=heard
more ^rbr++++=more
from ^in++++=from
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
sailed ^vbd+++xvbn+=sailed
to ^in++++=to
the ^ati++++=the
very ^ql+amp+++=very
ends ^nns++++=ends
of ^in++++=of
the ^ati++++=the
sea ^nn++++=sea."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
an ^at++++=an
English ^jj+atrb+++=English
sailor ^nn++++=sailor
from ^in++++=from
our ^pp$+pp1+++=our
ship ^nn++++=ship
interrupted ^vbd+++xvbn+=interrupted
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
no ^at++++=no
country ^nn++++=country,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
" ^zz++++="where
where ^wrb+who+++=EXTRAWORD
people ^nns++++=people
know ^vb+vprv+++=know
so ^ql++++=so
much ^ap++++=much
about ^in++++=about
the ^ati++++=the
sun ^nn++++=sun's
's ^$++++=EXTRAWORD
movements ^nns+nom+++=movements
as ^in++++=as
in ^in"++++=in
England ^np++++=England.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
as ^in++++=as
every ^at++++=every
one ^pn++++=one
in ^in++++=in
England ^np++++=England
knows ^vbz+vprv+++=knows,
, ^zz++++=EXTRAWORD
rises ^vbz++++=rises
nowhere ^rb+pl+++=nowhere
and ^cc++++=and
sets ^nns++++=sets
nowhere ^rb+pl+++=nowhere.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
always ^rb++splt++=always
moving ^vbg+++xvbgx+=moving
round ^rb++++=round
the ^ati++++=the
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
can ^md+pos+++=can
be ^vb+be+vrb++=be
sure ^jj+pred+++=sure
of ^in++++=of
this ^dt+dem+++=this
for ^in++++=for
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
just ^rb+emph+splt++=just
been ^vprf+ben+vrb+xvbnx+=been
round ^rb++++=round
the ^ati++++=the
world ^nn++++=world
ourselves ^ppls+pp1+++=ourselves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nowhere ^rb+pl+++=nowhere
knocked ^vbd+++xvbn+=knocked
up ^in+cmpx+++=up
against ^in"++++=against
the ^ati++++=the
sun ^nn++++=sun.
. ^zz++++=EXTRAWORD
Wherever ^nn+nom+++=Wherever
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sun ^nn++++=sun
showed ^vbd+vprv+tht0+xvbn+=showed
itself ^ppl++++=itself
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
and ^cc++++=and
hid ^vbd+++xvbn+=hid
itself ^ppl++++=itself
at ^in++++=at
night ^nn++++=night,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
it ^pp3+it+++=it
does ^vbz+doz+vrb++=does
here ^rn+pl+++=here."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
the ^ati++++=the
Englishman ^nn+nom+++=Englishman
took ^vbd+++xvbn+=took
a ^at++++=a
stick ^nn++++=stick
and ^cc++++=and,
, ^zz++++=EXTRAWORD
drawing ^nvbg+++xvbg+=drawing
circles ^nns++++=circles
on ^in++++=on
the ^ati++++=the
sand ^nn++++=sand,
, ^zz++++=EXTRAWORD
tried ^vb+++xvbn+=tried
to ^to+vcmp+++=to
explain ^vbi+vpub+++=explain
how ^wrb+who+whcl++=how
the ^ati++++=the
sun ^nn++++=sun
moves ^nns++++=moves
in ^in++++=in
the ^ati++++=the
heavens ^nns++++=heavens
and ^cc++++=and
goes ^vbz++++=goes
round ^rb++++=round
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
unable ^jj+pred+++=unable
to ^to+jcmp+++=to
explain ^vbi+vpub+++=explain
it ^pp3+it+++=it
clearly ^rb+cnj+++=clearly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pointing ^jj+++xvbg+=pointing
to ^in++++=to
the ^ati++++=the
ship ^nn++++=ship's
's ^$++++=EXTRAWORD
pilot ^nn++++=pilot
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
man ^nn++++=man
knows ^vbz+vprv+++=knows
more ^rbr++++=more
about ^in++++=about
it ^pp3+it+++=it
than ^cs+sub+++=than
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
can ^md+pos+++=can
explain ^vb+vpub+tht0++=explain
it ^pp3+it+++=it
properly ^rb++++=properly."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
pilot ^nn++++=pilot,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
an ^at++++=an
intelligent ^jj+atrb+++=intelligent
man ^nn++++=man,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
listened ^vprf+++xvbnx+=listened
in ^in++++=in
silence ^nn+nom+++=silence
to ^in++++=to
the ^ati++++=the
talk ^nn++++=talk
till ^cs+sub+++=till
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
asked ^vpsv++agls+xvbnx+=asked
to ^to+vcmp+++=to
speak ^vbi++++=speak.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
every ^at++++=every
one ^cd1++++=one
turned ^vbd+++xvbn+=turned
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
all ^abn++++=all
misleading ^jj+atrb+++=misleading
one ^cd1++++=one
another ^dt++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
are ^vb+ber+aux++=are
yourselves ^ppls+pp2+++=yourselves
deceived ^vbd+++xvbn+=deceived.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun
does ^vbz+doz+aux++=does
not ^xnot++not++=not
go ^vb++++=go
round ^rb++++=round
the ^ati++++=the
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
earth ^nn++++=earth
goes ^vbz++++=goes
round ^rb++++=round
the ^ati++++=the
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
revolving ^jj+++xvbg+=revolving
as ^ql++++=as
it ^pp3+it+++=it
goes ^vbz++++=goes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turning ^nvbg+++xvbg+=turning
towards ^in++++=towards
the ^ati++++=the
sun ^nn++++=sun
in ^in++++=in
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
each ^dt++++=each
twenty ^cd++++=twenty-four
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
only ^rb+down+++=only
Japan ^vb++++=Japan,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Philippines ^np+++??+=Philippines,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Sumatra ^np++++=Sumatra
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
now ^rn+tm+++=now
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Africa ^np++++=Africa,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Europe ^np++++=Europe,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
America ^np++++=America,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
many ^ap++++=many
lands ^nns++++=lands
besides ^in+strn+++=besides.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun
does ^vbz+doz+aux++=does
not ^xnot++not++=not
shine ^vb++++=shine
for ^in++++=for
some ^dti++++=some
one ^cd1++++=one
mountain ^nn++++=mountain,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
for ^in++++=for
some ^dti++++=some
one ^cd1++++=one
island ^nn++++=island,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
for ^in++++=for
some ^dti++++=some
one ^cd1++++=one
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
even ^rb++++=even
for ^in++++=for
one ^cd1++++=one
earth ^nn++++=earth
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
but ^in++++=but
for ^in"++++=for
other ^ap++++=other
planets ^nns++++=planets
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
our ^pp$+pp1+++=our
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
would ^md+prd+++=would
only ^rb+down+splt++=only
look ^vb++++=look
up ^rp++++=up
at ^in++++=at
the ^ati++++=the
heavens ^nns++++=heavens,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
at ^in++++=at
the ^ati++++=the
ground ^nn++++=ground
beneath ^in+pl+++=beneath
your ^pp$+pp2+++=your
own ^ap++++=own
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
might ^md+pos+++=might
all ^rb++splt++=all
understand ^vb+vprv+tht0++=understand
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
then ^rn+tm+++=then
no ^at++++=no
longer ^rbr++++=longer
suppose ^vb+vprv+++=suppose
that ^tht+vcmp+++=that
the ^ati++++=the
sun ^nn++++=sun
shines ^vbz++++=shines
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
for ^in++++=for
your ^pp$+pp2+++=your
country ^nn++++=country
alone ^rb++++=alone."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
spoke ^vbd+++xvbn+=spoke
the ^ati++++=the
wise ^jj+atrb+++=wise
pilot ^nn++++=pilot,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
voyaged ^vprf+++xvbn+=voyaged
much ^ap++++=much
about ^in++++=about
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
gazed ^vprf+++xvbnx+=gazed
much ^ap++++=much
upon ^in++++=upon
the ^ati++++=the
heavens ^nns++++=heavens
above ^jjb++++=above.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
on ^in++++=on
matters ^nns+nom+++=matters
of ^in++++=of
faith ^nn++++=faith,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
continued ^vbd+++xvbn+=continued
the ^ati++++=the
Chinaman ^nn+nom+++=Chinaman,
, ^zz++++=EXTRAWORD
the ^ati++++=the
student ^nn++++=student
of ^in++++=of
Confucius ^np+++??+=Confucius,
, ^zz++++=EXTRAWORD
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
pride ^nn++++=pride
that ^tht+rel+obj++=that
causes ^nns++++=causes
error ^nn++++=error
and ^cc++++=and
discord ^nn++++=discord
among ^in++++=among
men ^nns++++=men.
. ^zz++++=EXTRAWORD
As ^in++++=As
with ^in"++++=with
the ^ati++++=the
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
so ^ql++++=so
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
with ^in++++=with
God ^nn++++=God.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
man ^nn++++=man
wants ^vbz++++=wants
to ^to+vcmp+++=to
have ^vbi++++=have
a ^at++++=a
special ^jj+atrb+++=special
God ^nn++++=God
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
at ^rb++++=at
least ^rb"++++=least
a ^at++++=a
special ^jj+atrb+++=special
God ^nn++++=God
for ^in++++=for
his ^pp$+pp3+++=his
native ^jj+atrb+++=native
land ^nn++++=land.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
nation ^nn++++=nation
wishes ^vb++++=wishes
to ^to+vcmp+++=to
confine ^vbi++++=confine
in ^in++++=in
its ^pp$+it+++=its
