Children ^nns++++=Children,
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bending ^nvbg+++xvbg+=bending
down ^rp++++=down
my ^pp$+pp1+++=my
ear ^nn++++=ear
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
him ^pp3o+pp3+++=him
whisper ^nn++++=whisper,
, ^zz++++=EXTRAWORD
' ^zz++++='Dying
dying ^vbg+++xvbg+=EXTRAWORD
last ^rb++++=last
battle ^nn++++=battle
say ^vb+vpub+++=say
a ^at++++=a
prayer ^nn++++=prayer.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
follow ^vbi+vprv+++=follow
me ^pp1o+pp1+++=me
in ^in++++=in
the ^ati++++=the
words ^nns++++=words
of ^in++++=of
a ^at++++=a
prayer ^nn++++=prayer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
my ^pp$+pp1+++=my
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
laid ^j+++xvbn+=laid
it ^pp3+it+++=it
on ^in++++=on
something ^pn++++=something
soft ^jj++++=soft
and ^cc+phrs+++=and
warm ^jj++++=warm,
, ^zz++++=EXTRAWORD
nestling ^nn+nom+++=nestling
close ^nn++++=close
up ^in+cmpx+++=up
to ^in"++++=to
his ^pp$+pp3+++=his
breast ^nn++++=breast
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
this ^dt+dem+++=this
little ^ap++++=little
dog ^nn++++=dog.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gentleman ^nn+nom+++=gentleman
for ^in++++=for
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
real ^jj+atrb+++=real
gentleman ^nn+nom+++=gentleman
gasped ^vbd+++xvbn+=gasped
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
' ^zz++++='Take
take ^vb++++=EXTRAWORD
care ^nn++++=care
of ^in++++=of
my ^pp$+pp1+++=my
poor ^jj+atrb+++=poor
Fido ^np+++??+=Fido;
; ^zz++++=EXTRAWORD
good ^jj++++=good-night,'
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
as ^ql++++=as
much ^ap++++=much
as ^ql++++=as
I ^pp1a+pp1+++=I
could ^md+pos+++=could
do ^vb+do+aux++=do
to ^to++++=to
get ^vbi++++=get
the ^ati++++=the
little ^jj+atrb+++=little
creature ^nn++++=creature
away ^in+pl+++=away
from ^in"++++=from
his ^pp$+pp3+++=his
dead ^jj+atrb+++=dead
master ^nn++++=master;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
clung ^vbd+++xvbnx+=clung
to ^in++++=to
him ^pp3o+pp3+++=him
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
loved ^vbd+++xvbnx+=loved
him ^pp3o+pp3+++=him
better ^jjr++++=better
than ^in++++=than
life ^nn++++=life.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You'll
'll ^md+prd+++0=EXTRAWORD
take ^vb++++=take
care ^nn++++=care
of ^in++++=of
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
children ^nns++++=children?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
brought ^vbd+++xvbnx+=brought
him ^pp3o+pp3+++=him
home ^nr++++=home
to ^in++++=to
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
Christmas ^np++++=Christmas
present ^nn++++=present."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Pretty
pretty ^rb++++=EXTRAWORD
little ^ap++++=little
Fido ^np+++??+=Fido,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Kitty ^np++++=Kitty,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
the ^ati++++=the
soft ^jj+atrb+++=soft,
, ^zz++++=EXTRAWORD
curly ^jj+atrb+++=curly
creature ^nn++++=creature
in ^in++++=in
her ^pp$+pp3+++=her
arms ^nns++++=arms;
; ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
best ^jjt+atrb+++=best
present ^nn++++=present
in ^in++++=in
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tomorrow ^nr+tm+++=to-morrow
is ^vbz+bez+aux++=is
to ^to++++=to
be ^vbi++vrb++=be
real ^jj+atrb+++=real
Christmas ^np++++=Christmas,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
home ^nr++++=home,
, ^zz++++=EXTRAWORD
papa ^npt++++=papa."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
eat ^vb++++=eat
the ^ati++++=the
turkey ^nn++++=turkey,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Harry ^np++++=Harry,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
shellbarks ^nns+++??+=shellbarks,
, ^zz++++=EXTRAWORD
lots ^nns++++=lots
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
saved ^vbd+++xvbnx+=saved
for ^in++++=for
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
good ^jj+atrb+++=good
time ^nn++++=time
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
have ^vb+hv+vrb++=have!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
papa ^npt++++=papa,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go
to ^in++++=to
war ^nn++++=war
any ^dti++++=any
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
stay ^vb++++=stay
at ^rb++++=at
home ^nr++++=home,
, ^zz++++=EXTRAWORD
with ^in++++=with
mother ^nn++++=mother
and ^cc++++=and
Kitty ^np++++=Kitty
and ^cc++++=and
Fido ^np+++??+=Fido
and ^cc++++=and
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
would ^md+prd+++=would
become ^vb++++=become
of ^in++++=of
our ^pp$+pp1+++=our
country ^nn++++=country
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
should ^md+nec+++=should
all ^rb++++=all
do ^vb+do+vrb++=do
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
little ^jj+atrb+++=little
man ^nn++++=man?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
good ^jj+atrb+++=good
day ^nn++++=day's
's ^$++++=EXTRAWORD
work ^nn++++=work
that ^tht+rel+obj++=that
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=did
this ^dt+dem+++=this
Christmas ^np++++=Christmas,
, ^zz++++=EXTRAWORD
getting ^vbg+++xvbg+=getting
the ^ati++++=the
army ^nn++++=army
all ^abn++++=all
across ^in+pl+++=across
the ^ati++++=the
river ^npl++++=river
so ^ql++++=so
quickly ^rb++++=quickly
and ^cc+phrs+++=and
quietly ^rb++++=quietly
that ^cs+sub+++=that
we ^pp1a+pp1+++=we
surprised ^vbd+++xvbn+=surprised
the ^ati++++=the
enemy ^nn++++=enemy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gained ^vbd+++xvbn+=gained
a ^at++++=a
victory ^nn++++=victory,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
loss ^nn++++=loss
of ^in++++=of
few ^ap++++=few
men ^nns++++=men."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
that ^cs+sub+++=that
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
good ^jj+atrb+++=good
people ^nns++++=people
of ^in++++=of
1776 ^cd+date+++=1776
spent ^vbd+++xvbn+=spent
their ^pp$+pp3+++=their
Christmas ^np++++=Christmas,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
their ^pp$+pp3+++=their
children ^nns++++=children
and ^cc++++=and
grandchildren ^nn++++=grandchildren
might ^md+pos+++=might
spend ^vb++++=spend
many ^ap++++=many
of ^in++++=of
them ^pp3o+pp3+++=them
as ^ql++++=as
citizens ^nns++++=citizens
of ^in++++=of
a ^at++++=a
free ^jj+atrb+++=free
nation ^nn++++=nation.
. ^zz++++=EXTRAWORD
