Nikolai ^np+++??+=Nikolai
listened ^vbd+++xvbnx+=listened
doubtfully ^rb++++=doubtfully
at ^rb++++=at
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
unfriendly ^jj+pred+++=unfriendly,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
Vera ^np++++=Vera
began ^vbd+++xvbn+=began
to ^to++++=to
tell ^vbi++++=tell
him ^pp3o+pp3+++=him
of ^in++++=of
her ^pp$+pp3+++=her
plan ^vb++++=plan
to ^to+vcmp+++=to
plant ^vb++++=plant
some ^dti++++=some
bushes ^nns++++=bushes
on ^in++++=on
the ^ati++++=the
place ^nn++++=place,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
became ^vbd+++xvbnx+=became
more ^rbr++++=more
attentive ^jj++++=attentive
and ^cc+phrs+++=and
smiled ^jj+++xvbn+=smiled
sympathetically ^rb++++=sympathetically
several ^ap++++=several
times ^nns++++=times.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
much ^rb++++=much
to ^to++++=to
do ^vbi++++=do,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
agreed ^vbd+vpub++xvbnx+=agreed,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Vera ^np++++=Vera
had ^vbd+hvd+aux++=had
finished ^vprf+++xvbnx+=finished
her ^pp$+pp3+++=her
story ^nn++++=story.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
sort ^nn++++=sort
of ^in++++=of
bushes ^nns++++=bushes
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
want ^vb++++=want?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
came ^vbd+++xvbnx+=came
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
his ^pp$+pp3+++=his
plants ^nns++++=plants,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
very ^ql+amp+++=very
suitable ^jj++++=suitable.
. ^zz++++=EXTRAWORD
The ^ati++++=The
only ^ap+down+++=only
thing ^nn++++=thing
possible ^jj++++=possible
to ^to+jcmp+++=to
put ^vbi++++=put
on ^rb+phrv+++=on
the ^ati++++=the
spot ^nn++++=spot
was ^vbd+bedz+vrb++=was
a ^at++++=a
clump ^nn++++=clump
of ^in++++=of
lilacs ^nns++++=lilacs.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
in ^rb++++=in
vain ^rb"++++=vain
for ^in++++=for
Almazof ^np+++??+=Almazof
to ^to++++=to
try ^vbi++++=try
and ^cc+phrs+++=and
persuade ^vb++++=persuade
his ^pp$+pp3+++=his
wife ^nn++++=wife
to ^to++++=to
go ^vbi++++=go
home ^nr++++=home.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
went ^vbd+++xvbnx+=went
all ^rb++++=all
the ^ati++++=the
way ^nn++++=way
with ^in++++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stayed ^xvbn+++xvbn+=stayed
all ^abn++++=all
the ^ati++++=the
time ^nn++++=time
the ^ati++++=the
bushes ^nns++++=bushes
were ^vbd+bed+aux++=were
planted ^vpsv++agls+xvbnx+=planted,
, ^zz++++=EXTRAWORD
feverishly ^jj++++=feverishly
fussing ^jj+++xvbg+=fussing
about ^in++++=about
and ^cc++++=and
hindering ^nvbg+++xvbg+=hindering
the ^ati++++=the
workmen ^nns++++=workmen.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
only ^ap+down+++=only
consented ^jj+++xvbn+=consented
to ^to++++=to
go ^vbi++++=go
home ^nr++++=home
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
assured ^vpsv++agls+xvbnx+=assured
that ^tht+vcmp+++=that
the ^ati++++=the
turf ^nn++++=turf
under ^in++++=under
the ^ati++++=the
bushes ^nns++++=bushes
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
distinguished ^vpsv++agls+xvbnx+=distinguished
from ^in++++=from
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
grass ^nn++++=grass
round ^in++++=round
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
Next ^ap++++=Next
day ^nn++++=day
Vera ^np++++=Vera
felt ^vbd+vprv++xvbn+=felt
it ^pp3+it+++=it
impossible ^jj++++=impossible
to ^to+jcmp+++=to
remain ^vbi++++=remain
in ^in++++=in
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out
to ^to++++=to
meet ^vbi++++=meet
her ^pp$+pp3+++=her
husband ^nn++++=husband.
. ^zz++++=EXTRAWORD
Quite ^rb++++=Quite
a ^at++++=a
long ^jj+atrb+++=long
way ^nn++++=way
off ^in+pl+++=off
she ^pp3a+pp3+++=she
knew ^vbd+vprv++xvbnx+=knew,
, ^zz++++=EXTRAWORD
by ^in++++=by
a ^at++++=a
slight ^jj+atrb+++=slight
spring ^nn++++=spring
in ^in++++=in
his ^pp$+pp3+++=his
walk ^nn++++=walk,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
everything ^pn++++=everything
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
well.. ^nn+++??+=well....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
True ^jj++++=True,
, ^zz++++=EXTRAWORD
Almazof ^np+++??+=Almazof
was ^vbd+bedz+aux++=was
covered ^vpsv++agls+xvbnx+=covered
in ^in++++=in
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
could ^md+pos+++=could
hardly ^rb+down+++=hardly
move ^nn++++=move
from ^in++++=from
weariness ^nns+nom+++=weariness
and ^cc++++=and
hunger ^nn++++=hunger,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
face ^nn++++=face
shone ^vbd+++xvbn+=shone
with ^in++++=with
the ^ati++++=the
triumph ^nn++++=triumph
of ^in++++=of
victory ^nn++++=victory.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
right ^jj++++=right!
! ^zz++++=EXTRAWORD
Splendid ^jj++++=Splendid!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
he ^pp3a+pp3+++=he
when ^wrb+who+++=when
within ^in++++=within
ten ^cd++++=ten
paces ^nns++++=paces
of ^in++++=of
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
in ^in++++=in
answer ^nn++++=answer
to ^in++++=to
the ^ati++++=the
anxious ^jj+atrb+++=anxious
expression ^nn++++=expression
on ^rp++++=on
her ^pp3o+pp3+++=her
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="Just
just ^rb+emph+++=EXTRAWORD
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went
together ^nn+nom+++=together
to ^in++++=to
those ^dt+dem+++=those
bushes ^nns++++=bushes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
and ^cc+phrs+++=and
looked ^vbd+++xvbn+=looked
at ^rb++++=at
them ^pp3o+pp3+++=them
he ^pp3a+pp3+++=he
even ^rb++++=even
plucked ^xvbn+++xvbn+=plucked
a ^at++++=a
leaf ^nn++++=leaf
and ^cc++++=and
chewed ^xvbn+++xvbn+=chewed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
' ^zz++++='What
what ^wdt+who+++=EXTRAWORD
sort ^nn++++=sort
of ^in++++=of
a ^at++++=a
tree ^nn++++=tree
is ^vbz+bez+vrb++=is
this ^dt+pdem+++=this?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
Excellency ^nn++++=Excellency,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="'It's
' ^zz++++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
birch ^nn++++=birch,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="'Yes,
' ^zz++++=EXTRAWORD
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
probably ^rb+cnj+++=probably,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
Excellency. ^np+++??+=Excellency.'"
'" ^nn+++??+=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
to ^in++++=to
me ^pp1o+pp1+++=me
and ^cc++++=and
held ^vbd+vprv++xvbn+=held
out ^rp+pl+++=out
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
beg ^vb++++=beg
your ^pp$+pp2+++=your
pardon ^nn++++=pardon,
, ^zz++++=EXTRAWORD
lieutenant ^npt+nom+++=lieutenant,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
be ^vb+be+aux++=be
getting ^vbg+++xvbgx+=getting
old ^jj++++=old,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
remember ^nn+nom+++=remember
those ^dt+dem+++=those
bushes ^nns++++=bushes.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
fine ^jj+atrb+++=fine
man ^nn++++=man,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
professor ^npt++++=professor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
knows ^vbz+vprv+++=knows
a ^at++++=a
lot ^nn++++=lot.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
quite ^abl++++=quite
sorry ^jj++++=sorry
to ^to+jcmp+++=to
deceive ^vbi++++=deceive
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+vrb++0=EXTRAWORD
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
best ^jjt++++=best
professors ^npt++++=professors
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
learning ^nvbg+++xvbg+=learning
is ^vbz+bez+vrb++=is
simply ^rb++++=simply
wonderful ^jj+pred+++=wonderful.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
how ^wrb+who+++=how
quick ^jj++++=quick
and ^cc+phrs+++=and
accurate ^jj++++=accurate
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
in ^in++++=in
marking ^xvbg+++xvbg+=marking
the ^ati++++=the
plans ^nns++++=plans
marvellous ^jj++++=marvellous!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
this ^dt+pdem+++=this
meant ^vbd+vprv++xvbn+=meant
little ^ap++++=little
to ^in++++=to
Vera ^np++++=Vera.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
hear ^vbi+vprv+++=hear
over ^in++++=over
and ^cc++++=and
over ^in++++=over
again ^rb+tm+++=again
exactly ^rb++++=exactly
what ^wdt+who+++=what
the ^ati++++=the
professor ^npt++++=professor
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said
about ^in++++=about
the ^ati++++=the
bushes ^nns++++=bushes.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
interested ^jj+pred+++=interested
in ^in++++=in
the ^ati++++=the
smallest ^jjt+atrb+++=smallest
details ^nns++++=details
the ^ati++++=the
expression ^nn++++=expression
on ^in++++=on
the ^ati++++=the
professor ^nn++++=professor's
's ^$++++=EXTRAWORD
face ^nn++++=face,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tone ^nn++++=tone
of ^in++++=of
his ^pp$+pp3+++=his
voice ^nn++++=voice
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
must ^md+nec+++=must
be ^vb+be+aux++=be
growing ^vbg+++xvbgx+=growing
old ^jj++++=old,
, ^zz++++=EXTRAWORD
exactly ^rb++++=exactly
how ^wrb+who+++=how
Kolya ^np+++??+=Kolya
felt.. ^nn+++??+=felt....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
went ^vbd+++xvbnx+=went
home ^nr++++=home
together ^nn+nom+++=together
as ^cs+sub+++=as
if ^cs+cnd+++=if
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
no ^at++++=no
one ^pn++++=one
in ^in++++=in
the ^ati++++=the
street ^npl++++=street
except ^cs+sub+++=except
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv++xvbg+=holding
each ^dt++++=each
other ^ap++++=other
by ^in++++=by
the ^ati++++=the
hand ^nn++++=hand
and ^cc++++=and
laughing ^vbg+++xvbg+=laughing
at ^in+ppvb+++=at
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
The ^ati++++=The
passers ^nns+nom+++=passers-by
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
stopped ^vbd+++xvbn+=stopped
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
seemed ^vbd+seem++xvbnx+=seemed
such ^abl++++=such
a ^at++++=a
strange ^jj+atrb+++=strange
couple ^nn++++=couple.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
before ^cs+sub+++=before
had ^vb+hv+vrb++=had
Nikolai ^np+++??+=Nikolai
Yevgrafovitch ^np+++??+=Yevgrafovitch
enjoyed ^vbd+++xvbn+=enjoyed
his ^pp$+pp3+++=his
dinner ^nn++++=dinner
so ^ql++++=so
much ^ap++++=much
as ^ql++++=as
on ^in++++=on
that ^dt+dem+++=that
day ^nn++++=day.
. ^zz++++=EXTRAWORD
After ^in++++=After
dinner ^nn++++=dinner,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Vera ^np++++=Vera
brought ^vbd+++xvbn+=brought
a ^at++++=a
glass ^nn++++=glass
of ^in++++=of
tea ^nn++++=tea
to ^in++++=to
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
study ^nn++++=study,
, ^zz++++=EXTRAWORD
husband ^nn++++=husband
and ^cc++++=and
wife ^nn++++=wife
suddenly ^rb++++=suddenly
looked ^vbd+++xvbn+=looked
at ^rb++++=at
one ^cd1++++=one
another ^dt++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
both ^abx++++=both
laughed ^jj+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
laughing ^vbg+++xvbg+=laughing
at ^in+ppvb+++=at?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Vera ^np++++=Vera.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
why ^wrb+who+whq++=why
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you
laugh ^vb++++=laugh?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
her ^pp$+pp3+++=her
husband ^nn++++=husband.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
foolishness ^nns+nom+++=foolishness.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
thinking ^vbg+++xvbgx+=thinking
all ^abn++++=all
about ^in++++=about
those ^dt+dem+++=those
lilacs ^nns++++=lilacs.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
mine ^nn++++=mine
was ^vbd+bedz+vrb++=was
foolishness ^nns+nom+++=foolishness
too ^rb++++=too
and ^cc++++=and
the ^ati++++=the
lilacs ^nns++++=lilacs.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
just ^rb+emph+splt++=just
going ^md"++pmd"++=going
to ^md+prd+++=to
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
now ^rn+tm+++=now
the ^ati++++=the
lilac ^nn++++=lilac
will ^md+prd+++=will
always ^rb++++=always
be ^vb+be+vrb++=be
my ^pp$+pp1+++=my
favourite ^jjb+atrb+++=favourite
flower... ^nn++++=flower...."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
