You ^pp2+pp2+++=You're
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
told ^vbd+vpub++xvbnx+=told
me ^pp1o+pp1+++=me
his ^pp$+pp3+++=his
wife ^nn++++=wife's
's ^vbz+bez+vrb++0=EXTRAWORD
maiden ^jjb+atrb+++=maiden
name ^nn++++=name,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
the ^ati++++=the
poverty ^nn++++=poverty
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
experienced ^vprf+++xvbnx+=experienced
together ^nn+nom+++=together
in ^in++++=in
their ^pp$+pp3+++=their
early ^jj+atrb+++=early
married ^jj+atrb++xvbn+=married
days ^nns++++=days,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
student ^nn++++=student
in ^in++++=in
his ^pp$+pp3+++=his
last ^jj+atrb+++=last
year ^nn++++=year,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
not ^xnot++not++=not
even ^rb++++=even
a ^at++++=a
second ^od++++=second
pair ^nn++++=pair
of ^in++++=of
trousers ^nns+nom+++=trousers
to ^to++++=to
wear ^vbi++++=wear,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
a ^at++++=a
splendid ^jj+atrb+++=splendid
companion ^nn++++=companion,
, ^zz++++=EXTRAWORD
nurse ^vb++++=nurse,
, ^zz++++=EXTRAWORD
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sister ^nn++++=sister
in ^in++++=in
one ^pn++++=one,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
wife ^nn++++=wife
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
to ^to++++=to
him ^pp3o+pp3+++=him
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
struck ^vbd+++xvbnx+=struck
his ^pp$+pp3+++=his
breast ^nn++++=breast
with ^in++++=with
his ^pp$+pp3+++=his
clenched ^jj+atrb++xvbn+=clenched
fist ^nn++++=fist,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
face ^nn++++=face
reddened ^vbd+++xvbn+=reddened
with ^in++++=with
pride ^nn++++=pride,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
flashed ^vbd+++xvbn+=flashed,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried:
: ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
only ^rb+down+++=only
you ^pp2+pp2+++=you
knew ^vbd+vprv+tht0+xvbn+=knew
her ^pp$+pp3+++=her!
! ^zz++++=EXTRAWORD
A ^at++++=A
be ^vb+be+vrb++=be-eauty!
- ^zz++++=EXTRAWORD
eauty ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
in ^in++++=in
Petersburg ^np++++=Petersburg
I ^pp1a+pp1+++=I
must ^md+nec+++=must
introduce ^vb++++=introduce
you ^pp2+pp2+++=you
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
certainly ^rb++splt++=certainly
come ^vb++++=come
and ^cc+phrs+++=and
see ^vb+vprv+++=see
us ^pp1o+pp1+++=us
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
must ^md+nec+++=must,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
without ^in++++=without
any ^dti++++=any
ceremony ^nn++++=ceremony
or ^cc++++=or
excuse ^nn++++=excuse,
, ^zz++++=EXTRAWORD
Kirochnaya ^np+++??+=Kirochnaya
156 ^cd++++=156.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
introduce ^vb++++=introduce
you ^pp2+pp2+++=you
to ^in++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
see ^vb+vprv+tht0++=see
my ^pp$+pp1+++=my
old ^jj+atrb+++=old
woman ^nn++++=woman
for ^in++++=for
yourself ^ppl+pp2+++=yourself.
. ^zz++++=EXTRAWORD
A ^at++++=A
Queen ^nn++++=Queen!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
always ^rb++++=always
the ^ati++++=the
belle ^np++++=belle
at ^in++++=at
our ^pp$+pp1+++=our
civil ^jj++++=civil-engineers'
- ^zz++++=EXTRAWORD
engineers ^nns+nom+++=EXTRAWORD
' ^zz++++=EXTRAWORD
balls ^nns++++=balls.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
come ^vb++++=come
and ^cc+phrs+++=and
see ^vb+vprv+++=see
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
swear ^vbd+++xvbnx+=swear,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
be ^vb+be+aux++=be
offended ^vpsv++agls+xvbnx+=offended."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
us ^pp1o+pp1+++=us
each ^dt++++=each
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
visiting ^jj+atrb++xvbg+=visiting
cards ^nns++++=cards
on ^in++++=on
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
pencilled ^jj++++=pencilled
out ^rp+pl+++=out
his ^pp$+pp3+++=his
Manchurian ^np+++??+=Manchurian
address ^nns+nom+++=address,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
written ^vpsv++agls+xvbn+=written
in ^in++++=in
the ^ati++++=the
Petersburg ^np++++=Petersburg
one ^pn++++=one,
, ^zz++++=EXTRAWORD
telling ^jj+++xvbg+=telling
us ^pp1o+pp1+++=us
at ^in++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time
that ^tht+rel+obj++=that
his ^pp$+pp3+++=his
sumptuous ^jj+atrb+++=sumptuous
flat ^nn++++=flat
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
taken ^vpsv++by+xvbnx+=taken
by ^in++++=by
his ^pp$+pp3+++=his
wife ^nn++++=wife
only ^rb+down+++=only
a ^at++++=a
year ^nn++++=year
ago ^rb++++=ago
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
insisted ^vprf+++xvbnx+=insisted
on ^in++++=on
it ^pp3+it+++=it
when ^wrb+who+++=when
his ^pp$+pp3+++=his
business ^nns+nom+++=business
had ^vbd+hvd+aux++=had
reached ^vprf+++xvbnx+=reached
its ^pp$+it+++=its
height ^nn++++=height.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
talk ^nn++++=talk
was ^vbd+bedz+vrb++=was
like ^in++++=like
a ^at++++=a
waterfall ^nn++++=waterfall.
. ^zz++++=EXTRAWORD
Four ^cd++++=Four
times ^nns++++=times
a ^at++++=a
day ^nn++++=day,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
stopped ^vbd+++xvbn+=stopped
at ^rb++++=at
important ^jj+atrb+++=important
stations ^nns+nom+++=stations,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
send ^vb++++=send
home ^nr++++=home
a ^at++++=a
reply ^nn++++=reply-paid
- ^zz++++=EXTRAWORD
paid ^vbd+++xvbn+=EXTRAWORD
telegram ^nn++++=telegram
to ^to++++=to
be ^vbi+vbi+aux++=be
delivered ^vpsv++agls+xvbnx+=delivered
to ^in++++=to
him ^pp3o+pp3+++=him
at ^in++++=at
the ^ati++++=the
next ^ap++++=next
big ^jj++++=big
stopping ^jj+++xvbg+=stopping-place
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
or ^cc++++=or
simply ^rb++++=simply
on ^in++++=on
the ^ati++++=the
train ^nn++++=train,
, ^zz++++=EXTRAWORD
addressed ^j+++xvbn+=addressed
to ^in++++=to
such ^abl++++=such
and ^cc++++=and
such ^abl++++=such
a ^at++++=a
number ^nn++++=number,
, ^zz++++=EXTRAWORD
first ^od++++=first-class
- ^zz++++=EXTRAWORD
class ^nn++++=EXTRAWORD
passenger ^nn+nom+++=passenger.
. ^zz++++=EXTRAWORD
So ^ql++++=So-and-so....
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
so.. ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
you ^pp2+pp2+++=you
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi+vbi+aux++=have
seen ^vprf+++xvbn+=seen
him ^pp3o+pp3+++=him
when ^wrb+who+++=when
the ^ati++++=the
conductor ^nn++++=conductor
came ^vbd+++xvbn+=came
along ^in++++=along
shouting ^nn++++=shouting
in ^in++++=in
a ^at++++=a
sing ^vb++++=sing-song
- ^zz++++=EXTRAWORD
song ^nn++++=EXTRAWORD
tone ^nn++++=tone
" ^zz++++="Telegram
telegram ^nn++++=EXTRAWORD
for ^in++++=for
first ^od++++=first-class
- ^zz++++=EXTRAWORD
class ^nn++++=EXTRAWORD
passenger ^nn+nom+++=passenger
So ^ql++++=So-and-so."
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
so ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
assure ^vb++++=assure
you ^pp2+pp2+++=you
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
shining ^jj+atrb++xvbg+=shining
halo ^nn++++=halo
round ^in++++=round
his ^pp$+pp3+++=his
head ^jjb++++=head
like ^in++++=like
that ^dt+dem+++=that
of ^in++++=of
the ^ati++++=the
holy ^jj+atrb+++=holy
saints ^nns++++=saints.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
tipped ^vbd+++xvbnx+=tipped
the ^ati++++=the
conductors ^nns++++=conductors
royally ^rb+cnj+++=royally,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
the ^ati++++=the
conductors ^nns++++=conductors
only ^rb+down+++=only
either ^dtx++++=either.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
an ^at++++=an
insatiable ^jj+atrb+++=insatiable
desire ^nn++++=desire
to ^to+ncmp+++=to
give ^vbi++++=give
to ^in++++=to
everybody ^pn++++=everybody,
, ^zz++++=EXTRAWORD
to ^to++++=to
make ^vbi++++=make
people ^nns++++=people
happy ^jj++++=happy,
, ^zz++++=EXTRAWORD
to ^to++++=to
caress ^vbi++++=caress
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gave ^vbd+++xvbnx+=gave
us ^pp1o+pp1+++=us
all ^abn++++=all
souvenirs ^nns++++=souvenirs,
, ^zz++++=EXTRAWORD
knicknacks ^vbz+++??+=knicknacks
made ^vbd+++xvbn+=made
out ^rp+pl+++=out
of ^in++++=of
Siberian ^np+++??+=Siberian
and ^cc++++=and
Ural ^np+++??+=Ural
stones ^nns++++=stones,
, ^zz++++=EXTRAWORD
trinkets ^nns++++=trinkets,
, ^zz++++=EXTRAWORD
studs ^nns++++=studs,
, ^zz++++=EXTRAWORD
pins ^nns++++=pins,
, ^zz++++=EXTRAWORD
Chinese ^jj+atrb+++=Chinese
rings ^nns++++=rings,
, ^zz++++=EXTRAWORD
jade ^nn+++??+=jade
images ^nns++++=images,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
trifles ^nns++++=trifles.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
them ^pp3o+pp3+++=them
were ^vbd+bed+vrb++=were
many ^ap++++=many
things ^nns++++=things
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
very ^ql+amp+++=very
valuable ^jj++++=valuable,
, ^zz++++=EXTRAWORD
some ^dti++++=some
on ^in++++=on
account ^nn++++=account
of ^in++++=of
their ^pp$+pp3+++=their
cost ^nn++++=cost,
, ^zz++++=EXTRAWORD
others ^aps++++=others
for ^in++++=for
their ^pp$+pp3+++=their
rare ^jj+atrb+++=rare
and ^cc+phrs+++=and
artistic ^jj+atrb+++=artistic
work ^nn++++=work,
, ^zz++++=EXTRAWORD
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
impossible ^jj+pred+++=impossible
to ^to+jcmp+++=to
refuse ^vbi++++=refuse
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
one ^cd1++++=one
felt ^vbd+vprv++xvbn+=felt
embarrassed ^jj+++xvbn+=embarrassed
and ^cc+phrs+++=and
awkward ^jj++++=awkward
in ^in++++=in
receiving ^xvbg+++xvbg+=receiving
such ^abl++++=such
valuable ^jj+atrb+++=valuable
gifts ^nns++++=gifts
he ^pp3a+pp3+++=he
begged ^vbd+++xvbnx+=begged
us ^pp1o+pp1+++=us
to ^to++++=to
accept ^vbi+vprv+++=accept
them ^pp3o+pp3+++=them
with ^in++++=with
such ^abl++++=such
earnestness ^nns+nom+++=earnestness
and ^cc++++=and
insistence ^nn+nom+++=insistence,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
one ^cd1++++=one
cannot ^md+pos+not++=cannot
continue ^vb++++=continue
to ^to++++=to
refuse ^vbi++++=refuse
a ^at++++=a
child ^nn++++=child
who ^whp+rel+subj++=who
continues ^vbz++++=continues
to ^to++++=to
ask ^vbi++++=ask
one ^cd1++++=one
to ^to++++=to
take ^vbi++++=take
a ^at++++=a
sweet ^nn++++=sweet.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
with ^in++++=with
him ^pp3o+pp3+++=him
in ^in++++=in
his ^pp$+pp3+++=his
boxes ^nns++++=boxes
and ^cc++++=and
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand
luggage ^nn+nom+++=luggage
a ^at++++=a
whole ^jj+atrb+++=whole
store ^nn++++=store
of ^in++++=of
things ^nns++++=things,
, ^zz++++=EXTRAWORD
all ^abn++++=all
gifts ^nns++++=gifts
for ^in++++=for
Sannochka ^np+++??+=Sannochka
and ^cc++++=and
Yurochka ^np+++??+=Yurochka.
. ^zz++++=EXTRAWORD
Wonderful ^jj+atrb+++=Wonderful
things ^nns++++=things
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
priceless ^jj+atrb+++=priceless
Chinese ^nn+nom+++=Chinese
dresses ^nns+nom+++=dresses,
, ^zz++++=EXTRAWORD
ivory ^nn++++=ivory,
, ^zz++++=EXTRAWORD
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
miniatures ^nns++++=miniatures
in ^in++++=in
sardonyx ^nn+++??+=sardonyx,
, ^zz++++=EXTRAWORD
furs ^nns+++??+=furs,
, ^zz++++=EXTRAWORD
painted ^jj+atrb++xvbn+=painted
fans ^nns++++=fans,
, ^zz++++=EXTRAWORD
lacquered ^jj+atrb++xvbn+=lacquered
boxes ^nns++++=boxes,
, ^zz++++=EXTRAWORD
albums ^nns++++=albums
and ^cc++++=and
you ^pp2+pp2+++=you
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi+vbi+aux++=have
seen ^vprf+++xvbn+=seen
and ^cc+phrs+++=and
heard ^vprf+++xvbn+=heard
the ^ati++++=the
tenderness ^nns+nom+++=tenderness
and ^cc++++=and
the ^ati++++=the
rapture ^nn++++=rapture
with ^in++++=with
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
of ^in++++=of
his ^pp$+pp3+++=his
new ^jj+atrb+++=new
ones ^pn++++=ones,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
showed ^vbd+vprv++xvbnx+=showed
us ^pp1o+pp1+++=us
these ^dt+dem+++=these
gifts ^nns++++=gifts.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
love ^nn++++=love
may ^md+pos+++=may
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
somewhat ^rb+down+++=somewhat
blind ^jj++++=blind,
, ^zz++++=EXTRAWORD
too ^ql++++=too
noisy ^jj++++=noisy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
egotistical ^jj++++=egotistical,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
even ^rb++++=even
a ^rb++++=a
little ^rb"++++=little
hysterical ^jj++++=hysterical,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
swear ^vbd+++xvbnx+=swear
that ^tht+vcmp+++=that
through ^in++++=through
these ^dt+dem+++=these
formal ^jj+atrb+++=formal
and ^cc+phrs+++=and
trivial ^jj+atrb+++=trivial
veilings ^nns+nom+++=veilings
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+++=see
a ^at++++=a
great ^jj+atrb+++=great
and ^cc+phrs+++=and
genuine ^jj+atrb+++=genuine
love ^nn++++=love
love ^nn++++=love
at ^rb++++=at
a ^at++++=a
sharp ^jj+atrb+++=sharp
and ^cc+phrs+++=and
painful ^jj+atrb+++=painful
tension ^nn++++=tension.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
at ^in++++=at
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
stations ^nns+nom+++=stations
when ^wrb+who+++=when
another ^dt++++=another
waggon ^nn+++??+=waggon
was ^vbd+bedz+aux++=was
being ^vbg+beg+aux+xvbg+=being
attached ^vwbn+++xvbn+=attached
to ^in++++=to
the ^ati++++=the
train ^nn++++=train,
, ^zz++++=EXTRAWORD
a ^at++++=a
pointsman ^jj++++=pointsman
had ^vb+hv+vrb++=had
his ^pp$+pp3+++=his
foot ^nn++++=foot
cut ^vbd+++xvbn+=cut
off ^rb+phrv+++=off.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
great ^jj+atrb+++=great
excitement ^nn+nom+++=excitement,
, ^zz++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
passengers ^nns+nom+++=passengers
went ^vbd+++xvbn+=went
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
the ^ati++++=the
injured ^jj+atrb++xvbn+=injured
man ^nn++++=man
and ^cc++++=and
people ^nns++++=people
travelling ^vwbg+++xvbg+=travelling
by ^in++++=by
train ^nn++++=train
are ^vb+ber+vrb++=are
the ^ati++++=the
most ^ql+emph+++=most
empty ^jj++++=empty-headed,
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
wildest ^jjt++++=wildest,
, ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
cruel ^jj++++=cruel
in ^in++++=in
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
The ^ati++++=The
engineer ^nn+nom+++=engineer
did ^vbd+dod+aux++=did
not ^xnot++not++=not
stay ^vb++++=stay
in ^in++++=in
the ^ati++++=the
crowd ^nn++++=crowd,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
quietly ^rb++++=quietly
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
station ^nn+nom+++=station-master,
- ^zz++++=EXTRAWORD
master ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
talked ^j+++xvbn+=talked
with ^in++++=with
him ^pp3o+pp3+++=him
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
moments ^nns+nom+++=moments,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
handed ^vbd+++xvbn+=handed
him ^pp3o+pp3+++=him
a ^at++++=a
note ^nn++++=note
for ^in++++=for
a ^at++++=a
sum ^nn++++=sum
of ^in++++=of
money ^nn++++=money
not ^xnot++not++=not
a ^at++++=a
small ^jj+atrb+++=small
amount ^nn++++=amount,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
expect ^vb+vprv+++=expect,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
official ^jj+atrb+++=official
cap ^nn++++=cap
was ^vbd+bedz+aux++=was
lifted ^vpsv++agls+xvbnx+=lifted
in ^in++++=in
acknowledgment ^nn+nom+++=acknowledgment
with ^in++++=with
the ^ati++++=the
greatest ^jjt+atrb+++=greatest
respect ^nn++++=respect.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+vrb++=did
this ^dt+dem+++=this
very ^ql+amp+++=very
quickly ^rb++++=quickly;
; ^zz++++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
but ^cc++++=but
myself ^ppl+pp1+++=myself
saw ^vbd+vprv+tht0+xvbn+=saw
his ^pp$+pp3+++=his
action ^nn++++=action,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
eyes ^nns++++=eyes
that ^tht+rel+subj++=that
notice ^vb+vprv+++=notice
such ^abl++++=such
things ^nns++++=things.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
also ^rb++++=also
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
advantage ^nn+nom+++=advantage
of ^in++++=of
the ^ati++++=the
longer ^rbr++++=longer
stoppage ^nn+nom+++=stoppage
of ^in++++=of
the ^ati++++=the
train ^nn++++=train
and ^cc++++=and
succeeded ^vpsv++agls+xvbn+=succeeded
in ^in++++=in
sending ^nn++++=sending
off ^in+pl+++=off
a ^at++++=a
telegram ^nn++++=telegram.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
see ^vb+vprv+++=see
him ^pp3o+pp3+++=him
now ^rn+tm+++=now
as ^ql++++=as
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
across ^in+pl+++=across
the ^ati++++=the
platform ^nn++++=platform
his ^pp$+pp3+++=his
white ^jj+atrb+++=white
engineer ^nn+nom+++=engineer's
's ^$++++=EXTRAWORD
cap ^nn++++=cap
pushed ^vwbn+++xvbn+=pushed
to ^rb+phrv+++=to
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
his ^pp$+pp3+++=his
head ^nn++++=head;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
long ^jj+atrb+++=long
blouse ^nn++++=blouse
of ^in++++=of
fine ^jj+atrb+++=fine
tussore ^nn++++=tussore,
, ^zz++++=EXTRAWORD
with ^in++++=with
collar ^nn++++=collar
fastening ^nn++++=fastening
at ^in++++=at
the ^ati++++=the
side ^nn++++=side;
; ^zz++++=EXTRAWORD
over ^in++++=over
one ^cd1++++=one
shoulder ^nn+nom+++=shoulder
the ^ati++++=the
strap ^nn++++=strap
of ^in++++=of
his ^pp$+pp3+++=his
field ^nn++++=field-glasses,
- ^zz++++=EXTRAWORD
glasses ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
crossing ^nvbg+++xvbg+=crossing
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
over ^in++++=over
the ^ati++++=the
other ^ap++++=other
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
the ^ati++++=the
strap ^nn++++=strap
of ^in++++=of
his ^pp$+pp3+++=his
dispatch ^nn++++=dispatch-case
- ^zz++++=EXTRAWORD
case ^nn++++=EXTRAWORD
coming ^vwbg+++xvbg+=coming
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
telegraph ^nn++++=telegraph
office ^nn++++=office
and ^cc++++=and
looking ^vbg+++xvbg+=looking
so ^ql+emph+++=so
fresh ^jj++++=fresh
and ^cc+phrs+++=and
plump ^jj++++=plump
and ^cc+phrs+++=and
strong ^jj++++=strong
with ^in++++=with
such ^abl++++=such
a ^at++++=a
clear ^jj+atrb+++=clear
complexion ^nn++++=complexion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
look ^nn++++=look
of ^in++++=of
a ^at++++=a
well ^rb++++=well-fed,
- ^zz++++=EXTRAWORD
fed ^vwbn+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
simple ^jj++++=simple,
, ^zz++++=EXTRAWORD
country ^nn++++=country
lad ^nn++++=lad.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
at ^in++++=at
almost ^rb+hdg+++=almost
every ^at++++=every
big ^jj+atrb+++=big
station ^nn+nom+++=station
he ^pp3a+pp3+++=he
received ^vbd+++xvbnx+=received
a ^at++++=a
telegram ^nn++++=telegram.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
quite ^abl++++=quite
spoilt ^vbd+++xvbn+=spoilt
the ^ati++++=the
conductors ^nns++++=conductors
running ^vwbg+++xvbg+=running
himself ^ppl+pp3+++=himself
to ^in++++=to
the ^ati++++=the
office ^nn++++=office
to ^to++++=to
inquire ^vbi++++=inquire
if ^cs+cnd+++=if
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
message ^nn+nom+++=message
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Poor ^jj+atrb+++=Poor
boy ^nn++++=boy!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
keep ^vb++++=keep
his ^pp$+pp3+++=his
joy ^nn++++=joy
to ^in++++=to
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
read ^vb+vprv++xvbn+=read
his ^pp$+pp3+++=his
telegrams ^nns++++=telegrams
aloud ^rb++++=aloud
to ^in++++=to
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
nothing ^pn++++=nothing
else ^rb+cnj+++=else
to ^to++++=to
think ^vbi+vprv+++=think
about ^in++++=about
except ^in++++=except
his ^pp$+pp3+++=his
family ^nn++++=family
happiness ^nns+nom+++=happiness
" ^zz++++="Hope
hope ^nn++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
well ^rb++++=well.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
send ^vb++++=send
kisses ^nns++++=kisses
and ^cc++++=and
await ^vb++++=await
your ^pp$+pp2+++=your
arrival ^nn++++=arrival
