This ^dt+dem+++=This
' ^zz++++=EXTRAWORD
conversation ^nn+nom+++=conversation
could ^md+pos+++=could
all ^rb++++=all
be ^vb+be+aux++=be
retained ^vpsv++agls+xvbnx+=retained,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
main ^nn++++=main
of ^in++++=of
it ^pp3+it+++=it
she ^pp3a+pp3+++=she
thinks ^vbz+vprv+tht0++=thinks
she ^pp3a+pp3+++=she
does ^vbz+doz+aux++=does
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
Mrs ^vb++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave
she ^pp3a+pp3+++=she
would ^md+prd+++=would
have ^vb+hv+aux++=have
her ^pp3o+pp3+++=her
write ^vb++++=write
a ^at++++=a
letter ^nn++++=letter
to ^in++++=to
her ^pp3o+pp3+++=her
brother ^npt++++=brother,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tell ^vb++++=tell
him ^pp3o+pp3+++=him
she ^pp3a+pp3+++=she
would ^md+prd+++=would
have ^vb+hv+aux++=have
him ^pp3o+pp3+++=him
give ^vb++++=give
rings ^nns++++=rings
to ^in++++=to
such ^abl++++=such
and ^cc++++=and
such ^abl++++=such;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
purse ^nn++++=purse
of ^in++++=of
gold ^nn++++=gold
in ^in++++=in
her ^pp$+pp3+++=her
cabinet ^nn++++=cabinet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
would ^md+prd+++=would
have ^vb+hv+vrb++=have
two ^cd++++=two
broad ^jj+atrb+++=broad
pieces ^nns++++=pieces
given ^vwbn+++xvbn+=given
to ^in++++=to
her ^pp$+pp3+++=her
cousin ^nn++++=cousin
Watson ^np++++=Watson.
. ^zz++++=EXTRAWORD
Talking ^vbg+++xvbg+=Talking
at ^in++++=at
this ^dt+dem+++=this
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave
thought ^vbd+++xvbn+=thought
that ^tht+vcmp+++=that
a ^at++++=a
fit ^nn++++=fit
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming
upon ^in+ppvb+++=upon
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql+emph+++=so
placed ^jj+++xvbn+=placed
herself ^ppl+pp3+++=herself
on ^in++++=on
a ^at++++=a
chair ^nn++++=chair
just ^rb+emph+++=just
before ^in++++=before
her ^pp$+pp3+++=her
knees ^nns++++=knees,
, ^zz++++=EXTRAWORD
to ^to++++=to
keep ^vbi++++=keep
her ^pp$+pp3+++=her
from ^in++++=from
falling ^xvbg+++xvbg+=falling
to ^in++++=to
the ^ati++++=the
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
her ^pp3o+pp3+++=her
fits ^vbz++++=fits
should ^md+nec+++=should
occasion ^vb++++=occasion
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
elbow ^nn++++=elbow-chair,
- ^zz++++=EXTRAWORD
chair ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
keep ^vb++++=keep
her ^pp$+pp3+++=her
from ^in++++=from
falling ^xvbg+++xvbg+=falling
on ^in++++=on
either ^dtx++++=either
side ^nn++++=side.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
to ^to++++=to
divert ^vbi++++=divert
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
took ^jj+atrb++xvbn+=took
hold ^nn++++=hold
of ^in++++=of
her ^pp$+pp3+++=her
gown ^nn++++=gown-sleeve
- ^zz++++=EXTRAWORD
sleeve ^nn++++=EXTRAWORD
several ^ap++++=several
times ^nns++++=times,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
commended ^vbd+++xvbn+=commended
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal
told ^vbd+vpub+tht0+xvbn+=told
her ^pp$+pp3+++=her
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
scoured ^jj+atrb+++=scoured
silk ^nn++++=silk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
newly ^rb++++=newly
made ^vbd+++xvbn+=made
up ^rp++++=up.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
for ^in++++=for
all ^abn++++=all
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal
persisted ^vbd+++xvbn+=persisted
in ^in++++=in
her ^pp$+pp3+++=her
request ^nn++++=request,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
told ^vbd+vpub++xvbn+=told
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave
she ^pp3a+pp3+++=she
must ^md+nec+++=must
not ^xnot++not++=not
deny ^vb+vpub+++=deny
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
she ^pp3a+pp3+++=she
would ^md+prd+++=would
have ^vb+hv+aux++=have
her ^pp3o+pp3+++=her
tell ^vb++++=tell
her ^pp3o+pp3+++=her
brother ^npt++++=brother
all ^abn++++=all
their ^pp$+pp3+++=their
conversation ^nn+nom+++=conversation
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
the ^ati++++=the
opportunity ^nn+nom+++=opportunity.
. ^zz++++=EXTRAWORD
" ^zz++++="Dear
dear ^jj+atrb+++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave,
, ^zz++++=EXTRAWORD
" ^zz++++="this
this ^dt+pdem+++=EXTRAWORD
seems ^vbz+seem+++=seems
so ^rb+emph+++=so
impertinent ^jj++++=impertinent
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
tell ^vb++++=tell
how ^wrb+who+++=how
to ^to++++=to
comply ^vbi++++=comply
with ^in++++=with
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
a ^at++++=a
mortifying ^jj+atrb++xvbg+=mortifying
story ^nn++++=story
will ^md+prd+++=will
our ^pp$+pp1+++=our
conversation ^nn+nom+++=conversation
be ^vb+be+vrb++=be
to ^in++++=to
a ^at++++=a
young ^jj+atrb+++=young
gentleman ^nn+nom+++=gentleman.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave,
, ^zz++++=EXTRAWORD
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
much ^ap++++=much
better ^jjr++++=better,
, ^zz++++=EXTRAWORD
me ^pp1a+pp1+++=methinks,
think ^thin++++=EXTRAWORD
to ^to++++=to
do ^vbi++++=do
it ^pp3+it+++=it
yourself ^ppl+pp2+++=yourself."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal;
; ^zz++++=EXTRAWORD
" ^zz++++="though
though ^cs+sub+++=EXTRAWORD
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
impertinent ^jj++++=impertinent
to ^in++++=to
you ^pp2+pp2+++=you
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
see ^vb+vprv+++=see
more ^ql++++=more
reasons ^nns++++=reasons
for ^in++++=for
it ^pp3+it+++=it
hereafter ^nn+nom+++=hereafter."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
to ^to++++=to
satisfy ^vbi++++=satisfy
her ^pp$+pp3+++=her
importunity ^nn+nom+++=importunity,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
fetch ^vb++++=fetch
a ^at++++=a
pen ^nn++++=pen
and ^cc++++=and
ink ^nn++++=ink,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
it ^pp3+it+++=it
alone ^rb++++=alone
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
do ^vb+do+vrb++=do
it ^pp3+it+++=it
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
gone ^vpsv++agls+xvbnx+=gone;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
must ^md+nec+++=must
be ^vb+be+vrb++=be
sure ^jj+pred+++=sure
to ^to+jcmp+++=to
do ^vbi++++=do
it ^pp3+it+++=it";
" ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
which ^wdt+who+whq++=which
was ^vbd+bedz+aux++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
last ^jj+atrb+++=last
things ^nns++++=things
she ^pp3a+pp3+++=she
enjoined ^vbd+vsua++xvbnx+=enjoined
her ^pp$+pp3+++=her
at ^rb++++=at
parting ^nvbg+++xvbg+=parting,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
she ^pp3a+pp3+++=she
promised ^vbd+vpub++xvbnx+=promised
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal
asked ^vbd+vsua++xvbn+=asked
for ^in+ppvb+++=for
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave's
's ^$++++=EXTRAWORD
daughter ^nn+nom+++=daughter.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
said ^vbd+vpub+tht0+xvbnx+=said
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
at ^in++++=at
home ^nr++++=home.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
a ^at++++=a
mind ^nn++++=mind
to ^to++++=to
see ^vbi+vprv+++=see
her ^pp$+pp3+++=her,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave,
, ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
send ^vb++++=send
for ^in++++=for
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do,"
do ^vb+do+vrb++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal;
; ^zz++++=EXTRAWORD
on ^in++++=on
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
left ^vbd+++xvbnx+=left
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vpsv++agls+xvbn+=went
to ^in++++=to
a ^at++++=a
neighbor ^nn++++=neighbor's
's ^$++++=EXTRAWORD
to ^to++++=to
see ^vbi+vprv+++=see
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
the ^ati++++=the
time ^nn++++=time
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave
was ^vbd+bedz+aux++=was
returning ^vbg+++xvbgx+=returning,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal
was ^vbd+bedz+aux++=was
got ^vpsv++agls+xvbnx+=got
without ^in++++=without
the ^ati++++=the
door ^nn++++=door
in ^in++++=in
the ^ati++++=the
street ^nn++++=street,
, ^zz++++=EXTRAWORD
in ^in+cmpx+++=in
the ^in"++++=the
face ^in"++++=face
of ^in"++++=of
the ^ati++++=the
beast ^nn++++=beast-market,
- ^zz++++=EXTRAWORD
market ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
on ^in++++=on
a ^at++++=a
Saturday ^nr++++=Saturday
( ^zz++++=(which
which ^whp+who+++=EXTRAWORD
is ^vbz+bez+vrb++=is
market ^nn++++=market-day),
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stood ^vbd+++xvbn+=stood
ready ^jj++++=ready
to ^to+jcmp+++=to
part ^vb++++=part
as ^in++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave
came ^vbd+++xvbn+=came
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
asked ^vbd+vsua+tht0+xvbnx+=asked
her ^pp$+pp3+++=her
why ^wrb+who+++=why
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
in ^in++++=in
such ^abl++++=such
haste ^nn++++=haste.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
said ^vbd+vpub+tht0+xvbnx+=said
she ^pp3a+pp3+++=she
must ^md+nec+++=must
be ^vb+be+aux++=be
going ^vbg+++xvbgx+=going,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
perhaps ^rb++++=perhaps
she ^pp3a+pp3+++=she
might ^md+pos+++=might
not ^xnot++not++=not
go ^vb++++=go
her ^pp$+pp3+++=her
journey ^nn++++=journey
till ^in++++=till
Monday ^nr++++=Monday;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
told ^vbd+vpub++xvbn+=told
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave
she ^pp3a+pp3+++=she
hoped ^vbd+vprv+tht0+xvbnx+=hoped
she ^pp3a+pp3+++=she
should ^md+nec+++=should
see ^vb+vprv+tht0++=see
her ^pp$+pp3+++=her
again ^rb+tm+++=again
at ^rb++++=at
her ^pp3o+pp3+++=her
cousin ^nn++++=cousin
Watson ^np++++=Watson's
's ^$++++=EXTRAWORD
before ^cs+sub+++=before
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
whither ^jjr++++=whither
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
said ^vbd+vpub+tht0+xvbnx+=said
she ^pp3a+pp3+++=she
would ^md+prd+++=would
take ^vb++++=take
her ^pp$+pp3+++=her
leave ^vb++++=leave
of ^in++++=of
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
walked ^vpsv++agls+xvbn+=walked
from ^in++++=from
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave,
, ^zz++++=EXTRAWORD
in ^in++++=in
her ^pp$+pp3+++=her
view ^nn++++=view,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
a ^at++++=a
turning ^nn++++=turning
interrupted ^vbd+++xvbn+=interrupted
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
three ^cd++++=three-quarters
- ^zz++++=EXTRAWORD
quarters ^nns+nom+++=EXTRAWORD
after ^in++++=after
one ^pn++++=one
in ^in++++=in
the ^ati++++=the
afternoon ^nn++++=afternoon.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal
died ^vbd+++xvbn+=died
the ^ati++++=the
seventh ^nn++++=seventh
of ^in++++=of
September ^nr+nom+++=September,
, ^zz++++=EXTRAWORD
at ^rb++++=at
twelve ^cd++++=twelve
o'clock ^rb++++=o'clock
at ^in++++=at
noon ^nn++++=noon,
, ^zz++++=EXTRAWORD
of ^in++++=of
her ^pp$+pp3+++=her
fits ^vbz++++=fits,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
not ^xnot++not++=not
above ^jjb++++=above
four ^cd++++=four
hours ^nns++++=hours'
' ^zz++++=EXTRAWORD
senses ^nns++++=senses
before ^in++++=before
her ^pp$+pp3+++=her
death ^nn++++=death,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
time ^nn++++=time
she ^pp3a+pp3+++=she
received ^vbd+++xvbnx+=received
the ^ati++++=the
sacrament ^nn+nom+++=sacrament.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
day ^nn++++=day
after ^in++++=after
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal's
's ^$++++=EXTRAWORD
appearance ^nn+nom+++=appearance,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
Sunday ^nr++++=Sunday,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave
was ^vbd+bedz+vrb++=was
mightily ^jj++++=mightily
indisposed ^jj+++xvbn+=indisposed
with ^in++++=with
a ^at++++=a
cold ^nn++++=cold
and ^cc++++=and
sore ^jj+atrb+++=sore
throat ^nn++++=throat,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
go ^vb++++=go
out ^rp+pl+++=out
that ^dt+dem+++=that
day ^nn++++=day;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
on ^in++++=on
Monday ^nr++++=Monday
morning ^nn++++=morning
she ^pp3a+pp3+++=she
sends ^vbz++++=sends
a ^at++++=a
person ^nn++++=person
to ^in++++=to
Captain ^npt++++=Captain
Watson ^np++++=Watson's
's ^$++++=EXTRAWORD
to ^to++++=to
know ^vbi+vprv+++=know
if ^cs+cnd+++=if
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
wondered ^vbd+vprv++xvbnx+=wondered
at ^rb++++=at
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave's
's ^$++++=EXTRAWORD
inquiry ^nn++++=inquiry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sent ^vwbn+++xvbn+=sent
her ^pp$+pp3+++=her
word ^nn++++=word
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
was ^vbd+bedz+aux++=was
expected ^vpsv++agls+xvbnx+=expected.
. ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
answer ^nn++++=answer,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave
told ^vbd+vpub++xvbn+=told
the ^ati++++=the
maid ^nn++++=maid
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
certainly ^rb++splt++=certainly
mistook ^vprf+++xvbnx+=mistook
the ^ati++++=the
name ^nn++++=name
or ^cc++++=or
made ^vbd+++xvbn+=made
some ^dti++++=some
blunder ^nn++++=blunder.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
ill ^jj+pred+++=ill,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
put ^vbd+++xvbnx+=put
on ^rb+phrv+++=on
her ^pp$+pp3+++=her
hood ^nn++++=hood
and ^cc++++=and
went ^vbd+++xvbn+=went
herself ^ppl+pp3+++=herself
to ^in++++=to
Captain ^npt++++=Captain
Watson ^np++++=Watson's,
's, ^nn+++??+=EXTRAWORD
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
knew ^vbd+vprv++xvbnx+=knew
none ^rb++++=none
of ^in++++=of
the ^ati++++=the
family ^nn++++=family,
, ^zz++++=EXTRAWORD
to ^to++++=to
see ^vbi+vprv+++=see
if ^cs+cnd+++=if
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there
or ^cc++++=or
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
said ^vbd+vpub+tht0+xvbnx+=said
they ^pp3a+pp3+++=they
wondered ^vbd+vprv++xvbnx+=wondered
at ^rb++++=at
her ^pp$+pp3+++=her
asking ^vbg+vsua++xvbg+=asking,
, ^zz++++=EXTRAWORD
for ^in++++=for
that ^dt+dem+++=that
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
in ^in++++=in
town ^nn++++=town;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
sure ^jj+pred+++=sure,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Says ^vbz+vpub+++=Says
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
sure ^jj+pred+++=sure
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
with ^in++++=with
me ^pp1o+pp1+++=me
on ^in++++=on
Saturday ^nr++++=Saturday
almost ^rb+hdg+++=almost
two ^cd++++=two
hours ^nns++++=hours."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
said ^vbd+vpub+tht0+xvbnx+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
impossible ^jj+pred+++=impossible,
, ^zz++++=EXTRAWORD
for ^in++++=for
they ^pp3a+pp3+++=they
must ^md+nec+++=must
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
her ^pp$+pp3+++=her
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had.
. ^zz++++=EXTRAWORD
In ^in++++=In
comes ^vbz++++=comes
Captain ^nn++++=Captain
Watson ^np++++=Watson,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
in ^in++++=in
dispute ^nn++++=dispute,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vprf+++xvbn+=said
that ^tht+vcmp+++=that
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal
was ^vbd+bedz+vrb++=was
certainly ^rb++++=certainly
dead ^jj+pred+++=dead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
escutcheons ^nns+++??+=escutcheons
were ^vbd+bed+aux++=were
making ^vbg+++xvbgx+=making.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
strangely ^rb++++=strangely
surprised ^jj+++xvbn+=surprised
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
sent ^vbd+++xvbnx+=sent
to ^in++++=to
the ^ati++++=the
person ^nn++++=person
immediately ^rb+tm+++=immediately
who ^whp+who+++=who
had ^vb+hv+vrb++=had
the ^ati++++=the
care ^nn++++=care
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
found ^vbd+vprv++xvbn+=found
it ^pp3+it+++=it
true ^jj++++=true.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
related ^vbd+++xvbnx+=related
the ^ati++++=the
whole ^jj+atrb+++=whole
story ^nn++++=story
to ^in++++=to
Captain ^npt++++=Captain
Watson ^np++++=Watson's
's ^$++++=EXTRAWORD
family ^nn++++=family;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
gown ^nn++++=gown
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
striped ^jj++++=striped;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal
told ^vbd+vpub+tht0+xvbn+=told
her ^pp$+pp3+++=her
that ^cs+sub+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
scoured ^jj+pred+++=scoured.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Watson ^np++++=Watson
cried ^vbd+++xvbn+=cried
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
her ^pp$+pp3+++=her
indeed ^qlp++++=indeed,
, ^zz++++=EXTRAWORD
for ^in++++=for
none ^rb++++=none
knew ^vbd+vprv++xvbn+=knew
but ^cc++++=but
Mrs ^npt++++=Mrs.
