Behind ^in+pl+++=BEHIND
had ^vbd+hvd+aux++=had
stepped ^vprf+++xvbnx+=stepped
through ^in++++=through
the ^ati++++=the
other ^ap++++=other
so ^ql++++=so
that ^cs+sub+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
around ^rp++++=around
his ^pp$+pp3+++=his
ankles ^nns++++=ankles.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
toes ^nns++++=toes
were ^vbd+bed+aux++=were
bleeding ^vbg+++xvbgx+=bleeding
And ^cc++++=And
Azeena ^np+++??+=Azeena
waited ^vbd+++xvbn+=waited!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
what ^wdt+who+whq++=what
could ^md+pos+++=could
he ^pp3a+pp3+++=he
do ^vb+do+vrb++=do
with ^in++++=with
his ^pp$+pp3+++=his
bare ^jj+atrb+++=bare
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
without ^in++++=without
his ^pp$+pp3+++=his
rifle ^nn++++=rifle?
? ^zz++++=EXTRAWORD
The ^ati++++=The
dagger ^nn++++=dagger?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
throw ^vb++++=throw
it ^pp3+it+++=it
yes ^uh++++=yes!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
what ^wdt+who+++=what
then ^rn+tm+++=then?
? ^zz++++=EXTRAWORD
One ^cd1++++=One
does ^vbz+doz+aux++=does
not ^xnot++not++=not
kill ^vb++++=kill
a ^at++++=a
mountain ^nn++++=mountain
bear ^vb+vprv+++=bear
with ^in++++=with
a ^at++++=a
single ^jj+atrb+++=single
thrust ^nn+++xvbn+=thrust
of ^in++++=of
steel ^nn++++=steel.
. ^zz++++=EXTRAWORD
So ^ql++++=So
he ^pp3a+pp3+++=he
kept ^vbd+++xvbnx+=kept
whizzing ^jj+++xvbg+=whizzing
around ^rp++++=around
the ^ati++++=the
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
thoughts ^nns++++=thoughts
whizzed ^vbd+++xvbn+=whizzed
along ^in+strn+++=along,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
fears ^nns++++=fears,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hopes ^nns++++=hopes
and ^cc++++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
quite ^rb++++=quite
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bear ^nn++++=bear
changed ^vbd+++xvbn+=changed
her ^pp$+pp3+++=her
tactics ^nns++++=tactics.
. ^zz++++=EXTRAWORD
" ^zz++++="Airrrh
airrrh ^nn+++??+=EXTRAWORD
whoof ^nn+++??+=whoof
airrh ^nn+++??+=airrh!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
with ^in++++=with
low ^jj++++=low,
, ^zz++++=EXTRAWORD
rumbling ^vbg+nom++xvbg+=rumbling
dignity ^nn+nom+++=dignity.
. ^zz++++=EXTRAWORD
" ^zz++++="Wheet-wheet!"
wheet ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
wheet ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
came ^vbd+++xvbn+=came
the ^ati++++=the
echo ^nn++++=echo
from ^in++++=from
the ^ati++++=the
branches ^nns++++=branches
of ^in++++=of
the ^ati++++=the
tree ^nn++++=tree
where ^wrb+who+++=where
the ^ati++++=the
cursed ^jj+atrb++xvbn+=cursed,
, ^zz++++=EXTRAWORD
feathery ^jj+atrb+++=feathery
thing ^nn++++=thing
was ^vbd+bedz+aux++=was
roosting ^vbg+++xvbgx+=roosting
in ^in++++=in
safety ^nn++++=safety.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Bibi ^np+++??+=Bibi
Bear ^vb+vprv+++=Bear
rose ^nn+++xvbn+=rose
on ^rp++++=on
her ^pp3o+pp3+++=her
hind ^jjb+atrb+++=hind
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
fir ^nn++++=fir
needles ^nps++++=needles
and ^cc++++=and
moss ^np++++=moss
sticking ^vwbg+++xvbg+=sticking
to ^in++++=to
her ^pp$+pp3+++=her
pelt ^nn++++=pelt,
, ^zz++++=EXTRAWORD
belly ^nn++++=belly
sagging ^jj++++=sagging
loosely ^rb+cnj+++=loosely,
, ^zz++++=EXTRAWORD
perspiration ^nn+nom+++=perspiration
rising ^vwbg+++xvbg+=rising
from ^in++++=from
her ^pp$+pp3+++=her
nostrils ^nns++++=nostrils
in ^in++++=in
a ^at++++=a
gray ^np++++=gray
flag ^nn++++=flag
of ^in++++=of
steam ^nn++++=steam.
. ^zz++++=EXTRAWORD
Straight ^jj++++=Straight
toward ^in++++=toward
the ^ati++++=the
tree ^nn++++=tree
she ^pp3a+pp3+++=she
walked ^vbd+++xvbnx+=walked,
, ^zz++++=EXTRAWORD
forepaws ^nns+++??+=forepaws
wide ^jj++++=wide
extended ^jj+++xvbn+=extended
as ^cs+sub+++=as
if ^cs+cnd+++=if
to ^to++++=to
embrace ^vbi++++=embrace
the ^ati++++=the
fir ^nn++++=fir
and ^cc++++=and
the ^ati++++=the
miserable ^nn++++=miserable
being ^vwbg+beg++xvbg+=being
who ^whp+who+++=who
was ^vbd+bedz+aux++=was
clinging ^vbg+++xvbgx+=clinging
to ^in++++=to
it ^pp3+it+++=it
for ^in++++=for
dear ^uh++++=dear
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
like ^in++++=like
a ^at++++=a
slobbering ^nn++++=slobbering
grin ^nn++++=grin
curled ^vbd+++xvbn+=curled
the ^ati++++=the
brute ^jjb++++=brute's
's ^vbz+bez+vrb++0=EXTRAWORD
black ^jj+atrb+++=black,
, ^zz++++=EXTRAWORD
leathery ^jj+atrb+++=leathery
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mortazu ^np+++??+=Mortazu
Khan ^npt++++=Khan
watched ^vbd+++xvbn+=watched.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
skin ^nn++++=skin
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
shrink ^vbi++++=shrink.
. ^zz++++=EXTRAWORD
Blue ^jj+atrb+++=Blue
wheels ^nns++++=wheels
whirled ^vbd+++xvbn+=whirled
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
A ^at++++=A
hammer ^nn++++=hammer
beat ^vbd+++xvbn+=beat
at ^rb++++=at
the ^ati++++=the
base ^nn++++=base
of ^in++++=of
his ^pp$+pp3+++=his
skull ^nn++++=skull.
. ^zz++++=EXTRAWORD
Ahi ^np+++??+=Ahi!
! ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
Azeena ^np+++??+=Azeena
who ^whp+rel+subj++=who
would ^md+prd+++=would
not ^xnot++not++=not
live ^vb++++=live
out ^rp+pl+++=out
the ^ati++++=the
day ^nn++++=day
unless.. ^nn+++??+=unless....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Allah!"
allah ^np++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
I ^pp1a+pp1+++=I
who ^whp+who+++=who
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
a ^at++++=a
widower ^nn++++=widower
to ^to++++=to-night,
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Azeena ^np+++??+=Azeena
who ^whp+rel+subj++=who
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
a ^at++++=a
widow ^nn++++=widow!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
his ^pp$+pp3+++=his
knife ^nn++++=knife
flashed ^vbd+++xvbn+=flashed
free ^jj++++=free
while ^cs+sub+++=while
the ^ati++++=the
bear ^nn++++=bear
came ^vbd+++xvbn+=came
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
slow ^jj++++=slow,
, ^zz++++=EXTRAWORD
ponderous ^jj++++=ponderous,
, ^zz++++=EXTRAWORD
thinking ^nvbg+++xvbg+=thinking
in ^in++++=in
her ^pp$+pp3+++=her
ugly ^jj+atrb+++=ugly,
, ^zz++++=EXTRAWORD
twisted ^jj+atrb++xvbn+=twisted
brain ^nn++++=brain
that ^tht+rel+++=that
all ^abn++++=all
would ^md+prd+++=would
be ^vb+be+vrb++=be
over ^in++++=over
in ^in++++=in
two ^cd++++=two
crimson ^nn+++??+=crimson
minutes ^nns++++=minutes
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
could ^md+pos+++=could
only ^rb+down+++=only
tear ^nn++++=tear
the ^ati++++=the
man ^nn++++=man
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
protecting ^jj+atrb++xvbg+=protecting
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
Mortazu ^np+++??+=Mortazu
Khan ^npt++++=Khan
knew ^vbd+vprv+tht0+xvbn+=knew
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
" ^zz++++="Assassin!"
assassin ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
" ^zz++++="Base-born
base ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
born ^vbd+++xvbn+=EXTRAWORD
and ^cc++++=and
lean ^jj+atrb+++=lean
bastard ^nn++++=bastard!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Waughree!"
waughree ^nn+nom+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
bear ^nn++++=bear.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
came ^vbd+++xvbnx+=came
on ^in++++=on
without ^in++++=without
haste ^nn++++=haste,
, ^zz++++=EXTRAWORD
leaned ^jj+atrb++xvbn+=leaned
smack ^nn++++=smack
against ^in++++=against
the ^ati++++=the
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
reach ^vbi++++=reach
around ^in++++=around
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
right ^jj++++=right
and ^cc++++=and
left ^nn+++xvbn+=left,
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
murderous ^jj+atrb+++=murderous
claws ^nns++++=claws.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
tree ^nn++++=tree
was ^vbd+bedz+vrb++=was
too ^ql++++=too
stout ^np++++=stout,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
the ^ati++++=the
moment ^nn++++=moment
the ^ati++++=the
hillman ^np++++=hillman
was ^vbd+bedz+vrb++=was
safe ^jj+pred+++=safe.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
smiled ^vbd+++xvbnx+=smiled.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
frowned ^vbd+++xvbnx+=frowned.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
sun ^nn++++=sun
was ^vbd+bedz+aux++=was
rising ^vbg+++xvbgx+=rising
higher ^jjr++++=higher,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^md"++pmd"++=had
to ^md+nec+++=to
reach ^vb++++=reach
Ghuzni ^np+++??+=Ghuzni
the ^ati++++=the
doctor ^nn++++=doctor
and ^cc++++=and
back ^rp++++=back
yonder ^jjb++++=yonder
Azeena ^np+++??+=Azeena
was ^vbd+bedz+vrb++=was
dying. ^nn+++??+=dying...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Unclean
unclean ^jj++++=EXTRAWORD
spawn ^vb++++=spawn
of ^in++++=of
filth ^nn++++=filth!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
" ^zz++++="Large
large ^jj+atrb+++=EXTRAWORD
and ^cc+phrs+++=and
stinking ^jj+atrb++xvbg+=stinking
devil ^nn++++=devil!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
quite ^rb++++=quite
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
watching ^vbg+++xvbg+=watching
his ^pp$+pp3+++=his
chance ^nn++++=chance,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
flashed ^vbd+++xvbnx+=flashed
his ^pp$+pp3+++=his
dagger ^nn++++=dagger
to ^in++++=to
the ^ati++++=the
left ^nn+++xvbn+=left.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
brought ^vbd+++xvbnx+=brought
down ^rb+phrv+++=down
the ^ati++++=the
point ^nn++++=point
with ^in++++=with
speed ^nn++++=speed
and ^cc++++=and
ferocity ^nn+nom+++=ferocity,
, ^zz++++=EXTRAWORD
straight ^jj++++=straight
into ^in++++=into
the ^ati++++=the
brute ^jjb++++=brute's
's ^vbz+bez+vrb++0=EXTRAWORD
right ^jj+atrb+++=right
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
warm ^jj++++=warm
and ^cc+phrs+++=and
sticky ^jj++++=sticky
squirted ^jj+++xvbn+=squirted
up ^rp++++=up
his ^pp$+pp3+++=his
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bear ^nn++++=bear,
, ^zz++++=EXTRAWORD
crazed ^vwbn+++xvbn+=crazed
with ^in++++=with
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
jumped ^j+++xvbn+=jumped
high ^jj++++=high
in ^in++++=in
the ^ati++++=the
air ^nn++++=air
like ^in++++=like
a ^at++++=a
rubber ^nn++++=rubber
ball ^nn++++=ball,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
down ^in++++=down
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
roaring ^nvbg+++xvbg+=roaring,
, ^zz++++=EXTRAWORD
squealing ^nn+nom+++=squealing,
, ^zz++++=EXTRAWORD
bellowing ^jj+++xvbg+=bellowing,
, ^zz++++=EXTRAWORD
slid ^j+++xvbn+=slid
lumberingly ^jj++++=lumberingly
to ^in++++=to
the ^ati++++=the
left ^nn+++xvbn+=left,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
again ^rb+tm+++=again
Mortazu ^np+++??+=Mortazu
Khan ^npt++++=Khan
resumed ^vbd+++xvbn+=resumed
his ^pp$+pp3+++=his
dance ^nn++++=dance.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
this ^dt+dem+++=this
time ^nn++++=time
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
another ^dt++++=another
dance ^nn++++=dance.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
time ^nn++++=time
the ^ati++++=the
bear ^vb+vprv+++=bear
had ^vb+hv+vrb++=had
no ^at++++=no
sharp ^jj+atrb+++=sharp
angles ^nns++++=angles
to ^to++++=to
make ^vbi++++=make.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
man ^nn++++=man
and ^cc++++=and
beast ^nn++++=beast
were ^vbd+bed+vrb++=were
close ^jj+pred+++=close
against ^in++++=against
the ^ati++++=the
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
circling ^vbg+nom++xvbg+=circling,
, ^zz++++=EXTRAWORD
circling ^vbg+nom++xvbg+=circling
The ^ati++++=The
sun ^nn++++=sun
rose ^vbd+++xvbn+=rose
and ^cc+phrs+++=and
dipped ^vbd+++xvbn+=dipped.
. ^zz++++=EXTRAWORD
Far ^rb+pl+++=Far
on ^in++++=on
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
horizon ^nn++++=horizon
the ^ati++++=the
peaks ^nns++++=peaks
of ^in++++=of
the ^ati++++=the
Gul ^np+++??+=Gul
Koh ^np+++??+=Koh
flushed ^vbd+++xvbn+=flushed
gold ^nn++++=gold
and ^cc++++=and
lavender ^nn+nom+++=lavender.
. ^zz++++=EXTRAWORD
" ^zz++++="Waughrrr!"
waughrrr ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
snorted ^vbd+++xvbn+=snorted
the ^ati++++=the
bear ^nn++++=bear,
, ^zz++++=EXTRAWORD
stamping ^nvbg+++xvbg+=stamping
her ^pp3o+pp3+++=her
clumsy ^jj+atrb+++=clumsy
paws ^nns+++??+=paws.
. ^zz++++=EXTRAWORD
" ^zz++++="Wheet-wheet!"
wheet ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
wheet ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
chirped ^jj+++xvbn+=chirped
the ^ati++++=the
echo ^nn++++=echo
from ^in++++=from
the ^ati++++=the
uppermost ^jj+atrb+++=uppermost
branches ^nns++++=branches
of ^in++++=of
the ^ati++++=the
fir ^nn++++=fir,
, ^zz++++=EXTRAWORD
silly ^jj++++=silly,
, ^zz++++=EXTRAWORD
mocking ^jj+++xvbg+=mocking
and ^cc+phrs+++=and
safe ^jj++++=safe!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
back ^jjb++++=back
beyond ^in++++=beyond
the ^ati++++=the
bracken ^nn++++=bracken-clad
- ^zz++++=EXTRAWORD
clad ^jj+atrb+++=EXTRAWORD
slope ^nn++++=slope,
, ^zz++++=EXTRAWORD
Azeena ^np+++??+=Azeena
was ^vbd+bedz+aux++=was
dying ^vbg+++xvbgx+=dying
hard ^jj++++=hard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
son ^nn++++=son
was ^vbd+bedz+aux++=was
dying ^vbg+++xvbgx+=dying
dying ^vbg+++xvbg+=dying
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
born ^vpsv++agls+xvbnx+=born
because ^cs+cos+++=because
Bibi ^np+++??+=Bibi
Bear ^vb+vprv+++=Bear
had ^vbd+hvd+aux++=had
broken ^vprf+++xvbnx+=broken
the ^ati++++=the
truce ^nn+++??+=truce
of ^in++++=of
the ^ati++++=the
fat ^nn++++=fat
season ^nn++++=season.
. ^zz++++=EXTRAWORD
Mortazu ^np+++??+=Mortazu
Khan ^npt++++=Khan
trembled ^vbd+++xvbn+=trembled
with ^in++++=with
rage ^nn++++=rage
and ^cc++++=and
fear ^nn++++=fear.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
away ^rp+pl+++=away!
! ^zz++++=EXTRAWORD
circling ^vbg+nom++xvbg+=circling
the ^ati++++=the
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
escaping ^vbg+++xvbg+=escaping
the ^ati++++=the
murderous ^jj+atrb+++=murderous
claws ^nns++++=claws!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
jump ^vb++++=jump.
. ^zz++++=EXTRAWORD
No ^at++++=No
longer ^rbr++++=longer
did ^vbd+dod+vrb++=did
he ^pp3a+pp3+++=he
dance ^nn++++=dance.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
stream ^vbi++++=stream,
, ^zz++++=EXTRAWORD
to ^in++++=to
flow ^nn++++=flow,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
liquid ^jj+atrb+++=liquid
wave ^nn++++=wave,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
body ^nn++++=body
scrunched ^vbd+++xvbn+=scrunched
into ^in++++=into
a ^at++++=a
curve ^nn++++=curve
while ^cs+sub+++=while
his ^pp$+pp3+++=his
lungs ^nns++++=lungs
pumped ^vbd+++xvbn+=pumped
the ^ati++++=the
breath ^nn++++=breath
with ^in++++=with
staccato ^jj+atrb+++=staccato
thumps ^nns+++??+=thumps.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
his ^pp$+pp3+++=his
hand ^nn++++=hand
was ^vbd+bedz+vrb++=was
steady ^jj+pred+++=steady,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
crimson ^nn+++??+=crimson
toll ^nn++++=toll
again ^rb+tm+++=again
and ^cc+phrs+++=and
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
bear ^nn++++=bear
followed ^vbd+vprv++xvbn+=followed,
, ^zz++++=EXTRAWORD
roaring ^nvbg+++xvbg+=roaring
like ^in++++=like
forked ^jj+atrb+++=forked
mountain ^nn++++=mountain
thunder ^nn++++=thunder.
. ^zz++++=EXTRAWORD
The ^ati++++=The
blood ^nn++++=blood
on ^rp++++=on
her ^pp3o+pp3+++=her
huge ^jj+atrb+++=huge
body ^nn++++=body
was ^vbd+bedz+aux++=was
caked ^vpsv++agls+xvbnx+=caked
with ^in++++=with
dirt ^nn++++=dirt
and ^cc++++=and
moss ^np++++=moss
until ^cs+sub+++=until
the ^ati++++=the
wounds ^nns++++=wounds
looked ^vbd+++xvbn+=looked
like ^in++++=like
gray ^np++++=gray
patches ^nns++++=patches
on ^in++++=on
a ^at++++=a
fur ^nn++++=fur
jacket ^nn++++=jacket.
. ^zz++++=EXTRAWORD
A ^at++++=A
shimmering ^jj+atrb++xvbg+=shimmering
thread ^nn++++=thread
of ^in++++=of
sun ^nn++++=sun-gold
- ^zz++++=EXTRAWORD
gold ^nn++++=EXTRAWORD
wove ^nn+++??+=wove
through ^in++++=through
the ^ati++++=the
branches ^nns++++=branches
and ^cc++++=and
dipped ^vbd+++xvbn+=dipped
low ^jj++++=low
to ^to++++=to
see ^vbi+vprv+++=see
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
happening ^vbg+++xvbgx+=happening.
. ^zz++++=EXTRAWORD
Far ^rb+pl+++=Far
in ^in++++=in
the ^ati++++=the
east ^np+pl+++=east
a ^at++++=a
crane ^nn++++=crane-pheasant
- ^zz++++=EXTRAWORD
pheasant ^nn+nom+++=EXTRAWORD
called ^vbd+++xvbn+=called
to ^in++++=to
its ^pp$+it+++=its
mate ^nn++++=mate.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wind ^nn++++=wind
soared ^vbd+++xvbn+=soared
lonely ^jj++++=lonely
and ^cc+phrs+++=and
chilly ^jj++++=chilly.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
out ^rp+pl+++=out
of ^in++++=of
breath ^nn++++=breath,
, ^zz++++=EXTRAWORD
man ^nn++++=man
and ^cc++++=and
beast ^nn++++=beast.
. ^zz++++=EXTRAWORD
Momentarily ^rb+tm+++=Momentarily
they ^pp3a+pp3+++=they
stopped ^vbd+++xvbnx+=stopped
in ^in++++=in
their ^pp$+pp3+++=their
mad ^jj+atrb+++=mad
circling ^nvbg+++xvbg+=circling,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bear ^nn++++=bear
leaning ^vwbg+++xvbg+=leaning
against ^in++++=against
one ^cd1++++=one
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
a ^at++++=a
deep ^jj+atrb+++=deep
sob ^nn++++=sob
gurgling ^nn+nom+++=gurgling
in ^in++++=in
her ^pp$+pp3+++=her
hairy ^jj+atrb+++=hairy
throat ^nn++++=throat,
, ^zz++++=EXTRAWORD
the ^ati++++=the
blood ^nn++++=blood
coming ^vwbg+++xvbg+=coming
through ^in++++=through
her ^pp$+pp3+++=her
wounds ^nns++++=wounds
like ^in++++=like
black ^jj++++=black-red
- ^zz++++=EXTRAWORD
red ^jj+atrb+++=EXTRAWORD
whips ^nns++++=whips,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
man ^nn++++=man
was ^vbd+bedz+aux++=was
huddled ^vpsv++agls+xvbnx+=huddled
against ^in++++=against
the ^ati++++=the
opposite ^jj+atrb+++=opposite
side ^nn++++=side
as ^ql++++=as
tight ^jj++++=tight
and ^cc+phrs+++=and
small ^jj++++=small
as ^ql++++=as
he ^pp3a+pp3+++=he
could ^md+pos+++=could.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
tired ^vpsv++agls+xvbnx+=tired
and ^cc++++=and
sleepy ^jj++++=sleepy.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
right ^jj+atrb+++=right
hand ^nn++++=hand
felt ^vbd+vprv++xvbn+=felt
paralyzed ^vbd+++xvbn+=paralyzed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
still ^rb++++=still
it ^pp3+it+++=it
gripped ^vbd+++xvbn+=gripped
the ^ati++++=the
dagger ^nn++++=dagger.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
the ^ati++++=the
end ^nn++++=end
was ^vbd+bedz+vrb++=was
near ^in+strn+++=near,
, ^zz++++=EXTRAWORD
knew ^vb+++xvbn+=knew
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
himself ^ppl+pp3+++=himself
must ^md+nec+++=must
hasten ^vb++++=hasten
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
must ^md+nec+++=must
face ^vb++++=face
Bibi ^np+++??+=Bibi
Bear ^vb+vprv+++=Bear
face ^nn++++=face
her ^pp$+pp3+++=her
in ^in++++=in
the ^ati++++=the
open ^jj++++=open
and ^cc++++=and
kill ^nn++++=kill
or ^cc++++=or
be ^vb+be+aux++=be
killed ^vpsv++agls+xvbnx+=killed.
. ^zz++++=EXTRAWORD
For ^in++++=For
back ^rp++++=back
yonder ^jjb++++=yonder
was ^vbd+bedz+vrb++=was
Azeena ^np+++??+=Azeena,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
minutes ^nns++++=minutes
were ^vbd+bed+aux++=were
slipping ^vbg+++xvbgx+=slipping
by ^in++++=by
like ^in++++=like
water ^nn++++=water.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
raked ^vprf+++xvbn+=raked
together ^nn+nom+++=together
the ^ati++++=the
dying ^jj+atrb++xvbg+=dying
embers ^nns++++=embers
of ^in++++=of
his ^pp$+pp3+++=his
strength ^nn++++=strength.
. ^zz++++=EXTRAWORD
" ^zz++++="Allah!"
allah ^np++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
mumbled ^vbd+++xvbnx+=mumbled.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
thou ^pp2+pp2+++=thou
give ^vb++++=give
me ^pp1o+pp1+++=me
help ^vb++++=help!"
