Hark ^np+++??+=Hark,
all ^abn++++=all
kingly ^jj+atrb+++=kingly
power ^nn++++=power
and ^cc++++=and
the ^ati++++=the
obedience ^nn+nom+++=obedience
of ^in++++=of
all ^abn++++=all
who ^whp+who+++=who
owe ^vb++++=owe
allegiance ^nn+nom+++=allegiance
to ^in++++=to
the ^ati++++=the
crown ^nn++++=crown!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
a ^at++++=a
time ^nn++++=time
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
perfect ^jj+pred+++=perfect
silence ^nn+nom+++=silence
in ^in++++=in
the ^ati++++=the
court ^nn++++=court,
, ^zz++++=EXTRAWORD
the ^ati++++=the
King ^npt++++=King
growing ^vwbg+++xvbg+=growing
red ^jj++++=red
with ^in++++=with
dismay ^nn++++=dismay
and ^cc++++=and
embarrassment ^nn+nom+++=embarrassment
and ^cc++++=and
the ^ati++++=the
courtiers ^nns+nom+++=courtiers
waiting ^vwbg+++xvbg+=waiting
curiously ^rb++++=curiously
his ^pp$+pp3+++=his
reply ^nn++++=reply.
. ^zz++++=EXTRAWORD
Lilimond ^np+++??+=Lilimond
still ^rb++++=still
remained ^vbd+++xvbn+=remained
kneeling ^vbg+nom++xvbg+=kneeling
before ^in++++=before
the ^ati++++=the
throne ^nn++++=throne,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
King ^npt++++=King
looked ^vbd+++xvbn+=looked
upon ^in++++=upon
him ^pp3o+pp3+++=him
he ^pp3a+pp3+++=he
realized ^vbd+vprv+tht0+xvbnx+=realized
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
impossible ^jj+pred+++=impossible
to ^to+jcmp+++=to
break ^vbi++++=break
his ^pp$+pp3+++=his
royal ^jj+atrb+++=royal
word ^nn++++=word.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
affair ^nn++++=affair
promised ^vbd+++xvbn+=promised
him ^pp3o+pp3+++=him
amusement ^nn+nom+++=amusement
after ^in++++=after
all ^abn++++=all,
, ^zz++++=EXTRAWORD
so ^ql++++=so
he ^pp3a+pp3+++=he
quickly ^rb++++=quickly
decided ^vbd+vprv++xvbn+=decided
in ^in++++=in
what ^wdt+who+++=what
manner ^nn++++=manner
to ^in++++=to
reply ^nn++++=reply.
. ^zz++++=EXTRAWORD
" ^zz++++="Rise,
rise ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
oh ^uh++++=oh
Prince ^np++++=Prince,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
cheerfully ^rb+cnj+++=cheerfully,
, ^zz++++=EXTRAWORD
" ^zz++++="your
your ^pp$+pp2+++=EXTRAWORD
request ^nn++++=request
is ^vbz+bez+aux++=is
granted ^vpsv++agls+xvbnx+=granted.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
what ^wdt+who+++=what
day ^nn++++=day
will ^md+prd+++=will
it ^pp3+it+++=it
please ^uh++++=please
you ^pp2+pp2+++=you
to ^in++++=to
reign ^nn++++=reign?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Lilimond ^np+++??+=Lilimond
arose ^vbd+++xvbn+=arose
to ^in++++=to
his ^pp$+pp3+++=his
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
" ^zz++++="Upon
upon ^in++++=EXTRAWORD
the ^ati++++=the
seventh ^od++++=seventh
day ^nn++++=day
from ^in++++=from
this ^dt+pdem+++=this,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
answered ^vbd+vpub++xvbnx+=answered.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
be ^vb+be+vrb++=be
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
returned ^vbd+++xvbn+=returned
the ^ati++++=the
King ^nn++++=King.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
to ^in++++=to
the ^ati++++=the
royal ^jj+atrb+++=royal
herald ^nn++++=herald
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added,
, ^zz++++=EXTRAWORD
" ^zz++++="Make
make ^vb++++=EXTRAWORD
proclamation ^nn+nom+++=proclamation
throughout ^in++++=throughout
the ^ati++++=the
kingdom ^nn+nom+++=kingdom
that ^tht+rel+++=that
on ^in++++=on
the ^ati++++=the
seventh ^od++++=seventh
day ^nn++++=day
from ^in++++=from
this ^dt+dem+++=this
Prince ^nn++++=Prince
Lilimond ^np+++??+=Lilimond
will ^md+prd+++=will
reign ^vb++++=reign
as ^ql++++=as
King ^npt++++=King
from ^in++++=from
sunrise ^nn++++=sunrise
till ^in++++=till
sunset ^nn++++=sunset.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
whoever ^whp+who+++=whoever
dares ^vbz++++=dares
to ^to++++=to
disobey ^vbi++++=disobey
his ^pp$+pp3+++=his
commands ^nns++++=commands
will ^md+prd+++=will
be ^vb+be+vrb++=be
guilty ^jj+pred+++=guilty
of ^in++++=of
treason ^nn++++=treason
and ^cc++++=and
shall ^md+prd+++=shall
be ^vb+be+aux++=be
punished ^vpsv++agls+xvbnx+=punished
with ^in++++=with
death ^nn++++=death!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
court ^nn++++=court
was ^vbd+bedz+aux++=was
then ^rn+tm+splt++=then
dismissed ^vpsv++agls+xvbnx+=dismissed,
, ^zz++++=EXTRAWORD
all ^abn++++=all
wondering ^jj+++xvbg+=wondering
at ^in++++=at
this ^dt+dem+++=this
marvellous ^jj+atrb+++=marvellous
decree ^nn++++=decree,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Prince ^npt++++=Prince
returned ^vbd+++xvbn+=returned
to ^in++++=to
his ^pp$+pp3+++=his
own ^ap++++=own
apartment ^nn+nom+++=apartment
where ^wrb+who+++=where
his ^pp$+pp3+++=his
tutor ^nn++++=tutor,
, ^zz++++=EXTRAWORD
Borland ^np+++??+=Borland,
, ^zz++++=EXTRAWORD
anxiously ^rb++++=anxiously
awaited ^jj+++xvbn+=awaited
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
this ^dt+dem+++=this
Borland ^np+++??+=Borland
was ^vbd+bedz+vrb++=was
a ^at++++=a
man ^nn++++=man
of ^in++++=of
good ^jj+atrb+++=good
heart ^nn++++=heart
and ^cc++++=and
much ^ap++++=much
intelligence ^nn+nom+++=intelligence,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
wholly ^rb++++=wholly
unused ^jj++++=unused
to ^in++++=to
the ^ati++++=the
ways ^nns++++=ways
of ^in++++=of
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
lately ^rb+tm+splt++=lately
noted ^vprf+++xvbnx+=noted,
, ^zz++++=EXTRAWORD
with ^in++++=with
much ^ap++++=much
grief ^nn++++=grief,
, ^zz++++=EXTRAWORD
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
beggars ^nns++++=beggars
who ^whp+rel+subj++=who
solicited ^vbd+++xvbn+=solicited
alms ^nns+++??+=alms
as ^ql++++=as
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
out ^rp+pl+++=out
with ^in++++=with
the ^ati++++=the
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
freely ^rb++++=freely
until ^cs+sub+++=until
his ^pp$+pp3+++=his
purse ^nn++++=purse
was ^vbd+bedz+vrb++=was
empty ^jj+pred+++=empty.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
talked ^vbd+++xvbnx+=talked
long ^rb++++=long
and ^cc+phrs+++=and
earnestly ^rb++++=earnestly
with ^in++++=with
the ^ati++++=the
Prince ^nn++++=Prince
concerning ^in++++=concerning
this ^dt+dem+++=this
shocking ^jj+atrb++xvbg+=shocking
condition ^nn+nom+++=condition
in ^in++++=in
the ^ati++++=the
kingdom ^nn+nom+++=kingdom,
, ^zz++++=EXTRAWORD
never ^rb++++=never
dreaming ^vbg+++xvbg+=dreaming
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
own ^ap++++=own
generosity ^nn+nom+++=generosity
had ^vbd+hvd+aux++=had
attracted ^vprf+++xvbnx+=attracted
all ^abn++++=all
the ^ati++++=the
beggars ^nns++++=beggars
of ^in++++=of
the ^ati++++=the
city ^nn++++=city
toward ^in++++=toward
him ^pp3o+pp3+++=him
and ^cc++++=and
encouraged ^vbd+++xvbn+=encouraged
them ^pp3o+pp3+++=them
to ^to++++=to
become ^vbi++++=become
more ^ql++++=more
bold ^np++++=bold
than ^in++++=than
usual ^nn++++=usual.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
was ^vbd+bedz+vrb++=was
the ^ati++++=the
young ^jj++++=young
and ^cc+phrs+++=and
tender ^jj++++=tender-hearted
- ^zz++++=EXTRAWORD
hearted ^jj+atrb+++=EXTRAWORD
Prince ^npt++++=Prince
brought ^vbd+++xvbn+=brought
to ^rb+phrv+++=to
a ^at++++=a
knowledge ^nn++++=knowledge
of ^in++++=of
all ^abn++++=all
these ^dt+dem+++=these
beggars ^nns++++=beggars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
their ^pp$+pp3+++=their
condition ^nn+nom+++=condition
filled ^vbd+++xvbn+=filled
him ^pp3o+pp3+++=him
with ^in++++=with
sadness ^nns+nom+++=sadness
and ^cc++++=and
induced ^jj+++xvbn+=induced
him ^pp3o+pp3+++=him
to ^to++++=to
speak ^vbi++++=speak
so ^ql++++=so
boldly ^rb++++=boldly
to ^in++++=to
the ^ati++++=the
King ^nn++++=King,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
father ^nn++++=father.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
returned ^vbd+++xvbnx+=returned
to ^in++++=to
Borland ^np+++??+=Borland
with ^in++++=with
the ^ati++++=the
tidings ^nns++++=tidings
that ^tht+rel+obj++=that
the ^ati++++=the
King ^npt++++=King
had ^vbd+hvd+aux++=had
granted ^vprf+++xvbnx+=granted
him ^pp3o+pp3+++=him
permission ^nn++++=permission
to ^to+ncmp+++=to
rule ^vb++++=rule
for ^in++++=for
a ^at++++=a
day ^nn++++=day
the ^ati++++=the
kingdom ^nn+nom+++=kingdom,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tutor ^nn++++=tutor
was ^vbd+bedz+vrb++=was
overjoyed ^jj+pred+++=overjoyed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
once ^rb"+tm+++=once
they ^pp3a+pp3+++=they
began ^vbd+++xvbnx+=began
to ^to++++=to
plan ^vbi++++=plan
ways ^nns++++=ways
for ^in++++=for
relieving ^xvbg+++xvbg+=relieving
all ^abn++++=all
the ^ati++++=the
poor ^nn++++=poor
of ^in++++=of
the ^ati++++=the
country ^nn++++=country
in ^cs+sub+++=in
that ^cs"++++=that
one ^cd1++++=one
day ^nn++++=day.
. ^zz++++=EXTRAWORD
For ^in++++=For
one ^cd1++++=one
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
dispatched ^vbd+++xvbnx+=dispatched
private ^jj+atrb+++=private
messengers ^nns+nom+++=messengers
to ^in++++=to
every ^at++++=every
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
kingdom ^nn+nom+++=kingdom,
, ^zz++++=EXTRAWORD
bidding ^nvbg+++xvbg+=bidding
them ^pp3o+pp3+++=them
tell ^vb++++=tell
each ^dt++++=each
beggar ^nn++++=beggar
they ^pp3a+pp3+++=they
met ^vbd+++xvbnx+=met
to ^to++++=to
come ^vbi++++=come
to ^in++++=to
the ^ati++++=the
Prince ^npt++++=Prince
on ^in++++=on
that ^dt+dem+++=that
one ^cd1++++=one
day ^nn++++=day
he ^pp3a+pp3+++=he
should ^md+nec+++=should
be ^vb+be+vrb++=be
King ^npt++++=King
and ^cc++++=and
he ^pp3a+pp3+++=he
would ^md+prd+++=would
relieve ^vb++++=relieve
their ^pp$+pp3+++=their
wants ^vbz++++=wants,
, ^zz++++=EXTRAWORD
giving ^vbg+++xvbg+=giving
a ^at++++=a
broad ^jj+atrb+++=broad
gold ^nn++++=gold
piece ^nn++++=piece
to ^in++++=to
every ^at++++=every
poor ^jj+atrb+++=poor
man ^nn++++=man
or ^cc++++=or
woman ^nn++++=woman
who ^whp+rel+subj++=who
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
Prince ^npt++++=Prince
had ^vbd+hvd+aux++=had
determined ^jj+++xvbnx+=determined
to ^to+jcmp+++=to
devote ^vbi++++=devote
to ^in++++=to
this ^dt+dem+++=this
purpose ^nn++++=purpose
the ^ati++++=the
gold ^nn++++=gold
that ^tht+rel+subj++=that
filled ^vprf+++xvbn+=filled
the ^ati++++=the
royal ^jj+atrb+++=royal
coffers ^nns+nom+++=coffers;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
for ^in"++++=for
the ^ati++++=the
great ^jj+atrb+++=great
ball ^nn++++=ball
and ^cc++++=and
tourney ^nn+++??+=tourney
the ^ati++++=the
King ^npt++++=King
had ^vbd+hvd+aux++=had
planned ^vprf+++xvbnx+=planned,
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
could ^md+pos+++=could
go ^vb++++=go
begging ^vbg+++xvbg+=begging
much ^ap++++=much
better ^jjr++++=better
than ^in++++=than
the ^ati++++=the
starving ^jj+atrb++xvbg+=starving
people ^nns++++=people.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
night ^nn++++=night
before ^cs+sub+++=before
the ^ati++++=the
day ^nn++++=day
the ^ati++++=the
Prince ^nn++++=Prince
was ^vbd+bedz+vrb++=was
to ^in++++=to
reign ^nn++++=reign
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
great ^jj+atrb+++=great
confusion ^nn++++=confusion
of ^in++++=of
noise ^nn++++=noise
within ^in++++=within
the ^ati++++=the
city ^nn++++=city,
, ^zz++++=EXTRAWORD
for ^in++++=for
beggars ^nns++++=beggars
from ^in++++=from
all ^abn++++=all
parts ^nns++++=parts
of ^in++++=of
the ^ati++++=the
kingdom ^nn+nom+++=kingdom
began ^vbd+++xvbn+=began
to ^to++++=to
arrive ^vbi++++=arrive,
, ^zz++++=EXTRAWORD
each ^dt++++=each
one ^cd1++++=one
filled ^vbd+++xvbn+=filled
with ^in++++=with
joy ^nn++++=joy
at ^rb++++=at
the ^ati++++=the
prospect ^nn++++=prospect
of ^in++++=of
receiving ^xvbg+++xvbg+=receiving
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
gold ^nn++++=gold.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
continual ^jj+atrb+++=continual
tramp ^nn++++=tramp,
, ^zz++++=EXTRAWORD
tramp ^nn++++=tramp
of ^in++++=of
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
great ^nn++++=great
barking ^vwbg+++xvbg+=barking
of ^in++++=of
dogs ^nns++++=dogs,
, ^zz++++=EXTRAWORD
as ^ql++++=as
all ^abn++++=all
dogs ^nns++++=dogs
in ^in++++=in
those ^dt+dem+++=those
days ^nns++++=days
were ^vbd+bed+aux++=were
trained ^vpsv++agls+xvbnx+=trained
to ^in++++=to
bark ^nn++++=bark
at ^in++++=at
every ^at++++=every
beggar ^nn++++=beggar
they ^pp3a+pp3+++=they
saw ^vbd+vprv++xvbnx+=saw,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
difficult ^jj+pred+++=difficult
to ^to+jcmp+++=to
restrain ^vbi++++=restrain
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
beggars ^nns++++=beggars
came ^vbd+++xvbn+=came
to ^in++++=to
town ^nn++++=town
singly ^rb++++=singly
and ^cc++++=and
by ^in++++=by
twos ^cds++++=twos
and ^cc++++=and
threes ^cds++++=threes,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
hundreds ^cds++++=hundreds
were ^vbd+bed+vrb++=were
there ^rn+pl+++=there
to ^to++++=to
await ^vbi++++=await
the ^ati++++=the
morrow ^nn++++=morrow.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
few ^ap++++=few
were ^vbd+bed+vrb++=were
very ^ql+amp+++=very
pitiful ^jj++++=pitiful
to ^to++++=to
behold ^vbi++++=behold,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
feeble ^jj++++=feeble
and ^cc+phrs+++=and
infirm ^jj++++=infirm
from ^in++++=from
age ^nn++++=age
and ^cc++++=and
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
dressed ^j+++xvbn+=dressed
in ^in++++=in
rags ^nns++++=rags
and ^cc++++=and
tags ^nns++++=tags,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
presenting ^vbg+++xvbg+=presenting
an ^at++++=an
appearance ^nn+nom+++=appearance
of ^in++++=of
great ^jj+atrb+++=great
distress ^nns+nom+++=distress.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
many ^ap++++=many
more ^ql++++=more
who ^whp+who+++=who
were ^vbd+bed+vrb++=were
seemingly ^rb++++=seemingly
hearty ^jj+pred+++=hearty
and ^cc+phrs+++=and
vigorous ^jj++++=vigorous;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
these ^dt+pdem+++=these
were ^vbd+bed+vrb++=were
the ^ati++++=the
lazy ^jj+atrb+++=lazy
ones ^pn++++=ones,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
being ^vbg+beg++xvbg+=being
willing ^jj++++=willing
to ^to+jcmp+++=to
work ^vb++++=work,
, ^zz++++=EXTRAWORD
begged ^j+++xvbn+=begged
for ^in++++=for
a ^at++++=a
livelihood ^nn+nom+++=livelihood.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
some ^dti++++=some
there ^ex+pex+++=there
were ^vbd+bed+aux++=were
dressed ^vpsv++agls+xvbnx+=dressed
in ^in++++=in
silken ^jj+atrb+++=silken
hose ^nn++++=hose
and ^cc++++=and
velvet ^nn++++=velvet
gowns ^nns++++=gowns,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
forgetting ^vbg+vprv++xvbg+=forgetting
all ^abn++++=all
shame ^vb++++=shame,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
eager ^jj++++=eager
for ^in++++=for
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
led ^vpsv++by+xvbnx+=led
by ^in++++=by
the ^ati++++=the
Prince ^np++++=Prince's
's ^$++++=EXTRAWORD
offer ^nn++++=offer
to ^to++++=to
represent ^vbi++++=represent
themselves ^ppls+pp3+++=themselves
as ^ql++++=as
beggars ^nns++++=beggars,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
might ^md+pos+++=might
add ^vb+vpub+++=add
to ^in++++=to
their ^pp$+pp3+++=their
wealth ^nn++++=wealth
without ^in++++=without
trouble ^nn++++=trouble
or ^cc++++=or
cost ^nn++++=cost
to ^in++++=to
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
sun ^nn++++=sun
arose ^vbd+++xvbn+=arose
upon ^in++++=upon
the ^ati++++=the
eventful ^jj+atrb+++=eventful
day ^nn++++=day,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
Prince ^npt++++=Prince
sitting ^vwbg+++xvbg+=sitting
upon ^in++++=upon
the ^ati++++=the
throne ^nn++++=throne
of ^in++++=of
his ^pp$+pp3+++=his
father ^nn++++=father,
, ^zz++++=EXTRAWORD
dressed ^j+++xvbn+=dressed
in ^in++++=in
a ^at++++=a
robe ^nn++++=robe
of ^in++++=of
ermine ^nn+++??+=ermine
and ^cc++++=and
purple ^nn++++=purple,
, ^zz++++=EXTRAWORD
a ^at++++=a
crown ^nn++++=crown
upon ^in++++=upon
his ^pp$+pp3+++=his
flowing ^vbg+++xvbg+=flowing
locks ^npl++++=locks
and ^cc++++=and
the ^ati++++=the
King ^np++++=King's
's ^$++++=EXTRAWORD
scepter ^jjr++++=scepter
clasped ^jj+++xvbn+=clasped
tightly ^rb++++=tightly
in ^in++++=in
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
somewhat ^rb+down+splt++=somewhat
frightened ^vpsv++agls+xvbnx+=frightened
at ^rb++++=at
the ^ati++++=the
clamor ^nn++++=clamor
of ^in++++=of
the ^ati++++=the
crowd ^nn++++=crowd
without ^in++++=without
the ^ati++++=the
palace ^nn++++=palace,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Borland ^np+++??+=Borland,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
stood ^vbd+++xvbn+=stood
behind ^rp+pl+++=behind
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
whispered ^j+++xvbn+=whispered,
, ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
more ^ql++++=more
you ^pp2+pp2+++=you
can ^md+pos+++=can
succor ^vb++++=succor
the ^ati++++=the
greater ^nn++++=greater
will ^md+prd+++=will
be ^vb+be+vrb++=be
your ^pp$+pp2+++=your
glory ^nn++++=glory,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
will ^md+prd+++=will
live ^vb++++=live
in ^in++++=in
the ^ati++++=the
hearts ^nns++++=hearts
of ^in++++=of
your ^pp$+pp2+++=your
people ^nns++++=people
as ^ql++++=as
the ^ati++++=the
kind ^nn++++=kind
Prince ^nn++++=Prince
who ^whp+rel+subj++=who
relieved ^vbd+++xvbn+=relieved
their ^pp$+pp3+++=their
sufferings ^nns++++=sufferings.
. ^zz++++=EXTRAWORD
Be ^vb+be+vrb++=Be
of ^in++++=of
good ^jj+atrb+++=good
cheer ^nn++++=cheer,
, ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
Majesty ^nn++++=Majesty,
, ^zz++++=EXTRAWORD
for ^in++++=for
all ^rb++++=all
is ^vbz+bez+vrb++=is
well ^rb++++=well."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
did ^vbd+dod+vrb++=did
the ^ati++++=the
Prince ^npt++++=Prince
command ^nn++++=command
the ^ati++++=the
Treasurer ^nn+nom+++=Treasurer
to ^to++++=to
bring ^vbi++++=bring
before ^in++++=before
him ^pp3o+pp3+++=him
the ^ati++++=the
royal ^jj+atrb+++=royal
coffers ^nns+nom+++=coffers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
stand ^vbi++++=stand
ready ^jj++++=ready
to ^in+jcmp+++=to
present ^jj++++=present
to ^in++++=to
each ^dt++++=each
beggar ^nn++++=beggar
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
gold ^nn++++=gold.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Treasurer ^nn+nom+++=Treasurer
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
unwilling ^jj++++=unwilling
to ^to+jcmp+++=to
do ^vbi++++=do
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
under ^in++++=under
penalty ^nn++++=penalty
of ^in++++=of
death ^nn++++=death
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
refused ^vbd+++xvbnx+=refused,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb++++=so
the ^ati++++=the
coffers ^nns+nom+++=coffers
were ^vbd+bed+aux++=were
brought ^vpsv++agls+xvbnx+=brought
forth ^np++++=forth.
. ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
Majesty ^nn++++=Majesty,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Treasurer ^nn+nom+++=Treasurer,
, ^zz++++=EXTRAWORD
" ^zz++++="if
if ^cs+cnd+++=EXTRAWORD
each ^ppls++++=each
of ^in++++=of
those ^dt+pdem+++=those
who ^whp+rel+obj++=who
clamor ^nn++++=clamor
without ^in++++=without
is ^vbz+bez+aux++=is
to ^to++++=to
receive ^vbi++++=receive
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
will ^md+prd+++=will
not ^xnot++not++=not
be ^vb+be+vrb++=be
enough ^qlp++++=enough
within ^in++++=within
these ^dt+dem+++=these
coffers ^nns+nom+++=coffers
to ^to++++=to
go ^vbi++++=go
around ^rp++++=around.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
will ^md+prd+++=will
receive ^vb++++=receive
and ^cc++++=and
others ^aps++++=others
be ^vb+be+aux++=be
denied ^vpsv++agls+xvbnx+=denied,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
no ^at++++=no
further ^jjb+atrb+++=further
store ^nn++++=store
of ^in++++=of
gold ^nn++++=gold
is ^vbz+bez+aux++=is
to ^to++++=to
be ^vbi+vbi+aux++=be
had ^vb+hv+vrb++=had."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
news ^nn++++=news
the ^ati++++=the
Prince ^nn++++=Prince
was ^vbd+bedz+vrb++=was
both ^abx++++=both
puzzled ^jj+++xvbn+=puzzled
and ^cc+phrs+++=and
alarmed ^jj+++xvbn+=alarmed.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
we ^pp1a+pp1+++=we
to ^to++++=to
do ^vbi++++=do?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
of ^in++++=of
the ^ati++++=the
tutor ^nn++++=tutor;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Borland ^np+++??+=Borland
was ^vbd+bedz+vrb++=was
