Parable ^nn++++=PARABLE
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
cooked ^vprf+++xvbnx+=cooked
with ^in++++=with
them ^pp3o+pp3+++=them
and ^cc++++=and
have ^vb+hv+aux++=have
eaten ^vprf+++xvbnx+=eaten
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
and ^cc++++=and
my ^pp$+pp1+++=my
children ^nns++++=children.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
goods ^nns++++=goods
are ^vb+ber+aux++=are
adulterated ^vpsv++agls+xvbnx+=adulterated.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
is ^vbz+bez+vrb++=is
the ^ati++++=the
proof ^nn++++=proof
of ^in++++=of
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
displaying ^vbg+++xvbg+=displaying
the ^ati++++=the
spoilt ^vbd+++xvbn+=spoilt
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
the ^ati++++=the
oleomargarin ^nn+++??+=oleomargarin
in ^in++++=in
the ^ati++++=the
cakes ^nns++++=cakes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sediment ^nn+nom+++=sediment
in ^in++++=in
the ^ati++++=the
milk ^nn++++=milk.
. ^zz++++=EXTRAWORD
" ^zz++++="
You ^pp2+pp2+++=You
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
throw ^vb++++=throw
all ^abn++++=all
this ^dt+dem+++=this
stuff ^nn++++=stuff
of ^in++++=of
yours ^pp$$++++=yours
into ^in++++=into
the ^ati++++=the
river ^nn++++=river
or ^cc++++=or
burn ^nn++++=burn
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
get ^vb++++=get
unadulterated ^jj+atrb++xvbn+=unadulterated
goods ^nns++++=goods
instead ^rb+cnj+++=instead."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
the ^ati++++=the
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
standing ^vbg+++xvbg+=standing
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
the ^ati++++=the
shops ^nns++++=shops,
, ^zz++++=EXTRAWORD
kept ^j+++xvbn+=kept
incessantly ^rb++++=incessantly
crying ^nvbg+++xvbg+=crying
her ^pp3o+pp3+++=her
one ^cd1++++=one
message ^nn+nom+++=message
to ^in++++=to
the ^ati++++=the
purchasers ^nns+nom+++=purchasers
who ^whp+rel+subj++=who
came ^vpsv++by+xvbn+=came
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
purchasers ^nns+nom+++=purchasers
began ^vbd+++xvbn+=began
to ^to++++=to
be ^vbi+vbi+aux++=be
troubled ^vpsv++agls+xvbnx+=troubled.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
perceiving ^vb++++=perceiving
that ^tht+vcmp+obj++=that
this ^dt+dem+++=this
audacious ^jj+atrb+++=audacious
housekeeper ^nn+nom+++=housekeeper
was ^vbd+bedz+vrb++=was
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
injure ^vbi++++=injure
their ^pp$+pp3+++=their
wares ^nns++++=wares,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tradesmen ^nns++++=tradesmen
said ^vbd+vpub++xvbn+=said
to ^to+vcmp+++=to
the ^ati++++=the
purchasers ^nns+nom+++=purchasers
: ^zz++++=:
" ^zz++++="
Look ^vb++++=Look
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
gentlemen ^nns++++=gentlemen,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
a ^at++++=a
lunatic ^jj++++=lunatic
this ^dt+dem+++=this
woman ^nn++++=woman
is ^vbz+bez+vrb++=is
! ^zz++++=!
She ^pp3a+pp3+++=She
wants ^vbz++++=wants
people ^nns++++=people
to ^to++++=to
perish ^vbi++++=perish
of ^in++++=of
starvation ^nn+nom+++=starvation.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
insists ^nns+nom+++=insists
on ^in++++=on
our ^pp$+pp1+++=our
burning ^nvbg+++xvbg+=burning
up ^rp++++=up
and ^cc++++=and
destroying ^vbg+++xvbg+=destroying
all ^abn++++=all
our ^pp$+pp1+++=our
provisions ^nns++++=provisions.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
would ^md+prd+++=would
you ^pp2+pp2+++=you
have ^md"++pmd"++=have
to ^md+nec+++=to
eat ^vb++++=eat
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
should ^md+nec+++=should
heed ^vb++++=heed
her ^pp3o+pp3+++=her
and ^cc++++=and
refuse ^vb++++=refuse
to ^to+vcmp+++=to
sell ^vbi++++=sell
you ^pp2+pp2+++=you
our ^pp$+pp1+++=our
goods ^nns++++=goods
? ^zz++++=?
Do ^vb+do+aux++=Do
not ^xnot++not++=not
listen ^vb++++=listen
to ^in++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is
a ^at++++=a
coarse ^jj+atrb+++=coarse
countrywoman ^nn+nom+++=countrywoman,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is
no ^at++++=no
judge ^nn++++=judge
of ^in++++=of
provisions ^nns++++=provisions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
nothing ^pn++++=nothing
but ^cc++++=but
envy ^nn++++=envy
which ^whp+rel+subj++=which
makes ^vbz++++=makes
her ^pp$+pp3+++=her
attack ^nn++++=attack
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
is ^vbz+bez+vrb++=is
poor ^jj+pred+++=poor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wants ^vbz++++=wants
every ^at++++=every
one ^cd1++++=one
else ^rb+cnj+++=else
to ^to++++=to
be ^vbi++vrb++=be
as ^ql++++=as
poor ^jj++++=poor
as ^ql++++=as
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
spoke ^vbd+++xvbn+=spoke
the ^ati++++=the
tradesmen ^nns++++=tradesmen
to ^in++++=to
the ^ati++++=the
gathering ^jj+atrb++xvbg+=gathering
throng ^nn++++=throng,
, ^zz++++=EXTRAWORD
purposely ^rb++++=purposely
blinking ^vbg+++xvbg+=blinking
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
the ^ati++++=the
woman ^nn++++=woman
wanted ^vbd+++xvbn+=wanted,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
that ^dt+dem+++=that
all ^abn++++=all
provisions ^nns++++=provisions
should ^md+nec+++=should
be ^vb+be+aux++=be
destroyed ^vpsv++agls+xvbnx+=destroyed,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
good ^jj+atrb+++=good
ones ^cd1s++++=ones
should ^md+nec+++=should
be ^vb+be+aux++=be
substituted ^vpsv++agls+xvbnx+=substituted
for ^in++++=for
bad ^nn++++=bad.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
thereupon ^rb++++=thereupon
the ^ati++++=the
throng ^nn++++=throng
fell ^vbd+++xvbn+=fell
upon ^in++++=upon
the ^ati++++=the
woman ^nn++++=woman
and ^cc++++=and
began ^vbd+++xvbn+=began
to ^to++++=to
beat ^vbi++++=beat
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
assured ^vbd+++xvbnx+=assured
them ^pp3o+pp3+++=them
all ^abn++++=all
that ^dt+dem+++=that
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
no ^at++++=no
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
destroy ^vbi++++=destroy
the ^ati++++=the
food ^nn++++=food-stuffs,
- ^zz++++=EXTRAWORD
stuffs ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
contrary ^nn+nom+++=contrary,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
all ^abn++++=all
her ^pp3o+pp3+++=her
life ^nn++++=life
been ^vprf+ben+aux+xvbn+=been
occupied ^vpsv++agls+xvbnx+=occupied
in ^in++++=in
feeding ^xvbg+++xvbg+=feeding
others ^aps++++=others
and ^cc++++=and
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
she ^pp3a+pp3+++=she
only ^ap+down+++=only
wanted ^jj+++xvbn+=wanted
that ^dt+dem+++=that
those ^dt+dem+++=those
men ^nns++++=men
that ^tht+rel+subj++=that
took ^vbd+++xvbn+=took
upon ^in++++=upon
themselves ^ppls+pp3+++=themselves
the ^ati++++=the
feeding ^jj+++xvbg+=feeding
of ^in++++=of
the ^ati++++=the
people ^nns++++=people
should ^md+nec+++=should
not ^xnot++not++=not
poison ^nn++++=poison
them ^pp3o+pp3+++=them
with ^in++++=with
deleterious ^jj+atrb+++=deleterious
adulterations ^nns+nom+++=adulterations
pretending ^vb+++xvbg+=pretending
to ^to+vcmp+++=to
be ^vbi++vrb++=be
edible ^jj+pred+++=edible.
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
she ^pp3a+pp3+++=she
pleaded ^vbd+vpub+tht0+xvbnx+=pleaded
her ^pp$+pp3+++=her
cause ^nn++++=cause
eloquently ^jj++++=eloquently,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
refused ^vbd+++xvbnx+=refused
to ^to+vcmp+++=to
hear ^vbi+vprv+tht0++=hear
her ^pp$+pp3+++=her
because ^cs+cos+++=because
their ^pp$+pp3+++=their
minds ^nns++++=minds
were ^vbd+bed+aux++=were
made ^vpsv++agls+xvbnx+=made
up ^rp++++=up
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
deprive ^vbi++++=deprive
people ^nns++++=people
of ^in++++=of
the ^ati++++=the
food ^nn++++=food
which ^whp+rel+obj++=which
they ^pp3a+pp3+++=they
needed ^vbd+++xvbnx+=needed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
same ^ap++++=same
thing ^nn++++=thing
has ^vbz+hvz+aux++=has
happened ^vprf+++xvbnx+=happened
to ^to+vcmp+++=to
me ^pp1o+pp1+++=me
in ^in++++=in
regard ^in"++++=regard
to ^in++++=to
the ^ati++++=the
art ^nn++++=art
and ^cc++++=and
science ^nn+nom+++=science
of ^in++++=of
our ^pp$+pp1+++=our
day ^nn++++=day.
. ^zz++++=EXTRAWORD
All ^abn++++=All
my ^pp$+pp1+++=my
life ^nn++++=life
long ^rb++++=long
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
fed ^vpsv++agls+xvbnx+=fed
on ^in++++=on
this ^dt+dem+++=this
food ^nn++++=food,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
my ^pp$+pp1+++=my
ability ^nn+nom+++=ability
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
attempted ^vprf+++xvbnx+=attempted
to ^to+vcmp+++=to
feed ^vbi++++=feed
others ^aps++++=others
on ^in++++=on
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
as ^ql++++=as
this ^dt+dem+++=this
for ^in++++=for
me ^pp1o+pp1+++=me
is ^vbz+bez+vrb++=is
a ^at++++=a
food ^nn++++=food
and ^cc++++=and
not ^xnot++not++=not
an ^at++++=an
object ^nn++++=object
of ^in++++=of
traffic ^nn++++=traffic
or ^cc++++=or
luxury ^nn++++=luxury,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
beyond ^in++++=beyond
a ^at++++=a
question ^nn+nom+++=question
when ^wrb+who+++=when
food ^nn++++=food
is ^vbz+bez+vrb++=is
food ^nn++++=food
and ^cc+cls+++=and
when ^wrb+who+++=when
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
a ^at++++=a
counterfeit ^nn+++??+=counterfeit.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
now ^rn+tm+++=now
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
trial ^nn++++=trial
of ^in++++=of
the ^ati++++=the
food ^nn++++=food
which ^whp+rel+obj++=which
in ^in++++=in
our ^pp$+pp1+++=our
time ^nn++++=time
began ^vbd+++xvbn+=began
to ^to++++=to
be ^vbi+vbi+aux++=be
offered ^vpsv++agls+xvbnx+=offered
for ^in++++=for
sale ^nn++++=sale
in ^in++++=in
the ^ati++++=the
intellectual ^jj+atrb+++=intellectual
bazaar ^nn++++=bazaar
under ^in++++=under
the ^ati++++=the
guise ^nn++++=guise
of ^in++++=of
art ^nn++++=art
and ^cc++++=and
science ^nn+nom+++=science,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
attempted ^vb+++xvbn+=attempted
to ^to+vcmp+++=to
feed ^vbi++++=feed
those ^dt+dem+++=those
dear ^nn++++=dear
to ^in++++=to
me ^pp1o+pp1+++=me
with ^in++++=with
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
discovered ^vbd+vprv++xvbnx+=discovered
that ^tht+vcmp+++=that
a ^at++++=a
large ^jj+atrb+++=large
part ^nn++++=part
of ^in++++=of
this ^dt+dem+++=this
food ^nn++++=food
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
genuine ^jj++++=genuine.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
declared ^vbd+vpub++xvbnx+=declared
that ^tht+vcmp+++=that
the ^ati++++=the
art ^nn++++=art
and ^cc++++=and
the ^ati++++=the
science ^nn+nom+++=science
on ^in++++=on
sale ^nn++++=sale
in ^in++++=in
the ^ati++++=the
intellectual ^jj+atrb+++=intellectual
bazaar ^nn++++=bazaar
are ^vb+ber+aux++=are
margarined ^vpsv++agls+xvbnx+=margarined
or ^cc++++=or
at ^rb++++=at
least ^rb"++++=least
contain ^vb++++=contain
great ^jj+atrb+++=great
mixtures ^nns++++=mixtures
of ^in++++=of
what ^wdt+who+++=what
is ^vbz+bez+vrb++=is
foreign ^jj+pred+++=foreign
to ^in++++=to
true ^jj+atrb+++=true
art ^nn++++=art
and ^cc++++=and
true ^jj+atrb+++=true
science ^nn+nom+++=science,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
this ^dt+dem+++=this
because ^cs+cos+++=because
the ^ati++++=the
produce ^nn++++=produce
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
bought ^vprf+++xvbnx+=bought
in ^in++++=in
the ^ati++++=the
intellectual ^jj+atrb+++=intellectual
bazaar ^nn++++=bazaar
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
proved ^vpsv++agls+xvbnx+=proved
to ^to+vcmp+++=to
be ^vbi++vrb++=be,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
merely ^rb+down+++=merely
disadvantageous ^jj++++=disadvantageous
to ^in++++=to
me ^pp1o+pp1+++=me
and ^cc++++=and
those ^dt+dem+++=those
near ^jj++++=near
and ^cc++++=and
dear ^nn++++=dear
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
positively ^rb++++=positively
deleterious ^jj++++=deleterious,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
hooted ^vpsv++agls+xvbnx+=hooted
at ^rb++++=at
and ^cc++++=and
abused ^jj+++xvbn+=abused,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
insinuated ^vpsv++agls+xvbnx+=insinuated
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
this ^dt+dem+++=this
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
untrained ^jj+pred+++=untrained
and ^cc++++=and
could ^md+pos+++=could
not ^xnot++not++=not
properly ^rb++++=properly
treat ^vb++++=treat
of ^in++++=of
such ^abl++++=such
lofty ^np++++=lofty
objects ^nns++++=objects.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began
to ^to++++=to
show ^vbi+vprv+++=show
that ^tht+vcmp+++=that
the ^ati++++=the
dealers ^nns+nom+++=dealers
themselves ^ppls+pp3+++=themselves
in ^in++++=in
these ^dt+dem+++=these
intellectual ^jj+atrb+++=intellectual
wares ^nns++++=wares
were ^vbd+bed+vrb++=were
all ^abn++++=all
the ^ati++++=the
time ^nn++++=time
charging ^vwbg+++xvbg+=charging
one ^cd1++++=one
another ^dt++++=another
of ^in++++=of
cheating ^xvbg+++xvbg+=cheating,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
called ^vbd+++xvbnx+=called
to ^in++++=to
mind ^vb++++=mind
that ^tht+vcmp+++=that
in ^in++++=in
all ^abn++++=all
times ^nns++++=times
under ^in++++=under
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
art ^nn++++=art
and ^cc++++=and
science ^nn+nom+++=science
much ^ap++++=much
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
bad ^jj+pred+++=bad
and ^cc+phrs+++=and
harmful ^jj++++=harmful
was ^vbd+bedz+aux++=was
offered ^vpsv++agls+xvbnx+=offered
to ^in++++=to
men ^nns++++=men,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
consequently ^rb+cnj+++=consequently
in ^in++++=in
our ^pp$+pp1+++=our
time ^nn++++=time
also ^rb++++=also
the ^ati++++=the
same ^ap++++=same
danger ^nn++++=danger
was ^vbd+bedz+vrb++=was
threatening ^jj+pred+++=threatening,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
no ^at++++=no
joke ^nn++++=joke,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
poison ^nn++++=poison
for ^in++++=for
the ^ati++++=the
soul ^nn++++=soul
was ^vbd+bedz+vrb++=was
many ^ap++++=many
times ^nns++++=times
more ^rbr++++=more
dangerous ^jj++++=dangerous
than ^in++++=than
a ^at++++=a
poison ^nn++++=poison
for ^in++++=for
the ^ati++++=the
body ^nn++++=body,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
therefore ^rb+cnj+++=therefore
these ^dt+dem+++=these
spiritual ^jj+atrb+++=spiritual
products ^nns++++=products
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
examined ^vbd+++xvbn+=examined
with ^in++++=with
the ^ati++++=the
greatest ^jjt+atrb+++=greatest
attention ^nn+nom+++=attention
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
offered ^vpsv++agls+xvbnx+=offered
to ^in++++=to
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
form ^nn++++=form
of ^in++++=of
food ^nn++++=food,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everything ^pn++++=everything
counterfeit ^jj+++??+=counterfeit
and ^cc+phrs+++=and
deleterious ^jj++++=deleterious
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
rejected ^vbd+++xvbn+=rejected,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began
to ^to++++=to
say ^vbi+vpub+tht0++=say
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
no ^at++++=no
one ^pn++++=one,
, ^zz++++=EXTRAWORD
no ^at++++=no
one ^pn++++=one,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
single ^jj+atrb+++=single
man ^nn++++=man
in ^in++++=in
a ^at++++=a
single ^jj+atrb+++=single
article ^nn++++=article
or ^cc++++=or
book ^nn++++=book
made ^vbd+++xvbn+=made
reply ^nn++++=reply
to ^in++++=to
these ^dt+dem+++=these
arguments ^nns+nom+++=arguments,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
from ^in++++=from
all ^abn++++=all
the ^ati++++=the
shops ^nns++++=shops
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
chorus ^nn++++=chorus
of ^in++++=of
cries ^nns++++=cries
against ^in++++=against
me ^pp1o+pp1+++=me
as ^in++++=as
against ^in"++++=against
the ^ati++++=the
woman ^nn++++=woman
: ^zz++++=:
" ^zz++++="
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
a ^at++++=a
fool ^jjb++++=fool
! ^zz++++=!
He ^pp3a+pp3+++=He
wants ^vbz++++=wants
to ^to+vcmp+++=to
destroy ^vbi++++=destroy
art ^nn++++=art
and ^cc++++=and
science ^nn+nom+++=science
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we
live ^vb++++=live
by ^in+strn+++=by
! ^zz++++=!
Beware ^vb++++=Beware
of ^in++++=of
him ^pp3o+pp3+++=him
and ^cc++++=and
do ^vb+do+vrb++=do
not ^xnot++not++=not
heed ^nn++++=heed
him ^pp3o+pp3+++=him
! ^zz++++=!
Hear ^vb+vprv+++=Hear
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
hear ^vb+vprv+++=hear
us ^pp1o+pp1+++=us
! ^zz++++=!
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
the ^ati++++=the
very ^ql+amp+++=very
latest ^jjt+atrb+++=latest
foreign ^jj+atrb+++=foreign
wares ^nns++++=wares
! ^zz++++=!
" ^zz++++="
Parable ^nn++++=PARABLE
The ^ati++++=THE
Third ^nn++++=THIRD
Travelers ^nns+nom++??+=TRAVELERS
were ^vbd+bed+aux++=were
making ^vbg+++xvbgx+=making
a ^at++++=a
journey ^nn++++=journey.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
they ^pp3a+pp3+++=they
happened ^vbd+++xvbnx+=happened
to ^to+vcmp+++=to
lose ^vbi++++=lose
their ^pp$+pp3+++=their
way ^nn++++=way,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
they ^pp3a+pp3+++=they
found ^vbd+vprv+tht0+xvbnx+=found
themselves ^ppls+pp3+++=themselves
proceeding ^vbg+++xvbg+=proceeding,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
on ^in++++=on
a ^at++++=a
smooth ^jj+atrb+++=smooth
road ^npl++++=road,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
across ^in+pl+++=across
a ^at++++=a
bog ^nn++++=bog,
, ^zz++++=EXTRAWORD
among ^in++++=among
clumps ^nns++++=clumps
of ^in++++=of
bushes ^nns++++=bushes,
, ^zz++++=EXTRAWORD
briers ^nn++++=briers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fallen ^vprf+++xvbn+=fallen
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
blocked ^xvbn+++xvbn+=blocked
their ^pp$+pp3+++=their
progress ^nns+nom+++=progress,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
to ^to++++=to
move ^vbi++++=move
grew ^vbd+++xvbn+=grew
more ^rbr++++=more
and ^cc+phrs+++=and
more ^rbr++++=more
difficult ^jj++++=difficult.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
travelers ^nns+nom+++=travelers
divided ^vwbn+++xvbn+=divided
into ^in++++=into
two ^cd++++=two
parties ^nns++++=parties
; ^zz++++=;
one ^cd1++++=one
decided ^jj+++xvbn+=decided
not ^xnot++not++=not
to ^to++++=to
stop ^vbi++++=stop,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^to++++=to
keep ^vbi++++=keep
going ^vbg+++xvbg+=going
in ^in++++=in
the ^ati++++=the
direction ^nn+nom+++=direction
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
going ^vbg+++xvbgx+=going,
, ^zz++++=EXTRAWORD
assuring ^vbg+++xvbg+=assuring
themselves ^ppls+pp3+++=themselves
and ^cc++++=and
the ^ati++++=the
others ^aps++++=others
that ^cs+sub+++=that
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
not ^xnot++not++=not
wandered ^xvbn+++xvbn+=wandered
from ^in++++=from
the ^ati++++=the
right ^jj+atrb+++=right
road ^npl++++=road,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
were ^vbd+bed+vrb++=were
sure ^jj+pred+++=sure
to ^to+jcmp+++=to
reach ^vbi++++=reach
their ^pp$+pp3+++=their
journey ^nn++++=journey's
's ^$++++=EXTRAWORD
end ^nn++++=end.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
party ^nn++++=party
decided ^vbd+vprv+tht0+xvbn+=decided
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
direction ^nn+nom+++=direction
in ^in++++=in
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
now ^rn+tm+splt++=now
going ^vbg+++xvbgx+=going
was ^vbd+bedz+vrb++=was
evidently ^rb++++=evidently
not ^xnot++not++=not
the ^ati++++=the
right ^nn++++=right
one ^cd1++++=one
otherwise ^rb+cnj+++=otherwise
they ^pp3a+pp3+++=they
would ^md+prd+++=would
long ^rb++++=long
ago ^rb++++=ago
have ^vb+hv+aux++=have
reached ^vprf+++xvbnx+=reached
the ^ati++++=the
journey ^nn++++=journey's
's ^$++++=EXTRAWORD
end ^nn++++=end
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
find ^vbi+vprv+++=find
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
find ^vb+vprv+++=find
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
requisite ^jj+pred+++=requisite
that ^cs+sub+++=that
without ^in++++=without
delay ^nn++++=delay
they ^pp3a+pp3+++=they
should ^md+nec+++=should
move ^vb++++=move
as ^ql++++=as
rapidly ^rb++++=rapidly
as ^in++++=as
possible ^nn++++=possible
in ^in++++=in
all ^abn++++=all
directions ^nns+nom+++=directions.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
travelers ^nns+nom+++=travelers
were ^vbd+bed+aux++=were
divided ^vpsv++agls+xvbnx+=divided
between ^in++++=between
these ^dt+dem+++=these
two ^cd++++=two
