Hit ^vbd+++xvbn+=Hit
but ^cc+cls+++=but
not ^xnot++not++=not
as ^cs+sub+++=as
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
set ^vpsv++agls+xvbnx+=set
in ^in++++=in
her ^pp$+pp3+++=her
will ^md+prd+++=will.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wonder ^vb++++=wonder
now ^rn+tm+++=now
in ^in++++=in
thim ^nn+++??+=thim
days ^nns++++=days
that ^tht+rel+obj++=that
my ^pp$+pp1+++=my
ears ^nns++++=ears
did ^vbd+dod+aux++=did
not ^xnot++not++=not
grow ^vb++++=grow
a ^at++++=a
yard ^nn++++=yard
on ^rp++++=on
me ^pp1o+pp1+++=me
head ^jjb++++=head
wid ^in++++=wid
list ^nn++++=list'nin'.
'nin'. ^nn+++??+=EXTRAWORD
But ^cc++++=But
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
straight ^jj+atrb+++=straight
forninst ^nn+++??+=forninst
me ^pp1o+pp1+++=me
and ^cc++++0=an'
hauled ^vbd+++xvbn+=hauled
up ^rp++++=up
this ^dt+pdem+++=this
and ^cc++++0=an'
dragged ^vbd+++xvbn+=dragged
down ^rb+phrv+++=down
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
duty ^nn++++=duty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
the ^ati++++=the
orf ^nn+++??+=orf'cers'
'cers' ^nn+++??+=EXTRAWORD
ladies ^nns++++=ladies
sez ^nn+++??+=sez
one ^pn++++=one
to ^in++++=to
another ^dt++++=another,
, ^zz++++=EXTRAWORD
thinkin ^nn+++??+=thinkin'
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
out ^rp+pl+++=out
av ^nn++++=av
listen ^vb++++=listen-reach:
- ^zz++++=EXTRAWORD
reach ^vb++++=EXTRAWORD
: ^zz++++=EXTRAWORD
' ^zz++++='Fwhat
fwhat ^nn+++??+=EXTRAWORD
an ^at++++=an
obligin ^nn+++??+=obligin'
' ^zz++++=EXTRAWORD
young ^jj+atrb+++=young
man ^nn++++=man
is ^vbz+bez+vrb++=is
this ^dt+dem+++=this
Corp ^np+++??+=Corp'ril
'ril ^nn+++??+=EXTRAWORD
Mulvaney ^np+++??+=Mulvaney!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
Corp ^np+++??+=Corp'ril
'ril ^nn+++??+=EXTRAWORD
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
rejuced ^vpsv++agls+xvbnx+=rejuced
aftherward ^rb+cnj+++=aftherward,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
no ^at++++=no
matther ^jjr++++=matther,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
Corp ^np+++??+=Corp'ril
'ril ^nn+++??+=EXTRAWORD
wanst ^nn+++??+=wanst.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
_sweethearts ^vbz+++??+=_Sweethearts'_
'_ ^nn+++??+=EXTRAWORD
business ^nns+nom+++=business
wint ^vbd+++xvbn+=wint
on ^in++++=on
like ^in++++=like
most ^ql+emph+++=most
amshure ^vb+++??+=amshure
theatricals ^nns+nom+++=theatricals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
barrin ^nn+++??+=barrin'
' ^zz++++=EXTRAWORD
fwhat ^nn+++??+=fwhat
I ^pp1a+pp1+++=I
suspicioned ^vbd+++xvbnx+=suspicioned,
, ^zz++++=EXTRAWORD
it ^pp3+it+++0='twasn't
was ^vbd+bedz+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
till ^in++++=till
the ^ati++++=the
dhress ^nn++++=dhress-rehearsal
- ^zz++++=EXTRAWORD
rehearsal ^nn+nom+++=EXTRAWORD
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
for ^rb++++=for
certain ^jj++++=certain
that ^tht+jcmp+++=that
thim ^nn+++??+=thim
two ^cd++++=two--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
the ^ati++++=the
blackguard ^nn++++=blackguard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
she ^pp3a+pp3+++=she
no ^at++++=no
wiser ^nn++++=wiser
than ^in++++=than
she ^pp3a+pp3+++=she
should ^md+nec+++=should
ha ^uh++++=ha'
' ^zz++++=EXTRAWORD
been ^vprf+ben+aux+xvbn+=been--had
-- ^--+clp+++=EXTRAWORD
had ^vbd+hvd+aux++=EXTRAWORD
put ^vprf+++xvbnx+=put
up ^rb+phrv+++=up
an ^at++++=an
evasion ^nn+++??+=evasion."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="E-vasion!
e ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
vasion ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
Fwhat ^np+++??+=Fwhat
you ^pp2+pp2+++=you
call ^vb++++=call
an ^at++++=an
elopemint ^nn++++=elopemint.
. ^zz++++=EXTRAWORD
E ^zz++++=E-vasion
- ^zz++++=EXTRAWORD
vasion ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
calls ^vbz++++=calls
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
bekaze ^nn+++??+=bekaze,
, ^zz++++=EXTRAWORD
exceptin ^nn+++??+=exceptin'
' ^zz++++=EXTRAWORD
whin ^nn+++??+=whin
it ^pp3+it+++0='tis
is ^vbz+bez+vrb++=EXTRAWORD
right ^jj+pred+++=right
and ^cc+phrs+++0=an'
natural ^jj++++=natural
and ^cc+phrs+++0=an'
proper ^jj++++=proper,
, ^zz++++=EXTRAWORD
it ^pp3+it+++0='tis
is ^vbz+bez+vrb++=EXTRAWORD
wrong ^jj+pred+++=wrong
and ^cc++++0=an'
dhirty ^nn+++??+=dhirty
to ^to++++=to
steal ^vbi++++=steal
a ^at++++=a
man ^nn++++=man's
's ^vbz+bez+vrb++0=EXTRAWORD
wan ^jj+atrb+++=wan
child ^nn++++=child,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
not ^xnot++not++=not
knowin ^nn+++??+=knowin'
' ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
own ^ap++++=own
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
Sargint ^np+++??+=Sargint
in ^in++++=in
the ^ati++++=the
Comm ^np+++??+=Comm'ssariat
'ssariat ^nn+++??+=EXTRAWORD
who ^whp+rel+subj++=who
set ^vb+++xvbn+=set
my ^pp$+pp1+++=my
face ^nn++++=face
upon ^in++++=upon
e ^zz++++=e-vasions.
- ^zz++++=EXTRAWORD
vasions ^nns+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
about ^in++++=about
that" ^nn+++??+=that"-"Stick
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
stick ^vb++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
bloomin ^nn+++??+=bloomin'
' ^zz++++=EXTRAWORD
Captains ^nns++++=Captains,
, ^zz++++=EXTRAWORD
Mulvaney ^np+++??+=Mulvaney,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ortheris ^np+++??+=Ortheris;
; ^zz++++=EXTRAWORD
" ^zz++++="Comm'ssariat
comm ^nn+++??+=EXTRAWORD
'ssariat ^nn+++??+=EXTRAWORD
Sargints ^np+++??+=Sargints
is ^vbz+bez+vrb++=is
low ^jj+pred+++=low."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mulvaney ^np+++??+=Mulvaney
accepted ^vbd+vprv++xvbn+=accepted
the ^ati++++=the
amendment ^nn+nom+++=amendment
and ^cc++++=and
went ^vbd+++xvbn+=went
on: ^nn+++??+=on:-"Now
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
now ^rn+tm+++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
the ^ati++++=the
Colonel ^nn++++=Colonel
was ^vbd+bedz+vrb++=was
no ^at++++=no
fool ^jjb++++=fool,
, ^zz++++=EXTRAWORD
any ^dti++++=any
more ^ql++++=more
than ^cs+sub+++=than
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
hild ^nn+++??+=hild
the ^ati++++=the
smartest ^jjt+atrb+++=smartest
man ^nn++++=man
in ^in++++=in
the ^ati++++=the
rig ^nn++++=rig'mint,
'mint, ^nn++be+??+0=EXTRAWORD
and ^cc++++0=an'
the ^ati++++=the
Colonel ^nn++++=Colonel
was ^vbd+bedz+vrb++=was
the ^ati++++=the
best ^jjt+atrb+++=best
orf ^nn+++??+=orf'cer
'cer ^jjr+atrb+++0=EXTRAWORD
commandin ^nn+++??+=commandin'
' ^zz++++=EXTRAWORD
in ^in++++=in
Asia ^np++++=Asia;
; ^zz++++=EXTRAWORD
so ^ql++++=so
fwhat ^vb+++??+=fwhat
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
and ^cc+phrs+++0=an'
_i_ ^vb+++??+=_I_
said ^vbd+vpub++xvbn+=said
was ^vbd+bedz+vrb++=was
a ^at++++=a
mortial ^jj+atrb+++=mortial
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
knew ^vbd+vprv++xvbn+=knew
that ^tht+vcmp+++=that
the ^ati++++=the
Capt ^npt++++=Capt'n
'n ^nn+++??+=EXTRAWORD
was ^vbd+bedz+vrb++=was
bad ^jj+pred+++=bad,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
for ^in++++=for
reasons ^nns++++=reasons
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
already ^rb++splt++=already
oblitherated ^vprf+++xvbnx+=oblitherated,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
more ^ql++++=more
than ^cs+sub+++=than
me ^pp1o+pp1+++=me
Colonel ^npt++++=Colonel.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wud ^nn+++??+=wud
ha ^uh++++=ha'
' ^zz++++=EXTRAWORD
rolled ^vbd+++xvbn+=rolled
out ^rp+pl+++=out
his ^pp$+pp3+++=his
face ^nn++++=face
wid ^in++++=wid
the ^ati++++=the
butt ^nn++++=butt
av ^nn++++=av
my ^pp$+pp1+++=my
gun ^nn++++=gun
before ^cs+sub+++=before
permittin ^nn+++??+=permittin'
' ^zz++++=EXTRAWORD
av ^nn++++=av
him ^pp3o+pp3+++=him
to ^to++++=to
steal ^vbi++++=steal
the ^ati++++=the
gurl ^nn+++??+=gurl.
. ^zz++++=EXTRAWORD
Saints ^nns++++=Saints
knew ^vbd+vprv++xvbn+=knew
av ^nn++++=av
he ^pp3a+pp3+++=he
wud ^nn+++??+=wud
ha ^uh++++=ha'
' ^zz++++=EXTRAWORD
married ^jj+++xvbn+=married
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
av ^nn++++=av
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
she ^pp3a+pp3+++=she
wud ^nn+++??+=wud
be ^vb+be+vrb++=be
in ^in++++=in
great ^nn++++=great
tormint ^vbd+++xvbn+=tormint,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
the ^ati++++=the
divil ^nn+++??+=divil
av ^nn++++=av
a ^at++++=a
' ^zz++++='scandal.'
scandal ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
But ^cc++++=But
I ^pp1a+pp1+++=I
niver ^jjr+atrb+++=niver
sthruck ^nn+++??+=sthruck,
, ^zz++++=EXTRAWORD
niver ^jjr++++=niver
raised ^jj+++xvbn+=raised
me ^pp1o+pp1+++=me
hand ^nn++++=hand
on ^in++++=on
my ^pp$+pp1+++=my
shuperior ^nn++++=shuperior
orf ^nn+++??+=orf'cer;
'cer; ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
a ^at++++=a
merricle ^nn+++??+=merricle
now ^rn+tm+++=now
I ^pp1a+pp1+++=I
come ^vprf+++xvbn+=come
to ^in++++=to
considher ^jjr++++=considher
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Mulvaney,
mulvaney ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
dawn ^nn++++=dawn's
's ^$++++=EXTRAWORD
risin ^nn+++??+=risin',"
'," ^nn+++??+=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ortheris ^np+++??+=Ortheris,
, ^zz++++=EXTRAWORD
" ^zz++++="an'
and ^cc++++0=EXTRAWORD
we ^pp1a+pp1+++=we're
're ^vb+ber+vrb++0=EXTRAWORD
no ^at++++=no
nearer ^rbr++++=nearer
' ^zz++++='ome
ome ^nn+++??+=EXTRAWORD
than ^in++++=than
we ^pp1a+pp1+++=we
was ^vbd+bedz+vrb++=was
at ^rb++++=at
the ^ati++++=the
beginnin ^nn+++??+=beginnin'.
'. ^nn+++??+=EXTRAWORD
Lend ^vb++++=Lend
me ^pp1o+pp1+++=me
your ^pp$+pp2+++=your
pouch ^nn+++??+=pouch.
. ^zz++++=EXTRAWORD
Mine ^np++++=Mine's
's ^$++++=EXTRAWORD
all ^abn++++=all
dust ^nn++++=dust."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mulvaney ^np+++??+=Mulvaney
pitched ^vbd+++xvbn+=pitched
his ^pp$+pp3+++=his
pouch ^nn+++??+=pouch
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
filled ^vbd+++xvbn+=filled
his ^pp$+pp3+++=his
pipe ^nn++++=pipe
afresh ^rb++++=afresh.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^cs+sub+++=EXTRAWORD
the ^ati++++=the
dhress ^nn++++=dhress-rehearsal
- ^zz++++=EXTRAWORD
rehearsal ^nn+nom+++=EXTRAWORD
came ^vbd+++xvbn+=came
to ^in++++=to
an ^at++++=an
end ^nn++++=end,
, ^zz++++=EXTRAWORD
an ^at++++=an',
', ^nn+++??+=EXTRAWORD
bekaze ^nn+++??+=bekaze
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
curious ^jj+pred+++=curious,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stayed ^vbd+++xvbnx+=stayed
behind ^in+pl+++=behind
whin ^nn+++??+=whin
the ^ati++++=the
scene ^nn++++=scene-shiftin'
- ^zz++++=EXTRAWORD
shiftin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
ended ^vpsv++agls+xvbnx+=ended,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
shud ^nn+++??+=shud
ha ^uh++++=ha'
' ^zz++++=EXTRAWORD
been ^vprf+ben+vrb+xvbn+=been
in ^in++++=in
barricks ^nns+++??+=barricks,
, ^zz++++=EXTRAWORD
lyin ^nn+++??+=lyin'
' ^zz++++=EXTRAWORD
as ^ql++++=as
flat ^nn++++=flat
as ^ql++++=as
a ^at++++=a
toad ^nn+++??+=toad
under ^in++++=under
a ^at++++=a
painted ^jj+++xvbn+=painted
cottage ^npl+nom+++=cottage
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
was ^vbd+bedz+vrb++=was
talkin ^nn+++??+=talkin'
' ^zz++++=EXTRAWORD
in ^in++++=in
whispers ^nns+nom+++=whispers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
shiverin ^nn+++??+=shiverin'
' ^zz++++=EXTRAWORD
and ^cc++++0=an'
gaspin ^nn+++??+=gaspin'
' ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
fresh ^jj++++=fresh-hukked
- ^zz++++=EXTRAWORD
hukked ^jj+atrb++xvbn+=EXTRAWORD
fish ^nns++++=fish.
. ^zz++++=EXTRAWORD
' ^zz++++='Are
are ^vb+ber+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
sure ^jj++++=sure
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
the ^ati++++=the
hang ^nn++++=hang
av ^nn++++=av
the ^ati++++=the
manewvers ^nns+nom+++=manewvers?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
sez ^nn+++??+=sez
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
wurrds ^nns+++??+=wurrds
to ^in++++=to
that ^dt+dem+++=that
effec ^nn+++??+=effec',
', ^nn+++??+=EXTRAWORD
as ^ql++++=as
the ^ati++++=the
coort ^nn+++??+=coort-martial
- ^zz++++=EXTRAWORD
martial ^jj+atrb+++=EXTRAWORD
sez ^nn+++??+=sez.
. ^zz++++=EXTRAWORD
' ^zz++++='Sure
sure ^jj++++=EXTRAWORD
as ^in++++=as
death ^nn++++=death,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
sez ^nn+++??+=sez
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
' ^zz++++='but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
misdoubt ^nn+++??+=misdoubt
it ^pp3+it+++0='tis
is ^vbz+bez+vrb++=EXTRAWORD
cruel ^jj++++=cruel
hard ^jj++++=hard
on ^in++++=on
my ^pp$+pp1+++=my
father ^nn++++=father.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Damn
damn ^vb++++=EXTRAWORD
your ^pp$+pp2+++=your
father ^nn++++=father,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
sez ^nn+++??+=sez
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
anyways ^rb++++=anyways
it ^pp3+it+++0='twas
was ^vbd+bedz+vrb++=EXTRAWORD
fwhat ^nn+++??+=fwhat
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
' ^zz++++='the
the ^ati++++=EXTRAWORD
arrangement ^nn+nom+++=arrangement
is ^vbz+bez+aux++=is
as ^ql++++=as
clear ^vb++++=clear
as ^ql++++=as
mud ^nn++++=mud.
. ^zz++++=EXTRAWORD
Jungi ^np+++??+=Jungi
will ^md+prd+++=will
drive ^vb++++=drive
the ^ati++++=the
carri ^nn+++??+=carri'ge
'ge ^nn+++??+=EXTRAWORD
afther ^jjr++++=afther
all ^abn++++=all's
's ^vbz+bez+vrb++0=EXTRAWORD
over ^rb+cnj+++=over,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
you ^pp2+pp2+++=you
come ^vb++++=come
to ^in++++=to
the ^ati++++=the
station ^nn+nom+++=station,
, ^zz++++=EXTRAWORD
cool ^vb++++=cool
and ^cc++++0=an'
aisy ^nn+++??+=aisy,
, ^zz++++=EXTRAWORD
in ^in++++=in
time ^nn++++=time
for ^in++++=for
the ^ati++++=the
two ^cd++++=two
o'clock ^rb++++=o'clock
thrain ^jj+++??+=thrain,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
wid ^in++++=wid
your ^pp$+pp2+++=your
kit ^nn++++=kit.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Faith,'
faith ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
thinks ^vbz+vprv+tht0++=thinks
I ^pp1a+pp1+++=I
to ^in++++=to
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
' ^zz++++='thin
thin ^jj++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
ayah ^nn+++??+=ayah
in ^in++++=in
the ^ati++++=the
business ^nns+nom+++=business
tu ^&fw++++=tu!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
powerful ^jj+atrb+++=powerful
bad ^jj+atrb+++=bad
thing ^nn++++=thing
is ^vbz+bez+vrb++=is
a ^at++++=a
ayah ^nn+++??+=ayah.
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
niver ^jjr++++=niver
have ^vb+hv+vrb++=have
any ^dti++++=any
thruck ^nn+++??+=thruck
wid ^in++++=wid
wan ^nn++++=wan.
. ^zz++++=EXTRAWORD
Thin ^jj++++=Thin
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
sootherin ^nn+++??+=sootherin'
' ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
all ^rb++++=all
the ^ati++++=the
orfcers ^nns+nom+++=orfcers
and ^cc++++0=an'
orfcers ^nns+nom+++=orfcers'
' ^zz++++=EXTRAWORD
ladies ^nns++++=ladies
left ^vbd+++xvbn+=left,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
they ^pp3a+pp3+++=they
put ^vbd+++xvbnx+=put
out ^rb+phrv+++=out
the ^ati++++=the
lights ^nns++++=lights.
. ^zz++++=EXTRAWORD
To ^to++++=To
explain ^vbi+vpub+++=explain
the ^ati++++=the
theory ^nn++++=theory
av ^nn++++=av
the ^ati++++=the
flight ^nn++++=flight,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
say ^vb+vpub+++=say
at ^in++++=at
Muskthry ^np+++??+=Muskthry,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
must ^md+nec+++=must
understand ^vb+vprv+++=understand
that ^tht+vcmp+++=that
afther ^jjr++++=afther
this ^dt+pdem+++=this
_sweethearts ^vbz+++??+=_Sweethearts'_
'_ ^nn+++??+=EXTRAWORD
nonsinse ^nn+++??+=nonsinse
was ^vbd+bedz+aux++=was
ended ^vpsv++agls+xvbnx+=ended,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
another ^dt++++=another
little ^ap++++=little
bit ^nn++++=bit
av ^nn++++=av
a ^at++++=a
play ^nn++++=play
called ^vbd+++xvbn+=called
_couples_ ^nn+++??+=_Couples_--some
-- ^--+clp+++=EXTRAWORD
some ^dti++++=EXTRAWORD
kind ^nn++++=kind
av ^nn++++=av
couple ^nn++++=couple
or ^cc++++=or
another ^dt++++=another.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gurl ^nn+++??+=gurl
was ^vbd+bedz+vrb++=was
actin ^nn+++??+=actin'
' ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
the ^ati++++=the
man ^nn++++=man.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suspicioned ^vbd+++xvbnx+=suspicioned
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
go ^vb++++=go
to ^in++++=to
the ^ati++++=the
station ^nn+nom+++=station
wid ^in++++=wid
the ^ati++++=the
gurl ^nn+++??+=gurl's
's ^$++++=EXTRAWORD
kit ^nn++++=kit
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
av ^nn++++=av
the ^ati++++=the
first ^od++++=first
piece ^nn++++=piece.
. ^zz++++=EXTRAWORD
Twas ^np+++??+=Twas
the ^ati++++=the
kit ^nn++++=kit
that ^tht+rel+++=that
flusthered ^jj+++xvbn+=flusthered
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
for ^in++++=for
a ^at++++=a
Capt ^npt++++=Capt'n
'n ^nn+++??+=EXTRAWORD
to ^to++++=to
go ^vbi++++=go
trapesing ^jj+++xvbg+=trapesing
about ^in++++=about
the ^ati++++=the
impire ^nn+++??+=impire
wid ^in++++=wid
the ^ati++++=the
Lord ^npt++++=Lord
knew ^vbd+vprv++xvbn+=knew
what ^wdt+who+whcl++=what
av ^nn++++=av
a ^at++++=a
_truso_ ^nn+++??+=_truso_
on ^in++++=on
his ^pp$+pp3+++=his
arrum ^nn+++??+=arrum
was ^vbd+bedz+vrb++=was
nefarious ^jj+pred+++=nefarious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
wud ^nn+++??+=wud
be ^vb+be+vrb++=be
worse ^jjr+pred+++=worse
than ^in++++=than
easin ^nn+++??+=easin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
flag ^nn++++=flag,
, ^zz++++=EXTRAWORD
so ^ql++++=so
far ^rb+pl+++=far
as ^in++++=as
the ^ati++++=the
talk ^nn++++=talk
aftherward ^rb++++=aftherward
wint ^jj+++xvbn+=wint."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='"Old
" ^zz++++=EXTRAWORD
old ^jj++++=EXTRAWORD
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
Mulvaney ^np+++??+=Mulvaney.
. ^zz++++=EXTRAWORD
Wot ^np++++=Wot's
's ^$++++=EXTRAWORD
_truso_ ^nn+++??+=_truso_?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ortheris ^np+++??+=Ortheris.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
an ^at++++=an
oncivilized ^jj+atrb++xvbn+=oncivilized
man ^nn++++=man,
, ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=me
son ^nn++++=son.
. ^zz++++=EXTRAWORD
Whin ^np+++??+=Whin
a ^at++++=a
gurl ^nn+++??+=gurl's
's ^$++++=EXTRAWORD
married ^vpsv++agls+xvbnx+=married,
, ^zz++++=EXTRAWORD
all ^abn++++=all
her ^pp3o+pp3+++=her
kit ^nn++++=kit
and ^cc++++0=an'
' ^zz++++='coutrements
coutrements ^nns+nom+++=EXTRAWORD
are ^vb+ber+vrb++=are
_truso_ ^nn+++??+=_truso_,
, ^zz++++=EXTRAWORD
