( ^zz++++=(1854)SKETCH
memento ^nn++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*"
" ^zz++++=EXTRAWORD
burning ^jj+++xvbg+=burning
in ^in++++=in
liveletters ^nns+nom+++=liveletters
upon ^in++++=upon
his ^pp$+pp3+++=his
back ^nn++++=back.
. ^zz++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
*sketch ^nn+++??+=*SKETCH
Second ^od++++=SECOND.
. ^zz++++=EXTRAWORD
Two ^cd++++=TWO
Sides ^nns++++=SIDES
To ^in++++=TO
A ^at++++=A
Tortoise ^np+++??+=TORTOISE.
. ^zz++++=EXTRAWORD
" ^zz++++="Most
most ^ql+emph+++=EXTRAWORD
ugly ^jj+atrb+++=ugly
shapes ^nns++++=shapes
and ^cc++++=and
horrible ^jj+atrb+++=horrible
aspects ^nns++++=aspects,
, ^zz++++=EXTRAWORD
Such ^abl++++=Such
as ^ql++++=as
Dame ^np++++=Dame
Nature ^nn++++=Nature
selfe ^nn+++??+=selfe
mote ^nn+++??+=mote
feare ^nn+++??+=feare
to ^to++++=to
see ^vbi+vprv+++=see,
, ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
shame ^nn++++=shame,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
ever ^rb++++=ever
should ^md+nec+++=should
so ^ql++++=so
fowle ^vb+++??+=fowle
defects ^nns++++=defects
From ^in++++=From
her ^pp$+pp3+++=her
most ^ql+emph+++=most
cunning ^jj+atrb+++=cunning
hand ^nn++++=hand
escaped ^vbd+++xvbn+=escaped
bee ^nn++++=bee;
; ^zz++++=EXTRAWORD
All ^abn++++=All
dreadfull ^nn+++??+=dreadfull
pourtraicts ^nns+++??+=pourtraicts
of ^in++++=of
deformitee ^nn+nom+++=deformitee.
. ^zz++++=EXTRAWORD
No ^at++++=No
wonder ^vb++++=wonder
if ^cs+cnd+++=if
these ^dt+pdem+++=these
do ^vb+do+vrb++=do
a ^at++++=a
man ^nn++++=man
appall ^nn+++??+=appall;
; ^zz++++=EXTRAWORD
For ^in++++=For
all ^abn++++=all
that ^dt+dem+++=that
here ^rn+pl+++=here
at ^in++++=at
home ^nr++++=home
we ^pp1a+pp1+++=we
dreadfull ^nn+++??+=dreadfull
hold ^nn++++=hold
Be ^vb+be+vrb++=Be
but ^cc++++=but
as ^ql++++=as
bugs ^nns+++??+=bugs
to ^to++++=to
fearen ^vbi++++=fearen
babes ^nns++++=babes
withall ^jj+++??+=withall
Compared ^jj+++xvbn+=Compared
to ^in++++=to
the ^ati++++=the
creatures ^nns++++=creatures
in ^in++++=in
these ^dt+dem+++=these
isles ^npls++++=isles'
' ^zz++++=EXTRAWORD
entrall ^nn+++??+=entrall
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
" ^zz++++="Fear
fear ^vb++++=EXTRAWORD
naught ^vbd+++xvbn+=naught,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
palmer ^np++++=palmer,
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well
avized ^vwbn+++xvbn+=avized,
, ^zz++++=EXTRAWORD
For ^in++++=For
these ^dt+dem+++=these
same ^ap++++=same
monsters ^nns+nom+++=monsters
are ^vb+ber+vrb++=are
not ^xnot++not++=not
there ^rn+pl+++=there
indeed ^qlp++++=indeed,
, ^zz++++=EXTRAWORD
But ^cc+cls+++=But
are ^vb+ber+vrb++=are
into ^in++++=into
these ^dt+dem+++=these
fearful ^jj+atrb+++=fearful
shapes ^nns++++=shapes
disguized ^vbd+++xvbn+=disguized.
. ^zz++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
" ^zz++++="And
and ^cc++++=EXTRAWORD
lifting ^nvbg+++xvbg+=lifting
up ^rp++++=up
his ^pp$+pp3+++=his
vertuous ^jj+atrb+++=vertuous
staffe ^nn+++??+=staffe
on ^in++++=on
high ^jj++++=high,
, ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
all ^abn++++=all
that ^dt+dem+++=that
dreadful ^jj+atrb+++=dreadful
armie ^nn+++??+=armie
fast ^rb++++=fast
gan ^jj+atrb+++=gan
flye ^nn+++??+=flye
Into ^in++++=Into
great ^jj+atrb+++=great
Zethy ^np++++=Zethy's
's ^$++++=EXTRAWORD
bosom ^nn++++=bosom,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
hidden ^vbd+++xvbnx+=hidden
lye ^nn+++??+=lye."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
In ^in++++=In
view ^in"++++=view
of ^in"++++=of
the ^ati++++=the
description ^nn+nom+++=description
given ^vwbn+++xvbn+=given,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
one ^cd1++++=one
be ^vb+be+vrb++=be
gay ^jj+pred+++=gay
upon ^in++++=upon
the ^ati++++=the
Encantadas?yes ^np+++??+=Encantadas?Yes:
: ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+aux++=is,
, ^zz++++=EXTRAWORD
find ^vb+vprv+++=find
one ^cd1++++=one
the ^ati++++=the
gayety ^nn+++??+=gayety,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
will ^md+prd+++=will
be ^vb+be+vrb++=be
gay ^jj+pred+++=gay.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
indeed,sackcloth ^nn+++??+=indeed,sackcloth
and ^cc++++=and
ashes ^nns++++=ashes
as ^ql++++=as
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
the ^ati++++=the
isles ^npls++++=isles
are ^vb+ber+vrb++=are
not ^xnot++not++=not
perhaps ^rb++++=perhaps
unmitigatedgloom ^vb+++??+=unmitigatedgloom.
. ^zz++++=EXTRAWORD
For ^in++++=For
while ^cs+sub+++=while
no ^at++++=no
spectator ^nn++++=spectator
can ^md+pos+++=can
deny ^vb+vpub+++=deny
their ^pp$+pp3+++=their
claims ^vb++++=claims
to ^to+vcmp+++=to
a ^at++++=a
most ^ql+emph+++=most
solemn ^jj+atrb+++=solemn
andsuperstitious ^jj+atrb+++=andsuperstitious
consideration ^nn+nom+++=consideration,
, ^zz++++=EXTRAWORD
no ^at++++=no
more ^rbr++++=more
than ^in++++=than
my ^pp$+pp1+++=my
firmest ^jjt+atrb+++=firmest
resolutions ^nns+nom+++=resolutions
candecline ^nn+++??+=candecline
to ^to++++=to
behold ^vbi++++=behold
the ^ati++++=the
spectre ^nn+++??+=spectre-tortoise
- ^zz++++=EXTRAWORD
tortoise ^vb++++=EXTRAWORD
when ^wrb+who+++=when
emerging ^vbg+++xvbg+=emerging
from ^in++++=from
its ^pp$+it+++=its
shadowyrecess ^nns+nom+++=shadowyrecess;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
even ^rb++++=even
the ^ati++++=the
tortoise ^vb++++=tortoise,
, ^zz++++=EXTRAWORD
dark ^jj++++=dark
and ^cc+phrs+++=and
melancholy ^jj++++=melancholy
as ^ql++++=as
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
upon ^in++++=upon
theback ^nn+++??+=theback,
, ^zz++++=EXTRAWORD
still ^rb++++=still
possesses ^nns+nom+++=possesses
a ^at++++=a
bright ^jj+atrb+++=bright
side ^nn++++=side;
; ^zz++++=EXTRAWORD
its ^pp$+it+++=its
calipee ^nn++++=calipee
or ^cc++++=or
breast ^nn++++=breast-plate
- ^zz++++=EXTRAWORD
plate ^nn++++=EXTRAWORD
beingsometimes ^nns+++??+=beingsometimes
of ^in++++=of
a ^at++++=a
faint ^jj+atrb+++=faint
yellowish ^jj+atrb+++=yellowish
or ^cc+phrs+++=or
golden ^jj+atrb+++=golden
tinge ^nn++++=tinge.
. ^zz++++=EXTRAWORD
Moreover ^nn+nom+++=Moreover,
, ^zz++++=EXTRAWORD
every ^at++++=every
oneknows ^nns+++??+=oneknows
that ^tht+rel+subj++=that
tortoises ^vbz++++=tortoises
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
turtle ^nn+++??+=turtle
are ^vb+ber+vrb++=are
of ^in++++=of
such ^abl++++=such
a ^at++++=a
make ^vb++++=make,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
if ^cs+cnd+++=if
youbut ^vb+++??+=youbut
put ^vbd+++xvbn+=put
them ^pp3o+pp3+++=them
on ^in++++=on
their ^pp$+pp3+++=their
backs ^nns++++=backs
you ^pp2+pp2+++=you
thereby ^rb++++=thereby
expose ^vb++++=expose
their ^pp$+pp3+++=their
bright ^jj+atrb+++=bright
sideswithout ^nn+++??+=sideswithout
the ^ati++++=the
possibility ^nn+nom+++=possibility
of ^in++++=of
their ^pp$+pp3+++=their
recovering ^vbg+++xvbg+=recovering
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turning ^nvbg+++xvbg+=turning
intoview ^nn+++??+=intoview
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
after ^cs+sub+++=after
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
because ^cs+cos+++=because
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
donethis ^nns+++??+=donethis,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
should ^md+nec+++=should
not ^xnot++not++=not
swear ^vb+++xvbn+=swear
that ^tht+vcmp+obj++=that
the ^ati++++=the
tortoise ^vb++++=tortoise
has ^vbz+hvz+vrb++=has
no ^at++++=no
dark ^jj+atrb+++=dark
side ^nn++++=side.
. ^zz++++=EXTRAWORD
Enjoy ^vb++++=Enjoy
thebright ^nn+++??+=thebright,
, ^zz++++=EXTRAWORD
keep ^vb++++=keep
it ^pp3+it+++=it
turned ^vbd+++xvbn+=turned
up ^rb+phrv+++=up
perpetually ^rb++++=perpetually
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
can ^md+pos+++=can,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
be ^vb+be+vrb++=be
honest ^jj+pred+++=honest,
, ^zz++++=EXTRAWORD
anddo ^nn+++??+=anddon't
n't ^xnot++not++0=EXTRAWORD
deny ^vb+vpub+++=deny
the ^ati++++=the
black ^nn++++=black.
. ^zz++++=EXTRAWORD
Neither ^dt++neg++=Neither
should ^md+nec+++=should
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
cannot ^md+pos+not++=cannot
turn ^vb++++=turn
the ^ati++++=the
tortoisefrom ^nn+++??+=tortoisefrom
its ^pp$+it+++=its
natural ^jj+atrb+++=natural
position ^nn+nom+++=position
so ^rb++++=so
as ^in++++=as
to ^in++++=to
hide ^nn++++=hide
the ^ati++++=the
darker ^jjr++++=darker
and ^cc++++=and
expose ^vb++++=expose
hislivelier ^jjr+atrb+++=hislivelier
aspect ^nn++++=aspect,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
great ^jj+atrb+++=great
October ^nr++++=October
pumpkin ^nn+++??+=pumpkin
in ^in++++=in
the ^ati++++=the
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
for ^in++++=for
that ^dt+dem+++=that
causedeclare ^nn+++??+=causedeclare
the ^ati++++=the
creature ^nn++++=creature
to ^to++++=to
be ^vbi++vrb++=be
one ^cd1++++=one
total ^jj+atrb+++=total
inky ^nn+++??+=inky
blot ^nn++++=blot.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tortoise ^vb++++=tortoise
is ^vbz+bez+vrb++=is
bothblack ^nn+++??+=bothblack
and ^cc++++=and
bright ^jj++++=bright.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
let ^vb+++xvbn+=let
us ^pp1o+pp1+++=us
to ^in++++=to
particulars ^nns++++=particulars.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
months ^nns++++=months
before ^cs+sub+++=before
my ^pp$+pp1+++=my
first ^rb++++=first
stepping ^vbg+++xvbg+=stepping
ashore ^rb+pl+++=ashore
upon ^in++++=upon
the ^ati++++=the
group ^nn++++=group,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
ship ^nn++++=ship
wascruising ^vwbg+++xvbg+=wascruising
in ^in++++=in
its ^pp$+it+++=its
close ^jj+atrb+++=close
vicinity ^nn+nom+++=vicinity.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
noon ^nn++++=noon
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
ourselves ^ppls+pp1+++=ourselves
off ^in+pl+++=off
thesouth ^nn+++??+=theSouth
Head ^jjb++++=Head
of ^in++++=of
Albemarle ^np+++??+=Albemarle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
very ^ql+amp+++=very
far ^rb+pl+++=far
from ^rb"++++=from
the ^ati++++=the
land ^nn++++=land.
. ^zz++++=EXTRAWORD
Partly ^rb+down+++=Partly
by ^in++++=by
wayof ^nn+++??+=wayof
freak ^jjb++++=freak,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
partly ^rb+down+++=partly
by ^in++++=by
way ^in"++++=way
of ^in"++++=of
spying ^vbg+++xvbg+=spying
out ^rp+pl+++=out
so ^rb+emph+++=so
strange ^jj++++=strange
a ^at++++=a
country ^nn++++=country,
, ^zz++++=EXTRAWORD
a ^at++++=a
boat ^nn++++=boat'screw
'screw ^nn+++??+=EXTRAWORD
was ^vbd+bedz+aux++=was
sent ^vpsv++agls+xvbnx+=sent
ashore ^rb+cnj+++=ashore,
, ^zz++++=EXTRAWORD
with ^in++++=with
orders ^vb++++=orders
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
all ^abn++++=all
they ^pp3a+pp3+++=they
could ^md+pos+++=could,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
besides,bring ^jj+++xvbg+=besides,bring
back ^jjb++++=back
whatever ^nn+nom+++=whatever
tortoises ^vbz++++=tortoises
they ^pp3a+pp3+++=they
could ^md+pos+++=could
conveniently ^rb++++=conveniently
transport ^nn++++=transport.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
after ^in++++=after
sunset ^nn++++=sunset,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
adventurers ^nns+nom+++=adventurers
returned ^vbd+++xvbn+=returned.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
down ^rp++++=down
overthe ^nn+++??+=overthe
ship ^nn++++=ship's
's ^vbz+bez+vrb++0=EXTRAWORD
high ^jj+atrb+++=high
side ^nn++++=side
as ^cs+sub+++=as
if ^cs+cnd+++=if
looking ^vbg+++xvbg+=looking
down ^rp++++=down
over ^in++++=over
the ^ati++++=the
curb ^nn++++=curb
of ^in++++=of
a ^at++++=a
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
anddimly ^jj++++=anddimly
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
damp ^jj+atrb+++=damp
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
deep ^jj++++=deep
in ^in++++=in
the ^ati++++=the
sea ^nn++++=sea
with ^in++++=with
some ^dti++++=some
unwonted ^jj+atrb++xvbn+=unwonted
weight.ropes ^nns+++??+=weight.Ropes
were ^vbd+bed+aux++=were
dropt ^vpsv++agls+xvbnx+=dropt
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
presently ^rb+tm+++=presently
three ^cd++++=three
huge ^jj++++=huge
antediluvian ^jj++++=antediluvian-lookingtortoises,
- ^zz++++=EXTRAWORD
lookingtortoises ^vbz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
after ^in++++=after
much ^ap++++=much
straining ^nvbg+++xvbg+=straining,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
landed ^vpsv++agls+xvbnx+=landed
on ^in++++=on
deck ^nn++++=deck.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
seemed ^vbd+seem++xvbnx+=seemed
hardlyof ^nn+++??+=hardlyof
the ^ati++++=the
seed ^nn++++=seed
of ^in++++=of
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
broad ^jj++++=broad
upon ^in++++=upon
the ^ati++++=the
waters ^nns++++=waters
for ^in++++=for
five ^cd++++=five
longmonths ^nns+++??+=longmonths,
, ^zz++++=EXTRAWORD
a ^at++++=a
period ^nn++++=period
amply ^rb++++=amply
sufficient ^jj++++=sufficient
to ^to+jcmp+++=to
make ^vbi++++=make
all ^abn++++=all
things ^nns++++=things
of ^in++++=of
the ^ati++++=the
land ^nn++++=land
wear ^nn++++=wear
afabulous ^jj+atrb+++=afabulous
hue ^nn++++=hue
to ^in++++=to
the ^ati++++=the
dreamy ^jj+atrb+++=dreamy
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
Had ^vb+hv+vrb++=Had
three ^cd++++=three
Spanish ^jj+atrb+++=Spanish
custom ^nn++++=custom-house
- ^zz++++=EXTRAWORD
house ^nn++++=EXTRAWORD
officersboarded ^vbd+++xvbn+=officersboarded
us ^pp1o+pp1+++=us
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
unlikely ^jj++++=unlikely
that ^tht+jcmp+++=that
I ^pp1a+pp1+++=I
should ^md+nec+++=should
have ^vb+hv+vrb++=have
curiously ^rb++++=curiously
staredat ^nn+++??+=staredat
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
felt ^j+++xvbn+=felt
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stroked ^vbd+++xvbn+=stroked
them ^pp3o+pp3+++=them
much ^ap++++=much
as ^ql++++=as
savages ^nns+nom+++=savages
serve ^vb++++=serve
civilizedguests ^nns+++??+=civilizedguests.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
instead ^rb+cnj+++=instead
of ^in++++=of
three ^cd++++=three
custom ^nn++++=custom-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
officers ^nns+nom+++=officers,
, ^zz++++=EXTRAWORD
behold ^vb++++=behold
these ^dt+dem+++=these
reallywondrous ^jj++++=reallywondrous
tortoises ^vbz++++=tortoises--none
-- ^--+clp+++=EXTRAWORD
none ^pn++++=EXTRAWORD
of ^in++++=of
your ^pp$+pp2+++=your
schoolboy ^nn++++=schoolboy
mud-turtles ^nns+++??+=mud-turtles--but
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
black ^jj+atrb+++=black
aswidower ^jjr+atrb+++=aswidower's
's ^vbz+bez+vrb++0=EXTRAWORD
weeds ^nns++++=weeds,
, ^zz++++=EXTRAWORD
heavy ^jj++++=heavy
as ^ql++++=as
chests ^nns++++=chests
of ^in++++=of
plate ^nn++++=plate,
, ^zz++++=EXTRAWORD
with ^in++++=with
vast ^jj+atrb+++=vast
shells ^nps++++=shells
medallionedand ^nn+++??+=medallionedand
orbed ^vbd+++xvbn+=orbed
like ^in++++=like
shields ^nns++++=shields,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dented ^vbd+++xvbn+=dented
and ^cc+phrs+++=and
blistered ^vbd+++xvbn+=blistered
like ^in++++=like
shields ^nns++++=shields
that ^tht+rel+++=that
havebreasted ^jj+++xvbn+=havebreasted
a ^at++++=a
battle ^nn++++=battle,
, ^zz++++=EXTRAWORD
shaggy ^jj++++=shaggy,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
with ^in++++=with
dark ^jj+atrb+++=dark
green ^nn++++=green
moss,and ^nn+++??+=moss,and
slimy ^jj++++=slimy
with ^in++++=with
the ^ati++++=the
spray ^nn++++=spray
of ^in++++=of
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
mystic ^jj+atrb+++=mystic
creatures ^nns++++=creatures,
, ^zz++++=EXTRAWORD
suddenlytranslated ^xvbn+++xvbn+=suddenlytranslated
by ^in++++=by
night ^nn++++=night
from ^in++++=from
unutterable ^jj+atrb+++=unutterable
solitudes ^nns+++??+=solitudes
to ^in++++=to
our ^pp$+pp1+++=our
peopled ^xvbn+++xvbn+=peopled
deck,affected ^jj+++xvbn+=deck,affected
me ^pp1o+pp1+++=me
in ^in++++=in
a ^at++++=a
manner ^nn++++=manner
not ^xnot++not++=not
easy ^jj++++=easy
to ^to+jcmp+++=to
unfold ^vb+++??+=unfold.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
seemed ^vbd+seem++xvbnx+=seemed
newly ^rb++++=newly
crawledforth ^nn+++??+=crawledforth
from ^in++++=from
beneath ^in+pl+++=beneath
the ^ati++++=the
foundations ^nns+nom+++=foundations
of ^in++++=of
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
Yea ^np+++??+=Yea,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
seemed ^vbd+seem++xvbnx+=seemed
theidentical ^jj++++=theidentical
tortoises ^vbz++++=tortoises
whereon ^wrb+who+++=whereon
the ^ati++++=the
Hindoo ^np+++??+=Hindoo
plants ^nns++++=plants
this ^dt+dem+++=this
total ^jj+atrb+++=total
sphere ^nn++++=sphere.
. ^zz++++=EXTRAWORD
With ^in++++=With
alantern ^vwbn+++xvbn+=alantern
I ^pp1a+pp1+++=I
inspected ^vbd+++xvbnx+=inspected
them ^pp3o+pp3+++=them
more ^rbr++++=more
closely ^rb++++=closely.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
worshipful ^jj+atrb+++=worshipful
venerableness ^nns+nom+++=venerableness
ofaspect ^nn+++??+=ofaspect!
! ^zz++++=EXTRAWORD
Such ^abl++++=Such
furry ^nn++++=furry
greenness ^nns+nom+++=greenness
mantling ^nn+nom+++=mantling
the ^ati++++=the
rude ^jj+atrb+++=rude
peelings ^nns+nom+++=peelings
and ^cc++++=and
healing ^jj+atrb++xvbg+=healing
thefissures ^nns+++??+=thefissures
of ^in++++=of
their ^pp$+pp3+++=their
shattered ^vbd+++xvbn+=shattered
shells ^nps++++=shells.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
no ^at++++=no
more ^ql++++=more
saw ^vbd+vprv++xvbn+=saw
three ^cd++++=three
tortoises ^vbz++++=tortoises.
. ^zz++++=EXTRAWORD
Theyexpanded ^np+++??+=Theyexpanded--became
-- ^--+clp+++=EXTRAWORD
became ^j+++xvbn+=EXTRAWORD
transfigured ^jj+++xvbn+=transfigured.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
three ^cd++++=three
Roman ^jj+atrb+++=Roman
Coliseums ^np+++??+=Coliseums
inmagnificent ^jj+atrb+++=inmagnificent
decay ^nn++++=decay.
. ^zz++++=EXTRAWORD
Ye ^pp2+pp2+++=Ye
oldest ^jjt+atrb+++=oldest
inhabitants ^nns+nom+++=inhabitants
of ^in++++=of
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
any ^dti++++=any
other ^ap++++=other
isle ^nn++++=isle,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
pray ^vb+vsua+++=pray,
, ^zz++++=EXTRAWORD
give ^vb++++=give
methe ^jj+atrb++??+=methe
freedom ^nn+nom+++=freedom
of ^in++++=of
your ^pp$+pp2+++=your
three ^cd++++=three-walled
- ^zz++++=EXTRAWORD
walled ^jj+atrb+++=EXTRAWORD
towns ^nns++++=towns.
. ^zz++++=EXTRAWORD
The ^ati++++=The
great ^jj++++=great
feeling ^xvbg+++xvbg+=feeling
inspired ^vpsv++by+xvbn+=inspired
by ^in++++=by
these ^dt+dem+++=these
creatures ^nns++++=creatures
was ^vbd+bedz+vrb++=was
that ^cs+sub+++=that
ofage: ^nn+++??+=ofage:--dateless,
-- ^--+clp+++=EXTRAWORD
dateless ^jj+atrb+++=EXTRAWORD
, ^zz++++=EXTRAWORD
indefinite ^jj+atrb+++=indefinite
endurance ^nn+nom+++=endurance.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
in ^in++++=in
fact ^nn++++=fact
that ^tht+ncmp+++=that
any ^dti++++=any
othercreature ^nn+++??+=othercreature
can ^md+pos+++=can
live ^vb++++=live
and ^cc+phrs+++=and
breathe ^vb++++=breathe
as ^ql++++=as
long ^rb++++=long
as ^ql++++=as
the ^ati++++=the
tortoise ^nn++++=tortoise
of ^in++++=of
the ^ati++++=the
Encantadas,i ^np+++??+=Encantadas,I
will ^md+prd+++=will
not ^xnot++not++=not
readily ^rb++++=readily
believe ^vb+vprv+++=believe.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
to ^in++++=to
hint ^nn++++=hint
of ^in++++=of
their ^pp$+pp3+++=their
known ^jj+atrb++xvbn+=known
capacity ^nn+nom+++=capacity
ofsustaining ^vwbg+++xvbg+=ofsustaining
life ^nn++++=life,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
going ^vbg+++xvbg+=going
without ^in++++=without
food ^nn++++=food
for ^in++++=for
an ^at++++=an
entire ^jjb+atrb+++=entire
year ^nn++++=year,
, ^zz++++=EXTRAWORD
considerthat ^nn+++??+=considerthat
impregnable ^jj+atrb+++=impregnable
armor ^nn++++=armor
of ^in++++=of
their ^pp$+pp3+++=their
living ^nvbg+++xvbg+=living
mail ^nn++++=mail.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
other ^ap++++=other
bodily ^jj+atrb+++=bodily
beingpossesses ^nns+nom++??+=beingpossesses
such ^abl++++=such
a ^at++++=a
citadel ^nn++++=citadel
wherein ^wrb+who+++=wherein
to ^to++++=to
resist ^vbi++++=resist
the ^ati++++=the
assaults ^nns++++=assaults
of ^in++++=of
Time ^nn++++=Time?
? ^zz++++=EXTRAWORD
As ^cs+sub+++=As,
, ^zz++++=EXTRAWORD
lantern ^nn++++=lantern
in ^in++++=in
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
scraped ^vbd+++xvbnx+=scraped
among ^in++++=among
the ^ati++++=the
moss ^np++++=moss
and ^cc++++=and
beheld ^nn+++??+=beheld
the ^ati++++=the
ancientscars ^nns+++??+=ancientscars
of ^in++++=of
bruises ^nns++++=bruises
received ^vbd+++xvbn+=received
in ^in++++=in
many ^ap++++=many
a ^at++++=a
sullen ^jj+atrb+++=sullen
fall ^nn++++=fall
among ^in++++=among
the ^ati++++=the
marlymountains ^nns+++??+=marlymountains
of ^in++++=of
the ^ati++++=the
isle ^npl++++=isle--scars
-- ^--+clp+++=EXTRAWORD
scars ^nns++++=EXTRAWORD
strangely ^rb++++=strangely
widened ^vbd+++xvbn+=widened,
, ^zz++++=EXTRAWORD
swollen ^jj++++=swollen,
, ^zz++++=EXTRAWORD
halfobliterate ^nn+nom+++=halfobliterate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
