One ^pn++++=One
of ^rb"++++0=o'
rock ^npl++++=rock
down ^rp++++=down
on ^in++++=on
the ^ati++++=the
bank ^nn++++=bank
' ^zz++++='o
o ^zz++++=EXTRAWORD
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
looks ^nns++++=looks
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
like ^in++++=like
a ^at++++=a
grave ^jj++++=grave-stone.
- ^zz++++=EXTRAWORD
stone ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
biggest ^jjt+atrb+++=biggest
part ^nn++++=part
on ^in++++0=on't
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+aux++=is
sunk ^vpsv++agls+xvbnx+=sunk
down ^rp++++=down
under ^in++++=under
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
pretty ^rb++++=pretty
well ^rb++++=well
growed ^jj+++xvbn+=growed
over ^in++++=over
with ^in++++=with
blackberry ^nn++++=blackberry-vines;
- ^zz++++=EXTRAWORD
vines ^nns++++=EXTRAWORD
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
scratch ^vb++++=scratch
the ^ati++++=the
bushes ^nns++++=bushes
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
used ^md"++pmd"++=used
to ^to++++=to
make ^vb++++=make
out ^rp+pl+++=out
some ^dti++++=some
queer ^jj+atrb+++=queer
marks ^nns++++=marks
on ^in++++=on
that ^cs+sub+++=that
' ^zz++++='are
are ^vb+ber+vrb++=EXTRAWORD
rock ^nn++++=rock.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
was ^vbd+bedz+vrb++=was
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
lines ^nns++++=lines
and ^cc++++=and
crosses ^nns++++=crosses;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
folks ^nns++++=folks
would ^md+prd+++=would
have ^vb+hv+vrb++=have
it ^pp3+it+++=it
that ^cs+sub+++=that
them ^pp3o+pp3+++=them
was ^vbd+bedz+vrb++=was
Kidd ^np++++=Kidd's
's ^$++++=EXTRAWORD
private ^jj+atrb+++=private
marks ^nns++++=marks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++0=o'
the ^ati++++=the
places ^nns++++=places
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
hid ^vbd+++xvbnx+=hid
his ^pp$+pp3+++=his
money ^nn++++=money.
. ^zz++++=EXTRAWORD
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
sayin ^nn+++??+=sayin'
' ^zz++++=EXTRAWORD
fairly ^rb++++=fairly
how ^wrb+who+++=how
it ^pp3+it+++=it
come ^vb++++=come
to ^to++++=to
be ^vbi+vbi+aux++=be
thought ^vpsv++agls+xvbnx+=thought
so ^ql++++=so;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
fellers ^nns+nom+++=fellers
used ^md"++pmd"++=used
to ^to++++=to
say ^vb+vpub+++=say
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
used ^vbd+++xvbnx+=used
sometimes ^rb++++=sometimes
to ^to++++=to
talk ^vbi++++=talk
it ^pp3+it+++=it
over ^rb++++=over
to ^in++++=to
the ^ati++++=the
tahvern ^jj+++xvbn+=tahvern,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
kind ^rb+hdg+++=kind
of ^+hdg"+++0=o'
wonder ^vb++++=wonder
whether ^cs+who+++=whether
or ^cc++++=or
no ^rb+cnj+++=no,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
should ^md+nec+++=should
dig ^vb++++=dig,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
come ^vprf+++xvbn+=come
to ^in++++=to
suthin ^nn+++??+=suthin'.
'. ^nn+++??+=EXTRAWORD
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
Mother ^nn++++=Mother
Hokum ^np+++??+=Hokum
she ^pp3a+pp3+++=she
heard ^vbd+vprv++xvbnx+=heard
o ^zz++++=on't,
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
a ^at++++=a
sort ^nn++++=sort
of ^in++++0=o'
enterprisin ^nn+++??+=enterprisin'
' ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
crittur ^nn+++??+=crittur:
: ^zz++++=EXTRAWORD
fact ^nn++++=fact
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi++vrb++=be,
, ^zz++++=EXTRAWORD
' ^zz++++='cause
cause ^nn++++=EXTRAWORD
the ^ati++++=the
young ^jj+atrb+++=young
Hokums ^np+++??+=Hokums
was ^vbd+bedz+vrb++=was
jest ^rb++++=jest
like ^in++++=like
bag ^nn++++=bag-worms,
- ^zz++++=EXTRAWORD
worms ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
more ^ql++++=more
they ^pp3a+pp3+++=they
growed ^vbd+++xvbnx+=growed
the ^ati++++=the
more ^ql++++=more
they ^pp3a+pp3+++=they
eat ^vb++++=eat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
expect ^vb+vprv+tht0++=expect
she ^pp3a+pp3+++=she
found ^vbd+vprv+tht0+xvbnx+=found
it ^pp3+it+++=it
pretty ^rb++++=pretty
hard ^jj++++=hard
to ^to+jcmp+++=to
fill ^vbi++++=fill
their ^pp$+pp3+++=their
mouths ^nns++++=mouths;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
ef ^nn+++??+=ef
there ^rn+pl+++=there
_was_ ^nn+++??+=_was_
any ^dti++++=any
thing ^nn++++=thing
under ^in++++=under
that ^cs+sub+++=that
' ^zz++++='are
are ^vb+ber+vrb++=EXTRAWORD
rock ^npl++++=rock,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they'd
'd ^md+prd+vrb++0=EXTRAWORD
as ^ql++++=as
good ^jj+atrb+++=good's
's ^vbz+bez+vrb++0=EXTRAWORD
have ^vb+hv+vrb++=have
it ^pp3+it+++=it
as ^in++++=as
the ^ati++++=the
Devil ^nn++++=Devil;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
give ^vb++++=give
old ^jj+atrb+++=old
Hokum ^np+++??+=Hokum
no ^at++++=no
peace ^nn++++=peace
of ^in++++0=o'
his ^pp$+pp3+++=his
life ^nn++++=life,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
must ^md+nec+++=must
see ^vb+vprv+++=see
what ^wdt+who+whcl++=what
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
with ^in++++=with
them ^pp3o+pp3+++0='em
the ^ati++++=the
night ^nn++++=night
they ^pp3a+pp3+++=they
was ^vbd+bedz+aux++=was
a ^at++++=a
talk ^vb++++=talk-in'
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
' ^zz++++=EXTRAWORD
on ^in++++0=on't
it ^pp3+it+++=EXTRAWORD
up ^rp++++=up.
. ^zz++++=EXTRAWORD
Ye ^pp2+pp2+++=Ye
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
Hokum ^np+++??+=Hokum
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
thirty ^cd++++=thirty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
cents ^nns++++=cents'
' ^zz++++=EXTRAWORD
worth ^in++++=worth
of ^in++++0=o'
lemons ^nns++++=lemons
and ^cc++++=and
sperit ^nn+++??+=sperit.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
him ^pp3o+pp3+++=him
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
by ^in++++=by
as ^ql++++=as
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
out ^rp+pl+++=out
a ^at++++=a
splittin ^nn+++??+=splittin'
' ^zz++++=EXTRAWORD
kindlin ^nn+++??+=kindlin's;
's; ^nn+++??+=EXTRAWORD
and ^cc++++=and
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
' ^zz++++='Sam,
sam ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
jest ^rb++++=jest
go ^vb++++=go
' ^zz++++='long
long ^rb++++=EXTRAWORD
up ^in+cmpx+++=up
to ^in"++++=to
our ^pp$+pp1+++=our
house ^nn++++=house
to ^to++++=to-night,'
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he:
: ^zz++++=EXTRAWORD
' ^zz++++='Toddy
toddy ^nn+++??+=EXTRAWORD
Whitney ^np+++??+=Whitney
and ^cc++++=and
Harry ^np++++=Harry
Wiggin ^np++++=Wiggin's
's ^$++++=EXTRAWORD
com ^nn+++??+=com-in'
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
' ^zz++++=EXTRAWORD
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we're
're ^vb+ber+vrb++0=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^in++++=to
have ^vbi++vrb++=have
a ^rb++++=a
little ^rb"++++=little
suthin ^nn+++??+=suthin'
' ^zz++++=EXTRAWORD
hot ^jj++++=hot,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
kind ^rb+hdg+++=kind
of ^+hdg"+++0=o'
showed ^vbd+vprv++xvbn+=showed
me ^pp1o+pp1+++=me
the ^ati++++=the
lemons ^nns++++=lemons
and ^cc++++=and
sperit ^nn+++??+=sperit.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
I ^pp1a+pp1+++=I
guessed ^vbd+vprv+tht0+xvbnx+=guessed
I ^pp1a+pp1+++=I
would ^md+prd+++=would
go ^vb++++=go
' ^zz++++='long.
long ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Wal ^nn++++=Wal,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
kind ^rb+hdg+++=kind
of ^+hdg"+++0=o'
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
what ^wdt+who+whcl++=what
they ^pp3a+pp3+++=they'd
'd ^md+prd+vrb++0=EXTRAWORD
be ^vb+be+vrb++=be
up ^in+cmpx+++=up
to ^in"++++=to,
, ^zz++++=EXTRAWORD
ye ^pp2+pp2+++=ye
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
to ^to++++=to
find ^vbi+vprv+++=find
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
was ^vbd+bedz+vrb++=was
a ^at++++=a
talkin ^nn+++??+=talkin'
' ^zz++++=EXTRAWORD
about ^in++++=about
Cap ^nn++++=Cap'n
'n ^nn+++??+=EXTRAWORD
Kidd ^np++++=Kidd's
's ^$++++=EXTRAWORD
treasures ^nns++++=treasures,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
layin ^nn+++??+=layin'
' ^zz++++=EXTRAWORD
out ^rp+pl+++=out
how ^wrb+who+++=how
they ^pp3a+pp3+++=they
should ^md+nec+++=should
get ^vb++++=get
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
settin ^nn+++??+=settin'
' ^zz++++=EXTRAWORD
one ^cd1++++=one
another ^dt++++=another
on ^in++++=on
with ^in++++=with
gret ^nn+++??+=gret
stories ^nns++++=stories
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="'I've
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
heard ^vprf+++xvbnx+=heard
that ^tht+vcmp+++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
whole ^jj+atrb+++=whole
chists ^nn++++=chists
full ^jj++++=full
of ^in++++0=o'
gold ^nn++++=gold
guineas ^nns++++=guineas,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
one ^pn++++=one.
. ^zz++++=EXTRAWORD
" ^zz++++="'And
' ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
heard ^vprf+++xvbnx+=heard
of ^in++++0=o'
gold ^nn++++=gold
bracelets ^nns+nom+++=bracelets
and ^cc++++=and
ear ^nn++++=ear-rings
- ^zz++++=EXTRAWORD
rings ^nns++++=EXTRAWORD
and ^cc++++=and
finger ^nn++++=finger-rings
- ^zz++++=EXTRAWORD
rings ^nns++++=EXTRAWORD
all ^abn++++=all
sparklin ^nn+++??+=sparklin'
' ^zz++++=EXTRAWORD
with ^in++++=with
diamonds ^nns++++=diamonds,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
another ^dt++++=another.
. ^zz++++=EXTRAWORD
" ^zz++++="'Maybe
' ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
old ^jj+atrb+++=old
silver ^nn++++=silver
plate ^nn++++=plate
from ^in++++=from
some ^dti++++=some
of ^in++++0=o'
them ^pp3o+pp3+++=them
old ^jj+atrb+++=old
West ^np+pl+++=West
Indian ^jj+atrb+++=Indian
grandees ^nns+nom+++=grandees,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
another ^dt++++=another.
. ^zz++++=EXTRAWORD
" ^zz++++="'Wal,
' ^zz++++=EXTRAWORD
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
whatever ^nn+nom+++=whatever
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mother ^nn++++=Mother
Hokum ^np+++??+=Hokum,
, ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
be ^vbi++vrb++=be
into ^in++++=into
it ^pp3+it+++=it,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="'Wal,
' ^zz++++=EXTRAWORD
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Sam ^np++++=Sam,
, ^zz++++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
jine ^nn+++??+=jine?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
they ^pp3a+pp3+++=they.
. ^zz++++=EXTRAWORD
" ^zz++++="'Wal,
' ^zz++++=EXTRAWORD
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
boys ^nns++++=boys,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
kind ^rb+hdg+++=kind
of ^+hdg"+++0=o'
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
feel ^vb+vprv+++=feel
jest ^rb++++=jest
like ^in++++=like
j ^zz++++=j'inin'.
'inin'. ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
clear ^jj++++=clear
about ^in++++=about
the ^ati++++=the
rights ^nns++++=rights
o ^zz++++=on't:
n't ^xnot++not++0=EXTRAWORD
: ^zz++++=EXTRAWORD
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
me ^vbi++++=me
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
mighty ^jj++++=mighty
nigh ^rb++++=nigh
like ^in++++=like
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
Devil ^nn++++=Devil
for ^in++++=for
money ^nn++++=money.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Wal,'
' ^zz++++=EXTRAWORD
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mother ^nn++++=Mother
Hokum ^np+++??+=Hokum,
, ^zz++++=EXTRAWORD
' ^zz++++='what
what ^wdt+who+++=EXTRAWORD
if ^cs+cnd+++=if
' ^zz++++='tis?
tis ^vbz+++??+=EXTRAWORD
? ^zz++++=EXTRAWORD
Money ^np++++=Money's
's ^$++++=EXTRAWORD
money ^nn++++=money,
, ^zz++++=EXTRAWORD
get ^vb++++=get
it ^pp3+it+++=it
how ^wrb+who+++=how
ye ^pp2+pp2+++=ye
will ^md+prd+++=will;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Devil ^np++++=Devil's
's ^$++++=EXTRAWORD
money ^nn++++=money
'll ^md+prd+++0='ll
buy ^vb++++=buy
as ^ql++++=as
much ^ap++++=much
meat ^nn++++=meat
as ^in++++=as
any ^dti++++=any.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
go ^vb++++=go
to ^in++++=to
the ^ati++++=the
Devil ^nn++++=Devil,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
good ^jj+atrb+++=good
money ^nn++++=money.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Wal,
' ^zz++++=EXTRAWORD
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess
I ^pp1a+pp1+++=I
would ^md+prd+++=wouldn't,'
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
' ^zz++++='Don't
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
' ^zz++++='member
member ^nn++++=EXTRAWORD
the ^ati++++=the
sermon ^nn++++=sermon
Parson ^nn++++=Parson
Lothrop ^np+++??+=Lothrop
preached ^vbd+++xvbn+=preached
about ^in++++=about
hastin ^nn+++??+=hastin'
' ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
rich ^jj+pred+++=rich,
, ^zz++++=EXTRAWORD
last ^jj+atrb+++=last
sabba ^nn+++??+=sabba'
' ^zz++++=EXTRAWORD
day ^nn++++=day?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Parson
' ^zz++++=EXTRAWORD
parson ^nn++++=EXTRAWORD
Lothrop ^np+++??+=Lothrop
be ^vb+be+aux++=be
hanged ^vpsv++agls+xvbnx+=hanged!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
' ^zz++++='Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
like ^vb++++=like
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
a ^at++++=a
parson ^nn++++=parson
with ^in++++=with
his ^pp$+pp3+++=his
silk ^nn++++=silk
stockin ^nn+++??+=stockin's
's ^$++++=EXTRAWORD
and ^cc++++=and
great ^jj+atrb+++=great
gold ^nn++++=gold-headed
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
cane ^nn++++=cane,
, ^zz++++=EXTRAWORD
a ^at++++=a
lollopin ^nn+++??+=lollopin'
' ^zz++++=EXTRAWORD
on ^in++++=on
his ^pp$+pp3+++=his
carriage ^nn+nom+++=carriage
behind ^in+pl+++=behind
his ^pp$+pp3+++=his
fat ^nn++++=fat,
, ^zz++++=EXTRAWORD
prancin ^nn+++??+=prancin'
' ^zz++++=EXTRAWORD
hosses ^nns+++??+=hosses,
, ^zz++++=EXTRAWORD
comin ^nn+++??+=comin'
' ^zz++++=EXTRAWORD
to ^in++++=to
meetin ^nn+++??+=meetin'
' ^zz++++=EXTRAWORD
to ^to++++=to
preach ^vbi++++=preach
to ^in++++=to
us ^pp1o+pp1+++=us
poor ^jj+atrb+++=poor
folks ^nns++++=folks
not ^xnot++not++=not
to ^to++++=to
want ^vbi++++=want
to ^to+vcmp+++=to
be ^vbi++vrb++=be
rich ^jj+pred+++=rich!
! ^zz++++=EXTRAWORD
How ^wrb+who+whq++0=How'd
'd ^md+prd+vrb++=EXTRAWORD
he ^pp3a+pp3+++=he
like ^vb++++=like
it ^pp3+it+++=it
to ^in++++=to
have ^vbi+vbi+aux++=have
forty- ^vb+++??+=forty-'leven
'leven ^vbd+++xvbn+0=EXTRAWORD
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
to ^to++++=to
put ^vbi++++=put
onto ^in++++=onto
them ^pp3o+pp3+++0='em
or ^cc++++=or
into ^in++++=into
' ^zz++++='em,
em ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wonder ^vb++++=wonder?
? ^zz++++=EXTRAWORD
Guess ^vb++++=Guess
if ^cs+cnd+++=if
Lady ^npt++++=Lady
Lothrop ^np+++??+=Lothrop
had ^md"++pmd"++=had
to ^md+nec+++=to
rub ^vb++++=rub
and ^cc++++=and
scrub ^nn++++=scrub,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wear ^nn++++=wear
her ^pp3o+pp3+++=her
fingers ^nns+nom+++=fingers
to ^in++++=to
the ^ati++++=the
bone ^nn++++=bone
as ^ql++++=as
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
be ^vbi++vrb++=be
rich ^jj+pred+++=rich;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
guess ^vb++++=guess
the ^ati++++=the
parson ^nn++++=parson,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
a ^at++++=a
bellyful ^nn+nom+++=bellyful
for ^in++++=for
a ^at++++=a
week ^nn++++=week,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+vrb++=be
for ^in++++=for
diggin ^nn+++??+=diggin'
' ^zz++++=EXTRAWORD
up ^rp++++=up
Kidd ^np++++=Kidd's
's ^$++++=EXTRAWORD
money ^nn++++=money,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
doing ^vbg+++xvbg+=doing
' ^zz++++='most
most ^ql+emph+++=EXTRAWORD
any ^dti++++=any
thing ^nn++++=thing
else ^rb+cnj+++=else
to ^to++++=to
make ^vbi++++=make
the ^ati++++=the
pot ^nn++++=pot
bile ^nn++++=bile.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Wal,'
' ^zz++++=EXTRAWORD
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
' ^zz++++='I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
kind ^rb+hdg+splt++=kind
of ^+hdg"+++0=o'
go ^vb++++=go
with ^in++++=with
ye ^pp2+pp2+++=ye,
, ^zz++++=EXTRAWORD
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
see ^vb+vprv+++=see
how ^wrb+who+whcl++=how
things ^nns++++=things
turn ^vb++++=turn
out ^rb+phrv+++=out;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
guess ^vb++++=guess
I ^pp1a+pp1+++=I
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
no ^at++++=no
shere ^nn+++??+=shere
i ^pp1a+pp1+++=in't,'
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
got ^vbd+++xvbnx+=got
it ^pp3+it+++=it
all ^abn++++=all
planned ^jj+++xvbn+=planned
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
was ^vbd+bedz+aux++=was
to ^to++++=to
wait ^vbi++++=wait
till ^in++++=till
the ^ati++++=the
full ^jj+atrb+++=full
moon ^nn++++=moon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
they ^pp3a+pp3+++=they
