Slowly ^rb+cnj+++=Slowly,
performances ^nns+nom+++=performances
he ^pp3a+pp3+++=he
climbed ^vbd+++xvbnx+=climbed
the ^ati++++=the
stairs ^nns++++=stairs
of ^in++++=of
the ^ati++++=the
opera ^nn++++=opera
and ^cc++++=and
sat ^vbd+++xvbn+=sat,
, ^zz++++=EXTRAWORD
an ^at++++=an
attentive ^jj+atrb+++=attentive
listener ^nn+nom+++=listener
to ^in++++=to
the ^ati++++=the
orchestra ^nn++++=orchestra,
, ^zz++++=EXTRAWORD
with ^in++++=with
one ^cd1++++=one
ear ^nn++++=ear
inclined ^jj+++xvbn+=inclined
to ^to+jcmp+++=to
the ^ati++++=the
stage ^nn++++=stage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
quizzical ^jj+atrb+++=quizzical
expression ^nn++++=expression
on ^in++++=on
his ^pp$+pp3+++=his
wrinkled ^vwbn+++xvbn+=wrinkled
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
would ^md+prd+++=would
go ^vb++++=go
home ^nr++++=home,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pat ^np++++=pat
Minesse ^np+nom++??+=Minesse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fondle ^vb++++=fondle
the ^ati++++=the
violin ^nn++++=violin.
. ^zz++++=EXTRAWORD
" ^zz++++="Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Minesse ^np+nom++??+=Minesse,
, ^zz++++=EXTRAWORD
dose ^nn++++=dose
new ^jj+atrb+++=new
player ^nn++++=player!
! ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
one ^cd1++++=one
bit ^nn++++=bit
can ^md+pos+++=can
dey ^vb+++??+=dey
play ^nn++++=play.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
tones ^nns++++=tones,
, ^zz++++=EXTRAWORD
Minesse ^np+nom++??+=Minesse,
, ^zz++++=EXTRAWORD
such ^abl++++=such
tones ^nns++++=tones!
! ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
time ^nn++++=time
portemento ^nn+++??+=portemento,
, ^zz++++=EXTRAWORD
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
ver ^jjr++++=ver'
' ^zz++++=EXTRAWORD
bad ^jj++++=bad!
! ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
mon ^&fw++++=mon
chere ^nn+++??+=chere
violon ^nn+++??+=violon,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
can ^md+pos+++=can
play ^vb++++=play."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
he ^pp3a+pp3+++=he
would ^md+prd+++=would
play ^vb++++=play
and ^cc+phrs+++=and
sing ^vb++++=sing
a ^at++++=a
romance ^nn+nom+++=romance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
smile ^nn++++=smile
tenderly ^vb++++=tenderly
to ^to+vcmp+++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
it ^pp3+it+++=it
used ^md"++pmd"++=used
to ^to++++=to
be ^vbi++vrb++=be
into ^in++++=into
the ^ati++++=the
deuxiemes ^nns+++??+=deuxiemes
that ^tht+rel+obj++=that
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
Fortier ^np+++??+=Fortier
went ^vbd+++xvbn+=went,
, ^zz++++=EXTRAWORD
into ^in++++=into
the ^ati++++=the
front ^jjb+atrb+++=front
seats ^nns++++=seats.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
soon ^rb+tm+++=soon
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
too ^ql++++=too
expensive ^jj++++=expensive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^in++++=after
all ^abn++++=all,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
could ^md+pos+++=could
hear ^vb+vprv+++=hear
just ^rb+emph+++=just
as ^rb++++=as
well ^rb++++=well
in ^in++++=in
the ^ati++++=the
fourth ^od++++=fourth
row ^nn++++=row
as ^in++++=as
in ^in"++++=in
the ^ati++++=the
first ^rb++++=first.
. ^zz++++=EXTRAWORD
After ^in++++=After
a ^at++++=a
while ^cs+sub+++=while
even ^rb++++=even
the ^ati++++=the
rear ^jjb+atrb+++=rear
row ^nn++++=row
of ^in++++=of
the ^ati++++=the
deuxiemes ^nns+++??+=deuxiemes
was ^vbd+bedz+vrb++=was
too ^ql++++=too
costly ^jj++++=costly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
little ^jj+atrb+++=little
musician ^nn++++=musician
wended ^vbd+++xvbn+=wended
his ^pp$+pp3+++=his
way ^nn++++=way
with ^in++++=with
the ^ati++++=the
plebeians ^nns++++=plebeians
around ^rp++++=around
on ^in++++=on
Toulouse ^np+++??+=Toulouse
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
climbed ^vbd+++xvbn+=climbed
the ^ati++++=the
long ^jj+atrb+++=long,
, ^zz++++=EXTRAWORD
tedious ^jj+atrb+++=tedious
flight ^nn++++=flight
of ^in++++=of
stairs ^nns++++=stairs
into ^in++++=into
the ^ati++++=the
troisiemes ^nns+++??+=troisiemes.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
makes ^vbz++++=makes
no ^at++++=no
difference ^nn+nom+++=difference
to ^to++++=to
be ^vbi++vrb++=be
one ^cd1++++=one
row ^nn++++=row
higher ^jjr++++=higher.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
to ^in++++=to
the ^ati++++=the
liking ^nvbg+++xvbg+=liking,
, ^zz++++=EXTRAWORD
after ^in++++=after
all ^abn++++=all.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
felt ^vbd+vprv++xvbn+=felt
more ^rbr++++=more
at ^in++++=at
home ^nr++++=home
up ^rp++++=up
here ^rn+pl+++=here
among ^in++++=among
the ^ati++++=the
people ^nn++++=people.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
one ^cd1++++=one
was ^vbd+bedz+vrb++=was
thirsty ^jj+pred+++=thirsty,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
could ^md+pos+++=could
drink ^vb++++=drink
a ^at++++=a
glass ^nn++++=glass
of ^in++++=of
wine ^nn++++=wine
or ^cc++++=or
beer ^nn++++=beer
being ^xvbg+++xvbg+=being
passed ^vbd+++xvbn+=passed
about ^in++++=about
by ^in++++=by
the ^ati++++=the
libretto ^nn++++=libretto
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
music ^nn++++=music
sounded ^vbd+++xvbn+=sounded
just ^rb+emph+++=just
as ^rb++++=as
well ^rb++++=well.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
happened ^vbd+++xvbn+=happened
one ^cd1++++=one
night ^nn++++=night
that ^tht+rel+obj++=that
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
could ^md+pos+++=could
not ^xnot++not++=not
even ^rb++++=even
afford ^vb++++=afford
to ^to+vcmp+++=to
climb ^vbi++++=climb
the ^ati++++=the
Toulouse ^np+++??+=Toulouse
Street ^nn++++=Street
stairs ^nns++++=stairs.
. ^zz++++=EXTRAWORD
To ^to++++=To
be ^vbi++vrb++=be
sure ^jj+pred+++=sure,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
yet ^rb++++=yet
another ^dt++++=another
gallery ^nn+nom+++=gallery,
, ^zz++++=EXTRAWORD
the ^ati++++=the
quatriemes ^nns+++??+=quatriemes,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
peanut ^nn+++??+=peanut
boys ^nns++++=boys
went ^vbd+++xvbn+=went
for ^in+ppvb+++=for
a ^at++++=a
dime ^nn+++??+=dime,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
could ^md+pos+++=could
not ^xnot++not++=not
get ^vb++++=get
down ^rb+phrv+++=down
to ^in+ppvb+++=to
that ^dt+dem+++=that
yet ^cc++++=yet.
. ^zz++++=EXTRAWORD
So ^ql++++=So
he ^pp3a+pp3+++=he
stayed ^vbd+++xvbnx+=stayed
outside ^jjb++++=outside
until ^cs+sub+++=until
all ^abn++++=all
the ^ati++++=the
beautiful ^jj+atrb+++=beautiful
women ^nns++++=women
in ^in++++=in
their ^pp$+pp3+++=their
warm ^jj+atrb+++=warm
wraps ^nns+++??+=wraps,
, ^zz++++=EXTRAWORD
a ^at++++=a
bright ^jj++++=bright-hued
- ^zz++++=EXTRAWORD
hued ^jj+atrb++xvbn+=EXTRAWORD
chattering ^jj+atrb+++=chattering
throng ^nn++++=throng,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
down ^in++++=down
the ^ati++++=the
grand ^jj+atrb+++=grand
staircase ^nn++++=staircase
to ^in++++=to
their ^pp$+pp3+++=their
carriages ^nns+nom+++=carriages.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
on ^in++++=on
one ^pn++++=one
of ^in++++=of
these ^dt+dem+++=these
nights ^nns++++=nights
that ^tht+rel+obj++=that
Courcey ^np+++??+=Courcey
and ^cc++++=and
Martel ^np+++??+=Martel
found ^vbd+vprv+tht0+xvbn+=found
him ^pp3o+pp3+++=him
shivering ^vbg+++xvbg+=shivering
at ^rb++++=at
the ^ati++++=the
corner ^nn++++=corner.
. ^zz++++=EXTRAWORD
" ^zz++++="Hello,
hello ^rb+dspt+++=EXTRAWORD
, ^zz++++=EXTRAWORD
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
Fortier ^np+++??+=Fortier,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Courcey ^np+++??+=Courcey,
, ^zz++++=EXTRAWORD
" ^zz++++="are
are ^vb+ber+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
ready ^jj++++=ready
to ^to+jcmp+++=to
let ^vbi++++=let
me ^pp1o+pp1+++=me
have ^vb+hv+vrb++=have
that ^dt+dem+++=that
violin ^nn++++=violin
yet ^cc++++=yet?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
shame ^nn++++=shame!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
interrupted ^xvbn+++xvbn+=interrupted
Martel ^np+++??+=Martel.
. ^zz++++=EXTRAWORD
" ^zz++++="Fifty
fifty ^cd++++=EXTRAWORD
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
continued ^vbd+++xvbn+=continued
Courcey ^np+++??+=Courcey,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
no ^at++++=no
heed ^nn++++=heed
of ^in++++=of
his ^pp$+pp3+++=his
friend ^nn++++=friend's
's ^$++++=EXTRAWORD
interpolation ^nn+nom+++=interpolation.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
Fortier ^np+++??+=Fortier
made ^vbd+++xvbn+=made
a ^at++++=a
courtly ^jj+atrb+++=courtly
bow ^nn++++=bow.
. ^zz++++=EXTRAWORD
" ^zz++++="Eef
eef ^nn+++??+=EXTRAWORD
Monsieur ^npt++++=Monsieur
will ^md+prd+++=will
call ^vb++++=call
at ^rb++++=at
my ^pp$+pp1+++=my
' ^zz++++='ouse
ouse ^np++++=EXTRAWORD
on ^in++++=on
de ^&fw++++=de
morrow ^nn++++=morrow,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
may ^md+pos+++=may
have ^vb+hv+vrb++=have
mon ^&fw++++=mon
violon ^nn+++??+=violon,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
huskily ^rb++++=huskily;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
turned ^vbd+++xvbn+=turned
abruptly ^rb++++=abruptly
on ^in++++=on
his ^pp$+pp3+++=his
heel ^nn++++=heel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vpsv++agls+xvbn+=went
down ^in++++=down
Bourbon ^np+++??+=Bourbon
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
shoulders ^nns+nom+++=shoulders
drawn ^vwbn+++xvbn+=drawn
high ^np++++=high
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
were ^vbd+bed+vrb++=were
cold ^jj+pred+++=cold.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Courcey ^np+++??+=Courcey
and ^cc++++=and
Martel ^np+++??+=Martel
entered ^vbd+++xvbn+=entered
the ^ati++++=the
gate ^nn++++=gate
of ^in++++=of
the ^ati++++=the
little ^ap++++=little
house ^npl++++=house
on ^in++++=on
Bayou ^np+++??+=Bayou
Road ^nn++++=Road
the ^ati++++=the
next ^ap++++=next
day ^nn++++=day,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
floated ^vbd+++xvbn+=floated
out ^rp+pl+++=out
to ^in++++=to
their ^pp$+pp3+++=their
ears ^nns++++=ears
a ^at++++=a
wordless ^jj+atrb+++=wordless
song ^nn++++=song
thrilling ^jj++++=thrilling
from ^in++++=from
the ^ati++++=the
violin ^nn++++=violin,
, ^zz++++=EXTRAWORD
a ^at++++=a
song ^nn++++=song
that ^tht+rel+subj++=that
told ^vbd+vpub++xvbn+=told
more ^rbr++++=more
than ^in++++=than
speech ^nn++++=speech
or ^cc++++=or
tears ^nns++++=tears
or ^cc++++=or
gestures ^nns++++=gestures
could ^md+pos+++=could
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
of ^in++++=of
the ^ati++++=the
utter ^jjb+atrb+++=utter
sorrow ^nn++++=sorrow
and ^cc++++=and
desolation ^nn+nom+++=desolation
of ^in++++=of
the ^ati++++=the
little ^jj+atrb+++=little
old ^jj+atrb+++=old
man ^nn++++=man.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
walked ^vbd+++xvbnx+=walked
softly ^rb++++=softly
up ^rp++++=up
the ^ati++++=the
short ^jj+atrb+++=short
red ^jj+atrb+++=red
brick ^nn++++=brick
walk ^nn++++=walk
and ^cc++++=and
tapped ^vpsv++agls+xvbn+=tapped
at ^in++++=at
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Within ^in+strn+++=Within,
, ^zz++++=EXTRAWORD
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
Fortier ^np+++??+=Fortier
was ^vbd+bedz+aux++=was
caressing ^vbg+++xvbgx+=caressing
the ^ati++++=the
violin ^nn++++=violin,
, ^zz++++=EXTRAWORD
with ^in++++=with
silent ^jj+atrb+++=silent
tears ^nns++++=tears
streaming ^vwbg+++xvbg+=streaming
down ^rp++++=down
his ^pp$+pp3+++=his
wrinkled ^vwbn+++xvbn+=wrinkled
gray ^np++++=gray
face ^nn++++=face.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
much ^ap++++=much
said ^vprf+++xvbn+=said
on ^in++++=on
either ^dtx++++=either
side ^nn++++=side.
. ^zz++++=EXTRAWORD
Courcey ^np+++??+=Courcey
came ^vbd+++xvbn+=came
away ^rp+pl+++=away
with ^in++++=with
the ^ati++++=the
instrument ^nn+nom+++=instrument,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
the ^ati++++=the
money ^nn++++=money
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Martel ^np+++??+=Martel
grumbled ^vbd+++xvbn+=grumbled
at ^in++++=at
the ^ati++++=the
essentially ^rb+down+++=essentially
sordid ^jj++++=sordid,
, ^zz++++=EXTRAWORD
mercenary ^nn+nom+++=mercenary
spirit ^nn++++=spirit
of ^in++++=of
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
Fortier ^np+++??+=Fortier
turned ^vbd+++xvbn+=turned
back ^rb+phrv+++=back
into ^in++++=into
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
after ^in++++=after
bowing ^xvbg+++xvbg+=bowing
his ^pp$+pp3+++=his
visitors ^nns++++=visitors
out ^rp+pl+++=out
with ^in++++=with
old ^jj++++=old-time
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
French ^nn++++=French
courtliness ^nns+nom+++=courtliness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turning ^nvbg+++xvbg+=turning
to ^in++++=to
the ^ati++++=the
sleepy ^jj+atrb+++=sleepy
white ^jj+atrb+++=white
cat ^nn++++=cat,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said
with ^in++++=with
a ^at++++=a
dry ^jj+atrb+++=dry
sob ^nn++++=sob:
: ^zz++++=EXTRAWORD
" ^zz++++="Minesse,
minesse ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
dere ^nns++++=dere's
's ^$++++=EXTRAWORD
only ^rb+down+++=only
me ^pp1o+pp1+++=me
and ^cc++++0=an'
you ^pp2+pp2+++=you
now ^rn+tm+++=now."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
About ^in++++=About
six ^cd++++=six
days ^nns++++=days
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
Courcey ^np++++=Courcey's
's ^$++++=EXTRAWORD
morning ^nn++++=morning
dreams ^nps++++=dreams
were ^vbd+bed+aux++=were
disturbed ^vpsv++by+xvbnx+=disturbed
by ^in++++=by
the ^ati++++=the
announcement ^nn+nom+++=announcement
of ^in++++=of
a ^at++++=a
visitor ^nn++++=visitor.
. ^zz++++=EXTRAWORD
Hastily ^rb++++=Hastily
doing ^vbg+++xvbg+=doing
a ^at++++=a
toilet ^nn++++=toilet,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
descended ^vbd+++xvbnx+=descended
the ^ati++++=the
stairs ^nns++++=stairs
to ^to++++=to
find ^vbi+vprv+tht0++=find
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
Fortier ^np+++??+=Fortier
nervously ^rb++++=nervously
pacing ^vbg+++xvbg+=pacing
the ^ati++++=the
hall ^nn++++=hall
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
come ^vb++++=come
fo ^nn+++??+=fo'
' ^zz++++=EXTRAWORD
bring ^vb++++=bring
back ^rb+phrv+++=back
you ^pp2+pp2+++=you'
' ^zz++++=EXTRAWORD
money ^nn++++=money,
, ^zz++++=EXTRAWORD
yaas ^nns+++??+=yaas.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
sleep ^vb++++=sleep,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
eat ^vb++++=eat,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
only ^rb+down+++=only
cry ^nn++++=cry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
t ^zz++++=t'ink,
'ink, ^nn+++??+=EXTRAWORD
and ^cc++++=and
weesh ^nn+++??+=weesh
fo ^nn+++??+=fo'
' ^zz++++=EXTRAWORD
mon ^&fw++++=mon
violon ^nn+++??+=violon;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Minesse ^np+nom++??+=Minesse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
de ^&fw++++=de
ol ^nn+++??+=ol'
' ^zz++++=EXTRAWORD
woman ^nn++++=woman
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
dey ^nn+++??+=dey
mope ^nn+++??+=mope
and ^cc++++0=an'
look ^vb++++=look
bad ^jj++++=bad
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
all ^abn++++=all
for ^in++++=for
mon ^&fw++++=mon
violon ^nn+++??+=violon.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
try ^vb++++=try
fo ^nn+++??+=fo'
' ^zz++++=EXTRAWORD
to ^to++++=to
use ^vbi++++=use
dat ^nn+++??+=dat
money ^nn++++=money,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
eet ^pp3+pp3+++=eet
burn ^nn++++=burn
and ^cc++++0=an'
sting ^nn++++=sting
lak ^nn+++??+=lak
blood ^nn++++=blood
money ^nn++++=money.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
lak ^nn+++??+=lak'
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
done ^vbd+++xvbnx+=done
sol ^np++++=sol'
' ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
child ^nn++++=child.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
go ^vb++++=go
at ^rb++++=at
l ^zz++++=l'opera
'opera ^nn+++??+=EXTRAWORD
no ^at++++=no
mo ^np++++=mo',
', ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
t ^zz++++=t'ink
'ink ^nn+++??+=EXTRAWORD
of ^in++++=of
mon ^&fw++++=mon
violon ^nn+++??+=violon.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
starve ^vb++++=starve
befo ^nn+++??+=befo'
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
live ^vb++++=live
widout ^nn+++??+=widout.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
broke ^vpsv++agls+xvbnx+=broke,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
die ^vb++++=die
for ^in++++=for
mon ^&fw++++=mon
violon ^nn+++??+=violon."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Courcey ^np+++??+=Courcey
left ^vbd+++xvbn+=left
the ^ati++++=the
room ^nn++++=room
and ^cc++++=and
returned ^vpsv++agls+xvbn+=returned
with ^in++++=with
the ^ati++++=the
instrument ^nn+nom+++=instrument.
. ^zz++++=EXTRAWORD
" ^zz++++="M'sieu
my ^pp$+pp1+++0=EXTRAWORD
sieu ^nn+++??+=EXTRAWORD
Fortier ^np+++??+=Fortier,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
bowing ^vbg+++xvbg+=bowing
low ^jj++++=low,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
handed ^vbd+++xvbnx+=handed
the ^ati++++=the
case ^nn++++=case
to ^in++++=to
the ^ati++++=the
little ^jj+atrb+++=little
man ^nn++++=man,
, ^zz++++=EXTRAWORD
" ^zz++++="take
take ^vb++++=EXTRAWORD
your ^pp$+pp2+++=your
violin ^nn++++=violin;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
whim ^nn+++??+=whim
with ^in++++=with
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
a ^at++++=a
passion ^nn++++=passion
with ^in++++=with
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
as ^in++++=as
for ^in"++++=for
the ^ati++++=the
money ^nn++++=money,
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why,
, ^zz++++=EXTRAWORD
keep ^vb++++=keep
that ^cs+sub+++=that
too ^ql++++=too;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
worth ^in++++=worth
a ^at++++=a
hundred ^cd++++=hundred
dollars ^nns++++=dollars
to ^in++++=to
have ^vbi+vbi+aux++=have
possessed ^vbd+++xvbn+=possessed
such ^abl++++=such
an ^at++++=an
instrument ^nn+nom+++=instrument
even ^rb++++=even
for ^in++++=for
six ^cd++++=six
days ^nns++++=days."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
