Repeated ^jj+atrb++xvbn+=REPEATED
rasp ^nn+++??+=rasp
me ^pp1o+pp1+++=me
to ^to++++=to
have ^vbi++vrb++=have
dem ^&fw++++=dem
common ^jj+atrb+++=common
sojers ^nn++++=sojers
cavortin ^nn+++??+=cavortin'
' ^zz++++=EXTRAWORD
roun ^nn+++??+=roun'
' ^zz++++=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
kitchen ^nn++++=kitchen
like ^in++++=like
dat ^nn+++??+=dat.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
alway ^nn+++??+=alway'
' ^zz++++=EXTRAWORD
stood ^vbd+++xvbn+=stood
aroun ^nn+++??+=aroun'
' ^zz++++=EXTRAWORD
an ^at++++=an
kep ^nn+++??+=kep'
' ^zz++++=EXTRAWORD
things ^nns++++=things
straight ^rb+cnj+++=straight,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did;
; ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
sometimes ^rb++++=sometimes
dey ^nn+++??+=dey'd
'd ^md+prd+vrb++0=EXTRAWORD
git ^np++++=git
my ^pp$+pp1+++=my
dander ^jjr++++=dander
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
den ^&fw++++=den
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
make ^vb++++=make
them ^pp3o+pp3+++0='em
clar ^nn+++??+=clar
dat ^nn+++??+=dat
kitchen ^nn++++=kitchen
mine ^pp$$++++=mine
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you!
! ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
night ^nn++++=night--it
-- ^--+clp+++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
Friday ^nr++++=Friday
night ^nn++++=night--dey
-- ^--+clp+++=EXTRAWORD
dey ^nn+++??+=EXTRAWORD
comes ^vbz++++=comes
a ^at++++=a
whole ^jj+atrb+++=whole
platoon ^nn++++=platoon
f ^zz++++=f'm
'm ^vb+bem+vrb++0=EXTRAWORD
a ^at++++=a
nigger ^nn++++=nigger
ridgment ^nn+nom+++=ridgment
da ^np++++=da
was ^vbd+bedz+aux++=was
on ^in++++=on
guard ^vb++++=guard
at ^rb++++=at
de ^&fw++++=de
house ^nn++++=house--de
-- ^--+clp+++=EXTRAWORD
de ^&fw++++=EXTRAWORD
house ^npl++++=house
was ^vbd+bedz+vrb++=was
head ^jjb+atrb+++=head
quarters ^nns+nom+++=quarters,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know-an'
- ^zz++++=EXTRAWORD
and ^cc++++0=EXTRAWORD
den ^&fw++++=den
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
jist ^nn++++=jist
a ^at++++=a-bilin'
- ^zz++++=EXTRAWORD
bilin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
mad ^jj++++=mad?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
jist ^nn++++=jist
a-boomin ^nn+++??+=a-boomin'!
'! ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
swelled ^vbd+++xvbnx+=swelled
aroun ^nn+++??+=aroun',
', ^nn+++??+=EXTRAWORD
an ^at++++=an
swelled ^jj+atrb++xvbn+=swelled
aroun ^nn+++??+=aroun';
'; ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
jist ^nn++++=jist
was ^vbd+bedz+vrb++=was
a ^at++++=a-itchin'
- ^zz++++=EXTRAWORD
itchin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
for ^in++++=for
them ^pp3o+pp3+++0='em
to ^to++++=to
do ^vbi++++=do
somefin ^nn+++??+=somefin
for ^in++++=for
to ^to++++=to
start ^vbi++++=start
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
And ^cc+cls+++0=An'
dey ^nn+++??+=dey
was ^vbd+bedz+vrb++=was
a ^at++++=a-waltzin'
- ^zz++++=EXTRAWORD
waltzin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
an ^at++++=an
a ^at++++=a
dancin ^nn+++??+=dancin'!
'! ^nn+++??+=EXTRAWORD
my ^pp$+pp1+++=my
but ^cc++++=but
dey ^nn+++??+=dey
was ^vbd+bedz+vrb++=was
havin ^nn+++??+=havin'
' ^zz++++=EXTRAWORD
a ^at++++=a
time ^nn++++=time!
! ^zz++++=EXTRAWORD
an ^at++++=an
I ^pp1a+pp1+++=I
jist ^nn++++=jist
a ^at++++=a-swellin'
- ^zz++++=EXTRAWORD
swellin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++0=an'
a ^at++++=a-swellin'
- ^zz++++=EXTRAWORD
swellin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
up ^rp++++=up!
! ^zz++++=EXTRAWORD
Pooty ^np+++??+=Pooty
soon ^rb+cnj+++=soon,
, ^zz++++=EXTRAWORD
' ^zz++++='long
long ^rb++++=EXTRAWORD
comes ^vbz++++=comes
sich ^&fw++++=sich
a ^at++++=a
spruce ^nn++++=spruce
young ^jj+atrb+++=young
nigger ^nn++++=nigger
a ^at++++=a-sailin'
- ^zz++++=EXTRAWORD
sailin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
down ^rp++++=down
de ^&fw++++=de
room ^nn++++=room
wid ^in++++=wid
a ^at++++=a
yaller ^jjr+atrb+++=yaller
wench ^nn+++??+=wench
roun ^nn+++??+=roun'
' ^zz++++=EXTRAWORD
de ^&fw++++=de
wais ^nns+++??+=wais';
'; ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
roun ^nn+++??+=roun
and ^cc++++0=an'
roun ^nn+++??+=roun'
' ^zz++++=EXTRAWORD
an ^at++++=an
roun ^nn+++??+=roun'
' ^zz++++=EXTRAWORD
dey ^nn+++??+=dey
went ^vbd+++xvbn+=went,
, ^zz++++=EXTRAWORD
enough ^qlp++++=enough
to ^to++++=to
make ^vbi++++=make
a ^at++++=a
body ^nn++++=body
drunk ^vbd+++xvbn+=drunk
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
' ^zz++++='em;
em ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
when ^wrb+who+++=when
dey ^nn+++??+=dey
got ^vbd+++xvbn+=got
abreas ^nns+++??+=abreas'
' ^zz++++=EXTRAWORD
of ^in++++0=o'
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
dey ^nn+++??+=dey
went ^vbd+++xvbn+=went
to ^in++++=to
kin ^nns++++=kin'
' ^zz++++=EXTRAWORD
of ^in++++0=o'
balancin ^nn+++??+=balancin'
' ^zz++++=EXTRAWORD
aroun ^nn+++??+=aroun'
' ^zz++++=EXTRAWORD
fust ^nn+++??+=fust
on ^in++++=on
one ^cd1++++=one
leg ^nn++++=leg
and ^cc++++0=an'
den ^&fw++++=den
on ^in++++=on
t ^zz++++=t'other,
'other, ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
smilin ^nn+++??+=smilin'
' ^zz++++=EXTRAWORD
at ^in++++=at
my ^pp$+pp1+++=my
big ^jj++++=big
red ^jj++++=red
turban ^jj++++=turban,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
makin ^nn+++??+=makin'
' ^zz++++=EXTRAWORD
fun ^nn++++=fun,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
ups ^nns"++++=ups
and ^cc++++0=an'
says ^vbz+vpub+++=says
' ^zz++++='Git
git ^np++++=EXTRAWORD
along ^in++++=along
wid ^in++++=wid
you! ^nn+++??+=you!--rubbage!'
-- ^--+clp+++=EXTRAWORD
rubbage ^nn+nom+++=EXTRAWORD
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
De ^&fw++++=De
young ^jj+atrb+++=young
man ^nn++++=man's
's ^$++++=EXTRAWORD
face ^nn++++=face
kin ^nns++++=kin'
' ^zz++++=EXTRAWORD
of ^in++++0=o'
changed ^vbd+++xvbn+=changed,
, ^zz++++=EXTRAWORD
all ^abn++++=all
of ^in++++=of
a ^at++++=a
sudden ^jj++++=sudden,
, ^zz++++=EXTRAWORD
for ^in++++=for
' ^zz++++='bout
bout ^nn++++=EXTRAWORD
a ^at++++=a
second ^od++++=second
but ^cc++++=but
den ^&fw++++=den
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
to ^in++++=to
smilin ^nn+++??+=smilin'
' ^zz++++=EXTRAWORD
ag ^nn++++=ag'in,
'in, ^nn+++??+=EXTRAWORD
same ^ap++++=same
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
befo ^nn+++??+=befo'.
'. ^nn+++??+=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
' ^zz++++='bout
bout ^nn++++=EXTRAWORD
dis ^np++++=dis
time ^nn++++=time,
, ^zz++++=EXTRAWORD
in ^in++++=in
comes ^vbz++++=comes
some ^dti++++=some
niggers ^nns+nom+++=niggers
dat ^jj+atrb++??+=dat
played ^jj+atrb++xvbn+=played
music ^nn++++=music
and ^cc++++=and
b ^zz++++=b'long'
'long' ^nn+++??+=EXTRAWORD
to ^to++++=to
de ^&fw++++=de
ban ^vb++++=ban',
', ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
dey ^nn+++??+=dey
never ^rb++++=never
could ^md+pos+++=could
git ^vb++++=git
along ^in++++=along
widout ^nn+++??+=widout
puttin ^nn+++??+=puttin'
' ^zz++++=EXTRAWORD
on ^in++++=on
airs ^&fw++++=airs.
. ^zz++++=EXTRAWORD
An ^at++++=An
de ^&fw++++=de
very ^ql+amp+++=very
fust ^vb+++??+=fust
air ^nn++++=air
dey ^vb+++??+=dey
put ^vbd+++xvbn+=put
on ^rb+phrv+++=on
dat ^nn+++??+=dat
night ^nn++++=night,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
lit ^vbd+++xvbnx+=lit
into ^in++++=into
em ^nn+++??+=em!
! ^zz++++=EXTRAWORD
Dey ^np+++??+=Dey
laughed ^vbd+++xvbn+=laughed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
dat ^nn+++??+=dat
made ^vbd+++xvbn+=made
me ^pp1o+pp1+++=me
wuss ^nns+++??+=wuss.
. ^zz++++=EXTRAWORD
De ^&fw++++=De
res ^nns+++??+=res'
' ^zz++++=EXTRAWORD
of ^in++++0=o'
de ^&fw++++=de
niggers ^nns+nom+++=niggers
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
laughin ^vb+++??+=laughin',
', ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
den ^&fw++++=den
my ^pp$+pp1+++=my
soul ^nn++++=soul
alive ^jj++++=alive
but ^cc++++=but
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
hot ^jj+pred+++=hot!
! ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
eye ^nn++++=eye
was ^vbd+bedz+vrb++=was
jist ^nn++++=jist
a-blazin ^nn+++??+=a-blazin'!
'! ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
jist ^nn++++=jist
straightened ^vbd+++xvbn+=straightened
myself ^ppl+pp1+++=myself
up ^rp++++=up
so ^ql++++=so--jist
-- ^--+clp+++=EXTRAWORD
jist ^nn++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
is ^vbz+bez+vrb++=is
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
plum ^nn++++=plum
to ^to++++=to
de ^&fw++++=de
ceilin ^nn+++??+=ceilin',
', ^nn+++??+=EXTRAWORD
mos ^nps++++=mos'-an'
'-an' ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
digs ^vbz++++=digs
my ^pp$+pp1+++=my
fists ^nns++++=fists
into ^in++++=into
my ^pp$+pp1+++=my
hips ^nns++++=hips,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
' ^zz++++='Look-a-heah!'
look ^vb++++=EXTRAWORD
- ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
- ^zz++++=EXTRAWORD
heah ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
you ^pp2+pp2+++=you
niggers ^nns+nom+++=niggers
to ^in++++=to
understan ^jj++++=understan'
' ^zz++++=EXTRAWORD
dat ^nn+++??+=dat
I ^pp1a+pp1+++=I
wa' ^nn+++??+=wa'n't
n't ^xnot++not++0=EXTRAWORD
bawn ^vbd+++xvbn+=bawn
in ^in++++=in
de ^&fw++++=de
mash ^nn+++??+=mash
to ^to++++=to
be ^vbi++vrb++=be
fool ^nn++++=fool'
' ^zz++++=EXTRAWORD
by ^in++++=by
trash ^nn++++=trash!
! ^zz++++=EXTRAWORD
I ^np++++=I's
's ^$++++=EXTRAWORD
one ^pn++++=one
of ^in++++0=o'
de ^&fw++++=de
ole ^np++++=ole
Blue ^jj+atrb+++=Blue
hen ^nn++++=hen's
's ^$++++=EXTRAWORD
Chickens ^nns++++=Chickens,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
is ^vbz+bez+vrb++=is!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++0=an'
den ^&fw++++=den
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
dat ^jj+atrb++??+=dat
young ^jj+atrb+++=young
man ^nn++++=man
stan ^np++++=stan'
' ^zz++++=EXTRAWORD
a ^at++++=a-starin'
- ^zz++++=EXTRAWORD
starin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++0=an'
stiff ^jj++++=stiff,
, ^zz++++=EXTRAWORD
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
kin ^nns++++=kin'
' ^zz++++=EXTRAWORD
of ^in++++0=o'
up ^rp++++=up
at ^in++++=at
de ^&fw++++=de
ceilin ^nn+++??+=ceilin'
' ^zz++++=EXTRAWORD
like ^in++++=like
he ^pp3a+pp3+++=he
fo ^nn+++??+=fo'got
'got ^nn+++??+=EXTRAWORD
somefin ^nn+++??+=somefin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
' ^zz++++='member
member ^nn++++=EXTRAWORD
it ^pp3+it+++=it
no ^at++++=no
mo ^np++++=mo'.
'. ^nn+++??+=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
jist ^nn++++=jist
march ^nr++++=march'
' ^zz++++=EXTRAWORD
on ^in++++=on
dem ^&fw++++=dem
niggers ^nns+nom+++=niggers--so,
-- ^--+clp+++=EXTRAWORD
so ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
gen ^npt++++=gen'l--an'
'l--an' ^nn+++??+=EXTRAWORD
dey ^nn+++??+=dey
jist ^nn++++=jist
cave ^nn++++=cave'
' ^zz++++=EXTRAWORD
away ^rp+pl+++=away
befo ^nn+++??+=befo'
' ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=me
and ^cc++++0=an'
out ^rp+pl+++=out
at ^in++++=at
de ^&fw++++=de
do ^vb+do+vrb++=do'.
'. ^nn+++??+=EXTRAWORD
And ^cc++++0=An'
as ^ql++++=as
dis ^np++++=dis
young ^jj+atrb+++=young
man ^nn++++=man
a ^at++++=a-goin'
- ^zz++++=EXTRAWORD
goin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heah ^nn+++??+=heah
him ^pp3o+pp3+++=him
say ^vb+vpub+++=say
to ^to+vcmp+++=to
another ^dt++++=another
nigger ^nn++++=nigger,
, ^zz++++=EXTRAWORD
' ^zz++++='Jim,'
jim ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
' ^zz++++='you
you ^pp2+pp2+++=EXTRAWORD
go ^vb++++=go
' ^zz++++='long
long ^rb++++=EXTRAWORD
and ^cc++++0=an'
tell ^vb++++=tell
de ^&fw++++=de
cap ^nn++++=cap'n
'n ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
be ^vb+be+vrb++=be
on ^in++++=on
han ^np++++=han'
' ^zz++++=EXTRAWORD
' ^zz++++='bout
bout ^nn++++=EXTRAWORD
eight ^cd++++=eight
o'clock ^rb++++=o'clock
in ^in++++=in
de ^&fw++++=de
mawnin ^nn+++??+=mawnin';
'; ^nn+++??+=EXTRAWORD
dey ^nn+++??+=dey's
's ^$++++=EXTRAWORD
somefin ^nn+++??+=somefin
on ^in++++=on
my ^pp$+pp1+++=my
mine ^nn++++=mine,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says;
; ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
sleep ^nn++++=sleep
no ^at++++=no
mo ^np++++=mo'
' ^zz++++=EXTRAWORD
dis ^np++++=dis
night ^nn++++=night.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
go ^vb++++=go
' ^zz++++='long,'
long ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
' ^zz++++='an'
and ^cc++++0=EXTRAWORD
leave ^nn++++=leave
me ^pp1o+pp1+++=me
by ^in++++=by
my ^pp$+pp1+++=my
own ^ap++++=own
se ^&fw++++=se'f.'
'f.' ^nn+++??+=EXTRAWORD
" ^zz++++="Dis
dis ^np++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
' ^zz++++='bout
bout ^nn++++=EXTRAWORD
one ^cd1++++=one
o'clock ^rb++++=o'clock
in ^in++++=in
de ^&fw++++=de
mawnin ^nn+++??+=mawnin'.
'. ^nn+++??+=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
' ^zz++++='bout
bout ^nn++++=EXTRAWORD
seven ^cd++++=seven,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
up ^rp++++=up
and ^cc++++0=an'
on ^in++++=on
han ^np++++=han',
', ^nn+++??+=EXTRAWORD
gittin ^nn+++??+=gittin'
' ^zz++++=EXTRAWORD
de ^&fw++++=de
officers ^nns+nom+++=officers'
' ^zz++++=EXTRAWORD
breakfast ^nn++++=breakfast.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a-stoopin'
- ^zz++++=EXTRAWORD
stoopin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
down ^rp++++=down
by ^in++++=by
de ^&fw++++=de
stove ^nn++++=stove
jist ^nn++++=jist
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
same ^ap++++=same
as ^cs+sub+++=as
if ^cs+cnd+++=if
yo ^nn+++??+=yo'
' ^zz++++=EXTRAWORD
foot ^nn++++=foot
was ^vbd+bedz+vrb++=was
de ^&fw++++=de
stove ^nn++++=stove--an'
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++0=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
opened ^vprf+++xvbnx+=opened
de ^&fw++++=de
stove ^nn++++=stove
do ^vb+do+vrb++=do'
' ^zz++++=EXTRAWORD
wid ^in++++=wid
my ^pp$+pp1+++=my
right ^jj+atrb+++=right
han ^np++++=han'--so,
'--so, ^nn+++??+=EXTRAWORD
pushin ^nn+++??+=pushin'
' ^zz++++=EXTRAWORD
it ^pp3+it+++=it
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
jist ^nn++++=jist
as ^ql++++=as
I ^pp1a+pp1+++=I
pushes ^vbz++++=pushes
yo ^nn+++??+=yo'
' ^zz++++=EXTRAWORD
foot ^nn++++=foot-an'
- ^zz++++=EXTRAWORD
and ^cc++++0=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
jist ^nn++++=jist
got ^vbd+++xvbn+=got
de ^&fw++++=de
pan ^vb++++=pan
of ^in++++0=o'
hot ^jj+atrb+++=hot
biscuits ^nns++++=biscuits
in ^in++++=in
my ^pp$+pp1+++=my
han ^np++++=han'
' ^zz++++=EXTRAWORD
and ^cc++++0=an'
was ^vbd+bedz+vrb++=was
' ^zz++++='bout
bout ^nn++++=EXTRAWORD
to ^to++++=to
raise ^vbi++++=raise
up ^rp++++=up,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
see ^vb+vprv+tht0++=see
a ^at++++=a
black ^jj+atrb+++=black
face ^nn++++=face
come ^vb++++=come
aroun ^nn+++??+=aroun'
' ^zz++++=EXTRAWORD
under ^in++++=under
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
de ^&fw++++=de
eyes ^nns++++=eyes
a ^at++++=a-lookin'
- ^zz++++=EXTRAWORD
lookin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
up ^rp++++=up
into ^in++++=into
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
jist ^nn++++=jist
as ^ql++++=as
I ^np++++=I's
's ^$++++=EXTRAWORD
a ^at++++=a-lookin'
- ^zz++++=EXTRAWORD
lookin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
up ^rp++++=up
clost ^nn+++??+=clost
under ^in++++=under
yo ^nn+++??+=yo'
' ^zz++++=EXTRAWORD
face ^nn++++=face
now ^rn+tm+++=now;
; ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
jist ^nn++++=jist
stopped ^vbd+++xvbn+=stopped
right ^jj+atrb+++=right
dah ^nn+++??+=dah,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
never ^rb++++=never
budged ^xvbn+++xvbn+=budged!
! ^zz++++=EXTRAWORD
jist ^nn++++=jist
gazed ^vbd+++xvbn+=gazed
and ^cc+phrs+++0=an'
gazed ^vbd+++xvbn+=gazed
so ^ql++++=so;
; ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
de ^&fw++++=de
pan ^vb++++=pan
begin ^vb++++=begin
to ^to++++=to
tremble ^vbi++++=tremble,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
all ^rb++++=all
of ^in++++=of
a ^at++++=a
sudden ^jj++++=sudden
I ^pp1a+pp1+++=I
knowed ^vbd+++xvbnx+=knowed!
! ^zz++++=EXTRAWORD
De ^&fw++++=De
pan ^np++++=pan
drop ^vb++++=drop'
' ^zz++++=EXTRAWORD
on ^in++++=on
de ^&fw++++=de
flo ^np++++=flo'
' ^zz++++=EXTRAWORD
and ^cc++++0=an'
I ^pp1a+pp1+++=I
grab ^vb++++=grab
his ^pp$+pp3+++=his
lef ^nn+++??+=lef'
' ^zz++++=EXTRAWORD
han ^np++++=han'
' ^zz++++=EXTRAWORD
and ^cc++++0=an'
shove ^nn++++=shove
back ^jjb++++=back
his ^pp$+pp3+++=his
sleeve ^nn++++=sleeve--jist
-- ^--+clp+++=EXTRAWORD
jist ^nn++++=EXTRAWORD
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^np++++=I's
's ^$++++=EXTRAWORD
doin ^nn+++??+=doin'
' ^zz++++=EXTRAWORD
to ^in++++=to
you ^pp2+pp2+++=you--an'
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++0=EXTRAWORD
den ^&fw++++=den
I ^pp1a+pp1+++=I
goes ^vbz++++=goes
for ^in+ppvb+++=for
his ^pp$+pp3+++=his
forehead ^nn++++=forehead
and ^cc++++0=an'
push ^nn++++=push
de ^&fw++++=de
hair ^nn++++=hair
back ^jjb++++=back
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
' ^zz++++='Boy!'
boy ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
' ^zz++++='if
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
a ^at++++=an't
n't ^xnot++not++0=EXTRAWORD
my ^pp$+pp1+++=my
Henry ^np++++=Henry,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
you ^pp2+pp2+++=you
doin ^nn+++??+=doin'
' ^zz++++=EXTRAWORD
wid ^in++++=wid
dis ^np++++=dis
welt ^&fw++++=welt
on ^in++++=on
yo ^nn+++??+=yo'
' ^zz++++=EXTRAWORD
wris ^nns+++??+=wris'
' ^zz++++=EXTRAWORD
and ^cc++++0=an'
dat ^nn+++??+=dat
sk ^nn+++??+=sk-yar
- ^zz++++=EXTRAWORD
yar ^nn+++??+=EXTRAWORD
on ^in++++=on
yo ^nn+++??+=yo'
' ^zz++++=EXTRAWORD
forehead ^nn++++=forehead?
? ^zz++++=EXTRAWORD
De ^&fw++++=De
Lord ^npt++++=Lord
God ^np++++=God
ob ^nn+++??+=ob
heaven ^nn++++=heaven
be ^vb+be+aux++=be
praise ^vb++++=praise',
', ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
my ^pp$+pp1+++=my
own ^ap++++=own
ag ^nn++++=ag'in!'
'in!' ^nn+++??+=EXTRAWORD
" ^zz++++="Oh
oh ^uh++++=EXTRAWORD
no ^at++++=no'
' ^zz++++=EXTRAWORD
Misto ^np+++??+=Misto
C ^zz++++=C-----,
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
- ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hai ^nn+++??+=hain't
n't ^xnot++not++0=EXTRAWORD
'd ^md+prd+vrb++=had
no ^at++++=no
trouble ^nn++++=trouble.
. ^zz++++=EXTRAWORD
and ^cc+cls+++=An'
no ^at++++=no
joy ^nn++++=joy!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
