Sometimes ^rb+cnj+++=Sometimes,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
rehearsed ^jj++++=rehearsed
a ^at++++=a
declaration ^nn+nom+++=declaration,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
while ^cs+sub+++=while
rehearsing ^vbg+++xvbg+=rehearsing
the ^ati++++=the
big ^jj+atrb+++=big
man ^nn++++=man
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
in ^in++++=in
and ^cc++++=and
captured ^vbd+++xvbn+=captured
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
only ^rb+down+splt++=only
read ^vprf+++xvbnx+=read
the ^ati++++=the
definite ^jj+atrb+++=definite
news ^nn++++=news
long ^rb++++=long
after ^in++++=after
by ^in++++=by
chance ^nn++++=chance
in ^in++++=in
an ^at++++=an
Arizona ^np++++=Arizona
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gulped ^vbd+++xvbnx+=gulped
his ^pp$+pp3+++=his
tea ^nn++++=tea
down ^rp++++=down.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
heart ^nn++++=heart
alternately ^rb++++=alternately
leaped ^vbd+++xvbn+=leaped
and ^cc+phrs+++=and
stood ^vbd+++xvbn+=stood
still ^jj+pred+++=still.
. ^zz++++=EXTRAWORD
A ^at++++=A
sort ^nn++++=sort
of ^in++++=of
numbness ^nns+nom+++=numbness
held ^vbd+vprv++xvbn+=held
him ^pp3o+pp3+++=him
most ^ap+emph+++=most
of ^in++++=of
that ^dt+dem+++=that
dreadful ^jj+atrb+++=dreadful
interval ^nn+nom+++=interval,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
clear ^jj+atrb+++=clear
thought ^nn+++xvbn+=thought
came ^vbd+++xvbn+=came
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
ten ^cd++++=ten
seconds ^nns++++=seconds
his ^pp$+pp3+++=his
head ^jjb++++=head
turned ^jj+++xvbn+=turned
towards ^in++++=towards
the ^ati++++=the
door ^nn++++=door
that ^tht+rel+subj++=that
rattled ^vbd+++xvbn+=rattled,
, ^zz++++=EXTRAWORD
seemed ^vb+++xvbn+=seemed
to ^to+vcmp+++=to
move ^vbi++++=move,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
never ^rb++++=never
opened ^vbd+++xvbn+=opened.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
any ^dti++++=any
moment ^nn++++=moment
now ^rn+tm+++=now
it ^pp3+it+++=it
must ^md+nec+++=must
open ^vb++++=open,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
would ^md+prd+++=would
be ^vb+be+vrb++=be
in ^in++++=in
her ^pp$+pp3+++=her
very ^ql+amp+++=very
presence ^nn+nom+++=presence,
, ^zz++++=EXTRAWORD
breathing ^nvbg+++xvbg+=breathing
the ^ati++++=the
same ^ap++++=same
air ^nn++++=air
with ^in++++=with
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
see ^vb+vprv+tht0++=see
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
charge ^nn++++=charge
himself ^ppl+pp3+++=himself
with ^in++++=with
her ^pp$+pp3+++=her
beauty ^nn++++=beauty
once ^rb+tm+++=once
more ^rbr++++=more
to ^in++++=to
the ^ati++++=the
brim ^nn++++=brim,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
go ^vb++++=go
out ^rp+pl+++=out
again ^rb+tm+++=again
into ^in++++=into
the ^ati++++=the
wilderness ^nns+nom+++=wilderness
the ^ati++++=the
wilderness ^nns+nom+++=wilderness
of ^in++++=of
life ^nn++++=life
without ^in++++=without
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
for ^in++++=for
a ^at++++=a
mere ^jjb++++=mere
ten ^cd++++=ten
years ^nns++++=years
but ^in++++=but
for ^in"++++=for
always ^rb++++=always.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
so ^ql++++=so
utterly ^rb+amp+++=utterly
beyond ^in++++=beyond
his ^pp$+pp3+++=his
reach ^nn++++=reach.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
felt ^vbd+vprv++xvbnx+=felt
like ^in++++=like
a ^at++++=a
backwoodsman ^nn+nom+++=backwoodsman,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
backwoodsman ^nn+nom+++=backwoodsman.
. ^zz++++=EXTRAWORD
For ^in++++=For
one ^cd1++++=one
thing ^nn++++=thing
only ^rb+down+++=only
was ^vbd+bedz+aux++=was
he ^pp3a+pp3+++=he
duly ^rb++++=duly
prepared ^vbd+++xvbn+=prepared,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
about ^in++++=about
it ^pp3+it+++=it
little ^ap++++=little
enough ^qlp++++=enough
she ^pp3a+pp3+++=she
would ^md+prd+++=would,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
changed ^vprf+++xvbnx+=changed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
photograph ^nn++++=photograph
he ^pp3a+pp3+++=he
owned ^vbd+++xvbnx+=owned,
, ^zz++++=EXTRAWORD
cut ^j+++xvbn+=cut
from ^in++++=from
an ^at++++=an
illustrated ^jj+atrb++xvbn+=illustrated
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
true ^jj++++=true
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
might ^md+pos+++=might
even ^rb++++=even
be ^vb+be+vrb++=be
a ^rb++++=a
little ^rb"++++=little
shock ^nn++++=shock
perhaps ^rb++++=perhaps.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
must ^md+nec+++=must
remember ^nn+nom+++=remember
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
Ten ^cd++++=Ten
years ^nns++++=years
cannot ^md+pos+not++=cannot
pass ^vb++++=pass
over ^rb+phrv+++=over
a ^at++++=a
woman ^nn++++=woman
without ^in++++=without
Before ^cs+sub+++=Before
he ^pp3a+pp3+++=he
knew ^vbd+vprv+tht0+xvbnx+=knew
it ^pp3+it+++=it
the ^ati++++=the
door ^nn++++=door
was ^vbd+bedz+vrb++=was
open ^jj+pred+++=open,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
advancing ^vbg+++xvbgx+=advancing
quietly ^rb++++=quietly
towards ^in++++=towards
him ^pp3o+pp3+++=him
across ^in+pl+++=across
the ^ati++++=the
thick ^jj+atrb+++=thick
carpet ^nn++++=carpet
that ^tht+rel+subj++=that
deadened ^vprf+++xvbn+=deadened
sound ^jj++++=sound.
. ^zz++++=EXTRAWORD
With ^in++++=With
both ^abx++++=both
hands ^nns++++=hands
outstretched ^jj++++=outstretched
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
the ^ati++++=the
sweetest ^jjt+atrb+++=sweetest
welcoming ^jj+atrb++xvbg+=welcoming
smile ^nn++++=smile
upon ^in++++=upon
her ^pp$+pp3+++=her
parted ^vbd+++xvbn+=parted
lips ^nns++++=lips
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
in ^in++++=in
any ^dti++++=any
human ^jj+atrb+++=human
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
soft ^jj+pred+++=soft
with ^in++++=with
joy ^nn++++=joy.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
whole ^jj+atrb+++=whole
heart ^nn++++=heart
leaped ^vbd+++xvbn+=leaped
within ^in++++=within
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
instant ^nn+nom+++=instant
he ^pp3a+pp3+++=he
saw ^vbd+vprv+tht0+xvbnx+=saw
her ^pp$+pp3+++=her
it ^pp3+it+++=it
all ^rb++++=all
flashed ^vbd+++xvbn+=flashed
clear ^jj++++=clear
as ^ql++++=as
sunlight ^nn++++=sunlight
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
knew ^vbd+vprv++xvbnx+=knew
and ^cc+phrs+++=and
understood ^vbd+vprv++xvbn+=understood.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
always ^rb++splt++=always
known ^vprf+++xvbnx+=known,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
always ^rb++splt++=always
understood ^vprf+++xvbnx+=understood.
. ^zz++++=EXTRAWORD
Speech ^nn++++=Speech
came ^vbd+++xvbn+=came
easily ^rb++++=easily
to ^in++++=to
him ^pp3o+pp3+++=him
in ^in++++=in
a ^at++++=a
flood ^nn++++=flood,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
he ^pp3a+pp3+++=he
needed ^vbd+++xvbnx+=needed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
need ^vb++++=need
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
all ^abn++++=all
so ^pn+emph+++=so
adorably ^jj++++=adorably
easy ^jj++++=easy,
, ^zz++++=EXTRAWORD
simple ^jj++++=simple,
, ^zz++++=EXTRAWORD
natural ^jj++++=natural,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
true ^jj++++=true.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
just ^rb+emph+++=just
took ^vbd+++xvbn+=took
her ^pp$+pp3+++=her
hands ^nns++++=hands
those ^dt+dem+++=those
welcoming ^nvbg+++xvbg+=welcoming,
, ^zz++++=EXTRAWORD
outstretched ^jj+atrb+++=outstretched
hands ^nns++++=hands
in ^in++++=in
both ^abx++++=both
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
led ^vwbn+++xvbn+=led
her ^pp$+pp3+++=her
to ^in++++=to
the ^ati++++=the
nearest ^jjt+atrb+++=nearest
sofa ^nn++++=sofa.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
even ^rb++++=even
surprised ^vbd+++xvbn+=surprised
at ^rb++++=at
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
Inevitably ^rb+cnj+++=Inevitably,
, ^zz++++=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
depths ^nns++++=depths
of ^in++++=of
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
meeting ^xvbg+++xvbg+=meeting
came ^vbd+++xvbn+=came
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
he ^pp3a+pp3+++=he
uttered ^vbd+++xvbnx+=uttered
a ^rb++++=a
little ^rb"++++=little
foolish ^jj+atrb+++=foolish
commonplace ^nn++++=commonplace,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
feared ^vbd+vprv++xvbnx+=feared
the ^ati++++=the
huge ^jj+atrb+++=huge
revulsion ^nn++++=revulsion
that ^tht+rel+obj++=that
his ^pp$+pp3+++=his
sudden ^jj+atrb+++=sudden
glory ^nn++++=glory
brought ^vbd+++xvbn+=brought,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
loved ^vpsv++agls+xvbn+=loved
to ^to+vcmp+++=to
taste ^vb++++=taste
it ^pp3+it+++=it
slowly ^rb++++=slowly:
: ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
you ^pp2+pp2+++=you
live ^vb++++=live
here ^rn+pl+++=here
still ^rb++++=still?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Here,
here ^rn+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
here ^rn+pl+++=here,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
answered ^vbd+vpub++xvbnx+=answered
softly ^rb+cnj+++=softly,
, ^zz++++=EXTRAWORD
touching ^jj+++xvbg+=touching
his ^pp$+pp3+++=his
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
her ^pp$+pp3+++=her
own ^ap++++=own.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
attached ^vpsv++agls+xvbnx+=attached
to ^in++++=to
this ^dt+dem+++=this
house ^nn++++=house,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
you ^pp2+pp2+++=you
used ^md"++pmd"++=used
to ^to++++=to
come ^vb++++=come
and ^cc+phrs+++=and
see ^vb+vprv+++=see
me ^pp1o+pp1+++=me
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
because ^cs+cos+++=because
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
here ^rn+pl+++=here
I ^pp1a+pp1+++=I
waited ^vbd+++xvbnx+=waited
so ^ql++++=so
long ^rb++++=long
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
still ^rb++++=still
wait ^vb++++=wait.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
never ^rb++splt++=never
leave ^vb++++=leave
it ^pp3+it+++=it
unless ^cs+cnd+++=unless
you ^pp2+pp2+++=you
change ^nn++++=change.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
live ^vb++++=live
together ^nn+nom+++=together
here ^rn+pl+++=here."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
leaned ^vbd+++xvbnx+=leaned
forward ^rb+phrv+++=forward
to ^in+ppvb+++=to
take ^vbi++++=take
and ^cc+phrs+++=and
hold ^vb+vprv+tht0++=hold
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
The ^ati++++=The
abrupt ^jj+atrb+++=abrupt
knowledge ^nn++++=knowledge
of ^in++++=of
it ^pp3+it+++=it
all ^rb++++=all
somehow ^rb++++=somehow
did ^vbd+dod+aux++=did
not ^xnot++not++=not
seem ^vb+seem+++=seem
abrupt ^jj++++=abrupt
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
known ^vprf++tht0+xvbnx+=known
it ^pp3+it+++=it
always ^rb++++=always;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
complete ^jj+atrb+++=complete
disclosure ^nn+++??+=disclosure
did ^vbd+dod+aux++=did
not ^xnot++not++=not
seem ^vb+seem+++=seem
disclosure ^nn+++??+=disclosure
either ^dtx++++=either
rather ^rb++++=rather
as ^cs+sub+++=as
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
something ^pn++++=something
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
inexplicably ^jj++++=inexplicably
left ^vbd+++xvbn+=left
unrealized ^vbd+++xvbn+=unrealized,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
not ^xnot++not++=not
forgotten ^vbd+vprv++xvbn+=forgotten.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
felt ^vbd+vprv++xvbnx+=felt
absolutely ^rb+amp+++=absolutely
master ^nn++++=master
of ^in++++=of
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
curious ^jj+atrb+++=curious
sense ^nn++++=sense,
, ^zz++++=EXTRAWORD
outside ^in+cmpx+++=outside
of ^in"++++=of
himself ^ppl+pp3+++=himself
at ^in++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
arms ^nns++++=arms
were ^vbd+bed+vrb++=were
already ^rb++++=already
open ^jj+pred+++=open
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
gently ^rb++++=gently
held ^vbd+vprv+tht0+xvbn+=held
her ^pp$+pp3+++=her
hands ^nns++++=hands
up ^rp++++=up
to ^to++++=to
prevent ^vbi++++=prevent.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
heard ^vbd+vprv++xvbnx+=heard
a ^at++++=a
faint ^jj++++=faint
sound ^jj++++=sound
outside ^jjb++++=outside
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
free ^jj+pred+++=free,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
great ^jj+atrb+++=great
passion ^nn++++=passion
breaking ^vwbg+++xvbg+=breaking
out ^rp+pl+++=out
and ^cc++++=and
flooding ^nn++++=flooding
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
most ^ql+emph+++=most
oddly ^rb++++=oddly
well ^rb++++=well
controlled ^vbd+++xvbn+=controlled,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
" ^zz++++="
She ^pp3a+pp3+++=She
interrupted ^vbd+++xvbnx+=interrupted
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
softest ^jjt++++=softest,
, ^zz++++=EXTRAWORD
quietest ^jjt++++=quietest
whisper ^vb+vpub+tht0++=whisper
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
heard ^vprf+++xvbnx+=heard:
: ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
not ^xnot++not++=not
free ^jj++++=free,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
free ^jj+pred+++=free
not ^xnot++not++=not
yet ^rb++++=yet."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
sound ^nn++++=sound
outside ^in+pl+++=outside
came ^vbd+++xvbn+=came
suddenly ^rb++++=suddenly
closer ^rbr++++=closer.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
step ^nn++++=step.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
faint ^jj+atrb+++=faint
click ^nn++++=click
on ^in++++=on
the ^ati++++=the
handle ^nn++++=handle
of ^in++++=of
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
flash ^nn++++=flash,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
the ^ati++++=the
dreadful ^jj+atrb+++=dreadful
shock ^nn++++=shock
that ^tht+rel+subj++=that
overwhelmed ^vbd+++xvbn+=overwhelmed
him ^pp3o+pp3+++=him
the ^ati++++=the
abrupt ^jj+atrb+++=abrupt
realization ^nn+nom+++=realization
of ^in++++=of
the ^ati++++=the
truth ^nn++++=truth
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
somehow ^rb++++=somehow
horrible ^jj+pred+++=horrible
that ^tht+jcmp+++=that
Time ^nn++++=Time,
, ^zz++++=EXTRAWORD
all ^abn++++=all
these ^dt+dem+++=these
years ^nns++++=years,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
no ^at++++=no
mark ^nn++++=mark
upon ^in++++=upon
her ^pp$+pp3+++=her
and ^cc++++=and
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
not ^xnot++not++=not
changed ^jj+++xvbn+=changed.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
face ^nn++++=face
was ^vbd+bedz+vrb++=was
as ^ql++++=as
young ^jj++++=young
as ^ql++++=as
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
saw ^vbd+vprv+tht0+xvbnx+=saw
her ^pp$+pp3+++=her
last ^rb++++=last.
. ^zz++++=EXTRAWORD
With ^in++++=With
it ^pp3+it+++=it
there ^rn+pl+++=there
came ^vbd+++xvbn+=came
cold ^jj++++=cold
and ^cc++++=and
darkness ^nns+nom+++=darkness
into ^in++++=into
the ^ati++++=the
great ^jj+atrb+++=great
room ^nn++++=room.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shivered ^vbd+++xvbnx+=shivered
with ^in++++=with
cold ^nn++++=cold,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
an ^at++++=an
alien ^jj+atrb+++=alien,
, ^zz++++=EXTRAWORD
unaccountable ^jj+atrb+++=unaccountable
cold ^nn++++=cold.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
great ^jj+atrb+++=great
shadow ^nn++++=shadow
dropped ^vbd+++xvbn+=dropped
upon ^in++++=upon
the ^ati++++=the
entire ^jjb+atrb+++=entire
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
though ^cs+sub+++=though
but ^cc++++=but
a ^at++++=a
second ^od++++=second
could ^md+pos+++=could
have ^vb+hv+aux++=have
passed ^vprf+++xvbnx+=passed
before ^cs+sub+++=before
the ^ati++++=the
handle ^nn++++=handle
actually ^rb+amp+++=actually
turned ^vbd+++xvbn+=turned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
other ^ap++++=other
person ^nn++++=person
entered ^vbd+++xvbn+=entered,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
him ^vbi++++=him
like ^in++++=like
several ^ap++++=several
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
heard ^vbd+vprv+tht0+xvbnx+=heard
her ^pp$+pp3+++=her
saying ^vbg+++xvbg+=saying
this ^dt+dem+++=this
amazing ^jj+atrb+++=amazing
thing ^nn++++=thing
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
answer ^nn++++=answer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
forgiveness ^nns+nom+++=forgiveness
all ^rb++++=all
in ^in++++=in
one ^cd1++++=one
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
divined ^vprf+++xvbn+=divined
before ^cs+sub+++=before
the ^ati++++=the
ghastly ^jj+atrb+++=ghastly
interruption ^nn+nom+++=interruption
came ^vbd+++xvbn+=came
" ^zz++++="But,
but ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
George ^np++++=George
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
had ^vb+hv+aux++=had
only ^rb+down+splt++=only
spoken ^vprf+++xvbnx+=spoken
! ^zz++++=!"
" ^zz++++=EXTRAWORD
With ^in++++=With
ice ^nn++++=ice
in ^in++++=in
his ^pp$+pp3+++=his
blood ^nn++++=blood
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
butler ^np++++=butler
saying ^vb+++xvbg+=saying
that ^tht+vcmp+++=that
her ^pp3o+pp3+++=her
ladyship ^nn+nom+++=ladyship
would ^md+prd+++=would
be ^vb+be+vrb++=be
" ^zz++++="pleased"
pleased ^jj+++xvbn+=EXTRAWORD
" ^zz++++=EXTRAWORD
to ^to++++=to
see ^vbi+vprv+++=see
him ^pp3o+pp3+++=him
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
finished ^vprf+++xvbnx+=finished
his ^pp$+pp3+++=his
tea ^nn++++=tea
and ^cc++++=and
would ^md+prd+++=would
be ^vb+be+vrb++=be
" ^zz++++="so
so ^ql+emph+++=EXTRAWORD
good ^jj++++=good
as ^in++++=as
to ^in"++++=to
bring ^vb++++=bring
the ^ati++++=the
papers ^nns++++=papers
and ^cc++++=and
documents ^nns+nom+++=documents
upstairs ^jjb++++=upstairs
with ^in++++=with
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
just ^rb+emph+++=just
sufficient ^jj+atrb+++=sufficient
control ^nn++++=control
of ^in++++=of
certain ^jj+atrb+++=certain
muscles ^nns++++=muscles
to ^to++++=to
stand ^vbi++++=stand
upright ^jj++++=upright
and ^cc++++=and
murmur ^nn++++=murmur
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
come ^vb++++=come.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rose ^vbd+++xvbnx+=rose
from ^in++++=from
a ^at++++=a
sofa ^nn++++=sofa
that ^tht+rel+subj++=that
held ^vwbn+vprv++xvbn+=held
no ^at++++=no
one ^cd1++++=one
but ^cc++++=but
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
All ^abn++++=All
at ^rb++++=at
once ^rb"+tm+++=once
he ^pp3a+pp3+++=he
staggered ^vbd+++xvbnx+=staggered.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
really ^rb+emph+++=really
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
exactly ^rb++++=exactly
what ^wdt+who+++=what
happened ^vbd+++xvbn+=happened,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
managed ^vbd+++xvbnx+=managed
to ^to+vcmp+++=to
stammer ^vb++++=stammer
out ^rp+pl+++=out
the ^ati++++=the
medley ^nn++++=medley
of ^in++++=of
excuses ^nns++++=excuses
and ^cc++++=and
semi ^nn+++??+=semi-explanations
- ^zz++++=EXTRAWORD
explanations ^nns+nom+++=EXTRAWORD
that ^tht+rel+++=that
battered ^jj+++xvbn+=battered
their ^pp$+pp3+++=their
way ^nn++++=way
through ^in++++=through
his ^pp$+pp3+++=his
