Early ^jj++++=Early
breast ^nn++++=breast
that ^tht+rel+obj++=that
water ^nn++++=water.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remarked ^vbd+vpub++xvbnx+=remarked
to ^in++++=to
him ^pp3o+pp3+++=him
at ^in++++=at
dinner ^nn++++=dinner,
, ^zz++++=EXTRAWORD
' ^zz++++='You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+aux++0=EXTRAWORD
feeding ^vbg+++xvbgx+=feeding
a ^at++++=a
mite ^nn++++=mite
better ^jjr++++=better
this ^dt+dem+++=this
year ^nn++++=year,
, ^zz++++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Not
not ^xnot++not++=EXTRAWORD
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
can ^md+pos+++=can
notice ^vb+vprv+++=notice,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
replied ^vbd+vpub++xvbnx+=replied,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
cook ^nn++++=cook
handed ^vbd+++xvbn+=handed
him ^pp3o+pp3+++=him
a ^at++++=a
tin ^nn++++=tin
plate ^nn++++=plate
heaping ^vwbg+++xvbg+=heaping
with ^in++++=with
navy ^nn++++=navy
beans ^nns++++=beans,
, ^zz++++=EXTRAWORD
' ^zz++++='and
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
eating ^vbg+++xvbgx+=eating
rather ^rb++++=rather
regular ^jj++++=regular
with ^in++++=with
the ^ati++++=the
wagon ^nn++++=wagon,
, ^zz++++=EXTRAWORD
too ^rb++++=too.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
killed ^vbd+++xvbnx+=killed
time ^nn++++=time
around ^in++++=around
for ^in++++=for
a ^at++++=a
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
we ^pp1a+pp1+++=we
rode ^vbd+++xvbn+=rode
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
river ^nn++++=river
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cattle ^nns++++=cattle
had ^vbd+hvd+aux++=had
tramped ^vprf+++xvbnx+=tramped
out ^rp+pl+++=out
his ^pp$+pp3+++=his
peg ^nn++++=peg,
, ^zz++++=EXTRAWORD
so ^ql++++=so
after ^in++++=after
setting ^nvbg+++xvbg+=setting
a ^at++++=a
new ^jj+atrb+++=new
one ^pn++++=one,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pow ^nn+++??+=pow-wowing
- ^zz++++=EXTRAWORD
wowing ^jj+++xvbg+=EXTRAWORD
around ^rp++++=around,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
good ^jj++++=good-by
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
and ^cc++++=and
said ^vpsv++agls+xvbn+=said
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
' ^zz++++='Bob,
bob ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
hit ^vbd+++xvbnx+=hit
Dodge ^nn++++=Dodge,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
take ^vb++++=take
a ^at++++=a
drink ^nn++++=drink
and ^cc++++=and
think ^vb+vprv+++=think
of ^in++++=of
you ^pp2+pp2+++=you
back ^jjb++++=back
here ^rn+pl+++=here
on ^in++++=on
the ^ati++++=the
trail ^nn++++=trail,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
regret ^nn++++=regret
that ^tht+ncmp+++=that
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
not ^xnot++not++=not
with ^in++++=with
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
so ^rb++++=so
as ^in++++=as
to ^in"++++=to
make ^vb++++=make
it ^pp3+it+++=it
two ^cd++++=two-handed.'
- ^zz++++=EXTRAWORD
handed ^vwbn+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
said ^vbd+vpub+tht0+xvbn+=said
our ^pp$+pp1+++=our
' ^zz++++='so-longs'
so ^ql++++=EXTRAWORD
- ^zz++++=EXTRAWORD
longs ^vbz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
to ^in++++=to
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
gave ^vbd+++xvbnx+=gave
the ^ati++++=the
gray ^np++++=gray
his ^pp$+pp3+++=his
head ^nn++++=head
and ^cc++++=and
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
the ^ati++++=the
water ^nn++++=water
like ^in++++=like
a ^at++++=a
duck ^nn++++=duck.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
outswim ^vb+++??+=outswim
any ^dti++++=any
horse ^nn++++=horse
I ^pp1a+pp1+++=I
ever ^rb++++=ever
saw ^vbd+vprv++xvbn+=saw,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
drowned ^vbd+++xvbnx+=drowned
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
Washita ^np+++??+=Washita
two ^cd++++=two
weeks ^nns++++=weeks
later ^rbr+tm+++=later.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
tangled ^jj++++=tangled
his ^pp$+pp3+++=his
feet ^nns++++=feet
in ^in++++=in
some ^dti++++=some
vines ^nns++++=vines
in ^in++++=in
a ^at++++=a
sunken ^jj+atrb+++=sunken
treetop ^nn+++??+=treetop,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
poor ^jj++++=poor
fellow ^jjb++++=fellow's
's ^vbz+bez+aux++0=EXTRAWORD
light ^nn++++=light
went ^vbd+++xvbn+=went
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
own ^ap++++=own
candle ^nn++++=candle
came ^vbd+++xvbn+=came
near ^in+pl+++=near
being ^nn+nn+aux++=being
snuffed ^vbd+++xvbn+=snuffed.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
felt ^vbd+vprv++xvbn+=felt
so ^ql+emph+++=so
bad ^jj++++=bad
over ^in++++=over
a ^rb++++=a
little ^rb"++++=little
thing ^nn++++=thing
since ^cs+sub+++=since
I ^pp1a+pp1+++=I
burned ^vbd+++xvbnx+=burned
my ^pp$+pp1+++=my
new ^jj+atrb+++=new
red ^jj+atrb+++=red
topboots ^nns+++??+=topboots
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
kid ^nn++++=kid,
, ^zz++++=EXTRAWORD
as ^in++++=as
in ^in"++++=in
drownding ^vbg+++xvbg+=drownding
that ^dt+dem+++=that
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
else ^rb+cnj+++=else
worth ^in++++=worth
mentioning ^xvbg+++xvbg+=mentioning
until ^cs+sub+++=until
we ^pp1a+pp1+++=we
struck ^vbd+++xvbn+=struck
the ^ati++++=the
Cimarron ^np+++??+=Cimarron
back ^jjb++++=back
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
overtook ^vbd+++xvbn+=overtook
a ^at++++=a
herd ^nn++++=herd
of ^in++++=of
Chisholm ^np++++=Chisholm's
's ^$++++=EXTRAWORD
that ^dt+pdem+++=that
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
in ^in++++=in
from ^in++++=from
the ^ati++++=the
east ^np+pl+++=east.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
crossed ^vprf+++xvbnx+=crossed
through ^in++++=through
the ^ati++++=the
Arbuckle ^np+++??+=Arbuckle
Mountains ^nns++++=Mountains--came
-- ^--+clp+++=EXTRAWORD
came ^j+++xvbn+=EXTRAWORD
in ^in++++=in
over ^in++++=over
the ^ati++++=the
old ^jj+atrb+++=old
Whiskey ^np+++??+=Whiskey
Trail ^nn++++=Trail.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
was ^vbd+bedz+vrb++=was
another ^dt++++=another
herd ^nn++++=herd
waterbound ^nn+++??+=waterbound,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
boss ^nn++++=boss-man
- ^zz++++=EXTRAWORD
man ^nn++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
as ^ql++++=as
important ^jj++++=important
as ^in++++=as
a ^at++++=a
hen ^nn++++=hen
with ^in++++=with
one ^cd1++++=one
chicken ^nn++++=chicken.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
told ^vbd+vpub++xvbnx+=told
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
the ^ati++++=the
river ^nn++++=river
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
fordable ^jj+pred+++=fordable
for ^in++++=for
a ^at++++=a
week ^nn++++=week;
; ^zz++++=EXTRAWORD
wanted ^j+++xvbn+=wanted
me ^pp1o+pp1+++=me
to ^to++++=to
fall ^vbi++++=fall
back ^jjb++++=back
at ^rb++++=at
least ^rb"++++=least
five ^cd++++=five
miles ^nns++++=miles;
; ^zz++++=EXTRAWORD
wanted ^j+++xvbn+=wanted
all ^abn++++=all
this ^dt+dem+++=this
river ^nn++++=river
bottom ^jjb++++=bottom
for ^in++++=for
his ^pp$+pp3+++=his
cattle ^nns++++=cattle;
; ^zz++++=EXTRAWORD
said ^j+++xvbn+=said
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
need ^vb++++=need
any ^dti++++=any
help ^vb++++=help
to ^to+vcmp+++=to
cross ^vbi++++=cross
his ^pp$+pp3+++=his
herd ^nn++++=herd,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
thanked ^vbd+++xvbnx+=thanked
me ^pp1o+pp1+++=me
for ^in++++=for
the ^ati++++=the
offer ^nn++++=offer
with ^in++++=with
an ^at++++=an
air ^nn++++=air
of ^in++++=of
contempt ^nn++++=contempt.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
informed ^vbd+++xvbnx+=informed
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
our ^pp$+pp1+++=our
cattle ^nns++++=cattle
were ^vbd+bed+aux++=were
sold ^vpsv++agls+xvbnx+=sold
for ^in++++=for
delivery ^nn+nom+++=delivery
on ^in++++=on
the ^ati++++=the
North ^np+pl+++=North
Platte ^np++++=Platte,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
go ^vbi++++=go
through ^in++++=through
on ^in++++=on
time ^nn++++=time.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
assured ^vbd+++xvbnx+=assured
him ^pp3o+pp3+++=him
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
would ^md+prd+++=would
drop ^vb++++=drop
his ^pp$+pp3+++=his
cattle ^nns++++=cattle
a ^at++++=a
mile ^nn++++=mile
down ^in++++=down
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
give ^vb++++=give
us ^pp1o+pp1+++=us
plenty ^nn++++=plenty
of ^in++++=of
room ^nn++++=room.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
plainly ^rb++++=plainly
that ^cs+sub+++=that
our ^pp$+pp1+++=our
cattle ^nns++++=cattle,
, ^zz++++=EXTRAWORD
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
men ^nns++++=men
could ^md+pos+++=could
all ^abn++++=all
swim ^vb++++=swim,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
never ^rb++++=never
let ^vb+++xvbn+=let
a ^rb++++=a
little ^rb"++++=little
thing ^nn++++=thing
like ^in++++=like
swimming ^xvbg+++xvbg+=swimming
water ^nn++++=water
stop ^nn++++=stop
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
" ^zz++++="No!
no ^at++++=EXTRAWORD
! ^zz++++=EXTRAWORD
No ^at++++=No!
! ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
that ^dt+pdem+++=that;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
might ^md+pos+++=might
as ^rb++++=as
well ^rb++++=well
fall ^nn++++=fall
back ^jjb++++=back
and ^cc++++=and
take ^vb++++=take
our ^pp$+pp1+++=our
turn ^nn++++=turn.
. ^zz++++=EXTRAWORD
' ^zz++++='Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
' ^zz++++='if
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
act ^vbi+vpub+++=act
contrary ^nn+nom+++=contrary
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
go ^vb++++=go
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
King ^npt++++=King-Fisher
- ^zz++++=EXTRAWORD
fisher ^np++++=EXTRAWORD
crossing ^vwbg+++xvbg+=crossing,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
three ^cd++++=three
miles ^nns++++=miles
above ^rb++++=above
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
almost ^rb+hdg+splt++=almost
got ^vprf+++xvbnx+=got
time ^nn++++=time
to ^to++++=to
cross ^vbi++++=cross
yet ^rb++++=yet
this ^dt+dem+++=this
evening ^nn++++=evening.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
he ^pp3a+pp3+++=he
wilted ^vbd+++xvbnx+=wilted
and ^cc+phrs+++=and
inquired ^vbd+++xvbn+=inquired,
, ^zz++++=EXTRAWORD
' ^zz++++='Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
can ^md+pos+++=can
cross ^vb++++=cross
if ^cs+cnd+++=if
it ^pp3+it+++=it
swims ^vbz++++=swims
them ^pp3o+pp3+++=them
any ^dti++++=any?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'I'm
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
not ^xnot++not++=not
doing ^vbg+++xvbg+=doing
your ^pp$+pp2+++=your
thinking ^nvbg+++xvbg+=thinking,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
answered ^vbd+vpub++xvbnx+=answered,
, ^zz++++=EXTRAWORD
' ^zz++++='but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
bring ^vb++++=bring
up ^rb+phrv+++=up
eight ^cd++++=eight
or ^cc++++=or
nine ^cd++++=nine
good ^jj+atrb+++=good
men ^nns++++=men
and ^cc++++=and
help ^nn++++=help
you ^pp2+pp2+++=you
rather ^rb++++=rather
than ^in++++=than
make ^vb++++=make
a ^at++++=a
six ^cd++++=six-mile
- ^zz++++=EXTRAWORD
mile ^nn++++=EXTRAWORD
elbow ^nn++++=elbow.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
this ^dt+dem+++=this
with ^in++++=with
some ^dti++++=some
spirit ^nn++++=spirit
and ^cc++++=and
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
a ^at++++=a
mean ^nn++++=mean
look ^vb++++=look.
. ^zz++++=EXTRAWORD
" ^zz++++="'All
' ^zz++++=EXTRAWORD
all ^abn++++=EXTRAWORD
right ^jj++++=right,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
' ^zz++++='bring
bring ^vb++++=EXTRAWORD
up ^rb+phrv+++=up
your ^pp$+pp2+++=your
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
say ^vb+vpub+++=say
eight ^cd++++=eight
o ^zz++++=o'clock,
'clock, ^nn+++??+=EXTRAWORD
and ^cc++++=and
we ^pp1a+pp1+++=we
will ^md+prd+++=will
try ^vb++++=try
the ^ati++++=the
ford ^np++++=ford.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
me ^pp1o+pp1+++=me
add ^vb+vpub+++=add
right ^nn++++=right
here ^rn+pl+++=here,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued,
, ^zz++++=EXTRAWORD
' ^zz++++='and
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
a ^at++++=a
stranger ^nn+nom+++=stranger
to ^in++++=to
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
young ^jj+atrb+++=young
man ^nn++++=man,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
my ^pp$+pp1+++=my
outfit ^nn++++=outfit
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
anybody ^pn++++=anybody's
's ^vbz+bez+vrb++0=EXTRAWORD
slack ^jj++++=slack,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
older ^jjr+pred+++=older
than ^in++++=than
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
me ^pp1o+pp1+++=me
give ^vb++++=give
you ^pp2+pp2+++=you
this ^dt+dem+++=this
little ^jj+atrb+++=little
bit ^nn++++=bit
of ^in++++=of
advice ^nn++++=advice:
: ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
bring ^vb++++=bring
your ^pp$+pp2+++=your
men ^nns++++=men
here ^rn+pl+++=here
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
them ^pp3o+pp3+++=them
whirl ^vb++++=whirl
too ^ql++++=too
big ^jj++++=big
a ^at++++=a
loop ^nn++++=loop,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
drag ^nn++++=drag
their ^pp$+pp3+++=their
ropes ^nns++++=ropes
looking ^vwbg+++xvbg+=looking
for ^in++++=for
trouble ^nn++++=trouble,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
fellows ^nns++++=fellows
with ^in++++=with
me ^pp1o+pp1+++=me
that ^dt+pdem+++=that
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
turn ^vb++++=turn
out ^rb+phrv+++=out
of ^in++++=of
the ^ati++++=the
trail ^nn++++=trail
for ^in++++=for
anybody ^pn++++=anybody.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'All
' ^zz++++=EXTRAWORD
all ^abn++++=EXTRAWORD
right ^jj++++=right,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
' ^zz++++='Really,
really ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
glad ^jj+pred+++=glad
to ^to+jcmp+++=to
hear ^vbi+vprv+++=hear
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
some ^dti++++=some
good ^jj+atrb+++=good
men ^nns++++=men,
, ^zz++++=EXTRAWORD
still ^rb++++=still
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
pained ^jj+pred+++=pained
to ^to++++=to
find ^vbi+vprv+++=find
them ^pp3o+pp3+++=them
on ^in++++=on
the ^ati++++=the
wrong ^jj+atrb+++=wrong
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
river ^nn++++=river
for ^in++++=for
travelers ^nns+nom+++=travelers.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
here ^rn+pl+++=here
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
called ^vbd+++xvbnx+=called
back ^rb+phrv+++=back
as ^ql++++=as
I ^pp1a+pp1+++=I
rode ^vbd+++xvbnx+=rode
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
So ^ql+emph+++=So
telling ^jj+++xvbg+=telling
my ^pp$+pp1+++=my
boys ^nns++++=boys
that ^tht+rel+obj++=that
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
have ^vbi++vrb++=have
some ^dti++++=some
fun ^nn++++=fun
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
to ^to++++=to
expect ^vbi+vprv+++=expect,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
gave ^vbd+++xvbnx+=gave
it ^pp3+it+++=it
no ^at++++=no
further ^jjb+atrb+++=further
attention ^nn+nom+++=attention.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
catching ^vbg+++xvbgx+=catching
up ^rp++++=up
our ^pp$+pp1+++=our
horses ^nns++++=horses
next ^ap++++=next
morning ^nn++++=morning
for ^in++++=for
the ^ati++++=the
day ^nn++++=day,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ordered ^vbd+vsua++xvbnx+=ordered
two ^cd++++=two
of ^in++++=of
my ^pp$+pp1+++=my
lads ^nns++++=lads
on ^in++++=on
herd ^nn++++=herd,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
a ^at++++=a
surprise ^nn++++=surprise
to ^in++++=to
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
both ^abx++++=both
handy ^jj++++=handy
with ^in++++=with
a ^at++++=a
gun ^nn++++=gun.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
explained ^vbd+vpub+tht0+xvbnx+=explained
it ^pp3+it+++=it
to ^in++++=to
them ^pp3o+pp3+++=them
all, ^nn+++??+=all,--that
-- ^--+clp+++=EXTRAWORD
that ^tht+vcmp+++=EXTRAWORD
we ^pp1a+pp1+++=we
wished ^vbd+vprv++xvbn+=wished
to ^to+vcmp+++=to
avoid ^vbi++++=avoid
trouble ^nn++++=trouble,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
if ^cs+cnd+++=if
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
up ^rp++++=up
unavoidable ^jj++++=unavoidable,
, ^zz++++=EXTRAWORD
to ^to++++=to
overlook ^vbi+vprv+++=overlook
no ^at++++=no
bets ^nns++++=bets--to
-- ^--+clp+++=EXTRAWORD
to ^in++++=EXTRAWORD
copper ^nn++++=copper
every ^at++++=every
play ^nn++++=play
as ^ql++++=as
it ^pp3+it+++=it
fell ^vbd+++xvbn+=fell.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
the ^ati++++=the
river ^npl++++=river
too ^ql++++=too
early ^jj++++=early
to ^to++++=to
suit ^vbi++++=suit
Chisholm ^np++++=Chisholm's
's ^$++++=EXTRAWORD
boss ^nn++++=boss-man.
- ^zz++++=EXTRAWORD
man ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
think ^vbi+vprv+++=think
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
cattle ^nns++++=cattle
would ^md+prd+++=would
take ^vb++++=take
the ^ati++++=the
water ^nn++++=water
better ^jjr++++=better
about ^in++++=about
ten ^cd++++=ten
o ^zz++++=o'clock.
'clock. ^nn+++??+=EXTRAWORD
To ^to++++=To
kill ^vbi++++=kill
time ^nn++++=time
my ^pp$+pp1+++=my
boys ^nns++++=boys
rode ^vbd+++xvbn+=rode
across ^in+pl+++=across
and ^cc++++=and
back ^jjb++++=back
several ^ap++++=several
times ^nns++++=times
to ^to++++=to
see ^vbi+vprv+++=see
what ^wdt+who+whcl++=what
the ^ati++++=the
water ^nn++++=water
was ^vbd+bedz+vrb++=was
like ^in+strn+++=like.
. ^zz++++=EXTRAWORD
' ^zz++++='Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
any ^dti++++=any
one ^cd1++++=one
that ^dt+pdem+++=that
would ^md+prd+++=would
let ^vb+++xvbn+=let
as ^ql++++=as
little ^ap++++=little
swimming ^jj+atrb++xvbg+=swimming
water ^nn++++=water
as ^ql++++=as
that ^cs+sub+++=that
stop ^nn++++=stop
them ^pp3o+pp3+++=them
must ^md+nec+++=must
be ^vb+be+vrb++=be
a ^at++++=a
heap ^nn++++=heap
sight ^nn++++=sight
sorry ^uh++++=sorry
outfit ^nn++++=outfit,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
remarked ^vprf+++xvbn+=remarked
one ^cd1++++=one-eyed
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
Jim ^np++++=Jim
Reed ^np++++=Reed,
