Yas ^np+++??+=Yas,
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
" ^zz++++="when
when ^wrb+who+++=EXTRAWORD
he ^pp3a+pp3+++=he
started ^vbd+++xvbnx+=started
to ^in++++=to
git ^np++++=git
sleepy ^jj++++=sleepy,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
gap ^nn++++=gap
ez ^nn+++??+=ez
wide ^jj+atrb+++=wide
ez ^nn+++??+=ez
he ^pp3a+pp3+++=he
gen ^npt++++=gen'ly
'ly ^jj++++0=EXTRAWORD
does ^vbz+doz+vrb++=does
and ^cc++++0=an'
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
' ^zz++++='feered
feered ^jj+++xvbn+=EXTRAWORD
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a-gittin'
- ^zz++++=EXTRAWORD
gittin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
it ^pp3+it+++=it
now ^rn+tm+++=now."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
An ^at++++=An',
', ^nn+++??+=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
with ^in++++=with
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
thess ^nn++++=thess
gathered ^vbd+++xvbn+=gathered
up ^rp++++=up
her ^pp$+pp3+++=her
apron ^nn++++=apron
and ^cc++++0=an'
mopped ^jj+++xvbn+=mopped
her ^pp3o+pp3+++=her
face ^nn++++=face
in ^in++++=in
it ^pp3+it+++=it
and ^cc++++0=an'
give ^vb++++=give
way ^nn++++=way.
. ^zz++++=EXTRAWORD
And ^cc+cls+++0=An'
ez ^nn+++??+=ez
for ^in++++=for
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
have ^vbi++++=have
no ^at++++=no
mo ^np++++=mo'
' ^zz++++=EXTRAWORD
backbone ^nn++++=backbone
down ^in++++=down
my ^pp$+pp1+++=my
spinal ^jj+atrb+++=spinal
colume ^nn+++??+=colume
' ^zz++++='n
n ^zz++++=EXTRAWORD
a ^at++++=a
feather ^nn++++=feather
bolster ^nn+nom+++=bolster
has ^vbz+hvz+vrb++=has,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
weak ^jj++++=weak.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
ast ^nn+++??+=ast
her ^pp$+pp3+++=her
why ^wrb+who+++=why
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
sen ^vb+++xvbn+=sen'
' ^zz++++=EXTRAWORD
for ^in++++=for
our ^pp$+pp1+++=our
own ^ap++++=own
preacher ^nn+nom+++=preacher.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knowed ^vbd+++xvbnx+=knowed
then ^rn+tm+++=then
ez ^nn+++??+=ez
well ^rb++++=well
ez ^nn+++??+=ez
ef ^nn+++??+=ef
she ^pp3a+pp3+++0=she'd
'd ^md+prd+vrb++=EXTRAWORD
' ^zz++++='a'
a ^at++++=EXTRAWORD
' ^zz++++=EXTRAWORD
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
why ^wrb+who+++=why
she ^pp3a+pp3+++=she
done ^vbd+++xvbnx+=done
it ^pp3+it+++=it
all ^abn++++=all
on ^in++++=on
account ^nn++++=account
of ^in++++0=o'
Sonny ^nn++++=Sonny
bein ^nn+++??+=bein'
' ^zz++++=EXTRAWORD
so ^ql+emph+++=so
tickled ^jj+++xvbn+=tickled
over ^in++++=over
the ^ati++++=the
' ^zz++++='Piscopals'
piscopals ^nns+nom+++=EXTRAWORD
' ^zz++++=EXTRAWORD
meetin ^nn+++??+=meetin's.
's. ^nn+++??+=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
mos ^nps++++=mos'
' ^zz++++=EXTRAWORD
nine ^cd++++=nine
o'clock ^rb++++=o'clock
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
a ^at++++=a
dark ^jj+atrb+++=dark
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
rainin ^nn+++??+=rainin',
', ^nn+++??+=EXTRAWORD
but ^cc++++=but
I ^pp1a+pp1+++=I
never ^rb++++=never
said ^vbd+vpub++xvbn+=said
a ^at++++=a
word ^nn++++=word
they ^pp3a+pp3+++=they
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
room ^nn++++=room
round ^in++++=round
the ^ati++++=the
edges ^nns++++=edges
of ^in++++0=o'
the ^ati++++=the
lump ^nn++++=lump
in ^in++++=in
my ^pp$+pp1+++=my
throat ^nn++++=throat
for ^in++++=for
words ^nns++++=words
to ^to++++=to
come ^vbi++++=come
out ^rp+pl+++=out
ef ^nn+++??+=ef
they ^pp3a+pp3+++=they'd
'd ^md+prd+vrb++0=EXTRAWORD
' ^zz++++='a'
a ^at++++=EXTRAWORD
' ^zz++++=EXTRAWORD
been ^vprf+ben+vrb+xvbn+=been
one ^cd1++++=one
surgin ^nn+++??+=surgin'
' ^zz++++=EXTRAWORD
up ^rp++++=up
there ^rn+pl+++=there
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
they ^pp3a+pp3+++=they
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
but ^cc++++=but
I ^pp1a+pp1+++=I
thess ^nn++++=thess
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
and ^cc++++0=an'
saddled ^xvbn+++xvbn+=saddled
my ^pp$+pp1+++=my
horse ^nn++++=horse
and ^cc++++0=an'
I ^pp1a+pp1+++=I
rid ^vbd+++xvbnx+=rid
into ^in++++=into
town ^nn++++=town.
. ^zz++++=EXTRAWORD
Stopped ^j+++xvbn+=Stopped
first ^rb++++=first
at ^rb++++=at
the ^ati++++=the
doctor ^nn++++=doctor's
's ^$++++=EXTRAWORD
and ^cc++++0=an'
sent ^vbd+++xvbn+=sent
him ^pp3o+pp3+++=him
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
knowed ^vbd+++xvbnx+=knowed't
't ^vbd+++xvbn+0=EXTRAWORD
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
no ^at++++=no
good ^jj++++=good;
; ^zz++++=EXTRAWORD
Sonny ^nn++++=Sonny
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
' ^zz++++='low
low ^jj++++=EXTRAWORD
him ^pp3o+pp3+++=him
to ^in++++=to
tech ^np++++=tech
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
sent ^vbd+++xvbnx+=sent
him ^pp3o+pp3+++=him
out ^rp+pl+++=out
anyway ^rb+cnj+++=anyway,
, ^zz++++=EXTRAWORD
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
an ^at++++=an',
', ^nn+++??+=EXTRAWORD
ef ^nn+++??+=ef
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
console ^nn+++??+=console
wife ^nn++++=wife
a ^rb++++=a
little ^rb"++++=little.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
rid ^vbd+++xvbnx+=rid
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
rector ^nn++++=rector's
's ^$++++=EXTRAWORD
and ^cc++++0=an'
ast ^nn+++??+=ast
him ^pp3o+pp3+++=him
to ^to++++=to
come ^vbi++++=come
out ^rp+pl+++=out
immejate ^nn+nom+++=immejate
and ^cc++++0=an'
baptize ^vb++++=baptize
Sonny ^nn++++=Sonny.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
nex ^nn+++??+=nex'
' ^zz++++=EXTRAWORD
day ^nn++++=day
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
turn ^nn++++=turn
to ^to++++=to
preach ^vbi++++=preach
down ^rp++++=down
at ^rb++++=at
Sandy ^np++++=Sandy
Crik ^np+++??+=Crik,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
come ^vprf+++xvbn+=come
that ^dt+dem+++=that
night ^nn++++=night,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
promised ^vbd+vpub++xvbnx+=promised
to ^to+vcmp+++=to
come ^vbi++++=come
right ^jj++++=right
after ^in++++=after
services ^nns++++=services
nex ^nn+++??+=nex'
' ^zz++++=EXTRAWORD
mornin ^nn+++??+=mornin'
' ^zz++++=EXTRAWORD
which ^whp+who+++=which
he ^pp3a+pp3+++=he
done ^vbd+++xvbnx+=done
rid ^vprf+++xvbn+=rid
the ^ati++++=the
whole ^jj+atrb+++=whole
fo ^nn+++??+=fo'teen
'teen ^vbd+++xvbn+0=EXTRAWORD
mile ^nn++++=mile
from ^in++++=from
Sandy ^np++++=Sandy
Crik ^np+++??+=Crik
here ^rn+pl+++=here
in ^in++++=in
the ^ati++++=the
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think
is ^vbz+bez+vrb++=is
a ^at++++=a
evidence ^nn+nom+++=evidence
of ^in++++0=o'
Christianity ^nn+nom+++=Christianity,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
no ^at++++=no
sech ^&fo++++=sech
acts ^nns++++=acts
is ^vbz+bez+aux++=is
put ^vpsv++agls+xvbnx+=put
down ^rb+phrv+++=down
in ^in++++=in
my ^pp$+pp1+++=my
book ^nn++++=book
of ^in++++0=o'
" ^zz++++="evidences"
evidences ^nns+nom+++=EXTRAWORD
" ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
ought ^md+nec+++=ought
rightfully ^rb++++=rightfully
to ^to++++=to
be ^vbi++vrb++=be.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
home ^nr++++=home
that ^tht+rel+++=that
night ^nn++++=night,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
wife ^nn++++=wife
a ^at++++=a
heap ^nn++++=heap
cheerfuler ^jjr++++=cheerfuler.
. ^zz++++=EXTRAWORD
The ^ati++++=The
doctor ^nn++++=doctor
had ^vbd+hvd+aux++=had
give ^vb++++=give
Sonny ^nn++++=Sonny
a ^at++++=a
big ^jj+atrb+++=big
apple ^nn++++=apple
to ^to++++=to
eat ^vbi++++=eat
and ^cc++++0=an'
pernounced ^jj+++xvbn+=pernounced
him ^pp3o+pp3+++=him
free ^jj++++=free
from ^in++++=from
all ^abn++++=all
symptoms ^nns++++=symptoms
of ^in++++0=o'
lockjaw ^nn+++??+=lockjaw.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
come ^vb++++=come
the ^ati++++=the
little ^jj+atrb+++=little
feller ^nn++++=feller
had ^vbd+hvd+aux++=had
crawled ^vprf+++xvbn+=crawled
' ^zz++++='way
way ^nn++++=EXTRAWORD
back ^jjb++++=back
under ^in++++=under
the ^ati++++=the
bed ^nn++++=bed
and ^cc++++0=an'
lay ^vbd+++xvbn+=lay
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
eatin ^nn+++??+=eatin'
' ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
apple ^nn++++=apple,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
they ^pp3a+pp3+++=they
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
git ^np++++=git
him ^pp3o+pp3+++=him
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Soon ^rb+tm+++=Soon
ez ^vb+++??+=ez
the ^ati++++=the
doctor ^nn++++=doctor
had ^vbd+hvd+aux++=had
teched ^vprf+++xvbnx+=teched
a ^at++++=a
poultice ^nn++++=poultice
to ^in++++=to
his ^pp$+pp3+++=his
foot ^nn++++=foot
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
woke ^vprf+++xvbnx+=woke
up ^rp++++=up
and ^cc++++0=an'
put ^vb+++xvbn+=put
a ^at++++=a
stop ^nn++++=stop
to ^in++++=to
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
went ^vprf+++xvbnx+=went
off ^rp+pl+++=off
by ^in++++=by
hisself ^nn+++??+=hisself
where ^wrb+who+++=where
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
pester ^vb++++=pester
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
to ^to++++=to
enjoy ^vbi++++=enjoy
his ^pp$+pp3+++=his
apple ^nn++++=apple
in ^in++++=in
peace ^nn++++=peace.
. ^zz++++=EXTRAWORD
And ^cc+cls+++0=An'
we ^pp1a+pp1+++=we
never ^rb++++=never
got ^vbd+++xvbn+=got
him ^pp3o+pp3+++=him
out ^rp+pl+++=out
tell ^vb++++=tell
he ^pp3a+pp3+++=he
heered ^vbd+++xvbnx+=heered
us ^pp1o+pp1+++=us
tellin ^nn+++??+=tellin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
doctor ^nn++++=doctor
good ^jj++++=good-night.
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tried ^vbd+++xvbnx+=tried
ever ^rb++++=ever'
' ^zz++++=EXTRAWORD
way ^nn++++=way
to ^in++++=to
git ^np++++=git
him ^pp3o+pp3+++=him
out ^rp+pl+++=out
even ^rb++++=even
took ^vbd+++xvbn+=took
up ^rb+phrv+++=up
a ^at++++=a
coal ^nn++++=coal
of ^in++++0=o'
fire ^nn++++=fire
and ^cc++++0=an'
poked ^vbd+++xvbn+=poked
it ^pp3+it+++=it
under ^in++++=under
at ^rb++++=at
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
thess ^nn++++=thess
laughed ^vbd+++xvbn+=laughed
at ^in+ppvb+++=at
that ^dt+pdem+++=that
and ^cc++++0=an'
helt ^vbd+++xvbn+=helt
his ^pp$+pp3+++=his
apple ^nn++++=apple
agin ^nn+++??+=agin'
' ^zz++++=EXTRAWORD
it ^pp3+it+++=it
and ^cc++++0=an'
made ^vbd+++xvbn+=made
it ^pp3+it+++=it
sizz ^nn+++??+=sizz.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
so ^ql+emph+++=so
tickled ^jj+++xvbn+=tickled
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
helt ^vbd+++xvbnx+=helt
that ^dt+dem+++=that
coal ^nn++++=coal
of ^in++++0=o'
fire ^nn++++=fire
for ^in++++=for
him ^pp3o+pp3+++=him
tell ^vb++++=tell
he ^pp3a+pp3+++=he
cooked ^vbd+++xvbnx+=cooked
a ^at++++=a
good ^jj+atrb+++=good
big ^jj+atrb+++=big
spot ^nn++++=spot
on ^in++++=on
one ^cd1++++=one
side ^nn++++=side
of ^in++++0=o'
the ^ati++++=the
apple ^nn++++=apple,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
et ^&fw++++=et
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
it ^pp3+it+++=it
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
for ^in+ppvb+++=for
another ^dt++++=another,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
give ^vb++++=give
it ^pp3+it+++=it
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
no ^at++++=no
use ^nn++++=use
in ^in++++=in
over ^in++++=over-indulgin'
- ^zz++++=EXTRAWORD
indulgin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
a ^at++++=a
child ^nn++++=child.
. ^zz++++=EXTRAWORD
And ^cc+cls+++0=An'
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
knowed ^vbd+++xvbnx+=knowed
the ^ati++++=the
doctor ^nn++++=doctor
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
come ^vb++++=come
out ^rp+pl+++=out
and ^cc++++0=an'
finished ^vprf+++xvbn+=finished
roastin ^nn+++??+=roastin'
' ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
apple ^nn++++=apple
by ^in++++=by
the ^ati++++=the
fire ^nn++++=fire
thess ^nn++++=thess
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
left ^vpsv++agls+xvbnx+=left
of ^in++++=of
it ^pp3+it+++=it
' ^zz++++='round
round ^in++++=EXTRAWORD
the ^ati++++=the
co ^nn++++=co'e.
'e. ^nn+++??+=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
was ^vbd+bedz+aux++=was
mightily ^jj+pred+++=mightily
comforted ^vpsv++by+xvbn+=comforted
by ^in++++=by
the ^ati++++=the
doctor ^nn++++=doctor's
's ^$++++=EXTRAWORD
visit ^nn++++=visit,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
nex ^nn+++??+=nex'
' ^zz++++=EXTRAWORD
mornin ^nn+++??+=mornin'
' ^zz++++=EXTRAWORD
things ^nns++++=things
looked ^vbd+++xvbn+=looked
purty ^nn+++??+=purty
gloomy ^jj+atrb+++=gloomy
ag ^nn++++=ag'in.
'in. ^nn+++??+=EXTRAWORD
Sonny ^np++++=Sonny's
's ^$++++=EXTRAWORD
Christenin ^np+++??+=Christenin'
' ^zz++++=EXTRAWORD
That ^dt+dem+++=That
little ^ap++++=little
foot ^nn++++=foot
seemed ^vbd+seem++xvbn+=seemed
a ^at++++=a
heap ^nn++++=heap
worse ^jjr++++=worse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
flushed ^jj+++xvbn+=flushed
and ^cc+phrs+++0=an'
feverish ^jj++++=feverish,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
wife ^nn++++=wife
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
she ^pp3a+pp3+++=she
heard ^vbd+vprv++xvbnx+=heard
a ^at++++=a
owl ^nn++++=owl
hoot ^nn++++=hoot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
Rover ^np++++=Rover
made ^vbd+++xvbn+=made
a ^at++++=a
mighty ^jj++++=mighty
funny ^jj++++=funny
gurgly ^jj++++=gurgly
sound ^jj++++=sound
in ^in++++=in
his ^pp$+pp3+++=his
th ^zz++++=th'oat
'oat ^nn+++??+=EXTRAWORD
like ^in++++=like
ez ^nn+++??+=ez
ef ^nn+++??+=ef
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
bad ^jj+atrb+++=bad
news ^nn++++=news
to ^to++++=to
tell ^vbi++++=tell
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
the ^ati++++=the
courage ^nn+nom+++=courage
to ^to++++=to
speak ^vbi++++=speak
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++0=An'
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
on ^in++++=on
top ^nn++++=top
of ^in++++0=o'
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
the ^ati++++=the
nigger ^nn++++=nigger
Dicey ^np+++??+=Dicey,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
come ^vb++++=come
in ^in++++=in
and ^cc++++0=an'
' ^zz++++='lowed
lowed ^jj+++xvbn+=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
dreamed ^vprf+++xvbnx+=dreamed
that ^tht+vcmp+++=that
night ^nn++++=night
about ^in++++=about
eatin ^nn+++??+=eatin'
' ^zz++++=EXTRAWORD
spare ^jj++++=spare-ribs,
- ^zz++++=EXTRAWORD
ribs ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
everybody ^pn++++=everybody
knows ^vbz+vprv+++=knows
to ^to+vcmp+++=to
dream ^vb++++=dream
about ^in++++=about
fresh ^jj+atrb+++=fresh
pork ^nn++++=pork
out ^rp+pl+++=out
of ^in++++0=o'
season ^nn++++=season,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
July ^nr++++=July,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
considered ^vpsv++tht0+xvbnx+=considered
a ^at++++=a
shore ^nn++++=shore
sign ^vb++++=sign
of ^in++++0=o'
death ^nn++++=death.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
co ^nn++++=co'se,
'se, ^nn+++??+=EXTRAWORD
wife ^nn++++=wife
and ^cc++++0=an'
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+++0=b'lieve
in ^in++++=in
no ^at++++=no
sech ^&fo++++=sech
ez ^nn+++??+=ez
that ^tht+rel+++=that,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
ef ^nn+++??+=ef
you ^pp2+pp2+++=you
ever ^rb++++=ever
come ^vb++++=come
to ^to++++=to
see ^vbi+vprv+++=see
yo ^nn+++??+=yo'
' ^zz++++=EXTRAWORD
little ^ap++++=little
feller ^nn++++=feller's
's ^$++++=EXTRAWORD
toes ^nns++++=toes
stand ^vb++++=stand
out ^rp+pl+++=out
the ^ati++++=the
way ^nn++++=way
Sonny ^np++++=Sonny's
's ^$++++=EXTRAWORD
done ^xvbn+++xvbn+=done
day ^np++++=day
befo ^nn+++??+=befo'
' ^zz++++=EXTRAWORD
yesterday ^nr+tm+++=yesterday,
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
believe ^vbi+vprv+++0=b'lieve
anything ^pn++++=anything.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
so ^ql++++=so
much ^ap++++=much
better ^jjr++++=better
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
judge ^vb++++=judge
of ^in++++=of
its ^pp$+it+++=its
looks ^nns++++=looks
day ^nn++++=day
befo ^nn+++??+=befo'
' ^zz++++=EXTRAWORD
yesterday ^nr+tm+++=yesterday.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
never ^rb++++=never
had ^vb+hv+vrb++=had
even ^rb++++=even
so ^ql++++=so
much ^ap++++=much
ez ^vb+++??+=ez
considered ^vbd+vprv++xvbn+=considered
it ^pp3+it+++=it
necessary ^jj+atrb+++=necessary
thet ^nn+++??+=thet
little ^ap++++=little
children ^nns++++=children
should ^md+nec+++=should
be ^vb+be+aux++=be
christened ^vpsv++agls+xvbnx+=christened
to ^in++++=to
have ^vbi+vbi+aux++=have
them ^pp3o+pp3+++0='em
saved ^vbd+++xvbn+=saved,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
things ^nns++++=things
got ^vbd+++xvbn+=got
on ^in++++=on
the ^ati++++=the
ticklish ^jj+atrb+++=ticklish
edge ^nn++++=edge,
, ^zz++++=EXTRAWORD
like ^in++++=like
they ^pp3a+pp3+++=they
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
felt ^vbd+vprv++xvbn+=felt
thet ^nn+++??+=thet
the ^ati++++=the
safest ^jjt+atrb+++=safest
side ^nn++++=side
is ^vbz+bez+vrb++=is
the ^ati++++=the
wise ^jj+atrb+++=wise
side ^nn++++=side,
, ^zz++++=EXTRAWORD
an ^at++++=an',
', ^nn+++??+=EXTRAWORD
of ^in++++=of
co ^nn++++=co'se,
'se, ^nn+++??+=EXTRAWORD
we ^pp1a+pp1+++=we
want ^vb++++=want
Sonny ^nn++++=Sonny
to ^in++++=to
have ^vbi++vrb++=have
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
was ^vbd+bedz+vrb++=was
mighty ^jj++++=mighty
thankful ^jj++++=thankful
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
see ^vb+vprv+++=see
the ^ati++++=the
rector ^npt++++=rector
comin ^nn+++??+=comin'.
'. ^nn+++??+=EXTRAWORD
But ^cc++++=But,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out
to ^to++++=to
open ^vbi++++=open
the ^ati++++=the
gate ^nn++++=gate
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
on ^in++++=on
top ^nn++++=top
of ^in++++0=o'
this ^dt+dem+++=this
round ^in++++=round
hemisp ^nn+++??+=hemisp'ere
'ere ^nn+++??+=EXTRAWORD
do ^vb+do+aux++=do
