Everyone ^pn++++=Everyone
much ^ap++++=much
Disorder ^nn+nom+++=Disorder'd
'd ^md+prd+vrb++0=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
laid ^vbd+++xvbn+=laid
in ^in++++=in
the ^ati++++=the
Bed ^nn++++=Bed,
, ^zz++++=EXTRAWORD
being ^xvbg+++xvbg+=being
twisted ^vbd+++xvbn+=twisted
after ^cs+sub+++=after
so ^ql++++=so
extream ^vb+++??+=extream
a ^at++++=a
sort ^nn++++=sort
as ^cs+sub+++=as
gave ^vbd+++xvbn+=gave
too ^rb++++=too
probable ^jj+atrb+++=probable
Conjecture ^nn++++=Conjecture
that ^tht+rel+obj++=that
my ^pp$+pp1+++=my
worthy ^jj+atrb+++=worthy
Friend ^nn++++=Friend
and ^cc++++=and
Patron ^nn++++=Patron
had ^vb+hv+aux++=had
expir ^nn+++??+=expir'd
'd ^md+prd+vrb++0=EXTRAWORD
in ^in++++=in
great ^jj+atrb+++=great
Pain ^nn++++=Pain
and ^cc++++=and
Agony ^nn++++=Agony.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
as ^ql++++=as
yet ^rb++++=yet
unexplain ^nn+++??+=unexplain'd,
'd, ^nn+++??+=EXTRAWORD
and ^cc++++=and
to ^in++++=to
myself ^ppl+pp1+++=myself
the ^ati++++=the
Argument ^nn+nom+++=Argument
of ^in++++=of
some ^dti++++=some
Horrid ^jj++++=Horrid
and ^cc++++=and
Artfull ^np+++??+=Artfull
Designe ^np+++??+=Designe
in ^in++++=in
the ^ati++++=the
Perpetrators ^np+++??+=Perpetrators
of ^in++++=of
this ^dt+dem+++=this
Barbarous ^np+++??+=Barbarous
Murther ^np+++??+=Murther,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
Women ^nns++++=Women
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
entrusted ^vpsv++agls+xvbnx+=entrusted
with ^in++++=with
the ^ati++++=the
laying ^jj+++xvbg+=laying-out
- ^zz++++=EXTRAWORD
out ^rp+pl+++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Corpse ^nn++++=Corpse
and ^cc++++=and
washing ^nvbg+++xvbg+=washing
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
both ^abx++++=both
sad ^jj+atrb+++=sad
Persons ^nns++++=Persons
and ^cc++++=and
very ^ql+amp+++=very
well ^rb++++=well
Respected ^vbd+++xvbn+=Respected
in ^in++++=in
their ^pp$+pp3+++=their
Mournfull ^np+++??+=Mournfull
Profession ^nn++++=Profession,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
to ^in++++=to
me ^pp1o+pp1+++=me
in ^in++++=in
a ^at++++=a
great ^jj+atrb+++=great
Pain ^nn++++=Pain
and ^cc++++=and
Distress ^nns+nom+++=Distress
both ^abx++++=both
of ^in++++=of
Mind ^nn++++=Mind
and ^cc++++=and
Body ^nn++++=Body,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
was ^vbd+bedz+aux++=was
indeed ^qlp++++=indeed
confirmed ^vbd+vpub++xvbn+=confirmed
upon ^in++++=upon
the ^ati++++=the
first ^od++++=first
View ^nn++++=View,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
no ^at++++=no
sooner ^rbr++++=sooner
touch ^nn++++=touch'd
'd ^md+prd+vrb++0=EXTRAWORD
the ^ati++++=the
Breast ^nn++++=Breast
of ^in++++=of
the ^ati++++=the
Corpse ^nn++++=Corpse
with ^in++++=with
their ^pp$+pp3+++=their
naked ^jj+atrb+++=naked
Hands ^nns++++=Hands
than ^cs+sub+++=than
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
sensible ^jj+pred+++=sensible
of ^in++++=of
a ^at++++=a
more ^rbr++++=more
than ^in++++=than
ordinary ^jj++++=ordinary
violent ^jj++++=violent
Smart ^jj++++=Smart
and ^cc++++=and
Acheing ^np+++??+=Acheing
in ^in++++=in
their ^pp$+pp3+++=their
Palms ^nns++++=Palms,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
with ^in++++=with
their ^pp$+pp3+++=their
whole ^jj+atrb+++=whole
Forearms ^nns++++=Forearms,
, ^zz++++=EXTRAWORD
in ^in++++=in
no ^at++++=no
long ^rb++++=long
time ^nn++++=time
swell ^nn++++=swell'd
'd ^md+prd+vrb++0=EXTRAWORD
so ^ql+emph+++=so
immoderately ^jj++++=immoderately,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Pain ^nn++++=Pain
still ^rb+atrb+++=still
continuing ^jj+++xvbg+=continuing,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
afterwards ^rb+tm+++=afterwards
proved ^vbd+vprv++xvbn+=proved,
, ^zz++++=EXTRAWORD
during ^in++++=during
many ^ap++++=many
weeks ^nns++++=weeks
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
forc ^nn+++??+=forc'd
'd ^md+prd+pmd"++0=EXTRAWORD
to ^md+nec+++=to
lay ^vb+++xvbn+=lay
by ^in++++=by
the ^ati++++=the
exercise ^nn++++=exercise
of ^in++++=of
their ^pp$+pp3+++=their
Calling ^nvbg+++xvbg+=Calling;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
no ^at++++=no
mark ^nn++++=mark
seen ^vbd+vprv++xvbn+=seen
on ^in++++=on
the ^ati++++=the
Skin ^nn++++=Skin.
. ^zz++++=EXTRAWORD
' ^zz++++='Upon
upon ^in++++=EXTRAWORD
hearing ^xvbg+++xvbg+=hearing
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sent ^vbd+++xvbnx+=sent
for ^in++++=for
the ^ati++++=the
Physician ^nn++++=Physician,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
still ^rb++++=still
in ^in++++=in
the ^ati++++=the
House ^nn++++=House,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
made ^vbd+++xvbn+=made
as ^ql++++=as
carefull ^vb+++??+=carefull
a ^at++++=a
Proof ^nn++++=Proof
as ^ql++++=as
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
able ^jj+pred+++=able
by ^in++++=by
the ^ati++++=the
Help ^nn++++=Help
of ^in++++=of
a ^at++++=a
small ^jj+atrb+++=small
Magnifying ^np+++??+=Magnifying
Lens ^nn++++=Lens
of ^in++++=of
Crystal ^nn++++=Crystal
of ^in++++=of
the ^ati++++=the
condition ^nn+nom+++=condition
of ^in++++=of
the ^ati++++=the
Skinn ^np+++??+=Skinn
on ^in++++=on
this ^dt+dem+++=this
Part ^nn++++=Part
of ^in++++=of
the ^ati++++=the
Body ^nn++++=Body:
: ^zz++++=EXTRAWORD
but ^cc+cls+++=but
could ^md+pos+++=could
not ^xnot++not++=not
detect ^vb++++=detect
with ^in++++=with
the ^ati++++=the
Instrument ^nn+nom+++=Instrument
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
any ^dti++++=any
Matter ^nn++++=Matter
of ^in++++=of
Importance ^nn+nom+++=Importance
beyond ^in++++=beyond
a ^at++++=a
couple ^nn++++=couple
of ^in++++=of
small ^jj+atrb+++=small
Punctures ^np+++??+=Punctures
or ^cc++++=or
Pricks ^np+++??+=Pricks,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we
then ^rn+tm+++=then
concluded ^vbd+vprv++xvbn+=concluded
were ^vbd+bed+vrb++=were
the ^ati++++=the
Spotts ^np+++??+=Spotts
by ^in++++=by
which ^whp+rel+pied++=which
the ^ati++++=the
Poyson ^np+++??+=Poyson
might ^md+pos+++=might
be ^vb+be+aux++=be
introduced ^vpsv++agls+xvbnx+=introduced,
, ^zz++++=EXTRAWORD
remembering ^vbg+vprv++xvbg+=remembering
that ^tht+vcmp+++=that
Ring ^nn++++=Ring
of ^in++++=of
Pope ^np++++=Pope
Borgia ^np+++??+=Borgia,
, ^zz++++=EXTRAWORD
with ^in++++=with
other ^ap++++=other
known ^vbn+vprv++xvbn+=known
Specimens ^nns++++=Specimens
of ^in++++=of
the ^ati++++=the
Horrid ^jj+atrb+++=Horrid
Art ^nn++++=Art
of ^in++++=of
the ^ati++++=the
Italian ^jj+atrb+++=Italian
Poysoners ^nns+nom++??+=Poysoners
of ^in++++=of
the ^ati++++=the
last ^jj+atrb+++=last
age ^nn++++=age.
. ^zz++++=EXTRAWORD
' ^zz++++='So
so ^ql++++=EXTRAWORD
much ^ap++++=much
is ^vbz+bez+aux++=is
to ^to++++=to
be ^vbi+vbi+aux++=be
said ^vpsv++agls+xvbnx+=said
of ^in++++=of
the ^ati++++=the
Symptoms ^nns++++=Symptoms
seen ^vbd+vprv++xvbn+=seen
on ^in++++=on
the ^ati++++=the
Corpse ^nn++++=Corpse.
. ^zz++++=EXTRAWORD
As ^in++++=As
to ^in"++++=to
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
to ^to++++=to
add ^vbi+vpub+++=add,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
meerly ^jj+pred+++=meerly
my ^pp$+pp1+++=my
own ^ap++++=own
Experiment ^nn+nom+++=Experiment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
be ^vbi+vbi+aux++=be
left ^vpsv++agls+xvbnx+=left
to ^in++++=to
Posterity ^np+nom++??+=Posterity
to ^to++++=to
judge ^vbi++++=judge
whether ^cs+who+++=whether
there ^ex+pex+++=there
be ^vb+be+vrb++=be
anything ^pn++++=anything
of ^in++++=of
Value ^nn++++=Value
therein ^rb++++=therein.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
on ^in++++=on
the ^ati++++=the
Table ^nn++++=Table
by ^in++++=by
the ^ati++++=the
Beddside ^np+++??+=Beddside
a ^at++++=a
Bible ^nn++++=Bible
of ^in++++=of
the ^ati++++=the
small ^jj+atrb+++=small
size ^nn++++=size,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
my ^pp$+pp1+++=my
Friend ^nn++++=Friend
punctuall ^nn+++??+=punctuall
as ^in++++=as
in ^in"++++=in
Matters ^nns+nom+++=Matters
of ^in++++=of
less ^rbr++++=less
Moment ^nn++++=Moment,
, ^zz++++=EXTRAWORD
so ^rb++++=so
in ^in++++=in
this ^dt+dem+++=this
more ^rbr++++=more
weighty ^jj+atrb+++=weighty
one ^cd1++++=one
used ^vbd+++xvbn+=used
nightly ^rb+cnj+++=nightly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
upon ^in++++=upon
his ^pp$+pp3+++=his
First ^rb++++=First
Rising ^nvbg+++xvbg+=Rising,
, ^zz++++=EXTRAWORD
to ^to++++=to
read ^vbn+vprv++xvbn+=read
a ^at++++=a
sett ^nn+++??+=sett
Portion ^nn+nom+++=Portion.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
taking ^vbg+++xvbg+=taking
it ^pp3+it+++=it
up ^rp++++=up
not ^xnot++not++=not
without ^in++++=without
a ^at++++=a
Tear ^nn++++=Tear
duly ^rb++++=duly
paid ^vbd+++xvbn+=paid
to ^in++++=to
him ^pp3o+pp3+++=him
which ^whp+who+++=which
from ^in++++=from
the ^ati++++=the
Study ^nn++++=Study
of ^in++++=of
this ^dt+dem+++=this
poorer ^jjr++++=poorer
Adumbration ^np+nom++??+=Adumbration
was ^vbd+bedz+aux++=was
now ^rn+tm+splt++=now
pass ^vb++++=pass'd
'd ^md+prd+vrb++0=EXTRAWORD
to ^in++++=to
the ^ati++++=the
contemplation ^nn+nom+++=contemplation
of ^in++++=of
its ^pp$+it+++=its
great ^jj+atrb+++=great
Originall ^np+++??+=Originall
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
my ^pp$+pp1+++=my
Thoughts ^nns++++=Thoughts,
, ^zz++++=EXTRAWORD
as ^ql++++=as
at ^rb++++=at
such ^abl++++=such
moments ^nns+nom+++=moments
of ^in++++=of
Helplessness ^nns+nom++??+=Helplessness
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
prone ^jj+pred+++=prone
to ^to+jcmp+++=to
catch ^vbi++++=catch
at ^in++++=at
any ^dti++++=any
the ^ati++++=the
least ^rbt++++=least
Glimmer ^nn++++=Glimmer
that ^tht+rel+subj++=that
makes ^vbz++++=makes
promise ^nn++++=promise
of ^in++++=of
Light ^nn++++=Light,
, ^zz++++=EXTRAWORD
to ^to++++=to
make ^vbi++++=make
trial ^nn++++=trial
of ^in++++=of
that ^dt+dem+++=that
old ^jj++++=old
and ^cc++++=and
by ^in++++=by
many ^ap++++=many
accounted ^jj+atrb++xvbn+=accounted
Superstitious ^jj+atrb+++=Superstitious
Practice ^nn++++=Practice
of ^in++++=of
drawing ^xvbg+++xvbg+=drawing
the ^ati++++=the
Sortes ^np+++??+=Sortes:
: ^zz++++=EXTRAWORD
of ^in++++=of
which ^whp+rel+pied++=which
a ^at++++=a
Principall ^np+++??+=Principall
Instance ^nn+nom+++=Instance,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
his ^pp$+pp3+++=his
late ^jj+atrb+++=late
Sacred ^jj+atrb+++=Sacred
Majesty ^nn++++=Majesty
the ^ati++++=the
Blessed ^jj+atrb++xvbn+=Blessed
Martyr ^nn++++=Martyr
King ^nn++++=King
Charles ^np++++=Charles
and ^cc++++=and
my ^pp$+pp1+++=my
Lord ^npt++++=Lord
Falkland ^np+++??+=Falkland,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
much ^ap++++=much
talked ^jj+++xvbn+=talked
of ^in+strn+++=of.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
needs ^vb++++=needs
admit ^vb+vpub+++=admit
that ^tht+vcmp+++=that
by ^in++++=by
my ^pp$+pp1+++=my
Trial ^nn++++=Trial
not ^xnot++not++=not
much ^rb++++=much
Assistance ^nn+nom+++=Assistance
was ^vbd+bedz+aux++=was
afforded ^vpsv++agls+xvbnx+=afforded
me ^pp1o+pp1+++=me:
: ^zz++++=EXTRAWORD
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
Cause ^nn++++=Cause
and ^cc++++=and
Origin ^nn++++=Origin
of ^in++++=of
these ^dt+dem+++=these
Dreadful ^jj+atrb+++=Dreadful
Events ^nns++++=Events
may ^md+pos+++=may
hereafter ^nn+nom+++=hereafter
be ^vb+be+aux++=be
search ^nn++++=search'd
'd ^md+prd+vrb++0=EXTRAWORD
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
set ^vbd+++xvbnx+=set
down ^rb+phrv+++=down
the ^ati++++=the
Results ^nns++++=Results,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
case ^nn++++=case
it ^pp3+it+++=it
may ^md+pos+++=may
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
pointed ^vbd+++xvbnx+=pointed
the ^ati++++=the
true ^jj+atrb+++=true
Quarter ^nn++++=Quarter
of ^in++++=of
the ^ati++++=the
Mischief ^nn++++=Mischief
to ^in++++=to
a ^at++++=a
quicker ^jjr+atrb+++=quicker
Intelligence ^nn+nom+++=Intelligence
than ^in++++=than
my ^pp$+pp1+++=my
own ^ap++++=own.
. ^zz++++=EXTRAWORD
' ^zz++++='
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
three ^cd++++=three
trials ^nns++++=trials,
, ^zz++++=EXTRAWORD
opening ^nvbg+++xvbg+=opening
the ^ati++++=the
Book ^nn++++=Book
and ^cc++++=and
placing ^vbg+++xvbg+=placing
my ^pp$+pp1+++=my
Finger ^nn++++=Finger
upon ^in++++=upon
certain ^jj+atrb+++=certain
Words ^nns++++=Words:
: ^zz++++=EXTRAWORD
which ^whp+who+++=which
gave ^vbd+++xvbn+=gave
in ^in++++=in
the ^ati++++=the
first ^rb++++=first
these ^dt+dem+++=these
words ^nns++++=words,
, ^zz++++=EXTRAWORD
from ^in++++=from
Luke ^np++++=Luke
xiii ^nn+++??+=xiii
7 ^zz++++=7,
, ^zz++++=EXTRAWORD
Cut ^j+++xvbn+=Cut
it ^pp3+it+++=it
down ^rp++++=down;
; ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
second ^rb+cnj+++=second,
, ^zz++++=EXTRAWORD
Isaiah ^np++++=Isaiah
xiii ^nn+++??+=xiii
20 ^cd++++=20,
, ^zz++++=EXTRAWORD
It ^pp3+it+++=It
shall ^md+prd+++=shall
never ^rb++++=never
be ^vb+be+aux++=be
inhabited ^vpsv++agls+xvbnx+=inhabited;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
upon ^in++++=upon
the ^ati++++=the
third ^od++++=third
Experiment ^nn+nom+++=Experiment,
, ^zz++++=EXTRAWORD
Job ^nn++++=Job
xxxix ^nn+++??+=xxxix
30 ^cd++++=30,
, ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
young ^jj+atrb+++=young
ones ^cd1s++++=ones
also ^rb++++=also
suck ^vb++++=suck
up ^rp++++=up
blood ^nn++++=blood.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
all ^abn++++=all
that ^dt+dem+++=that
need ^nn++++=need
be ^vb+be+aux++=be
quoted ^vpsv++agls+xvbnx+=quoted
from ^in++++=from
Mr ^npt++++=Mr
Crome ^np++++=Crome's
's ^$++++=EXTRAWORD
papers ^nns++++=papers.
. ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Matthew ^np++++=Matthew
Fell ^vbd+++xvbn+=Fell
was ^vbd+bedz+aux++=was
duly ^rb++splt++=duly
coffined ^vpsv++agls+xvbnx+=coffined
and ^cc+phrs+++=and
laid ^vpsv++agls+xvbn+=laid
into ^in+ppvb+++=into
the ^ati++++=the
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
funeral ^nn++++=funeral
sermon ^nn++++=sermon,
, ^zz++++=EXTRAWORD
preached ^xvbn+++xvbn+=preached
by ^in++++=by
Mr ^npt++++=Mr
Crome ^np++++=Crome
on ^in++++=on
the ^ati++++=the
following ^jj+atrb++xvbg+=following
Sunday ^nr++++=Sunday,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
printed ^vpsv++agls+xvbnx+=printed
under ^in++++=under
the ^ati++++=the
title ^nn++++=title
of ^in++++=of
' ^zz++++='The
the ^ati++++=EXTRAWORD
Unsearchable ^np+++??+=Unsearchable
Way ^nn++++=Way;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or,
, ^zz++++=EXTRAWORD
England ^np++++=England's
's ^$++++=EXTRAWORD
Danger ^nn++++=Danger
and ^cc++++=and
the ^ati++++=the
Malicious ^jj+atrb+++=Malicious
Dealings ^nns+nom+++=Dealings
of ^in++++=of
Anti-christ ^np+nom++??+=Anti-christ',
', ^nn+++??+=EXTRAWORD
it ^pp3+it+++=it
being ^vbg+beg++xvbg+=being
the ^ati++++=the
Vicar ^np++++=Vicar's
's ^$++++=EXTRAWORD
view ^nn++++=view,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
that ^dt+dem+++=that
most ^ql+emph+++=most
commonly ^rb++++=commonly
held ^vbd+vprv++xvbn+=held
in ^in++++=in
the ^ati++++=the
neighbourhood ^nn+nom+++=neighbourhood,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
Squire ^nn++++=Squire
was ^vbd+bedz+vrb++=was
the ^ati++++=the
victim ^nn++++=victim
of ^in++++=of
a ^at++++=a
recrudescence ^nn+nom+++=recrudescence
of ^in++++=of
the ^ati++++=the
Popish ^jj+atrb+++=Popish
Plot ^nn++++=Plot.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
son ^nn++++=son,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Matthew ^np++++=Matthew
the ^ati++++=the
second ^rb+cnj+++=second,
, ^zz++++=EXTRAWORD
succeeded ^j+++xvbn+=succeeded
to ^in++++=to
the ^ati++++=the
title ^nn++++=title
and ^cc++++=and
estates ^nns+nom+++=estates.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^ql++++=so
ends ^vbz++++=ends
the ^ati++++=the
first ^od++++=first
act ^vb+vpub+++=act
of ^in++++=of
the ^ati++++=the
Castringham ^np+++??+=Castringham
tragedy ^nn++++=tragedy.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
to ^to++++=to
be ^vbi+vbi+aux++=be
mentioned ^vpsv++agls+xvbnx+=mentioned,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
fact ^nn++++=fact
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
surprising ^jj+++xvbg+=surprising,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
new ^jj+atrb+++=new
Baronet ^np+++??+=Baronet
did ^vbd+dod+aux++=did
not ^xnot++not++=not
occupy ^vb++++=occupy
the ^ati++++=the
room ^nn++++=room
in ^in++++=in
which ^whp+rel+pied++=which
his ^pp$+pp3+++=his
father ^nn++++=father
had ^vbd+hvd+aux++=had
died ^vprf+++xvbnx+=died.
. ^zz++++=EXTRAWORD
Nor ^cc+cls+neg++=Nor,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
it ^pp3+it+++=it
slept ^vbd+++xvbn+=slept
in ^in++++=in
by ^in++++=by
anyone ^pn++++=anyone
but ^cc++++=but
an ^at++++=an
occasional ^jj+atrb+++=occasional
visitor ^nn++++=visitor
during ^in++++=during
the ^ati++++=the
whole ^nn++++=whole
of ^in++++=of
his ^pp$+pp3+++=his
occupation ^nn+nom+++=occupation.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
died ^vbd+++xvbnx+=died
in ^in++++=in
1735 ^cd+date+++=1735,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
find ^vb+vprv+++=find
that ^tht+vcmp+++=that
anything ^pn++++=anything
particular ^jj++++=particular
marked ^jj+++xvbn+=marked
his ^pp$+pp3+++=his
reign ^nn++++=reign,
, ^zz++++=EXTRAWORD
save ^vb++++=save
a ^at++++=a
curiously ^rb++++=curiously
constant ^jj+atrb+++=constant
mortality ^nn+nom+++=mortality
among ^in++++=among
his ^pp$+pp3+++=his
cattle ^nns++++=cattle
and ^cc++++=and
livestock ^nn++++=livestock
in ^rb++++=in
general ^rb"++++=general,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
showed ^vbd+vprv++xvbn+=showed
a ^at++++=a
tendency ^nn++++=tendency
to ^to+ncmp+++=to
increase ^vbi++++=increase
slightly ^rb+down+++=slightly
as ^in++++=as
time ^nn++++=time
went ^vbd+++xvbn+=went
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
Those ^dt+pdem+++=Those
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
interested ^jj+pred+++=interested
in ^in++++=in
the ^ati++++=the
details ^nns++++=details
will ^md+prd+++=will
find ^vb+vprv+++=find
a ^at++++=a
statistical ^jj+atrb+++=statistical
account ^nn++++=account
in ^in++++=in
a ^at++++=a
letter ^nn++++=letter
to ^in++++=to
the ^ati++++=the
Gentleman ^np+nom+++=Gentleman's
's ^$++++=EXTRAWORD
Magazine ^nn++++=Magazine
of ^in++++=of
1772 ^cd+date+++=1772,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
draws ^vbz++++=draws
the ^ati++++=the
facts ^nns++++=facts
from ^in++++=from
the ^ati++++=the
Baronet ^np++++=Baronet's
's ^$++++=EXTRAWORD
own ^ap++++=own
papers ^nns++++=papers.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
put ^vbd+++xvbnx+=put
an ^at++++=an
end ^nn++++=end
to ^in++++=to
it ^pp3+it+++=it
at ^rb++++=at
last ^rb"++++=last
by ^in++++=by
a ^at++++=a
very ^ql+amp+++=very
simple ^jj++++=simple
expedient ^jj++++=expedient,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
of ^in++++=of
shutting ^xvbg+++xvbg+=shutting
up ^rp++++=up
all ^rb++++=all
his ^pp$+pp3+++=his
beasts ^nns++++=beasts
in ^in++++=in
sheds ^nns++++=sheds
at ^in++++=at
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
keeping ^vbg+++xvbg+=keeping
no ^at++++=no
sheep ^nns++++=sheep
in ^in++++=in
his ^pp$+pp3+++=his
park ^nn++++=park.
. ^zz++++=EXTRAWORD
For ^in++++=For
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
noticed ^vprf+++xvbnx+=noticed
that ^tht+vcmp+++=that
nothing ^pn++++=nothing
was ^vbd+bedz+aux++=was
ever ^rb++splt++=ever
attacked ^vpsv++agls+xvbnx+=attacked
that ^dt+dem+++=that
spent ^vprf+++xvbn+=spent
the ^ati++++=the
night ^nn++++=night
indoors ^rn+pl+++=indoors.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
that ^dt+dem+++=that
the ^ati++++=the
disorder ^nn+nom+++=disorder
confined ^vwbn+++xvbn+=confined
itself ^ppl++++=itself
to ^in++++=to
wild ^jj+atrb+++=wild
birds ^nns++++=birds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beasts ^nns++++=beasts
of ^in++++=of
chase ^nn++++=chase.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
as ^ql++++=as
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
no ^at++++=no
good ^jj+atrb+++=good
account ^nn++++=account
of ^in++++=of
the ^ati++++=the
symptoms ^nns++++=symptoms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
all ^abn++++=all-night
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
watching ^vwbg+++xvbg+=watching
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
unproductive ^jj+pred+++=unproductive
of ^in++++=of
any ^dti++++=any
clue ^nn++++=clue,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
dwell ^vb++++=dwell
on ^in+ppvb+++=on
what ^wdt+who+++=what
the ^ati++++=the
Suffolk ^np++++=Suffolk
farmers ^nns+nom+++=farmers
called ^vbd+++xvbn+=called
the ^ati++++=the
' ^zz++++='Castringham
castringham ^nn+++??+=EXTRAWORD
sickness ^nns+nom+++=sickness'.
'. ^nn+++??+=EXTRAWORD
