Running ^jj+atrb++xvbg+=Running
storm ^nn++++=storm-swept
- ^zz++++=EXTRAWORD
swept ^vbd+++xvbn+=EXTRAWORD
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
closed ^vbd+++xvbn+=closed
and ^cc+phrs+++=and
bolted ^vbd+++xvbn+=bolted
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
stood ^vbd+++xvbn+=stood
a ^at++++=a
moment ^nn++++=moment
by ^in++++=by
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
frowning ^vbg+++xvbg+=frowning
in ^in++++=in
pity ^nn++++=pity.
. ^zz++++=EXTRAWORD
A ^at++++=A
low ^jj++++=low-breathed
- ^zz++++=EXTRAWORD
breathed ^vbd+++xvbn+=EXTRAWORD
" ^zz++++="Ha!"
ha ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
made ^vprf+++xvbn+=made
him ^pp3o+pp3+++=him
look ^vb++++=look
up ^rp++++=up.
. ^zz++++=EXTRAWORD
Soft ^jj+atrb+++=Soft
Shoes ^nns++++=Shoes
had ^vb+hv+aux++=had
already ^rb++splt++=already
raised ^vprf+++xvbnx+=raised
the ^ati++++=the
trap ^nn++++=trap
and ^cc++++=and
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
down ^rp++++=down
into ^in++++=into
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
rather ^rb++++=rather
elfish ^jj++++=elfish
face ^vb++++=face
squeezed ^vbd+++xvbn+=squeezed
into ^in++++=into
a ^at++++=a
grimace ^nn++++=grimace,
, ^zz++++=EXTRAWORD
half ^abn++++=half
of ^in++++=of
distaste ^nn++++=distaste,
, ^zz++++=EXTRAWORD
half ^abn++++=half
of ^in++++=of
sardonic ^jj+atrb+++=sardonic
amusement ^nn+nom+++=amusement.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
take ^vb++++=take
off ^rb+phrv+++=off
their ^pp$+pp3+++=their
heads ^nns++++=heads
with ^in++++=with
their ^pp$+pp3+++=their
helmets ^nns++++=helmets,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
remarked ^vbd+vpub++xvbnx+=remarked
in ^in++++=in
a ^at++++=a
whisper ^nn++++=whisper,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
as ^in++++=as
for ^in"++++=for
you ^pp2+pp2+++=you
and ^cc++++=and
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
two ^cd++++=two
cunning ^jj+atrb+++=cunning
men ^nns++++=men."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
be ^vb+be+aux++=be
cursed ^vpsv++agls+xvbnx+=cursed,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Wessel ^np+++??+=Wessel
vehemently ^rb++++=vehemently.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
knew ^vbd+vprv+tht0+xvbnx+=knew
you ^pp2+pp2+++=you
for ^in++++=for
a ^at++++=a
dog ^nn++++=dog,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
hear ^vb+vprv+++=hear
even ^rb++++=even
the ^ati++++=the
half ^nn++++=half
of ^in++++=of
a ^at++++=a
tale ^nn++++=tale
like ^in++++=like
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
for ^in++++=for
such ^abl++++=such
a ^at++++=a
dirty ^jj+atrb+++=dirty
cur ^nn++++=cur
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
minded ^vpsv++agls+xvbnx+=minded
to ^in++++=to
club ^nn++++=club
your ^pp$+pp2+++=your
skull ^nn++++=skull."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Soft ^jj+atrb+++=Soft
Shoes ^nns++++=Shoes
stared ^vbd+++xvbn+=stared
at ^rb++++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
blinking ^vbg+++xvbg+=blinking.
. ^zz++++=EXTRAWORD
" ^zz++++="At
at ^rb++++=EXTRAWORD
all ^abn++++=all
events ^nns++++=events,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
replied ^vbd+vpub++xvbnx+=replied
finally ^rb+cnj+++=finally,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
find ^vb+vprv+++=find
dignity ^nn+nom+++=dignity
impossible ^jj++++=impossible
in ^in++++=in
this ^dt+dem+++=this
position ^nn+nom+++=position."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
With ^in++++=With
this ^dt+dem+++=this
he ^pp3a+pp3+++=he
let ^vbd+++xvbnx+=let
his ^pp$+pp3+++=his
body ^nn++++=body
through ^in++++=through
the ^ati++++=the
trap ^nn++++=trap,
, ^zz++++=EXTRAWORD
hung ^j+++xvbn+=hung
for ^in++++=for
an ^at++++=an
instant ^nn+nom+++=instant,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dropped ^vbd+++xvbn+=dropped
the ^ati++++=the
seven ^cd++++=seven
feet ^nns++++=feet
to ^in++++=to
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
rat ^nn++++=rat
considered ^vwbn+vprv++xvbn+=considered
my ^pp$+pp1+++=my
ear ^nn++++=ear
with ^in++++=with
the ^ati++++=the
air ^nn++++=air
of ^in++++=of
a ^at++++=a
gourmet ^nn+++??+=gourmet,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued,
, ^zz++++=EXTRAWORD
dusting ^jj+++xvbg+=dusting
his ^pp$+pp3+++=his
hands ^nns++++=hands
on ^in++++=on
his ^pp$+pp3+++=his
breeches ^nns++++=breeches.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
rat ^nn++++=rat's
's ^vbz+bez+vrb++0=EXTRAWORD
peculiar ^jj+atrb+++=peculiar
idiom ^nn++++=idiom
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
deadly ^rb++++=deadly
poison ^nn++++=poison,
, ^zz++++=EXTRAWORD
so ^ql++++=so
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
himself ^ppl+pp3+++=himself
off ^in+strn+++=off."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Let's
let ^vb++++0=EXTRAWORD
us ^pp1o+pp1+++=EXTRAWORD
hear ^vb+vprv+++=hear
of ^in++++=of
this ^dt+dem+++=this
night ^nn++++=night's
's ^$++++=EXTRAWORD
lechery ^nn+nom+++=lechery!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
insisted ^vbd+vpub++xvbn+=insisted
Wessel ^np+++??+=Wessel
angrily ^rb++++=angrily.
. ^zz++++=EXTRAWORD
Soft ^jj+atrb+++=Soft
Shoes ^nns++++=Shoes
touched ^vbd+++xvbn+=touched
his ^pp$+pp3+++=his
thumb ^nn++++=thumb
to ^in++++=to
his ^pp$+pp3+++=his
nose ^nn++++=nose
and ^cc++++=and
wiggled ^vbd+++xvbn+=wiggled
the ^ati++++=the
fingers ^nns+nom+++=fingers
derisively ^rb++++=derisively
at ^in++++=at
Wessel ^np+++??+=Wessel.
. ^zz++++=EXTRAWORD
" ^zz++++="Street
street ^nn++++=EXTRAWORD
gamin ^nn+++??+=gamin!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
muttered ^vbd+++xvbn+=muttered
Wessel ^np+++??+=Wessel.
. ^zz++++=EXTRAWORD
" ^zz++++="Have
have ^vb+hv+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
any ^dti++++=any
paper ^nn++++=paper?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
demanded ^vwbn+vsua++xvbn+=demanded
Soft ^jj+atrb+++=Soft
Shoes ^nns++++=Shoes
irrelevantly ^rb+cnj+++=irrelevantly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
rudely ^rb++++=rudely
added ^jj+++xvbn+=added,
, ^zz++++=EXTRAWORD
" ^zz++++="or
or ^cc++++=EXTRAWORD
can ^md+pos+++=can
you ^pp2+pp2+++=you
write ^vb++++=write?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
should ^md+nec+++=should
I ^pp1a+pp1+++=I
give ^vb++++=give
you ^pp2+pp2+++=you
paper ^nn++++=paper?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
hear ^vbi+vprv+++=hear
of ^in++++=of
the ^ati++++=the
night ^nn++++=night's
's ^$++++=EXTRAWORD
entertainment ^nn+nom+++=entertainment.
. ^zz++++=EXTRAWORD
So ^ql++++=So
you ^pp2+pp2+++=you
shall ^md+prd+++=shall,
, ^zz++++=EXTRAWORD
an ^at++++=an
you ^pp2+pp2+++=you
give ^vb++++=give
me ^pp1o+pp1+++=me
pen ^nn++++=pen,
, ^zz++++=EXTRAWORD
ink ^nn++++=ink,
, ^zz++++=EXTRAWORD
a ^at++++=a
sheaf ^nn++++=sheaf
of ^in++++=of
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
room ^nn++++=room
to ^in++++=to
myself ^ppl+pp1+++=myself."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
hesitated ^vbd+++xvbn+=hesitated.
. ^zz++++=EXTRAWORD
" ^zz++++="Get
get ^vb++++=EXTRAWORD
out ^rb+phrv+++=out!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
finally ^rb++++=finally.
. ^zz++++=EXTRAWORD
" ^zz++++="As
as ^ql++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
missed ^vprf+++xvbnx+=missed
a ^at++++=a
most ^ql+emph+++=most
intriguing ^jj+atrb+++=intriguing
story ^nn++++=story."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
wavered ^vbd+++xvbn+=wavered
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
soft ^jj+pred+++=soft
as ^ql++++=as
taffy ^vb++++=taffy,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
man ^nn++++=man
gave ^vbd+++xvbn+=gave
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
Soft ^jj+atrb+++=Soft
Shoes ^nns++++=Shoes
went ^vbd+++xvbn+=went
into ^in++++=into
the ^ati++++=the
adjoining ^jj+atrb++xvbg+=adjoining
room ^nn++++=room
with ^in++++=with
the ^ati++++=the
begrudged ^nn++++=begrudged
writing ^vwbg+++xvbg+=writing
materials ^nns+nom+++=materials
and ^cc++++=and
precisely ^rb++++=precisely
closed ^vbd+++xvbn+=closed
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
grunted ^vbd+++xvbn+=grunted
and ^cc+phrs+++=and
returned ^vbd+++xvbn+=returned
to ^to++++=to
" ^zz++++="The
the ^ati++++=EXTRAWORD
Faerie ^np+++??+=Faerie
Queene ^np+++??+=Queene";
" ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
so ^ql++++=so
silence ^nn+nom+++=silence
came ^vbd+++xvbn+=came
once ^rb+tm+++=once
more ^rbr++++=more
upon ^in++++=upon
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Ii ^np+++??+=II
Three ^cd++++=Three
o'clock ^rb++++=o'clock
went ^vbd+++xvbn+=went
into ^in++++=into
four ^cd++++=four.
. ^zz++++=EXTRAWORD
The ^ati++++=The
room ^nn++++=room
paled ^vbd+++xvbn+=paled,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dark ^jj++++=dark
outside ^jjb++++=outside
was ^vbd+bedz+aux++=was
shot ^vpsv++agls+xvbnx+=shot
through ^in++++=through
with ^in++++=with
damp ^nn++++=damp
and ^cc++++=and
chill ^nn++++=chill,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Wessel ^np+++??+=Wessel,
, ^zz++++=EXTRAWORD
cupping ^vbg+++xvbg+=cupping
his ^pp$+pp3+++=his
brain ^nn++++=brain
in ^in++++=in
his ^pp$+pp3+++=his
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
bent ^j+++xvbn+=bent
low ^jj++++=low
over ^in++++=over
his ^pp$+pp3+++=his
table ^nn++++=table,
, ^zz++++=EXTRAWORD
tracing ^jj+++xvbg+=tracing
through ^in++++=through
the ^ati++++=the
pattern ^nn++++=pattern
of ^in++++=of
knights ^nns++++=knights
and ^cc++++=and
fairies ^nns++++=fairies
and ^cc++++=and
the ^ati++++=the
harrowing ^jj+atrb+++=harrowing
distresses ^nns+nom+++=distresses
of ^in++++=of
many ^ap++++=many
girls ^nns++++=girls.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
dragons ^nns++++=dragons
chortling ^nn+nom+++=chortling
along ^in++++=along
the ^ati++++=the
narrow ^jj+atrb+++=narrow
street ^nn++++=street
outside ^jjb++++=outside;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
sleepy ^jj+atrb+++=sleepy
armorer ^jjr+atrb+++=armorer's
's ^vbz+bez+aux++0=EXTRAWORD
boy ^nn++++=boy
began ^vbd+++xvbn+=began
his ^pp$+pp3+++=his
work ^nn++++=work
at ^rb++++=at
half ^abn++++=half-past
- ^zz++++=EXTRAWORD
past ^jjb++++=EXTRAWORD
five ^cd++++=five
the ^ati++++=the
heavy ^jj+atrb+++=heavy
clink ^nn+++??+=clink
and ^cc++++=and
clank ^nn+++??+=clank
of ^in++++=of
plate ^nn++++=plate
and ^cc++++=and
linked ^vbd+++xvbn+=linked
mail ^nn++++=mail
swelled ^vbd+++xvbn+=swelled
to ^in++++=to
the ^ati++++=the
echo ^nn++++=echo
of ^in++++=of
a ^at++++=a
marching ^jj+atrb++xvbg+=marching
cavalcade ^nn+++??+=cavalcade.
. ^zz++++=EXTRAWORD
A ^at++++=A
fog ^nn++++=fog
shut ^vbd+++xvbn+=shut
down ^rp++++=down
at ^rb++++=at
the ^ati++++=the
first ^od++++=first
flare ^vb++++=flare
of ^in++++=of
dawn ^nn++++=dawn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
room ^nn++++=room
was ^vbd+bedz+vrb++=was
grayish ^jj++++=grayish
yellow ^jj++++=yellow
at ^rb++++=at
six ^cd++++=six
when ^wrb+who+++=when
Wessel ^np+++??+=Wessel
tiptoed ^vbd+++xvbn+=tiptoed
to ^in++++=to
his ^pp$+pp3+++=his
cupboard ^nn++++=cupboard
bedchamber ^jjr++++=bedchamber
and ^cc+phrs+++=and
pulled ^jj+++xvbn+=pulled
open ^jj++++=open
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
guest ^nn++++=guest
turned ^vbd+++xvbn+=turned
on ^rb+phrv+++=on
him ^pp3o+pp3+++=him
a ^at++++=a
face ^nn++++=face
pale ^nn++++=pale
as ^ql++++=as
parchment ^nn+nom+++=parchment
in ^in++++=in
which ^whp+rel+pied++=which
two ^cd++++=two
distraught ^vbd+++xvbn+=distraught
eyes ^nns++++=eyes
burned ^vbd+++xvbn+=burned
like ^in++++=like
great ^jj+atrb+++=great
red ^jj+atrb+++=red
letters ^nns+nom+++=letters.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
drawn ^vprf+++xvbnx+=drawn
a ^at++++=a
chair ^nn++++=chair
close ^in+cmpx+++=close
to ^in++++=to
Wessel ^np++++=Wessel's
's ^$++++=EXTRAWORD
prie ^nn+++??+=prie-dieu
- ^zz++++=EXTRAWORD
dieu ^nn+++??+=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
using ^vbg+++xvbgx+=using
as ^ql++++=as
a ^at++++=a
desk ^nn++++=desk;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
an ^at++++=an
amazing ^jj+atrb+++=amazing
stack ^nn++++=stack
of ^in++++=of
closely ^rb++++=closely
written ^xvbn+++xvbn+=written
pages ^nns++++=pages.
. ^zz++++=EXTRAWORD
With ^in++++=With
a ^at++++=a
long ^rb++++=long
sigh ^nn++++=sigh
Wessel ^np+++??+=Wessel
withdrew ^vbd+++xvbn+=withdrew
and ^cc+phrs+++=and
returned ^vbd+++xvbn+=returned
to ^in++++=to
his ^pp$+pp3+++=his
siren ^nn++++=siren,
, ^zz++++=EXTRAWORD
calling ^vbg+nom++xvbg+=calling
himself ^ppl+pp3+++=himself
fool ^jjb++++=fool
for ^in++++=for
not ^xnot++not++=not
claiming ^vbg+vpub++xvbg+=claiming
his ^pp$+pp3+++=his
bed ^nn++++=bed
here ^rn+pl+++=here
at ^rb++++=at
dawn ^nn++++=dawn.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dump ^nn++++=dump
of ^in++++=of
boots ^nns++++=boots
outside ^jjb++++=outside,
, ^zz++++=EXTRAWORD
the ^ati++++=the
croaking ^jj+++xvbg+=croaking
of ^in++++=of
old ^jj+atrb+++=old
beldames ^nns+++??+=beldames
from ^in++++=from
attic ^nn++++=attic
to ^in++++=to
attic ^nn++++=attic,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dull ^jj+atrb+++=dull
murmur ^nn++++=murmur
of ^in++++=of
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
unnerved ^xvbn+++xvbn+=unnerved
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
dozing ^vbg+++xvbg+=dozing,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
slumped ^vbd+++xvbnx+=slumped
in ^in++++=in
his ^pp$+pp3+++=his
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
brain ^nn++++=brain,
, ^zz++++=EXTRAWORD
overladen ^jj++++=overladen
with ^in++++=with
sound ^nn++++=sound
and ^cc++++=and
color ^nn++++=color,
, ^zz++++=EXTRAWORD
working ^jj+++xvbg+=working
intolerably ^rb++++=intolerably
over ^in++++=over
the ^ati++++=the
imagery ^nn+nom+++=imagery
that ^tht+rel+++=that
stacked ^jj+++xvbn+=stacked
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
restless ^jj+atrb+++=restless
dream ^nn++++=dream
of ^in++++=of
his ^pp$+pp3+++=his
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
a ^at++++=a
thousand ^cd++++=thousand
groaning ^jj+atrb++xvbg+=groaning
bodies ^nns++++=bodies
crushed ^vwbn+++xvbn+=crushed
near ^in+pl+++=near
the ^ati++++=the
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
a ^at++++=a
helpless ^jj+atrb+++=helpless
bridge ^nn++++=bridge
for ^in++++=for
the ^ati++++=the
strong ^jj++++=strong-eyed
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
Apollo ^np++++=Apollo.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dream ^nn++++=dream
tore ^vbd+++xvbn+=tore
at ^in++++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
scraped ^j+++xvbn+=scraped
along ^in++++=along
his ^pp$+pp3+++=his
mind ^nn++++=mind
like ^in++++=like
a ^at++++=a
ragged ^jj+atrb+++=ragged
knife ^nn++++=knife.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
a ^at++++=a
hot ^jj+atrb+++=hot
hand ^nn++++=hand
touched ^vbd+++xvbn+=touched
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
awoke ^vbd+++xvbnx+=awoke
with ^in++++=with
what ^wdt+who+++=what
was ^vbd+bedz+vrb++=was
nearly ^rb+down+++=nearly
a ^at++++=a
scream ^vb++++=scream
to ^to++++=to
find ^vbi+vprv+++=find
the ^ati++++=the
fog ^nn++++=fog
thick ^jj++++=thick
in ^in++++=in
the ^ati++++=the
room ^nn++++=room
and ^cc++++=and
his ^pp$+pp3+++=his
guest ^nn++++=guest,
, ^zz++++=EXTRAWORD
a ^at++++=a
gray ^np++++=gray
ghost ^nn++++=ghost
of ^in++++=of
misty ^jj+atrb+++=misty
stuff ^nn++++=stuff,
, ^zz++++=EXTRAWORD
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him
with ^in++++=with
a ^at++++=a
pile ^nn++++=pile
of ^in++++=of
paper ^nn++++=paper
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
should ^md+nec+++=should
be ^vb+be+vrb++=be
a ^at++++=a
most ^ql+emph+++=most
intriguing ^jj+atrb+++=intriguing
tale ^nn++++=tale,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
requires ^vbz++++=requires
some ^dti++++=some
going ^jj+++xvbg+=going
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
May ^md+pos+++=May
I ^pp1a+pp1+++=I
ask ^vb++++=ask
you ^pp2+pp2+++=you
to ^in++++=to
lock ^nn++++=lock
it ^pp3+it+++=it
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
God ^np++++=God's
's ^$++++=EXTRAWORD
name ^nn++++=name
let ^vbd+++xvbn+=let
me ^pp1o+pp1+++=me
sleep ^nn++++=sleep?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
waited ^vbd+++xvbnx+=waited
for ^in++++=for
no ^at++++=no
answer ^nn++++=answer,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
thrust ^nn+++xvbn+=thrust
the ^ati++++=the
pile ^nn++++=pile
at ^in++++=at
Wessel ^np+++??+=Wessel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
literally ^rb++++=literally
poured ^vbd+++xvbn+=poured
himself ^ppl+pp3+++=himself
like ^in++++=like
stuff ^nn++++=stuff
from ^in++++=from
a ^at++++=a
suddenly ^rb++++=suddenly
inverted ^jj+atrb++xvbn+=inverted
bottle ^nn++++=bottle
upon ^in++++=upon
a ^at++++=a
couch ^nn++++=couch
in ^in++++=in
the ^ati++++=the
corner ^nn++++=corner,
, ^zz++++=EXTRAWORD
slept ^j+++xvbn+=slept,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
breathing ^nvbg+++xvbg+=breathing
regular ^jj++++=regular,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
brow ^nn++++=brow
wrinkled ^vwbn+++xvbn+=wrinkled
in ^in++++=in
a ^at++++=a
curious ^jj++++=curious
and ^cc++++=and
somewhat ^rb+down+++=somewhat
uncanny ^jj+atrb+++=uncanny
manner ^nn++++=manner.
. ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
yawned ^vbd+++xvbn+=yawned
sleepily ^rb++++=sleepily
and ^cc++++=and,
, ^zz++++=EXTRAWORD
glancing ^vbg+++xvbg+=glancing
at ^in++++=at
the ^ati++++=the
scrawled ^jj+++xvbn+=scrawled,
, ^zz++++=EXTRAWORD
uncertain ^jj++++=uncertain
first ^od++++=first
page ^nn++++=page,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
reading ^nvbg+++xvbg+=reading
aloud ^rb++++=aloud
very ^ql+amp+++=very
softly ^rb++++=softly:
: ^zz++++=EXTRAWORD
" ^zz++++="From
from ^in++++=EXTRAWORD
the ^ati++++=the
besieged ^jj+++xvbn+=besieged
Ardea ^np+++??+=Ardea
all ^rb++++=all
in ^in++++=in
post ^nn++++=post,
, ^zz++++=EXTRAWORD
Borne ^xvbn+++xvbn+=Borne
by ^in++++=by
the ^ati++++=the
trustless ^jj+atrb+++=trustless
wings ^nns++++=wings
of ^in++++=of
false ^jj+atrb+++=false
desire ^nn++++=desire,
, ^zz++++=EXTRAWORD
Lust ^nn++++=Lust-breathing

 ^zz++++=EXTRAWORD
Breathing ^nn++++=EXTRAWORD
Tarquin ^np++++=Tarquin
Leaves ^vbz++++=leaves
The ^ati++++=the
Roman ^jj+atrb+++=Roman
Host ^nn++++=host
 ^zz++++="_
? ^zz++++=EXTRAWORD
