Coming ^vbg+++xvbg+=Coming
n't ^xnot++not++0=EXTRAWORD
never ^rb++++=never
expect ^vb+vprv+++=expect
to ^to+vcmp+++=to
squench ^vb+++??+=squench
it ^pp3+it+++=it
proper ^jj++++=proper;"
; ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
plaintively ^jj++++=plaintively.
. ^zz++++=EXTRAWORD
" ^zz++++="Klusky
klusky ^nn+++??+=EXTRAWORD
was ^vbd+bedz+vrb++=was
here ^rn+pl+++=here
again ^rb+tm+++=again
while ^cs+sub+++=while
you ^pp2+pp2+++=you
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
itch ^nn++++=itch
to ^to++++=to
choke ^vbi++++=choke
that ^cs+sub+++=that
Jew ^nn++++=Jew
whenever ^nn+nom+++=whenever
he ^pp3a+pp3+++=he
gets ^vbz++++=gets
to ^in++++=to
ravin ^nn+++??+=ravin'
' ^zz++++=EXTRAWORD
over ^in++++=over
these ^dt+dem+++=these
people ^nns++++=people.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+vrb++0=EXTRAWORD
sure ^jj+atrb+++=sure
losin ^nn+++??+=losin'
' ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
paystreak ^nn+++??+=paystreak.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gritted ^vbd+++xvbnx+=gritted
his ^pp$+pp3+++=his
teeth ^nns++++=teeth
and ^cc++++0=an'
foamed ^jj++++=foamed
like ^in++++=like
a ^at++++=a
mad ^jj+atrb+++=mad
malamoot ^nn+++??+=malamoot,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
see ^vb+vprv+++=see
a ^at++++=a
low ^jj++++=low-downer
- ^zz++++=EXTRAWORD
downer ^jjr+atrb+++=EXTRAWORD
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
aspect ^nn++++=aspect
than ^cs+sub+++=than
him ^pp3o+pp3+++=him
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
gets ^vbz++++=gets
mad ^jj++++=mad."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="'I'll
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
make ^vb++++=make
them ^pp3o+pp3+++0='em
come ^vb++++=come
to ^in++++=to
me ^pp1o+pp1+++=me,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
' ^zz++++='on
on ^in++++=EXTRAWORD
their ^pp$+pp3+++=their
bellies ^nns++++=bellies
beggin ^nn+++??+=beggin'.
'. ^nn+++??+=EXTRAWORD
It ^pp3+it+++=It
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
time ^nn++++=time
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
no ^at++++=no!
! ^zz++++=EXTRAWORD
Wait ^vb++++=Wait
' ^zz++++='till
till ^cs+sub+++=EXTRAWORD
half ^abn++++=half
of ^in++++=of
them ^pp3o+pp3+++0='em
is ^vbz+bez+vrb++=is
dead ^jj+pred+++=dead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
the ^ati++++=the
rest ^nn++++=rest
is ^vbz+bez+vrb++=is
rotten ^jj+pred+++=rotten
with ^in++++=with
scurvy ^nn+++??+=scurvy.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
they ^pp3a+pp3+++=they'll
'll ^md+prd+++0=EXTRAWORD
crawl ^vb++++=crawl
to ^in++++=to
me ^pp1o+pp1+++=me
with ^in++++=with
their ^pp$+pp3+++=their
gums ^nns+++??+=gums
thick ^jj++++=thick
and ^cc++++=and
black ^nn++++=black,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
their ^pp$+pp3+++=their
flesh ^nn++++=flesh
like ^in++++=like
dough ^nn+++??+=dough;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they'll
'll ^md+prd+++0=EXTRAWORD
kiss ^vb++++=kiss
my ^pp$+pp1+++=my
feet ^nns++++=feet
and ^cc++++0=an'
cry ^nn++++=cry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
stamp ^vb++++=stamp
them ^pp3o+pp3+++0='em
into ^in++++=into
the ^ati++++=the
snow ^nn++++=snow!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You'd
'd ^md+prd+aux++0=EXTRAWORD
ought ^md+nec+++=ought
a ^at++++=a
heard ^vbd+vprv++xvbn+=heard
him ^pp3o+pp3+++=him
laugh ^nn++++=laugh.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
day ^nn++++=day
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
lay ^vbi++++=lay
a ^at++++=a
hand ^nn++++=hand
on ^in++++=on
that ^dt+dem+++=that
man ^nn++++=man,
, ^zz++++=EXTRAWORD
right ^jj++++=right
in ^in++++=in
my ^pp$+pp1+++=my
own ^ap++++=own
house ^nn++++=house."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^ql++++=As
they ^pp3a+pp3+++=they
prepared ^vbd+++xvbnx+=prepared
for ^in++++=for
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
remarked ^vbd+vpub++xvbn+=remarked:
: ^zz++++=EXTRAWORD
" ^zz++++="By
by ^in++++=EXTRAWORD
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
speaking ^vbg+++xvbg+=speaking
of ^in++++=of
potatoes ^nns++++=potatoes,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
to ^to+vcmp+++=to-night
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
that ^tht+rel+obj++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
crate ^nn++++=crate
in ^in++++=in
the ^ati++++=the
Frenchmen ^np++++=Frenchmen's
's ^$++++=EXTRAWORD
outfit ^nn++++=outfit
somewhere ^rb+cnj+++=somewhere,
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
in ^in++++=in
by ^in++++=by
mistake ^nn++++=mistake.
. ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
boated ^vbd+++xvbnx+=boated
their ^pp$+pp3+++=their
stuff ^nn++++=stuff
up ^rp++++=up
river ^nn++++=river
last ^rb++++=last
fall ^nn++++=fall
it ^pp3+it+++=it
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found--must
-- ^--+clp+++=EXTRAWORD
must ^md+nec+++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
lost ^vpsv++agls+xvbnx+=lost."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
some ^dti++++=some
days ^nns++++=days
later ^rbr+tm+++=later
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
returning ^vbg+++xvbg+=returning
from ^in++++=from
a ^at++++=a
gameless ^jj+atrb+++=gameless
hunt ^nn++++=hunt,
, ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
staggered ^vbd+++xvbn+=staggered
into ^in++++=into
camp ^nn++++=camp,
, ^zz++++=EXTRAWORD
weary ^jj++++=weary
from ^in++++=from
the ^ati++++=the
drag ^nn++++=drag
of ^in++++=of
his ^pp$+pp3+++=his
snow ^np++++=snow-shoes.
- ^zz++++=EXTRAWORD
shoes ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Throwing ^vbg+++xvbg+=Throwing
himself ^ppl+pp3+++=himself
into ^in++++=into
his ^pp$+pp3+++=his
bunk ^nn++++=bunk
he ^pp3a+pp3+++=he
rested ^vbd+++xvbnx+=rested
while ^cs+sub+++=while
George ^np++++=George
prepared ^vwbn+++xvbn+=prepared
the ^ati++++=the
meagre ^jj+atrb+++=meagre
meal ^nn++++=meal
of ^in++++=of
brown ^jj+atrb+++=brown
beans ^nns++++=beans,
, ^zz++++=EXTRAWORD
fried ^jj+atrb+++=fried
salt ^nn++++=salt
pork ^nn++++=pork,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sour ^jj++++=sour-dough
- ^zz++++=EXTRAWORD
dough ^nn+++??+=EXTRAWORD
bread ^nn++++=bread.
. ^zz++++=EXTRAWORD
The ^ati++++=The
excellence ^nn+nom+++=excellence
of ^in++++=of
this ^dt+pdem+++=this
last ^rb+cnj+++=last,
, ^zz++++=EXTRAWORD
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
whaler ^nn++++=whaler's
's ^$++++=EXTRAWORD
years ^nns++++=years
of ^in++++=of
practice ^nn++++=practice,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did
much ^rb++++=much
to ^to++++=to
mitigate ^nn+nom+++=mitigate
the ^ati++++=the
unpleasantness ^nns+nom+++=unpleasantness
of ^in++++=of
the ^ati++++=the
milkless ^jj++++=milkless,
, ^zz++++=EXTRAWORD
butterless ^jj+atrb+++=butterless,
, ^zz++++=EXTRAWORD
sugarless ^jj+atrb+++=sugarless
menu ^nn++++=menu.
. ^zz++++=EXTRAWORD
Captain ^np++++=Captain's
's ^$++++=EXTRAWORD
fatigue ^nn++++=fatigue
prevented ^vbd+++xvbn+=prevented
notice ^vb+vprv+++=notice
of ^in++++=of
the ^ati++++=the
other's ^ap$++++=other's
bearing ^nvbg+++xvbg+=bearing.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
supped ^vprf+++xvbnx+=supped
and ^cc++++=and
the ^ati++++=the
dishes ^nns++++=dishes
were ^vbd+bed+aux++=were
done ^vpsv++agls+xvbnx+=done
George ^np++++=George
spoke ^vbd+++xvbn+=spoke,
, ^zz++++=EXTRAWORD
quietly ^rb++++=quietly
and ^cc++++=and
without ^in++++=without
emotion ^nn+nom+++=emotion.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
the ^ati++++=the
big ^jj+atrb+++=big
thing ^nn++++=thing
has ^vbz+hvz+aux++=has
come ^vprf+++xvbn+=come
off ^in+strn+++=off."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
For ^in++++=For
reply ^nn++++=reply
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
the ^ati++++=the
grease ^nn++++=grease
dip ^nn++++=dip
and ^cc++++=and,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv+tht0+xvbg+=holding
it ^pp3+it+++=it
close ^rb+cnj+++=close,
, ^zz++++=EXTRAWORD
bared ^j+++xvbn+=bared
his ^pp$+pp3+++=his
teeth ^nns++++=teeth.
. ^zz++++=EXTRAWORD
With ^in++++=With
a ^at++++=a
cry ^nn++++=cry
Captain ^npt++++=Captain
leaped ^vbd+++xvbn+=leaped
from ^in++++=from
his ^pp$+pp3+++=his
bunk ^nn++++=bunk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
took ^vbd+++xvbn+=took
his ^pp$+pp3+++=his
face ^nn++++=face
between ^in++++=between
his ^pp$+pp3+++=his
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
" ^zz++++="Great
great ^jj+atrb+++=EXTRAWORD
God ^np++++=God!
! ^zz++++=EXTRAWORD
George ^np++++=George!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pushed ^vbd+++xvbnx+=pushed
back ^jjb++++=back
the ^ati++++=the
lips ^nns++++=lips.
. ^zz++++=EXTRAWORD
Livid ^jj+atrb+++=Livid
blotches ^nns++++=blotches
met ^vbd+++xvbn+=met
his ^pp$+pp3+++=his
gaze ^nn++++=gaze--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
gums ^nn++++=gums
swollen ^vprf+++xvbn+=swollen
and ^cc+phrs+++=and
discoloured ^vbd+++xvbn+=discoloured.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
dropped ^vbd+++xvbnx+=dropped
back ^jjb++++=back
sick ^jj++++=sick
and ^cc++++=and
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
staring ^vbg+++xvbg+=staring
at ^rb++++=at
his ^pp$+pp3+++=his
bulky ^jj+atrb+++=bulky
comrade ^nn++++=comrade,
, ^zz++++=EXTRAWORD
dazed ^j+++xvbn+=dazed
and ^cc+phrs+++=and
uncomprehending ^jj++++=uncomprehending.
. ^zz++++=EXTRAWORD
Carefully ^rb++++=Carefully
replacing ^vbg+++xvbg+=replacing
the ^ati++++=the
lamp ^nn++++=lamp,
, ^zz++++=EXTRAWORD
George ^np++++=George
continued ^vbd+++xvbn+=continued:
: ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
felt ^vbd+vprv+tht0+xvbnx+=felt
it ^pp3+it+++=it
comin ^nn+++??+=comin'
' ^zz++++=EXTRAWORD
quite ^rb++++=quite
a ^at++++=a
while ^cs+sub+++=while
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
pains ^nns++++=pains
in ^in++++=in
my ^pp$+pp1+++=my
knees ^nns++++=knees
and ^cc++++0=an'
all ^abn++++=all
that ^dt+pdem+++=that--thought
-- ^--+clp+++=EXTRAWORD
thought ^j+++xvbn+=EXTRAWORD
mebbe ^rb++++=mebbe
you ^pp2+pp2+++=you'd
'd ^md+prd+vrb++0=EXTRAWORD
notice ^nn++++=notice
me ^pp1o+pp1+++=me
hobblin ^nn+++??+=hobblin'
' ^zz++++=EXTRAWORD
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
git ^np++++=git
around ^in++++=around
good ^jj++++=good--feel
-- ^--+clp+++=EXTRAWORD
feel ^vb+vprv+++=EXTRAWORD
sort ^rb+hdg+++=sort
of ^rb"+hdg"+++=of
stove ^nn++++=stove
up ^rp++++=up
and ^cc++++0=an'
spavined ^vpsv++agls+xvbn+=spavined
on ^in++++=on
my ^pp$+pp1+++=my
feet ^nns++++=feet."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we've
've ^vb+hv+aux++0=EXTRAWORD
lived ^vprf+++xvbnx+=lived
clean ^jj++++=clean,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
exercised ^vbd+++xvbn+=exercised,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
drank ^vbd+++xvbn+=drank
spruce ^jj+atrb+++=spruce
tea ^nn++++=tea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and--everything,"
-- ^--+clp+++=EXTRAWORD
everything ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
'd ^md+prd+vrb++=had
a ^at++++=a
touch ^nn++++=touch
before ^in++++=before;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
blood ^nn++++=blood
I ^pp1a+pp1+++=I
reckon ^vb+vprv+++=reckon.
. ^zz++++=EXTRAWORD
Too ^ql++++=Too
much ^ap++++=much
salt ^jj+atrb+++=salt
grub ^nn++++=grub;
; ^zz++++=EXTRAWORD
too ^ql++++=too
many ^ap++++=many
winters ^nns+nom+++=winters
on ^in++++=on
the ^ati++++=the
coast ^nn++++=coast.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
never ^rb++++=never
took ^vbd+++xvbn+=took
me ^pp1o+pp1+++=me
so ^rb+emph+++=so
sudden ^jj++++=sudden
and ^cc+phrs+++0=an'
vicious ^jj++++=vicious
though ^rb+cnj+++=though.
. ^zz++++=EXTRAWORD
Guess ^vb++++=Guess
the ^ati++++=the
stuff ^nn++++=stuff's
's ^$++++=EXTRAWORD
off ^rp+pl+++=off."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
talk ^nn++++=talk
that ^tht+rel+++=that
way ^nn++++=way,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Captain ^npt++++=Captain,
, ^zz++++=EXTRAWORD
sharply ^rb++++=sharply.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+aux++0=EXTRAWORD
not ^xnot++not++=not
going ^md"++pmd"++=going
to ^md+prd+++=to
die ^vb++++=die--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Vat's
vat ^nn+++??+=EXTRAWORD
's ^$++++=EXTRAWORD
the ^ati++++=the
mattaire ^nn+++??+=mattaire?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
came ^vbd+++xvbn+=came
a ^at++++=a
leering ^jj+atrb+++=leering
voice ^nn++++=voice
and ^cc++++=and,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
they ^pp3a+pp3+++=they
beheld ^vb+++??+=beheld
Klusky ^np+++??+=Klusky,
, ^zz++++=EXTRAWORD
the ^ati++++=the
renegade ^nn+++??+=renegade.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
entered ^vprf+++xvbnx+=entered
silently ^rb+cnj+++=silently,
, ^zz++++=EXTRAWORD
as ^ql++++=as
usual ^jj++++=usual,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
darted ^vbd+++xvbn+=darted
shrewd ^jj+atrb+++=shrewd
inquiring ^jj+atrb+++=inquiring
glances ^nns+nom+++=glances
at ^in++++=at
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="George
george ^np++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
the ^ati++++=the
scurvy ^nn+++??+=scurvy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oi!
oi ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Oi ^uh++++=Oi!
! ^zz++++=EXTRAWORD
Oi ^uh++++=Oi!
! ^zz++++=EXTRAWORD
Vat ^np+++??+=Vat
a ^at++++=a
peety ^nn+++??+=peety."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seemed ^vbd+seem++xvbnx+=seemed
about ^md"++pmd"++=about
to ^md+prd+++=to
say ^vb+vpub+++=say
more ^rbr++++=more
but ^cc++++=but
refrained ^vprf+++xvbn+=refrained,
, ^zz++++=EXTRAWORD
coming ^vbg+++xvbg+=coming
forward ^rb++++=forward
rubbing ^vbg+++xvbg+=rubbing
his ^pp$+pp3+++=his
hands ^nns++++=hands
nervously ^rb++++=nervously.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
possible ^jj++++=possible
that ^tht+jcmp+++=that
a ^at++++=a
' ^zz++++='sour
sour ^jj+atrb+++=EXTRAWORD
dough ^nn+++??+=dough'
' ^zz++++=EXTRAWORD
shall ^md+prd+++=shall
have ^vb+hv+vrb++=have
the ^ati++++=the
scoivy ^nn+++??+=scoivy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
has ^vbz+hvz+vrb++=has
it ^pp3+it+++=it--has
-- ^--+clp+++=EXTRAWORD
has ^vbz+hvz+vrb++=EXTRAWORD
it ^pp3+it+++=it
bad ^jj++++=bad
but ^cc++++=but
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
cure ^vb++++=cure
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
save ^vb++++=save
this ^dt+dem+++=this
whole ^jj++++=whole
-- ^--+clp+++=---camp,
- ^zz++++=EXTRAWORD
camp ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
they ^pp3a+pp3+++=they
want ^vb++++=want
it ^pp3+it+++=it
or ^cc++++=or
not ^xnot++not++=not."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
spoke ^vbd+++xvbn+=spoke
strongly ^rb+cnj+++=strongly,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
jaws ^nns++++=jaws
set ^vbd+++xvbn+=set
with ^in++++=with
determination ^nn+nom+++=determination.
. ^zz++++=EXTRAWORD
Klusky ^np+++??+=Klusky
regarded ^vwbn+++xvbn+=regarded
him ^pp3o+pp3+++=him
narrowly ^rb++++=narrowly
through ^in++++=through
close ^nn++++=close
shrunk ^vprf+++xvbn+=shrunk
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
speculation ^nn+nom+++=speculation
wrinkled ^vwbn+++xvbn+=wrinkled
his ^pp$+pp3+++=his
low ^jj+atrb+++=low
forehead ^nn++++=forehead.
. ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course!
! ^zz++++=EXTRAWORD
Yes ^uh++++=Yes!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
how ^wrb+who+whq++=how
shall ^md+prd+++=shall
it ^pp3+it+++=it
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
eh ^uh++++=eh?
? ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
me ^pp1o+pp1+++=me
that ^dt+pdem+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eagerness ^nns+nom+++=eagerness
was ^vbd+bedz+aux++=was
pronounced ^vpsv++agls+xvbnx+=pronounced.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
go ^vb++++=go
to ^in++++=to
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Michaels ^np+++??+=Michaels
and ^cc++++=and
bring ^vb++++=bring
back ^rb+phrv+++=back
fresh ^jj+atrb+++=fresh
grub ^nn++++=grub."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
boy ^nn++++=boy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
George ^np++++=George.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
too ^ql++++=too
far ^rb+pl+++=far
and ^cc++++0=an'
there ^ex+pex+++=there
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
dog ^nn++++=dog
in ^in++++=in
camp ^nn++++=camp.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
haul ^vb++++=haul
your ^pp$+pp2+++=your
outfit ^nn++++=outfit
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
long ^jj++++=long
before ^cs+sub+++=before
you ^pp2+pp2+++=you'd
'd ^vbd+hvd+aux++0=EXTRAWORD
sledded ^vprf+++xvbnx+=sledded
grub ^nn++++=grub
back ^jjb++++=back
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
be ^vb+be+vrb++=be
wearin ^nn+++??+=wearin'
' ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
gleamin ^nn+++??+=gleamin'
' ^zz++++=EXTRAWORD
orioles ^nns+++??+=orioles,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+tht0++=believe
that ^tht+vcmp+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
call ^vb++++=call
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
on ^in++++=on
my ^pp$+pp1+++=my
head ^nn++++=head,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
pictures ^nns++++=pictures
of ^in++++=of
them ^pp3o+pp3+++=them
little ^ap++++=little
fat ^nn++++=fat
angelettes ^nns+nom++??+=angelettes.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
got ^vbd+++xvbn+=got
no ^at++++=no
ear ^nn++++=ear
for ^in++++=for
music ^nn++++=music,
, ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
cut ^vb+++xvbn+=cut
out ^rp+pl+++=out
the ^ati++++=the
harp ^nn++++=harp
solos ^nns+++??+=solos."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Quit
quit ^vb++++=EXTRAWORD
that ^dt+dem+++=that
talk ^nn++++=talk,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
