Mamma ^npt++++=Mamma
going ^vbg+++xvbg+=going
to ^in++++=to
attack ^nn++++=attack
first ^rb++++=first?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
donkey ^nn++++=donkey,
, ^zz++++=EXTRAWORD
trying ^vbg+++xvbg+=trying
hard ^jj++++=hard
to ^to+jcmp+++=to
get ^vbi++++=get
upon ^in++++=upon
his ^pp$+pp3+++=his
feet ^nns++++=feet
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
attack ^vb++++=attack
any ^dti++++=any
of ^in++++=of
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
snarled ^vbd+++xvbn+=snarled
the ^ati++++=the
leopard ^nn++++=leopard.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
artist ^nn++++=artist
made ^vbd+++xvbn+=made
my ^pp$+pp1+++=my
mouth ^nn++++=mouth
shut ^vbd+++xvbn+=shut,
, ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=haven't
n't ^xnot++not++0=EXTRAWORD
any ^dti++++=any
teeth ^nns++++=teeth;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
forgot ^vbd+vprv++xvbnx+=forgot
to ^to+vcmp+++=to
make ^vbi++++=make
my ^pp$+pp1+++=my
claws ^nns++++=claws.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
a ^at++++=a
frightful ^jj+atrb+++=frightful
looking ^jj+atrb++xvbg+=looking
creature ^nn++++=creature,
, ^zz++++=EXTRAWORD
nevertheless ^rb+cnj+++=nevertheless;
; ^zz++++=EXTRAWORD
am ^vb+bem+vrb++=am
I ^pp1a+pp1+++=I
not ^xnot++not++=not?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes;"
; ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
clown ^jj+++xvbn+=clown,
, ^zz++++=EXTRAWORD
indifferently ^rb++++=indifferently.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
suppose ^vb+vprv+tht0++=suppose
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
frightful ^jj++++=frightful
looking ^jj+++xvbg+=looking
enough ^qlp++++=enough.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
no ^at++++=no
teeth ^nns++++=teeth
nor ^cc++neg++=nor
claws ^nns++++=claws
we ^pp1a+pp1+++=we
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
mind ^vb+++??+=mind
your ^pp$+pp2+++=your
looks ^nns++++=looks
at ^rb++++=at
all ^abn++++=all."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
so ^rb+emph+++=so
annoyed ^jj++++=annoyed
the ^ati++++=the
leopard ^nn++++=leopard
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
growled ^vbd+++xvbnx+=growled
horribly ^rb+cnj+++=horribly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
monkey ^nn++++=monkey
laughed ^vbd+++xvbn+=laughed
at ^in+ppvb+++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
then ^rn+tm+++=then
the ^ati++++=the
book ^nn++++=book
slipped ^vbd+++xvbn+=slipped
from ^in++++=from
the ^ati++++=the
girl ^nn++++=girl's
's ^$++++=EXTRAWORD
lap ^nn++++=lap,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
she ^pp3a+pp3+++=she
made ^vbd+++xvbnx+=made
a ^at++++=a
movement ^nn+nom+++=movement
to ^to++++=to
catch ^vbi++++=catch
it ^pp3+it+++=it
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
pages ^nns++++=pages
near ^in+pl+++=near
the ^ati++++=the
back ^nn++++=back
opened ^vbd+++xvbn+=opened
wide ^jj++++=wide.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
caught ^vbd+++xvbnx+=caught
a ^at++++=a
glimpse ^nn++++=glimpse
of ^in++++=of
a ^at++++=a
fierce ^jj++++=fierce
grizzly ^jj++++=grizzly
bear ^vb+vprv+++=bear
looking ^vbg+++xvbg+=looking
at ^rb++++=at
her ^pp$+pp3+++=her
from ^in++++=from
the ^ati++++=the
page ^nn++++=page,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
quickly ^rb++++=quickly
threw ^vbd+++xvbn+=threw
the ^ati++++=the
book ^nn++++=book
from ^in++++=from
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
fell ^vbd+++xvbn+=fell
with ^in++++=with
a ^at++++=a
crash ^nn++++=crash
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
beside ^in+pl+++=beside
it ^pp3+it+++=it
stood ^vbd+++xvbn+=stood
the ^ati++++=the
great ^jj++++=great
grizzly ^jj++++=grizzly,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
wrenched ^vprf+++xvbnx+=wrenched
himself ^ppl+pp3+++=himself
from ^in++++=from
the ^ati++++=the
page ^nn++++=page
before ^cs+sub+++=before
the ^ati++++=the
book ^nn++++=book
closed ^vbd+++xvbn+=closed.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,"
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
leopard ^nn++++=leopard
from ^in++++=from
his ^pp$+pp3+++=his
perch ^nn++++=perch,
, ^zz++++=EXTRAWORD
" ^zz++++="you'd
you ^pp2+pp2+++=EXTRAWORD
'd ^md"+hvd+pmd"++0=EXTRAWORD
better ^md++++=better
look ^vb++++=look
out ^rb+phrv+++=out
for ^in+ppvb+++=for
yourselves ^ppls+pp2+++=yourselves!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
laugh ^vb++++=laugh
at ^in+ppvb+++=at
him ^pp3o+pp3+++=him
as ^ql++++=as
you ^pp2+pp2+++=you
did ^vbd+dod+vrb++=did
at ^rb++++=at
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bear ^nn++++=bear
has ^vbz+hvz+vrb++=has
both ^abx++++=both
claws ^nns++++=claws
and ^cc++++=and
teeth ^nns++++=teeth."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Indeed
indeed ^rb++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
bear ^nn++++=bear,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
low ^jj++++=low,
, ^zz++++=EXTRAWORD
deep ^jj++++=deep,
, ^zz++++=EXTRAWORD
growling ^nn+nom+++=growling
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
to ^to++++=to
use ^vbi++++=use
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
read ^vbd+vprv++xvbn+=read
in ^cs+sub+++=in
that ^cs"++++=that
book ^nn++++=book
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
find ^vb+vprv+tht0++=find
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
described ^vpsv++agls+xvbnx+=described
as ^ql++++=as
a ^at++++=a
horrible ^jj++++=horrible,
, ^zz++++=EXTRAWORD
cruel ^jj++++=cruel
and ^cc+phrs+++=and
remorseless ^jj++++=remorseless
grizzly ^jj++++=grizzly,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
only ^ap+down+++=only
business ^nns+nom+++=business
in ^in++++=in
life ^nn++++=life
is ^vbz+bez+aux++=is
to ^to++++=to
eat ^vbi++++=eat
up ^rp++++=up
little ^jj+atrb+++=little
girls ^nns++++=girls--shoes,
-- ^--+clp+++=EXTRAWORD
shoes ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
dresses ^nns+nom+++=dresses,
, ^zz++++=EXTRAWORD
ribbons ^nns++++=ribbons
and ^cc++++=and
all ^rb++++=all!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
the ^ati++++=the
author ^nn++++=author
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
smack ^nn++++=smack
my ^pp$+pp1+++=my
lips ^nns++++=lips
and ^cc++++=and
glory ^nn++++=glory
in ^in++++=in
my ^pp$+pp1+++=my
wickedness ^nns+nom+++=wickedness."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
awful ^jj++++=awful!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
donkey ^nn++++=donkey,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
upon ^in++++=upon
his ^pp$+pp3+++=his
haunches ^nns++++=haunches
and ^cc++++=and
shaking ^nvbg+++xvbg+=shaking
his ^pp$+pp3+++=his
head ^jjb++++=head
sadly ^rb++++=sadly.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
suppose ^vb+vprv+++=suppose
possessed ^jj+++xvbn+=possessed
the ^ati++++=the
author ^nn++++=author
to ^to++++=to
make ^vbi++++=make
you ^pp2+pp2+++=you
so ^ql+emph+++=so
hungry ^jj++++=hungry
for ^in++++=for
girls ^nns++++=girls?
? ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
eat ^vb++++=eat
animals ^nns+nom+++=animals,
, ^zz++++=EXTRAWORD
also ^rb++++=also?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
author ^nn++++=author
does ^vbz+doz+aux++=does
not ^xnot++not++=not
mention ^nn+nom+++=mention
my ^pp$+pp1+++=my
eating ^nvbg+++xvbg+=eating
anything ^rb++++=anything
but ^rb"++++=but
little ^jj+atrb+++=little
girls ^nns++++=girls,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
bear ^nn++++=bear.
. ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
good ^jj++++=good,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
remarked ^vprf+++xvbn+=remarked
the ^ati++++=the
clown ^jj+++xvbn+=clown,
, ^zz++++=EXTRAWORD
drawing ^nvbg+++xvbg+=drawing
a ^at++++=a
long ^jj+atrb+++=long
breath ^nn++++=breath
of ^in++++=of
relief ^nn++++=relief.
. ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
may ^md+pos+++=may
begin ^vb++++=begin
eating ^nvbg+++xvbg+=eating
Jane ^np++++=Jane
Gladys ^np+++??+=Gladys
as ^in++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
you ^pp2+pp2+++=you
wish ^vb+vprv+++=wish.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
laughed ^vbd+++xvbnx+=laughed
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
no ^at++++=no
back ^nn++++=back."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
she ^pp3a+pp3+++=she
laughed ^vbd+++xvbnx+=laughed
because ^cs+cos+++=because
my ^pp$+pp1+++=my
legs ^nns++++=legs
are ^vb+ber+vrb++=are
out ^rp+pl+++=out
of ^in++++=of
perspective ^nn++++=perspective,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
brayed ^jj+++xvbn+=brayed
the ^ati++++=the
donkey ^nn++++=donkey.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
also ^rb++++=also
deserve ^vb++++=deserve
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
eaten ^vpsv++agls+xvbnx+=eaten,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
screamed ^vbd+++xvbn+=screamed
the ^ati++++=the
leopard ^nn++++=leopard
from ^in++++=from
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
the ^ati++++=the
leather ^nn++++=leather
chair ^nn++++=chair;
; ^zz++++=EXTRAWORD
" ^zz++++="for
for ^in++++=EXTRAWORD
you ^pp2+pp2+++=you
laughed ^vbd+++xvbn+=laughed
and ^cc+phrs+++=and
poked ^vbd+++xvbn+=poked
fun ^nn++++=fun
at ^in++++=at
me ^pp1o+pp1+++=me
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
no ^at++++=no
claws ^nns++++=claws
nor ^cc++neg++=nor
teeth ^nns++++=teeth!
! ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
suppose ^vb+vprv+++=suppose
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Grizzly ^np++++=Grizzly,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
could ^md+pos+++=could
manage ^vb++++=manage
to ^to+vcmp+++=to
eat ^vbi++++=eat
a ^at++++=a
clown ^jj+++xvbn+=clown,
, ^zz++++=EXTRAWORD
a ^at++++=a
donkey ^nn++++=donkey
and ^cc++++=and
a ^at++++=a
monkey ^nn++++=monkey
after ^cs+sub+++=after
you ^pp2+pp2+++=you
finish ^vb++++=finish
the ^ati++++=the
girl ^nn++++=girl?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
leopard ^nn++++=leopard
into ^in++++=into
the ^ati++++=the
bargain ^nn++++=bargain,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
growled ^vbd+++xvbn+=growled
the ^ati++++=the
bear ^nn++++=bear.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
will ^md+prd+++=will
depend ^vb++++=depend
on ^in++++=on
how ^wrb+who+++=how
hungry ^jj++++=hungry
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
must ^md+nec+++=must
begin ^vb++++=begin
on ^in++++=on
the ^ati++++=the
little ^jj+atrb+++=little
girl ^nn++++=girl
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
the ^ati++++=the
author ^nn++++=author
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I
prefer ^vb+vprv+++=prefer
girls ^nns++++=girls
to ^in++++=to
anything ^pn++++=anything."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jane ^np++++=Jane
Gladys ^np+++??+=Gladys
was ^vbd+bedz+vrb++=was
much ^ap++++=much
frightened ^jj+++xvbn+=frightened
on ^in++++=on
hearing ^xvbg+++xvbg+=hearing
this ^dt+dem+++=this
conversation ^nn+nom+++=conversation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
began ^vbd+++xvbnx+=began
to ^to++++=to
realize ^vbi+vprv+++=realize
what ^wdt+who+whcl++=what
the ^ati++++=the
man ^nn++++=man
meant ^vbd+vprv++xvbn+=meant
when ^wrb+who+whcl++=when
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
her ^pp3o+pp3+++=her
the ^ati++++=the
book ^nn++++=book
to ^to++++=to
be ^vbi+vbi+aux++=be
revenged ^vpsv++agls+xvbnx+=revenged.
. ^zz++++=EXTRAWORD
Surely ^rb++++=Surely
papa ^npt++++=papa
would ^md+prd+++=would
be ^vb+be+vrb++=be
sorry ^uh++++=sorry
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
bought ^vprf+++xvbn+=bought
the ^ati++++=the
" ^zz++++="Complete
complete ^jj+atrb+++=EXTRAWORD
Works ^nns++++=Works
of ^in++++=of
Peter ^np++++=Peter
Smith ^np++++=Smith"
" ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
home ^nr++++=home
and ^cc++++=and
found ^vbd+vprv+tht0+xvbn+=found
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
girl ^nn++++=girl
eaten ^vwbn+++xvbn+=eaten
up ^rp++++=up
by ^in++++=by
a ^at++++=a
grizzly ^nn++++=grizzly
bear ^vb+vprv+++=bear--shoes,
-- ^--+clp+++=EXTRAWORD
shoes ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
ribbons ^nns++++=ribbons
and ^cc++++=and
all ^rb++++=all!
! ^zz++++=EXTRAWORD
The ^ati++++=The
bear ^nn++++=bear
stood ^vbd+++xvbn+=stood
up ^rp++++=up
and ^cc++++=and
balanced ^jj+++xvbn+=balanced
himself ^ppl+pp3+++=himself
on ^in++++=on
his ^pp$+pp3+++=his
rear ^jjb+atrb+++=rear
legs ^nns++++=legs.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
way ^nn++++=way
I ^pp1a+pp1+++=I
look ^vb++++=look
in ^in++++=in
the ^ati++++=the
book ^nn++++=book,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
watch ^nn++++=watch
me ^pp1o+pp1+++=me
eat ^vb++++=eat
the ^ati++++=the
little ^jj+atrb+++=little
girl ^nn++++=girl."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
advanced ^vbd+++xvbnx+=advanced
slowly ^rb++++=slowly
toward ^in++++=toward
Jane ^np++++=Jane
Gladys ^np+++??+=Gladys,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
monkey ^nn++++=monkey,
, ^zz++++=EXTRAWORD
the ^ati++++=the
leopard ^nn++++=leopard,
, ^zz++++=EXTRAWORD
the ^ati++++=the
donkey ^nn++++=donkey
and ^cc++++=and
the ^ati++++=the
clown ^jj+++xvbn+=clown
all ^abn++++=all
stood ^vbd+++xvbn+=stood
around ^rp++++=around
in ^in++++=in
a ^at++++=a
circle ^nn++++=circle
and ^cc++++=and
watched ^vbd+++xvbn+=watched
the ^ati++++=the
bear ^nn++++=bear
with ^in++++=with
much ^ap++++=much
interest ^nn++++=interest.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
before ^cs+sub+++=before
the ^ati++++=the
grizzly ^nn++++=grizzly
reached ^vbd+++xvbn+=reached
her ^pp$+pp3+++=her
the ^ati++++=the
child ^nn++++=child
had ^vb+hv+vrb++=had
a ^at++++=a
sudden ^jj+atrb+++=sudden
thought ^nn+++xvbn+=thought,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cried ^vbd+++xvbn+=cried
out ^rp+pl+++=out:
: ^zz++++=EXTRAWORD
" ^zz++++="Stop!
stop ^vb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=mustn't
n't ^xnot++not++0=EXTRAWORD
eat ^vb++++=eat
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
be ^vb+be+vrb++=be
wrong ^jj+pred+++=wrong."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why?"
why ^wrb+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
bear ^nn++++=bear,
, ^zz++++=EXTRAWORD
in ^in++++=in
surprise ^nn++++=surprise.
. ^zz++++=EXTRAWORD
" ^zz++++="Because
because ^cs+cos+++=EXTRAWORD
I ^pp1a+pp1+++=I
own ^ap++++=own
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+vrb++0=EXTRAWORD
my ^pp$+pp1+++=my
private ^jj+atrb+++=private
property ^nn++++=property,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
answered ^vbd+vpub++xvbnx+=answered.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
how ^wrb+who+whcl++=how
you ^pp2+pp2+++=you
make ^vb++++=make
that ^dt+pdem+++=that
out ^rp+pl+++=out,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
bear ^nn++++=bear,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
disappointed ^jj+atrb++xvbn+=disappointed
tone ^nn++++=tone.
. ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
book ^nn++++=book
was ^vbd+bedz+aux++=was
given ^vpsv++agls+xvbnx+=given
to ^in++++=to
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
name ^nn++++=name's
's ^vbz+bez+vrb++0=EXTRAWORD
on ^in++++=on
the ^ati++++=the
front ^jjb+atrb+++=front
leaf ^nn++++=leaf.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
you ^pp2+pp2+++=you
belong ^vb++++=belong,
, ^zz++++=EXTRAWORD
by ^in++++=by
rights ^nns++++=rights,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
book ^nn++++=book.
. ^zz++++=EXTRAWORD
So ^ql++++=So
you ^pp2+pp2+++=you
must ^md+nec+++=mustn't
n't ^xnot++not++0=EXTRAWORD
dare ^vb++++=dare
to ^to+vcmp+++=to
eat ^vbi++++=eat
your ^pp$+pp2+++=your
owner ^nn++++=owner!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
Grizzly ^np+++??+=Grizzly
hesitated ^vbd+++xvbn+=hesitated.
. ^zz++++=EXTRAWORD
" ^zz++++="Can
can ^md+pos+++=EXTRAWORD
any ^dti++++=any
of ^in++++=of
you ^pp2+pp2+++=you
read ^vbd+vprv++xvbn+=read?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
clown ^nn++++=clown.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
see ^vb+vprv+++=see
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
speaks ^vbz++++=speaks
the ^ati++++=the
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
her ^pp$+pp3+++=her
name ^nn++++=name
really ^rb+emph+++=really
in ^in++++=in
the ^ati++++=the
book ^nn++++=book?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
clown ^nn++++=clown
picked ^vbd+++xvbn+=picked
it ^pp3+it+++=it
up ^rp++++=up
and ^cc++++=and
looked ^vbd+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
name ^nn++++=name.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="'Jane
' ^zz++++=EXTRAWORD
jane ^np++++=EXTRAWORD
Gladys ^np+++??+=Gladys
Brown ^np++++=Brown;'
; ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
written ^xvbn+++xvbn+=written
quite ^rb++++=quite
plainly ^rb++++=plainly
in ^in++++=in
big ^jj+atrb+++=big
letters ^nns+nom+++=letters."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
bear ^nn++++=bear
sighed ^vbd+++xvbn+=sighed.
. ^zz++++=EXTRAWORD
" ^zz++++="Then,
then ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
eat ^vb++++=eat
her ^pp$+pp3+++=her,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
decided ^vbd+vprv++xvbnx+=decided.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
author ^nn++++=author
is ^vbz+bez+vrb++=is
as ^ql++++=as
disappointing ^jj++++=disappointing
as ^in++++=as
most ^ql+emph+++=most
authors ^nns++++=authors
are ^vb+ber+vrb++=are."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
as ^in++++=as
bad ^nn++++=bad
as ^in++++=as
the ^ati++++=the
artist ^nn++++=artist,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
