Winifred ^np++++=Winifred
and ^cc++++=and
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
taught ^vprf+++xvbnx+=taught
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
Words ^nns++++=Words
and ^cc++++=and
figures ^nns++++=figures
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
played ^vpsv++agls+xvbnx+=played
with ^in+strn+++=with.
. ^zz++++=EXTRAWORD
An ^at++++=An
effort ^nn++++=effort
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
made ^vpsv++agls+xvbnx+=made
to ^to+vcmp+++=to
arouse ^vbi++++=arouse
minds ^nns++++=minds.
. ^zz++++=EXTRAWORD
For ^in++++=For
what ^wdt+who+++=what?
? ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
the ^ati++++=the
old ^jj+atrb+++=old
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
always ^rb++++=always
coming ^vbg+++xvbg+=coming
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
always ^rb++++=always
wanting ^xvbg+++xvbg+=wanting
answering ^vbg+++xvbg+=answering
as ^ql++++=as
a ^rb++++=a
little ^rb"++++=little
animal ^nn++++=animal
wants ^vbz++++=wants
food ^nn++++=food.
. ^zz++++=EXTRAWORD
Hugh ^np++++=Hugh
gave ^vbd+++xvbn+=gave
up ^rb+phrv+++=up
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
answer ^vbi++++=answer.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
walked ^vbd+++xvbnx+=walked
rapidly ^rb+cnj+++=rapidly,
, ^zz++++=EXTRAWORD
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
grow ^vbi++++=grow
physically ^rb++++=physically
tired ^jj+++xvbn+=tired.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
made ^vbd+++xvbnx+=made
his ^pp$+pp3+++=his
mind ^nn++++=mind
attend ^vb++++=attend
to ^in++++=to
little ^jj+atrb+++=little
things ^nns++++=things
in ^in++++=in
the ^ati++++=the
effort ^nn++++=effort
to ^to+ncmp+++=to
forget ^vbi+vprv+++=forget
distances ^nns+nom+++=distances.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
night ^nn++++=night
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
out ^rb+phrv+++=out
of ^in++++=of
the ^ati++++=the
road ^nn++++=road
and ^cc++++=and
walked ^vbd+++xvbn+=walked
completely ^rb+amp+++=completely
around ^in++++=around
a ^at++++=a
cornfield ^nn+++??+=cornfield.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
counted ^vbd+++xvbnx+=counted
the ^ati++++=the
stalks ^nns+++??+=stalks
in ^in++++=in
each ^ppls++++=each
hill ^np++++=hill
of ^in++++=of
corn ^nn++++=corn
and ^cc++++=and
computed ^jj+++xvbn+=computed
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
stalks ^nns+++??+=stalks
in ^in++++=in
a ^at++++=a
whole ^jj+atrb+++=whole
field ^nn++++=field.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
should ^md+nec+++=should
yield ^vb++++=yield
twelve ^cd++++=twelve
hundred ^cd++++=hundred
bushels ^nns+++??+=bushels
of ^in++++=of
corn ^nn++++=corn,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
field ^nn++++=field,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
himself ^ppl+pp3+++=himself
dumbly ^rb+cnj+++=dumbly,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
it ^pp3+it+++=it
mattered ^vbd+++xvbn+=mattered
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pulled ^vbd+++xvbnx+=pulled
a ^rb++++=a
little ^rb"++++=little
handful ^nn+nom+++=handful
of ^in++++=of
cornsilk ^nn+++??+=cornsilk
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
an ^at++++=an
ear ^nn++++=ear
of ^in++++=of
corn ^nn++++=corn
and ^cc++++=and
played ^vpsv++agls+xvbn+=played
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
fashion ^vbi++++=fashion
himself ^ppl+pp3+++=himself
a ^at++++=a
yellow ^jj+atrb+++=yellow
moustache ^nn++++=moustache.
. ^zz++++=EXTRAWORD
" ^zz++++="I'd
i ^pp1a+pp1+++0=EXTRAWORD
'd ^md+prd+aux++=EXTRAWORD
be ^vb+be+vrb++=be
quite ^rb++++=quite
a ^at++++=a
fellow ^nn++++=fellow
with ^in++++=with
a ^at++++=a
trim ^nn++++=trim
yellow ^jj+atrb+++=yellow
moustache ^nn++++=moustache,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day
in ^in++++=in
his ^pp$+pp3+++=his
class ^nn++++=class-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
Hugh ^np++++=Hugh
suddenly ^rb++++=suddenly
began ^vbd+++xvbn+=began
to ^to++++=to
look ^vbi++++=look
with ^in++++=with
new ^jj+atrb+++=new
interest ^nn++++=interest
at ^in++++=at
his ^pp$+pp3+++=his
pupils ^nns++++=pupils.
. ^zz++++=EXTRAWORD
A ^at++++=A
young ^jj+atrb+++=young
girl ^nn++++=girl
attracted ^vbd+++xvbn+=attracted
his ^pp$+pp3+++=his
attention ^nn+nom+++=attention.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
sat ^vbd+++xvbnx+=sat
beside ^in+pl+++=beside
the ^ati++++=the
son ^nn++++=son
of ^in++++=of
a ^at++++=a
Union ^nn++++=Union
Valley ^nn++++=Valley
merchant ^nn+nom+++=merchant
and ^cc++++=and
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man
was ^vbd+bedz+aux++=was
writing ^vbg+++xvbgx+=writing
something ^pn++++=something
on ^in++++=on
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
a ^at++++=a
book ^nn++++=book.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
it ^pp3+it+++=it
and ^cc++++=and
then ^rn+tm+++=then
turned ^vbd+++xvbn+=turned
her ^pp$+pp3+++=her
head ^jjb++++=head
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
The ^ati++++=The
young ^jj+atrb+++=young
man ^nn++++=man
waited ^vbd+++xvbn+=waited.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
winter ^nn++++=winter
and ^cc++++=and
the ^ati++++=the
merchant ^nn+nom+++=merchant's
's ^$++++=EXTRAWORD
son ^nn++++=son
had ^vbd+hvd+aux++=had
asked ^vprf+++xvbnx+=asked
the ^ati++++=the
girl ^nn++++=girl
to ^to++++=to
go ^vbi++++=go
with ^in++++=with
him ^pp3o+pp3+++=him
to ^in++++=to
a ^at++++=a
skating ^jj+atrb++xvbg+=skating
party ^nn++++=party.
. ^zz++++=EXTRAWORD
Hugh ^np++++=Hugh,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+tht0++=know
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
felt ^vbd+vprv++xvbnx+=felt
suddenly ^rb++++=suddenly
old ^jj++++=old.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
the ^ati++++=the
girl ^nn++++=girl
a ^at++++=a
question ^nn+nom+++=question
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
confused ^vpsv++agls+xvbnx+=confused.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
voice ^nn++++=voice
trembled ^vbd+++xvbn+=trembled.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
class ^nn++++=class
was ^vbd+bedz+aux++=was
dismissed ^vpsv++agls+xvbnx+=dismissed
an ^at++++=an
amazing ^jj+atrb+++=amazing
thing ^nn++++=thing
happened ^vbd+++xvbn+=happened.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
asked ^vbd+vsua++xvbnx+=asked
the ^ati++++=the
merchant ^nn+nom+++=merchant's
's ^$++++=EXTRAWORD
son ^nn++++=son
to ^to++++=to
stay ^vbi++++=stay
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
and ^cc++++=and,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
two ^cd++++=two
were ^vbd+bed+vrb++=were
alone ^rb++++=alone
together ^nn+nom+++=together
in ^in++++=in
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
grew ^vbd+++xvbnx+=grew
suddenly ^rb++++=suddenly
and ^cc+phrs+++=and
furiously ^rb++++=furiously
angry ^jj++++=angry.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
cold ^jj++++=cold
and ^cc+phrs+++=and
steady ^jj++++=steady.
. ^zz++++=EXTRAWORD
" ^zz++++="Young
young ^jj+atrb+++=EXTRAWORD
man ^nn++++=man,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
come ^vb++++=come
into ^in+ppvb+++=into
this ^dt+dem+++=this
room ^nn++++=room
to ^to++++=to
write ^vbi++++=write
on ^in++++=on
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
a ^at++++=a
book ^nn++++=book
and ^cc++++=and
waste ^nn++++=waste
your ^pp$+pp2+++=your
time ^nn++++=time.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
see ^vb+vprv+tht0++=see
anything ^pn++++=anything
of ^in++++=of
the ^ati++++=the
kind ^nn++++=kind
again ^rb+tm+++=again
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do
something ^pn++++=something
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
expect ^vb+vprv+++=expect.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
throw ^vb++++=throw
you ^pp2+pp2+++=you
out ^rp+pl+++=out
through ^in++++=through
a ^at++++=a
window ^nn++++=window,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hugh ^np++++=Hugh
made ^vbd+++xvbn+=made
a ^at++++=a
gesture ^nn++++=gesture
and ^cc++++=and
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man
went ^vbd+++xvbn+=went
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
white ^jj++++=white
and ^cc+phrs+++=and
silent ^jj++++=silent.
. ^zz++++=EXTRAWORD
Hugh ^np++++=Hugh
felt ^vbd+vprv++xvbn+=felt
miserable ^jj++++=miserable.
. ^zz++++=EXTRAWORD
For ^in++++=For
several ^ap++++=several
days ^nns++++=days
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
about ^in++++=about
the ^ati++++=the
girl ^nn++++=girl
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
quite ^rb++splt++=quite
accidentally ^rb++++=accidentally
attracted ^vbd+++xvbn+=attracted
his ^pp$+pp3+++=his
attention ^nn+nom+++=attention.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
get ^vb++++=get
acquainted ^vbd+++xvbn+=acquainted
with ^in++++=with
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
find ^vb+vprv+++=find
out ^rp+pl+++=out
about ^in++++=about
her ^pp$+pp3+++=her,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
an ^at++++=an
unusual ^jj+atrb+++=unusual
thing ^nn++++=thing
for ^in++++=for
professors ^nns++++=professors
in ^in++++=in
the ^ati++++=the
college ^npl++++=college
at ^rb++++=at
Union ^nn++++=Union
Valley ^nn++++=Valley
to ^to++++=to
take ^vbi++++=take
students ^nns++++=students
home ^nr++++=home
to ^in++++=to
their ^pp$+pp3+++=their
houses ^nns++++=houses.
. ^zz++++=EXTRAWORD
Hugh ^np++++=Hugh
decided ^vbd+vprv+tht0+xvbn+=decided
he ^pp3a+pp3+++=he
would ^md+prd+++=would
take ^vb++++=take
the ^ati++++=the
girl ^nn++++=girl
to ^in++++=to
his ^pp$+pp3+++=his
home ^nr++++=home.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thought ^vbd+++xvbnx+=thought
about ^in++++=about
it ^pp3+it+++=it
several ^ap++++=several
days ^nns++++=days
and ^cc++++=and
late ^jj+atrb+++=late
one ^cd1++++=one
afternoon ^nn++++=afternoon
saw ^vbd+vprv+tht0+xvbn+=saw
her ^pp$+pp3+++=her
going ^vbg+++xvbg+=going
down ^in++++=down
the ^ati++++=the
college ^npl++++=college
hill ^nn++++=hill
ahead ^rb+pl+++=ahead
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl's
's ^$++++=EXTRAWORD
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Mary ^np++++=Mary
Cochran ^np++++=Cochran
and ^cc++++=and
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
to ^in++++=to
the ^ati++++=the
school ^nn++++=school
but ^cc++++=but
a ^ap++++=a
few ^ap"++++=few
months ^nns++++=months
before ^cs+sub+++=before
from ^in++++=from
a ^at++++=a
place ^nn++++=place
called ^vbd+++xvbn+=called
Huntersburg ^np+++??+=Huntersburg,
, ^zz++++=EXTRAWORD
Illinois ^np+++??+=Illinois,
, ^zz++++=EXTRAWORD
no ^at++++=no
doubt ^nn++++=doubt
just ^rb+emph+++=just
such ^abl++++=such
another ^dt++++=another
place ^nn++++=place
as ^ql++++=as
Union ^np++++=Union
Valley ^nn++++=Valley.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv+tht0+xvbnx+=knew
nothing ^pn++++=nothing
of ^in++++=of
her ^pp$+pp3+++=her
except ^cs+sub+++=except
that ^cs"++++=that
her ^pp3o+pp3+++=her
father ^npt++++=father
was ^vbd+bedz+vrb++=was
dead ^jj+pred+++=dead,
, ^zz++++=EXTRAWORD
her ^pp3o+pp3+++=her
mother ^npt++++=mother
too ^ql++++=too,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
walked ^vbd+++xvbnx+=walked
rapidly ^rb++++=rapidly
down ^in++++=down
the ^ati++++=the
hill ^nn++++=hill
to ^to++++=to
overtake ^vbi++++=overtake
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="Miss
miss ^npt++++=EXTRAWORD
Cochran ^np++++=Cochran,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
surprised ^jj++agls+xvbnx+=surprised
to ^to+jcmp+++=to
find ^vbi+vprv+++=find
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
voice ^nn++++=voice
trembled ^vbd+++xvbn+=trembled
a ^rb++++=a
little ^rb"++++=little.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
am ^vb+bem+aux++=am
I ^pp1a+pp1+++=I
so ^ql+emph+++=so
eager ^jj++++=eager
about ^in+strn+++=about?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua+tht0+xvbnx+=asked
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
A ^at++++=A
new ^jj+atrb+++=new
life ^nn++++=life
began ^vbd+++xvbn+=began
in ^in++++=in
Hugh ^np++++=Hugh
Walker ^np++++=Walker's
's ^$++++=EXTRAWORD
house ^npl++++=house.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
good ^jj+pred+++=good
for ^in++++=for
the ^ati++++=the
man ^nn++++=man
to ^in++++=to
have ^vbi++vrb++=have
some ^dti++++=some
one ^cd1++++=one
there ^rn+pl+++=there
who ^whp+who+++=who
did ^vbd+dod+aux++=did
not ^xnot++not++=not
belong ^vb++++=belong
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Winifred ^np++++=Winifred
Walker ^np++++=Walker
and ^cc++++=and
the ^ati++++=the
children ^nns++++=children
accepted ^vbd+vprv++xvbn+=accepted
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
the ^ati++++=the
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
Winifred ^np++++=Winifred
urged ^vbd+vsua++xvbn+=urged
her ^pp$+pp3+++=her
to ^to++++=to
come ^vbi++++=come
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
come ^vb++++=come
several ^ap++++=several
times ^nns++++=times
a ^at++++=a
week ^nn++++=week.
. ^zz++++=EXTRAWORD
To ^in++++=To
Mary ^np++++=Mary
Cochran ^np++++=Cochran
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
comforting ^jj+pred+++=comforting
to ^to++++=to
be ^vbi++vrb++=be
in ^in++++=in
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
a ^at++++=a
family ^nn++++=family
of ^in++++=of
children ^nns++++=children.
. ^zz++++=EXTRAWORD
On ^in++++=On
winter ^nn++++=winter
afternoons ^nns++++=afternoons
she ^pp3a+pp3+++=she
took ^vbd+++xvbnx+=took
Hugh ^np++++=Hugh's
's ^$++++=EXTRAWORD
two ^cd++++=two
sons ^nns++++=sons
and ^cc++++=and
a ^at++++=a
sled ^jj+++xvbn+=sled
and ^cc+phrs+++=and
went ^jj+++xvbn+=went
to ^in++++=to
a ^at++++=a
small ^jj+atrb+++=small
hill ^nn++++=hill
near ^in+pl+++=near
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Shouts ^vbz++++=Shouts
arose ^vbd+++xvbn+=arose.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
Cochran ^np++++=Cochran
pulled ^vbd+++xvbn+=pulled
the ^ati++++=the
sled ^jj+++xvbn+=sled
up ^rp++++=up
the ^ati++++=the
hill ^nn++++=hill
and ^cc++++=and
the ^ati++++=the
children ^nns++++=children
followed ^vbd+vprv++xvbn+=followed.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
they ^pp3a+pp3+++=they
all ^rb++++=all
came ^vbd+++xvbn+=came
tearing ^vbg+++xvbg+=tearing
down ^rb+phrv+++=down
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
developing ^vbg+++xvbg+=developing
rapidly ^rb++++=rapidly
into ^in++++=into
womanhood ^nn+nom+++=womanhood,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
upon ^in++++=upon
Hugh ^np++++=Hugh
Walker ^np++++=Walker
as ^ql++++=as
something ^pn++++=something
that ^cs+sub+++=that
stood ^vprf+++xvbn+=stood
completely ^rb+amp+++=completely
outside ^jjb++++=outside
her ^pp$+pp3+++=her
own ^ap++++=own
life ^nn++++=life.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
and ^cc++++=and
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
suddenly ^rb++++=suddenly
and ^cc+phrs+++=and
intensely ^rb+amp+++=intensely
interested ^jj++++=interested
in ^in++++=in
her ^pp$+pp3+++=her
had ^vb+hv+vrb++=had
little ^ap++++=little
to ^to++++=to
say ^vbi+vpub+++=say
to ^to+vcmp+++=to
each ^dt++++=each
other ^ap++++=other
and ^cc++++=and
Winifred ^np++++=Winifred
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
accepted ^jj+++xvbn+=accepted
her ^pp$+pp3+++=her
without ^in++++=without
question ^nn+nom+++=question
as ^in++++=as
an ^at++++=an
addition ^nn+nom+++=addition
to ^in++++=to
the ^ati++++=the
household ^nn++++=household.
. ^zz++++=EXTRAWORD
Often ^rb++++=Often
in ^in++++=in
the ^ati++++=the
afternoon ^nn++++=afternoon
when ^wrb+who+++=when
the ^ati++++=the
two ^cd++++=two
negro ^nn++++=negro
women ^nns++++=women
were ^vbd+bed+vrb++=were
busy ^jj+pred+++=busy
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
away ^rp+pl+++=away
leaving ^vbg+++xvbg+=leaving
the ^ati++++=the
two ^cd++++=two
older ^jjr+atrb+++=older
children ^nns++++=children
in ^in++++=in
Mary ^np++++=Mary's
's ^$++++=EXTRAWORD
charge ^nn++++=charge.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
late ^jj+atrb+++=late
afternoon ^nn++++=afternoon
and ^cc++++=and
perhaps ^rb++++=perhaps
Hugh ^np++++=Hugh
had ^vbd+hvd+aux++=had
walked ^vprf+++xvbnx+=walked
home ^nr++++=home
with ^in++++=with
Mary ^np++++=Mary
from ^in++++=from
the ^ati++++=the
college ^nn++++=college.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
spring ^nn++++=spring
he ^pp3a+pp3+++=he
worked ^vbd+++xvbnx+=worked
in ^in++++=in
the ^ati++++=the
neglected ^jj+++xvbn+=neglected
garden ^npl++++=garden.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
plowed ^vpsv++agls+xvbnx+=plowed
and ^cc+phrs+++=and
planted ^vbd+++xvbn+=planted,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
a ^at++++=a
hoe ^vb++++=hoe
and ^cc++++=and
rake ^nn++++=rake
and ^cc++++=and
puttered ^vpsv++agls+xvbn+=puttered
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
The ^ati++++=The
children ^nns++++=children
played ^vbd+++xvbn+=played
about ^in++++=about
the ^ati++++=the
house ^nn++++=house
with ^in++++=with
the ^ati++++=the
college ^nn++++=college
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
Hugh ^np++++=Hugh
did ^vbd+dod+aux++=did
not ^xnot++not++=not
look ^vb++++=look
at ^rb++++=at
them ^pp3o+pp3+++=them
but ^cc++++=but
at ^in++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
world ^nn++++=world
of ^in++++=of
people ^nns++++=people
with ^in++++=with
whom ^whp+rel+pied++=whom
I ^pp1a+pp1+++=I
live ^vb++++=live
and ^cc++++=and
with ^in++++=with
whom ^whp+rel+pied++=whom
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
supposed ^vpsv++agls+xvbnx+=supposed
to ^to+vcmp+++=to
work ^vb++++=work
here ^rn+pl+++=here,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
" ^zz++++="Unlike
unlike ^in++++=EXTRAWORD
Winifred ^np++++=Winifred
and ^cc++++=and
these ^dt+dem+++=these
children ^nns++++=children
she ^pp3a+pp3+++=she
does ^vbz+doz+aux++=does
not ^xnot++not++=not
belong ^vb++++=belong
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
go ^vb++++=go
to ^in++++=to
her ^pp$+pp3+++=her
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
touch ^nn++++=touch
her ^pp3o+pp3+++=her
fingers ^nns+nom+++=fingers,
, ^zz++++=EXTRAWORD
look ^vb++++=look
at ^rb++++=at
her ^pp3o+pp3+++=her
and ^cc++++=and
then ^rn+tm+++=then
go ^vb++++=go
away ^rp+pl+++=away
and ^cc+phrs+++=and
never ^rb++++=never
see ^vb+vprv+++=see
her ^pp$+pp3+++=her
again ^rb+tm+++=again."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
thought ^vbd+++xvbn+=thought
was ^vbd+bedz+vrb++=was
a ^at++++=a
comfort ^nn++++=comfort
to ^in++++=to
the ^ati++++=the
distraught ^vbd+++xvbn+=distraught
man ^nn++++=man.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
evening ^nn++++=evening
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out
to ^to++++=to
walk ^vbi++++=walk
the ^ati++++=the
sense ^nn++++=sense
of ^in++++=of
distance ^nn+nom+++=distance
that ^tht+rel+++=that
lay ^jjb+++xvbn+=lay
all ^abn++++=all
about ^rb++++=about
him ^pp3o+pp3+++=him
did ^vbd+dod+aux++=did
not ^xnot++not++=not
tempt ^vb++++=tempt
him ^pp3o+pp3+++=him
to ^to++++=to
walk ^vbi++++=walk
and ^cc++++=and
walk ^nn++++=walk,
, ^zz++++=EXTRAWORD
going ^vbg+++xvbg+=going
half ^abn++++=half
insanely ^jj++++=insanely
forward ^rb++++=forward
for ^in++++=for
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
break ^vbi++++=break
through ^in++++=through
an ^at++++=an
intangible ^nn++++=intangible
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
