San ^np++++=San
and ^cc+cls+++=and
now ^rn+tm+++=now
came ^vbd+++xvbn+=came
only ^rb+down+++=only
in ^in++++=in
failing ^xvbg+++xvbg+=failing
puffs ^nns++++=puffs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
salmon ^nn++++=salmon
boat ^nn++++=boat
got ^vbd+++xvbn+=got
out ^rb+phrv+++=out
its ^pp$+it+++=its
oars ^nns+++??+=oars
and ^cc++++=and
soon ^rb+tm+++=soon
left ^jj+++xvbn+=left
us ^pp1o+pp1+++=us
far ^rb+pl+++=far
astern ^rb+pl+++=astern.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
the ^ati++++=the
Chinese ^nn++++=Chinese
stood ^vbd+++xvbn+=stood
in ^in++++=in
the ^ati++++=the
forward ^jj+atrb+++=forward
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
cockpit ^nn++++=cockpit,
, ^zz++++=EXTRAWORD
near ^in+pl+++=near
the ^ati++++=the
cabin ^nn++++=cabin
doors ^nns++++=doors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
leaned ^vbd+++xvbnx+=leaned
over ^in++++=over
the ^ati++++=the
cockpit ^nn++++=cockpit
rail ^nn++++=rail
to ^to++++=to
flatten ^vbi++++=flatten
down ^rp++++=down
the ^ati++++=the
jib ^nn++++=jib-sheet
- ^zz++++=EXTRAWORD
sheet ^nn++++=EXTRAWORD
a ^at++++=a
bit ^nn++++=bit,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
some ^dti++++=some
one ^cd1++++=one
brush ^nn++++=brush
against ^in++++=against
my ^pp$+pp1+++=my
hip ^nn++++=hip
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
no ^at++++=no
sign ^vb++++=sign,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
my ^pp$+pp1+++=my
eye ^nn++++=eye
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
that ^tht+vcmp+++=that
the ^ati++++=the
Yellow ^jj+atrb+++=Yellow
Handkerchief ^nn++++=Handkerchief
had ^vbd+hvd+aux++=had
discovered ^vprf+++xvbnx+=discovered
the ^ati++++=the
emptiness ^nns+nom+++=emptiness
of ^in++++=of
the ^ati++++=the
pocket ^nn++++=pocket
which ^whp+rel+subj++=which
had ^vb+hv+aux++=had
hitherto ^rb++splt++=hitherto
overawed ^vprf+++xvbnx+=overawed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
To ^to++++=To
make ^vbi++++=make
matters ^nns+nom+++=matters
serious ^jj++++=serious,
, ^zz++++=EXTRAWORD
during ^in++++=during
all ^abn++++=all
the ^ati++++=the
excitement ^nn+nom+++=excitement
of ^in++++=of
boarding ^nn++++=boarding
the ^ati++++=the
junks ^vbz++++=junks
the ^ati++++=the
Reindeer ^np+nom++??+=Reindeer
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
bailed ^vpsv++agls+xvbnx+=bailed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
water ^nn++++=water
was ^vbd+bedz+aux++=was
beginning ^vbg+++xvbgx+=beginning
to ^in++++=to
slush ^nn+++??+=slush
over ^in++++=over
the ^ati++++=the
cockpit ^nn++++=cockpit
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shrimp ^nn+++??+=shrimp-catchers
- ^zz++++=EXTRAWORD
catchers ^nns+nom+++=EXTRAWORD
pointed ^vbd+++xvbn+=pointed
at ^rb++++=at
it ^pp3+it+++=it
and ^cc++++=and
looked ^vpsv++agls+xvbn+=looked
to ^to+vcmp+++=to
me ^pp1o+pp1+++=me
questioningly ^rb++++=questioningly.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Bime
bime ^nn+++??+=EXTRAWORD
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
allee ^nn++++=allee
same ^ap++++=same
dlown ^jj+++xvbn+=dlown,
, ^zz++++=EXTRAWORD
velly ^jj++++=velly
quick ^jj++++=quick,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
no ^at++++=no
bail ^nn++++=bail
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Sabbe ^np+++??+=Sabbe?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
" ^zz++++="sabbe,"
sabbe ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
or ^cc++++=or
at ^rb++++=at
least ^rb"++++=least
they ^pp3a+pp3+++=they
shook ^vbd+++xvbnx+=shook
their ^pp$+pp3+++=their
heads ^nns++++=heads
to ^in++++=to
that ^dt+dem+++=that
effect ^nn++++=effect,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
chattered ^vbd+++xvbnx+=chattered
most ^ql+emph+++=most
comprehendingly ^jj++++=comprehendingly
to ^to++++=to
one ^cd1++++=one
another ^dt++++=another
in ^in++++=in
their ^pp$+pp3+++=their
own ^ap++++=own
lingo ^nn+++??+=lingo.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
pulled ^vbd+++xvbnx+=pulled
up ^rp++++=up
three ^cd++++=three
or ^cc++++=or
four ^cd++++=four
of ^in++++=of
the ^ati++++=the
bottom ^jjb+atrb+++=bottom
boards ^nns++++=boards,
, ^zz++++=EXTRAWORD
got ^j+++xvbn+=got
a ^at++++=a
couple ^nn++++=couple
of ^in++++=of
buckets ^nns+++??+=buckets
from ^in++++=from
a ^at++++=a
locker ^jjr++++=locker,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
unmistakable ^jj+atrb+++=unmistakable
sign ^nn++++=sign-language
- ^zz++++=EXTRAWORD
language ^nn+nom+++=EXTRAWORD
invited ^vwbn+++xvbn+=invited
them ^pp3o+pp3+++=them
to ^to++++=to
fall ^vbi++++=fall
to ^in+strn+++=to.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
they ^pp3a+pp3+++=they
laughed ^vbd+++xvbnx+=laughed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
crowded ^jj+++xvbn+=crowded
into ^in++++=into
the ^ati++++=the
cabin ^nn++++=cabin
and ^cc++++=and
some ^dti++++=some
climbed ^jj+++xvbn+=climbed
up ^rp++++=up
on ^in++++=on
top ^nn++++=top.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
laughter ^nn+nom+++=laughter
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
good ^jj+atrb+++=good
laughter ^nn+nom+++=laughter.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
hint ^nn++++=hint
of ^in++++=of
menace ^nn++++=menace
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
a ^at++++=a
maliciousness ^nns+nom+++=maliciousness
which ^whp+rel+obj++=which
their ^pp$+pp3+++=their
black ^jj++++=black
looks ^vbz++++=looks
verified ^vbd+vpub++xvbn+=verified.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Yellow ^jj+atrb+++=Yellow
Handkerchief ^nn++++=Handkerchief,
, ^zz++++=EXTRAWORD
since ^in++++=since
his ^pp$+pp3+++=his
discovery ^nn+nom+++=discovery
of ^in++++=of
my ^pp$+pp1+++=my
empty ^jj+atrb+++=empty
pocket ^nn++++=pocket,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
most ^ql+emph+++=most
insolent ^jj++++=insolent
in ^in++++=in
his ^pp$+pp3+++=his
bearing ^nvbg+++xvbg+=bearing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
wormed ^vbd+++xvbnx+=wormed
about ^in++++=about
among ^in++++=among
the ^ati++++=the
other ^ap++++=other
prisoners ^nns+nom+++=prisoners,
, ^zz++++=EXTRAWORD
talking ^vbg+++xvbg+=talking
to ^in++++=to
them ^pp3o+pp3+++=them
with ^in++++=with
great ^jj+atrb+++=great
earnestness ^nns+nom+++=earnestness.
. ^zz++++=EXTRAWORD
Swallowing ^np+++??+=Swallowing
my ^pp$+pp1+++=my
chagrin ^nn++++=chagrin,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stepped ^vbd+++xvbnx+=stepped
down ^rp++++=down
into ^in++++=into
the ^ati++++=the
cockpit ^nn++++=cockpit
and ^cc++++=and
began ^vbd+++xvbn+=began
throwing ^vbg+++xvbg+=throwing
out ^rb+phrv+++=out
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
hardly ^rb+down+++=hardly
had ^vb+hv+aux++=had
I ^pp1a+pp1+++=I
begun ^vbd+++xvbnx+=begun,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
boom ^nn++++=boom
swung ^vbd+++xvbn+=swung
overhead ^jjb++++=overhead,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mainsail ^nn++++=mainsail
filled ^vbd+++xvbn+=filled
with ^in++++=with
a ^at++++=a
jerk ^vb++++=jerk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Reindeer ^np+nom++??+=Reindeer
heeled ^vbd+++xvbn+=heeled
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
The ^ati++++=The
day ^nn++++=day
wind ^nn++++=wind
was ^vbd+bedz+aux++=was
springing ^vbg+++xvbgx+=springing
up ^rp++++=up.
. ^zz++++=EXTRAWORD
George ^np++++=George
was ^vbd+bedz+vrb++=was
the ^ati++++=the
veriest ^nn++++=veriest
of ^in++++=of
landlubbers ^nns+nom+++=landlubbers,
, ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
forced ^vpsv++agls+xvbnx+=forced
to ^to+vcmp+++=to
give ^vbi++++=give
over ^in++++=over
bailing ^xvbg+++xvbg+=bailing
and ^cc++++=and
take ^vb++++=take
the ^ati++++=the
tiller ^nn++++=tiller.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wind ^nn++++=wind
was ^vbd+bedz+aux++=was
blowing ^vbg+++xvbgx+=blowing
directly ^rb++++=directly
off ^in+pl+++=off
Point ^nn++++=Point
Pedro ^np++++=Pedro
and ^cc++++=and
the ^ati++++=the
high ^jj+atrb+++=high
mountains ^npl++++=mountains
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
because ^cs+cos+++=because
of ^in"++++=of
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
squally ^rb++++=squally
and ^cc++++=and
uncertain ^jj++++=uncertain,
, ^zz++++=EXTRAWORD
half ^abn++++=half
the ^ati++++=the
time ^nn++++=time
bellying ^vwbg+++xvbg+=bellying
the ^ati++++=the
canvas ^nn++++=canvas
out ^rp+pl+++=out
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other
half ^abn++++=half
flapping ^jj+++xvbg+=flapping
it ^pp3+it+++=it
idly ^rb++++=idly.
. ^zz++++=EXTRAWORD
George ^np++++=George
was ^vbd+bedz+vrb++=was
about ^in++++=about
the ^ati++++=the
most ^ql+emph+++=most
all ^abn++++=all-round
- ^zz++++=EXTRAWORD
round ^in++++=EXTRAWORD
helpless ^jj+atrb+++=helpless
man ^nn++++=man
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
met ^vprf+++xvbnx+=met.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
his ^pp$+pp3+++=his
other ^ap++++=other
disabilities ^nns+nom+++=disabilities,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
consumptive ^jj++++=consumptive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
attempted ^vbd+++xvbnx+=attempted
to ^to+vcmp+++=to
bail ^vbi++++=bail,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
might ^md+pos+++=might
bring ^vb++++=bring
on ^in++++=on
a ^at++++=a
hemorrhage ^nn+nom+++=hemorrhage.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
the ^ati++++=the
rising ^jj+atrb++xvbg+=rising
water ^nn++++=water
warned ^vbd+vpub++xvbn+=warned
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
something ^pn++++=something
must ^md+nec+++=must
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again
I ^pp1a+pp1+++=I
ordered ^vbd+vsua++xvbnx+=ordered
the ^ati++++=the
shrimp ^nn+++??+=shrimp-catchers
- ^zz++++=EXTRAWORD
catchers ^nns+nom+++=EXTRAWORD
to ^to++++=to
lend ^vbi++++=lend
a ^at++++=a
hand ^nn++++=hand
with ^in++++=with
the ^ati++++=the
buckets ^nns+++??+=buckets.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
laughed ^vbd+++xvbnx+=laughed
defiantly ^rb+cnj+++=defiantly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
those ^dt+dem+++=those
inside ^jjb++++=inside
the ^ati++++=the
cabin ^nn++++=cabin,
, ^zz++++=EXTRAWORD
the ^ati++++=the
water ^nn++++=water
up ^in+cmpx+++=up
to ^in"++++=to
their ^pp$+pp3+++=their
ankles ^nns++++=ankles,
, ^zz++++=EXTRAWORD
shouted ^j+++xvbn+=shouted
back ^jjb++++=back
and ^cc++++=and
forth ^rb++++=forth
with ^in++++=with
those ^dt+dem+++=those
on ^in++++=on
top ^nn++++=top.
. ^zz++++=EXTRAWORD
" ^zz++++="You'd
you ^pp2+pp2+++=EXTRAWORD
'd ^md"+hvd+pmd"++0=EXTRAWORD
better ^md++++=better
get ^vb++++=get
out ^rb+phrv+++=out
your ^pp$+pp2+++=your
gun ^nn++++=gun
and ^cc++++=and
make ^vb++++=make
them ^pp3o+pp3+++=them
bail ^nn++++=bail,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
George ^vb++++=George.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
shook ^vbd+++xvbnx+=shook
his ^pp$+pp3+++=his
head ^nn++++=head
and ^cc++++=and
showed ^vbd+vprv++xvbn+=showed
all ^abn++++=all
too ^ql++++=too
plainly ^rb++++=plainly
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
afraid ^jj+pred+++=afraid.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Chinese ^nn+nom+++=Chinese
could ^md+pos+++=could
see ^vb+vprv+++=see
the ^ati++++=the
funk ^nn+++??+=funk
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
in ^in++++=in
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
I ^pp1a+pp1+++=I
could ^md+pos+++=could,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
insolence ^nn+nom+++=insolence
became ^vbd+++xvbn+=became
insufferable ^jj++++=insufferable.
. ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
in ^in++++=in
the ^ati++++=the
cabin ^nn++++=cabin
broke ^vbd+++xvbn+=broke
into ^in+ppvb+++=into
the ^ati++++=the
food ^nn++++=food
lockers ^nns+nom+++=lockers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
those ^dt+dem+++=those
above ^in+pl+++=above
scrambled ^vbd+++xvbn+=scrambled
down ^rp++++=down
and ^cc++++=and
joined ^vbd+++xvbn+=joined
them ^pp3o+pp3+++=them
in ^in++++=in
a ^at++++=a
feast ^nn++++=feast
on ^in++++=on
our ^pp$+pp1+++=our
crackers ^nns+nom+++=crackers
and ^cc++++=and
canned ^xvbn+++xvbn+=canned
goods ^nns++++=goods.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
we ^pp1a+pp1+++=we
care ^nn++++=care?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
George ^np++++=George
said ^vbd+vpub++xvbn+=said
weakly ^rb++++=weakly.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
fuming ^vbg+++xvbgx+=fuming
with ^in++++=with
helpless ^jj+atrb+++=helpless
anger ^nn++++=anger.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
they ^pp3a+pp3+++=they
get ^vb++++=get
out ^rb+phrv+++=out
of ^in++++=of
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
will ^md+prd+++=will
be ^vb+be+vrb++=be
too ^ql++++=too
late ^jj++++=late
to ^in++++=to
care ^nn++++=care.
. ^zz++++=EXTRAWORD
The ^ati++++=The
best ^jjt+atrb+++=best
thing ^nn++++=thing
you ^pp2+pp2+++=you
can ^md+pos+++=can
do ^vb+do+aux++=do
is ^vbz+bez+aux++=is
to ^to++++=to
get ^vbi++++=get
them ^pp3o+pp3+++=them
in ^in++++=in
check ^vb+vprv+++=check
right ^jj++++=right
now ^rn+tm+++=now."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
water ^nn++++=water
was ^vbd+bedz+aux++=was
rising ^vbg+++xvbgx+=rising
higher ^jjr++++=higher
and ^cc+phrs+++=and
higher ^jjr++++=higher,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
gusts ^nns++++=gusts,
, ^zz++++=EXTRAWORD
forerunners ^nns+nom+++=forerunners
of ^in++++=of
a ^at++++=a
steady ^jj+atrb+++=steady
breeze ^nn++++=breeze,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
growing ^vbg+++xvbgx+=growing
stiffer ^jjr++++=stiffer
and ^cc+phrs+++=and
stiffer ^jjr++++=stiffer.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
between ^in++++=between
the ^ati++++=the
gusts ^nns++++=gusts,
, ^zz++++=EXTRAWORD
the ^ati++++=the
prisoners ^nns+nom+++=prisoners,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
gotten ^vprf+++xvbn+=gotten
away ^rb+phrv+++=away
with ^in+ppvb+++=with
a ^at++++=a
week ^nn++++=week's
's ^$++++=EXTRAWORD
grub ^nn++++=grub,
, ^zz++++=EXTRAWORD
took ^vb+++xvbn+=took
to ^to+vcmp+++=to
crowding ^vbg+++xvbg+=crowding
first ^od++++=first
to ^to++++=to
one ^cd1++++=one
side ^nn++++=side
and ^cc++++=and
then ^rn+tm+++=then
to ^in++++=to
the ^ati++++=the
other ^ap++++=other
till ^in++++=till
the ^ati++++=the
Reindeer ^np+nom++??+=Reindeer
rocked ^vbd+++xvbn+=rocked
like ^in++++=like
a ^at++++=a
cockle ^nn+++??+=cockle-shell.
- ^zz++++=EXTRAWORD
shell ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Yellow ^jj+atrb+++=Yellow
Handkerchief ^nn++++=Handkerchief
approached ^vbd+++xvbn+=approached
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
pointing ^vbg+++xvbg+=pointing
out ^rp+pl+++=out
his ^pp$+pp3+++=his
village ^nn+nom+++=village
on ^in++++=on
the ^ati++++=the
Point ^nn++++=Point
Pedro ^np++++=Pedro
beach ^nn++++=beach,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
me ^pp1o+pp1+++=me
to ^to++++=to
understand ^vbi+vprv+++=understand
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
the ^ati++++=the
Reindeer ^np+nom++??+=Reindeer
in ^cs+sub+++=in
that ^cs"++++=that
direction ^nn+nom+++=direction
and ^cc++++=and
put ^vb+++xvbn+=put
them ^pp3o+pp3+++=them
ashore ^rb+cnj+++=ashore,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they,
, ^zz++++=EXTRAWORD
in ^in++++=in
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
go ^vb++++=go
to ^to++++=to
bailing ^vbi+nom+++=bailing.
. ^zz++++=EXTRAWORD
By ^in++++=By
now ^rn+tm+++=now
the ^ati++++=the
water ^nn++++=water
in ^in++++=in
the ^ati++++=the
cabin ^nn++++=cabin
was ^vbd+bedz+vrb++=was
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
bunks ^nns++++=bunks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
bedclothes ^nns++++=bedclothes
were ^vbd+bed+aux++=were
sopping ^vbg+++xvbgx+=sopping.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
foot ^nn++++=foot
deep ^jj++++=deep
on ^in++++=on
the ^ati++++=the
cockpit ^nn++++=cockpit
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless
I ^pp1a+pp1+++=I
refused ^vbd+++xvbnx+=refused,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+++=see
by ^in++++=by
George ^np++++=George's
's ^$++++=EXTRAWORD
face ^nn++++=face
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
disappointed ^vpsv++agls+xvbnx+=disappointed.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
show ^vb+vprv+++=show
some ^dti++++=some
nerve ^nn++++=nerve,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they'll
'll ^md+prd+++0=EXTRAWORD
rush ^vb++++=rush
us ^pp1o+pp1+++=us
and ^cc++++=and
throw ^vb++++=throw
us ^pp1o+pp1+++=us
overboard ^rb+cnj+++=overboard,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Better
better ^jjr++++=EXTRAWORD
give ^vb++++=give
me ^pp1o+pp1+++=me
your ^pp$+pp2+++=your
revolver ^nn+nom+++=revolver,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
be ^vbi++vrb++=be
safe ^jj+pred+++=safe."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
safest ^jjt+atrb+++=safest
thing ^nn++++=thing
to ^to++++=to
do ^vbi++++=do,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
chattered ^vbd+++xvbnx+=chattered
cravenly ^rb+cnj+++=cravenly,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+aux++=EXTRAWORD
to ^to++++=to
put ^vbi++++=put
them ^pp3o+pp3+++=them
ashore ^rb+pl+++=ashore.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
for ^in++++=for
one ^pn++++=one,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
drowned ^vpsv++agls+xvbnx+=drowned
for ^in+cmpx+++=for
the ^in"++++=the
sake ^in"++++=sake
of ^in"++++=of
a ^at++++=a
handful ^nn+nom+++=handful
of ^in++++=of
dirty ^jj+atrb+++=dirty
Chinamen ^np+++??+=Chinamen."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
for ^in++++=for
another ^dt++++=another,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
care ^vb+vprv+++=care
to ^to+vcmp+++=to
give ^vbi++++=give
in ^in++++=in
to ^in++++=to
a ^at++++=a
handful ^nn+nom+++=handful
of ^in++++=of
dirty ^jj+atrb+++=dirty
Chinamen ^np+++??+=Chinamen
to ^to++++=to
escape ^vbi++++=escape
drowning ^nvbg+++xvbg+=drowning,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
answered ^vbd+vpub++xvbnx+=answered
hotly ^rb++++=hotly.
. ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
sink ^vb++++=sink
the ^ati++++=the
Reindeer ^np+nom++??+=Reindeer
under ^in++++=under
us ^pp1o+pp1+++=us
all ^abn++++=all
at ^rb++++=at
this ^dt+dem+++=this
rate ^nn++++=rate,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
whined ^vbd+++xvbnx+=whined.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
what ^wdt+who+++=what
good ^jj++++=good
that ^tht+jcmp+++=that'll
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+aux++=do
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Every
every ^at++++=EXTRAWORD
man ^nn++++=man
to ^in++++=to
his ^pp$+pp3+++=his
taste ^nn++++=taste,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
retorted ^vbd+++xvbnx+=retorted.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
made ^vbd+++xvbnx+=made
no ^at++++=no
reply ^nn++++=reply,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+tht0++=see
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
trembling ^nvbg+++xvbg+=trembling
pitifully ^rb++++=pitifully.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
the ^ati++++=the
threatening ^jj+atrb+++=threatening
Chinese ^nn+nom+++=Chinese
and ^cc++++=and
