Go ^vb++++=Go,
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Nafferton ^np+++??+=Nafferton
went ^vbd+++xvbn+=went
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
second ^od++++=second
section ^nn+nom+++=section
of ^in++++=of
his ^pp$+pp3+++=his
fifth ^nn++++=fifth
question ^nn+nom+++=question.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
could ^md+pos+++=could
the ^ati++++=the
exotic ^jj+atrb+++=exotic
Pig ^nn++++=Pig
be ^vb+be+aux++=be
brought ^vpsv++agls+xvbnx+=brought
to ^rb+phrv+++=to
give ^vbi++++=give
as ^ql++++=as
much ^ap++++=much
pork ^nn++++=pork
as ^ql++++=as
it ^pp3+it+++=it
did ^vbd+dod+vrb++=did
in ^in++++=in
the ^ati++++=the
West ^np+pl+++=West
and ^cc++++=and
yet ^rb++++=yet
" ^zz++++="assume
assume ^vb+vprv+++=EXTRAWORD
the ^ati++++=the
essentially ^rb+down+++=essentially
hirsute ^jj+atrb++??+=hirsute
characteristics ^nns++++=characteristics
of ^in++++=of
its ^pp$+it+++=its
oriental ^jj++++=oriental
congener ^jjr++++=congener?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Pinecoffin ^np+++??+=Pinecoffin
felt ^vbd+vprv++xvbn+=felt
dazed ^vbd+++xvbn+=dazed,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
forgotten ^vprf+++xvbnx+=forgotten
what ^wdt+who+whcl++=what
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
written ^vprf+++xvbnx+=written
sixteen ^cd++++=sixteen
month ^nn++++=month's
's ^vbz+bez+vrb++0=EXTRAWORD
before ^in++++=before,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fancied ^vbd+++xvbn+=fancied
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
about ^md"++pmd"++=about
to ^md+prd+++=to
reopen ^vb++++=reopen
the ^ati++++=the
entire ^jjb+atrb+++=entire
question ^nn+nom+++=question.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
too ^ql++++=too
far ^rb+pl+++=far
involved ^vbd+++xvbn+=involved
in ^in++++=in
the ^ati++++=the
hideous ^jj+atrb+++=hideous
tangle ^nn++++=tangle
to ^in++++=to
retreat ^nn++++=retreat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
weak ^jj+atrb+++=weak
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
wrote: ^nn+++??+=wrote:--"Consult
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
consult ^vb++++=EXTRAWORD
my ^pp$+pp1+++=my
first ^od++++=first
letter ^nn++++=letter."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Which ^whp+who+++=Which
related ^vbd+++xvbn+=related
to ^in++++=to
the ^ati++++=the
Dravidian ^np+++??+=Dravidian
Pig ^nn++++=Pig.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
matter ^nn++++=matter
of ^in++++=of
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
Pinecoffin ^np+++??+=Pinecoffin
had ^vb+hv+vrb++=had
still ^rb++++=still
to ^to++++=to
reach ^vbi++++=reach
the ^ati++++=the
acclimatization ^nn+nom+++=acclimatization
stage ^nn++++=stage;
; ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
gone ^vprf+++xvbn+=gone
off ^in+pl+++=off
on ^in++++=on
a ^at++++=a
side ^nn++++=side-issue
- ^zz++++=EXTRAWORD
issue ^nn++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
merging ^nn++++=merging
of ^in++++=of
types ^nns++++=types.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=THEN
Nafferton ^np+++??+=Nafferton
really ^rb+emph+++=really
unmasked ^vbd+++xvbn+=unmasked
his ^pp$+pp3+++=his
batteries ^nns+nom+++=batteries!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
complained ^vbd+vpub++xvbnx+=complained
to ^in++++=to
the ^ati++++=the
Government ^nn+nom+++=Government,
, ^zz++++=EXTRAWORD
in ^in++++=in
stately ^jj+atrb+++=stately
language ^nn+nom+++=language,
, ^zz++++=EXTRAWORD
of ^in++++=of
" ^zz++++="the
the ^ati++++=EXTRAWORD
paucity ^nn+nom+++=paucity
of ^in++++=of
help ^nn++++=help
accorded ^vbd+++xvbn+=accorded
to ^in++++=to
me ^pp1o+pp1+++=me
in ^in++++=in
my ^pp$+pp1+++=my
earnest ^nn++++=earnest
attempts ^vb++++=attempts
to ^to+vcmp+++=to
start ^vbi++++=start
a ^at++++=a
potentially ^rb++++=potentially
remunerative ^jj+atrb+++=remunerative
industry ^nn++++=industry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
flippancy ^nn+++??+=flippancy
with ^in++++=with
which ^whp+rel+pied++=which
my ^pp$+pp1+++=my
requests ^nns++++=requests
for ^in++++=for
information ^nn+nom+++=information
are ^vb+ber+aux++=are
treated ^vpsv++by+xvbnx+=treated
by ^in++++=by
a ^at++++=a
gentleman ^nn+nom+++=gentleman
whose ^whp+rel+obj++=whose
pseudo ^jjb++++=pseudo-scholarly
- ^zz++++=EXTRAWORD
scholarly ^jj+atrb+++=EXTRAWORD
attainments ^nns+nom+++=attainments
should ^md+nec+++=should
at ^rb++++=at
lest ^cs+sub+++=lest
have ^vb+hv+aux++=have
taught ^vprf+++xvbnx+=taught
him ^pp3o+pp3+++=him
the ^ati++++=the
primary ^jj+atrb+++=primary
differences ^nns+nom+++=differences
between ^in++++=between
the ^ati++++=the
Dravidian ^np+++??+=Dravidian
and ^cc++++=and
the ^ati++++=the
Berkshire ^np+++??+=Berkshire
variety ^nn++++=variety
of ^in++++=of
the ^ati++++=the
genus ^nns+++??+=genus
Sus ^np+++??+=Sus.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
to ^to++++=to
understand ^vbi+vprv+++=understand
that ^tht+vcmp+++=that
the ^ati++++=the
letter ^nn++++=letter
to ^to++++=to
which ^whp+who+++=which
he ^pp3a+pp3+++=he
refers ^vbz++++=refers
me ^pp1o+pp1+++=me
contains ^vbz++++=contains
his ^pp$+pp3+++=his
serious ^jj+atrb+++=serious
views ^nns++++=views
on ^in++++=on
the ^ati++++=the
acclimatization ^nn+nom+++=acclimatization
of ^in++++=of
a ^at++++=a
valuable ^jj++++=valuable,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
possibly ^rb++++=possibly
uncleanly ^jj++++=uncleanly,
, ^zz++++=EXTRAWORD
animal ^nn++++=animal,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
reluctantly ^rb++splt++=reluctantly
compelled ^vpsv++agls+xvbnx+=compelled
to ^to+vcmp+++=to
believe ^vbi+vprv+++=believe,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
etc ^rb++++=etc.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
etc ^rb++++=etc.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
new ^jj+atrb+++=new
man ^nn++++=man
at ^in++++=at
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
the ^ati++++=the
Department ^nn+nom+++=Department
of ^in++++=of
Castigation ^np+nom++??+=Castigation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wretched ^jj+atrb+++=wretched
Pinecoffin ^np+++??+=Pinecoffin
was ^vbd+bedz+aux++=was
told ^vpsv++agls+xvbnx+=told
that ^tht+vcmp+++=that
the ^ati++++=the
Service ^nn++++=Service
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
for ^in+ppvb+++=for
the ^ati++++=the
Country ^nn++++=Country,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
the ^ati++++=the
Country ^nn++++=Country
for ^in++++=for
the ^ati++++=the
Service ^nn++++=Service,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
better ^jjr++++=better
begin ^vb++++=begin
to ^to++++=to
supply ^vbi++++=supply
information ^nn+nom+++=information
about ^in++++=about
Pigs ^nns++++=Pigs.
. ^zz++++=EXTRAWORD
Pinecoffin ^np+++??+=Pinecoffin
answered ^vbd+vpub++xvbn+=answered
insanely ^jj++++=insanely
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
written ^vprf+++xvbnx+=written
everything ^pn++++=everything
that ^dt+pdem+++=that
could ^md+pos+++=could
be ^vb+be+aux++=be
written ^vpsv++agls+xvbnx+=written
about ^in++++=about
Pig ^nn++++=Pig,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
some ^dti++++=some
furlough ^nn++++=furlough
was ^vbd+bedz+vrb++=was
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Nafferton ^np+++??+=Nafferton
got ^vbd+++xvbn+=got
a ^at++++=a
copy ^nn++++=copy
of ^in++++=of
that ^dt+dem+++=that
letter ^nn++++=letter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sent ^vbd+++xvbn+=sent
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
essay ^nn++++=essay
on ^in++++=on
the ^ati++++=the
Dravidian ^np+++??+=Dravidian
Pig ^nn++++=Pig,
, ^zz++++=EXTRAWORD
to ^in++++=to
a ^at++++=a
down ^rp++++=down-country
- ^zz++++=EXTRAWORD
country ^nn++++=EXTRAWORD
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
printed ^xvbn+++xvbn+=printed
both ^abx++++=both
in ^rb++++=in
full ^rb"++++=full.
. ^zz++++=EXTRAWORD
The ^ati++++=The
essay ^nn++++=essay
was ^vbd+bedz+aux++=was
rather ^rb++splt++=rather
highflown ^vpsv++agls+xvbnx+=highflown;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
if ^cs+cnd+++=if
the ^ati++++=the
Editor ^nn++++=Editor
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
stacks ^nns++++=stacks
of ^in++++=of
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
in ^in++++=in
Pinecoffin ^np++++=Pinecoffin's
's ^$++++=EXTRAWORD
handwriting ^nn++++=handwriting,
, ^zz++++=EXTRAWORD
on ^in++++=on
Nafferton ^np++++=Nafferton's
's ^$++++=EXTRAWORD
table ^nn++++=table,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
not ^xnot++not++=not
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
so ^ql+emph+++=so
sarcastic ^jj++++=sarcastic
about ^in++++=about
the ^ati++++=the
" ^zz++++="nebulous
nebulous ^jj+atrb+++=EXTRAWORD
discursiveness ^nns+nom+++=discursiveness
and ^cc++++=and
blatant ^jj+atrb+++=blatant
self ^nn++++=self-sufficiency
- ^zz++++=EXTRAWORD
sufficiency ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
modern ^jj+atrb+++=modern
Competition ^nn+nom+++=Competition-wallah,
- ^zz++++=EXTRAWORD
wallah ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
utter ^jjb+atrb+++=utter
inability ^nn+nom+++=inability
to ^to+ncmp+++=to
grasp ^vbi+vprv+++=grasp
the ^ati++++=the
practical ^jj+atrb+++=practical
issues ^nns++++=issues
of ^in++++=of
a ^at++++=a
practical ^jj+atrb+++=practical
question ^nn+nom+++=question."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Many ^ap++++=Many
friends ^nns++++=friends
cut ^vbd+++xvbn+=cut
out ^rp+pl+++=out
these ^dt+dem+++=these
remarks ^nns++++=remarks
and ^cc++++=and
sent ^vwbn+++xvbn+=sent
them ^pp3o+pp3+++=them
to ^in++++=to
Pinecoffin ^np+++??+=Pinecoffin.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
already ^rb++splt++=already
stated ^vprf+++xvbnx+=stated
that ^tht+vcmp+++=that
Pinecoffin ^np+++??+=Pinecoffin
came ^vbd+++xvbn+=came
of ^in++++=of
a ^at++++=a
soft ^jj+atrb+++=soft
stock ^nn++++=stock.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
last ^jj+atrb+++=last
stroke ^nn++++=stroke
frightened ^vbd+++xvbn+=frightened
and ^cc+phrs+++=and
shook ^vbd+++xvbn+=shook
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
understand ^vb+vprv+++=understand
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
felt ^vbd+vprv+tht0+xvbnx+=felt
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been,
, ^zz++++=EXTRAWORD
somehow ^rb+cnj+++=somehow,
, ^zz++++=EXTRAWORD
shamelessly ^jj++++=shamelessly
betrayed ^vpsv++by+xvbn+=betrayed
by ^in++++=by
Nafferton ^np+++??+=Nafferton.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
realized ^vbd+vprv++xvbnx+=realized
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
wrapped ^vprf+++xvbnx+=wrapped
himself ^ppl+pp3+++=himself
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
Pigskin ^np+++??+=Pigskin
without ^in++++=without
need ^nn++++=need,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
well ^jj+pred+++=well
set ^nn+++xvbn+=set
himself ^ppl+pp3+++=himself
right ^jj++++=right
with ^in++++=with
his ^pp$+pp3+++=his
Government ^nn+nom+++=Government.
. ^zz++++=EXTRAWORD
All ^abn++++=All
his ^pp$+pp3+++=his
acquaintances ^nns+nom+++=acquaintances
asked ^vbd+vsua++xvbn+=asked
after ^in+ppvb+++=after
his ^pp$+pp3+++=his
" ^zz++++="nebulous
nebulous ^jj+atrb+++=EXTRAWORD
discursiveness ^nns+nom+++=discursiveness"
" ^zz++++=EXTRAWORD
or ^cc++++=or
his ^pp$+pp3+++=his
" ^zz++++="blatant
blatant ^jj+atrb+++=EXTRAWORD
self ^nn++++=self-sufficiency,"
- ^zz++++=EXTRAWORD
sufficiency ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
this ^dt+pdem+++=this
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
miserable ^jj++++=miserable.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
a ^at++++=a
train ^nn++++=train
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
to ^in++++=to
Nafferton ^np+++??+=Nafferton,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
not ^xnot++not++=not
seen ^vprf+++xvbn+=seen
since ^cs+sub+++=since
the ^ati++++=the
Pig ^nn++++=Pig
business ^nns+nom+++=business
began ^vbd+++xvbn+=began.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
also ^rb++++=also
took ^vbd+++xvbn+=took
the ^ati++++=the
cutting ^jj+++xvbg+=cutting
from ^in++++=from
the ^ati++++=the
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
blustered ^jj+++xvbn+=blustered
feebly ^rb++++=feebly
and ^cc++++=and
called ^xvbn+++xvbn+=called
Nafferton ^np+++??+=Nafferton
names ^nns++++=names,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
died ^vbd+++xvbn+=died
down ^rp++++=down
to ^in++++=to
a ^at++++=a
watery ^jj+atrb+++=watery,
, ^zz++++=EXTRAWORD
weak ^jj+atrb+++=weak
protest ^nn++++=protest
of ^in++++=of
the ^ati++++=the
" ^zz++++="I-say-it's-too-bad-you-know"
i-say-it ^nn+++??+=EXTRAWORD
's-too-bad-you-know" ^nn+++??+=EXTRAWORD
order ^to++++=order.
. ^zz++++=EXTRAWORD
Nafferton ^np+++??+=Nafferton
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
sympathetic ^jj++++=sympathetic.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
afraid ^jj+pred+++=afraid
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
given ^vprf+++xvbnx+=given
you ^pp2+pp2+++=you
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
of ^in++++=of
trouble ^nn++++=trouble,
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=haven't
n't ^xnot++not++0=EXTRAWORD
I ^pp1a+pp1+++=I?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="Trouble!"
trouble ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
whimpered ^jj+++xvbn+=whimpered
Pinecoffin ^np+++??+=Pinecoffin;
; ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
mind ^vb+++??+=mind
the ^ati++++=the
trouble ^nn++++=trouble
so ^ql++++=so
much ^ap++++=much,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
bad ^jj+pred+++=bad
enough ^qlp++++=enough;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
resent ^vb++++=resent
is ^vbz+bez+vrb++=is
this ^dt+dem+++=this
showing ^jj+++xvbg+=showing
up ^rp++++=up
in ^in++++=in
print ^nn++++=print.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
will ^md+prd+++=will
stick ^vb++++=stick
to ^in++++=to
me ^pp1o+pp1+++=me
like ^in++++=like
a ^at++++=a
burr ^nn++++=burr
all ^abn++++=all
through ^in++++=through
my ^pp$+pp1+++=my
service ^nn++++=service.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
Did ^vbd+dod+aux++=DID
do ^vb+do+vrb++=do
my ^pp$+pp1+++=my
best ^jjt++++=best
for ^in++++=for
your ^pp$+pp2+++=your
interminable ^jj+atrb+++=interminable
swine ^nns++++=swine.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
too ^ql++++=too
bad ^jj++++=bad
of ^in++++=of
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
on ^in++++=on
my ^pp$+pp1+++=my
soul ^nn++++=soul
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Nafferton ^np+++??+=Nafferton;
; ^zz++++=EXTRAWORD
" ^zz++++="have
have ^vb+hv+aux++=EXTRAWORD
you ^pp2+pp2+++=you
ever ^rb++++=ever
been ^vprf+ben+aux+xvbn+=been
stuck ^vpsv++agls+xvbnx+=stuck
with ^in++++=with
a ^at++++=a
horse ^nn++++=horse?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
the ^ati++++=the
money ^nn++++=money
I ^pp1a+pp1+++=I
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
bad ^jj+pred+++=bad
enough ^qlp++++=enough;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
resent ^vb++++=resent
is ^vbz+bez+vrb++=is
the ^ati++++=the
chaff ^nn+++??+=chaff
that ^tht+rel+subj++=that
follows ^vbz+vprv+++=follows,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
from ^in++++=from
the ^ati++++=the
boy ^nn++++=boy
who ^whp+rel+subj++=who
stuck ^vbd+++xvbn+=stuck
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
cry ^vb++++=cry
quite ^abl++++=quite
now ^rn+tm+++=now."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Pinecoffin ^np+++??+=Pinecoffin
found ^vbd+vprv+tht0+xvbn+=found
nothing ^pn++++=nothing
to ^to++++=to
say ^vbi+vpub+++=say
save ^vb++++=save
bad ^jj+atrb+++=bad
words ^nns++++=words;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Nafferton ^np+++??+=Nafferton
smiled ^vbd+++xvbn+=smiled
ever ^rb++++=ever
so ^rb++++=so
sweetly ^rb+cnj+++=sweetly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
asked ^vbd+vsua+++=asked
him ^pp3o+pp3+++=him
to ^in++++=to
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
