Now ^rn+tm+++=Now
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
made ^vbd+++xvbn+=made
me ^pp1o+pp1+++=me
rather ^rb++++=rather
sad ^jj++++=sad,
, ^zz++++=EXTRAWORD
at ^rb++++=at
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
to ^to++++=to
find ^vbi+vprv+++=find
how ^wrb+who+whcl++=how
soon ^rb+tm+++=soon
the ^ati++++=the
flame ^nn++++=flame
of ^in++++=of
love ^nn++++=love
expires ^vbz++++=expires
amid ^in++++=amid
the ^ati++++=the
chill ^vb++++=chill
damps ^nns+++??+=damps
of ^in++++=of
the ^ati++++=the
tomb ^nn++++=tomb;
; ^zz++++=EXTRAWORD
so ^ql++++=so
much ^ap++++=much
the ^ati++++=the
sooner ^rbr++++=sooner,
, ^zz++++=EXTRAWORD
the ^ati++++=the
more ^rbr++++=more
fiercely ^rb++++=fiercely
it ^pp3+it+++=it
may ^md+pos+++=may
have ^vb+hv+aux++=have
burned ^vprf+++xvbnx+=burned.
. ^zz++++=EXTRAWORD
Forget ^vb+vprv+++=Forget
your ^pp$+pp2+++=your
dead ^jj+atrb+++=dead
mistress ^nns+nom+++=mistress,
, ^zz++++=EXTRAWORD
youth ^nn++++=youth!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
has ^vbz+hvz+aux++=has
already ^rb++splt++=already
forgotten ^vprf++tht0+xvbnx+=forgotten
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Maiden ^jjb++++=Maiden,
, ^zz++++=EXTRAWORD
cease ^vb++++=cease
to ^to++++=to
weep ^vbi++++=weep
for ^in++++=for
your ^pp$+pp2+++=your
buried ^jj+atrb++xvbn+=buried
lover ^nn++++=lover!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
will ^md+prd+++=will
know ^vb+vprv+tht0++=know
nothing ^pn++++=nothing
of ^in++++=of
your ^pp$+pp2+++=your
tears ^nns++++=tears,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
value ^nn++++=value
them ^pp3o+pp3+++=them
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
blasphemy ^nn++++=blasphemy
to ^to++++=to
say ^vbi+vpub+++=say
that ^tht+vcmp+++=that
true ^jj+atrb+++=true
love ^nn++++=love
is ^vbz+bez+vrb++=is
other ^ap++++=other
than ^in++++=than
immortal ^nn++++=immortal.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
an ^at++++=an
earthly ^jj+atrb+++=earthly
passion ^nn++++=passion,
, ^zz++++=EXTRAWORD
of ^in++++=of
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
speak ^vb++++=speak,
, ^zz++++=EXTRAWORD
mingled ^j+++xvbn+=mingled
with ^in++++=with
little ^ap++++=little
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
spiritual ^jj+pred+++=spiritual,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
must ^md+nec+++=must
therefore ^rb+cnj+splt++=therefore
perish ^vb++++=perish
with ^in++++=with
the ^ati++++=the
perishing ^jj+atrb++xvbg+=perishing
clay ^nn++++=clay.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
souls ^nns++++=souls
have ^vb+hv+aux++=have
loved ^vprf+++xvbnx+=loved,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
falsehood ^nn+nom+++=falsehood
or ^cc++++=or
forgetfulness ^nns+nom+++=forgetfulness.
. ^zz++++=EXTRAWORD
Maternal ^jj+atrb+++=Maternal
affection ^nn+nom+++=affection,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
strong ^jj+pred+++=strong
as ^in++++=as
adamant ^nn++++=adamant.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
mothers ^nns+nom+++=mothers
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
among ^in++++=among
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
heaven ^nn++++=heaven
fifty ^cd++++=fifty
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
could ^md+pos+++=could
forbear ^vb+++??+=forbear
to ^to++++=to
cherish ^vbi++++=cherish
earthly ^jj+atrb+++=earthly
joy ^nn++++=joy
and ^cc++++=and
sorrow ^nn++++=sorrow,
, ^zz++++=EXTRAWORD
reflected ^j+++xvbn+=reflected
from ^in++++=from
the ^ati++++=the
bosoms ^nns++++=bosoms
of ^in++++=of
their ^pp$+pp3+++=their
children ^nns++++=children.
. ^zz++++=EXTRAWORD
Husbands ^nns++++=Husbands
and ^cc++++=and
wives ^nns++++=wives
have ^vb+hv+vrb++=have
a ^at++++=a
comfortable ^jj+atrb+++=comfortable
gift ^nn++++=gift
of ^in++++=of
oblivion ^nn++++=oblivion,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
when ^wrb+who+++=when
secure ^jj++++=secure
of ^in++++=of
the ^ati++++=the
faith ^nn++++=faith
of ^in++++=of
their ^pp$+pp3+++=their
living ^nvbg+++xvbg+=living
halves ^nns++++=halves.
. ^zz++++=EXTRAWORD
Jealousy ^nn++++=Jealousy,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
play ^vb++++=play
the ^ati++++=the
devil ^nn++++=devil
with ^in++++=with
a ^at++++=a
ghost ^nn++++=ghost,
, ^zz++++=EXTRAWORD
driving ^nvbg+++xvbg+=driving
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
bedside ^nn++++=bedside
of ^in++++=of
secondary ^jj+atrb+++=secondary
wedlock ^nn+++??+=wedlock,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
to ^in++++=to
scowl ^nn++++=scowl,
, ^zz++++=EXTRAWORD
unseen ^jj++++=unseen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gibber ^jjr+atrb+++=gibber
inaudible ^jj+atrb+++=inaudible
remonstrances ^nns+nom++??+=remonstrances.
. ^zz++++=EXTRAWORD
Dead ^jj+atrb+++=Dead
wives ^nns++++=wives,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however
jealous ^jj++++=jealous
in ^in++++=in
their ^pp$+pp3+++=their
lifetime ^nn++++=lifetime,
, ^zz++++=EXTRAWORD
seldom ^rb++++=seldom
feel ^vb+vprv+++=feel
this ^dt+dem+++=this
posthumous ^jj+atrb+++=posthumous
torment ^nn+nom+++=torment
so ^ql++++=so
acutely ^rb++++=acutely.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many,
, ^zz++++=EXTRAWORD
many ^ap++++=many
things ^nns++++=things,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
appear ^nn+seem+++=appear
most ^ql+emph+++=most
important ^jj++++=important
while ^cs+sub+++=while
we ^pp1a+pp1+++=we
walk ^vb++++=walk
the ^ati++++=the
busy ^jj+atrb+++=busy
street ^nn++++=street,
, ^zz++++=EXTRAWORD
lose ^vb++++=lose
all ^abn++++=all
their ^pp$+pp3+++=their
interest ^nn++++=interest
the ^ati++++=the
moment ^nn++++=moment
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
borne ^vpsv++agls+xvbnx+=borne
into ^in++++=into
the ^ati++++=the
quiet ^nn++++=quiet
graveyard ^nn+++??+=graveyard
which ^whp+rel+subj++=which
borders ^nns+nom+++=borders
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
For ^in++++=For
my ^pp$+pp1+++=my
own ^ap++++=own
part ^nn++++=part,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
spirit ^nn++++=spirit
had ^vb+hv+aux++=had
not ^xnot++not++=not
become ^vb++++=become
so ^ql+emph+++=so
mixed ^jj+++xvbn+=mixed
up ^rb+phrv+++=up
with ^in+ppvb+++=with
earthly ^jj+atrb+++=earthly
existence ^nn+nom+++=existence,
, ^zz++++=EXTRAWORD
as ^in++++=as
to ^to++++=to
be ^vbi+vbi+aux++=be
now ^rn+tm+splt++=now
held ^vpsv++agls+xvbnx+=held
in ^in++++=in
an ^at++++=an
unnatural ^jj+atrb+++=unnatural
combination ^nn+nom+++=combination,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
tortured ^vbd+++xvbn+=tortured
much ^ap++++=much
with ^in++++=with
retrospective ^nn++++=retrospective
cares ^vbz++++=cares.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
still ^rb++++=still
love ^vb++++=love
my ^pp$+pp1+++=my
parents ^nns++++=parents
and ^cc++++=and
a ^at++++=a
younger ^jjr+atrb+++=younger
sister ^nn++++=sister,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
remain ^vb++++=remain
among ^in++++=among
the ^ati++++=the
living ^nvbg+++xvbg+=living,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
often ^rb++++=often
grieve ^np++++=grieve
me ^pp1o+pp1+++=me
by ^in++++=by
their ^pp$+pp3+++=their
patient ^nn++++=patient
sorrow ^nn++++=sorrow
for ^in++++=for
the ^ati++++=the
dead ^nn++++=dead.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
separate ^nn+nom+++=separate
tear ^nn++++=tear
of ^in++++=of
theirs ^pp$$++++=theirs
is ^vbz+bez+vrb++=is
an ^at++++=an
added ^jj+atrb++xvbn+=added
weight ^nn++++=weight
upon ^in++++=upon
my ^pp$+pp1+++=my
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lengthens ^vbz++++=lengthens
my ^pp$+pp1+++=my
stay ^nn++++=stay
among ^in++++=among
the ^ati++++=the
graves ^nns++++=graves.
. ^zz++++=EXTRAWORD
As ^in++++=As
to ^in"++++=to
other ^ap++++=other
matters ^nns+nom+++=matters,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
exceedingly ^rb++++=exceedingly
rejoices ^nns+++??+=rejoices
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
summons ^nn++++=summons
came ^vbd+++xvbn+=came
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
time ^nn++++=time
to ^to++++=to
write ^vbi++++=write
a ^at++++=a
projected ^jj+atrb++xvbn+=projected
poem ^nn++++=poem,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
highly ^rb+amp+++=highly
imaginative ^jj+pred+++=imaginative
in ^in++++=in
conception ^nn+nom+++=conception,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
could ^md+pos+++=could
not ^xnot++not++=not
have ^vb+hv+aux++=have
failed ^vprf+++xvbnx+=failed
to ^to+vcmp+++=to
give ^vbi++++=give
me ^pp1o+pp1+++=me
a ^at++++=a
triumphant ^jj+atrb+++=triumphant
rank ^nn++++=rank
in ^in++++=in
the ^ati++++=the
choir ^nn++++=choir
of ^in++++=of
our ^pp$+pp1+++=our
native ^jj+atrb+++=native
bards ^nns+++??+=bards.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
is ^vbz+bez+vrb++=is
so ^ql++++=so
much ^ap++++=much
to ^to++++=to
be ^vbi+vbi+aux++=be
deprecated ^vpsv++agls+xvbnx+=deprecated
as ^ql++++=as
posthumous ^jj+atrb+++=posthumous
renown ^nn++++=renown.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
keeps ^vbz++++=keeps
the ^ati++++=the
immortal ^jj+atrb+++=immortal
spirit ^nn++++=spirit
from ^in++++=from
the ^ati++++=the
proper ^jj+atrb+++=proper
bliss ^nn++++=bliss
of ^in++++=of
his ^pp$+pp3+++=his
celestial ^jj+atrb+++=celestial
state ^nn++++=state,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
causes ^nns++++=causes
him ^pp3o+pp3+++=him
to ^to++++=to
feed ^vbi++++=feed
upon ^in++++=upon
the ^ati++++=the
impure ^nn+++??+=impure
breath ^nn++++=breath
of ^in++++=of
mortal ^jj+atrb+++=mortal
man ^nn++++=man,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
sometimes ^rb++++=sometimes
he ^pp3a+pp3+++=he
forgets ^vbz++++=forgets
that ^tht+vcmp+++=that
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
starry ^jj+atrb+++=starry
realms ^nns++++=realms
above ^rb++++=above
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Few ^ap++++=Few
poets ^nns++++=poets
infatuated ^vbd+++xvbn+=infatuated
that ^dt+dem+++=that
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are!
! ^zz++++=EXTRAWORD
soar ^vb++++=soar
upward ^jjb++++=upward
while ^cs+sub+++=while
the ^ati++++=the
least ^rbt++++=least
whisper ^nn++++=whisper
of ^in++++=of
their ^pp$+pp3+++=their
name ^nn++++=name
is ^vbz+bez+aux++=is
heard ^vpsv++agls+xvbnx+=heard
on ^in++++=on
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
On ^in++++=On
Sabbath ^nn++++=Sabbath
evenings ^nns++++=evenings,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
sisters ^nns+nom+++=sisters
sit ^vb++++=sit
by ^in++++=by
the ^ati++++=the
fireside ^nn++++=fireside,
, ^zz++++=EXTRAWORD
between ^in++++=between
our ^pp$+pp1+++=our
father ^nn++++=father
and ^cc++++=and
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
repeat ^vb++++=repeat
some ^dti++++=some
hymns ^nns++++=hymns
of ^in++++=of
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
often ^rb++splt++=often
heard ^vprf+++xvbnx+=heard
from ^in++++=from
my ^pp$+pp1+++=my
own ^ap++++=own
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
ere ^nn+++??+=ere
the ^ati++++=the
tremulous ^jj+atrb+++=tremulous
voice ^nn++++=voice
left ^vbd+++xvbn+=left
them ^pp3o+pp3+++=them
forever ^rb++++=forever.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
do ^vb+do+aux++=do
they ^pp3a+pp3+++=they
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
dear ^nn++++=dear
ones ^pn++++=ones,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
dead ^nn++++=dead
stands ^vbz++++=stands
listening ^jj+++xvbg+=listening
in ^in++++=in
the ^ati++++=the
glimmer ^nn++++=glimmer
of ^in++++=of
the ^ati++++=the
firelight ^nn++++=firelight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+vrb++=is
almost ^rb+hdg+++=almost
gifted ^jj+pred+++=gifted
with ^in++++=with
a ^at++++=a
visible ^jj+atrb+++=visible
shape ^nn++++=shape
by ^in++++=by
the ^ati++++=the
fond ^jj+atrb+++=fond
intensity ^nn+nom+++=intensity
of ^in++++=of
their ^pp$+pp3+++=their
remembrance ^nn+nom+++=remembrance.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
shall ^md+prd+++=shall
the ^ati++++=the
reader ^nn++++=reader
know ^vb+vprv+++=know
a ^at++++=a
grief ^nn++++=grief
of ^in++++=of
the ^ati++++=the
poor ^jj+atrb+++=poor
ghost ^nn++++=ghost
that ^tht+rel+subj++=that
speaks ^vbz++++=speaks
to ^in++++=to
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
a ^at++++=a
grief ^nn++++=grief,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
a ^at++++=a
helpless ^jj+atrb+++=helpless
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Since ^cs+sub+++=Since
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
dwelt ^vprf+++xvbnx+=dwelt
among ^in++++=among
the ^ati++++=the
graves ^nns++++=graves,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
bore ^vbd+++xvbnx+=bore
the ^ati++++=the
corpse ^nn++++=corpse
of ^in++++=of
a ^at++++=a
young ^jj++++=young
maiden ^jjb++++=maiden
hither ^rb+cnj+++=hither,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laid ^vbd+++xvbn+=laid
her ^pp$+pp3+++=her
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
ancestral ^jj+atrb+++=ancestral
vault ^nn++++=vault,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
hollowed ^vpsv++agls+xvbnx+=hollowed
in ^in++++=in
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
a ^at++++=a
grassy ^jj+atrb+++=grassy
bank ^nn++++=bank.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+vrb++=has
a ^at++++=a
door ^nn++++=door
of ^in++++=of
stone ^nn++++=stone,
, ^zz++++=EXTRAWORD
with ^in++++=with
rusty ^jj+atrb+++=rusty
iron ^nn++++=iron
hinges ^nns++++=hinges,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
above ^jjb++++=above
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
a ^at++++=a
rude ^jj+atrb+++=rude
sculpture ^nn++++=sculpture
of ^in++++=of
the ^ati++++=the
family ^nn++++=family
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
inscriptions ^nns+nom+++=inscriptions
of ^in++++=of
all ^abn++++=all
their ^pp$+pp3+++=their
names ^nns++++=names
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
buried ^vpsv++agls+xvbnx+=buried
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
including ^in++++=including
sire ^nn++++=sire
and ^cc++++=and
son ^nn++++=son,
, ^zz++++=EXTRAWORD
mother ^nn++++=mother
and ^cc++++=and
daughter ^nn+nom+++=daughter,
, ^zz++++=EXTRAWORD
of ^in++++=of
an ^at++++=an
ancient ^jj+atrb+++=ancient
colonial ^jj+atrb+++=colonial
race ^nn++++=race.
. ^zz++++=EXTRAWORD
All ^abn++++=All
of ^in++++=of
her ^pp$+pp3+++=her
lineage ^nn+nom+++=lineage
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
the ^ati++++=the
young ^jj++++=young
maiden ^jjb++++=maiden
followed ^jj+++xvbn+=followed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
portal ^nn++++=portal
was ^vbd+bedz+aux++=was
closed ^vpsv++agls+xvbnx+=closed
forever ^rb++++=forever.
. ^zz++++=EXTRAWORD
The ^ati++++=The
night ^nn++++=night
after ^in++++=after
her ^pp3o+pp3+++=her
burial ^nn++++=burial,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
other ^ap++++=other
ghosts ^nns++++=ghosts
were ^vbd+bed+aux++=were
flitting ^vbg+++xvbgx+=flitting
about ^in++++=about
their ^pp$+pp3+++=their
graves ^nns++++=graves,
, ^zz++++=EXTRAWORD
forth ^np++++=forth
came ^vbd+++xvbn+=came
the ^ati++++=the
pale ^jj+atrb+++=pale
virgin ^jjb+atrb+++=virgin's
's ^vbz+bez+vrb++0=EXTRAWORD
shadow ^nn++++=shadow,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
rest ^nn++++=rest,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
knew ^vbd+vprv++xvbn+=knew
not ^xnot++not++=not
whither ^jjr++++=whither
to ^to++++=to
go ^vbi++++=go,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
whom ^whp+wpor+++=whom
to ^in++++=to
haunt ^nn++++=haunt,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
lonesome ^jj++++=lonesome
had ^vb+hv+aux++=had
she ^pp3a+pp3+++=she
been ^vb+vbd+vrb+xvbnx+=been
on ^in++++=on
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stood ^vbd+++xvbnx+=stood
by ^in++++=by
the ^ati++++=the
ancient ^jj+atrb+++=ancient
sepulchre ^nn++++=sepulchre,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
upward ^jjb++++=upward
to ^in++++=to
the ^ati++++=the
bright ^jj+atrb+++=bright
stars ^nns++++=stars,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
would ^md+prd+++=would,
, ^zz++++=EXTRAWORD
even ^rb++++=even
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
begin ^vb++++=begin
her ^pp$+pp3+++=her
flight ^nn++++=flight.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
sadness ^nns+nom+++=sadness
made ^vbd+++xvbn+=made
me ^pp1o+pp1+++=me
sad ^jj++++=sad.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
night ^nn++++=night
and ^cc++++=and
the ^ati++++=the
next ^ap++++=next,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
near ^in+pl+++=near
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
moonshine ^nn+++??+=moonshine,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
dared ^md++md+xvbn+=dared
not ^xnot++not++=not
speak ^vb++++=speak,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
seemed ^vbd+seem++xvbnx+=seemed
purer ^jjr++++=purer
than ^in++++=than
all ^abn++++=all
the ^ati++++=the
ghosts ^nns++++=ghosts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fitter ^nn++++=fitter
to ^to++++=to
converse ^vbi++++=converse
with ^in++++=with
angels ^nns++++=angels
than ^in++++=than
with ^in++++=with
men ^nns++++=men.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
third ^nn++++=third
bright ^jj+atrb+++=bright
eve ^nn++++=eve,
, ^zz++++=EXTRAWORD
still ^rb++++=still
gazing ^vbg+++xvbg+=gazing
upward ^jjb++++=upward
to ^in++++=to
the ^ati++++=the
glory ^nn++++=glory
of ^in++++=of
the ^ati++++=the
heavens ^nns++++=heavens,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
sighed ^vbd+++xvbnx+=sighed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+whq++=EXTRAWORD
will ^md+prd+++=will
my ^pp$+pp1+++=my
mother ^npt++++=mother
come ^vprf+++xvbn+=come
for ^in+ppvb+++=for
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
low ^jj+atrb+++=low,
, ^zz++++=EXTRAWORD
sweet ^jj+atrb+++=sweet
voice ^nn++++=voice
emboldened ^vbd+++xvbn+=emboldened
me ^pp1o+pp1+++=me
to ^to++++=to
speak ^vbi++++=speak,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
kind ^nn++++=kind
and ^cc++++=and
gentle ^jj++++=gentle,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
so ^ql+emph+++=so
pure ^jj++++=pure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
answered ^vbd+vpub++xvbn+=answered
me ^pp1o+pp1+++=me
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
From ^in++++=From
that ^dt+dem+++=that
time ^nn++++=time,
, ^zz++++=EXTRAWORD
always ^rb++++=always
at ^in++++=at
the ^ati++++=the
ghostly ^jj+atrb+++=ghostly
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sought ^vbd+++xvbnx+=sought
the ^ati++++=the
old ^jj+atrb+++=old
tomb ^nn++++=tomb
of ^in++++=of
her ^pp3o+pp3+++=her
fathers ^nns+nom+++=fathers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
either ^dtx++++=either
found ^vbd+vprv+tht0+xvbn+=found
her ^pp$+pp3+++=her
standing ^vbg+++xvbg+=standing
by ^in++++=by
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
knocked ^vbd+++xvbn+=knocked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
appeared ^vbd+seem++xvbnx+=appeared.
. ^zz++++=EXTRAWORD
Blessed ^jj+atrb++xvbn+=Blessed
creature ^nn++++=creature,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
chaste ^jj+atrb+++=chaste
spirit ^nn++++=spirit
hallowed ^vbd+++xvbn+=hallowed
mine ^pp$$++++=mine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
imparted ^vpsv++agls+xvbn+=imparted
such ^abl++++=such
a ^at++++=a
celestial ^jj+atrb+++=celestial
buoyancy ^nn++++=buoyancy,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
longed ^vbd+++xvbnx+=longed
to ^to+vcmp+++=to
grasp ^vbi+vprv+tht0++=grasp
her ^pp$+pp3+++=her
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fly ^nn++++=fly,
, ^zz++++=EXTRAWORD
upward ^jjb++++=upward,
, ^zz++++=EXTRAWORD
aloft ^rb+cnj+++=aloft,
, ^zz++++=EXTRAWORD
aloft ^rb++++=aloft!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
only ^ap+down+++=only
lingered ^jj+++xvbn+=lingered
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
my ^pp$+pp1+++=my
earthlier ^jjr+atrb+++=earthlier
soul ^nn++++=soul
should ^md+nec+++=should
be ^vb+be+aux++=be
purified ^vprf+++xvbn+=purified
for ^in++++=for
heaven ^nn++++=heaven.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
night ^nn++++=night,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
stars ^nns++++=stars
threw ^vbd+++xvbn+=threw
down ^in++++=down
the ^ati++++=the
light ^jj++++=light
that ^dt+dem+++=that
shadows ^nps++++=shadows
love ^nn++++=love,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stole ^vbd+++xvbnx+=stole
