Hands ^nns++++=HANDS,
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
teach ^vb+vsua+tht0++=teach
you ^pp2+pp2+++=you
to ^to++++=to
put ^vbi++++=put
your ^pp$+pp2+++=your
hands ^nns++++=hands
on ^in++++=on
my ^pp$+pp1+++=my
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
beast ^nn++++=beast,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
roared ^vbd+++xvbn+=roared
the ^ati++++=the
saloon ^nn++++=saloon
keeper ^nn++++=keeper,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
tired ^j+++xvbn+=tired
of ^in++++=of
beating ^xvbg+++xvbg+=beating
the ^ati++++=the
master ^nn++++=master,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
kick ^vbi++++=kick
him ^pp3o+pp3+++=him
about ^in++++=about
the ^ati++++=the
yard ^nn++++=yard.
. ^zz++++=EXTRAWORD
Adolph ^np+++??+=Adolph
Myers ^np+++??+=Myers
was ^vbd+bedz+aux++=was
driven ^vpsv++agls+xvbnx+=driven
from ^in++++=from
the ^ati++++=the
Pennsylvania ^np+++??+=Pennsylvania
town ^nn++++=town
in ^in++++=in
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
With ^in++++=With
lanterns ^nns++++=lanterns
in ^in++++=in
their ^pp$+pp3+++=their
hands ^nns++++=hands
a ^at++++=a
dozen ^cd++++=dozen
men ^nns++++=men
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
lived ^vbd+++xvbnx+=lived
alone ^rb++++=alone
and ^cc++++=and
commanded ^vprf+++xvbn+=commanded
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
dress ^nn++++=dress
and ^cc++++=and
come ^vprf+++xvbn+=come
forth ^np++++=forth.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
raining ^vbg+++xvbgx+=raining
and ^cc++++=and
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
men ^nns++++=men
had ^vb+hv+vrb++=had
a ^at++++=a
rope ^nn++++=rope
in ^in++++=in
his ^pp$+pp3+++=his
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
intended ^vprf+++xvbnx+=intended
to ^to+vcmp+++=to
hang ^vbi++++=hang
the ^ati++++=the
schoolmaster ^nn+nom+++=schoolmaster,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
something ^pn++++=something
in ^in++++=in
his ^pp$+pp3+++=his
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
small ^jj++++=small,
, ^zz++++=EXTRAWORD
white ^jj++++=white,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pitiful ^jj++++=pitiful,
, ^zz++++=EXTRAWORD
touched ^j+++xvbn+=touched
their ^pp$+pp3+++=their
hearts ^nns++++=hearts
and ^cc++++=and
they ^pp3a+pp3+++=they
let ^vbd+++xvbnx+=let
him ^pp3o+pp3+++=him
escape ^nn++++=escape.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
ran ^vbd+++xvbnx+=ran
away ^rp+pl+++=away
into ^in++++=into
the ^ati++++=the
darkness ^nns+nom+++=darkness
they ^pp3a+pp3+++=they
repented ^vbd+++xvbnx+=repented
of ^in++++=of
their ^pp$+pp3+++=their
weakness ^nns+nom+++=weakness
and ^cc++++=and
ran ^vbd+++xvbn+=ran
after ^in++++=after
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
swearing ^nvbg+++xvbg+=swearing
and ^cc++++=and
throwing ^nvbg+++xvbg+=throwing
sticks ^nns++++=sticks
and ^cc++++=and
great ^jj+atrb+++=great
balls ^nns++++=balls
of ^in++++=of
soft ^jj+atrb+++=soft
mud ^nn++++=mud
at ^in++++=at
the ^ati++++=the
figure ^vb++++=figure
that ^tht+vcmp+subj++=that
screamed ^vbd+++xvbn+=screamed
and ^cc+phrs+++=and
ran ^vbd+++xvbn+=ran
faster ^rbr++++=faster
and ^cc+phrs+++=and
faster ^rbr++++=faster
into ^in++++=into
the ^ati++++=the
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
For ^in++++=For
twenty ^cd++++=twenty
years ^nns++++=years
Adolph ^np+++??+=Adolph
Myers ^np+++??+=Myers
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived
alone ^rb++++=alone
in ^in++++=in
Winesburg ^np+++??+=Winesburg.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
but ^cc++++=but
forty ^cd++++=forty
but ^cc++++=but
looked ^vbd+++xvbn+=looked
sixtyfive ^jj++++=sixtyfive.
. ^zz++++=EXTRAWORD
The ^ati++++=The
name ^nn++++=name
of ^in++++=of
Biddlebaum ^np+++??+=Biddlebaum
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
from ^in++++=from
a ^at++++=a
box ^nn++++=box
of ^in++++=of
goods ^nns++++=goods
seen ^vbd+vprv++xvbn+=seen
at ^rb++++=at
a ^at++++=a
freight ^nn++++=freight
station ^nn+nom+++=station
as ^ql++++=as
he ^pp3a+pp3+++=he
hurried ^vbd+++xvbnx+=hurried
through ^in++++=through
an ^at++++=an
eastern ^jj+atrb+++=eastern
Ohio ^np+++??+=Ohio
town ^nn++++=town.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
an ^at++++=an
aunt ^nn++++=aunt
in ^in++++=in
Winesburg ^np+++??+=Winesburg,
, ^zz++++=EXTRAWORD
a ^at++++=a
black ^jj++++=black-toothed
- ^zz++++=EXTRAWORD
toothed ^jj+atrb++xvbn+=EXTRAWORD
old ^jj+atrb+++=old
woman ^nn++++=woman
who ^whp+rel+subj++=who
raised ^xvbn+++xvbn+=raised
chickens ^nns++++=chickens,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
her ^pp$+pp3+++=her
he ^pp3a+pp3+++=he
lived ^vbd+++xvbnx+=lived
until ^cs+sub+++=until
she ^pp3a+pp3+++=she
died ^vbd+++xvbnx+=died.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
ill ^jj++++=ill
for ^in++++=for
a ^at++++=a
year ^nn++++=year
after ^in++++=after
the ^ati++++=the
experience ^nn+nom+++=experience
in ^in++++=in
Pennsylvania ^np+++??+=Pennsylvania,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
his ^pp$+pp3+++=his
recovery ^nn+nom+++=recovery
worked ^vbd+++xvbn+=worked
as ^ql++++=as
a ^at++++=a
day ^nn++++=day
laborer ^jjr++++=laborer
in ^in++++=in
the ^ati++++=the
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
going ^vbg+++xvbg+=going
timidly ^jj++++=timidly
about ^in++++=about
and ^cc++++=and
striving ^nvbg+++xvbg+=striving
to ^to++++=to
conceal ^vbi++++=conceal
his ^pp$+pp3+++=his
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
understand ^vb+vprv+++=understand
what ^wdt+who+++=what
had ^vbd+hvd+aux++=had
happened ^vprf+++xvbnx+=happened
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
that ^tht+vcmp+++=that
the ^ati++++=the
hands ^nns++++=hands
must ^md+nec+++=must
be ^vb+be+aux++=be
to ^to++++=to
blame ^vbi++++=blame.
. ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again
and ^cc+phrs+++=and
again ^rb+tm+++=again
the ^ati++++=the
fathers ^nns+nom+++=fathers
of ^in++++=of
the ^ati++++=the
boys ^nns++++=boys
had ^vbd+hvd+aux++=had
talked ^vprf+++xvbnx+=talked
of ^in++++=of
the ^ati++++=the
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
" ^zz++++="Keep
keep ^vb++++=EXTRAWORD
your ^pp$+pp2+++=your
hands ^nns++++=hands
to ^in++++=to
yourself ^ppl+pp2+++=yourself,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
saloon ^nn++++=saloon
keeper ^nn++++=keeper
had ^vbd+hvd+aux++=had
roared ^vprf+++xvbnx+=roared,
, ^zz++++=EXTRAWORD
dancing ^vbg+++xvbg+=dancing,
, ^zz++++=EXTRAWORD
with ^in++++=with
fury ^nn++++=fury
in ^in++++=in
the ^ati++++=the
schoolhouse ^nn+++??+=schoolhouse
yard ^nn++++=yard.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
the ^ati++++=the
veranda ^nn++++=veranda
of ^in++++=of
his ^pp$+pp3+++=his
house ^nn++++=house
by ^in++++=by
the ^ati++++=the
ravine ^nn++++=ravine,
, ^zz++++=EXTRAWORD
Wing ^nn++++=Wing
Biddlebaum ^np+++??+=Biddlebaum
continued ^vbd+++xvbn+=continued
to ^to++++=to
walk ^vbi++++=walk
up ^rp++++=up
and ^cc+phrs+++=and
down ^rp++++=down
until ^cs+sub+++=until
the ^ati++++=the
sun ^nn++++=sun
had ^vbd+hvd+aux++=had
disappeared ^vprf+++xvbnx+=disappeared
and ^cc++++=and
the ^ati++++=the
road ^nn++++=road
beyond ^in++++=beyond
the ^ati++++=the
field ^nn++++=field
was ^vbd+bedz+aux++=was
lost ^vpsv++agls+xvbnx+=lost
in ^in++++=in
the ^ati++++=the
grey ^jj+atrb+++=grey
shadows ^nps++++=shadows.
. ^zz++++=EXTRAWORD
Going ^vbg+++xvbg+=Going
into ^in++++=into
his ^pp$+pp3+++=his
house ^nn++++=house
he ^pp3a+pp3+++=he
cut ^vbd+++xvbnx+=cut
slices ^nns++++=slices
of ^in++++=of
bread ^nn++++=bread
and ^cc++++=and
spread ^nn+++xvbn+=spread
honey ^nn++++=honey
upon ^in++++=upon
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
rumble ^nn++++=rumble
of ^in++++=of
the ^ati++++=the
evening ^nn++++=evening
train ^nn++++=train
that ^tht+rel+subj++=that
took ^vbd+++xvbn+=took
away ^rb+phrv+++=away
the ^ati++++=the
express ^jjb+atrb+++=express
cars ^nns++++=cars
loaded ^vbd+++xvbn+=loaded
with ^in++++=with
the ^ati++++=the
day ^nn++++=day's
's ^$++++=EXTRAWORD
harvest ^nn++++=harvest
of ^in++++=of
berries ^nns++++=berries
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
and ^cc+phrs+++=and
restored ^vbd+++xvbn+=restored
the ^ati++++=the
silence ^nn+nom+++=silence
of ^in++++=of
the ^ati++++=the
summer ^nn++++=summer
night ^nn++++=night,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
again ^rb+tm+++=again
to ^to++++=to
walk ^vbi++++=walk
upon ^in++++=upon
the ^ati++++=the
veranda ^nn++++=veranda.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
darkness ^nns+nom+++=darkness
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
see ^vb+vprv+++=see
the ^ati++++=the
hands ^nns++++=hands
and ^cc++++=and
they ^pp3a+pp3+++=they
became ^vbd+++xvbnx+=became
quiet ^jj++++=quiet.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
he ^pp3a+pp3+++=he
still ^rb+atrb+++=still
hungered ^jj+++xvbn+=hungered
for ^in++++=for
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
the ^ati++++=the
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
the ^ati++++=the
medium ^nn++++=medium
through ^in++++=through
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
expressed ^vbd+vpub+tht0+xvbnx+=expressed
his ^pp$+pp3+++=his
love ^nn++++=love
of ^in++++=of
man ^nn++++=man,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hunger ^nn++++=hunger
became ^vbd+++xvbn+=became
again ^rb+tm+++=again
a ^at++++=a
part ^nn++++=part
of ^in++++=of
his ^pp$+pp3+++=his
loneliness ^nns+nom+++=loneliness
and ^cc++++=and
his ^pp$+pp3+++=his
waiting ^nvbg+++xvbg+=waiting.
. ^zz++++=EXTRAWORD
Lighting ^nn++++=Lighting
a ^at++++=a
lamp ^nn++++=lamp,
, ^zz++++=EXTRAWORD
Wing ^nn++++=Wing
Biddlebaum ^np+++??+=Biddlebaum
washed ^vwbn+++xvbn+=washed
the ^ati++++=the
few ^ap++++=few
dishes ^nns++++=dishes
soiled ^jj++++=soiled
by ^in++++=by
his ^pp$+pp3+++=his
simple ^jj+atrb+++=simple
meal ^nn++++=meal
and ^cc++++=and,
, ^zz++++=EXTRAWORD
setting ^nvbg+++xvbg+=setting
up ^rp++++=up
a ^at++++=a
folding ^jj+atrb+++=folding
cot ^nn++++=cot
by ^in++++=by
the ^ati++++=the
screen ^nn++++=screen
door ^nn++++=door
that ^tht+rel+subj++=that
led ^vprf+++xvbn+=led
to ^in++++=to
the ^ati++++=the
porch ^nn++++=porch,
, ^zz++++=EXTRAWORD
prepared ^jj+++xvbn+=prepared
to ^to+jcmp+++=to
undress ^nns+nom+++=undress
for ^in++++=for
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
A ^ap++++=A
few ^ap"++++=few
stray ^vb++++=stray
white ^jj+atrb+++=white
bread ^nn++++=bread
crumbs ^nns++++=crumbs
lay ^vbd+++xvbn+=lay
on ^rb+phrv+++=on
the ^ati++++=the
cleanly ^rb++++=cleanly
washed ^vbd+++xvbn+=washed
floor ^nn++++=floor
by ^in++++=by
the ^ati++++=the
table ^nn++++=table;
; ^zz++++=EXTRAWORD
putting ^vbg+++xvbg+=putting
the ^ati++++=the
lamp ^nn++++=lamp
upon ^in++++=upon
a ^at++++=a
low ^jj+atrb+++=low
stool ^nn++++=stool
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
to ^to++++=to
pick ^vbi++++=pick
up ^rp++++=up
the ^ati++++=the
crumbs ^nns++++=crumbs,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
them ^pp3o+pp3+++=them
to ^in++++=to
his ^pp$+pp3+++=his
mouth ^nn++++=mouth
one ^pn++++=one
by ^in++++=by
one ^pn++++=one
with ^in++++=with
unbelievable ^jj+atrb+++=unbelievable
rapidity ^nn+nom+++=rapidity.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
dense ^jj+atrb+++=dense
blotch ^nn++++=blotch
of ^in++++=of
light ^nn++++=light
beneath ^in+pl+++=beneath
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
the ^ati++++=the
kneeling ^jj+atrb++xvbg+=kneeling
figure ^nn++++=figure
looked ^vbd+++xvbn+=looked
like ^in++++=like
a ^at++++=a
priest ^nn++++=priest
engaged ^vwbn+++xvbn+=engaged
in ^in++++=in
some ^dti++++=some
service ^nn++++=service
of ^in++++=of
his ^pp$+pp3+++=his
church ^nn++++=church.
. ^zz++++=EXTRAWORD
The ^ati++++=The
nervous ^jj+atrb+++=nervous
expressive ^jj+atrb+++=expressive
fingers ^nns+nom+++=fingers,
, ^zz++++=EXTRAWORD
flashing ^vbg+++xvbg+=flashing
in ^in++++=in
and ^cc++++=and
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
light ^nn++++=light,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
well ^rb++++=well
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
mistaken ^vpsv++agls+xvbnx+=mistaken
for ^in++++=for
the ^ati++++=the
fingers ^nns+nom+++=fingers
of ^in++++=of
the ^ati++++=the
devotee ^nn++++=devotee
going ^vwbg+++xvbg+=going
swiftly ^rb++++=swiftly
through ^in++++=through
decade ^nn++++=decade
after ^in++++=after
decade ^nn++++=decade
of ^in++++=of
his ^pp$+pp3+++=his
rosary ^nn++++=rosary.
. ^zz++++=EXTRAWORD
