Eastward ^rb++++=Eastward
I ^pp1a+pp1+++=I
throw ^vb++++=throw
a ^at++++=a
taste ^nn++++=taste
iv ^nn+++??+=iv
it ^pp3+it+++=it
over ^in++++=over
myself ^ppl+pp1+++=myself
and ^cc++++=and
the ^ati++++=the
craythurs ^nns+++??+=craythurs;
; ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
wondher ^jjr++++=wondher,
, ^zz++++=EXTRAWORD
Nell ^np++++=Nell,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
forget ^vb+vprv+++=forget
to ^to+vcmp+++=to
do ^vbi++++=do
the ^ati++++=the
like ^in++++=like
yourself ^ppl+pp2+++=yourself,
, ^zz++++=EXTRAWORD
lettin ^nn+++??+=lettin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
craythurs ^nns+++??+=craythurs
out ^rp+pl+++=out
so ^pn++++=so
near ^rb++++=near
nightfall ^nn+++??+=nightfall.
. ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
here ^rn+pl+++=here
and ^cc++++=and
sit ^vb++++=sit
on ^in++++=on
my ^pp$+pp1+++=my
knees ^nns++++=knees,
, ^zz++++=EXTRAWORD
asthora ^nn+++??+=asthora,
, ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
mavourneen ^j+++xvbn+=mavourneen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hould ^nn+++??+=hould
me ^pp1o+pp1+++=me
fast ^rb+cnj+++=fast,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
name ^nn++++=name
of ^in++++0=o'
God ^np++++=God,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
hould ^vb+++??+=hould
you ^pp2+pp2+++=you
fast ^rb++++=fast
that ^dt+dem+++=that
none ^pn++++=none
can ^md+pos+++=can
take ^vb++++=take
yez ^nn+++??+=yez
from ^in++++=from
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tell ^vb++++=tell
me ^pp1o+pp1+++=me
all ^abn++++=all
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
Lord ^npt++++=Lord
between ^in++++=between
us ^pp1o+pp1+++=us
and ^cc++++=and
harm ^nn++++=harm
and ^cc+cls+++0=an'
how ^wrb+who+++=how
it ^pp3+it+++=it
happened ^vbd+++xvbn+=happened,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
in ^in++++=in
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
the ^ati++++=the
door ^nn++++=door
being ^xvbg+++xvbg+=being
barred ^xvbn+++xvbn+=barred,
, ^zz++++=EXTRAWORD
the ^ati++++=the
two ^cd++++=two
children ^nns++++=children,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
speaking ^vbg+++xvbg+=speaking
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
often ^rb++++=often
interrupting ^vbg+++xvbg+=interrupting
one ^cd1++++=one
another ^dt++++=another,
, ^zz++++=EXTRAWORD
often ^rb++++=often
interrupted ^vpsv++by+xvbn+=interrupted
by ^in++++=by
their ^pp$+pp3+++=their
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
managed ^vb+++xvbn+=managed
to ^to+vcmp+++=to
tell ^vbi++++=tell
this ^dt+dem+++=this
strange ^jj+atrb+++=strange
story ^nn++++=story,
, ^zz++++=EXTRAWORD
which ^wdt+who+whcl++=which
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
better ^jjr++++=better
relate ^vb++++=relate
connectedly ^jj++++=connectedly
and ^cc++++=and
in ^in++++=in
my ^pp$+pp1+++=my
own ^ap++++=own
language ^nn+nom+++=language.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Widow ^nn++++=Widow
Ryan ^np++++=Ryan's
's ^$++++=EXTRAWORD
three ^cd++++=three
children ^nns++++=children
were ^vbd+bed+aux++=were
playing ^vbg+++xvbgx+=playing,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
said ^vprf+++xvbnx+=said,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
the ^ati++++=the
narrow ^jj+atrb+++=narrow
old ^jj+atrb+++=old
road ^nn++++=road
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
her ^pp$+pp3+++=her
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Bill ^nn++++=Bill
or ^cc++++=or
Leum ^np+++??+=Leum,
, ^zz++++=EXTRAWORD
about ^in++++=about
five ^cd++++=five
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
with ^in++++=with
golden ^jj+atrb+++=golden
hair ^nn++++=hair
and ^cc++++=and
large ^jj+atrb+++=large
blue ^nn++++=blue
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
very ^ql+amp+++=very
pretty ^rb++++=pretty
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
with ^in++++=with
all ^abn++++=all
the ^ati++++=the
clear ^jj+atrb+++=clear
tints ^nns++++=tints
of ^in++++=of
healthy ^jj+atrb+++=healthy
childhood ^nn+nom+++=childhood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
gaze ^nn++++=gaze
of ^in++++=of
earnest ^jj+atrb+++=earnest
simplicity ^nn+nom+++=simplicity
which ^whp+rel+subj++=which
belongs ^vbz++++=belongs
not ^xnot++not++=not
to ^in++++=to
town ^nn++++=town
children ^nns++++=children
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
age ^nn++++=age.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
little ^ap++++=little
sister ^nn++++=sister
Peg ^nn++++=Peg,
, ^zz++++=EXTRAWORD
about ^in++++=about
a ^at++++=a
year ^nn++++=year
older ^jjr++++=older,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
brother ^nn++++=brother
Con ^np++++=Con,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
year ^nn++++=year
elder ^jjr++++=elder
than ^cs+sub+++=than
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
up ^rp++++=up
the ^ati++++=the
little ^jj+atrb+++=little
group ^nn++++=group.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
the ^ati++++=the
great ^jj+atrb+++=great
old ^jj+atrb+++=old
ash ^nn++++=ash-trees,
- ^zz++++=EXTRAWORD
trees ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
last ^rb++++=last
leaves ^nns++++=leaves
were ^vbd+bed+aux++=were
falling ^nvbg+++xvbg+=falling
at ^rb++++=at
their ^pp$+pp3+++=their
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
in ^in+cmpx+++=in
the ^in"++++=the
light ^in"++++=light
of ^in"++++=of
an ^at++++=an
October ^nr++++=October
sunset ^nn++++=sunset,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
playing ^vbg+++xvbgx+=playing
with ^in++++=with
the ^ati++++=the
hilarity ^nn+nom+++=hilarity
and ^cc++++=and
eagerness ^nns+nom+++=eagerness
of ^in++++=of
rustic ^jj+atrb+++=rustic
children ^nns++++=children,
, ^zz++++=EXTRAWORD
clamouring ^jj+++xvbg+=clamouring
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
faces ^nns++++=faces
were ^vbd+bed+aux++=were
turned ^vpsv++agls+xvbnx+=turned
toward ^in++++=toward
the ^ati++++=the
west ^np+pl+++=west
and ^cc++++=and
storied ^vbd+++xvbn+=storied
hill ^npl++++=hill
of ^in++++=of
Lisnavoura ^np+++??+=Lisnavoura.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
a ^at++++=a
startling ^jj+atrb+++=startling
voice ^nn++++=voice
with ^in++++=with
a ^at++++=a
screech ^nn++++=screech
called ^vbd+++xvbn+=called
to ^in++++=to
them ^pp3o+pp3+++=them
from ^in++++=from
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
ordering ^nvbg+++xvbg+=ordering
them ^pp3o+pp3+++=them
to ^to++++=to
get ^vbi++++=get
out ^rb+phrv+++=out
of ^in++++=of
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turning ^nvbg+++xvbg+=turning,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
saw ^vbd+vprv++xvbnx+=saw
a ^at++++=a
sight ^nn++++=sight,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
they ^pp3a+pp3+++=they
never ^rb++++=never
beheld ^nn+++??+=beheld
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
carriage ^nn+nom+++=carriage
drawn ^vwbn+++xvbn+=drawn
by ^in++++=by
four ^cd++++=four
horses ^nns++++=horses
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
pawing ^vbg+++xvbgx+=pawing
and ^cc++++=and
snorting ^jj++++=snorting,
, ^zz++++=EXTRAWORD
in ^in++++=in
impatience ^nn+nom+++=impatience,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
just ^rb+emph+++=just
pulled ^vbd+++xvbn+=pulled
up ^rp++++=up.
. ^zz++++=EXTRAWORD
The ^ati++++=The
children ^nns++++=children
were ^vbd+bed+vrb++=were
almost ^rb+hdg+++=almost
under ^in++++=under
their ^pp$+pp3+++=their
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
scrambled ^vpsv++agls+xvbn+=scrambled
to ^in++++=to
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
road ^npl++++=road
next ^ap++++=next
their ^pp$+pp3+++=their
own ^ap++++=own
door ^nn++++=door.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
carriage ^nn+nom+++=carriage
and ^cc++++=and
all ^rb++++=all
its ^pp$+it+++=its
appointments ^nns+nom+++=appointments
were ^vbd+bed+vrb++=were
old ^jj+pred+++=old-fashioned
- ^zz++++=EXTRAWORD
fashioned ^vwbn+++xvbn+=EXTRAWORD
and ^cc++++=and
gorgeous ^jj++++=gorgeous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
presented ^vpsv++agls+xvbn+=presented
to ^in++++=to
the ^ati++++=the
children ^nns++++=children,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
never ^rb++splt++=never
seen ^vprf+++xvbnx+=seen
anything ^pn++++=anything
finer ^jjr++++=finer
than ^in++++=than
a ^at++++=a
turf ^nn++++=turf
car ^nn++++=car,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
an ^at++++=an
old ^jj+atrb+++=old
chaise ^nn++++=chaise
that ^tht+rel+subj++=that
passed ^vprf+++xvbn+=passed
that ^dt+dem+++=that
way ^nn++++=way
from ^in++++=from
Killaloe ^np+++??+=Killaloe,
, ^zz++++=EXTRAWORD
a ^at++++=a
spectacle ^nn++++=spectacle
perfectly ^rb+amp+++=perfectly
dazzling ^jj+++xvbg+=dazzling.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
was ^vbd+bedz+vrb++=was
antique ^jj+atrb+++=antique
splendour ^nn++++=splendour.
. ^zz++++=EXTRAWORD
The ^ati++++=The
harness ^nns+nom+++=harness
and ^cc++++=and
trappings ^nns++++=trappings
were ^vbd+bed+vrb++=were
scarlet ^jj+pred+++=scarlet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
blazing ^jj++++=blazing
with ^in++++=with
gold ^nn++++=gold.
. ^zz++++=EXTRAWORD
The ^ati++++=The
horses ^nns++++=horses
were ^vbd+bed+vrb++=were
huge ^jj+pred+++=huge,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
snow ^nn++++=snow
white ^jj++++=white,
, ^zz++++=EXTRAWORD
with ^in++++=with
great ^jj+atrb+++=great
manes ^nns+++??+=manes,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
as ^ql++++=as
they ^pp3a+pp3+++=they
tossed ^vbd+++xvbnx+=tossed
and ^cc+phrs+++=and
shook ^vbd+++xvbn+=shook
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
air ^nn++++=air,
, ^zz++++=EXTRAWORD
seemed ^vb+++xvbn+=seemed
to ^to+vcmp+++=to
stream ^vbi++++=stream
and ^cc++++=and
float ^nn++++=float
sometimes ^rb++++=sometimes
longer ^rbr++++=longer
and ^cc+phrs+++=and
sometimes ^rb++++=sometimes
shorter ^jjr++++=shorter,
, ^zz++++=EXTRAWORD
like ^in++++=like
so ^ql++++=so
much ^ap++++=much
smoke ^nn++++=smoke
their ^pp$+pp3+++=their
tails ^nns++++=tails
were ^vbd+bed+vrb++=were
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tied ^vbd+++xvbn+=tied
up ^rp++++=up
in ^in++++=in
bows ^nns++++=bows
of ^in++++=of
broad ^jj++++=broad
scarlet ^jj++++=scarlet
and ^cc++++=and
gold ^nn++++=gold
ribbon ^nn++++=ribbon.
. ^zz++++=EXTRAWORD
The ^ati++++=The
coach ^nn++++=coach
itself ^ppl++++=itself
was ^vbd+bedz+aux++=was
glowing ^vbg+++xvbgx+=glowing
with ^in++++=with
colours ^nns++++=colours,
, ^zz++++=EXTRAWORD
gilded ^j+++xvbn+=gilded
and ^cc++++=and
emblazoned ^vwbn+++xvbn+=emblazoned.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+aux++=were
footmen ^vpsv++agls+xvbnx+=footmen
in ^in++++=in
gay ^jj+atrb+++=gay
liveries ^nns+nom+++=liveries,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
three ^cd++++=three-cocked
- ^zz++++=EXTRAWORD
cocked ^jj+atrb++xvbn+=EXTRAWORD
hats ^nns++++=hats,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
coachman ^nn+nom+++=coachman's;
's; ^nn+++??+=EXTRAWORD
but ^cc++++=but
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
great ^jj+atrb+++=great
wig ^nn++++=wig,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
judge ^nn++++=judge's,
's, ^nn+++??+=EXTRAWORD
and ^cc++++=and
their ^pp$+pp3+++=their
hair ^nn++++=hair
was ^vbd+bedz+aux++=was
frizzed ^vpsv++agls+xvbnx+=frizzed
out ^rp+pl+++=out
and ^cc++++=and
powdered ^jj+++xvbn+=powdered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
long ^jj++++=long
thick ^jj++++=thick
" ^zz++++="pigtail,"
pigtail ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
bow ^nn++++=bow
to ^in++++=to
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
hung ^j+++xvbn+=hung
down ^rp++++=down
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
each ^dt++++=each.
. ^zz++++=EXTRAWORD
All ^abn++++=All
these ^dt+dem+++=these
servants ^nns+nom+++=servants
were ^vbd+bed+vrb++=were
diminutive ^jj+pred+++=diminutive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ludicrously ^rb++++=ludicrously
out ^rp+pl+++=out
of ^in++++=of
proportion ^nn+nom+++=proportion
with ^in++++=with
the ^ati++++=the
enormous ^jj+atrb+++=enormous
horses ^nns++++=horses
of ^in++++=of
the ^ati++++=the
equipage ^nn+nom+++=equipage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
sharp ^jj+atrb+++=sharp,
, ^zz++++=EXTRAWORD
sallow ^jj+atrb+++=sallow
features ^nns++++=features,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
small ^jj++++=small,
, ^zz++++=EXTRAWORD
restless ^jj+atrb+++=restless
fiery ^jj+atrb+++=fiery
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
faces ^nns++++=faces
of ^in++++=of
cunning ^nn++++=cunning
and ^cc++++=and
malice ^nn++++=malice
that ^tht+rel+subj++=that
chilled ^vbd+++xvbn+=chilled
the ^ati++++=the
children ^nns++++=children.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
coachman ^nn+nom+++=coachman
was ^vbd+bedz+aux++=was
scowling ^nvbg+++xvbg+=scowling
and ^cc+phrs+++=and
showing ^vbg+vprv++xvbg+=showing
his ^pp$+pp3+++=his
white ^jj+atrb+++=white
fangs ^nns++++=fangs
under ^in++++=under
his ^pp$+pp3+++=his
cocked ^jj+atrb++xvbn+=cocked
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
blazing ^jj+atrb+++=blazing
beads ^nns++++=beads
of ^in++++=of
eyes ^nns++++=eyes
were ^vbd+bed+aux++=were
quivering ^vbg+++xvbgx+=quivering
with ^in++++=with
fury ^nn++++=fury
in ^in++++=in
their ^pp$+pp3+++=their
sockets ^nns++++=sockets
as ^ql++++=as
he ^pp3a+pp3+++=he
whirled ^vbd+++xvbnx+=whirled
his ^pp$+pp3+++=his
whip ^nn++++=whip
round ^in++++=round
and ^cc++++=and
round ^in++++=round
over ^in++++=over
their ^pp$+pp3+++=their
heads ^nns++++=heads,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
the ^ati++++=the
lash ^nn++++=lash
of ^in++++=of
it ^pp3+it+++=it
looked ^vbd+++xvbn+=looked
like ^in++++=like
a ^at++++=a
streak ^nn++++=streak
of ^in++++=of
fire ^nn++++=fire
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sounded ^vpsv++agls+xvbn+=sounded
like ^in++++=like
the ^ati++++=the
cry ^nn++++=cry
of ^in++++=of
a ^at++++=a
legion ^nn++++=legion
of ^in++++=of
" ^zz++++="fillapoueeks"
fillapoueeks ^nns+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
air ^nn++++=air.
. ^zz++++=EXTRAWORD
" ^zz++++="Stop
stop ^vb++++=EXTRAWORD
the ^ati++++=the
princess ^nns+nom+++=princess
on ^in++++=on
the ^ati++++=the
highway ^nn++++=highway!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
coachman ^nn+nom+++=coachman,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
piercing ^jj+atrb++xvbg+=piercing
treble ^nn++++=treble.
. ^zz++++=EXTRAWORD
" ^zz++++="Stop
stop ^vb++++=EXTRAWORD
the ^ati++++=the
princess ^nns+nom+++=princess
on ^in++++=on
the ^ati++++=the
highway ^nn++++=highway!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
piped ^jj+++xvbn+=piped
each ^dt++++=each
footman ^nn++++=footman
in ^in++++=in
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
scowling ^vbg+nom++xvbg+=scowling
over ^in++++=over
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder
down ^rp++++=down
on ^in++++=on
the ^ati++++=the
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
grinding ^nvbg+++xvbg+=grinding
his ^pp$+pp3+++=his
keen ^jj+atrb+++=keen
teeth ^nns++++=teeth.
. ^zz++++=EXTRAWORD
The ^ati++++=The
children ^nns++++=children
were ^vbd+bed+vrb++=were
so ^ql+emph+++=so
frightened ^jj+++xvbn+=frightened
they ^pp3a+pp3+++=they
could ^md+pos+++=could
only ^rb+down+++=only
gape ^nn+++??+=gape
and ^cc++++=and
turn ^nn++++=turn
white ^jj++++=white
in ^in++++=in
their ^pp$+pp3+++=their
panic ^nn++++=panic.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
a ^at++++=a
very ^ql+amp+++=very
sweet ^jj+atrb+++=sweet
voice ^nn++++=voice
from ^in++++=from
the ^ati++++=the
open ^jj+atrb+++=open
window ^nn++++=window
of ^in++++=of
the ^ati++++=the
carriage ^nn+nom+++=carriage
reassured ^vbd+++xvbn+=reassured
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arrested ^jj+++xvbn+=arrested
the ^ati++++=the
attack ^nn++++=attack
of ^in++++=of
the ^ati++++=the
lackeys ^nns+++??+=lackeys.
. ^zz++++=EXTRAWORD
A ^at++++=A
beautiful ^jj++++=beautiful
and ^cc++++=and
" ^zz++++="very
very ^ql+amp+++=EXTRAWORD
grand ^jj++++=grand-looking"
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
" ^zz++++=EXTRAWORD
lady ^npt++++=lady
was ^vbd+bedz+aux++=was
smiling ^nvbg+++xvbg+=smiling
from ^in++++=from
it ^pp3+it+++=it
on ^rp++++=on
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
all ^abn++++=all
felt ^vbd+vprv++xvbn+=felt
pleased ^vprf+++xvbn+=pleased
in ^in++++=in
the ^ati++++=the
strange ^jj+atrb+++=strange
light ^nn++++=light
of ^in++++=of
that ^dt+dem+++=that
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
boy ^nn++++=boy
with ^in++++=with
the ^ati++++=the
golden ^jj+atrb+++=golden
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
lady ^nn++++=lady,
, ^zz++++=EXTRAWORD
bending ^nvbg+++xvbg+=bending
her ^pp3o+pp3+++=her
large ^jj++++=large
and ^cc++++=and
wonderfully ^rb++++=wonderfully
clear ^jj+atrb+++=clear
eyes ^nns++++=eyes
on ^in++++=on
little ^ap++++=little
Leum ^np+++??+=Leum.
. ^zz++++=EXTRAWORD
The ^ati++++=The
upper ^jjb+atrb+++=upper
sides ^nns++++=sides
of ^in++++=of
the ^ati++++=the
carriage ^nn+nom+++=carriage
were ^vbd+bed+vrb++=were
chiefly ^rb++++=chiefly
of ^in++++=of
glass ^nn++++=glass,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
the ^ati++++=the
children ^nns++++=children
could ^md+pos+++=could
see ^vb+vprv+++=see
another ^dt++++=another
woman ^nn++++=woman
inside ^jjb++++=inside,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
like ^in++++=like
so ^ql++++=so
well ^rb++++=well.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
a ^at++++=a
black ^jj+atrb+++=black
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
wonderfully ^rb++++=wonderfully
long ^jj+atrb+++=long
neck ^nn++++=neck,
, ^zz++++=EXTRAWORD
hung ^j+++xvbn+=hung
round ^in++++=round
with ^in++++=with
many ^ap++++=many
strings ^nns++++=strings
of ^in++++=of
large ^jj++++=large
variously ^rb++++=variously-coloured
- ^zz++++=EXTRAWORD
coloured ^jj+atrb++xvbn+=EXTRAWORD
beads ^nns++++=beads,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^rp++++=on
her ^pp3o+pp3+++=her
head ^jjb++++=head
was ^vbd+bedz+vrb++=was
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
turban ^nn++++=turban
of ^in++++=of
silk ^nn++++=silk
striped ^jj++++=striped
with ^in++++=with
all ^abn++++=all
the ^ati++++=the
colours ^nns++++=colours
of ^in++++=of
the ^ati++++=the
rainbow ^nn++++=rainbow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fixed ^vpsv++agls+xvbn+=fixed
in ^in++++=in
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
golden ^jj+atrb+++=golden
star ^nn++++=star.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
black ^jj+atrb+++=black
woman ^nn++++=woman
had ^vb+hv+vrb++=had
a ^at++++=a
face ^nn++++=face
as ^ql++++=as
thin ^jj++++=thin
almost ^rb+hdg+++=almost
as ^in++++=as
a ^at++++=a
death ^nn++++=death's-head,
's-head, ^nn+++??+=EXTRAWORD
with ^in++++=with
high ^jj+atrb+++=high
cheekbones ^nns++++=cheekbones,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
great ^jj++++=great
goggle ^vb++++=goggle
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
whites ^nns++++=whites
of ^in++++=of
which ^whp+rel+pied++=which,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
her ^pp$+pp3+++=her
wide ^jj+atrb+++=wide
range ^nn++++=range
of ^in++++=of
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
showed ^j+++xvbn+=showed
in ^in++++=in
brilliant ^jj+atrb+++=brilliant
contrast ^nn++++=contrast
with ^in++++=with
her ^pp$+pp3+++=her
skin ^nn++++=skin,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
over ^in++++=over
the ^ati++++=the
beautiful ^jj+atrb+++=beautiful
lady ^nn++++=lady's
's ^$++++=EXTRAWORD
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whispered ^vbd+vpub+tht0+xvbn+=whispered
something ^pn++++=something
in ^in++++=in
her ^pp$+pp3+++=her
ear ^nn++++=ear.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes;
yes ^uh++++=EXTRAWORD
; ^zz++++=EXTRAWORD
the ^ati++++=the
boy ^nn++++=boy
with ^in++++=with
the ^ati++++=the
golden ^jj+atrb+++=golden
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
repeated ^vprf+++xvbn+=repeated
the ^ati++++=the
lady ^nn++++=lady.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
her ^pp$+pp3+++=her
voice ^nn++++=voice
sounded ^vbd+++xvbn+=sounded
sweet ^jj++++=sweet
as ^ql++++=as
a ^at++++=a
