Certainly ^rb++++=CERTAINLY
it ^pp3+it+++=EXTRAWORD
will ^md+prd+++=will
do ^vb+do+vrb++=do
very ^ql+amp+++=very
well ^rb+cnj+++=well,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
come ^vb++++=come
up ^rb+phrv+++=up
with ^in+ppvb+++=with
old ^nn++++=old
Will ^md+prd+++=Will
and ^cc++++=and
brooms ^nns++++=brooms
and ^cc++++=and
pails ^nns+++??+=pails,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
clear ^vb++++=clear
out ^rp+pl+++=out
the ^ati++++=the
dust ^nn++++=dust
and ^cc++++=and
cob ^nn+++??+=cob-webs
- ^zz++++=EXTRAWORD
webs ^nns++++=EXTRAWORD
and ^cc++++=and
litter ^nn++++=litter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
mop ^nn++++=mop
and ^cc++++=and
scour ^vb++++=scour.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
do ^vb+do+vrb++=do
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
help ^vb++++=help.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
I ^pp1a+pp1+++=I
can ^md+pos+++=can
help ^vb++++=help!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Here
here ^rn+pl+++=EXTRAWORD
will ^md+prd+++=will
be ^vb+be+vrb++=be
your ^pp$+pp2+++=your
sewing ^nn++++=sewing-room.
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
will ^md+prd+++=will
be ^vb+be+aux++=be
my ^pp$+pp1+++=my
writing ^vbg+++xvbg+=writing-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
only ^rb+down+++=only
you ^pp2+pp2+++=you
will ^md+prd+++=will
sit ^vb++++=sit
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
is ^vbz+bez+vrb++=is
our ^pp$+pp1+++=our
own ^ap++++=own
room ^nn++++=room.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
fine ^jj++++=fine
a ^at++++=a
great ^jj+atrb+++=great
fire ^nn++++=fire
roaring ^vwbg+++xvbg+=roaring
up ^rp++++=up
this ^dt+dem+++=this
chimney ^nn++++=chimney
will ^md+prd+++=will
be ^vb+be+aux++=be!
! ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
can ^md+pos+++=can
be ^vb+be+vrb++=be
pantry ^nn++++=pantry
and ^cc++++=and
kitchen ^nn++++=kitchen.
. ^zz++++=EXTRAWORD
See ^vb+vprv+tht0++=See
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
water ^nn++++=water
running ^vwbg+++xvbg+=running
from ^in++++=from
some ^dti++++=some
spring ^nn++++=spring
higher ^jjr++++=higher
up ^rp++++=up
the ^ati++++=the
hill ^nn++++=hill.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
really ^rb+emph+++=really
quite ^rb++++=quite
perfect ^jj++++=perfect.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
did ^vbd+dod+vrb++=did
we ^pp1a+pp1+++=we
never ^rb++++=never
think ^vb+vprv+++=think
of ^in++++=of
it ^pp3+it+++=it
before ^in++++=before?
? ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
claims ^nns++++=claims
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
shall ^md+prd+++=shall
be ^vb+be+aux++=be
married ^vpsv++agls+xvbnx+=married
now ^rn+tm+++=now
the ^ati++++=the
moment ^nn++++=moment
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
receive ^vbi++++=receive
a ^at++++=a
bride ^nn++++=bride.
. ^zz++++=EXTRAWORD
A ^at++++=A
fine ^jj+atrb+++=fine
place ^nn++++=place,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
great ^jj+atrb+++=great
halls ^nns++++=halls,
, ^zz++++=EXTRAWORD
for ^in++++=for
children ^nns++++=children
to ^to++++=to
romp ^vbi++++=romp
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hear ^vb+vprv+++=hear
them ^pp3o+pp3+++=them
now ^rn+tm+++=now
with ^in++++=with
their ^pp$+pp3+++=their
piping ^nn++++=piping
silver ^nn++++=silver
voices ^nns++++=voices
And ^cc++++=And
I ^pp1a+pp1+++=I
will ^md+prd+++=will
have ^vb+hv+vrb++=have
a ^at++++=a
garden ^nn++++=garden
on ^in++++=on
this ^dt+dem+++=this
side ^nn++++=side,
, ^zz++++=EXTRAWORD
with ^in++++=with
rows ^nns++++=rows
of ^in++++=of
lilies ^nns++++=lilies,
, ^zz++++=EXTRAWORD
with ^in++++=with
rows ^nns++++=rows
of ^in++++=of
roses ^nns++++=roses,
, ^zz++++=EXTRAWORD
with ^in++++=with
white ^jj++++=white
sweet ^jj++++=sweet-william
- ^zz++++=EXTRAWORD
william ^np++++=EXTRAWORD
against ^in++++=against
blue ^jj+atrb+++=blue
larkspur ^nn+++??+=larkspur,
, ^zz++++=EXTRAWORD
with ^in++++=with
gillyflowers ^nns+nom+++=gillyflowers
and ^cc++++=and
pansies ^nns++++=pansies
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
why ^wrb+who+whq++=why
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
we ^pp1a+pp1+++=we
think ^vb+vprv+++=think
of ^in++++=of
this ^dt+dem+++=this
before ^in+strn+++=before!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
need ^vb++++=need
some ^dti++++=some
furnishing ^nn++++=furnishing
" ^zz++++="
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal.
. ^zz++++=EXTRAWORD
Mother ^nn++++=Mother
and ^cc++++=and
father ^nn++++=father
will ^md+prd+++=will
give ^vb++++=give
us ^pp1o+pp1+++=us
things ^nns++++=things
they ^pp3a+pp3+++=they
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
use ^nn++++=use.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
we ^pp1a+pp1+++=we
can ^md+pos+++=can
make ^vb++++=make
tables ^nns++++=tables
and ^cc++++=and
dressers ^nns+nom+++=dressers
you ^pp2+pp2+++=you
can ^md+pos+++=can."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
be ^vb+be+aux++=be
paid ^vpsv++agls+xvbnx+=paid
for ^in++++=for
my ^pp$+pp1+++=my
verses ^nns++++=verses
the ^ati++++=the
Magazine ^nn++++=Magazine
of ^in++++=of
Light ^nn++++=Light
accepted ^vbd+vprv++xvbn+=accepted,
, ^zz++++=EXTRAWORD
some ^dti++++=some
time ^nn++++=time."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
the ^ati++++=the
old ^jj+atrb+++=old
automobile ^nn+++??+=automobile
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
would ^md+prd+++=would
like ^vb++++=like
to ^to+vcmp+++=to
ride ^vbi++++=ride
in ^cs+sub+++=in
that ^cs"++++=that,
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
could ^md+pos+++=could."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
can ^md+pos+++=can
furbish ^jj++++=furbish
it ^pp3+it+++=it
up ^rp++++=up.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
take ^vb++++=take
a ^at++++=a
look ^vb++++=look
at ^rb++++=at
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
always ^rb++++=always
had ^vb+hv+vrb++=had
a ^at++++=a
way ^nn++++=way
with ^in++++=with
tools ^nns++++=tools.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
like ^vb++++=like
to ^to+vcmp+++=to
ride ^vbi++++=ride
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
quite ^rb++++=quite
the ^ati++++=the
same ^ap++++=same
may ^md+pos+++=may
need ^vb++++=need
some ^dti++++=some
new ^jj+atrb+++=new
parts ^nns++++=parts."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
the ^ati++++=the
poor ^jj+atrb+++=poor
Mad ^jj+atrb+++=Mad
Lady ^nn++++=Lady
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
we ^pp1a+pp1+++=we
be ^vb+be+vrb++=be
afraid ^jj+pred+++=afraid?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in++++=EXTRAWORD
what ^wdt+who+++=what?
? ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
hurt ^nn+++xvbn+=hurt
us ^pp1o+pp1+++=us
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
could ^md+pos+++=could,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
would ^md+prd+++=would.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
will ^md+prd+++=will
be ^vb+be+vrb++=be
glad ^jj+pred+++=glad
to ^to+jcmp+++=to
have ^vbi++vrb++=have
her ^pp$+pp3+++=her
limousine ^nn++++=limousine
give ^vb++++=give
pleasure ^nn++++=pleasure
to ^in++++=to
a ^at++++=a
young ^jj+atrb+++=young
wife ^nn++++=wife
and ^cc++++=and
her ^pp$+pp3+++=her
adoring ^jj+atrb+++=adoring
man ^nn++++=man-at-arms.
- ^zz++++=EXTRAWORD
at ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
arms ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
Mary ^np++++=Mary,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
a ^at++++=a
home ^nr++++=home!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
too ^ql++++=too
good ^jj++++=good
to ^to+jcmp+++=to
be ^vbi++vrb++=be
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
us ^pp1o+pp1+++=us
hurry ^np++++=hurry
down ^rp++++=down
before ^in++++=before
the ^ati++++=the
whole ^jj+atrb+++=whole
thing ^nn++++=thing
fades ^nns+++??+=fades
like ^in++++=like
a ^at++++=a
dream ^nn++++=dream!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
parson ^nn++++=parson
and ^cc++++=and
the ^ati++++=the
schoolmaster ^nn+nom+++=schoolmaster
and ^cc++++=and
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Ditton ^np++++=Ditton
all ^rb++++=all
went ^vbd+++xvbn+=went
up ^rp++++=up
the ^ati++++=the
next ^ap++++=next
day ^nn++++=day
to ^to++++=to
look ^vbi++++=look
over ^in++++=over
the ^ati++++=the
possibilities ^nns+nom+++=possibilities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
all ^abn++++=all
agreed ^vb+++xvbn+=agreed
that ^tht+vcmp+++=that
the ^ati++++=the
plan ^nn++++=plan
was ^vbd+bedz+vrb++=was
feasible ^jj+pred+++=feasible.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
main ^jjb+atrb+++=main
building ^nvbg+++xvbg+=building,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
schoolmaster ^nn+nom+++=schoolmaster,
, ^zz++++=EXTRAWORD
" ^zz++++="could
could ^md+pos+++=EXTRAWORD
be ^vb+be+aux++=be
used ^vpsv++agls+xvbnx+=used
for ^in++++=for
a ^at++++=a
boarding ^nn++++=boarding-school,"
- ^zz++++=EXTRAWORD
school ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
he ^pp3a+pp3+++=he
pictured ^vbd+++xvbnx+=pictured
himself ^ppl+pp3+++=himself
a ^at++++=a
delighted ^jj+atrb++xvbn+=delighted
head ^nn++++=head-master
- ^zz++++=EXTRAWORD
master ^nn++++=EXTRAWORD
there ^rn+pl+++=there
in ^in++++=in
no ^at++++=no
time ^nn++++=time.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
fine ^jj+atrb+++=fine
place ^nn++++=place
for ^in++++=for
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
retreats ^nns++++=retreats
where ^wrb+who+++=where
people ^nns++++=people
invite ^vb++++=invite
heaven ^nn++++=heaven
into ^in++++=into
their ^pp$+pp3+++=their
souls ^nns++++=souls,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
parson ^nn++++=parson.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
place ^nn++++=place
for ^in++++=for
much ^ap++++=much
revelry ^nn++++=revelry
unseen ^jj++++=unseen
by ^in++++=by
the ^ati++++=the
curious ^nn++++=curious.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wonder ^vb++++=wonder
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
utilized ^vpsv++agls+xvbnx+=utilized,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Ditton ^np++++=Ditton.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
they ^pp3a+pp3+++=they
all ^rb++++=all
did ^vbd+dod+vrb++=did
their ^pp$+pp3+++=their
kind ^nn++++=kind
best ^jjt++++=best
to ^to+jcmp+++=to
help ^vbi++++=help
the ^ati++++=the
poet ^nn++++=poet
and ^cc++++=and
his ^pp$+pp3+++=his
sweetheart ^nn++++=sweetheart.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
prettiest ^jjt+atrb+++=prettiest
wedding ^nn++++=wedding
under ^in++++=under
the ^ati++++=the
sun ^nn++++=sun.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
village ^nn+nom+++=village
took ^vbd+++xvbn+=took
note ^nn++++=note,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
people ^nns++++=people
followed ^vbd+vprv++xvbn+=followed
the ^ati++++=the
pleasant ^jj+atrb+++=pleasant
procession ^nn++++=procession
up ^rp++++=up
the ^ati++++=the
hill ^nn++++=hill.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
turned ^vprf+++xvbnx+=turned
out ^rb+phrv+++=out
in ^in++++=in
a ^at++++=a
body ^nn++++=body
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
weeks ^nns++++=weeks
before ^cs+sub+++=before
and ^cc++++=and
made ^vbd+++xvbn+=made
the ^ati++++=the
path ^nn++++=path
up ^rp++++=up
the ^ati++++=the
hill ^nn++++=hill
wide ^jj++++=wide
and ^cc+phrs+++=and
smooth ^jj++++=smooth;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
the ^ati++++=the
furnishings ^nns++++=furnishings
and ^cc++++=and
belongings ^nns++++=belongings
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
taken ^vpsv++agls+xvbnx+=taken
up ^rb+phrv+++=up
some ^dti++++=some
days ^nns++++=days
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bridegroom ^nn++++=bridegroom,
, ^zz++++=EXTRAWORD
dark ^jj++++=dark
and ^cc+phrs+++=and
straight ^jj++++=straight,
, ^zz++++=EXTRAWORD
prouder ^jjr++++=prouder
that ^dt+dem+++=that
morning ^nn++++=morning
than ^in++++=than
if ^cs+cnd+++=if
the ^ati++++=the
Iliad ^np+++??+=Iliad
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
his ^pp$+pp3+++=his
achievement ^nn+nom+++=achievement,
, ^zz++++=EXTRAWORD
walked ^j+++xvbn+=walked
with ^in++++=with
his ^pp$+pp3+++=his
wife ^nn++++=wife
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
pale ^jj++++=pale,
, ^zz++++=EXTRAWORD
found ^j+++xvbn+=found
some ^dti++++=some
strength ^nn++++=strength
in ^in++++=in
leaning ^nn++++=leaning
on ^in++++=on
his ^pp$+pp3+++=his
arm ^nn++++=arm,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
veil ^nn++++=veil
flowing ^vwbg+++xvbg+=flowing
about ^in++++=about
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
half ^abn++++=half
veil ^nn++++=veil,
, ^zz++++=EXTRAWORD
half ^abn++++=half
scarf ^nn++++=scarf,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rose ^nn+++xvbn+=rose
in ^in++++=in
her ^pp$+pp3+++=her
hair ^nn++++=hair
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
a ^at++++=a
long ^jj+atrb+++=long
garland ^nn++++=garland
of ^in++++=of
roses ^nns++++=roses
that ^tht+rel+obj++=that
the ^ati++++=the
school ^nn++++=school-children
- ^zz++++=EXTRAWORD
children ^nns++++=EXTRAWORD
had ^vb+hv+vrb++=had
braided ^jj++++=braided
for ^in++++=for
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
fell ^vbd+++xvbn+=fell
on ^in+ppvb+++=on
her ^pp3o+pp3+++=her
shoulder ^nn+nom+++=shoulder
and ^cc++++=and
trailed ^vpsv++agls+xvbn+=trailed
to ^in++++=to
her ^pp$+pp3+++=her
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
A ^at++++=A
group ^nn++++=group
of ^in++++=of
the ^ati++++=the
children ^nns++++=children
followed ^vbd+vprv++xvbn+=followed,
, ^zz++++=EXTRAWORD
marshalled ^xvbn+++xvbn+=marshalled
by ^in++++=by
the ^ati++++=the
schoolmaster ^nn+nom+++=schoolmaster,
, ^zz++++=EXTRAWORD
all ^abn++++=all
prettily ^rb++++=prettily
demure ^jj++++=demure,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
full ^jj++++=full
of ^in++++=of
the ^ati++++=the
suspended ^jj+atrb++xvbn+=suspended
spirit ^nn++++=spirit
of ^in++++=of
gambol ^nn+++??+=gambol
and ^cc++++=and
outcry ^nn++++=outcry.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
came ^vbd+++xvbn+=came
the ^ati++++=the
glad ^jj+atrb+++=glad
young ^jj+atrb+++=young
friends ^nns++++=friends
and ^cc++++=and
companions ^nns++++=companions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
next ^ap++++=next
them ^pp3o+pp3+++=them
the ^ati++++=the
parson ^nn++++=parson
and ^cc++++=and
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
solemn ^jj++++=solemn
as ^cs+sub+++=as
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
ascending ^vbg+++xvbgx+=ascending
the ^ati++++=the
mount ^nn++++=mount
of ^in++++=of
sacrifice ^nn++++=sacrifice,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
indeed ^qlp++++=indeed
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
doing ^vbg+++xvbgx+=doing
in ^in++++=in
giving ^xvbg+++xvbg+=giving
their ^pp$+pp3+++=their
child ^nn++++=child
to ^in++++=to
an ^at++++=an
almost ^rb+hdg+++=almost
unknown ^jj+atrb+++=unknown
man ^nn++++=man.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
these ^dt+pdem+++=these
came ^vbd+++xvbn+=came
all ^abn++++=all
who ^whp+who+++=who
wished ^vbd+vprv++xvbn+=wished
them ^pp3o+pp3+++=them
well ^rb++++=well
sufficiently ^rb++++=sufficiently
to ^to++++=to
climb ^vbi++++=climb
the ^ati++++=the
steep ^jj++++=steep;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
music ^nn++++=music
of ^in++++=of
a ^at++++=a
flute ^nn++++=flute-blower
- ^zz++++=EXTRAWORD
blower ^nn++++=EXTRAWORD
went ^vbd+++xvbn+=went
all ^rb++++=all
the ^ati++++=the
way ^nn++++=way
along ^in++++=along
from ^in++++=from
the ^ati++++=the
sheltering ^jj+atrb++xvbg+=sheltering
wood ^nn++++=wood.
. ^zz++++=EXTRAWORD
A ^at++++=A
passing ^jj+atrb++xvbg+=passing
cloud ^nn++++=cloud
obscured ^vbd+++xvbn+=obscured
the ^ati++++=the
main ^jjb+atrb+++=main
building ^nvbg+++xvbg+=building,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
sun ^nn++++=sun
lay ^vbd+++xvbn+=lay
full ^jj++++=full
on ^in++++=on
the ^ati++++=the
east ^np+pl+++=east
wing ^nn++++=wing,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
give ^vbi++++=give
a ^at++++=a
smiling ^jj+++xvbg+=smiling
welcome ^jj++++=welcome.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
terrace ^nn++++=terrace
was ^vbd+bedz+vrb++=was
a ^at++++=a
fine ^jj+atrb+++=fine
banquet ^nn++++=banquet
spread ^vbd+++xvbn+=spread,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
wedding ^nn++++=wedding-cake
- ^zz++++=EXTRAWORD
cake ^nn++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
bride ^nn++++=bride
to ^to++++=to
cut ^vbi++++=cut;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
the ^ati++++=the
dainties ^nns++++=dainties
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
enjoyed ^vpsv++agls+xvbnx+=enjoyed
and ^cc++++=and
Billy ^np++++=Billy
Biggs ^np++++=Biggs's
's ^$++++=EXTRAWORD
pockets ^nns++++=pockets
stuffed ^vbd+++xvbn+=stuffed
as ^ql++++=as
full ^jj++++=full
as ^ql++++=as
his ^pp$+pp3+++=his
stomach ^nn++++=stomach,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
flute ^nn++++=flute-blower
- ^zz++++=EXTRAWORD
blower ^nn++++=EXTRAWORD
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
out ^rb+phrv+++=out
of ^in+ppvb+++=of
the ^ati++++=the
wood ^nn++++=wood,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
all ^rb++++=all
swarmed ^vbd+++xvbn+=swarmed
through ^in++++=through
the ^ati++++=the
east ^np+pl+++=east
wing ^nn++++=wing
and ^cc++++=and
over ^in++++=over
the ^ati++++=the
great ^jj+atrb+++=great
house ^npl++++=house;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
school ^nn++++=school-master
- ^zz++++=EXTRAWORD
master ^npt++++=EXTRAWORD
formed ^vbd+++xvbn+=formed
a ^at++++=a
class ^nn++++=class
there ^rn+pl+++=there
and ^cc++++=and
told ^vbd+vpub++xvbn+=told
them ^pp3o+pp3+++=them
in ^in++++=in
his ^pp$+pp3+++=his
own ^ap++++=own
way ^nn++++=way
the ^ati++++=the
story ^nn++++=story
of ^in++++=of
a ^at++++=a
wedding ^nn++++=wedding
where ^wrb+who+++=where
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
guests ^nns++++=guests,
, ^zz++++=EXTRAWORD
a ^at++++=a
person ^nn++++=person
of ^in++++=of
deific ^jj+atrb+++=deific
quality ^nn+nom+++=quality,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
turned ^vprf+++xvbnx+=turned
jars ^nns++++=jars
of ^in++++=of
water ^nn++++=water
into ^in++++=into
wine ^nn++++=wine.
. ^zz++++=EXTRAWORD
" ^zz++++="That,"
that ^dt+pdem+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
what ^wdt+who+++=what
marriage ^nn+nom+++=marriage
does ^vbz+doz+vrb++=does.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
gives ^vbz++++=gives
to ^in++++=to
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
drunk ^vprf+++xvbnx+=drunk
only ^rb+down+++=only
water ^nn++++=water
the ^ati++++=the
wine ^nn++++=wine
of ^in++++=of
life ^nn++++=life."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
to ^to++++=to
be ^vbi+vbi+aux++=be
doubted ^vpsv++agls+xvbnx+=doubted
if ^cs+cnd+++=if
the ^ati++++=the
little ^ap++++=little
people ^nns++++=people
understood ^vwbn+vprv++xvbn+=understood
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
poet ^nn++++=poet
