When ^wrb+who+++=WHEN,
beauty ^nn++++=beauty.
. ^zz++++=EXTRAWORD
Bearded ^jj++++=Bearded,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
have ^vb+hv+aux++=have
made ^vprf+++xvbnx+=made
a ^at++++=a
passable ^jj+atrb+++=passable
Socrates ^nns+nom++??+=Socrates.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Ares ^np+++??+=Ares
no ^rb+cnj+++=no,
, ^zz++++=EXTRAWORD
certainly ^rb++++=certainly
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
Ares ^np+++??+=Ares.
. ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
Heph ^np+++??+=Heph
stus ^nns+++??+=stus,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suggested ^vbd+vpub++xvbnx+=suggested;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
idea ^nn++++=idea
was ^vbd+bedz+aux++=was
received ^vpsv++agls+xvbnx+=received
coldly ^rb++++=coldly.
. ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
he ^pp3a+pp3+++=he
sure ^jj++++=sure
that ^tht+jcmp+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
a ^at++++=a
goddess ^nns+nom+++=goddess?
? ^zz++++=EXTRAWORD
Might ^md+pos+++=Mightn't
n't ^xnot++not++0=EXTRAWORD
she ^pp3a+pp3+++=she
just ^rb+emph+++=just
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
nymph ^nn++++=nymph
of ^in++++=of
sorts ^vbz++++=sorts?
? ^zz++++=EXTRAWORD
Europa ^np+++??+=Europa,
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn+nom+++=instance.
. ^zz++++=EXTRAWORD
Lykeham ^np+++??+=Lykeham
repudiated ^vbd+++xvbn+=repudiated
the ^ati++++=the
implied ^jj+atrb++xvbn+=implied
suggestion ^nn+nom+++=suggestion
that ^tht+ncmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
bull ^nn++++=bull,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
would ^md+prd+++=would
he ^pp3a+pp3+++=he
hear ^vb+vprv+++=hear
of ^in++++=of
himself ^ppl+pp3+++=himself
as ^in++++=as
a ^at++++=a
swan ^nn++++=swan
or ^cc++++=or
a ^at++++=a
shower ^nn++++=shower
of ^in++++=of
gold ^nn++++=gold.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
possible ^jj+pred+++=possible,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
Apollo ^np++++=Apollo
and ^cc++++=and
she ^pp3a+pp3+++=she
Daphne ^np+++??+=Daphne,
, ^zz++++=EXTRAWORD
reincarnated ^j+++xvbn+=reincarnated
from ^in++++=from
her ^pp$+pp3+++=her
vegetable ^nn++++=vegetable
state ^nn++++=state.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
laughed ^vbd+++xvbnx+=laughed
heartily ^rb++++=heartily
at ^in++++=at
the ^ati++++=the
idea ^nn++++=idea
of ^in++++=of
his ^pp$+pp3+++=his
being ^vbg+beg++xvbg+=being
Ph ^nn++++=Ph
bus ^nn++++=bus
Apollo ^np++++=Apollo,
, ^zz++++=EXTRAWORD
Lykeham ^np+++??+=Lykeham
stuck ^vbd+++xvbn+=stuck
to ^in++++=to
the ^ati++++=the
theory ^nn++++=theory
with ^in++++=with
increasing ^xvbg+++xvbg+=increasing
obstinacy ^nn+nom+++=obstinacy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
more ^ql++++=more
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
of ^in++++=of
it ^pp3+it+++=it
the ^ati++++=the
more ^ql++++=more
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
him ^vbi++++=him
probable ^jj++++=probable
that ^tht+jcmp+++=that
his ^pp$+pp3+++=his
nymph ^nn++++=nymph,
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
burning ^jj+++xvbg+=burning
cold ^jj+atrb+++=cold
virginal ^jj+atrb+++=virginal
passion ^nn++++=passion,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
Daphne ^np+++??+=Daphne,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
to ^in++++=to
doubt ^vb++++=doubt
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
himself ^ppl+pp3+++=himself
was ^vbd+bedz+aux++=was
Apollo ^np++++=Apollo
seemed ^vbd+seem++xvbn+=seemed
hardly ^rb+down+++=hardly
to ^to++++=to
occur ^vbi++++=occur
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
about ^in++++=about
a ^at++++=a
fortnight ^nn++++=fortnight
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
in ^in++++=in
June ^nr++++=June,
, ^zz++++=EXTRAWORD
towards ^in++++=towards
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
term ^nn++++=term,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
discovered ^vbd+vprv++xvbn+=discovered
Lykeham ^np++++=Lykeham's
's ^$++++=EXTRAWORD
Olympian ^np+++??+=Olympian
identity ^nn+nom+++=identity.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone,
, ^zz++++=EXTRAWORD
Lykeham ^np+++??+=Lykeham
and ^cc++++=and
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
for ^in++++=for
an ^at++++=an
after ^in++++=after-dinner
- ^zz++++=EXTRAWORD
dinner ^nn++++=EXTRAWORD
walk ^nn++++=walk.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
set ^vbd+++xvbn+=set
out ^rb+phrv+++=out
through ^in++++=through
the ^ati++++=the
pale ^jj+atrb+++=pale
tranquillity ^nn+nom+++=tranquillity
of ^in++++=of
twilight ^nn++++=twilight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
following ^vbg+++xvbg+=following
the ^ati++++=the
towpath ^nn+++??+=towpath
up ^rp++++=up
the ^ati++++=the
river ^nn++++=river
as ^in++++=as
far ^in"+pl+++=far
as ^in"++++=as
Godstow ^np+++??+=Godstow,
, ^zz++++=EXTRAWORD
halted ^xvbn+++xvbn+=halted
at ^rb++++=at
the ^ati++++=the
inn ^nn++++=inn
for ^in++++=for
a ^at++++=a
glass ^nn++++=glass
of ^in++++=of
port ^nn++++=port
and ^cc++++=and
a ^at++++=a
talk ^nn++++=talk
with ^in++++=with
the ^ati++++=the
glorious ^jj+atrb+++=glorious
old ^jj+atrb+++=old
female ^jj+atrb+++=female
Falstaff ^np++++=Falstaff
in ^in++++=in
black ^jj+atrb+++=black
silk ^nn++++=silk
who ^whp+rel+subj++=who
kept ^vbd+++xvbn+=kept
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+aux++=were
royally ^rb++splt++=royally
entertained ^vpsv++agls+xvbnx+=entertained
with ^in++++=with
gossip ^nn++++=gossip
and ^cc++++=and
old ^jj+atrb+++=old
wine ^nn++++=wine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
Lykeham ^np+++??+=Lykeham
had ^vbd+hvd+aux++=had
sung ^vprf+++xvbnx+=sung
a ^at++++=a
comic ^jj+atrb+++=comic
song ^nn++++=song
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
reduced ^vprf+++xvbnx+=reduced
the ^ati++++=the
old ^jj+atrb+++=old
lady ^nn++++=lady
to ^in++++=to
a ^at++++=a
quivering ^jj+atrb++xvbg+=quivering
jelly ^nn++++=jelly
of ^in++++=of
hysterical ^jj+atrb+++=hysterical
laughter ^nn+nom+++=laughter,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
set ^vbd+++xvbn+=set
out ^rb+phrv+++=out
once ^rb+tm+++=once
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
intending ^vb+++xvbg+=intending
to ^to+vcmp+++=to
go ^vbi++++=go
yet ^rb++++=yet
a ^rb++++=a
little ^rb"++++=little
farther ^rbr++++=farther
up ^rp++++=up
the ^ati++++=the
river ^nn++++=river
before ^cs+sub+++=before
we ^pp1a+pp1+++=we
turned ^vbd+++xvbn+=turned
back ^rb+phrv+++=back.
. ^zz++++=EXTRAWORD
Darkness ^nns+nom+++=Darkness
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time;
; ^zz++++=EXTRAWORD
the ^ati++++=the
stars ^nns++++=stars
were ^vbd+bed+aux++=were
lighted ^vpsv++agls+xvbnx+=lighted
in ^in++++=in
the ^ati++++=the
sky ^nn++++=sky;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
sort ^nn++++=sort
of ^in++++=of
summer ^nn++++=summer
night ^nn++++=night
to ^to++++=to
which ^whp+who+++=which
Marlowe ^np+++??+=Marlowe
compared ^vbd+++xvbn+=compared
Helen ^np++++=Helen
of ^in++++=of
Troy ^np+++??+=Troy.
. ^zz++++=EXTRAWORD
Over ^in++++=Over
the ^ati++++=the
meadows ^nns++++=meadows
invisible ^jj++++=invisible
peewits ^vbz+++??+=peewits
wheeled ^vprf+++xvbn+=wheeled
and ^cc+phrs+++=and
uttered ^vprf+++xvbn+=uttered
their ^pp$+pp3+++=their
melancholy ^jj+atrb+++=melancholy
cry ^nn++++=cry;
; ^zz++++=EXTRAWORD
the ^ati++++=the
far ^rb+pl+++=far-off
- ^zz++++=EXTRAWORD
off ^in+pl+++=EXTRAWORD
thunder ^nn++++=thunder
of ^in++++=of
the ^ati++++=the
weir ^np++++=weir
bore ^vbd+++xvbn+=bore
a ^at++++=a
continuous ^jj++++=continuous,
, ^zz++++=EXTRAWORD
even ^rb++++=even
burden ^nn++++=burden
to ^in++++=to
all ^abn++++=all
the ^ati++++=the
other ^ap++++=other
small ^jj+atrb+++=small
noises ^nns++++=noises
of ^in++++=of
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Lykeham ^np+++??+=Lykeham
and ^cc++++=and
I ^pp1a+pp1+++=I
walked ^vbd+++xvbnx+=walked
on ^in++++=on
in ^in++++=in
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
covered ^vprf+++xvbnx+=covered
perhaps ^rb++++=perhaps
a ^at++++=a
quarter ^nn++++=quarter
of ^in++++=of
a ^at++++=a
mile ^nn++++=mile
when ^wrb+who+++=when
all ^rb++++=all
at ^rb++++=at
once ^rb"+tm+++=once
my ^pp$+pp1+++=my
companion ^nn++++=companion
stopped ^vbd+++xvbn+=stopped
and ^cc+phrs+++=and
began ^vbd+++xvbn+=began
looking ^vbg+++xvbg+=looking
fixedly ^jj++++=fixedly
westward ^rb++++=westward
towards ^in++++=towards
Witham ^np+++??+=Witham
Hill ^nn++++=Hill.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
paused ^vbd+++xvbnx+=paused
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saw ^vbd+vprv++xvbn+=saw
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
staring ^vbg+++xvbgx+=staring
at ^rb++++=at
the ^ati++++=the
thin ^jj+atrb+++=thin
crescent ^npl++++=crescent
of ^in++++=of
the ^ati++++=the
moon ^nn++++=moon,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
preparing ^vbg+++xvbgx+=preparing
to ^to+vcmp+++=to
set ^vbi++++=set
in ^in++++=in
the ^ati++++=the
dark ^jj+atrb+++=dark
woods ^nns++++=woods
that ^tht+rel+subj++=that
crowned ^vprf+++xvbn+=crowned
the ^ati++++=the
eminence ^nn+nom+++=eminence.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
looking ^vbg+++xvbg+=looking
at ^rb++++=at?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Lykeham ^np+++??+=Lykeham
paid ^vbd+++xvbn+=paid
no ^at++++=no
attention ^nn+nom+++=attention,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
muttered ^vbd+++xvbn+=muttered
something ^pn++++=something
to ^in++++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
suddenly ^rb++++=suddenly
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
she ^pp3a+pp3+++=she!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
started ^vpsv++agls+xvbn+=started
off ^in+pl+++=off
at ^rb++++=at
full ^jj+atrb+++=full
gallop ^nn++++=gallop
across ^in+pl+++=across
the ^ati++++=the
fields ^nns++++=fields
in ^in++++=in
the ^ati++++=the
direction ^nn+nom+++=direction
of ^in++++=of
the ^ati++++=the
hill ^nn++++=hill.
. ^zz++++=EXTRAWORD
Conceiving ^vb+++??+=Conceiving
that ^tht+vcmp+obj++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
suddenly ^rb++++=suddenly
mad ^jj++++=mad,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
followed ^vbd+vprv++xvbnx+=followed.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
crashed ^vbd+++xvbn+=crashed
through ^in++++=through
the ^ati++++=the
first ^od++++=first
hedge ^nn++++=hedge
twenty ^cd++++=twenty
yards ^nns++++=yards
apart ^in+strn+++=apart.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
came ^vbd+++xvbn+=came
the ^ati++++=the
backwater ^nn+nom+++=backwater;
; ^zz++++=EXTRAWORD
Lykeham ^np+++??+=Lykeham
leapt ^vbd+++xvbn+=leapt,
, ^zz++++=EXTRAWORD
flopped ^j+++xvbn+=flopped
in ^in++++=in
three ^cd++++=three-quarters
- ^zz++++=EXTRAWORD
quarters ^nns+nom+++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
way ^nn++++=way
across ^in+strn+++=across,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
scrambled ^vbd+++xvbn+=scrambled
oozily ^rb++++=oozily
ashore ^rb+pl+++=ashore.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
a ^at++++=a
better ^jjr+atrb+++=better
jump ^nn++++=jump
and ^cc++++=and
landed ^vpsv++agls+xvbn+=landed
among ^in++++=among
the ^ati++++=the
mud ^nn++++=mud
and ^cc++++=and
rushes ^vbz++++=rushes
of ^in++++=of
the ^ati++++=the
farther ^rbr++++=farther
bank ^nn++++=bank.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
more ^ql++++=more
hedges ^nns++++=hedges
and ^cc++++=and
a ^at++++=a
ploughed ^jj+atrb++xvbn+=ploughed
field ^nn++++=field,
, ^zz++++=EXTRAWORD
a ^at++++=a
hedge ^nn++++=hedge,
, ^zz++++=EXTRAWORD
a ^at++++=a
road ^nn++++=road,
, ^zz++++=EXTRAWORD
a ^at++++=a
gate ^nn++++=gate,
, ^zz++++=EXTRAWORD
another ^dt++++=another
field ^nn++++=field,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
in ^in++++=in
Witham ^np+++??+=Witham
Wood ^npl++++=Wood
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
pitch ^nn++++=pitch
black ^nn++++=black
under ^in++++=under
the ^ati++++=the
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Lykeham ^np+++??+=Lykeham
had ^vb+hv+vrb++=had
perforce ^rb++++=perforce
to ^to++++=to
slacken ^vbi++++=slacken
his ^pp$+pp3+++=his
pace ^nn++++=pace
a ^rb++++=a
little ^rb"++++=little.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
followed ^vbd+vprv++xvbnx+=followed
him ^pp3o+pp3+++=him
by ^in++++=by
the ^ati++++=the
noise ^nn++++=noise
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
crashing ^vbg+++xvbg+=crashing
through ^in++++=through
the ^ati++++=the
undergrowth ^nn++++=undergrowth
and ^cc++++=and
cursing ^vbg+++xvbg+=cursing
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
hurt ^vbd+++xvbnx+=hurt
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
wood ^npl++++=wood
was ^vbd+bedz+vrb++=was
a ^at++++=a
nightmare ^nn++++=nightmare,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
got ^vbd+++xvbn+=got
through ^in++++=through
it ^pp3+it+++=it
somehow ^rb++++=somehow
and ^cc++++=and
into ^in++++=into
the ^ati++++=the
open ^jj+atrb+++=open
glade ^nn++++=glade
at ^in++++=at
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
hill ^nn++++=hill.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
the ^ati++++=the
trees ^nns++++=trees
on ^in++++=on
the ^ati++++=the
farther ^rbr++++=farther
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
clearing ^xvbg+++xvbg+=clearing
shone ^vbd+++xvbn+=shone
the ^ati++++=the
moon ^nn++++=moon,
, ^zz++++=EXTRAWORD
seeming ^vbg+seem++xvbg+=seeming
incredibly ^rb++++=incredibly
close ^jj++++=close
at ^rb++++=at
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
along ^in++++=along
the ^ati++++=the
very ^ap+amp+++=very
path ^nn++++=path
of ^in++++=of
the ^ati++++=the
moonlight ^nn++++=moonlight,
, ^zz++++=EXTRAWORD
the ^ati++++=the
figure ^nn++++=figure
of ^in++++=of
a ^at++++=a
woman ^nn++++=woman
came ^vbd+++xvbn+=came
walking ^vbg+++xvbg+=walking
through ^in++++=through
the ^ati++++=the
trees ^nns++++=trees
into ^in++++=into
the ^ati++++=the
open ^nn++++=open.
. ^zz++++=EXTRAWORD
Lykeham ^np+++??+=Lykeham
rushed ^vbd+++xvbn+=rushed
towards ^in++++=towards
her ^pp$+pp3+++=her
and ^cc++++=and
flung ^vbd+++xvbn+=flung
himself ^ppl+pp3+++=himself
at ^rb++++=at
her ^pp3o+pp3+++=her
feet ^nns++++=feet
and ^cc++++=and
embraced ^vbd+++xvbn+=embraced
her ^pp$+pp3+++=her
knees ^nns++++=knees;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
stooped ^vbd+++xvbnx+=stooped
down ^rp++++=down
and ^cc++++=and
smoothed ^vbd+++xvbn+=smoothed
his ^pp$+pp3+++=his
ruffled ^vbd+++xvbn+=ruffled
hair ^nn++++=hair.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
and ^cc+phrs+++=and
walked ^vbd+++xvbn+=walked
away ^rp+pl+++=away;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
for ^in++++=for
a ^at++++=a
mere ^jjb++++=mere
mortal ^jj++++=mortal
to ^to++++=to
look ^vbi++++=look
on ^in++++=on
at ^rb++++=at
the ^ati++++=the
embracements ^nns+nom+++=embracements
of ^in++++=of
the ^ati++++=the
gods ^nns++++=gods.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
walked ^vbd+++xvbnx+=walked
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wondered ^vbd+vprv++xvbnx+=wondered
who ^whp+wpr+whcl++=who
on ^in++++=on
earth ^nn++++=earth
or ^cc++++=or
rather ^rb++++=rather
who ^whp+who+++=who
in ^in++++=in
heaven ^nn++++=heaven
Lykeham ^np+++??+=Lykeham
could ^md+pos+++=could
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
For ^in++++=For
here ^rn+pl+++=here
was ^vbd+bedz+vrb++=was
chaste ^jj+atrb+++=chaste
Cynthia ^np++++=Cynthia
giving ^vwbg+++xvbg+=giving
herself ^ppl+pp3+++=herself
to ^in++++=to
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
most ^ql+emph+++=most
unequivocal ^jj+atrb+++=unequivocal
fashion ^nn++++=fashion.
. ^zz++++=EXTRAWORD
Could ^md+pos+++=Could
he ^pp3a+pp3+++=he
be ^vb+be+vrb++=be
Endymion ^np+++??+=Endymion?
? ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
the ^ati++++=the
idea ^nn++++=idea
was ^vbd+bedz+vrb++=was
too ^ql++++=too
preposterous ^jj++++=preposterous
to ^to++++=to
be ^vbi+vbi+aux++=be
entertained ^vpsv++agls+xvbnx+=entertained
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
could ^md+pos+++=could
think ^vb+vprv+++=think
of ^in++++=of
no ^at++++=no
other ^ap++++=other
loved ^vpsv++by+xvbn+=loved
by ^in++++=by
the ^ati++++=the
virgin ^jjb+atrb+++=virgin
moon ^nn++++=moon.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
surely ^rb++++=surely
I ^pp1a+pp1+++=I
seemed ^vbd+seem++xvbnx+=seemed
dimly ^rb++++=dimly
to ^to++++=to
recollect ^vbi+vprv+++=recollect
that ^tht+vcmp+++=that
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
some ^dti++++=some
favoured ^jj+++xvbn+=favoured
god ^np++++=god;
; ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
life ^nn++++=life
of ^in++++=of
me ^pp1o+pp1+++=me
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
remember ^nn+nom+++=remember
who ^whp+who+++=who.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
way ^nn++++=way
back ^jjb++++=back
along ^in++++=along
the ^ati++++=the
river ^nn++++=river
path ^nn++++=path
I ^pp1a+pp1+++=I
searched ^vbd+++xvbnx+=searched
my ^pp$+pp1+++=my
mind ^nn++++=mind
for ^in++++=for
his ^pp$+pp3+++=his
name ^nn++++=name,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
always ^rb++++=always
it ^pp3+it+++=it
eluded ^vbd+++xvbn+=eluded
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
on ^in++++=on
my ^pp$+pp1+++=my
return ^nn++++=return
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
up ^rp++++=up
the ^ati++++=the
matter ^nn++++=matter
in ^in++++=in
Lempri ^np+++??+=Lempri
re ^in+strn+++=re,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
almost ^rb+hdg+++=almost
died ^vbd+++xvbn+=died
of ^in++++=of
laughing ^xvbg+++xvbg+=laughing
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
discovered ^vbd+vprv++xvbnx+=discovered
the ^ati++++=the
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
of ^in++++=of
Lykeham ^np++++=Lykeham's
's ^$++++=EXTRAWORD
Venetian ^np+++??+=Venetian
mirror ^nn++++=mirror
and ^cc++++=and
his ^pp$+pp3+++=his
complacent ^jj+atrb+++=complacent
side ^nn++++=side
glances ^nns+nom+++=glances
at ^in++++=at
his ^pp$+pp3+++=his
own ^ap++++=own
image ^nn++++=image,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
belief ^nn++++=belief
that ^tht+ncmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
Apollo ^np++++=Apollo,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
laughed ^vbd+++xvbnx+=laughed
and ^cc+phrs+++=and
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when,
, ^zz++++=EXTRAWORD
considerably ^rb++++=considerably
after ^in++++=after
midnight ^nn++++=midnight,
, ^zz++++=EXTRAWORD
Lykeham ^np+++??+=Lykeham
got ^vbd+++xvbn+=got
back ^rb+phrv+++=back
to ^in++++=to
college ^nn++++=college,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
met ^vbd+++xvbnx+=met
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
porch ^nn++++=porch
and ^cc++++=and
took ^vbd+++xvbn+=took
him ^pp3o+pp3+++=him
quietly ^rb++++=quietly
by ^in++++=by
the ^ati++++=the
sleeve ^nn++++=sleeve,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
his ^pp$+pp3+++=his
ear ^nn++++=ear
I ^pp1a+pp1+++=I
whispered ^vbd+vpub++xvbnx+=whispered,
, ^zz++++=EXTRAWORD
" ^zz++++="GOAT-FOOT,"
goat ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
foot ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
then ^rn+tm+++=then
i ^pp1a+pp1+++=I
roared ^vbd+++xvbn+=roared
with ^in++++=with
laughter ^nn+nom+++=laughter
once ^rb+tm+++=once
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
