Perhaps ^rb++++=PERHAPS
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
cast ^vbi++++=cast
a ^at++++=a
perceptible ^jj+atrb+++=perceptible
shadow ^nn++++=shadow,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
ran ^vbd+++xvbnx+=ran
my ^pp$+pp1+++=my
finger ^nn++++=finger
down ^rp++++=down
that ^dt+dem+++=that
strip ^nn++++=strip
of ^in++++=of
the ^ati++++=the
wall ^nn++++=wall
it ^pp3+it+++=it
would ^md+prd+++=would,
, ^zz++++=EXTRAWORD
at ^rb++++=at
a ^at++++=a
certain ^jj+atrb+++=certain
point ^nn++++=point,
, ^zz++++=EXTRAWORD
mount ^nn++++=mount
and ^cc++++=and
descend ^vb++++=descend
a ^at++++=a
small ^jj+atrb+++=small
tumulus ^nns+++??+=tumulus,
, ^zz++++=EXTRAWORD
a ^at++++=a
smooth ^jj+atrb+++=smooth
tumulus ^nns+++??+=tumulus
like ^in++++=like
those ^dt+dem+++=those
barrows ^nns++++=barrows
on ^in++++=on
the ^ati++++=the
South ^np+pl+++=South
Downs ^nns++++=Downs
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
tombs ^nns++++=tombs
or ^cc++++=or
camps ^nns++++=camps.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
the ^ati++++=the
two ^cd++++=two
I ^pp1a+pp1+++=I
should ^md+nec+++=should
prefer ^vb+vprv+++=prefer
them ^pp3o+pp3+++=them
to ^to++++=to
be ^vbi++vrb++=be
tombs ^nns++++=tombs,
, ^zz++++=EXTRAWORD
desiring ^nvbg+++xvbg+=desiring
melancholy ^jj++++=melancholy
like ^in++++=like
most ^ql+emph+++=most
English ^jj+atrb+++=English
people ^nns++++=people,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finding ^nvbg+++xvbg+=finding
it ^pp3+it+++=it
natural ^jj++++=natural
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
a ^at++++=a
walk ^nn++++=walk
to ^to++++=to
think ^vbi+vprv+++=think
of ^in++++=of
the ^ati++++=the
bones ^nns++++=bones
stretched ^vwbn+++xvbn+=stretched
beneath ^in+pl+++=beneath
the ^ati++++=the
turf.. ^nn+++??+=turf....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
must ^md+nec+++=must
be ^vb+be+vrb++=be
some ^dti++++=some
book ^nn++++=book
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
antiquary ^nn+nom+++=antiquary
must ^md+nec+++=must
have ^vb+hv+aux++=have
dug ^vprf+++xvbnx+=dug
up ^rp++++=up
those ^dt+dem+++=those
bones ^nns++++=bones
and ^cc++++=and
given ^vwbn+++xvbn+=given
them ^pp3o+pp3+++=them
a ^at++++=a
name.. ^nn+++??+=name....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
sort ^nn++++=sort
of ^in++++=of
a ^at++++=a
man ^nn++++=man
is ^vbz+bez+vrb++=is
an ^at++++=an
antiquary ^nn+nom+++=antiquary,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wonder ^vb++++=wonder?
? ^zz++++=EXTRAWORD
Retired ^jj+atrb++xvbn+=Retired
Colonels ^nns++++=Colonels
for ^in++++=for
the ^ati++++=the
most ^ap+emph+++=most
part ^nn++++=part,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
daresay ^vb++++=daresay,
, ^zz++++=EXTRAWORD
leading ^jj+atrb++xvbg+=leading
parties ^nns++++=parties
of ^in++++=of
aged ^jj+atrb+++=aged
labourers ^nns+nom+++=labourers
to ^in++++=to
the ^ati++++=the
top ^jjb++++=top
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
examining ^vbg+++xvbg+=examining
clods ^nns++++=clods
of ^in++++=of
earth ^nn++++=earth
and ^cc++++=and
stone ^nn++++=stone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
getting ^vbg+++xvbg+=getting
into ^in+ppvb+++=into
correspondence ^nn+nom+++=correspondence
with ^in++++=with
the ^ati++++=the
neighbouring ^jj+atrb+++=neighbouring
clergy ^nns++++=clergy,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
being ^xvbg+++xvbg+=being
opened ^vbd+++xvbn+=opened
at ^rb++++=at
breakfast ^nn++++=breakfast
time ^nn++++=time,
, ^zz++++=EXTRAWORD
gives ^vbz++++=gives
them ^pp3o+pp3+++=them
a ^at++++=a
feeling ^jj+++xvbg+=feeling
of ^in++++=of
importance ^nn+nom+++=importance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
comparison ^nn++++=comparison
of ^in++++=of
arrow ^nn++++=arrow-heads
- ^zz++++=EXTRAWORD
heads ^nns++++=EXTRAWORD
necessitates ^nns+nom+++=necessitates
cross ^jj++++=cross-country
- ^zz++++=EXTRAWORD
country ^nn++++=EXTRAWORD
journeys ^nns++++=journeys
to ^in++++=to
the ^ati++++=the
county ^nn++++=county
towns ^nns++++=towns,
, ^zz++++=EXTRAWORD
an ^at++++=an
agreeable ^jj+atrb+++=agreeable
necessity ^nn+nom+++=necessity
both ^abx++++=both
to ^in++++=to
them ^pp3o+pp3+++=them
and ^cc++++=and
to ^in++++=to
their ^pp$+pp3+++=their
elderly ^jj+atrb+++=elderly
wives ^nns++++=wives,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
make ^vbi++++=make
plum ^jj++++=plum
jam ^vb++++=jam
or ^cc++++=or
to ^to++++=to
clean ^vbi++++=clean
out ^rp+pl+++=out
the ^ati++++=the
study ^nn++++=study,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+vrb++=have
every ^at++++=every
reason ^nn++++=reason
for ^in++++=for
keeping ^xvbg+++xvbg+=keeping
that ^dt+dem+++=that
great ^jj+atrb+++=great
question ^nn+nom+++=question
of ^in++++=of
the ^ati++++=the
camp ^nn++++=camp
or ^cc++++=or
the ^ati++++=the
tomb ^nn++++=tomb
in ^in++++=in
perpetual ^jj+atrb+++=perpetual
suspension ^nn++++=suspension,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
Colonel ^nn++++=Colonel
himself ^ppl+pp3+++=himself
feels ^vbz+vprv+++=feels
agreeably ^rb++++=agreeably
philosophic ^jj++++=philosophic
in ^in++++=in
accumulating ^jj+atrb+++=accumulating
evidence ^nn+nom+++=evidence
on ^in++++=on
both ^abx++++=both
sides ^nns++++=sides
of ^in++++=of
the ^ati++++=the
question ^nn+nom+++=question.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true
that ^tht+jcmp+++=that
he ^pp3a+pp3+++=he
does ^vbz+doz+vrb++=does
finally ^rb++++=finally
incline ^nn++++=incline
to ^to++++=to
believe ^vbi+vprv+++=believe
in ^in++++=in
the ^ati++++=the
camp ^nn++++=camp;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
being ^xvbg+++xvbg+=being
opposed ^vbd+++xvbn+=opposed,
, ^zz++++=EXTRAWORD
indites ^nns++++=indites
a ^at++++=a
pamphlet ^nn+nom+++=pamphlet
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
about ^md"++pmd"++=about
to ^md+prd+++=to
read ^vb+vprv++xvbn+=read
at ^in++++=at
the ^ati++++=the
quarterly ^jj++++=quarterly
meeting ^jj+++xvbg+=meeting
of ^in++++=of
the ^ati++++=the
local ^jj+atrb+++=local
society ^nn++++=society
when ^wrb+who+++=when
a ^at++++=a
stroke ^nn++++=stroke
lays ^vbz++++=lays
him ^pp3o+pp3+++=him
low ^jj++++=low,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
last ^ap++++=last
conscious ^jj+atrb+++=conscious
thoughts ^nns++++=thoughts
are ^vb+ber+vrb++=are
not ^xnot++not++=not
of ^in++++=of
wife ^nn++++=wife
or ^cc++++=or
child ^nn++++=child,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
of ^in++++=of
the ^ati++++=the
camp ^nn++++=camp
and ^cc++++=and
that ^dt+dem+++=that
arrowhead ^nn+++??+=arrowhead
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
now ^rn+tm+++=now
in ^in++++=in
the ^ati++++=the
case ^nn++++=case
at ^in++++=at
the ^ati++++=the
local ^jj+atrb+++=local
museum ^nn++++=museum,
, ^zz++++=EXTRAWORD
together ^nn+nom+++=together
with ^in++++=with
the ^ati++++=the
foot ^nn++++=foot
of ^in++++=of
a ^at++++=a
Chinese ^jj+atrb+++=Chinese
murderess ^nns+nom+++=murderess,
, ^zz++++=EXTRAWORD
a ^at++++=a
handful ^nn+nom+++=handful
of ^in++++=of
Elizabethan ^nn+nom+++=Elizabethan
nails ^nns++++=nails,
, ^zz++++=EXTRAWORD
a ^ap++++=a
great ^ap"++++=great
many ^ap"++++=many
Tudor ^np++++=Tudor
clay ^nn++++=clay
pipes ^nns++++=pipes,
, ^zz++++=EXTRAWORD
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
Roman ^jj+atrb+++=Roman
pottery ^nn+nom+++=pottery,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
wine ^nn++++=wine-glass
- ^zz++++=EXTRAWORD
glass ^nn++++=EXTRAWORD
that ^tht+rel+obj++=that
Nelson ^np++++=Nelson
drank ^vbd+++xvbn+=drank
out ^rp+pl+++=out
ofproving ^nvbg+++xvbg+=ofproving
I ^pp1a+pp1+++=I
really ^rb+emph+++=really
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
is ^vbz+bez+aux++=is
proved ^vpsv++agls+xvbnx+=proved,
, ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
is ^vbz+bez+aux++=is
known ^vpsv++agls+xvbnx+=known.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
were ^vbd+bed+aux++=were
to ^to++++=to
get ^vbi++++=get
up ^rp++++=up
at ^in++++=at
this ^dt+dem+++=this
very ^ap+amp+++=very
moment ^nn++++=moment
and ^cc++++=and
ascertain ^vb+vprv+++=ascertain
that ^tht+vcmp+++=that
the ^ati++++=the
mark ^nn++++=mark
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall
is ^vbz+bez+aux++=is
reallywhat ^nn+++??+=reallywhat
shall ^md+prd+++=shall
we ^pp1a+pp1+++=we
say?the ^nn+++??+=say?the
head ^jjb++++=head
of ^in++++=of
a ^at++++=a
gigantic ^jj+atrb+++=gigantic
old ^jj+atrb+++=old
nail ^nn++++=nail,
, ^zz++++=EXTRAWORD
driven ^xvbn+++xvbn+=driven
in ^in++++=in
two ^cd++++=two
hundred ^cd++++=hundred
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+vrb++=has
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
owing ^in+cmpx+++=owing
to ^in"++++=to
the ^ati++++=the
patient ^nn++++=patient
attrition ^nn+nom+++=attrition
of ^in++++=of
many ^ap++++=many
generations ^nns+nom+++=generations
of ^in++++=of
housemaids ^nns++++=housemaids,
, ^zz++++=EXTRAWORD
revealed ^j+++xvbn+=revealed
its ^pp$+it+++=its
head ^nn++++=head
above ^jjb++++=above
the ^ati++++=the
coat ^nn++++=coat
of ^in++++=of
paint ^nn++++=paint,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+aux++=is
taking ^vbg+++xvbgx+=taking
its ^pp$+it+++=its
first ^od++++=first
view ^nn++++=view
of ^in++++=of
modern ^jj+atrb+++=modern
life ^nn++++=life
in ^in++++=in
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
a ^at++++=a
white ^jj++++=white-walled
- ^zz++++=EXTRAWORD
walled ^jj+atrb+++=EXTRAWORD
fire ^nn++++=fire-lit
- ^zz++++=EXTRAWORD
lit ^jj+atrb++xvbn+=EXTRAWORD
room ^nn++++=room,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
should ^md+nec+++=should
I ^pp1a+pp1+++=I
gain?knowledge ^nn+++??+=gain?Knowledge?
? ^zz++++=EXTRAWORD
Matter ^nn++++=Matter
for ^in++++=for
further ^jjb+atrb+++=further
speculation ^nn+nom+++=speculation?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
think ^vb+vprv+++=think
sitting ^nvbg+++xvbg+=sitting
still ^rb++++=still
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
standing ^nvbg+++xvbg+=standing
up ^rp++++=up.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
knowledge ^nn++++=knowledge?
? ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
are ^vb+ber+aux++=are
our ^pp$+pp1+++=our
learned ^jj+atrb++xvbn+=learned
men ^nns++++=men
save ^in++++=save
the ^ati++++=the
descendants ^nns+nom+++=descendants
of ^in++++=of
witches ^nns++++=witches
and ^cc++++=and
hermits ^nns+++??+=hermits
who ^whp+rel+subj++=who
crouched ^vbd+++xvbn+=crouched
in ^in++++=in
caves ^nns++++=caves
and ^cc++++=and
in ^in++++=in
woods ^nns++++=woods
brewing ^vwbg+++xvbg+=brewing
herbs ^nns++++=herbs,
, ^zz++++=EXTRAWORD
interrogating ^jj+atrb++xvbg+=interrogating
shrew ^nn+++??+=shrew-mice
- ^zz++++=EXTRAWORD
mice ^nns++++=EXTRAWORD
and ^cc++++=and
writing ^vbg+++xvbg+=writing
down ^rp++++=down
the ^ati++++=the
language ^nn+nom+++=language
of ^in++++=of
the ^ati++++=the
stars ^vbz++++=stars?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
less ^ql++++=less
we ^pp1a+pp1+++=we
honour ^nn++++=honour
them ^pp3o+pp3+++=them
as ^ql++++=as
our ^pp$+pp1+++=our
superstitions ^nns+nom+++=superstitions
dwindle ^vb++++=dwindle
and ^cc++++=and
our ^pp$+pp1+++=our
respect ^nn++++=respect
for ^in++++=for
beauty ^nn++++=beauty
and ^cc++++=and
health ^nn++++=health
of ^in++++=of
mind ^nn++++=mind
increases.. ^nn+++??+=increases....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
could ^md+pos+++=could
imagine ^vb+vprv+++=imagine
a ^at++++=a
very ^ql+amp+++=very
pleasant ^jj+atrb+++=pleasant
world ^nn++++=world.
. ^zz++++=EXTRAWORD
A ^at++++=A
quiet ^jj+atrb+++=quiet,
, ^zz++++=EXTRAWORD
spacious ^jj+atrb+++=spacious
world ^nn++++=world,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
flowers ^nns+nom+++=flowers
so ^ql+emph+++=so
red ^jj++++=red
and ^cc++++=and
blue ^nn++++=blue
in ^in++++=in
the ^ati++++=the
open ^jj+atrb+++=open
fields ^nns++++=fields.
. ^zz++++=EXTRAWORD
A ^at++++=A
world ^nn++++=world
without ^in++++=without
professors ^nns++++=professors
or ^cc++++=or
specialists ^nns+nom+++=specialists
or ^cc++++=or
house ^nn++++=house-keepers
- ^zz++++=EXTRAWORD
keepers ^nns+nom+++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
profiles ^nns++++=profiles
of ^in++++=of
policemen ^nns++++=policemen,
, ^zz++++=EXTRAWORD
a ^at++++=a
world ^nn++++=world
which ^whp+rel+obj++=which
one ^cd1++++=one
could ^md+pos+++=could
slice ^vb++++=slice
with ^in++++=with
one ^cd1++++=one's
's ^vbz+bez+aux++0=EXTRAWORD
thought ^vbd+++xvbn+=thought
as ^ql++++=as
a ^at++++=a
fish ^nn++++=fish
slices ^nns++++=slices
the ^ati++++=the
water ^nn++++=water
with ^in++++=with
his ^pp$+pp3+++=his
fin ^nn++++=fin,
, ^zz++++=EXTRAWORD
grazing ^vbg+++xvbg+=grazing
the ^ati++++=the
stems ^nns++++=stems
of ^in++++=of
the ^ati++++=the
water ^nn++++=water-lilies,
- ^zz++++=EXTRAWORD
lilies ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
hanging ^xvbg+++xvbg+=hanging
suspended ^vwbn+++xvbn+=suspended
over ^in++++=over
nests ^nns++++=nests
of ^in++++=of
white ^jj+atrb+++=white
sea ^nn++++=sea
eggs.. ^nn+++??+=eggs....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
peaceful ^jj++++=peaceful
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
down ^rp++++=down
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
rooted ^j+++xvbn+=rooted
in ^in++++=in
the ^ati++++=the
centre ^nn++++=centre
of ^in++++=of
the ^ati++++=the
world ^nn++++=world
and ^cc++++=and
gazing ^vbg+++xvbg+=gazing
up ^rp++++=up
through ^in++++=through
the ^ati++++=the
grey ^jj+atrb+++=grey
waters ^nns++++=waters,
, ^zz++++=EXTRAWORD
with ^in++++=with
their ^pp$+pp3+++=their
sudden ^jj+atrb+++=sudden
gleams ^nns++++=gleams
of ^in++++=of
light ^nn++++=light,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
reflectionsif ^nn+++??+=reflectionsif
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
for ^in++++=for
Whitaker ^np+nom+++=Whitaker's
's ^$++++=EXTRAWORD
Almanackif ^np+++??+=Almanackif
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
for ^in++++=for
the ^ati++++=the
Table ^nn++++=Table
of ^in++++=of
Precedency ^np+++??+=Precedency!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
jump ^vb++++=jump
up ^rp++++=up
and ^cc++++=and
see ^vb+vprv+++=see
for ^in++++=for
myself ^ppl+pp1+++=myself
what ^wdt+who+++=what
that ^dt+dem+++=that
mark ^nn++++=mark
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall
really ^rb+emph+++=really
isa ^np++++=isa
nail ^nn++++=nail,
, ^zz++++=EXTRAWORD
a ^at++++=a
rose ^vbd+++xvbn+=rose-leaf,
- ^zz++++=EXTRAWORD
leaf ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
crack ^nn++++=crack
in ^in++++=in
the ^ati++++=the
wood ^nn++++=wood?
? ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
is ^vbz+bez+vrb++=is
nature ^nn++++=nature
once ^rb+tm+++=once
more ^rbr++++=more
at ^rb++++=at
her ^pp3o+pp3+++=her
old ^jj+atrb+++=old
game ^nn++++=game
of ^in++++=of
self ^nn++++=self-preservation.
- ^zz++++=EXTRAWORD
preservation ^nn+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
train ^nn++++=train
of ^in++++=of
thought ^nn+++xvbn+=thought,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
perceives ^nns++++=perceives,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
threatening ^jj+atrb+++=threatening
mere ^jjb+atrb+++=mere
waste ^nn++++=waste
of ^in++++=of
energy ^nn++++=energy,
, ^zz++++=EXTRAWORD
even ^rb++++=even
some ^dti++++=some
collision ^nn++++=collision
with ^in++++=with
reality ^nn+nom+++=reality,
, ^zz++++=EXTRAWORD
for ^in++++=for
who ^whp+rel+pied++=who
will ^md+prd+++=will
ever ^rb++++=ever
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
lift ^vb++++=lift
a ^at++++=a
finger ^nn++++=finger
against ^in++++=against
Whitaker ^np+nom+++=Whitaker's
's ^$++++=EXTRAWORD
Table ^nn++++=Table
of ^in++++=of
Precedency ^np+++??+=Precedency?
? ^zz++++=EXTRAWORD
The ^ati++++=The
Archbishop ^nn++++=Archbishop
of ^in++++=of
Canterbury ^np++++=Canterbury
is ^vbz+bez+aux++=is
followed ^vpsv++by+xvbnx+=followed
by ^in++++=by
the ^ati++++=the
Lord ^npt++++=Lord
High ^np++++=High
Chancellor ^npt++++=Chancellor;
; ^zz++++=EXTRAWORD
the ^ati++++=the
Lord ^npt++++=Lord
High ^np++++=High
Chancellor ^npt++++=Chancellor
is ^vbz+bez+aux++=is
followed ^vpsv++by+xvbnx+=followed
by ^in++++=by
the ^ati++++=the
Archbishop ^nn++++=Archbishop
of ^in++++=of
York ^np++++=York.
. ^zz++++=EXTRAWORD
Everybody ^pn++++=Everybody
follows ^vbz+vprv+tht0++=follows
somebody ^pn++++=somebody,
, ^zz++++=EXTRAWORD
such ^abl++++=such
is ^vbz+bez+vrb++=is
the ^ati++++=the
philosophy ^nn++++=philosophy
of ^in++++=of
Whitaker ^np+nom++??+=Whitaker;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
great ^jj+atrb+++=great
thing ^nn++++=thing
is ^vbz+bez+aux++=is
to ^to++++=to
know ^vbi+vprv+++=know
who ^whp+wpr+whcl++=who
follows ^vbz+vprv+++=follows
whom ^whp+wpor+whcl++=whom.
. ^zz++++=EXTRAWORD
Whitaker ^np+nom++??+=Whitaker
knows ^vbz+vprv+++=knows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
let ^vb+++xvbn+=let
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
so ^cs+sub+++=so
Nature ^nn++++=Nature
counsels ^nns++++=counsels,
, ^zz++++=EXTRAWORD
comfort ^nn++++=comfort
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
enraging ^xvbg+++xvbg+=enraging
you ^pp2+pp2+++=you;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+aux++=be
comforted ^vpsv++agls+xvbnx+=comforted,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
must ^md+nec+++=must
shatter ^vb++++=shatter
this ^dt+dem+++=this
hour ^nn++++=hour
of ^in++++=of
peace ^nn++++=peace,
, ^zz++++=EXTRAWORD
think ^vb+vprv+++=think
of ^in++++=of
the ^ati++++=the
mark ^nn++++=mark
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
understand ^vb+vprv+++=understand
Nature ^np++++=Nature's
's ^$++++=EXTRAWORD
gameher ^jjr+atrb+++=gameher
prompting ^vb++++=prompting
to ^to+vcmp+++=to
take ^vbi++++=take
action ^nn++++=action
as ^in++++=as
a ^at++++=a
way ^nn++++=way
of ^in++++=of
ending ^xvbg+++xvbg+=ending
any ^dti++++=any
thought ^vprf+++xvbn+=thought
that ^tht+vcmp+++=that
threatens ^nn++++=threatens
to ^to+ncmp+++=to
excite ^vbi++++=excite
or ^cc++++=or
to ^in++++=to
pain ^nn++++=pain.
. ^zz++++=EXTRAWORD
Hence ^rb+cnj+++=Hence,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose,
, ^zz++++=EXTRAWORD
comes ^vbz++++=comes
our ^pp$+pp1+++=our
slight ^jj+atrb+++=slight
contempt ^nn++++=contempt
for ^in++++=for
men ^nns++++=men
of ^in++++=of
actionmen ^jj+++xvbn+=actionmen,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
assume ^vb+vprv+++=assume,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+++=think.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
harm ^nn++++=harm
in ^in++++=in
putting ^xvbg+++xvbg+=putting
a ^at++++=a
full ^nn++++=full
stop ^vb++++=stop
to ^in++++=to
one ^cd1++++=one's
's ^nns+bez+++0=EXTRAWORD
disagreeable ^jj+atrb+++=disagreeable
thoughts ^nns++++=thoughts
by ^in++++=by
looking ^xvbg+++xvbg+=looking
at ^rb++++=at
a ^at++++=a
mark ^nn++++=mark
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
fixed ^vprf+++xvbnx+=fixed
my ^pp$+pp1+++=my
eyes ^nns++++=eyes
upon ^in++++=upon
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
grasped ^vprf+++xvbnx+=grasped
a ^at++++=a
plank ^nn++++=plank
in ^in++++=in
the ^ati++++=the
sea ^nn++++=sea;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
a ^at++++=a
satisfying ^jj+atrb++xvbg+=satisfying
sense ^nn++++=sense
of ^in++++=of
reality ^nn+nom+++=reality
which ^whp+rel+obj++=which
at ^rb++++=at
once ^rb"+tm+++=once
turns ^vbz++++=turns
the ^ati++++=the
two ^cd++++=two
Archbishops ^np+++??+=Archbishops
and ^cc++++=and
the ^ati++++=the
Lord ^npt++++=Lord
High ^np++++=High
Chancellor ^npt++++=Chancellor
to ^in++++=to
the ^ati++++=the
shadows ^nps++++=shadows
of ^in++++=of
shades ^nns++++=shades.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
is ^vbz+bez+vrb++=is
something ^pn++++=something
definite ^jj++++=definite,
, ^zz++++=EXTRAWORD
something ^pn++++=something
real ^jj++++=real.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
waking ^vbg+++xvbg+=waking
from ^in++++=from
a ^at++++=a
midnight ^nn++++=midnight
dream ^nn++++=dream
of ^in++++=of
horror ^nn++++=horror,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hastily ^rb++++=hastily
turns ^vbz++++=turns
on ^rb+phrv+++=on
the ^ati++++=the
light ^nn++++=light
and ^cc++++=and
lies ^vbz++++=lies
quiescent ^jj++++=quiescent,
, ^zz++++=EXTRAWORD
worshipping ^jj+++xvbg+=worshipping
the ^ati++++=the
chest ^nn++++=chest
of ^in++++=of
drawers ^nns+nom+++=drawers,
