Blood ^nn++++=Blood
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hops ^nns+++??+=hops,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
drink ^nn++++=drink,
, ^zz++++=EXTRAWORD
strong ^jj++++=strong
and ^cc+phrs+++=and
good ^jj++++=good.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
so ^rb+emph+++=so
good ^jj++++=good
as ^in++++=as
' ^zz++++='Three
three ^cd++++=EXTRAWORD
Star ^nn++++=Star,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
O ^zz++++=O
Hair ^nn++++=Hair-Face,
- ^zz++++=EXTRAWORD
face ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
good ^jj++++=good.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
quass ^vbz+++??+=quass-feast
- ^zz++++=EXTRAWORD
feast ^nn++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
for ^in++++=for
the ^ati++++=the
chiefs ^nns++++=chiefs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
chiefs ^nns++++=chiefs
only ^rb+cnj+++=only,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
score ^nn++++=score
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Ligoun ^np+++??+=Ligoun
being ^vwbg+beg++xvbg+=being
very ^ql+amp+++=very
old ^jj++++=old
and ^cc++++=and
very ^ql+amp+++=very
great ^np++++=great,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
given ^vpsv++agls+xvbnx+=given
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
walk ^nn++++=walk
with ^in++++=with
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
might ^md+pos+++=might
lean ^vb++++=lean
upon ^in++++=upon
my ^pp$+pp1+++=my
shoulder ^nn+nom+++=shoulder
and ^cc++++=and
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
might ^md+pos+++=might
ease ^vb++++=ease
him ^pp3o+pp3+++=him
down ^in++++=down
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
his ^pp$+pp3+++=his
seat ^nn++++=seat
and ^cc++++=and
raise ^vb++++=raise
him ^pp3o+pp3+++=him
up ^rp++++=up
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
arose ^vbd+++xvbnx+=arose.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
Niblack ^np++++=Niblack's
's ^$++++=EXTRAWORD
house ^npl++++=house,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
of ^in++++=of
logs ^nns++++=logs
and ^cc++++=and
very ^ql+amp+++=very
big ^jj++++=big,
, ^zz++++=EXTRAWORD
each ^dt++++=each
chief ^jjb++++=chief,
, ^zz++++=EXTRAWORD
as ^ql++++=as
was ^vbd+bedz+vrb++=was
the ^ati++++=the
custom ^nn++++=custom,
, ^zz++++=EXTRAWORD
laid ^j+++xvbn+=laid
down ^rp++++=down
his ^pp$+pp3+++=his
spear ^nn++++=spear
or ^cc++++=or
rifle ^nn++++=rifle
and ^cc++++=and
his ^pp$+pp3+++=his
knife ^nn++++=knife.
. ^zz++++=EXTRAWORD
For ^in++++=For
as ^ql++++=as
thou ^pp2+pp2+++=thou
knowest ^jjt++++=knowest,
, ^zz++++=EXTRAWORD
O ^zz++++=O
Hair ^nn++++=Hair-Face,
- ^zz++++=EXTRAWORD
face ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
strong ^jj++++=strong
drink ^vb++++=drink
quickens ^nns+++??+=quickens,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
old ^jj++++=old
hates ^vbz++++=hates
flame ^nn++++=flame
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
head ^jjb++++=head
and ^cc++++=and
hand ^nn++++=hand
are ^vb+ber+vrb++=are
swift ^np++++=swift
to ^in++++=to
act ^nn++++=act.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
noted ^vbd+vprv++xvbnx+=noted
that ^tht+vcmp+++=that
Ligoun ^np+++??+=Ligoun
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
two ^cd++++=two
knives ^nns++++=knives,
, ^zz++++=EXTRAWORD
the ^ati++++=the
one ^cd1++++=one
he ^pp3a+pp3+++=he
left ^vbd+++xvbnx+=left
outside ^jjb++++=outside
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
slipped ^jj+++xvbn+=slipped
under ^in++++=under
his ^pp$+pp3+++=his
blanket ^nn++++=blanket,
, ^zz++++=EXTRAWORD
snug ^jj++++=snug
to ^in++++=to
the ^ati++++=the
grip ^nn++++=grip.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
chiefs ^nns++++=chiefs
did ^vbd+dod+vrb++=did
likewise ^rb+cnj+++=likewise,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
troubled ^vpsv++agls+xvbnx+=troubled
for ^in++++=for
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
to ^to++++=to
come ^vbi++++=come.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
chiefs ^nns++++=chiefs
were ^vbd+bed+aux++=were
ranged ^vpsv++agls+xvbnx+=ranged,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
big ^jj+atrb+++=big
circle ^nn++++=circle
about ^in++++=about
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
at ^rb++++=at
Ligoun ^np++++=Ligoun's
's ^$++++=EXTRAWORD
elbow ^nn++++=elbow.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
middle ^jjb++++=middle
was ^vbd+bedz+vrb++=was
the ^ati++++=the
barrel ^nn++++=barrel
of ^in++++=of
quass ^nns+++??+=quass,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
it ^pp3+it+++=it
a ^at++++=a
slave ^nn++++=slave
to ^to++++=to
serve ^vbi++++=serve
the ^ati++++=the
drink ^nn++++=drink.
. ^zz++++=EXTRAWORD
First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
Niblack ^np+++??+=Niblack
made ^vbd+++xvbn+=made
oration ^nn+nom+++=oration,
, ^zz++++=EXTRAWORD
with ^in++++=with
much ^ap++++=much
show ^vb+vprv+++=show
of ^in++++=of
friendship ^nn+nom+++=friendship
and ^cc++++=and
many ^ap++++=many
fine ^jj+atrb+++=fine
words ^nns++++=words.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
a ^at++++=a
sign ^nn++++=sign,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
slave ^nn++++=slave
dipped ^vbd+++xvbn+=dipped
a ^at++++=a
gourd ^nn+++??+=gourd
full ^jj++++=full
of ^in++++=of
quass ^nns+++??+=quass
and ^cc++++=and
passed ^vbd+++xvbn+=passed
it ^pp3+it+++=it
to ^in++++=to
Ligoun ^np+++??+=Ligoun,
, ^zz++++=EXTRAWORD
as ^ql++++=as
was ^vbd+bedz+vrb++=was
fit ^nn++++=fit,
, ^zz++++=EXTRAWORD
for ^in++++=for
his ^pp$+pp3+++=his
was ^vbd+bedz+vrb++=was
the ^ati++++=the
highest ^jjt+atrb+++=highest
rank ^nn++++=rank.
. ^zz++++=EXTRAWORD
" ^zz++++="Ligoun
ligoun ^nn+++??+=EXTRAWORD
drank ^vbd+++xvbn+=drank
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
last ^rb++++=last
drop ^vb++++=drop,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
gave ^vbd+++xvbnx+=gave
him ^pp3o+pp3+++=him
my ^pp$+pp1+++=my
strength ^nn++++=strength
to ^to++++=to
get ^vbi++++=get
on ^in++++=on
his ^pp$+pp3+++=his
feet ^nns++++=feet
so ^ql++++=so
that ^cs+sub+++=that
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
make ^vb++++=make
oration ^nn+nom+++=oration.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
kind ^nn++++=kind
speech ^nn++++=speech
for ^in++++=for
the ^ati++++=the
many ^ap++++=many
tribes ^nns++++=tribes,
, ^zz++++=EXTRAWORD
noted ^j+++xvbn+=noted
the ^ati++++=the
greatness ^nns+nom+++=greatness
of ^in++++=of
Niblack ^np+++??+=Niblack
to ^to++++=to
give ^vbi++++=give
such ^abl++++=such
a ^at++++=a
feast ^nn++++=feast,
, ^zz++++=EXTRAWORD
counselled ^j+++xvbn+=counselled
for ^in++++=for
peace ^nn++++=peace
as ^ql++++=as
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
custom ^nn++++=custom,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
said ^vbd+vpub++xvbn+=said
that ^tht+vcmp+++=that
the ^ati++++=the
quass ^nns+++??+=quass
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
good ^jj++++=good.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
Niblack ^np+++??+=Niblack
drank ^vbd+++xvbn+=drank,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
next ^ap++++=next
of ^in++++=of
rank ^nn++++=rank
to ^in++++=to
Ligoun ^np+++??+=Ligoun,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
him ^pp3o+pp3+++=him
one ^cd1++++=one
chief ^jjb++++=chief
and ^cc++++=and
another ^dt++++=another
in ^in++++=in
degree ^nn++++=degree
and ^cc++++=and
order ^nn++++=order.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
each ^dt++++=each
spoke ^vbd+++xvbn+=spoke
friendly ^jj+atrb+++=friendly
words ^nns++++=words
and ^cc++++=and
said ^vprf+++xvbn+=said
that ^tht+vcmp+++=that
the ^ati++++=the
quass ^nns+++??+=quass
was ^vbd+bedz+vrb++=was
good ^jj+pred+++=good,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
all ^abn++++=all
had ^vbd+hvd+aux++=had
drunk ^vprf+++xvbnx+=drunk.
. ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say
all ^rb++++=all?
? ^zz++++=EXTRAWORD
Nay ^uh++++=Nay,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
O ^zz++++=O
Hair ^nn++++=Hair-Face.
- ^zz++++=EXTRAWORD
face ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
last ^ap++++=last
of ^in++++=of
them ^pp3o+pp3+++=them
was ^vbd+bedz+vrb++=was
one ^pn++++=one,
, ^zz++++=EXTRAWORD
a ^at++++=a
lean ^jj+atrb+++=lean
and ^cc+phrs+++=and
catlike ^jj+atrb+++=catlike
man ^nn++++=man,
, ^zz++++=EXTRAWORD
young ^jj++++=young
of ^in++++=of
face ^nn++++=face,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
quick ^jj+atrb+++=quick
and ^cc+phrs+++=and
daring ^jj+atrb++xvbg+=daring
eye ^nn++++=eye,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
drank ^vbd+++xvbn+=drank
darkly ^rb+cnj+++=darkly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
spat ^vbd+++xvbn+=spat
forth ^np++++=forth
upon ^in++++=upon
the ^ati++++=the
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
spoke ^vbd+++xvbn+=spoke
no ^at++++=no
word ^nn++++=word.
. ^zz++++=EXTRAWORD
" ^zz++++="To
to ^to++++=EXTRAWORD
not ^xnot++not++=not
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
the ^ati++++=the
quass ^nns+++??+=quass
was ^vbd+bedz+aux++=was
good ^jj+pred+++=good
were ^vbd+bed+vrb++=were
insult ^nn++++=insult;
; ^zz++++=EXTRAWORD
to ^in++++=to
spit ^nn++++=spit
forth ^rb++++=forth
upon ^in++++=upon
the ^ati++++=the
ground ^nn++++=ground
were ^vbd+bed+vrb++=were
worse ^jjr+pred+++=worse
than ^in++++=than
insult ^nn++++=insult.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
this ^dt+dem+++=this
very ^ap+amp+++=very
thing ^nn++++=thing
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
known ^vpsv++agls+xvbnx+=known
for ^in++++=for
a ^at++++=a
chief ^nn++++=chief
over ^in++++=over
the ^ati++++=the
Sticks ^nns++++=Sticks
of ^in++++=of
the ^ati++++=the
Yukon ^np+++??+=Yukon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
further ^jjb++++=further
naught ^vbd+++xvbn+=naught
was ^vbd+bedz+aux++=was
known ^vpsv++agls+xvbnx+=known
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="As
as ^ql++++=EXTRAWORD
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
an ^at++++=an
insult ^nn++++=insult.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
mark ^nn++++=mark
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
O ^zz++++=O
Hair ^nn++++=Hair-Face:
- ^zz++++=EXTRAWORD
face ^nn++++=EXTRAWORD
: ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
an ^at++++=an
insult ^nn++++=insult,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
to ^in++++=to
Niblack ^np+++??+=Niblack
the ^ati++++=the
feast ^nn++++=feast-giver,
- ^zz++++=EXTRAWORD
giver ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^in++++=to
the ^ati++++=the
man ^nn++++=man
chiefest ^jjt++++=chiefest
of ^in++++=of
rank ^nn++++=rank
who ^whp+rel+subj++=who
sat ^vbd+++xvbn+=sat
among ^in++++=among
those ^dt+dem+++=those
of ^in++++=of
the ^ati++++=the
circle ^nn++++=circle.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
that ^dt+dem+++=that
man ^nn++++=man
was ^vbd+bedz+vrb++=was
Ligoun ^np+++??+=Ligoun.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
sound ^nn++++=sound.
. ^zz++++=EXTRAWORD
All ^abn++++=All
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
upon ^in++++=upon
him ^pp3o+pp3+++=him
to ^to++++=to
see ^vbi+vprv+++=see
what ^wdt+who+whcl++=what
he ^pp3a+pp3+++=he
might ^md+pos+++=might
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
made ^vbd+++xvbnx+=made
no ^at++++=no
movement ^nn+nom+++=movement.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
withered ^jj+atrb++xvbn+=withered
lips ^nns++++=lips
trembled ^vbd+++xvbn+=trembled
not ^xnot++not++=not
into ^in++++=into
speech ^nn++++=speech;
; ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
did ^vbd+dod+vrb++=did
a ^at++++=a
nostril ^nn+++??+=nostril
quiver ^nn++++=quiver,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
an ^at++++=an
eyelid ^nn+++??+=eyelid
droop ^nn+++??+=droop.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
wan ^jj++++=wan
and ^cc++++=and
gray ^np++++=gray,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
seen ^vprf++tht0+xvbnx+=seen
old ^jj+atrb+++=old
men ^nns++++=men
look ^vb++++=look
of ^in++++=of
bitter ^jj+atrb+++=bitter
mornings ^nns++++=mornings
when ^wrb+who+++=when
famine ^nn++++=famine
pressed ^vbd+++xvbn+=pressed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
women ^nns++++=women
wailed ^vbd+++xvbn+=wailed
and ^cc++++=and
the ^ati++++=the
children ^nns++++=children
whimpered ^vbd+++xvbn+=whimpered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
meat ^nn++++=meat
nor ^cc++neg++=nor
sign ^nn++++=sign
of ^in++++=of
meat ^nn++++=meat.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
as ^in++++=as
the ^ati++++=the
old ^jj+atrb+++=old
men ^nns++++=men
looked ^vbd+++xvbn+=looked,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
looked ^jj+++xvbn+=looked
Ligoun ^np+++??+=Ligoun.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
no ^at++++=no
sound ^nn++++=sound.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
were ^vbd+bed+vrb++=were
as ^in++++=as
a ^at++++=a
circle ^nn++++=circle
of ^in++++=of
the ^ati++++=the
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
each ^dt++++=each
chief ^jjb++++=chief
felt ^vbd+vprv++xvbn+=felt
beneath ^rb++++=beneath
his ^pp$+pp3+++=his
blanket ^nn++++=blanket
to ^to++++=to
make ^vbi++++=make
sure ^jj++++=sure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
each ^ppls++++=each
chief ^jjb++++=chief
glanced ^jj+++xvbn+=glanced
to ^in++++=to
his ^pp$+pp3+++=his
neighbor ^nn++++=neighbor,
, ^zz++++=EXTRAWORD
right ^jj++++=right
and ^cc++++=and
left ^nn+++xvbn+=left,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
measuring ^jj+atrb++xvbg+=measuring
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
stripling ^nn+nom+++=stripling;
; ^zz++++=EXTRAWORD
the ^ati++++=the
things ^nns++++=things
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
were ^vbd+bed+vrb++=were
few ^ap++++=few;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
it ^pp3+it+++=it
to ^to++++=to
be ^vbi++vrb++=be
the ^ati++++=the
moment ^nn++++=moment
one ^cd1++++=one
meets ^vbz++++=meets
but ^cc++++=but
once ^rb+tm+++=once
in ^in++++=in
all ^abn++++=all
a ^at++++=a
lifetime ^nn++++=lifetime.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
Stick ^vb++++=Stick
rose ^nn+++xvbn+=rose
up ^rp++++=up,
, ^zz++++=EXTRAWORD
with ^in++++=with
every ^at++++=every
eye ^nn++++=eye
upon ^in++++=upon
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
crossed ^vbd+++xvbn+=crossed
the ^ati++++=the
room ^nn++++=room
till ^cs+sub+++=till
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
before ^in++++=before
Ligoun ^np+++??+=Ligoun.
. ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
Opitsah ^np+++??+=Opitsah,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Knife ^nn++++=Knife,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
Ligoun ^np+++??+=Ligoun
said ^vbd+vpub++xvbn+=said
naught ^vbd+++xvbn+=naught,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
gazed ^vbd+++xvbn+=gazed
unblinking ^jj+++xvbg+=unblinking
at ^rb++++=at
the ^ati++++=the
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
" ^zz++++="'You
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
Ligoun ^np+++??+=Ligoun,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Opitsah ^np+++??+=Opitsah
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
' ^zz++++='You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
killed ^vprf+++xvbnx+=killed
many ^ap++++=many
men ^nns++++=men.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
still ^rb+atrb+++=still
alive ^jj+pred+++=alive.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
still ^rb+atrb+++=still
Ligoun ^np+++??+=Ligoun
said ^vbd+vpub++xvbn+=said
naught ^vbd+++xvbn+=naught,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
the ^ati++++=the
sign ^nn++++=sign
to ^in++++=to
me ^pp1o+pp1+++=me
and ^cc++++=and
with ^in++++=with
my ^pp$+pp1+++=my
strength ^nn++++=strength
arose ^vbd+++xvbn+=arose
and ^cc+phrs+++=and
stood ^vbd+++xvbn+=stood
upright ^jj++++=upright
on ^in++++=on
his ^pp$+pp3+++=his
two ^cd++++=two
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
as ^in++++=as
an ^at++++=an
old ^jj+atrb+++=old
pine ^nn++++=pine,
, ^zz++++=EXTRAWORD
naked ^jj++++=naked
and ^cc++++=and
gray ^np++++=gray,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
still ^rb++++=still
a ^at++++=a-shoulder
- ^zz++++=EXTRAWORD
shoulder ^nn+nom+++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
frost ^nn++++=frost
and ^cc++++=and
storm ^nn++++=storm.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eyes ^nns++++=eyes
were ^vbd+bed+aux++=were
unblinking ^vbg+++xvbgx+=unblinking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
not ^xnot++not++=not
heard ^vbn+vprv++xvbn+=heard
Opitsah ^np+++??+=Opitsah,
, ^zz++++=EXTRAWORD
so ^ql++++=so
it ^pp3+it+++=it
seemed ^vbd+seem+tht0+xvbn+=seemed
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
see ^vb+vprv+++=see
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
Opitsah ^np+++??+=Opitsah
was ^vbd+bedz+vrb++=was
mad ^jj+pred+++=mad
with ^in++++=with
anger ^nn++++=anger,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
danced ^xvbn+++xvbn+=danced
stiff ^jj++++=stiff-legged
- ^zz++++=EXTRAWORD
legged ^jj+++xvbn+=EXTRAWORD
before ^in++++=before
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
as ^ql++++=as
men ^nns++++=men
do ^vb+do+vrb++=do
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
give ^vbi++++=give
another ^dt++++=another
shame ^vb++++=shame.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Opitsah ^np+++??+=Opitsah
sang ^vbd+++xvbn+=sang
a ^at++++=a
song ^nn++++=song
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
greatness ^nns+nom+++=greatness
and ^cc++++=and
the ^ati++++=the
greatness ^nns+nom+++=greatness
of ^in++++=of
his ^pp$+pp3+++=his
people ^nns++++=people,
, ^zz++++=EXTRAWORD
filled ^j+++xvbn+=filled
with ^in++++=with
bad ^jj+atrb+++=bad
words ^nns++++=words
for ^in++++=for
the ^ati++++=the
Chilcats ^np+++??+=Chilcats
and ^cc++++=and
for ^in++++=for
Ligoun ^np+++??+=Ligoun.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
as ^ql++++=as
he ^pp3a+pp3+++=he
danced ^vbd+++xvbnx+=danced
and ^cc+phrs+++=and
sang ^vbd+++xvbn+=sang,
, ^zz++++=EXTRAWORD
Opitsah ^np+++??+=Opitsah
threw ^vbd+++xvbn+=threw
off ^rb+phrv+++=off
his ^pp$+pp3+++=his
blanket ^nn++++=blanket
and ^cc++++=and
with ^in++++=with
his ^pp$+pp3+++=his
knife ^nn++++=knife
drew ^vbd+++xvbn+=drew
bright ^jj+atrb+++=bright
circles ^nns++++=circles
before ^in++++=before
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
Ligoun ^np+++??+=Ligoun.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
song ^nn++++=song
he ^pp3a+pp3+++=he
sang ^vbd+++xvbnx+=sang
was ^vbd+bedz+vrb++=was
the ^ati++++=the
Song ^nn++++=Song
of ^in++++=of
the ^ati++++=the
Knife ^nn++++=Knife.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
other ^ap++++=other
sound ^nn++++=sound,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
the ^ati++++=the
singing ^jj+++xvbg+=singing
of ^in++++=of
