After ^cs+sub+++=AFTER
, ^zz++++=EXTRAWORD
toward ^in++++=toward
the ^ati++++=the
piano ^nn++++=piano.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
felt ^vbd+vprv++xvbnx+=felt
again ^rb+tm+++=again
the ^ati++++=the
enchantment ^nn+nom+++=enchantment
of ^in++++=of
the ^ati++++=the
music ^nn++++=music-ridden
- ^zz++++=EXTRAWORD
ridden ^xvbn+++xvbn+=EXTRAWORD
quiet ^nn++++=quiet,
, ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
perfume ^nn++++=perfume,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
the ^ati++++=the
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
" ^zz++++="Knowing
knowing ^vbg+vprv+tht0+xvbg+=EXTRAWORD
you ^pp2+pp2+++=you
and ^cc++++=and
speaking ^nvbg+++xvbg+=speaking
with ^in++++=with
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
not ^xnot++not++=not
made ^vprf+++xvbn+=made
much ^ap++++=much
difference ^nn+nom+++=difference
with ^in++++=with
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
whispers ^nns+nom+++=whispers,
, ^zz++++=EXTRAWORD
drunk ^j+++xvbn+=drunk
on ^in++++=on
the ^ati++++=the
new ^jj+atrb+++=new
wine ^nn++++=wine
of ^in++++=of
passion ^nn++++=passion,
, ^zz++++=EXTRAWORD
" ^zz++++="for
for ^in++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
loved ^vprf+++xvbnx+=loved
you ^pp2+pp2+++=you
since ^cs+sub+++=since
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
you ^pp2+pp2+++=you
first ^rb++++=first.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
though ^cs+sub+++=though
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
so ^ql+emph+++=so
sweet ^jj++++=sweet
to ^to++++=to
hear ^vbi+vprv+tht0++=hear
you ^pp2+pp2+++=you
speak ^vb++++=speak,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
voice ^nn++++=voice
is ^vbz+bez+vrb++=is
no ^at++++=no
more ^rbr++++=more
beautiful ^jj++++=beautiful
than ^cs+sub+++=than
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
loved ^vprf+++xvbnx+=loved
you ^pp2+pp2+++=you
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
-- ^--+clp+++=--"
" ^zz++++=EXTRAWORD
The ^ati++++=The
broken ^jj+atrb++xvbn+=broken
man ^nn++++=man
in ^in++++=in
the ^ati++++=the
shadow ^nn++++=shadow
remembered ^vwbn+vprv++xvbn+=remembered
how ^wrb+who+whcl++=how
the ^ati++++=the
lad ^nn++++=lad
stopped ^vbd+++xvbn+=stopped,
, ^zz++++=EXTRAWORD
astonished ^j+++xvbn+=astonished
at ^rb++++=at
his ^pp$+pp3+++=his
boldness ^nns+nom+++=boldness
and ^cc++++=and
his ^pp$+pp3+++=his
fluency ^nn++++=fluency,
, ^zz++++=EXTRAWORD
overcome ^j+++xvbn+=overcome
suddenly ^rb++++=suddenly
at ^in++++=at
the ^ati++++=the
thought ^nn+++xvbn+=thought
of ^in++++=of
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
saying ^vbg+++xvbgx+=saying.
. ^zz++++=EXTRAWORD
The ^ati++++=The
music ^nn++++=music
stopped ^vbd+++xvbn+=stopped
with ^in++++=with
a ^at++++=a
discord ^nn++++=discord.
. ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl
arose ^vbd+++xvbn+=arose,
, ^zz++++=EXTRAWORD
trembling ^jj+++xvbg+=trembling
and ^cc+phrs+++=and
scarlet ^jj++++=scarlet.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
would ^md+prd+++=would
not ^xnot++not++=not
have ^vb+hv+aux++=have
believed ^vprf+++xvbnx+=believed
it ^pp3+it+++=it
of ^in++++=of
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cries ^nns++++=cries,
, ^zz++++=EXTRAWORD
" ^zz++++="to
to ^to++++=EXTRAWORD
take ^vbi++++=take
advantage ^nn+nom+++=advantage
of ^in++++=of
me ^pp1o+pp1+++=me
like ^in++++=like
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
alone ^rb++++=alone
- ^zz++++=-and
and ^cc++++=EXTRAWORD
- ^zz++++=-everything.
everything ^pn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
very ^ql+amp+++=very
well ^rb++++=well
that ^cs+sub+++=that
nothing ^pn++++=nothing
but ^cc++++=but
trouble ^nn++++=trouble
could ^md+pos+++=could
come ^vb++++=come
to ^in++++=to
either ^dtx++++=either
of ^in++++=of
us ^pp1o+pp1+++=us
from ^in++++=from
your ^pp$+pp2+++=your
telling ^jj+++xvbg+=telling
me ^pp1o+pp1+++=me
a ^at++++=a
thing ^nn++++=thing
like ^in++++=like
that ^dt+pdem+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
puts ^vbz++++=puts
his ^pp$+pp3+++=his
hands ^nns++++=hands
up ^in+cmpx+++=up
to ^in"++++=to
his ^pp$+pp3+++=his
face ^nn++++=face
to ^to++++=to
keep ^vbi++++=keep
off ^rb+phrv+++=off
her ^pp3o+pp3+++=her
anger ^nn++++=anger.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+aux++=is
trembling ^nvbg+++xvbg+=trembling
with ^in++++=with
confusion ^nn++++=confusion.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
broke ^vbd+++xvbnx+=broke
in ^rb+phrv+++=in
penitently ^jj++++=penitently,
, ^zz++++=EXTRAWORD
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
pull ^vbi++++=pull
his ^pp$+pp3+++=his
hands ^nns++++=hands
away ^in+pl+++=away
from ^in"++++=from
his ^pp$+pp3+++=his
hot ^jj+atrb+++=hot
face ^nn++++=face:
: ^zz++++=EXTRAWORD
" ^zz++++="Never
never ^rb++++=EXTRAWORD
mind ^nn++++=mind!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
mean ^vb+vprv+++=mean
anything ^pn++++=anything.
. ^zz++++=EXTRAWORD
Be ^vb+be+vrb++=Be
good ^jj+pred+++=good,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
spoil ^vb++++=spoil
the ^ati++++=the
lovely ^jj+atrb+++=lovely
times ^nns++++=times
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
very ^ql+amp+++=very
well ^rb++++=well
father ^nn++++=father
and ^cc++++=and
mother ^nn++++=mother
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
us ^pp1o+pp1+++=us
see ^vb+vprv+++=see
each ^dt++++=each
other ^ap++++=other
at ^rb++++=at
all ^abn++++=all
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
- ^zz++++=-if
if ^cs+cnd+++=EXTRAWORD
they ^pp3a+pp3+++=they
thought ^vbd+++xvbnx+=thought
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
saying ^vbg+++xvbgx+=saying
anything ^pn++++=anything
such ^abl++++=such
as ^ql++++=as
you ^pp2+pp2+++=you
said ^vbd+vpub++xvbn+=said
just ^rb+emph+++=just
now ^rn+tm+++=now."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help
it ^pp3+it+++=it!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cries ^nns++++=cries
the ^ati++++=the
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
despairingly ^rb++++=despairingly.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
never ^rb++splt++=never
loved ^vprf+++xvbnx+=loved
anybody ^pn++++=anybody
at ^rb++++=at
all ^abn++++=all
till ^cs+sub+++=till
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
mean ^vb+vprv+++=mean
not ^xnot++not++=not
another ^dt++++=another
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
the ^ati++++=the
first ^rb++++=first
being ^vbg+beg++xvbg+=being
I ^pp1a+pp1+++=I
ever ^rb++++=ever
cared ^vbd+++xvbn+=cared
for ^in+ppvb+++=for.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sometimes ^rb++++=sometimes
think ^vb+vprv+tht0++=think
mother ^nn++++=mother
cares ^vbz++++=cares
for ^in+ppvb+++=for
me ^pp1o+pp1+++=me
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
pay ^vb++++=pay
the ^ati++++=the
rent ^nn++++=rent.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
office ^nn++++=office
- ^zz++++=-you
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
imagine ^vb+vprv+++=imagine
what ^wdt+who+whcl++=what
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
like ^in+strn+++=like.
. ^zz++++=EXTRAWORD
The ^ati++++=The
men ^nns++++=men
in ^in++++=in
it ^pp3+it+++=it
are ^vb+ber+aux++=are
moving ^vbg+++xvbgx+=moving
corpses ^nns++++=corpses.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They're
're ^vb+ber+vrb++0=EXTRAWORD
proud ^jj+pred+++=proud
to ^to+jcmp+++=to
be ^vbi++vrb++=be
that ^dt+dem+++=that
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
was ^vbd+bedz+vrb++=was
I ^pp1a+pp1+++=I
till ^cs+sub+++=till
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
you ^pp2+pp2+++=you
and ^cc++++=and
learned ^vbd+vprv++xvbn+=learned
what ^wdt+who+whcl++=what
life ^nn++++=life
was ^vbd+bedz+vrb++=was
like ^in+strn+++=like.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
happy ^jj+atrb+++=happy
moments ^nns+nom+++=moments
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
had ^vb+hv+aux++=had
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
tell ^vb++++=tell
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
not ^xnot++not++=not
to ^in++++=to
care ^nn++++=care
for ^in++++=for
each ^dt++++=each
other ^ap++++=other
-- ^--+clp+++=--"
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
some ^dti++++=some
one ^cd1++++=one
coming ^vbg+++xvbg+=coming
down ^rp++++=down
the ^ati++++=the
hall ^nn++++=hall.
. ^zz++++=EXTRAWORD
The ^ati++++=The
curtain ^nn++++=curtain
lifted ^vbd+++xvbn+=lifted.
. ^zz++++=EXTRAWORD
A ^at++++=A
middle ^jjb++++=middle-aged
- ^zz++++=EXTRAWORD
aged ^jj+atrb+++=EXTRAWORD
man ^nn++++=man
stood ^vbd+++xvbn+=stood
there ^ex+pex+++=there
looking ^vbg+++xvbg+=looking
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Culross,"
culross ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
disappointed ^vpsv++agls+xvbnx+=disappointed
in ^in++++=in
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
listen ^vbi++++=listen,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help
hearing ^vbg+vprv++xvbg+=hearing
what ^wdt+who+whcl++=what
you ^pp2+pp2+++=you
said ^vbd+vpub++xvbn+=said
just ^rb+emph+++=just
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
blame ^vb++++=blame
you ^pp2+pp2+++=you
particularly ^rb++++=particularly.
. ^zz++++=EXTRAWORD
Young ^jj+atrb+++=Young
men ^nns++++=men
will ^md+prd+++=will
be ^vb+be+vrb++=be
fools ^nns++++=fools.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do
not ^xnot++not++=not
in ^in++++=in
any ^dti++++=any
way ^nn++++=way
mean ^vb++++=mean
to ^to+vcmp+++=to
insult ^vb++++=insult
you ^pp2+pp2+++=you
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you
to ^to++++=to
stop ^vbi++++=stop
your ^pp$+pp2+++=your
coming ^nvbg+++xvbg+=coming
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
you ^pp2+pp2+++=you
inside ^jjb++++=inside
this ^dt+dem+++=this
door ^nn++++=door
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
a ^at++++=a
while ^cs+sub+++=while
you ^pp2+pp2+++=you
will ^md+prd+++=will
thank ^vb++++=thank
me ^pp1o+pp1+++=me
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
taken ^vprf+++xvbnx+=taken
a ^at++++=a
very ^ql+amp+++=very
unfair ^jj+atrb+++=unfair
advantage ^nn+nom+++=advantage
of ^in++++=of
my ^pp$+pp1+++=my
invitation ^nn+nom+++=invitation.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
make ^vb++++=make
allowances ^nns+nom+++=allowances
for ^in++++=for
your ^pp$+pp2+++=your
youth ^nn++++=youth."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
held ^vbd+vprv++xvbnx+=held
back ^jjb++++=back
the ^ati++++=the
curtain ^nn++++=curtain
for ^in++++=for
the ^ati++++=the
lad ^nn++++=lad
to ^to++++=to
pass ^vbi++++=pass
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
David ^np++++=David
threw ^vbd+++xvbn+=threw
a ^at++++=a
miserable ^jj+atrb+++=miserable
glance ^nn++++=glance
at ^in++++=at
the ^ati++++=the
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
standing ^vbg+++xvbgx+=standing
looking ^vbg+++xvbg+=looking
at ^rb++++=at
her ^pp3o+pp3+++=her
father ^npt++++=father
with ^in++++=with
an ^at++++=an
expression ^vb++++=expression
that ^tht+vcmp+obj++=that
David ^np++++=David
could ^md+pos+++=could
not ^xnot++not++=not
fathom ^vb++++=fathom.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
into ^in++++=into
the ^ati++++=the
hall ^nn++++=hall,
, ^zz++++=EXTRAWORD
picked ^j+++xvbn+=picked
up ^rp++++=up
his ^pp$+pp3+++=his
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
walked ^vbd+++xvbn+=walked
out ^rp+pl+++=out
in ^in++++=in
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
David ^np++++=David
wondered ^vbd+vprv++xvbn+=wondered
that ^dt+dem+++=that
night ^nn++++=night,
, ^zz++++=EXTRAWORD
walking ^vbg+++xvbg+=walking
the ^ati++++=the
chilly ^jj+atrb+++=chilly
streets ^nns++++=streets
after ^cs+sub+++=after
he ^pp3a+pp3+++=he
quitted ^vprf+++xvbn+=quitted
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
often ^rb+cnj+++=often,
, ^zz++++=EXTRAWORD
often ^rb++++=often
afterward ^rb+cnj+++=afterward,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
that ^dt+dem+++=that
comfortable ^jj+atrb+++=comfortable
and ^cc+phrs+++=and
prosperous ^jj+atrb+++=prosperous
gentleman ^nn+nom+++=gentleman,
, ^zz++++=EXTRAWORD
safe ^jj++++=safe
beyond ^in++++=beyond
the ^ati++++=the
perturbations ^nns+nom+++=perturbations
of ^in++++=of
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
any ^dti++++=any
idea ^nn++++=idea
of ^in++++=of
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
Could ^md+pos+++=COULD
he ^pp3a+pp3+++=he
know ^vb+vprv+tht0++=know
anything ^pn++++=anything
of ^in++++=of
the ^ati++++=the
black ^jj+atrb+++=black
monotony ^nn++++=monotony
of ^in++++=of
the ^ati++++=the
life ^nn++++=life
of ^in++++=of
the ^ati++++=the
man ^nn++++=man
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
from ^in++++=from
his ^pp$+pp3+++=his
door ^nn++++=door?
? ^zz++++=EXTRAWORD
The ^ati++++=The
" ^zz++++="desk's
desk ^nn++++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
dead ^jj+atrb+++=dead
wood ^nn++++=wood"
" ^zz++++=EXTRAWORD
and ^cc++++=and
all ^rb++++=all
its ^pp$+it+++=its
hateful ^jj+atrb+++=hateful
slavery ^nn+nom+++=slavery,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dull ^nn++++=dull
darkened ^vbd+++xvbn+=darkened
rooms ^nns++++=rooms
where ^wrb+who+++=where
his ^pp$+pp3+++=his
mother ^npt++++=mother
prosed ^vbd+++xvbn+=prosed
through ^in++++=through
endless ^jj+atrb+++=endless
evenings ^nns++++=evenings,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bookless ^jj++++=bookless,
, ^zz++++=EXTRAWORD
joyless ^jj+atrb+++=joyless,
, ^zz++++=EXTRAWORD
hopeless ^jj+atrb+++=hopeless
existence ^nn+nom+++=existence
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
cramped ^vprf+++xvbnx+=cramped
him ^pp3o+pp3+++=him
all ^abn++++=all
his ^pp$+pp3+++=his
days ^nns++++=days
rose ^vbd+++xvbn+=rose
up ^rp++++=up
before ^in++++=before
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
stretch ^nn++++=stretch
of ^in++++=of
unbroken ^jj+atrb+++=unbroken
plain ^nn++++=plain
may ^md+pos+++=may
rise ^vb++++=rise
before ^in++++=before
a ^at++++=a
lost ^jj+atrb++xvbn+=lost
man ^nn++++=man
till ^in++++=till
it ^pp3+it+++=it
maddens ^nns+++??+=maddens
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bowed ^jj+atrb++xvbn+=bowed
man ^nn++++=man
in ^in++++=in
the ^ati++++=the
car ^nn++++=car-seat
- ^zz++++=EXTRAWORD
seat ^nn++++=EXTRAWORD
remembered ^vwbn+vprv++xvbn+=remembered
with ^in++++=with
a ^at++++=a
flush ^rb++++=flush
of ^in++++=of
reminiscent ^jj+atrb+++=reminiscent
misery ^nn++++=misery
how ^wrb+who+++=how
the ^ati++++=the
lad ^nn++++=lad
turned ^vbd+++xvbn+=turned
suddenly ^rb++++=suddenly
in ^in++++=in
his ^pp$+pp3+++=his
walk ^nn++++=walk
and ^cc++++=and
entered ^vbd+++xvbn+=entered
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
a ^at++++=a
drinking ^jj+++xvbg+=drinking-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
that ^tht+rel+subj++=that
stood ^vprf+++xvbn+=stood
open ^jj++++=open.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
comfortable ^jj++++=comfortable
within ^in+strn+++=within.
. ^zz++++=EXTRAWORD
The ^ati++++=The
screens ^nn++++=screens
kept ^vbd+++xvbn+=kept
out ^rb+phrv+++=out
the ^ati++++=the
chill ^nn++++=chill
of ^in++++=of
the ^ati++++=the
autumn ^nn++++=autumn
night ^nn++++=night,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sawdust ^nn++++=sawdust-sprinkled
- ^zz++++=EXTRAWORD
sprinkled ^vbd+++xvbn+=EXTRAWORD
floor ^nn++++=floor
was ^vbd+bedz+vrb++=was
clean ^jj+pred+++=clean,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tables ^nns++++=tables
placed ^vwbn+++xvbn+=placed
near ^in+pl+++=near
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bar ^nn++++=bar
glittering ^jj++++=glittering,
, ^zz++++=EXTRAWORD
the ^ati++++=the
attendants ^nns+nom+++=attendants
white ^jj++++=white-aproned
- ^zz++++=EXTRAWORD
aproned ^jj+++xvbn+=EXTRAWORD
and ^cc+phrs+++=and
brisk ^jj++++=brisk.
. ^zz++++=EXTRAWORD
David ^np++++=David
liked ^vbd+++xvbn+=liked
the ^ati++++=the
place ^nn++++=place,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
liked ^vbd+++xvbnx+=liked
better ^jjr++++=better
still ^rb++++=still
the ^ati++++=the
laughter ^nn+nom+++=laughter
that ^tht+rel+subj++=that
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
a ^at++++=a
room ^nn++++=room
within ^in+strn+++=within.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vb+hv+vrb++=had
a ^at++++=a
note ^nn++++=note
in ^in++++=in
it ^pp3+it+++=it
a ^rb++++=a
little ^rb"++++=little
different ^jj++++=different
from ^in++++=from
anything ^pn++++=anything
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
heard ^vprf+++xvbnx+=heard
before ^in++++=before
in ^in++++=in
his ^pp$+pp3+++=his
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
that ^dt+pdem+++=that
echoed ^vbd+++xvbn+=echoed
his ^pp$+pp3+++=his
mood ^nn++++=mood.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
ventured ^vbd+++xvbnx+=ventured
to ^to+vcmp+++=to
ask ^vbi++++=ask
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
might ^md+pos+++=might
go ^vb++++=go
into ^in++++=into
the ^ati++++=the
farther ^rbr++++=farther
room ^nn++++=room.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
mean ^jj++++=mean
much ^ap++++=much
when ^wrb+who+++=when
most ^ap+emph+++=most
young ^jj+atrb+++=young
men ^nns++++=men
go ^vb++++=go
to ^in++++=to
a ^at++++=a
place ^nn++++=place
like ^in++++=like
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
take ^vb++++=take
their ^pp$+pp3+++=their
bit ^nn++++=bit
of ^in++++=of
unwholesome ^nn+++??+=unwholesome
dissipation ^nn+nom+++=dissipation
quietly ^rb++++=quietly
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
are ^vb+ber+vrb++=are
a ^rb++++=a
little ^rb"++++=little
coarser ^jjr++++=coarser
and ^cc++++=and
more ^rbr++++=more
careless ^jj++++=careless
each ^dt++++=each
time ^nn++++=time
they ^pp3a+pp3+++=they
indulge ^vb++++=indulge
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
certainly ^rb++++=certainly
their ^pp$+pp3+++=their
acts ^nns++++=acts,
, ^zz++++=EXTRAWORD
whatever ^nn+nom+++=whatever
gradual ^jj+atrb+++=gradual
deterioration ^nn+nom+++=deterioration
they ^pp3a+pp3+++=they
may ^md+pos+++=may
indicate ^nn+nom+++=indicate,
, ^zz++++=EXTRAWORD
bespeak ^nn+++??+=bespeak
no ^at++++=no
sudden ^jj+atrb+++=sudden
moral ^jj+atrb+++=moral
revolution ^nn+nom+++=revolution.
. ^zz++++=EXTRAWORD
With ^in++++=With
this ^dt+dem+++=this
young ^jj+atrb+++=young
clerk ^nn++++=clerk
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
different ^jj+pred+++=different.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
worse ^jjr+atrb+++=worse
man ^nn++++=man
from ^in++++=from
the ^ati++++=the
moment ^nn++++=moment
he ^pp3a+pp3+++=he
entered ^vbd+++xvbnx+=entered
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
