Some ^dti++++=Some
were ^vbd+bed+vrb++=were
on ^in++++=on
the ^ati++++=the
move ^nn++++=move.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
they ^pp3a+pp3+++=they
went ^vbd+++xvbnx+=went
Williams ^np++++=Williams
was ^vbd+bedz+aux++=was
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
write ^vbi++++=write
a ^at++++=a
letter ^nn++++=letter
or ^cc++++=or
two ^cd++++=two
and ^cc++++=and
clear ^vb++++=clear
up ^rp++++=up
some ^dti++++=some
odd ^jj+atrb+++=odd
bits ^nns++++=bits
of ^in++++=of
work ^nn++++=work.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
some ^dti++++=some
time ^nn++++=time
past ^jjb+atrb+++=past
midnight ^nn++++=midnight,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
disposed ^jj++agls+xvbnx+=disposed
to ^to+jcmp+++=to
turn ^vbi++++=turn
in ^rb+cnj+++=in,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
put ^vbd+++xvbnx+=put
out ^rb+phrv+++=out
his ^pp$+pp3+++=his
lamp ^nn++++=lamp
after ^in++++=after
lighting ^nn++++=lighting
his ^pp$+pp3+++=his
bedroom ^nn++++=bedroom
candle ^nn++++=candle.
. ^zz++++=EXTRAWORD
The ^ati++++=The
picture ^nn++++=picture
lay ^vbd+++xvbn+=lay
face ^nn++++=face
upwards ^rb++++=upwards
on ^in++++=on
the ^ati++++=the
table ^nn++++=table
where ^wrb+who+++=where
the ^ati++++=the
last ^jj+atrb+++=last
man ^nn++++=man
who ^whp+rel+subj++=who
looked ^vbd+++xvbn+=looked
at ^rb++++=at
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
put ^vprf+++xvbnx+=put
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
caught ^vbd+++xvbn+=caught
his ^pp$+pp3+++=his
eye ^nn++++=eye
as ^ql++++=as
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
the ^ati++++=the
lamp ^nn++++=lamp
down ^in+strn+++=down.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
made ^vprf+++xvbn+=made
him ^pp3o+pp3+++=him
very ^ql+amp+++=very
nearly ^rb+down+++=nearly
drop ^vb++++=drop
the ^ati++++=the
candle ^nn++++=candle
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
declares ^vbz+vpub+++=declares
now ^rn+tm+++=now
that ^dt+dem+++=that
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
left ^vpsv++agls+xvbnx+=left
in ^in++++=in
the ^ati++++=the
dark ^jj++++=dark
at ^rb++++=at
that ^dt+dem+++=that
moment ^nn++++=moment
he ^pp3a+pp3+++=he
would ^md+prd+++=would
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
a ^at++++=a
fit ^nn++++=fit.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
that ^dt+pdem+++=that
did ^vbd+dod+aux++=did
not ^xnot++not++=not
happen ^vb+++??+=happen
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
put ^vb+++xvbn+=put
down ^rb+phrv+++=down
the ^ati++++=the
light ^nn++++=light
on ^in++++=on
the ^ati++++=the
table ^nn++++=table
and ^cc++++=and
take ^vb++++=take
a ^at++++=a
good ^nn++++=good
look ^vb++++=look
at ^rb++++=at
the ^ati++++=the
picture ^nn++++=picture.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
indubitable ^jj+pred+++=indubitable--rankly
-- ^--+clp+++=EXTRAWORD
rankly ^jj++++=EXTRAWORD
impossible ^jj++++=impossible,
, ^zz++++=EXTRAWORD
no ^at++++=no
doubt ^nn++++=doubt,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
absolutely ^rb+amp+++=absolutely
certain ^jj++++=certain.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
the ^ati++++=the
lawn ^nn++++=lawn
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
the ^ati++++=the
unknown ^jj+atrb+++=unknown
house ^npl++++=house
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
figure ^nn++++=figure
where ^wrb+who+++=where
no ^at++++=no
figure ^nn++++=figure
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
at ^rb++++=at
five ^cd++++=five
o'clock ^rb++++=o'clock
that ^cs+sub+++=that
afternoon ^nn++++=afternoon.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
crawling ^nvbg+++xvbg+=crawling
on ^in++++=on
all ^abn++++=all-fours
- ^zz++++=EXTRAWORD
fours ^cds++++=EXTRAWORD
towards ^in++++=towards
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
muffled ^jj+pred+++=muffled
in ^in++++=in
a ^at++++=a
strange ^jj+atrb+++=strange
black ^jj+atrb+++=black
garment ^nn+nom+++=garment
with ^in++++=with
a ^at++++=a
white ^jj+atrb+++=white
cross ^nn++++=cross
on ^in++++=on
the ^ati++++=the
back ^nn++++=back.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
what ^wdt+who+++=what
is ^vbz+bez+vrb++=is
the ^ati++++=the
ideal ^jj+atrb+++=ideal
course ^nn++++=course
to ^to++++=to
pursue ^vbi++++=pursue
in ^in++++=in
a ^at++++=a
situation ^nn+nom+++=situation
of ^in++++=of
this ^dt+dem+++=this
kind ^nn++++=kind.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
only ^rb+down+splt++=only
tell ^vb++++=tell
you ^pp2+pp2+++=you
what ^wdt+who+++=what
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Williams ^np++++=Williams
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
the ^ati++++=the
picture ^nn++++=picture
by ^in++++=by
one ^cd1++++=one
corner ^nn++++=corner
and ^cc++++=and
carried ^vbd+++xvbn+=carried
it ^pp3+it+++=it
across ^in+pl+++=across
the ^ati++++=the
passage ^nn+nom+++=passage
to ^in++++=to
a ^at++++=a
second ^od++++=second
set ^nn+++xvbn+=set
of ^in++++=of
rooms ^nns++++=rooms
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
possessed ^vbd+++xvbnx+=possessed.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
he ^pp3a+pp3+++=he
locked ^vbd+++xvbnx+=locked
it ^pp3+it+++=it
up ^rp++++=up
in ^in++++=in
a ^at++++=a
drawer ^nn++++=drawer,
, ^zz++++=EXTRAWORD
sported ^j+++xvbn+=sported
the ^ati++++=the
doors ^nns++++=doors
of ^in++++=of
both ^abx++++=both
sets ^nns++++=sets
of ^in++++=of
rooms ^nns++++=rooms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
retired ^vpsv++agls+xvbn+=retired
to ^in++++=to
bed ^nn++++=bed;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
first ^rb++++=first
he ^pp3a+pp3+++=he
wrote ^vbd+vprv++xvbnx+=wrote
out ^rp+pl+++=out
and ^cc++++=and
signed ^vbd+++xvbn+=signed
an ^at++++=an
account ^nn++++=account
of ^in++++=of
the ^ati++++=the
extraordinary ^jj+atrb+++=extraordinary
change ^nn++++=change
which ^whp+rel+obj++=which
the ^ati++++=the
picture ^nn++++=picture
had ^vbd+hvd+aux++=had
undergone ^vprf+++xvbn+=undergone
since ^cs+sub+++=since
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
into ^in+ppvb+++=into
his ^pp$+pp3+++=his
possession ^nn++++=possession.
. ^zz++++=EXTRAWORD
Sleep ^vb++++=Sleep
visited ^vbd+++xvbn+=visited
him ^pp3o+pp3+++=him
rather ^rb++++=rather
late ^jj++++=late;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
consoling ^nn+nom+++=consoling
to ^to++++=to
reflect ^vbi+vprv+++=reflect
that ^tht+vcmp+++=that
the ^ati++++=the
behaviour ^nn++++=behaviour
of ^in++++=of
the ^ati++++=the
picture ^nn++++=picture
did ^vbd+dod+aux++=did
not ^xnot++not++=not
depend ^vb++++=depend
upon ^in++++=upon
his ^pp$+pp3+++=his
own ^ap++++=own
unsupported ^jj+atrb+++=unsupported
testimony ^nn++++=testimony.
. ^zz++++=EXTRAWORD
Evidently ^rb++++=Evidently
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
looked ^vprf+++xvbnx+=looked
at ^rb++++=at
it ^pp3+it+++=it
the ^ati++++=the
night ^nn++++=night
before ^cs+sub+++=before
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
something ^pn++++=something
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
kind ^nn++++=kind
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
otherwise ^rb+cnj+++=otherwise
he ^pp3a+pp3+++=he
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
tempted ^vpsv++agls+xvbnx+=tempted
to ^to+vcmp+++=to
think ^vbi+vprv+++=think
that ^tht+vcmp+++=that
something ^pn++++=something
gravely ^rb++++=gravely
wrong ^jj++++=wrong
was ^vbd+bedz+aux++=was
happening ^vbg+++xvbgx+=happening
either ^dtx++++=either
to ^in++++=to
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
or ^cc++++=or
his ^pp$+pp3+++=his
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
possibility ^nn+nom+++=possibility
being ^vwbg+beg++xvbg+=being
fortunately ^rb++++=fortunately
precluded ^vbd+++xvbn+=precluded,
, ^zz++++=EXTRAWORD
two ^cd++++=two
matters ^nns+nom+++=matters
awaited ^vbd+++xvbn+=awaited
him ^pp3o+pp3+++=him
on ^in++++=on
the ^ati++++=the
morrow ^nn++++=morrow.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
must ^md+nec+++=must
take ^vb++++=take
stock ^nn++++=stock
of ^in++++=of
the ^ati++++=the
picture ^nn++++=picture
very ^ql+amp+++=very
carefully ^rb+cnj+++=carefully,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
call ^nn++++=call
in ^in++++=in
a ^at++++=a
witness ^nns+nom+++=witness
for ^in++++=for
the ^ati++++=the
purpose ^nn++++=purpose,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
must ^md+nec+++=must
make ^vb++++=make
a ^at++++=a
determined ^jj+atrb++xvbn+=determined
effort ^nn++++=effort
to ^to+ncmp+++=to
ascertain ^vbi+vprv+++=ascertain
what ^wdt+who+whcl++=what
house ^nn++++=house
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
that ^tht+vcmp+++=that
was ^vbd+bedz+aux++=was
represented ^vpsv++agls+xvbnx+=represented.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
therefore ^rb+cnj+splt++=therefore
ask ^vb++++=ask
his ^pp$+pp3+++=his
neighbour ^nn++++=neighbour
Nisbet ^np+++??+=Nisbet
to ^in++++=to
breakfast ^nn++++=breakfast
with ^in++++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
would ^md+prd+++=would
subsequently ^rb+tm+splt++=subsequently
spend ^vb++++=spend
a ^at++++=a
morning ^nn++++=morning
over ^in++++=over
the ^ati++++=the
gazetteer ^nn+nom+++=gazetteer.
. ^zz++++=EXTRAWORD
Nisbet ^np+++??+=Nisbet
was ^vbd+bedz+aux++=was
disengaged ^vpsv++agls+xvbnx+=disengaged,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arrived ^vpsv++agls+xvbn+=arrived
about ^in++++=about
9.30 ^cd++++=9.30.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
host ^nn++++=host
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
quite ^abl++++=quite
dressed ^jj+++xvbn+=dressed,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
sorry ^jj++++=sorry
to ^to+jcmp+++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
even ^rb++++=even
at ^rb++++=at
this ^dt+dem+++=this
late ^jj+atrb+++=late
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
During ^in++++=During
breakfast ^nn++++=breakfast
nothing ^pn++++=nothing
was ^vbd+bedz+aux++=was
said ^vpsv++agls+xvbnx+=said
about ^in++++=about
the ^ati++++=the
mezzotint ^nn++++=mezzotint
by ^in++++=by
Williams ^np++++=Williams,
, ^zz++++=EXTRAWORD
save ^cs+sub+++=save
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
picture ^nn++++=picture
on ^in++++=on
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
wished ^vbd+vprv++xvbnx+=wished
for ^in++++=for
Nisbet ^np++++=Nisbet's
's ^$++++=EXTRAWORD
opinion ^nn++++=opinion.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
familiar ^jj+pred+++=familiar
with ^in++++=with
University ^nn+nom+++=University
life ^nn++++=life
can ^md+pos+++=can
picture ^vb++++=picture
for ^in++++=for
themselves ^ppls+pp3+++=themselves
the ^ati++++=the
wide ^jj+atrb+++=wide
and ^cc+phrs+++=and
delightful ^jj+atrb+++=delightful
range ^nn++++=range
of ^in++++=of
subjects ^nns++++=subjects
over ^in++++=over
which ^whp+rel+pied++=which
the ^ati++++=the
conversation ^nn+nom+++=conversation
of ^in++++=of
two ^cd++++=two
Fellows ^nns++++=Fellows
of ^in++++=of
Canterbury ^np++++=Canterbury
College ^nn++++=College
is ^vbz+bez+vrb++=is
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
extend ^vbi++++=extend
during ^in++++=during
a ^at++++=a
Sunday ^nr++++=Sunday
morning ^nn++++=morning
breakfast ^nn++++=breakfast.
. ^zz++++=EXTRAWORD
Hardly ^rb+down+++=Hardly
a ^at++++=a
topic ^nn++++=topic
was ^vbd+bedz+aux++=was
left ^vpsv++agls+xvbnx+=left
unchallenged ^jj++++=unchallenged,
, ^zz++++=EXTRAWORD
from ^in++++=from
golf ^nn++++=golf
to ^in++++=to
lawn ^nn++++=lawn-tennis.
- ^zz++++=EXTRAWORD
tennis ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
bound ^jj++agls+xvbnx+=bound
to ^to+jcmp+++=to
say ^vbi+vpub+++=say
that ^tht+vcmp+++=that
Williams ^np++++=Williams
was ^vbd+bedz+aux++=was
rather ^rb++splt++=rather
distraught ^vpsv++agls+xvbnx+=distraught;
; ^zz++++=EXTRAWORD
for ^in++++=for
his ^pp$+pp3+++=his
interest ^nn++++=interest
naturally ^rb++++=naturally
centred ^jj+++xvbn+=centred
in ^cs+sub+++=in
that ^cs"++++=that
very ^ql+amp+++=very
strange ^jj+atrb+++=strange
picture ^nn++++=picture
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
now ^rn+tm+splt++=now
reposing ^vbg+++xvbgx+=reposing,
, ^zz++++=EXTRAWORD
face ^nn++++=face
downwards ^rb+cnj+++=downwards,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
drawer ^nn++++=drawer
in ^in++++=in
the ^ati++++=the
room ^nn++++=room
opposite ^nn++++=opposite.
. ^zz++++=EXTRAWORD
The ^ati++++=The
morning ^nn++++=morning
pipe ^nn++++=pipe
was ^vbd+bedz+vrb++=was
at ^rb++++=at
last ^rb"++++=last
lighted ^jj+++xvbn+=lighted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
moment ^nn++++=moment
had ^vbd+hvd+aux++=had
arrived ^vprf+++xvbnx+=arrived
for ^in++++=for
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked.
. ^zz++++=EXTRAWORD
With ^in++++=With
very ^ql+amp+++=very
considerable ^jj++++=considerable--almost
-- ^--+clp+++=EXTRAWORD
almost ^rb+hdg+++=EXTRAWORD
tremulous ^jj++++=tremulous--excitement,
-- ^--+clp+++=EXTRAWORD
excitement ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ran ^vbd+++xvbnx+=ran
across ^in+ppvb+++=across,
, ^zz++++=EXTRAWORD
unlocked ^j+++xvbn+=unlocked
the ^ati++++=the
drawer ^nn++++=drawer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
extracting ^j++++=extracting
the ^ati++++=the
picture ^nn++++=picture--still
-- ^--+clp+++=EXTRAWORD
still ^rb++++=EXTRAWORD
face ^vb++++=face
downwards ^rb++++=downwards--ran
-- ^--+clp+++=EXTRAWORD
ran ^j+++xvbn+=EXTRAWORD
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vb+++xvbn+=put
it ^pp3+it+++=it
into ^in++++=into
Nisbet ^np++++=Nisbet's
's ^$++++=EXTRAWORD
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,"
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Nisbet,
nisbet ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
you ^pp2+pp2+++=you
to ^to++++=to
tell ^vbi++++=tell
me ^pp1o+pp1+++=me
exactly ^rb++++=exactly
what ^wdt+who+++=what
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
in ^cs+sub+++=in
that ^cs"++++=that
picture ^nn++++=picture.
. ^zz++++=EXTRAWORD
Describe ^vb++++=Describe
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
rather ^rb++++=rather
minutely ^rb++++=minutely.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
why ^wrb+who+++=why
afterwards ^rb+tm+++=afterwards."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Nisbet ^np+++??+=Nisbet,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
here ^rn+pl+++=here
a ^at++++=a
view ^nn++++=view
of ^in++++=of
a ^at++++=a
country-house ^nn+++??+=country-house--English,
-- ^--+clp+++=EXTRAWORD
english ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
presume ^vb+vprv+++=presume--by
-- ^--+clp+++=EXTRAWORD
by ^in++++=EXTRAWORD
moonlight ^nn++++=moonlight.
. ^zz++++=EXTRAWORD
" ^zz++++="Moonlight?
moonlight ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+vrb++0=EXTRAWORD
sure ^jj+pred+++=sure
of ^in++++=of
that ^dt+pdem+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Certainly.
certainly ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
moon ^nn++++=moon
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi++vrb++=be
on ^in++++=on
the ^ati++++=the
wane ^nn+++??+=wane,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
wish ^vb+vprv+++=wish
for ^in++++=for
details ^nns++++=details,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
clouds ^nns++++=clouds
in ^in++++=in
the ^ati++++=the
sky ^nn++++=sky."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj++++=right.
. ^zz++++=EXTRAWORD
Go ^vb++++=Go
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
swear ^vb+vpub++xvbn+=swear,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
added ^vbd+vpub++xvbn+=added
Williams ^np++++=Williams
in ^in++++=in
an ^at++++=an
aside ^rp++++=aside,
, ^zz++++=EXTRAWORD
" ^zz++++="there
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
no ^at++++=no
moon ^np++++=moon
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
it ^pp3+it+++=it
first ^rb++++=first."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
much ^ap++++=much
more ^rbr++++=more
to ^to++++=to
be ^vbi+vbi+aux++=be
said ^vpsv++agls+xvbnx+=said,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Nisbet ^np+++??+=Nisbet
continued ^vbd+++xvbn+=continued.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
house ^nn++++=house
has ^vbz+hvz+vrb++=has
one ^pn++++=one--two--three
-- ^--+clp+++=EXTRAWORD
two ^cd++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
three ^cd++++=EXTRAWORD
rows ^nns++++=rows
of ^in++++=of
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
five ^cd++++=five
in ^in++++=in
each ^dt++++=each
row ^nn++++=row,
, ^zz++++=EXTRAWORD
except ^in++++=except
at ^rb++++=at
the ^ati++++=the
bottom ^nn++++=bottom,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
porch ^nn++++=porch
instead ^rb+cnj+++=instead
of ^in++++=of
the ^ati++++=the
middle ^jjb+atrb+++=middle
one ^pn++++=one,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
what ^wdt+who+++=what
about ^in++++=about
figures ^nns++++=figures?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Williams ^np++++=Williams,
, ^zz++++=EXTRAWORD
with ^in++++=with
marked ^jj+atrb++xvbn+=marked
interest ^nn++++=interest.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
are ^vb+ber+vrb++=aren't
n't ^xnot++not++0=EXTRAWORD
any ^dti++++=any,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Nisbet ^np+++??+=Nisbet;
; ^zz++++=EXTRAWORD
" ^zz++++="but----"
but ^cc++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What!
what ^wdt+who+++=EXTRAWORD
! ^zz++++=EXTRAWORD
No ^at++++=No
figure ^nn++++=figure
on ^in++++=on
the ^ati++++=the
grass ^nn++++=grass
in ^in++++=in
front ^jjb++++=front?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
a ^at++++=a
thing ^nn++++=thing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
swear ^vb+vpub++xvbn+=swear
to ^in++++=to
that ^dt+pdem+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Certainly
certainly ^rb++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
just ^rb+emph+++=just
one ^cd1++++=one
other ^ap++++=other
thing ^nn++++=thing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What?"
what ^wdt+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
windows ^nns++++=windows
on ^in++++=on
the ^ati++++=the
ground-floor ^jjb++++=ground-floor--left
-- ^--+clp+++=EXTRAWORD
left ^j+++xvbn+=EXTRAWORD
of ^in++++=of
the ^ati++++=the
door ^nn++++=door--is
-- ^--+clp+++=EXTRAWORD
is ^vbz+bez+vrb++=EXTRAWORD
open ^jj+pred+++=open."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
it ^pp3+it+++=it
really ^rb+emph+++=really?
? ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
goodness ^nns+nom+++=goodness!
! ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
must ^md+nec+++=must
have ^vb+hv+aux++=have
got ^vprf+++xvbnx+=got
in ^rb+cnj+++=in,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Williams ^np++++=Williams,
, ^zz++++=EXTRAWORD
with ^in++++=with
great ^jj+atrb+++=great
excitement ^nn+nom+++=excitement;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
