Do ^vb+do+aux++=Do
turned ^vbd+++xvbnx+=turned
into ^in++++=into
my ^pp$+pp1+++=my
bunk ^nn++++=bunk
and ^cc++++=and
watched ^vbd+++xvbn+=watched
Tom ^np++++=Tom
sitting ^vwbg+++xvbg+=sitting
by ^in++++=by
the ^ati++++=the
fire ^nn++++=fire
splicing ^vwbg+++xvbg+=splicing
two ^cd++++=two
sticks ^nns++++=sticks
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
I ^pp1a+pp1+++=I
fell ^vbd+++xvbnx+=fell
asleep ^jj++++=asleep.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+tht0++=suppose
I ^pp1a+pp1+++=I
must ^md+nec+++=must
have ^vb+hv+aux++=have
slept ^vprf+++xvbnx+=slept
about ^in++++=about
two ^cd++++=two
hours ^nns++++=hours;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
awoke ^vbd+++xvbnx+=awoke
Tom ^np++++=Tom
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
sitting ^vbg+++xvbgx+=sitting
working ^jj+++xvbg+=working
away ^rp+pl+++=away
in ^in++++=in
almost ^rb+hdg+++=almost
the ^ati++++=the
same ^ap++++=same
position ^nn+nom+++=position.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
fixed ^vprf+++xvbnx+=fixed
the ^ati++++=the
one ^cd1++++=one
stick ^vb++++=stick
across ^in+pl+++=across
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
other ^ap++++=other
so ^rb++++=so
as ^in++++=as
to ^in++++=to
form ^nn++++=form
a ^at++++=a
rough ^jj+atrb+++=rough
T ^zz++++=T,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
busy ^jj+pred+++=busy
in ^in++++=in
fitting ^xvbg+++xvbg+=fitting
a ^at++++=a
smaller ^nn++++=smaller
stick ^vb++++=stick
into ^in++++=into
the ^ati++++=the
angle ^nn++++=angle
between ^in++++=between
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
by ^in++++=by
manipulating ^xvbg+++xvbg+=manipulating
which ^whp+who+++=which,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cross ^nn++++=cross
one ^cd1++++=one
could ^md+pos+++=could
be ^vb+be+vrb++=be
either ^dtx++++=either
cocked ^jj+++xvbn+=cocked
up ^rp++++=up
or ^cc++++=or
depressed ^vpsv++agls+xvbn+=depressed
to ^in++++=to
any ^dti++++=any
extent ^nn++++=extent.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
cut ^vprf+++xvbnx+=cut
notches ^nns++++=notches,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
perpendicular ^nn++++=perpendicular
stick ^vb++++=stick,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
aid ^nn++++=aid
of ^in++++=of
the ^ati++++=the
small ^jj+atrb+++=small
prop ^nn++++=prop,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cross ^nn++++=cross
one ^cd1++++=one
could ^md+pos+++=could
be ^vb+be+aux++=be
kept ^vpsv++agls+xvbnx+=kept
in ^rb+phrv+++=in
any ^dti++++=any
position ^nn+nom+++=position
for ^in++++=for
an ^at++++=an
indefinite ^jj+atrb+++=indefinite
time ^nn++++=time.
. ^zz++++=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
Jack ^np++++=Jack!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
awake ^jj+pred+++=awake.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
and ^cc+phrs+++=and
give ^vb++++=give
me ^pp1o+pp1+++=me
your ^pp$+pp2+++=your
opinion ^nn++++=opinion.
. ^zz++++=EXTRAWORD
Suppose ^vb+vprv+tht0++=Suppose
I ^pp1a+pp1+++=I
put ^vbd+++xvbnx+=put
this ^dt+dem+++=this
cross ^jj++++=cross-stick
- ^zz++++=EXTRAWORD
stick ^vb++++=EXTRAWORD
pointing ^vbg+++xvbg+=pointing
straight ^jj++++=straight
at ^rb++++=at
a ^at++++=a
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arranged ^vbd+vsua++xvbn+=arranged
this ^dt+dem+++=this
small ^jj+atrb+++=small
one ^cd1++++=one
so ^rb++++=so
as ^in++++=as
to ^in"++++=to
keep ^vb++++=keep
it ^pp3+it+++=it
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
left ^nn+++xvbn+=left
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
find ^vb+vprv+++=find
that ^tht+vcmp+++=that
thing ^nn++++=thing
again ^rb+tm+++=again
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
it--do ^nn+++??+=it--don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
could ^md+pos+++=could,
, ^zz++++=EXTRAWORD
Jack--do ^np+++??+=Jack--don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
so ^ql++++=so?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued,
, ^zz++++=EXTRAWORD
nervously ^rb+cnj+++=nervously,
, ^zz++++=EXTRAWORD
clutching ^vbg+++xvbg+=clutching
me ^pp1o+pp1+++=me
by ^in++++=by
the ^ati++++=the
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
answered ^vbd+vpub++xvbnx+=answered,
, ^zz++++=EXTRAWORD
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
would ^md+prd+++=would
depend ^vb++++=depend
on ^in++++=on
how ^wrb+who+++=how
far ^rb+pl+++=far
off ^in+pl+++=off
the ^ati++++=the
thing ^nn++++=thing
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
accurately ^rb++++=accurately
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
pointed ^vpsv++agls+xvbnx+=pointed.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
any ^dti++++=any
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
cut ^vprf+++xvbnx+=cut
sights ^nns++++=sights
on ^in++++=on
your ^pp$+pp2+++=your
cross ^jj++++=cross-stick;
- ^zz++++=EXTRAWORD
stick ^vb++++=EXTRAWORD
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
a ^at++++=a
string ^nn++++=string
tied ^vbd+++xvbn+=tied
to ^in++++=to
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
held ^vpsv++agls+xvbn+=held
in ^in++++=in
a ^at++++=a
plumb ^nn+++??+=plumb-line
- ^zz++++=EXTRAWORD
line ^nn++++=EXTRAWORD
forward ^nn++++=forward,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
lend ^vb++++=lend
you ^pp2+pp2+++=you
pretty ^rb++++=pretty
near ^rb++++=near
what ^wdt+who+++=what
you ^pp2+pp2+++=you
wanted ^vbd+++xvbn+=wanted.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
surely ^rb+cnj+++=surely,
, ^zz++++=EXTRAWORD
Tom ^np++++=Tom,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
intend ^vb++++=intend
to ^to+vcmp+++=to
localise ^vbi++++=localise
the ^ati++++=the
ghost ^nn++++=ghost
in ^cs+sub+++=in
that ^cs"++++=that
way ^nn++++=way?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
see ^vb+vprv+++=see
to ^to+vcmp+++=to-night,
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
friend--you ^nn+++??+=friend--you'll
'll ^md+prd+++0=EXTRAWORD
see ^vb+vprv+++=see
to ^to+vcmp+++=to-night.
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
carry ^vb++++=carry
this ^dt+dem+++=this
to ^in++++=to
the ^ati++++=the
Sasassa ^np+++??+=Sasassa
Valley ^nn++++=Valley.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
get ^vb++++=get
the ^ati++++=the
loan ^nn++++=loan
of ^in++++=of
Madison ^np++++=Madison's
's ^$++++=EXTRAWORD
crowbar ^nn++++=crowbar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
come ^vb++++=come
with ^in++++=with
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
mind ^nn++++=mind
you ^pp2+pp2+++=you
tell ^vb++++=tell
no ^at++++=no
man ^nn++++=man
where ^wrb+who+++=where
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
going ^vbg+++xvbgx+=going,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
what ^wdt+who+++=what
you ^pp2+pp2+++=you
want ^vb++++=want
it ^pp3+it+++=it
for ^in+strn+++=for."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
All ^abn++++=All
day ^nn++++=day
Tom ^np++++=Tom
was ^vbd+bedz+aux++=was
walking ^vbg+++xvbgx+=walking
up ^rp++++=up
and ^cc++++=and
down ^in++++=down
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
working ^jj+++xvbg+=working
hard ^jj++++=hard
at ^rb++++=at
the ^ati++++=the
apparatus ^nn++++=apparatus.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
glistening ^jj+pred+++=glistening,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
cheeks ^nns++++=cheeks
hectic ^jj++++=hectic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
all ^abn++++=all
the ^ati++++=the
symptoms ^nns++++=symptoms
of ^in++++=of
high ^jj+atrb+++=high
fever ^nn++++=fever.
. ^zz++++=EXTRAWORD
" ^zz++++="Heaven
heaven ^nn++++=EXTRAWORD
grant ^vb++++=grant
that ^tht+vcmp+obj++=that
Dick ^np++++=Dick's
's ^$++++=EXTRAWORD
diagnosis ^nn++++=diagnosis
be ^vb+be+vrb++=be
not ^xnot++not++=not
correct ^jj++++=correct!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
returned ^vbd+++xvbnx+=returned
with ^in++++=with
the ^ati++++=the
crowbar ^nn++++=crowbar;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
as ^in++++=as
evening ^nn++++=evening
drew ^vbd+++xvbn+=drew
near ^in+strn+++=near,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv+tht0+xvbnx+=found
myself ^ppl+pp1+++=myself
imperceptibly ^rb++++=imperceptibly
sharing ^vbg+++xvbg+=sharing
the ^ati++++=the
excitement ^nn+nom+++=excitement.
. ^zz++++=EXTRAWORD
About ^in++++=About
six ^cd++++=six
o'clock ^rb++++=o'clock
Tom ^np++++=Tom
sprang ^vbd+++xvbn+=sprang
to ^in++++=to
his ^pp$+pp3+++=his
feet ^nns++++=feet
and ^cc++++=and
seized ^vbd+++xvbn+=seized
his ^pp$+pp3+++=his
sticks ^nns++++=sticks.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
stand ^vb++++=stand
it ^pp3+it+++=it
no ^at++++=no
longer ^rbr++++=longer,
, ^zz++++=EXTRAWORD
Jack ^np++++=Jack,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried;
; ^zz++++=EXTRAWORD
" ^zz++++="up
up ^rb+phrv+++=EXTRAWORD
with ^in+ppvb+++=with
your ^pp$+pp2+++=your
crowbar ^nn++++=crowbar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hey ^uh++++=hey
for ^in++++=for
Sasassa ^np+++??+=Sasassa
Valley ^nn++++=Valley!
! ^zz++++=EXTRAWORD
To-night ^np++++=To-night's
's ^$++++=EXTRAWORD
work ^nn++++=work,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
lad ^nn++++=lad,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
either ^dtx++++=either
make ^vb++++=make
us ^pp1o+pp1+++=us
or ^cc++++=or
mar ^np++++=mar
us ^pp1o+pp1+++=us!
! ^zz++++=EXTRAWORD
Take ^vb++++=Take
your ^pp$+pp2+++=your
six ^cd++++=six-shooter,
- ^zz++++=EXTRAWORD
shooter ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
case ^nn++++=case
we ^pp1a+pp1+++=we
meet ^vb++++=meet
the ^ati++++=the
Kaffirs ^np+++??+=Kaffirs.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
dare ^vb++++=daren't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
Jack ^np++++=Jack,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued,
, ^zz++++=EXTRAWORD
putting ^vbg+++xvbg+=putting
his ^pp$+pp3+++=his
hands ^nns++++=hands
upon ^in++++=upon
my ^pp$+pp1+++=my
shoulders ^nns+nom+++=shoulders-"I
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
dare ^vb++++=daren't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
mine ^pp$$++++=mine;
; ^zz++++=EXTRAWORD
for ^in++++=for
if ^cs+cnd+++=if
my ^pp$+pp1+++=my
ill ^jj+atrb+++=ill
luck ^nn++++=luck
sticks ^nns++++=sticks
to ^in++++=to
me ^pp1o+pp1+++=me
to ^to++++=to-night,
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
might ^md+pos+++=might
not ^xnot++not++=not
do ^vb+do+vrb++=do
with ^in++++=with
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
filled ^vprf+++xvbn+=filled
our ^pp$+pp1+++=our
pockets ^nns++++=pockets
with ^in++++=with
provisions ^nns++++=provisions,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
set ^vbd+++xvbn+=set
out ^rb+cnj+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
took ^vbd+++xvbn+=took
our ^pp$+pp1+++=our
wearisome ^jj+atrb+++=wearisome
way ^nn++++=way
toward ^in++++=toward
the ^ati++++=the
Sasassa ^np+++??+=Sasassa
Valley ^nn++++=Valley,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
frequently ^rb++++=frequently
attempted ^vb+++xvbn+=attempted
to ^to+vcmp+++=to
elicit ^vbi++++=elicit
from ^in++++=from
my ^pp$+pp1+++=my
companion ^nn++++=companion
some ^dti++++=some
clue ^nn++++=clue
as ^in++++=as
to ^in++++=to
his ^pp$+pp3+++=his
intentions ^nns+nom+++=intentions.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
his ^pp$+pp3+++=his
only ^rb+down+++=only
answer ^nn++++=answer
was ^vbd+bedz+vrb++=was:
: ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
us ^pp1o+pp1+++=us
hurry ^np++++=hurry
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
Jack ^np++++=Jack.
. ^zz++++=EXTRAWORD
Who ^whp+who+++=Who
knows ^vbz+vprv+++=knows
how ^wrb+who+whcl++=how
many ^ap++++=many
have ^vb+hv+aux++=have
heard ^vprf+++xvbnx+=heard
of ^in++++=of
Wharton ^np++++=Wharton's
's ^$++++=EXTRAWORD
adventure ^nn++++=adventure
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time!
! ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
us ^pp1o+pp1+++=us
hurry ^np++++=hurry
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
we ^pp1a+pp1+++=we
may ^md+pos+++=may
not ^xnot++not++=not
be ^vb+be+vrb++=be
first ^rb++++=first
in ^in++++=in
the ^ati++++=the
field ^nn++++=field!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
struggled ^vbd+++xvbn+=struggled
on ^in++++=on
through ^in++++=through
the ^ati++++=the
hills ^nns++++=hills
for ^in++++=for
a ^at++++=a
matter ^nn++++=matter
of ^in++++=of
ten ^cd++++=ten
miles ^nns++++=miles;
; ^zz++++=EXTRAWORD
till ^cs+sub+++=till
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
after ^in++++=after
descending ^xvbg+++xvbg+=descending
a ^at++++=a
crag ^npl++++=crag,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
saw ^vbd+vprv++xvbn+=saw
opening ^nvbg+++xvbg+=opening
out ^rp+pl+++=out
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
us ^pp1o+pp1+++=us
a ^at++++=a
ravine ^npl++++=ravine
so ^ql+emph+++=so
sombre ^jj++++=sombre
and ^cc+phrs+++=and
dark ^jj++++=dark
that ^dt+dem+++=that
it ^pp3+it+++=it
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
gate ^nn++++=gate
of ^in++++=of
Hades ^np++++=Hades
itself ^ppl++++=itself;
; ^zz++++=EXTRAWORD
cliffs ^nns++++=cliffs
many ^ap++++=many
hundred ^cd++++=hundred
feet ^nns++++=feet
shut ^vbd+++xvbn+=shut
in ^rb+phrv+++=in
on ^in++++=on
every ^at++++=every
side ^nn++++=side
the ^ati++++=the
gloomy ^jj+atrb+++=gloomy
boulder ^nn++++=boulder-studded
- ^zz++++=EXTRAWORD
studded ^xvbn+++xvbn+=EXTRAWORD
passage ^npl+nom+++=passage
which ^whp+rel+subj++=which
led ^vwbn+++xvbn+=led
through ^in++++=through
the ^ati++++=the
haunted ^nn++++=haunted
defile ^vb++++=defile
into ^in++++=into
Kaffirland ^np+++??+=Kaffirland.
. ^zz++++=EXTRAWORD
The ^ati++++=The
moon ^nn++++=moon,
, ^zz++++=EXTRAWORD
rising ^jj+++xvbg+=rising
above ^jjb++++=above
the ^ati++++=the
crags ^nns+++??+=crags,
, ^zz++++=EXTRAWORD
threw ^j+++xvbn+=threw
into ^in++++=into
strong ^jj+atrb+++=strong
relief ^nn++++=relief
the ^ati++++=the
rough ^jj++++=rough,
, ^zz++++=EXTRAWORD
irregular ^nn++++=irregular
pinnacles ^nns++++=pinnacles
of ^in++++=of
rock ^nn++++=rock
by ^in++++=by
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
topped ^vpsv++agls+xvbnx+=topped,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
all ^abn++++=all
below ^rb++++=below
was ^vbd+bedz+vrb++=was
dark ^jj+pred+++=dark
as ^ql++++=as
Erebus ^np++++=Erebus.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
Sasassa ^np+++??+=Sasassa
Valley ^nn++++=Valley?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Tom ^np++++=Tom.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
calm ^nn++++=calm
now ^rn+tm+++=now;
; ^zz++++=EXTRAWORD
the ^ati++++=the
flush ^rb++++=flush
and ^cc++++=and
feverishness ^nns+nom+++=feverishness
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
away ^rp+pl+++=away;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
actions ^nns+nom+++=actions
were ^vbd+bed+vrb++=were
deliberate ^jj+pred+++=deliberate
and ^cc+phrs+++=and
slow ^jj++++=slow.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
certain ^jj+atrb+++=certain
rigidity ^nn+nom+++=rigidity
in ^in++++=in
his ^pp$+pp3+++=his
face ^nn++++=face
and ^cc++++=and
glitter ^nn++++=glitter
in ^in++++=in
his ^pp$+pp3+++=his
eye ^nn++++=eye
which ^whp+rel+subj++=which
showed ^vbd+vprv++xvbn+=showed
that ^tht+vcmp+++=that
a ^at++++=a
crisis ^nn++++=crisis
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
entered ^vbd+++xvbn+=entered
the ^ati++++=the
pass ^nn++++=pass,
, ^zz++++=EXTRAWORD
stumbling ^jj++++=stumbling
along ^in++++=along
amid ^in++++=amid
the ^ati++++=the
great ^jj+atrb+++=great
boulders ^nns+nom+++=boulders.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
a ^at++++=a
short ^jj+atrb+++=short,
, ^zz++++=EXTRAWORD
quick ^jj+atrb+++=quick
exclamation ^nn+nom+++=exclamation
from ^in++++=from
Tom ^np++++=Tom.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
crag ^npl++++=crag!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
pointing ^vbg+++xvbg+=pointing
to ^in++++=to
a ^at++++=a
great ^jj+atrb+++=great
mass ^nn++++=mass
looming ^vwbg+++xvbg+=looming
before ^in++++=before
us ^pp1o+pp1+++=us
in ^in++++=in
the ^ati++++=the
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Jack ^np++++=Jack,
, ^zz++++=EXTRAWORD
for ^in++++=for
any ^dti++++=any
favour ^nn++++=favour
use ^nn++++=use
your ^pp$+pp2+++=your
eyes ^nns++++=eyes!
! ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We're
're ^vb+ber+vrb++0=EXTRAWORD
about ^in++++=about
a ^at++++=a
hundred ^cd++++=hundred
yards ^nns++++=yards
from ^in++++=from
that ^dt+dem+++=that
cliff ^np++++=cliff,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
take ^vb++++=take
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
so ^ql++++=so
you ^pp2+pp2+++=you
move ^vb++++=move
slowly ^rb++++=slowly
toward ^in++++=toward
one ^cd1++++=one
side ^nn++++=side
and ^cc++++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do
the ^ati++++=the
same ^ap++++=same
toward ^in++++=toward
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
you ^pp2+pp2+++=you
see ^vb+vprv+tht0++=see
anything ^pn++++=anything,
, ^zz++++=EXTRAWORD
stop ^vb++++=stop
and ^cc+phrs+++=and
call ^vb++++=call
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
more ^rbr++++=more
than ^in++++=than
twelve ^cd++++=twelve
inches ^nns++++=inches
in ^in++++=in
a ^at++++=a
step ^nn++++=step,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
keep ^vb++++=keep
your ^pp$+pp2+++=your
eye ^nn++++=eye
fixed ^vbd+++xvbn+=fixed
on ^in++++=on
the ^ati++++=the
cliff ^np++++=cliff
about ^in++++=about
eight ^cd++++=eight
feet ^nns++++=feet
from ^in++++=from
the ^ati++++=the
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
you ^pp2+pp2+++=you
ready ^jj++++=ready?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
even ^rb++++=even
more ^rbr++++=more
excited ^jj+++xvbn+=excited
than ^in++++=than
Tom ^np++++=Tom
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
his ^pp$+pp3+++=his
intention ^nn+nom+++=intention
or ^cc++++=or
object ^nn++++=object
