Tomorrow ^nr+tm+++=TOMORROW
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
humid ^jj+atrb+++=humid
summer ^nn++++=summer
in ^in++++=in
the ^ati++++=the
amoral ^jj+atrb+++=amoral
kingdom ^nn+nom+++=kingdom
of ^in++++=of
your ^pp$+pp2+++=your
childhood ^nn+nom+++=childhood
and ^cc++++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
all ^abn++++=all
the ^ati++++=the
things ^nns++++=things
you ^pp2+pp2+++=you
had ^vb+hv+aux++=had
not ^xnot++not++=not
allowed ^vbd+++xvbn+=allowed
yourself ^ppl+pp2+++=yourself
to ^to++++=to
think ^vbi+vprv+++=think
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
flattened ^vprf+++xvbnx+=flattened
to ^in++++=to
a ^at++++=a
thin ^jj+atrb+++=thin
sheet ^nn++++=sheet
and ^cc++++=and
tucked ^vbd+++xvbn+=tucked
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
instead ^rb+cnj+++=instead
you ^pp2+pp2+++=you
say ^vb+vpub+++=say
nothing ^pn++++=nothing
and ^cc++++=and
press ^nn++++=press
your ^pp$+pp2+++=your
palms ^nns++++=palms
deep ^jj++++=deep
into ^in++++=into
the ^ati++++=the
rough ^jj+atrb+++=rough
trunk ^nn++++=trunk
of ^in++++=of
the ^ati++++=the
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pain ^nn++++=pain
soothes ^nns+++??+=soothes
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
remember ^nn+nom+++=remember
eating ^nvbg+++xvbg+=eating
the ^ati++++=the
avocados ^nns+++??+=avocados;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
liked ^vbd+++xvbn+=liked
yours ^pp$$++++=yours
with ^in++++=with
salt ^nn++++=salt
and ^cc++++=and
Nonso ^np+++??+=Nonso
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
his ^pp$+pp3+++=his
with ^in++++=with
salt ^nn++++=salt
and ^cc++++=and
Grandmama ^np+++??+=Grandmama
always ^rb++++=always
clucked ^jj+++xvbn+=clucked
and ^cc+phrs+++=and
said ^jj+++xvbn+=said
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
what ^wdt+who+++=what
was ^vbd+bedz+vrb++=was
good ^jj+pred+++=good
when ^wrb+who+++=when
you ^pp2+pp2+++=you
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
unsalted ^jj+++xvbn+=unsalted
avocado ^jj+++??+=avocado
nauseated ^jj+++xvbn+=nauseated
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
At ^rb++++=At
Nonso ^np++++=Nonso's
's ^$++++=EXTRAWORD
funeral ^nn++++=funeral
in ^in++++=in
a ^at++++=a
cold ^jj+atrb+++=cold
cemetery ^nn+nom+++=cemetery
in ^in++++=in
Virginia ^np++++=Virginia
with ^in++++=with
tombstones ^nns+++??+=tombstones
jutting ^vwbg+++xvbg+=jutting
out ^rp+pl+++=out
obscenely ^rb+cnj+++=obscenely,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
mother ^nn++++=mother
was ^vbd+bedz+vrb++=was
in ^in++++=in
faded ^jj+++xvbn+=faded
black ^jj++++=black
from ^in++++=from
head ^nn++++=head
to ^in++++=to
toe ^nn++++=toe,
, ^zz++++=EXTRAWORD
even ^rb++++=even
a ^at++++=a
veil ^nn++++=veil,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
made ^vbd+++xvbn+=made
her ^pp$+pp3+++=her
cinnamon ^nn++++=cinnamon
skin ^nn++++=skin
glow ^nn++++=glow.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
father ^npt++++=father
stood ^vbd+++xvbn+=stood
away ^in+pl+++=away
from ^in"++++=from
both ^abx++++=both
of ^in++++=of
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
usual ^jj+atrb+++=usual
dashiki ^nn+++??+=dashiki,
, ^zz++++=EXTRAWORD
milk ^nn++++=milk-colored
- ^zz++++=EXTRAWORD
colored ^jj+atrb++xvbn+=EXTRAWORD
cowries ^nns++++=cowries
coiled ^vwbn+++xvbn+=coiled
round ^rb++++=round
his ^pp$+pp3+++=his
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
family ^nn++++=family,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
were ^vbd+bed+vrb++=were
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
guests ^nns++++=guests
who ^whp+rel+subj++=who
sniffled ^vbd+++xvbn+=sniffled
loudly ^rb++++=loudly
and ^cc+phrs+++=and
later ^rbr+tm+++=later
asked ^vbd+vsua+tht0+xvbn+=asked
your ^pp$+pp2+++=your
mother ^nn++++=mother
in ^in++++=in
hushed ^jj+atrb+++=hushed
tones ^nns++++=tones
exactly ^rb++++=exactly
how ^wrb+who+++=how
Nonso ^np+++??+=Nonso
had ^vbd+hvd+aux++=had
died ^vprf+++xvbnx+=died,
, ^zz++++=EXTRAWORD
exactly ^rb++++=exactly
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
from ^in++++=from
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
trees ^nns++++=trees
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
climbed ^vprf+++xvbnx+=climbed
since ^cs+sub+++=since
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
toddler ^nn++++=toddler.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
mother ^npt++++=mother
said ^vbd+vpub++xvbn+=said
nothing ^pn++++=nothing
to ^in++++=to
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
all ^abn++++=all
those ^dt+dem+++=those
people ^nns++++=people
who ^whp+rel+subj++=who
asked ^vbn+vsua++xvbn+=asked
questions ^nns+nom+++=questions.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
said ^vbd+vpub+tht0+xvbnx+=said
nothing ^pn++++=nothing
to ^in++++=to
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
either ^dtx++++=either,
, ^zz++++=EXTRAWORD
about ^in++++=about
Nonso ^np+++??+=Nonso,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
even ^rb++++=even
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
cleaned ^vbd+++xvbnx+=cleaned
up ^rp++++=up
his ^pp$+pp3+++=his
room ^nn++++=room
and ^cc++++=and
packed ^vbd+++xvbn+=packed
his ^pp$+pp3+++=his
things ^nns++++=things.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
ask ^vb++++=ask
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
keep ^vbi++++=keep
anything ^pn++++=anything,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
relieved ^vpsv++agls+xvbnx+=relieved.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
did ^vbd+dod+aux++=did
not ^xnot++not++=not
want ^vb++++=want
to ^to+vcmp+++=to
have ^vbi++++=have
any ^dti++++=any
of ^in++++=of
his ^pp$+pp3+++=his
books ^nns++++=books
with ^in++++=with
his ^pp$+pp3+++=his
handwriting ^nn++++=handwriting
that ^tht+rel+obj++=that
your ^pp$+pp2+++=your
mother ^npt++++=mother
said ^vbd+vpub++xvbn+=said
was ^vbd+bedz+vrb++=was
neater ^jjr+pred+++=neater
than ^in++++=than
typewritten ^vprf+++xvbn+=typewritten
sentences ^nns+nom+++=sentences.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
did ^vbd+dod+aux++=did
not ^xnot++not++=not
want ^vb++++=want
his ^pp$+pp3+++=his
photographs ^nns++++=photographs
of ^in++++=of
pigeons ^nns++++=pigeons
in ^in++++=in
the ^ati++++=the
park ^npl++++=park
that ^tht+rel+obj++=that
your ^pp$+pp2+++=your
father ^npt++++=father
said ^vbd+vpub++xvbn+=said
showed ^vbd+vprv++xvbn+=showed
so ^ql++++=so
much ^ap++++=much
promise ^nn++++=promise
for ^in++++=for
a ^at++++=a
child ^nn++++=child.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
did ^vbd+dod+aux++=did
not ^xnot++not++=not
want ^vb++++=want
his ^pp$+pp3+++=his
paintings ^nns++++=paintings,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
mere ^jjb+atrb+++=mere
copies ^nns++++=copies
of ^in++++=of
your ^pp$+pp2+++=your
father ^nn++++=father's
's ^$++++=EXTRAWORD
only ^rb+down+++=only
in ^in++++=in
different ^jj+atrb+++=different
colors ^nns++++=colors.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
his ^pp$+pp3+++=his
clothes ^nns++++=clothes.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
his ^pp$+pp3+++=his
stamp ^nn++++=stamp
collection ^nn+nom+++=collection.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
mother ^nn++++=mother
brought ^vbd+++xvbn+=brought
Nonso ^np+++??+=Nonso
up ^rp++++=up,
, ^zz++++=EXTRAWORD
finally ^rb+cnj+++=finally,
, ^zz++++=EXTRAWORD
three ^cd++++=three
months ^nns++++=months
after ^in++++=after
his ^pp$+pp3+++=his
funeral ^nn++++=funeral,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you
about ^in++++=about
the ^ati++++=the
divorce ^nn++++=divorce.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
said ^vbd+vpub+tht0+xvbnx+=said
the ^ati++++=the
divorce ^nn++++=divorce
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
about ^in++++=about
Nonso ^np+++??+=Nonso,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
and ^cc++++=and
your ^pp$+pp2+++=your
father ^nn++++=father
had ^vb+hv+aux++=had
long ^rb++splt++=long
been ^vprf+ben+aux+xvbnx+=been
growing ^vbg+++xvbgx+=growing
apart ^rp++++=apart.
. ^zz++++=EXTRAWORD
( ^zz++++=(Your
your ^pp$+pp2+++=EXTRAWORD
father ^nn++++=father
was ^vbd+bedz+vrb++=was
in ^in++++=in
Zanzibar ^np++++=Zanzibar
then ^rn+tm+++=then;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
right ^jj++++=right
after ^in++++=after
Nonso ^np++++=Nonso's
's ^$++++=EXTRAWORD
funeral ^nn++++=funeral.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
your ^pp$+pp2+++=your
mother ^npt++++=mother
asked ^vbd+vsua++xvbn+=asked:
: ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
did ^vbd+dod+aux++=did
Nonso ^np+++??+=Nonso
die ^vb++++=die?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
still ^rb++++=still
wonder ^vb++++=wonder
how ^wrb+who+++=how
those ^dt+dem+++=those
words ^nns++++=words
tumbled ^vbd+++xvbn+=tumbled
out ^rp+pl+++=out
of ^in++++=of
your ^pp$+pp2+++=your
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
still ^rb++++=still
do ^vb+do+aux++=do
not ^xnot++not++=not
recognize ^vb+vprv+++=recognize
the ^ati++++=the
clear ^jj++++=clear-eyed
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
child ^nn++++=child
that ^tht+rel+obj++=that
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were.
. ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
because ^cs+cos+++=because
of ^in"++++=of
the ^ati++++=the
way ^nn++++=way
she ^pp3a+pp3+++=she
said ^vbd+vpub+tht0+xvbnx+=said
the ^ati++++=the
divorce ^nn++++=divorce
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
about ^in++++=about
Nonso ^np+++??+=Nonso
as ^cs+sub+++=as
though ^cs+sub+++=though
Nonso ^np+++??+=Nonso
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^rb+down+++=only
one ^cd1++++=one
capable ^jj++++=capable
of ^in++++=of
being ^xvbg+++xvbg+=being
a ^at++++=a
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
in ^in++++=in
the ^ati++++=the
running ^nvbg+++xvbg+=running.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
maybe ^rb+hdg+++=maybe
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
simply ^rb++++=simply
that ^cs+sub+++=that
you ^pp2+pp2+++=you
felt ^vbd+vprv++xvbn+=felt
the ^ati++++=the
burning ^jj+atrb++xvbg+=burning
desire ^nn++++=desire
that ^tht+rel+obj++=that
you ^pp2+pp2+++=you
still ^rb++++=still
feel ^vb+vprv+++=feel
sometimes ^rb+cnj+++=sometimes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
smooth ^vb++++=smooth
out ^rp+pl+++=out
wrinkles ^nns++++=wrinkles,
, ^zz++++=EXTRAWORD
to ^to++++=to
flatten ^vbi++++=flatten
things ^nns++++=things
you ^pp2+pp2+++=you
find ^vb+vprv+++=find
too ^rb++++=too
bumpy ^jj++++=bumpy.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
told ^vbd+vpub++xvbn+=told
your ^pp$+pp2+++=your
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
with ^in++++=with
your ^pp$+pp2+++=your
tone ^nn++++=tone
suitably ^rb++++=suitably
reluctant ^jj++++=reluctant,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
Grandmama ^np+++??+=Grandmama
had ^vbd+hvd+aux++=had
asked ^vprf+++xvbnx+=asked
Nonso ^np+++??+=Nonso
to ^to++++=to
climb ^vbi++++=climb
to ^in++++=to
the ^ati++++=the
highest ^jjt+atrb+++=highest
branch ^nn++++=branch
of ^in++++=of
the ^ati++++=the
avocado ^nn+++??+=avocado
tree ^nn++++=tree
to ^to++++=to
show ^vbi+vprv+++=show
her ^pp$+pp3+++=her
how ^wrb+who+++=how
much ^rb++++=much
of ^in++++=of
a ^at++++=a
man ^nn++++=man
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
frightened ^vbd+++xvbnx+=frightened
him ^pp3o+pp3+++=him
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
joke ^nn++++=joke,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
assured ^vbd+vpub++xvbn+=assured
your ^pp$+pp2+++=your
mother ^nn++++=mother
by ^in++++=by
telling ^xvbg+++xvbg+=telling
him ^pp3o+pp3+++=him
that ^dt+dem+++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
snake ^nn++++=snake,
, ^zz++++=EXTRAWORD
the ^ati++++=the
echi ^nn+++??+=echi
eteka ^nn+++??+=eteka,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
branch ^nn++++=branch
close ^in+cmpx+++=close
to ^in"++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
asked ^vbd+vsua++xvbnx+=asked
him ^pp3o+pp3+++=him
not ^xnot++not++=not
to ^to++++=to
move ^vbi++++=move.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
he ^pp3a+pp3+++=he
moved ^vbd+++xvbnx+=moved
and ^cc+phrs+++=and
slipped ^vbd+++xvbn+=slipped
off ^in+pl+++=off
the ^ati++++=the
branch ^nn++++=branch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
landed ^vbd+++xvbnx+=landed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sound ^nn++++=sound
was ^vbd+bedz+vrb++=was
like ^in++++=like
many ^ap++++=many
fruits ^nns++++=fruits
falling ^vwbg+++xvbg+=falling
at ^rb++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time.
. ^zz++++=EXTRAWORD
A ^at++++=A
dull ^jj+atrb+++=dull,
, ^zz++++=EXTRAWORD
final ^jj+atrb+++=final
plop ^nn++++=plop.
. ^zz++++=EXTRAWORD
Grandmama ^np+++??+=Grandmama
stood ^vbd+++xvbn+=stood
there ^rn+pl+++=there
and ^cc++++=and
stared ^vprf+++xvbn+=stared
at ^rb++++=at
him ^pp3o+pp3+++=him
and ^cc++++=and
then ^rn+tm+++=then
started ^vbd+++xvbn+=started
to ^to++++=to
shout ^vbi++++=shout
at ^rb++++=at
him ^pp3o+pp3+++=him
about ^in++++=about
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^ap+down+++=only
son ^nn++++=son,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
betrayed ^vprf+++xvbnx+=betrayed
the ^ati++++=the
lineage ^nn+nom+++=lineage
by ^in++++=by
dying ^xvbg+++xvbg+=dying,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
the ^ati++++=the
ancestors ^nns++++=ancestors
would ^md+prd+++=would
be ^vb+be+vrb++=be
displeased ^jj+pred+++=displeased.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
breathing ^vbg+++xvbgx+=breathing,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
told ^vbd+vpub++xvbn+=told
your ^pp$+pp2+++=your
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
breathing ^vbg+++xvbgx+=breathing
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
fell ^vbd+++xvbnx+=fell
but ^cc++++=but
Grandmama ^np+++??+=Grandmama
just ^rb+emph+++=just
stood ^vbd+++xvbn+=stood
there ^rn+pl+++=there
and ^cc++++=and
shouted ^vpsv++agls+xvbn+=shouted
at ^in++++=at
his ^pp$+pp3+++=his
broken ^jj+atrb++xvbn+=broken
body ^nn++++=body
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
died ^vbd+++xvbnx+=died.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
mother ^npt++++=mother
started ^vbd+++xvbn+=started
to ^to++++=to
scream ^vbi++++=scream.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
you ^pp2+pp2+++=you
wondered ^vbd+vprv++xvbn+=wondered
if ^cs+cnd+++=if
people ^nns++++=people
screamed ^vbd+++xvbn+=screamed
in ^cs+sub+++=in
that ^cs"++++=that
crazed ^vwbn+++xvbn+=crazed
way ^nn++++=way
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
chosen ^vprf+++xvbnx+=chosen
to ^to++++=to
reject ^vbi++++=reject
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
knew ^vbd+vprv++xvbnx+=knew
well ^jj+pred+++=well
enough ^qlp++++=enough
that ^dt+dem+++=that
Nonso ^np+++??+=Nonso
had ^vbd+hvd+aux++=had
hit ^vprf+++xvbnx+=hit
his ^pp$+pp3+++=his
head ^jjb++++=head
on ^in++++=on
a ^at++++=a
stone ^nn++++=stone
and ^cc++++=and
died ^vpsv++agls+xvbn+=died
on ^in++++=on
the ^ati++++=the
spot ^nn++++=spot
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
his ^pp$+pp3+++=his
body ^nn++++=body,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
cracked ^vbd+++xvbn+=cracked
head ^jjb++++=head.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
chose ^vbd+++xvbnx+=chose
to ^to++++=to
believe ^vbi+vprv+tht0++=believe
Nonso ^np+++??+=Nonso
was ^vbd+bedz+vrb++=was
alive ^jj+pred+++=alive
after ^cs+sub+++=after
he ^pp3a+pp3+++=he
fell ^vbd+++xvbnx+=fell.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
howled ^j+++xvbn+=howled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cursed ^vbd+++xvbn+=cursed
the ^ati++++=the
day ^nn++++=day
she ^pp3a+pp3+++=she
set ^vbd+++xvbnx+=set
eyes ^nns++++=eyes
on ^in++++=on
your ^pp$+pp2+++=your
father ^nn++++=father
at ^rb++++=at
the ^ati++++=the
first ^od++++=first
exhibition ^nn+nom+++=exhibition
of ^in++++=of
his ^pp$+pp3+++=his
work ^nn++++=work.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
called ^vbd+++xvbnx+=called
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
heard ^vbd+vprv+tht0+xvbn+=heard
her ^pp$+pp3+++=her
shouting ^vbg+vpub++xvbg+=shouting
on ^in++++=on
the ^ati++++=the
phone ^nn++++=phone:
: ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
mother ^nn++++=mother
is ^vbz+bez+vrb++=is
responsible ^jj+pred+++=responsible!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
panicked ^vbd+++xvbnx+=panicked
him ^pp3o+pp3+++=him
and ^cc++++=and
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
fall ^nn++++=fall!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
something ^pn++++=something
afterwards ^rb+tm+++=afterwards
but ^cc+cls+++=but
instead ^rb+cnj+++=instead
she ^pp3a+pp3+++=she
stood ^vbd+++xvbnx+=stood
there ^rn+pl+++=there
like ^in++++=like
the ^ati++++=the
stupid ^jj+atrb+++=stupid
fetish ^jj+atrb+++=fetish
African ^jj+atrb+++=African
woman ^nn++++=woman
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
is ^vbz+bez+aux++=is
and ^cc++++=and
let ^vb+++xvbn+=let
him ^pp3o+pp3+++=him
die ^vb++++=die!
! ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
father ^npt++++=father
talked ^vbd+++xvbn+=talked
to ^in++++=to
you ^pp2+pp2+++=you
afterwards ^rb+cnj+++=afterwards,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
understood ^vbd+vprv++xvbnx+=understood
how ^wrb+who+whcl++=how
hard ^jj++++=hard
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
for ^in++++=for
you ^pp2+pp2+++=you
but ^cc++++=but
you ^pp2+pp2+++=you
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi++vrb++=be
careful ^jj++++=careful
what ^wdt+who+++=what
you ^pp2+pp2+++=you
said ^vbd+vpub++xvbn+=said
so ^ql++++=so
that ^cs+sub+++=that
you ^pp2+pp2+++=you
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
cause ^nn++++=cause
more ^rbr++++=more
hurt ^vbd+++xvbn+=hurt.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
you ^pp2+pp2+++=you
thought ^vbd+++xvbn+=thought
about ^in++++=about
his ^pp$+pp3+++=his
words ^nns++++=words
Be ^vb+be+vrb++=Be
careful ^jj+pred+++=careful
what ^wdt+who+++=what
you ^pp2+pp2+++=you
say ^vb+vpub+++=say
and ^cc+phrs+++=and
wondered ^vbd+vprv++xvbn+=wondered
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
knew ^vbd+vprv+tht0+xvbnx+=knew
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
lying ^vbg+++xvbgx+=lying.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
eighteen ^cd++++=eighteen
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
summer ^nn++++=summer
of ^in++++=of
your ^pp$+pp2+++=your
first ^od++++=first
self ^nn++++=self-realization.
- ^zz++++=EXTRAWORD
realization ^nn+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
summer ^nn++++=summer
you ^pp2+pp2+++=you
knew ^vbd+vprv++xvbn+=knew
that ^tht+vcmp+++=that
something ^pn++++=something
had ^md"++pmd"++=had
to ^md+nec+++=to
happen ^vb+++??+=happen
to ^to+vcmp+++=to
Nonso ^vb+++??+=Nonso,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
you ^pp2+pp2+++=you
could ^md+pos+++=could
survive ^vb++++=survive.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
at ^rb++++=at
ten ^cd++++=ten
you ^pp2+pp2+++=you
knew ^vbd+vprv++xvbn+=knew
that ^tht+vcmp+++=that
some ^dti++++=some
people ^nns++++=people
can ^md+pos+++=can
take ^vb++++=take
up ^rb+phrv+++=up
too ^ql++++=too
much ^ap++++=much
space ^nn++++=space
by ^in++++=by
simply ^rb++++=simply
being ^vbg+beg++xvbg+=being,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
by ^in++++=by
existing ^xvbg+++xvbg+=existing,
, ^zz++++=EXTRAWORD
some ^dti++++=some
people ^nns++++=people
can ^md+pos+++=can
stifle ^vb++++=stifle
others ^aps++++=others.
. ^zz++++=EXTRAWORD
The ^ati++++=The
idea ^nn++++=idea
of ^in++++=of
scaring ^xvbg+++xvbg+=scaring
Nonso ^np+++??+=Nonso
with ^in++++=with
the ^ati++++=the
echi ^nn+++??+=echi
eteka ^nn+++??+=eteka
was ^vbd+bedz+vrb++=was
yours ^pp$$++++=yours
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
explained ^vbd+vpub++xvbn+=explained
it ^pp3+it+++=it
