Martha ^np+++??+=Martha
. ^zz++++=EXTRAWORD
Meanwhile ^rb++++=Meanwhile
Martha ^np+++??+=Martha
Maria ^&fw++++=Maria
Mixon ^np+++??+=Mixon
went ^vbd+++xvbn+=went
her ^pp$+pp3+++=her
own ^ap++++=own
way ^nn++++=way,
, ^zz++++=EXTRAWORD
working ^jj+++xvbg+=working
hard ^jj++++=hard,
, ^zz++++=EXTRAWORD
fixing ^nvbg+++xvbg+=fixing
and ^cc++++=and
observing ^nvbg+++xvbg+=observing.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
determined ^jj+++xvbnx+=determined
to ^to+jcmp+++=to
excel ^vbi++++=excel
herself ^ppl+pp3+++=herself
this ^dt+dem+++=this
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
only ^rb+down+++=only
should ^md+nec+++=should
her ^pp$+pp3+++=her
part ^nn++++=part
at ^in++++=at
the ^ati++++=the
church ^nn++++=church
be ^vb+be+vrb++=be
above ^jjb+atrb+++=above
reproach ^nn++++=reproach,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
entertainment ^nn+nom+++=entertainment
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
would ^md+prd+++=would
give ^vb++++=give
that ^cs+sub+++=that
strange ^jj+atrb+++=strange
preacher ^nn+nom+++=preacher
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
thing ^nn++++=thing
long ^vb++++=long
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
remembered ^vpsv++agls+xvbnx+=remembered.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
startled ^vbd+++xvbn+=startled
at ^rb++++=at
all ^abn++++=all
that ^dt+dem+++=that
Shiloh ^np+++??+=Shiloh
was ^vbd+bedz+aux++=was
preparing ^vbg+++xvbgx+=preparing
for ^in++++=for
his ^pp$+pp3+++=his
reception ^nn+nom+++=reception,
, ^zz++++=EXTRAWORD
hoary ^nn++++=hoary
Christmas ^np++++=Christmas
approached ^vbd+++xvbn+=approached.
. ^zz++++=EXTRAWORD
All ^abn++++=All
New ^jj+atrb+++=New
York ^np++++=York
was ^vbd+bedz+vrb++=was
a ^at++++=a
dazzling ^jj+atrb++xvbg+=dazzling
bazar ^nn++++=bazar
through ^in++++=through
which ^whp+rel+pied++=which
the ^ati++++=the
people ^nns++++=people
thronged ^vbd+++xvbn+=thronged
ceaselessly ^rb+cnj+++=ceaselessly,
, ^zz++++=EXTRAWORD
tumultuously ^jj++++=tumultuously.
. ^zz++++=EXTRAWORD
Everyone ^pn++++=Everyone
was ^vbd+bedz+vrb++=was
a ^at++++=a
child ^nn++++=child
again ^rb+tm+++=again;
; ^zz++++=EXTRAWORD
holly ^nn++++=holly
wreaths ^nns++++=wreaths
with ^in++++=with
the ^ati++++=the
red ^jj+atrb+++=red
berries ^nns++++=berries
gleaming ^vwbg+++xvbg+=gleaming
amid ^in++++=amid
the ^ati++++=the
green ^nn++++=green
were ^vbd+bed+vrb++=were
everywhere ^rb+cnj+++=everywhere,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
white ^jj+atrb+++=white
streets ^nns++++=streets
were ^vbd+bed+vrb++=were
gay ^jj+pred+++=gay
with ^in++++=with
laughter ^nn+nom+++=laughter
and ^cc++++=and
bustle ^nn++++=bustle
and ^cc++++=and
life ^nn++++=life.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
night ^nn++++=night
before ^cs+sub+++=before
the ^ati++++=the
great ^jj+atrb+++=great
day ^nn++++=day
Martha ^np+++??+=Martha
sat ^vbd+++xvbn+=sat
before ^cs+sub+++=before
her ^pp$+pp3+++=her
fire ^nn++++=fire
and ^cc++++=and
hummed ^vbd+++xvbn+=hummed
softly ^rb++++=softly
to ^in++++=to
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
smile ^nn++++=smile
upon ^in++++=upon
her ^pp$+pp3+++=her
face ^nn++++=face,
, ^zz++++=EXTRAWORD
for ^in++++=for
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
worked ^vprf+++xvbnx+=worked
and ^cc+phrs+++=and
worked ^vwbn+++xvbn+=worked
well ^jj+pred+++=well,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
all ^rb++++=all
was ^vbd+bedz+vrb++=was
ready ^jj+pred+++=ready
and ^cc++++=and
to ^in++++=to
her ^pp$+pp3+++=her
entire ^jjb+atrb+++=entire
satisfaction ^nn+nom+++=satisfaction.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
which ^wdt+who+whq++=which
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
nameless ^jj++++=nameless
simmered ^jj+++xvbn+=simmered
in ^in++++=in
a ^at++++=a
tin ^nn++++=tin
cup ^nn++++=cup
on ^in++++=on
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
the ^ati++++=the
stove ^nn++++=stove
before ^in++++=before
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
broke ^vbd+++xvbnx+=broke
her ^pp$+pp3+++=her
reverie ^nn++++=reverie
to ^to++++=to
sip ^vbi++++=sip
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
smelled ^vbd+++xvbn+=smelled
sweet ^jj++++=sweet
and ^cc+phrs+++=and
pungent ^jj++++=pungent
and ^cc+phrs+++=and
suspicious ^jj++++=suspicious,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
Christmas ^np++++=Christmas
Eve ^nn++++=Eve.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
half ^abn++++=half
drowsing ^jj+++xvbg+=drowsing
when ^wrb+who+++=when
a ^at++++=a
brisk ^nn++++=brisk
knock ^vb++++=knock
startled ^vbd+++xvbn+=startled
her ^pp$+pp3+++=her
into ^in++++=into
wakefulness ^nns+nom+++=wakefulness.
. ^zz++++=EXTRAWORD
Thinking ^nvbg+++xvbg+=Thinking
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
neighbours ^nns++++=neighbours
in ^in++++=in
for ^in++++=for
a ^at++++=a
call ^nn++++=call
she ^pp3a+pp3+++=she
bade ^vbd+++xvbnx+=bade
the ^ati++++=the
visitor ^nn++++=visitor
enter ^vb++++=enter,
, ^zz++++=EXTRAWORD
without ^in++++=without
moving ^nn++++=moving.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
stamping ^jj+++xvbg+=stamping
of ^in++++=of
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
door ^nn++++=door
opened ^vbd+++xvbn+=opened
and ^cc++++=and
a ^at++++=a
black ^jj+atrb+++=black
man ^nn++++=man
covered ^vbd+++xvbn+=covered
with ^in++++=with
snow ^nn++++=snow
stood ^vbd+++xvbn+=stood
before ^in++++=before
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
Martha ^np+++??+=Martha
rubbed ^vbd+++xvbn+=rubbed
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
and ^cc++++=and
stared ^vprf+++xvbn+=stared
at ^rb++++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
the ^ati++++=the
cup ^nn++++=cup
accusingly ^rb+cnj+++=accusingly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
it ^pp3+it+++=it
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
rubbed ^vbd+++xvbnx+=rubbed
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="Wha
wha ^nn+++??+=EXTRAWORD
wha ^nn+++??+=wha
" ^zz++++="
she ^pp3a+pp3+++=she
stammered ^vbd+++xvbnx+=stammered,
, ^zz++++=EXTRAWORD
rising ^nvbg+++xvbg+=rising
slowly ^rb++++=slowly.
. ^zz++++=EXTRAWORD
" ^zz++++="Don'
don ^npt++++=EXTRAWORD
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Marthy ^np+++??+=Marthy,
, ^zz++++=EXTRAWORD
don ^npt++++=don'
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
don ^npt++++=don'
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
yo ^nn+++??+=yo'
' ^zz++++=EXTRAWORD
husban ^jj+atrb+++=husban'?"
'?" ^nn+++??+=EXTRAWORD
" ^zz++++="Madison
madison ^np++++=EXTRAWORD
Mixon ^np+++??+=Mixon,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
dat ^nn+++??+=dat
you ^pp2+pp2+++=you
in ^in++++=in
de ^&fw++++=de
flesh ^nn++++=flesh?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Marthy ^np+++??+=Marthy;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
tol ^nn+++??+=tol'
' ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=me
ef ^nn+++??+=ef
evah ^nn+++??+=evah
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
a ^at++++=a
man ^nn++++=man
of ^in++++0=o'
myse ^nn+++??+=myse'f,
'f, ^nn+++??+=EXTRAWORD
to ^to++++=to
seek ^vbi++++=seek
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+aux++0=EXTRAWORD
been ^vpsv++agls+xvbnx+=been
a ^at++++=a
long ^rb++++=long
road ^npl++++=road,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^np++++=I's
's ^$++++=EXTRAWORD
tried ^vbd+++xvbn+=tried
faithful ^jj++++=faithful."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
memories ^nns++++=memories
of ^in++++=of
other ^ap++++=other
days ^nns++++=days
came ^vbd+++xvbn+=came
rushing ^vbg+++xvbg+=rushing
over ^in++++=over
Martha ^np+++??+=Martha
in ^in++++=in
an ^at++++=an
overwhelming ^jj+atrb+++=overwhelming
flood ^nn++++=flood.
. ^zz++++=EXTRAWORD
In ^in++++=In
one ^cd1++++=one
moment ^nn++++=moment
everything ^pn++++=everything
was ^vbd+bedz+aux++=was
forgotten ^vpsv++agls+xvbnx+=forgotten
save ^vb++++=save
that ^dt+pdem+++=that
here ^rn+pl+++=here
stood ^vbd+++xvbn+=stood
her ^pp$+pp3+++=her
long ^rb++++=long
delinquent ^jj+atrb+++=delinquent
husband ^nn++++=husband.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
threw ^vbd+++xvbnx+=threw
out ^rb+phrv+++=out
her ^pp$+pp3+++=her
arms ^nns++++=arms
and ^cc++++=and
took ^vbd+++xvbn+=took
a ^at++++=a
step ^nn++++=step
toward ^in++++=toward
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
anticipated ^vbd+vprv++xvbnx+=anticipated
her ^pp$+pp3+++=her
further ^jjb+atrb+++=further
advance ^nn+nom+++=advance
and ^cc++++=and
rushing ^vbg+++xvbg+=rushing
to ^in++++=to
her ^pp$+pp3+++=her
clasped ^vwbn+++xvbn+=clasped
her ^pp$+pp3+++=her
ample ^jj+atrb+++=ample
form ^nn++++=form
in ^in++++=in
a ^at++++=a
close ^nn++++=close
embrace ^vb++++=embrace.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
will ^md+prd+++=will
tek ^vb+++??+=tek
me ^pp1o+pp1+++=me
back ^jjb++++=back!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
will ^md+prd+++=will
fu ^vb+++??+=fu'give
'give ^jj++++0=EXTRAWORD
me ^pp1o+pp1+++=me!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
of ^in++++=of
co ^nn++++=co'se,
'se, ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
Madison ^np+++??+=Madison,
, ^zz++++=EXTRAWORD
ef ^nn+++??+=ef
you ^pp2+pp2+++=you
has ^vbz+hvz+aux++=has
made ^vprf+++xvbnx+=made
a ^at++++=a
man ^nn++++=man
of ^in++++=of
yo ^nn+++??+=yo'se'f."
'se'f." ^nn+++??+=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
hopes ^vbz++++=hopes
to ^to++++=to
prove ^vbi+vprv+++=prove
dat ^nn+++??+=dat
to ^in++++=to
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
very ^ql+amp+++=very
pleasant ^jj+atrb+++=pleasant
evening ^nn++++=evening
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
spent ^vbd+++xvbnx+=spent
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
like ^in++++=like
old ^jj+atrb+++=old
times ^nns++++=times
to ^in++++=to
Martha ^np+++??+=Martha.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
once ^rb+tm+++=once
did ^vbd+dod+aux++=did
it ^pp3+it+++=it
occur ^vb++++=occur
to ^in++++=to
her ^pp$+pp3+++=her
that ^cs+sub+++=that
this ^dt+dem+++=this
sudden ^jj++++=sudden
finding ^jj+++xvbg+=finding
of ^in++++=of
a ^at++++=a
husband ^nn++++=husband
might ^md+pos+++=might
be ^vb+be+vrb++=be
awkward ^jj+pred+++=awkward
on ^in++++=on
the ^ati++++=the
morrow ^nn++++=morrow
when ^wrb+who+++=when
the ^ati++++=the
visitor ^nn++++=visitor
came ^vbd+++xvbn+=came
to ^in++++=to
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
Nor ^cc+cls+neg++=Nor
did ^vbd+dod+aux++=did
she ^pp3a+pp3+++=she
once ^rb+tm+++=once
suspect ^vb+vprv+++=suspect
that ^tht+vcmp+++=that
Madison ^np+++??+=Madison
might ^md+pos+++=might
be ^vb+be+vrb++=be
up ^rp++++=up
to ^to++++=to
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
old ^jj+atrb+++=old
tricks ^nns++++=tricks.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
accepted ^vbd+++xvbnx+=accepted
him ^pp3o+pp3+++=him
for ^in++++=for
just ^rb+emph+++=just
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
and ^cc++++=and
intended ^vb+++xvbn+=intended
to ^to+vcmp+++=to
be ^vbi++vrb++=be.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
first ^od++++=first
doubt ^vb++++=doubt
came ^vbd+++xvbn+=came
the ^ati++++=the
next ^ap++++=next
morning ^nn++++=morning
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
began ^vbd+++xvbnx+=began
to ^to++++=to
hurry ^vbi++++=hurry
her ^pp$+pp3+++=her
preparations ^nns+nom+++=preparations
for ^in++++=for
church ^nn++++=church.
. ^zz++++=EXTRAWORD
Madison ^np+++??+=Madison
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
fumbling ^nvbg+++xvbg+=fumbling
in ^in++++=in
his ^pp$+pp3+++=his
carpet ^nn++++=carpet
bag ^nn++++=bag
and ^cc++++=and
was ^vbd+bedz+aux++=was
already ^rb++splt++=already
respectably ^rb++++=respectably
dressed ^vbd+++xvbn+=dressed.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
wife ^nn++++=wife
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
approvingly ^rb+cnj+++=approvingly,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
glance ^nn++++=glance
turned ^vbd+++xvbn+=turned
to ^to++++=to
one ^pn++++=one
of ^in++++=of
consternation ^nn+nom+++=consternation
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
stammered ^vbd+++xvbnx+=stammered
forth ^np++++=forth
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
had ^md"++pmd"++=had
to ^md+nec+++=to
go ^vb++++=go
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
some ^dti++++=some
business ^nns+nom+++=business
to ^to++++=to
attend ^vbi++++=attend
to ^in+strn+++=to.
. ^zz++++=EXTRAWORD
" ^zz++++="What,
what ^wdt+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
on ^in++++=on
de ^&fw++++=de
ve ^nn+++??+=ve'y
'y ^nn+++??+=EXTRAWORD
fust ^nn+++??+=fust
day ^nn++++=day
you ^pp2+pp2+++=you
hyeah ^nn+++??+=hyeah,
, ^zz++++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^in++++=to
chu ^nn+++??+=chu'ch
'ch ^nn+++??+=EXTRAWORD
wid ^in++++=wid
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="De
de ^&fw++++=EXTRAWORD
bus ^nn++++=bus'ness
'ness ^nn+++??+=EXTRAWORD
is ^vbz+bez+aux++=is
mighty ^ql++++=mighty
pressin ^vb+++??+=pressin',
', ^nn+++??+=EXTRAWORD
but ^cc++++=but
I ^pp1a+pp1+++=I
hopes ^vbz++++=hopes
to ^to++++=to
see ^vbi+vprv+tht0++=see
you ^pp2+pp2+++=you
at ^rb++++=at
chu ^nn+++??+=chu'ch
'ch ^nn+++??+=EXTRAWORD
by ^in++++=by
de ^&fw++++=de
time ^nn++++=time
de ^&fw++++=de
services ^nns++++=services
begin ^vb++++=begin.
. ^zz++++=EXTRAWORD
Waih ^np+++??+=Waih
does ^vbz+doz+aux++=does
you ^pp2+pp2+++=you
set ^vbd+++xvbn+=set?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hand ^nn++++=hand
was ^vbd+bedz+vrb++=was
on ^in++++=on
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Martha ^np+++??+=Martha
sank ^vbd+++xvbn+=sank
into ^in++++=into
a ^at++++=a
chair ^nn++++=chair
and ^cc++++=and
the ^ati++++=the
tears ^nns++++=tears
came ^vbd+++xvbn+=came
to ^in++++=to
her ^pp$+pp3+++=her
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
choked ^vbd+++xvbnx+=choked
them ^pp3o+pp3+++=them
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=would
not ^xnot++not++=not
let ^vb+++xvbn+=let
him ^pp3o+pp3+++=him
see ^vb+vprv+++=see
how ^wrb+who+whcl++=how
much ^rb++++=much
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
hurt ^vpsv++agls+xvbnx+=hurt.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
in ^in++++=in
a ^at++++=a
faltering ^jj+atrb++xvbg+=faltering
voice ^nn++++=voice
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
sat ^vbd+++xvbnx+=sat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
passed ^vbd+++xvbnx+=passed
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
her ^pp$+pp3+++=her
tears ^nns++++=tears
came ^vbd+++xvbn+=came
and ^cc++++=and
flooded ^jj++++=flooded
away ^rp+pl+++=away
the ^ati++++=the
last ^rb++++=last
hope ^nn++++=hope.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
so ^ql+emph+++=so
proud ^jj++++=proud
to ^to+jcmp+++=to
think ^vbi+vprv+++=think
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
would ^md+prd+++=would
walk ^vb++++=walk
to ^in++++=to
church ^npl++++=church
with ^in++++=with
her ^pp$+pp3+++=her
husband ^nn++++=husband
that ^tht+rel+++=that
morning ^nn++++=morning
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
in ^in++++=in
so ^ql++++=so
long ^rb++++=long
a ^at++++=a
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
all ^abn++++=all
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^rb++++=a
little ^rb"++++=little
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
would ^md+prd+++=would
not ^xnot++not++=not
go ^vb++++=go,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
the ^ati++++=the
memory ^nn++++=memory
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
preparations ^nns+nom+++=preparations
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
and ^cc++++=and
of ^in++++=of
the ^ati++++=the
new ^jj+atrb+++=new
minister ^npt+nom+++=minister
came ^vbd+++xvbn+=came
to ^in++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
on ^in++++=on
with ^in++++=with
her ^pp$+pp3+++=her
dressing ^vbg+++xvbg+=dressing.
. ^zz++++=EXTRAWORD
The ^ati++++=The
church ^nn++++=church
was ^vbd+bedz+aux++=was
crowded ^vpsv++agls+xvbnx+=crowded
that ^dt+dem+++=that
morning ^nn++++=morning
when ^wrb+who+++=when
Martha ^np+++??+=Martha
arrived ^vbd+++xvbn+=arrived.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
around ^rp++++=around
in ^rb++++=in
vain ^rb"++++=vain
for ^in++++=for
some ^dti++++=some
sight ^nn++++=sight
of ^in++++=of
Madison ^np+++??+=Madison,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
could ^md+pos+++=could
see ^vb+vprv+tht0++=see
nothing ^pn++++=nothing
of ^in++++=of
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
she ^pp3a+pp3+++=she
sank ^vbd+++xvbnx+=sank
into ^in++++=into
her ^pp$+pp3+++=her
seat ^nn++++=seat
with ^in++++=with
a ^at++++=a
sigh ^nn++++=sigh.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
just ^rb+emph+splt++=just
see ^vb+vprv+++=see
the ^ati++++=the
new ^jj+atrb+++=new
minister ^npt+nom+++=minister
drooping ^jj++++=drooping
in ^in++++=in
his ^pp$+pp3+++=his
seat ^nn++++=seat
behind ^in+pl+++=behind
the ^ati++++=the
reading ^jj+atrb++xvbg+=reading
desk ^nn++++=desk.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
evidently ^rb++++=evidently
deep ^jj+pred+++=deep
in ^in++++=in
meditation ^nn+nom+++=meditation,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
get ^vb++++=get
up ^rp++++=up
during ^in++++=during
the ^ati++++=the
hymn ^nn++++=hymn.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Martha ^np+++??+=Martha
heard ^vbd+vprv++xvbn+=heard
the ^ati++++=the
Rev ^np++++=Rev.
. ^zz++++=EXTRAWORD
Silas ^np+++??+=Silas
Todbury ^np+++??+=Todbury
speaking ^vwbg+++xvbg+=speaking.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
words ^nns++++=words
did ^vbd+dod+aux++=did
not ^xnot++not++=not
affect ^vb++++=affect
her ^pp$+pp3+++=her
until ^cs+sub+++=until
she ^pp3a+pp3+++=she
found ^vbd+vprv++xvbnx+=found
that ^tht+vcmp+++=that
the ^ati++++=the
whole ^nn++++=whole
of ^in++++=of
his ^pp$+pp3+++=his
closing ^nvbg+++xvbg+=closing
sentence ^nn+nom+++=sentence
was ^vbd+bedz+aux++=was
flashing ^vbg+++xvbgx+=flashing
through ^in++++=through
her ^pp$+pp3+++=her
brain ^nn++++=brain
like ^in++++=like
a ^at++++=a
flame ^nn++++=flame.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
now ^rn+tm+++=now
be ^vb+be+aux++=be
exho ^vb+++??+=exho'ted
'ted ^vpsv++by+xvbn+0=EXTRAWORD
by ^in++++=by
de ^&fw++++=de
Reverent ^np+++??+=Reverent
Madison ^np+++??+=Madison
Mixon ^np+++??+=Mixon."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+++=believe
her ^pp$+pp3+++=her
ears ^nns++++=ears,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
stared ^vbd+++xvbn+=stared
wildly ^rb++++=wildly
