( ^zz++++=(1
marine ^jj+atrb+++=marine
feasts ^nns++++=feasts,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
heart ^nn++++=heart
is ^vbz+bez+vrb++=is
full ^jj+pred+++=full
of ^in++++=of
pity ^nn++++=pity
for ^in++++=for
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
wasted ^vbd+++xvbn+=wasted
lives ^nns++++=lives!
! ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
to ^to++++=to
know ^vbi+vprv+++=know
the ^ati++++=the
delights ^nns++++=delights
of ^in++++=of
a ^at++++=a
clambake ^nn+++??+=clambake,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
to ^in++++=to
love ^nn++++=love
chowder ^jjr++++=chowder,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
ignorant ^jj+pred+++=ignorant
of ^in++++=of
lobscouse ^nn+++??+=lobscouse!
! ^zz++++=EXTRAWORD
How ^wrb+who+++=How
happy ^jj++++=happy
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
four ^cd++++=four,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
cross ^jj++++=cross-legged
- ^zz++++=EXTRAWORD
legged ^jj+++xvbn+=EXTRAWORD
in ^in++++=in
the ^ati++++=the
crisp ^jj+atrb+++=crisp
salt ^nn++++=salt
grass ^nn++++=grass,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
invigorating ^jj+atrb+++=invigorating
seabreeze ^nn+++??+=seabreeze
blowing ^vwbg+++xvbg+=blowing
gratefully ^rb++++=gratefully
through ^in++++=through
our ^pp$+pp1+++=our
hair ^nn++++=hair!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
joyous ^jj+atrb+++=joyous
thing ^nn++++=thing
was ^vbd+bedz+vrb++=was
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
far ^rb+pl+++=far
off ^in+pl+++=off
seemed ^vbd+seem++xvbn+=seemed
death ^nn++++=death--death,
-- ^--+clp+++=EXTRAWORD
death ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
lurks ^nns+++??+=lurks
in ^in++++=in
all ^rb++++=all
pleasant ^jj+atrb+++=pleasant
places ^nns++++=places,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
so ^ql++++=so
near ^in+strn+++=near!
! ^zz++++=EXTRAWORD
The ^ati++++=The
banquet ^nn++++=banquet
finished ^vbd+++xvbn+=finished,
, ^zz++++=EXTRAWORD
Phil ^np++++=Phil
Adams ^np++++=Adams
drew ^vbd+++xvbn+=drew
from ^in++++=from
his ^pp$+pp3+++=his
pocket ^nn++++=pocket
a ^at++++=a
handful ^nn+nom+++=handful
of ^in++++=of
sweet ^jj++++=sweet-fern
- ^zz++++=EXTRAWORD
fern ^jj+atrb++xvbn+=EXTRAWORD
cigars ^nns++++=cigars;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^ql++++=as
none ^pn++++=none
of ^in++++=of
the ^ati++++=the
party ^nn++++=party
could ^md+pos+++=could
indulge ^vb++++=indulge
without ^in++++=without
imminent ^jj+atrb+++=imminent
risk ^nn++++=risk
of ^in++++=of
becoming ^xvbg+++xvbg+=becoming
ill ^jj++++=ill,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
on ^in++++=on
one ^cd1++++=one
pretext ^nn++++=pretext
or ^cc++++=or
another ^dt++++=another,
, ^zz++++=EXTRAWORD
declined ^j+++xvbn+=declined,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Phil ^np++++=Phil
smoked ^vwbn+++xvbn+=smoked
by ^in++++=by
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wind ^nn++++=wind
had ^vbd+hvd+aux++=had
freshened ^vprf+++xvbnx+=freshened
by ^in++++=by
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
found ^vbd+vprv+tht0+xvbn+=found
it ^pp3+it+++=it
comfortable ^jj++++=comfortable
to ^to++++=to
put ^vbi++++=put
on ^rb+phrv+++=on
the ^ati++++=the
jackets ^nns++++=jackets
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
thrown ^vpsv++agls+xvbnx+=thrown
aside ^rp++++=aside
in ^in++++=in
the ^ati++++=the
heat ^nn++++=heat
of ^in++++=of
the ^ati++++=the
day ^nn++++=day.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
strolled ^vbd+++xvbn+=strolled
along ^in++++=along
the ^ati++++=the
beach ^nn++++=beach
and ^cc++++=and
gathered ^jj+atrb++xvbn+=gathered
large ^jj+atrb+++=large
quantities ^nns+nom+++=quantities
of ^in++++=of
the ^ati++++=the
fairy ^nn++++=fairy-woven
- ^zz++++=EXTRAWORD
woven ^vwbn+++xvbn+=EXTRAWORD
Iceland ^np++++=Iceland
moss ^np++++=moss,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
at ^in++++=at
certain ^jj+atrb+++=certain
seasons ^nns++++=seasons
is ^vbz+bez+aux++=is
washed ^vpsv++agls+xvbnx+=washed
to ^in++++=to
these ^dt+dem+++=these
shores ^nns++++=shores;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
we ^pp1a+pp1+++=we
played ^vbd+++xvbn+=played
at ^in+ppvb+++=at
ducks ^nns++++=ducks
and ^cc++++=and
drakes ^nns+++??+=drakes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sun ^nn++++=sun
being ^vwbg+beg++xvbg+=being
sufficiently ^rb++++=sufficiently
low ^jj++++=low,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went
in ^in++++=in
bathing ^xvbg+++xvbg+=bathing.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
our ^pp$+pp1+++=our
bath ^nn++++=bath
was ^vbd+bedz+aux++=was
ended ^vpsv++agls+xvbnx+=ended
a ^at++++=a
slight ^jj+atrb+++=slight
change ^nn++++=change
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
over ^in++++=over
the ^ati++++=the
sky ^nn++++=sky
and ^cc++++=and
sea ^nn++++=sea;
; ^zz++++=EXTRAWORD
fleecy ^nn+++??+=fleecy-white
- ^zz++++=EXTRAWORD
white ^jj+atrb+++=EXTRAWORD
clouds ^nns++++=clouds
scudded ^vbd+++xvbn+=scudded
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
muffled ^jj+atrb+++=muffled
moan ^nn++++=moan
from ^in++++=from
the ^ati++++=the
breakers ^nns+nom+++=breakers
caught ^vbd+++xvbn+=caught
our ^pp$+pp1+++=our
ears ^nns++++=ears
from ^in++++=from
time ^nn++++=time
to ^in++++=to
time ^nn++++=time.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
dressing ^vbg+++xvbgx+=dressing,
, ^zz++++=EXTRAWORD
a ^ap++++=a
few ^ap"++++=few
hurried ^jj+atrb++xvbn+=hurried
drops ^nns++++=drops
of ^in++++=of
rain ^nn++++=rain
came ^vbd+++xvbn+=came
lisping ^jj+++xvbg+=lisping
down ^rp++++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
adjourned ^vbd+++xvbn+=adjourned
to ^in++++=to
the ^ati++++=the
tent ^nn++++=tent
to ^to++++=to
wait ^vbi++++=wait
the ^ati++++=the
passing ^jj+++xvbg+=passing
of ^in++++=of
the ^ati++++=the
squall ^nn+++??+=squall.
. ^zz++++=EXTRAWORD
" ^zz++++="We're
we ^pp1a+pp1+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
all ^abn++++=all
right ^jj++++=right,
, ^zz++++=EXTRAWORD
anyhow ^rb+cnj+++=anyhow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Phil ^np++++=Phil
Adams ^np++++=Adams.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
much ^ap++++=much
of ^in++++=of
a ^at++++=a
blow ^nn++++=blow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
as ^ql++++=as
snug ^jj++++=snug
as ^in++++=as
a ^at++++=a
bug ^nn++++=bug
in ^in++++=in
a ^at++++=a
rug ^nn++++=rug,
, ^zz++++=EXTRAWORD
here ^rn+pl+++=here
in ^in++++=in
the ^ati++++=the
tent ^nn++++=tent,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
that ^dt+dem+++=that
lemonade ^nn++++=lemonade
which ^whp+rel+obj++=which
some ^dti++++=some
of ^in++++=of
you ^pp2+pp2+++=you
fellows ^nns++++=fellows
were ^vbd+bed+aux++=were
going ^md"++pmd"++=going
to ^md+prd+++=to
make ^vb++++=make.
. ^zz++++=EXTRAWORD
By ^in++++=By
an ^at++++=an
oversight ^nn++++=oversight,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lemons ^nns++++=lemons
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
left ^vpsv++agls+xvbnx+=left
in ^in++++=in
the ^ati++++=the
boat ^nn++++=boat.
. ^zz++++=EXTRAWORD
Binny ^np+++??+=Binny
Wallace ^np++++=Wallace
volunteered ^vbd+++xvbn+=volunteered
to ^to+vcmp+++=to
go ^vbi++++=go
for ^in+ppvb+++=for
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="Put
put ^vbd+++xvbn+=EXTRAWORD
an ^at++++=an
extra ^jj+atrb+++=extra
stone ^nn++++=stone
on ^in++++=on
the ^ati++++=the
painter ^nn++++=painter,
, ^zz++++=EXTRAWORD
Binny ^np+++??+=Binny,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Adams ^np++++=Adams,
, ^zz++++=EXTRAWORD
calling ^vbg+nom++xvbg+=calling
after ^in++++=after
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+vrb++=be
awkward ^jj+pred+++=awkward
to ^to+jcmp+++=to
have ^vbi++vrb++=have
the ^ati++++=the
Dolphin ^np+++??+=Dolphin
give ^vb++++=give
us ^pp1o+pp1+++=us
the ^ati++++=the
slip ^nn++++=slip
and ^cc++++=and
return ^nn++++=return
to ^in++++=to
port ^nn++++=port
minus ^in++++=minus
her ^pp$+pp3+++=her
passengers ^nns+nom+++=passengers."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^cs+sub+++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
Binny ^np+++??+=Binny,
, ^zz++++=EXTRAWORD
scrambling ^nn+nom+++=scrambling
down ^rp++++=down
the ^ati++++=the
rocks ^nns++++=rocks.
. ^zz++++=EXTRAWORD
Sandpeep ^np+++??+=Sandpeep
Island ^nn++++=Island
is ^vbz+bez+vrb++=is
diamond-shaped ^jj+pred+++=diamond-shaped--one
-- ^--+clp+++=EXTRAWORD
one ^cd1++++=EXTRAWORD
point ^nn++++=point
running ^vwbg+++xvbg+=running
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
other ^ap++++=other
looking ^jj+++xvbg+=looking
towards ^in++++=towards
the ^ati++++=the
town ^nn++++=town.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
tent ^nn++++=tent
was ^vbd+bedz+vrb++=was
on ^in++++=on
the ^ati++++=the
river ^nn++++=river-side.
- ^zz++++=EXTRAWORD
side ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
the ^ati++++=the
Dolphin ^np+++??+=Dolphin
was ^vbd+bedz+vrb++=was
also ^rb++++=also
on ^in++++=on
the ^ati++++=the
same ^ap++++=same
side ^nn++++=side,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
lay ^vbd+++xvbnx+=lay
out ^rb+phrv+++=out
of ^in++++=of
sight ^nn++++=sight
by ^in++++=by
the ^ati++++=the
beach ^npl++++=beach
at ^rb++++=at
the ^ati++++=the
farther ^rbr++++=farther
extremity ^nn+nom+++=extremity
of ^in++++=of
the ^ati++++=the
island ^nn++++=island.
. ^zz++++=EXTRAWORD
Binny ^np+++??+=Binny
Wallace ^np++++=Wallace
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
absent ^jj++++=absent
five ^cd++++=five
or ^cc++++=or
six ^cd++++=six
minutes ^nns++++=minutes
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
heard ^vbd+vprv+tht0+xvbn+=heard
him ^pp3o+pp3+++=him
calling ^vbg+nom++xvbg+=calling
our ^pp$+pp1+++=our
several ^ap++++=several
names ^nns++++=names
in ^in++++=in
tones ^nns++++=tones
that ^tht+rel+subj++=that
indicated ^vprf+++xvbn+=indicated
distress ^nns+nom+++=distress
or ^cc++++=or
surprise ^nn++++=surprise,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
could ^md+pos+++=could
not ^xnot++not++=not
tell ^vb++++=tell
which ^whp+who+++=which.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
first ^od++++=first
thought ^vbd+++xvbn+=thought
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
boat ^nn++++=boat
has ^vbz+hvz+aux++=has
broken ^vprf+++xvbnx+=broken
adrift ^rb++++=adrift!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
sprung ^vbd+++xvbn+=sprung
to ^in++++=to
our ^pp$+pp1+++=our
feet ^nns++++=feet
and ^cc++++=and
hastened ^vbd+++xvbn+=hastened
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
beach ^nn++++=beach.
. ^zz++++=EXTRAWORD
On ^in++++=On
turning ^xvbg+++xvbg+=turning
the ^ati++++=the
bluff ^nn++++=bluff
which ^whp+rel+subj++=which
hid ^vbd+++xvbn+=hid
the ^ati++++=the
mooring ^nn++++=mooring-place
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
from ^in++++=from
our ^pp$+pp1+++=our
view ^nn++++=view,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
conjecture ^nn++++=conjecture
correct ^jj++++=correct.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
only ^rb+down+++=only
was ^vbd+bedz+vrb++=was
the ^ati++++=the
Dolphin ^np+++??+=Dolphin
afloat ^jj++++=afloat,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
poor ^jj+atrb+++=poor
little ^jj+atrb+++=little
Binny ^np+++??+=Binny
Wallace ^np++++=Wallace
was ^vbd+bedz+aux++=was
standing ^vbg+++xvbgx+=standing
in ^in++++=in
the ^ati++++=the
bows ^nns++++=bows
with ^in++++=with
his ^pp$+pp3+++=his
arms ^nns++++=arms
stretched ^vwbn+++xvbn+=stretched
helplessly ^rb++++=helplessly
towards ^in++++=towards
us ^pp1o+pp1+++=us--drifting
-- ^--+clp+++=EXTRAWORD
drifting ^jj+++xvbg+=EXTRAWORD
out ^rp+pl+++=out
to ^in++++=to
sea ^nn++++=sea!
! ^zz++++=EXTRAWORD
" ^zz++++="Head
head ^jjb++++=EXTRAWORD
the ^ati++++=the
boat ^nn++++=boat
inshore ^rb+pl+++=inshore!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
shouted ^vbd+vpub++xvbn+=shouted
Phil ^np++++=Phil
Adams ^np++++=Adams.
. ^zz++++=EXTRAWORD
Wallace ^np++++=Wallace
ran ^vbd+++xvbn+=ran
to ^in+ppvb+++=to
the ^ati++++=the
tiller ^nn++++=tiller;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
slight ^jj+atrb+++=slight
cockle ^nn+++??+=cockle-shell
- ^zz++++=EXTRAWORD
shell ^nn++++=EXTRAWORD
merely ^rb+down+++=merely
swung ^vbd+++xvbn+=swung
round ^rb++++=round
and ^cc++++=and
drifted ^vbd+++xvbn+=drifted
broadside ^nn+++??+=broadside
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
had ^vb+hv+aux++=had
but ^cc++++=but
left ^vbd+++xvbn+=left
a ^at++++=a
single ^nn++++=single
scull ^vb++++=scull
in ^in++++=in
the ^ati++++=the
Dolphin ^np+++??+=Dolphin!
! ^zz++++=EXTRAWORD
" ^zz++++="Can
can ^md+pos+++=EXTRAWORD
you ^pp2+pp2+++=you
swim ^vb++++=swim
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Adams ^np++++=Adams
desperately ^rb+cnj+++=desperately,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
his ^pp$+pp3+++=his
hand ^nn++++=hand
as ^in++++=as
a ^at++++=a
speaking ^jj+++xvbg+=speaking-trumpet,
- ^zz++++=EXTRAWORD
trumpet ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
distance ^nn+nom+++=distance
between ^in++++=between
the ^ati++++=the
boat ^nn++++=boat
and ^cc++++=and
the ^ati++++=the
island ^npl++++=island
widened ^vbd+++xvbn+=widened
momently ^jj++++=momently.
. ^zz++++=EXTRAWORD
Binny ^np+++??+=Binny
Wallace ^np++++=Wallace
looked ^vbd+++xvbn+=looked
down ^rp++++=down
at ^rb++++=at
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
covered ^vpsv++agls+xvbnx+=covered
with ^in++++=with
white ^jj+atrb+++=white
caps ^nns++++=caps,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
a ^at++++=a
despairing ^jj+atrb++xvbg+=despairing
gesture ^nn++++=gesture.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
knew ^vbd+vprv++xvbn+=knew,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
stoutest ^jjt+atrb+++=stoutest
swimmer ^nn++++=swimmer
could ^md+pos+++=could
not ^xnot++not++=not
live ^vb++++=live
forty ^cd++++=forty
seconds ^nns++++=seconds
in ^in++++=in
those ^dt+dem+++=those
angry ^jj+atrb+++=angry
waters ^nns++++=waters.
. ^zz++++=EXTRAWORD
A ^at++++=A
wild ^jj+atrb+++=wild,
, ^zz++++=EXTRAWORD
insane ^jj+atrb+++=insane
light ^nn++++=light
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
Phil ^np++++=Phil
Adam ^np++++=Adam's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
kneedeep ^nn+++??+=kneedeep
in ^in++++=in
the ^ati++++=the
boiling ^jj+atrb++xvbg+=boiling
surf ^nn++++=surf,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
an ^at++++=an
instant ^nn+nom+++=instant
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
he ^pp3a+pp3+++=he
meditated ^vbd+++xvbnx+=meditated
plunging ^vbg+++xvbg+=plunging
into ^in++++=into
the ^ati++++=the
ocean ^nn++++=ocean
after ^in++++=after
the ^ati++++=the
receding ^jj+atrb++xvbg+=receding
boat ^nn++++=boat.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sky ^nn++++=sky
darkened ^vbd+++xvbn+=darkened,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
ugly ^jj+atrb+++=ugly
look ^nn++++=look
stole ^vbd+++xvbn+=stole
rapidly ^rb++++=rapidly
over ^in++++=over
the ^ati++++=the
broken ^jj+atrb++xvbn+=broken
surface ^nn++++=surface
of ^in++++=of
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
Binny ^np+++??+=Binny
Wallace ^np++++=Wallace
half ^abn++++=half
rose ^nn+++xvbn+=rose
from ^in++++=from
his ^pp$+pp3+++=his
seat ^nn++++=seat
in ^in++++=in
the ^ati++++=the
stern ^nn++++=stern,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
waved ^vbd+++xvbn+=waved
his ^pp$+pp3+++=his
hand ^nn++++=hand
to ^in++++=to
us ^pp1o+pp1+++=us
in ^in++++=in
token ^nn++++=token
of ^in++++=of
farewell ^nn++++=farewell.
. ^zz++++=EXTRAWORD
In ^in++++=In
spite ^in"++++=spite
of ^in"++++=of
the ^ati++++=the
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
increasing ^jj+++xvbg+=increasing
every ^at++++=every
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
could ^md+pos+++=could
see ^vb+vprv+tht0++=see
his ^pp$+pp3+++=his
face ^nn++++=face
plainly ^rb++++=plainly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
anxious ^jj+atrb+++=anxious
expression ^nn++++=expression
it ^pp3+it+++=it
wore ^vbd+++xvbn+=wore
at ^rb++++=at
first ^rb"++++=first
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
pale ^nn++++=pale
and ^cc++++=and
meek ^jj++++=meek
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
love ^vb++++=love
to ^to+vcmp+++=to
think ^vbi+vprv+tht0++=think
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
halo ^nn++++=halo
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
like ^in++++=like
that ^dt+pdem+++=that
which ^whp+rel+obj++=which
painters ^nns+nom+++=painters
place ^nn++++=place
around ^in++++=around
the ^ati++++=the
forehead ^nn++++=forehead
of ^in++++=of
a ^at++++=a
saint ^nn++++=saint.
. ^zz++++=EXTRAWORD
So ^ql++++=So
he ^pp3a+pp3+++=he
drifted ^vbd+++xvbnx+=drifted
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sky ^nn++++=sky
grew ^vbd+++xvbn+=grew
darker ^jjr++++=darker
and ^cc+phrs+++=and
darker ^jjr++++=darker.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
by ^in++++=by
straining ^xvbg+++xvbg+=straining
our ^pp$+pp1+++=our
eyes ^nns++++=eyes
through ^in++++=through
the ^ati++++=the
unnatural ^jj+atrb+++=unnatural
twilight ^nn++++=twilight
that ^tht+rel+obj++=that
we ^pp1a+pp1+++=we
could ^md+pos+++=could
keep ^vb++++=keep
the ^ati++++=the
Dolphin ^np+++??+=Dolphin
in ^in++++=in
sight ^nn++++=sight.
. ^zz++++=EXTRAWORD
The ^ati++++=The
figure ^nn++++=figure
of ^in++++=of
Binny ^np+++??+=Binny
Wallace ^np++++=Wallace
was ^vbd+bedz+vrb++=was
no ^at++++=no
longer ^rbr++++=longer
visible ^jj++++=visible,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
boat ^nn++++=boat
itself ^ppl++++=itself
had ^vbd+hvd+aux++=had
dwindled ^vprf+++xvbnx+=dwindled
to ^in++++=to
a ^at++++=a
mere ^jjb+atrb+++=mere
white ^jj+atrb+++=white
dot ^nn++++=dot
on ^in++++=on
the ^ati++++=the
black ^jj+atrb+++=black
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
we ^pp1a+pp1+++=we
lost ^vbd+++xvbn+=lost
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
our ^pp$+pp1+++=our
hearts ^nns++++=hearts
stopped ^vbd+++xvbn+=stopped
throbbing ^vbg+++xvbg+=throbbing;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
the ^ati++++=the
speck ^nn++++=speck
appeared ^vbd+seem++xvbn+=appeared
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
for ^in++++=for
an ^at++++=an
instant ^nn+nom+++=instant,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
crest ^nn++++=crest
of ^in++++=of
a ^at++++=a
high ^jj+atrb+++=high
wave ^nn++++=wave.
. ^zz++++=EXTRAWORD
Finally ^rb++++=Finally
it ^pp3+it+++=it
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
like ^in++++=like
a ^at++++=a
spark ^nn++++=spark,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
saw ^vbd+vprv+tht0+xvbn+=saw
it ^pp3+it+++=it
no ^at++++=no
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
we ^pp1a+pp1+++=we
gazed ^vbd+++xvbn+=gazed
at ^rb++++=at
one ^cd1++++=one
another ^dt++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dared ^md++md+xvbn+=dared
not ^xnot++not++=not
speak ^vb++++=speak.
. ^zz++++=EXTRAWORD
Absorbed ^j+++xvbn+=Absorbed
in ^in++++=in
following ^xvbg+++xvbg+=following
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
the ^ati++++=the
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
had ^vb+hv+aux++=had
scarcely ^rb+down+splt++=scarcely
noticed ^vprf+++xvbnx+=noticed
the ^ati++++=the
huddled ^jj+atrb++xvbn+=huddled
inky ^nn+++??+=inky
clouds ^nns++++=clouds
that ^tht+rel+subj++=that
sagged ^vbd+++xvbn+=sagged
heavily ^rb++++=heavily
all ^abn++++=all
around ^rp++++=around
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
From ^in++++=From
these ^dt+dem+++=these
threatening ^jj+atrb+++=threatening
masses ^nns++++=masses,
, ^zz++++=EXTRAWORD
