Each ^dt++++=Each
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Monsieur ^npt++++=Monsieur
Bonticu ^np+++??+=Bonticu,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
big ^jj+atrb+++=big
face ^nn++++=face
suddenly ^rb++++=suddenly
flamingly ^jj++++=flamingly
red ^jj++++=red.
. ^zz++++=EXTRAWORD
" ^zz++++="Monsieur,
monsieur ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
addition ^nn+nom+++=addition
to ^in++++=to
the ^ati++++=the
defects ^nns++++=defects
in ^in++++=in
his ^pp$+pp3+++=his
sense ^nn++++=sense
of ^in++++=of
honor ^nn++++=honor
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
also ^rb++++=also
deficient ^jj++++=deficient
in ^in++++=in
his ^pp$+pp3+++=his
sense ^nn++++=sense
of ^in++++=of
hearing ^xvbg+++xvbg+=hearing,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
returned ^vbd+++xvbn+=returned
the ^ati++++=the
smoldering ^jj+++xvbg+=smoldering
Pantan ^np+++??+=Pantan.
. ^zz++++=EXTRAWORD
" ^zz++++="Monsieur
monsieur ^npt++++=EXTRAWORD
is ^vbz+bez+vrb++=is
insulting ^jj+pred+++=insulting."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
his ^pp$+pp3+++=his
hope ^nn++++=hope."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Bonticu ^np+++??+=Bonticu
was ^vbd+bedz+vrb++=was
aflame ^nn+++??+=aflame
with ^in++++=with
a ^at++++=a
great ^jj+atrb+++=great,
, ^zz++++=EXTRAWORD
seething ^jj+atrb+++=seething
wrath ^nn++++=wrath,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
sufficient ^jj+atrb+++=sufficient
control ^nn++++=control
of ^in++++=of
his ^pp$+pp3+++=his
sense ^nn++++=sense
of ^in++++=of
insult ^nn++++=insult
to ^to++++=to
jerk ^vbi++++=jerk
at ^rb++++=at
the ^ati++++=the
leash ^nn++++=leash
of ^in++++=of
Anastasie ^np+++??+=Anastasie
and ^cc++++=and
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
tone ^nn++++=tone
all ^abn++++=all
Montpont ^np+++??+=Montpont
could ^md+pos+++=could
hear ^vb+vprv+++=hear:
: ^zz++++=EXTRAWORD
" ^zz++++="Come,
come ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
Anastasie ^np+++??+=Anastasie.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
once ^rb+tm+++=once
did ^vbd+dod+vrb++=did
Monsieur ^npt++++=Monsieur
Pantan ^np+++??+=Pantan
the ^ati++++=the
honor ^nn++++=honor
of ^in++++=of
considering ^xvbg+++xvbg+=considering
him ^pp3o+pp3+++=him
your ^pp$+pp2+++=your
equal ^jj++++=equal.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
revise ^vb++++=revise
my ^pp$+pp1+++=my
estimate ^nn+nom+++=estimate.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
your ^pp$+pp2+++=your
sort ^nn++++=sort
of ^in++++=of
pig ^nn++++=pig
at ^rb++++=at
all ^abn++++=all."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pantan ^np++++=Pantan's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
blazing ^jj+pred+++=blazing
dangerously ^rb+cnj+++=dangerously,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
retained ^vbd+++xvbnx+=retained
a ^at++++=a
slipping ^jj+atrb++xvbg+=slipping
grip ^nn++++=grip
on ^in++++=on
his ^pp$+pp3+++=his
emotions ^nns+nom+++=emotions
long ^rb++++=long
enough ^qlp++++=enough
to ^to++++=to
say ^vbi+vpub+++=say:
: ^zz++++=EXTRAWORD
" ^zz++++="Come,
come ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
Clotilde ^np+++??+=Clotilde.
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Do
not ^xnot++not++=not
demean ^nn++++=demean
yourself ^ppl+pp2+++=yourself
by ^in++++=by
breathing ^xvbg+++xvbg+=breathing
the ^ati++++=the
same ^ap++++=same
air ^nn++++=air
as ^ql++++=as
Monsieur ^npt++++=Monsieur
and ^cc++++=and
Madame ^npt++++=Madame
Bonticu ^np+++??+=Bonticu."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
eyes ^nns++++=eyes
of ^in++++=of
Monsieur ^npt++++=Monsieur
Bonticu ^np+++??+=Bonticu,
, ^zz++++=EXTRAWORD
ordinarily ^rb++++=ordinarily
so ^rb+emph+++=so
peaceful ^jj++++=peaceful,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
shot ^xvbn+++xvbn+=shot
forth ^np++++=forth
sparks ^np++++=sparks.
. ^zz++++=EXTRAWORD
Turning ^nvbg+++xvbg+=Turning
a ^at++++=a
livid ^jj+atrb+++=livid
face ^nn++++=face
to ^in++++=to
his ^pp$+pp3+++=his
antagonist ^nn+nom+++=antagonist,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried
aloud ^rb++++=aloud:
: ^zz++++=EXTRAWORD
" ^zz++++="Monsieur
monsieur ^npt++++=EXTRAWORD
Pantan ^np+++??+=Pantan,
, ^zz++++=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
opinion ^nn++++=opinion
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
a ^at++++=a
puff ^vb++++=puff-ball!"
- ^zz++++=EXTRAWORD
ball ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
too ^ql++++=too
much ^ap++++=much.
. ^zz++++=EXTRAWORD
For ^in++++=For
to ^to++++=to
call ^vbi++++=call
a ^at++++=a
truffle ^nn+++??+=truffle-hunter
- ^zz++++=EXTRAWORD
hunter ^nn++++=EXTRAWORD
a ^at++++=a
puff ^vb++++=puff-ball
- ^zz++++=EXTRAWORD
ball ^nn++++=EXTRAWORD
is ^vbz+bez+aux++=is
to ^to++++=to
call ^vbi++++=call
him ^pp3o+pp3+++=him
a ^at++++=a
thing ^nn++++=thing
unspeakably ^rb++++=unspeakably
vile ^jj++++=vile.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
eyes ^nns++++=eyes
of ^in++++=of
a ^at++++=a
true ^jj+atrb+++=true
lover ^nn++++=lover
of ^in++++=of
truffles ^nns+++??+=truffles
a ^at++++=a
puff ^vb++++=puff-ball
- ^zz++++=EXTRAWORD
ball ^nn++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
noisome ^nn+++??+=noisome,
, ^zz++++=EXTRAWORD
obscene ^jj+atrb+++=obscene
thing ^nn++++=thing;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
false ^jj+atrb+++=false
truffle ^nn+++??+=truffle.
. ^zz++++=EXTRAWORD
In ^in++++=In
truffledom ^nn+nom+++=truffledom
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
fighting ^jj+atrb++xvbg+=fighting
word ^nn++++=word.
. ^zz++++=EXTRAWORD
With ^in++++=With
a ^at++++=a
scream ^nn++++=scream
of ^in++++=of
rage ^nn++++=rage
Monsieur ^npt++++=Monsieur
Pantan ^np+++??+=Pantan
advanced ^vbd+++xvbn+=advanced
on ^in++++=on
the ^ati++++=the
bulky ^jj+atrb+++=bulky
Bonticu ^np+++??+=Bonticu.
. ^zz++++=EXTRAWORD
" ^zz++++="By
by ^in++++=EXTRAWORD
the ^ati++++=the
thumbs ^nns++++=thumbs
of ^in++++=of
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Front ^jjb++++=Front,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
shall ^md+prd+++=shall
pay ^vb++++=pay
for ^in++++=for
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Aristide ^np+++??+=Aristide
Gontran ^np+++??+=Gontran
Louis ^np++++=Louis
Bonticu ^np+++??+=Bonticu.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
and ^cc+phrs+++=and
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
before ^in++++=before
all ^abn++++=all
Montpont ^np+++??+=Montpont,
, ^zz++++=EXTRAWORD
before ^in++++=before
all ^abn++++=all
Perigord ^np+++??+=Perigord,
, ^zz++++=EXTRAWORD
before ^in++++=before
all ^abn++++=all
France ^np++++=France,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
challenge ^vb++++=challenge
you ^pp2+pp2+++=you
to ^in++++=to
a ^at++++=a
duel ^nn++++=duel
to ^in++++=to
the ^ati++++=the
death ^nn++++=death."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Words ^nns++++=Words
rattled ^vwbn+++xvbn+=rattled
and ^cc+phrs+++=and
jostled ^vwbn+++xvbn+=jostled
in ^in++++=in
his ^pp$+pp3+++=his
throat ^nn++++=throat,
, ^zz++++=EXTRAWORD
so ^ql++++=so
great ^np++++=great
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
anger ^nn++++=anger.
. ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Bonticu ^np+++??+=Bonticu
stood ^vbd+++xvbn+=stood
motionless ^jj++++=motionless;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
full ^jj++++=full-moon
- ^zz++++=EXTRAWORD
moon ^np++++=EXTRAWORD
face ^nn++++=face
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
white ^np++++=white;
; ^zz++++=EXTRAWORD
the ^ati++++=the
half ^nn++++=half
of ^in++++=of
truffle ^nn+++??+=truffle
slipped ^vbd+++xvbn+=slipped
from ^in++++=from
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers.
. ^zz++++=EXTRAWORD
For ^in++++=For
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
all ^rb++++=all
knew ^vbd+vprv++xvbn+=knew,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
dueling ^nn+nom+++=dueling
code ^nn++++=code
of ^in++++=of
Perigord ^np+++??+=Perigord
is ^vbz+bez+vrb++=is
inexorable ^jj+pred+++=inexorable.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
seldom ^rb++++=seldom
nowadays ^rb+tm+++=nowadays
that ^cs+sub+++=that
the ^ati++++=the
Perigordians ^np+++??+=Perigordians,
, ^zz++++=EXTRAWORD
even ^rb++++=even
in ^in++++=in
their ^pp$+pp3+++=their
hottest ^jjt+atrb+++=hottest
moments ^nns+nom+++=moments,
, ^zz++++=EXTRAWORD
say ^vb+vpub+++=say
the ^ati++++=the
fighting ^jj+atrb++xvbg+=fighting
word ^nn++++=word,
, ^zz++++=EXTRAWORD
for ^rb++++=for
once ^rb"+tm+++=once
a ^at++++=a
challenge ^nn++++=challenge
has ^vbz+hvz+aux++=has
passed ^vprf+++xvbnx+=passed,
, ^zz++++=EXTRAWORD
retirement ^nn+nom+++=retirement
is ^vbz+bez+vrb++=is
impossible ^jj+pred+++=impossible,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
duel ^nn++++=duel
is ^vbz+bez+vrb++=is
a ^at++++=a
most ^ql+emph+++=most
serious ^jj+atrb+++=serious
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
By ^in++++=By
rigid ^jj+atrb+++=rigid
rule ^nn++++=rule,
, ^zz++++=EXTRAWORD
the ^ati++++=the
challenger ^nn+nom+++=challenger
and ^cc++++=and
challenged ^vbd+++xvbn+=challenged
must ^md+nec+++=must
meet ^vb++++=meet
at ^rb++++=at
daybreak ^nn+++??+=daybreak
in ^in++++=in
mortal ^nn++++=mortal
combat ^nn++++=combat.
. ^zz++++=EXTRAWORD
At ^rb++++=At
twenty ^cd++++=twenty
paces ^nns++++=paces
they ^pp3a+pp3+++=they
must ^md+nec+++=must
each ^dt++++=each
discharge ^nn++++=discharge
two ^cd++++=two
horse ^nn++++=horse-pistols;
- ^zz++++=EXTRAWORD
pistols ^nns++++=EXTRAWORD
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
they ^pp3a+pp3+++=they
must ^md+nec+++=must
close ^jj++++=close
on ^in++++=on
each ^dt++++=each
other ^ap++++=other
with ^in++++=with
sabers ^nn++++=sabers;
; ^zz++++=EXTRAWORD
should ^md+nec+++=should
these ^dt+pdem+++=these
fail ^vb++++=fail
to ^to+vcmp+++=to
settle ^vbi++++=settle
the ^ati++++=the
issue ^nn++++=issue,
, ^zz++++=EXTRAWORD
each ^dt++++=each
man ^nn++++=man
is ^vbz+bez+aux++=is
provided ^vpsv++agls+xvbnx+=provided
with ^in++++=with
a ^at++++=a
poniard ^nn+++??+=poniard
for ^in++++=for
the ^ati++++=the
most ^ql+emph+++=most
intimate ^jj+atrb+++=intimate
stages ^nns++++=stages
of ^in++++=of
the ^ati++++=the
combat ^nn++++=combat.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
duels ^nns+++??+=duels
are ^vb+ber+vrb++=are
seldom ^rb++++=seldom
bloodless ^jj+pred+++=bloodless.
. ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Bonticu ^np++++=Bonticu's
's ^$++++=EXTRAWORD
lips ^nns++++=lips
formed ^vbd+++xvbn+=formed
some ^dti++++=some
syllables ^nns++++=syllables.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were:
: ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
aware ^jj+pred+++=aware
of ^in++++=of
the ^ati++++=the
consequences ^nns+nom+++=consequences
of ^in++++=of
your ^pp$+pp2+++=your
words ^nns++++=words,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pantan ^np+++??+=Pantan?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Perfectly."
perfectly ^rb+amp+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
withdraw ^vbi++++=withdraw
them ^pp3o+pp3+++=them?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Bonticu ^np+++??+=Bonticu
despite ^in++++=despite
himself ^ppl+pp3+++=himself
injected ^vbd+++xvbn+=injected
a ^at++++=a
hopeful ^jj+atrb+++=hopeful
note ^nn++++=note
into ^in++++=into
his ^pp$+pp3+++=his
query ^nn++++=query.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
withdraw ^vb++++=withdraw?
? ^zz++++=EXTRAWORD
Never ^rb++++=Never
in ^in++++=in
this ^dt+dem+++=this
life ^nn++++=life.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
contrary ^nn+nom+++=contrary,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
only ^rb+down+++=only
do ^vb+do+aux++=do
I ^pp1a+pp1+++=I
not ^xnot++not++=not
withdraw ^vb++++=withdraw,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
reiterate ^nn+nom+++=reiterate,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
bridled ^vwbn+++xvbn+=bridled
Monsieur ^npt++++=Monsieur
Pantan ^np+++??+=Pantan.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
requiescat ^nn+++??+=requiescat
in ^in++++=in
pace ^nn++++=pace
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Bonticu ^np+++??+=Bonticu
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
be ^vb+be+vrb++=be
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
sealed ^vprf+++xvbnx+=sealed
your ^pp$+pp2+++=your
own ^ap++++=own
doom ^nn++++=doom,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
prepare ^vb++++=prepare
to ^to+vcmp+++=to
attend ^vbi++++=attend
you ^pp2+pp2+++=you
first ^rb++++=first
in ^in++++=in
the ^ati++++=the
capacity ^nn+nom+++=capacity
of ^in++++=of
an ^at++++=an
opponent ^nn++++=opponent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shortly ^rb+tm+++=shortly
thereafter ^nn+nom+++=thereafter
in ^in++++=in
my ^pp$+pp1+++=my
professional ^jj+atrb+++=professional
capacity ^nn+nom+++=capacity."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pantan ^np+++??+=Pantan
sneered ^vbd+++xvbn+=sneered
openly ^rb++++=openly.
. ^zz++++=EXTRAWORD
" ^zz++++="Monsieur
monsieur ^npt++++=EXTRAWORD
the ^ati++++=the
undertaker ^nn+nom+++=undertaker
had ^vb+hv+aux++=had
better ^jjr++++=better
consider ^nn+nom+++=consider
in ^in++++=in
his ^pp$+pp3+++=his
remaining ^jj+atrb++xvbg+=remaining
hours ^nns++++=hours
whether ^cs+who+++=whether
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
feasible ^jj+pred+++=feasible
to ^in++++=to
embalm ^nn+++??+=embalm
himself ^ppl+pp3+++=himself
or ^cc++++=or
have ^vb+hv+vrb++=have
a ^at++++=a
stranger ^nn+nom+++=stranger
do ^vb+do+vrb++=do
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
With ^in++++=With
this ^dt+dem+++=this
thunderbolt ^nn++++=thunderbolt
of ^in++++=of
defiance ^nn+nom+++=defiance,
, ^zz++++=EXTRAWORD
the ^ati++++=the
little ^jj+atrb+++=little
man ^nn++++=man
turned ^vbd+++xvbn+=turned
on ^rb+phrv+++=on
his ^pp$+pp3+++=his
heel ^nn++++=heel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stumped ^vpsv++agls+xvbn+=stumped
from ^in++++=from
the ^ati++++=the
field ^nn++++=field.
. ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Bonticu ^np+++??+=Bonticu
followed ^vbd+vprv++xvbn+=followed
at ^rb++++=at
last ^rb"++++=last.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
as ^ql++++=as
one ^cd1++++=one
whose ^whp+rel+obj++=whose
knees ^nns++++=knees
have ^vb+hv+aux++=have
turned ^vprf+++xvbnx+=turned
to ^in++++=to
meringue ^nn++++=meringue
glace ^nn+++??+=glace.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
slowly ^rb++++=slowly
to ^in++++=to
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
shop ^nn++++=shop
and ^cc++++=and
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
among ^in++++=among
the ^ati++++=the
coffins ^nns+++??+=coffins.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
in ^in++++=in
his ^pp$+pp3+++=his
life ^nn++++=life
their ^pp$+pp3+++=their
presence ^nn+nom+++=presence
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
uneasy ^jj++++=uneasy.
. ^zz++++=EXTRAWORD
A ^at++++=A
big ^jj+atrb+++=big
new ^jj+atrb+++=new
one ^cd1++++=one
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
come ^vb++++=come
from ^in+ppvb+++=from
the ^ati++++=the
factory ^nn++++=factory.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
he ^pp3a+pp3+++=he
gazed ^vbd+++xvbnx+=gazed
at ^rb++++=at
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
surveyed ^vbd+++xvbnx+=surveyed
his ^pp$+pp3+++=his
own ^ap++++=own
full ^jj++++=full-blown
- ^zz++++=EXTRAWORD
blown ^vbd+++xvbn+=EXTRAWORD
physique ^nn++++=physique
with ^in++++=with
a ^at++++=a
measuring ^jj+atrb++xvbg+=measuring
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shuddered ^vbd+++xvbnx+=shuddered.
. ^zz++++=EXTRAWORD
The ^ati++++=The
light ^nn++++=light
fell ^vbd+++xvbn+=fell
on ^in+ppvb+++=on
the ^ati++++=the
silver ^nn++++=silver
plate ^nn++++=plate
on ^in++++=on
the ^ati++++=the
lid ^nn++++=lid,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
seemed ^vbd+seem+++=seemed
to ^to+vcmp+++=to
see ^vb++++=see
engraved ^vpsv++agls+xvbn+=engraved
there ^rn+pl+++=there:
: ^zz++++=EXTRAWORD
