Eleven ^cd++++=Eleven
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
going ^md"++pmd"++=going
to ^md+prd+++=to
be ^vbi+vbi+aux++=be
married ^vbd+++xvbn+=married
and ^cc+phrs+++=and
live ^vb++++=live
over ^in++++=over
the ^ati++++=the
shop ^nn++++=shop,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
all ^abn++++=all
going ^md"++pmd"++=going
to ^md+prd+++=to
be ^vbi++vrb++=be
just ^rb+emph+++=just
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
to ^to++++=to
have ^vbi++vrb++=have
the ^ati++++=the
window ^nn++++=window
to ^to++++=to
arrange ^vbi++++=arrange
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
done ^vprf+++xvbnx+=done
that ^dt+dem+++=that
window ^nn++++=window
of ^in++++=of
a ^at++++=a
Saturday ^nr++++=Saturday!
! ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
really ^rb+cnj+++=really,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
dreaming ^vbg+++xvbg+=dreaming,
, ^zz++++=EXTRAWORD
as ^ql++++=as
you ^pp2+pp2+++=you
might ^md+pos+++=might
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
done ^vprf+++xvbnx+=done
it ^pp3+it+++=it
for ^in++++=for
Christmas ^np++++=Christmas
motto ^nn++++=motto
in ^in++++=in
holly ^nn++++=holly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
and ^cc++++=and
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
'd ^md+prd+vrb++=had
my ^pp$+pp1+++=my
Easter ^np++++=Easter
lilies ^nns++++=lilies
with ^in++++=with
a ^at++++=a
gorgeous ^jj+atrb+++=gorgeous
star ^nn++++=star
all ^abn++++=all
daffodils ^nns++++=daffodils
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
hung ^vprf+++xvbnx+=hung
well ^jj+pred+++=well,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
enough ^dt++++=enough
of ^in++++=of
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
The ^ati++++=The
day ^nn++++=day
came ^vbd+++xvbn+=came
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
to ^to++++=to
call ^vbi++++=call
for ^in+ppvb+++=for
me ^pp1o+pp1+++=me
to ^to++++=to
choose ^vbi++++=choose
the ^ati++++=the
furniture ^nn++++=furniture.
. ^zz++++=EXTRAWORD
Shall ^md+prd+++=Shall
I ^pp1a+pp1+++=I
ever ^rb++++=ever
forget ^vb+vprv+tht0++=forget
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
Tuesday ^nr++++=Tuesday.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
lady ^nn++++=lady
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
quite ^abl++++=quite
herself ^ppl+pp3+++=herself
that ^cs+sub+++=that
afternoon ^nn++++=afternoon.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
that ^cs+sub+++=that
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
said ^vprf+++xvbnx+=said
anything ^pn++++=anything,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
never ^rb++++=never
does ^vbz+doz+aux++=does
or ^cc++++=or
will ^md+prd+++=will.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
by ^in++++=by
the ^ati++++=the
way ^nn++++=way
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
kept ^vbd+++xvbnx+=kept
wrapping ^jj+++xvbg+=wrapping
herself ^ppl+pp3+++=herself
up ^rp++++=up
and ^cc++++=and
asking ^jj+++xvbg+=asking
me ^pp1o+pp1+++=me
if ^cs+cnd+++=if
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
cold ^jj+pred+++=cold
and ^cc++++=and
her ^pp$+pp3+++=her
little ^ap++++=little
nose ^nn++++=nose
looked ^vbd+++xvbn+=looked
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
pinched ^j+++xvbn+=pinched.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
leaving ^xvbg+++xvbg+=leaving
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
be ^vb+be+aux++=be
worrying ^vbg+++xvbgx+=worrying
all ^abn++++=all
the ^ati++++=the
time ^nn++++=time.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
I ^pp1a+pp1+++=I
asked ^vbd+vsua+tht0+xvbnx+=asked
her ^pp$+pp3+++=her
if ^cs+cnd+++=if
she ^pp3a+pp3+++0=she'd
'd ^md+prd+vrb++=EXTRAWORD
rather ^rb++++=rather
I ^pp1a+pp1+++=I
put ^vbd+++xvbnx+=put
it ^pp3+it+++=it
off ^rp+pl+++=off.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh
oh ^uh++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
Ellen ^np++++=Ellen,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=mustn't
n't ^xnot++not++0=EXTRAWORD
mind ^nn++++=mind
about ^rb++++=about
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=mustn't
n't ^xnot++not++0=EXTRAWORD
disappoint ^vb++++=disappoint
your ^pp$+pp2+++=your
young ^jj+atrb+++=young
man ^nn++++=man."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
so ^rb+emph+++=so
cheerful ^jj++++=cheerful,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam,
, ^zz++++=EXTRAWORD
never ^rb++++=never
thinking ^nvbg+++xvbg+=thinking
about ^in++++=about
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
made ^vbd+++xvbn+=made
me ^pp1o+pp1+++=me
feel ^vb+vprv+++=feel
worse ^jjr++++=worse
than ^in++++=than
ever ^rb++++=ever.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began
to ^to++++=to
wonder ^vbi++++=wonder
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
dropped ^vbd+++xvbnx+=dropped
her ^pp$+pp3+++=her
handkerchief ^nn++++=handkerchief
and ^cc++++=and
began ^vbd+++xvbn+=began
to ^to++++=to
stoop ^vbi+++??+=stoop
down ^rp++++=down
to ^to++++=to
pick ^vbi++++=pick
it ^pp3+it+++=it
up ^rp++++=up
herself ^ppl+pp3+++=herself
a ^at++++=a
thing ^nn++++=thing
she ^pp3a+pp3+++=she
never ^rb++++=never
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
" ^zz++++="Whatever
whatever ^nn+nom+++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
doing ^vbg+++xvbg+=doing!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
running ^jj+++xvbg+=running
to ^to++++=to
stop ^vbi++++=stop
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
smiling ^jj+++xvbg+=smiling,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
have ^md"++pmd"++=have
to ^md+nec+++=to
begin ^vb++++=begin
to ^to++++=to
practise ^vbi++++=practise."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
all ^abn++++=all
I ^pp1a+pp1+++=I
could ^md+pos+++=could
do ^vb+do+vrb++=do
not ^xnot++not++=not
to ^to++++=to
burst ^vbi++++=burst
out ^rp+pl+++=out
crying ^nvbg+++xvbg+=crying.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
over ^rb+phrv+++=over
to ^in+ppvb+++=to
the ^ati++++=the
dressing ^jj+++xvbg+=dressing-table
- ^zz++++=EXTRAWORD
table ^nn++++=EXTRAWORD
and ^cc++++=and
made ^vbd+++xvbn+=made
believe ^vb+vprv+++=believe
to ^to+vcmp+++=to
rub ^vbi++++=rub
up ^rp++++=up
the ^ati++++=the
silver ^nn++++=silver,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
keep ^vb++++=keep
myself ^ppl+pp1+++=myself
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
asked ^vbd+vsua+tht0+xvbnx+=asked
her ^pp$+pp3+++=her
if ^cs+cnd+++=if
she ^pp3a+pp3+++0=she'd
'd ^md+prd+vrb++=EXTRAWORD
rather ^rb++++=rather
I ^pp1a+pp1+++=I
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
married ^jj+++xvbn+=married.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Ellen ^np++++=Ellen,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub+tht0+xvbnx+=said
that ^tht+vcmp+++=that
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam,
, ^zz++++=EXTRAWORD
like ^in++++=like
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
giving ^vbg+++xvbgx+=giving
you ^pp2+pp2+++=you
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Ellen ^np++++=Ellen,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
for ^in++++=for
the ^ati++++=the
wide ^jj+atrb+++=wide
world ^nn++++=world!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc+cls+++=But
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
said ^vbd+vpub+tht0+xvbnx+=said
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
in ^in++++=in
her ^pp$+pp3+++=her
glass ^nn++++=glass;
; ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+tht0++=know
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+tht0++=see
her ^pp$+pp3+++=her
she ^pp3a+pp3+++=she
put ^vbd+++xvbnx+=put
her ^pp$+pp3+++=her
little ^ap++++=little
hand ^nn++++=hand
on ^rp++++=on
her ^pp3o+pp3+++=her
heart ^nn++++=heart
just ^rb+emph+++=just
like ^in++++=like
her ^pp$+pp3+++=her
dear ^uh++++=dear
mother ^nn++++=mother
used ^vwbn+++xvbn+=used
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lifted ^jj+++xvbn+=lifted
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam!
! ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Harry ^np++++=Harry
came ^vbd+++xvbn+=came
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
his ^pp$+pp3+++=his
letters ^nns+nom+++=letters
all ^rb++++=all
ready ^jj++++=ready,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
ring ^nn++++=ring
and ^cc++++=and
a ^at++++=a
ducky ^nn++++=ducky
little ^jj+atrb+++=little
brooch ^nn++++=brooch
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
given ^vprf+++xvbnx+=given
me ^pp1o+pp1+++=me
a ^at++++=a
silver ^nn++++=silver
bird ^nn++++=bird
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
chain ^nn++++=chain
in ^in++++=in
its ^pp$+it+++=its
beak ^nn++++=beak,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
chain ^nn++++=chain
a ^at++++=a
heart ^nn++++=heart
with ^in++++=with
a ^at++++=a
dagger ^nn++++=dagger.
. ^zz++++=EXTRAWORD
Quite ^rb++++=Quite
the ^ati++++=the
thing ^nn++++=thing!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
door ^nn++++=door
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
time ^nn++++=time
for ^in++++=for
a ^at++++=a
word ^nn++++=word.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Take
take ^vb++++=EXTRAWORD
them ^pp3o+pp3+++=them
all ^abn++++=all
back ^jjb++++=back,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="it's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
not ^xnot++not++=not
going ^md"++pmd"++=going
to ^md+prd+++=to
marry ^vb++++=marry
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
leave ^vb++++=leave
my ^pp$+pp1+++=my
lady ^nn++++=lady."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
White ^jj++++=White!
! ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
as ^ql++++=as
white ^jj++++=white
as ^ql++++=as
a ^at++++=a
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^md"++pmd"++=had
to ^md+nec+++=to
slam ^vb++++=slam
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood,
, ^zz++++=EXTRAWORD
all ^abn++++=all
of ^in++++=of
a ^at++++=a
tremble ^vb++++=tremble,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
door ^nn++++=door
believe ^vb+vprv+++=believe
me ^pp1o+pp1+++=me
or ^cc++++=or
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam
that ^tht+rel+++=that
man ^nn++++=man
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ran ^vbd+++xvbnx+=ran
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
road ^nn++++=road
just ^rb+emph+++=just
as ^ql++++=as
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
apron ^nn++++=apron
and ^cc++++=and
my ^pp$+pp1+++=my
house ^nn++++=house-shoes,
- ^zz++++=EXTRAWORD
shoes ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
I ^pp1a+pp1+++=I
stayed ^vbd+++xvbnx+=stayed
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
the ^ati++++=the
road ^nn++++=road
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
staring ^vbg+++xvbg+=staring.
. ^zz++++=EXTRAWORD
People ^nns++++=People
must ^md+nec+++=must
have ^vb+hv+aux++=have
laughed ^vprf+++xvbnx+=laughed
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
saw ^vbd+vprv++xvbnx+=saw
me ^pp1o+pp1+++=me
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Goodness ^nns+nom+++=Goodness
gracious ^jj++++=gracious!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What's
's ^vbz+bez+vrb++0=EXTRAWORD
that ^tht+vcmp+++=that?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
clock ^nn++++=clock
striking ^vwbg+++xvbg+=striking!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
here ^rn+pl+++=here
I ^pp1a+pp1+++=I've
've ^vb+hv+vrb++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
keeping ^vbg+++xvbgx+=keeping
you ^pp2+pp2+++=you
awake ^jj++++=awake.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi+vbi+aux++=have
stopped ^vbd+++xvbn+=stopped
me ^pp1o+pp1+++=me
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
I ^pp1a+pp1+++=I
tuck ^nn+++??+=tuck
in ^in++++=in
your ^pp$+pp2+++=your
feet ^nns++++=feet?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
always ^rb++++=always
tuck ^nn+++??+=tuck
in ^in++++=in
my ^pp$+pp1+++=my
lady ^nn++++=lady's
's ^$++++=EXTRAWORD
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
every ^at++++=every
night ^nn++++=night,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
the ^ati++++=the
same ^ap++++=same.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
she ^pp3a+pp3+++=she
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
" ^zz++++="Good
good ^jj+atrb+++=EXTRAWORD
night ^nn++++=night,
, ^zz++++=EXTRAWORD
Ellen ^np++++=Ellen.
. ^zz++++=EXTRAWORD
Sleep ^nn++++=Sleep
sound ^jj++++=sound
and ^cc++++=and
wake ^vb++++=wake
early ^jj++++=early!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
should ^md+nec+++=should
do ^vb+do+vrb++=do
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+tht0++=say
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh
dear ^jj++++=dear,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sometimes ^rb++++=sometimes
think ^vb+vprv+++=think
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
whatever ^nn+nom+++=whatever
should ^md+nec+++=should
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do
if ^cs+cnd+++=if
anything ^pn++++=anything
were ^vbd+bed+vrb++=were
to ^to++++=to
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
thinking ^nvbg+++xvbg+=thinking's
's ^$++++=EXTRAWORD
no ^at++++=no
good ^jj++++=good
to ^to+jcmp+++=to
any ^dti++++=any
one ^cd1++++=one
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam?
? ^zz++++=EXTRAWORD
Thinking ^nvbg+++xvbg+=Thinking
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do
it ^pp3+it+++=it
often ^rb++++=often.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
ever ^rb++++=ever
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
I ^pp1a+pp1+++=I
pull ^vb++++=pull
myself ^ppl+pp1+++=myself
up ^rp++++=up
sharp ^jj++++=sharp,
, ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
Ellen ^np++++=Ellen.
. ^zz++++=EXTRAWORD
At ^rb++++=At
it ^pp3+it+++=it
again ^rb+tm+++=again
you ^pp2+pp2+++=you
silly ^jj+atrb+++=silly
girl ^nn++++=girl!
! ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
find ^vb+vprv+++=find
anything ^pn++++=anything
better ^jjr++++=better
to ^to+jcmp+++=to
do ^vbi++++=do
than ^in++++=than
to ^to++++=to
start ^vbi++++=start
thinking ^nn++++=thinking!
! ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="
