Seated ^xvbn+++xvbn+=Seated
the ^ati++++=the
watch ^nn++++=watch.
. ^zz++++=EXTRAWORD
The ^ati++++=The
explosion ^nn++++=explosion
of ^in++++=of
the ^ati++++=the
powder ^nn++++=powder
makes ^vbz++++=makes
the ^ati++++=the
bits ^nns++++=bits
of ^in++++0=o'
glass ^nn++++=glass
join ^nn++++=join
together ^nn+nom+++=together
agin ^jj+++??+=agin;
; ^zz++++=EXTRAWORD
in ^in++++=in
flying ^nn++++=flying
through ^in++++=through
the ^ati++++=the
air ^nn++++=air
the ^ati++++=the
wheels ^nns++++=wheels
go ^vb++++=go
round ^rb++++=round
and ^cc++++=and
round ^in++++=round
collecting ^xvbg+++xvbg+=collecting
all ^abn++++=all
the ^ati++++=the
other ^ap++++=other
parts ^nns++++=parts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
watch ^vb++++=watch
as ^ql++++=as
good ^jj++++=good
as ^ql++++=as
new ^np++++=new
and ^cc++++=and
ticking ^nvbg+++xvbg+=ticking
away ^rp+pl+++=away
its ^pp$+it+++=its
' ^zz++++='ardest
ardest ^jjt++++=EXTRAWORD
will ^md+prd+++=will
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
the ^ati++++=the
coat ^nn++++=coat-pocket
- ^zz++++=EXTRAWORD
pocket ^nn++++=EXTRAWORD
of ^in++++0=o'
the ^ati++++=the
gentleman ^nn+nom+++=gentleman
I ^pp1a+pp1+++=I
shoot ^vb++++=shoot
at ^in+strn+++=at."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pointed ^vbd+++xvbnx+=pointed
the ^ati++++=the
pistol ^nn++++=pistol
fust ^nn+++??+=fust
at ^rb++++=at
one ^cd1++++=one
and ^cc++++=and
then ^rn+tm+++=then
at ^rb++++=at
another ^dt++++=another,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
' ^zz++++='e
e ^zz++++=EXTRAWORD
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
make ^vb++++=make
up ^rp++++=up
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
none ^rb++++=none
of ^in++++=of
them ^pp3o+pp3+++0='em
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
' ^zz++++='ave
ave ^nn+++??+=EXTRAWORD
much ^ap++++=much
liking ^jj+++xvbg+=liking
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Peter ^np++++=Peter
Gubbins ^np++++=Gubbins
told ^vbd+vpub++xvbn+=told
' ^zz++++='im
im ^&fw++++=EXTRAWORD
not ^xnot++not++=not
to ^to++++=to
shoot ^vbi++++=shoot
at ^in++++=at
' ^zz++++='im
im ^&fw++++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
a ^at++++=a
' ^zz++++='ole
ole ^np++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
pocket ^nn++++=pocket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bill ^nn++++=Bill
Chambers ^nns+nom+++=Chambers,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
it ^pp3+it+++=it
pointed ^vbd+++xvbn+=pointed
at ^in++++=at
' ^zz++++='im,
im ^&fw++++=EXTRAWORD
, ^zz++++=EXTRAWORD
up ^rp++++=up
and ^cc++++=and
told ^vbd+vpub++xvbn+=told
' ^zz++++='im
im ^&fw++++=EXTRAWORD
to ^to++++=to
let ^vbi++++=let
somebody ^pn++++=somebody
else ^rb+cnj+++=else
' ^zz++++='ave
ave ^nn+++??+=EXTRAWORD
a ^at++++=a
turn ^nn++++=turn.
. ^zz++++=EXTRAWORD
The ^ati++++=The
only ^rb+down+++=only
one ^cd1++++=one
that ^dt+pdem+++=that
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
flinch ^nn+++??+=flinch
was ^vbd+bedz+vrb++=was
Bob ^np++++=Bob
Pretty ^rb+cnj+++=Pretty,
, ^zz++++=EXTRAWORD
the ^ati++++=the
biggest ^jjt++++=biggest
poacher ^jjr++++=poacher
and ^cc++++=and
the ^ati++++=the
greatest ^jjt++++=greatest
rascal ^jj++++=rascal
in ^in++++=in
Claybury ^np+++??+=Claybury.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++0=He'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
making ^vbg+++xvbgx+=making
fun ^nn++++=fun
of ^in++++0=o'
the ^ati++++=the
tricks ^nns++++=tricks
all ^abn++++=all
along ^in+strn+++=along,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying
out ^rp+pl+++=out
loud ^jj++++=loud
that ^dt+dem+++=that
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
seen ^vprf+++xvbnx+=seen
them ^pp3o+pp3+++0='em
all ^rb++++=all
afore ^in+strn+++=afore--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
done ^vprf+++xvbn+=done
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
" ^zz++++="Go
go ^vb++++=EXTRAWORD
on ^in+strn+++=on,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses;
; ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
afraid ^jj++++=afraid
of ^in++++=of
you ^pp2+pp2+++=you;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
shoot ^vb++++=shoot
straight ^jj++++=straight."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
conjurer ^nn++++=conjurer
pointed ^vbd+++xvbn+=pointed
the ^ati++++=the
pistol ^nn++++=pistol
at ^in++++=at
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
' ^zz++++='e
e ^zz++++=EXTRAWORD
pulled ^vbd+++xvbn+=pulled
the ^ati++++=the
trigger ^nn++++=trigger
and ^cc++++=and
the ^ati++++=the
pistol ^nn++++=pistol
went ^vbd+++xvbn+=went
off ^rp+pl+++=off
bang ^uh++++=bang,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
same ^ap++++=same
moment ^nn++++=moment
of ^in++++0=o'
time ^nn++++=time
Bob ^np++++=Bob
Pretty ^rb++++=Pretty
jumped ^vbd+++xvbn+=jumped
up ^rb+phrv+++=up
with ^in+ppvb+++=with
a ^at++++=a
' ^zz++++='orrible
orrible ^jj++++=EXTRAWORD
scream ^vb++++=scream,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
holding ^vbg+vprv++xvbg+=holding
his ^pp$+pp3+++=his
' ^zz++++='ands
ands ^nns+++??+=EXTRAWORD
over ^in++++=over
' ^zz++++='is
is ^vbz+bez+aux++=EXTRAWORD
eyes ^nns++++=eyes
danced ^vbd+++xvbn+=danced
about ^in++++=about
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
gone ^vprf+++xvbnx+=gone
mad ^jj++++=mad.
. ^zz++++=EXTRAWORD
Everybody ^pn++++=Everybody
started ^vbd+++xvbn+=started
up ^rp++++=up
at ^rb++++=at
once ^rb"+tm+++=once
and ^cc++++=and
got ^vpsv++agls+xvbn+=got
round ^rb++++=round
' ^zz++++='im,
im ^&fw++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
asked ^vbd+vsua++xvbn+=asked
' ^zz++++='im
im ^&fw++++=EXTRAWORD
wot ^wpr++++=wot
was ^vbd+bedz+vrb++=was
the ^ati++++=the
matter ^nn++++=matter;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Bob ^np++++=Bob
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
answer ^nn++++=answer
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
kept ^vbd+++xvbnx+=kept
on ^rb+phrv+++=on
making ^xvbg+++xvbg+=making
a ^at++++=a
dreadful ^jj+atrb+++=dreadful
noise ^nn++++=noise,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
last ^rb"++++=last
' ^zz++++='e
e ^zz++++=EXTRAWORD
broke ^vbd+++xvbn+=broke
out ^rb+phrv+++=out
of ^in+ppvb+++=of
the ^ati++++=the
room ^nn++++=room
and ^cc++++=and,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv++xvbg+=holding
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
' ^zz++++='andkercher
andkercher ^jjr++++=EXTRAWORD
to ^to++++=to
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
face ^nn++++=face,
, ^zz++++=EXTRAWORD
ran ^j+++xvbn+=ran
off ^rp+pl+++=off
' ^zz++++='ome
ome ^nn+++??+=EXTRAWORD
as ^in++++=as
' ^zz++++='ard
ard ^nn+++??+=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
could ^md+pos+++=could
run ^vb+++xvbn+=run.
. ^zz++++=EXTRAWORD
" ^zz++++="You've
you ^pp2+pp2+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
done ^vprf+++xvbnx+=done
it ^pp3+it+++=it
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
mate ^nn++++=mate,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill
Chambers ^nns+nom+++=Chambers
to ^in++++=to
the ^ati++++=the
conjurer ^nn++++=conjurer.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
you ^pp2+pp2+++=you
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+aux++=be
satisfied ^vpsv++agls+xvbnx+=satisfied
till ^cs+sub+++=till
you ^pp2+pp2+++=you'd
'd ^vbd+hvd+aux++0=EXTRAWORD
done ^vprf+++xvbnx+=done
some ^dti++++=some
' ^zz++++='arm.
arm ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
and ^cc+phrs+++=and
blinded ^vbd+++xvbn+=blinded
pore ^jj+atrb+++=pore
Bob ^np++++=Bob
Pretty ^jj++++=Pretty."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nonsense,"
nonsense ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
conjurer ^nn++++=conjurer.
. ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
frightened ^vpsv++agls+xvbnx+=frightened,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^rb++++=all."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Frightened!"
frightened ^jj+++xvbn+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Peter ^np++++=Peter
Gubbins ^np++++=Gubbins.
. ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
fired ^vbd+++xvbn+=fired
Dicky ^np+++??+=Dicky
Weed ^np++++=Weed's
's ^$++++=EXTRAWORD
watch ^vb++++=watch
straight ^jj++++=straight
into ^in++++=into
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
face ^nn++++=face."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Rubbish,"
rubbish ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
conjurer ^jjr++++=conjurer;
; ^zz++++=EXTRAWORD
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
dropped ^vbd+++xvbn+=dropped
into ^in++++=into
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
pocket ^nn++++=pocket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
find ^vb+vprv+tht0++=find
it ^pp3+it+++=it
there ^rn+pl+++=there
when ^wrb+who+++=when
' ^zz++++='e
e ^zz++++=EXTRAWORD
comes ^vbz++++=comes
to ^to++++=to
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
senses ^nns++++=senses."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
tell ^vbi++++=tell
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
Bob ^np++++=Bob
Pretty ^rb++++=Pretty
' ^zz++++='as
as ^in++++=EXTRAWORD
gone ^nn++++=gone
off ^in+pl+++=off
with ^in++++=with
my ^pp$+pp1+++=my
watch ^nn++++=watch
in ^in++++=in
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
pocket ^nn++++=pocket?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
screams ^nns++++=screams
Dicky ^np+++??+=Dicky
Weed ^nn++++=Weed.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=do,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
" ^zz++++="You'd
you ^pp2+pp2+++=EXTRAWORD
'd ^md"+hvd+pmd"++0=EXTRAWORD
better ^md++++=better
get ^vb++++=get
' ^zz++++='old
old ^jj++++=EXTRAWORD
of ^in++++=of
Bob ^np++++=Bob
afore ^in++++=afore
' ^zz++++='e
e ^zz++++=EXTRAWORD
finds ^vbz+vprv+tht0++=finds
it ^pp3+it+++=it
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
Dicky ^np+++??+=Dicky,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill
Chambers ^nns+nom+++=Chambers.
. ^zz++++=EXTRAWORD
Dicky ^np+++??+=Dicky
Weed ^nn++++=Weed
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
answer ^nn++++=answer
' ^zz++++='im;
im ^&fw++++=EXTRAWORD
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
already ^rb++splt++=already
running ^vbg+++xvbgx+=running
along ^in++++=along
to ^in++++=to
Bob ^np++++=Bob
Pretty ^np++++=Pretty's
's ^$++++=EXTRAWORD
as ^ql++++=as
fast ^rb++++=fast
as ^in++++=as
' ^zz++++='is
is ^vbz+bez+aux++=EXTRAWORD
legs ^nns++++=legs
would ^md+prd+++=would
take ^vb++++=take
' ^zz++++='im,
im ^&fw++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
most ^ap+emph+++=most
of ^in++++=of
us ^pp1o+pp1+++=us
follering ^jj+++xvbg+=follering
behind ^in+pl+++=behind
to ^to++++=to
see ^vbi+vprv+++=see
wot ^wpr++++=wot
' ^zz++++='appened.
appened ^jj+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
door ^nn++++=door
was ^vbd+bedz+aux++=was
fastened ^vpsv++agls+xvbnx+=fastened
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Dicky ^np+++??+=Dicky
Weed ^nn++++=Weed
banged ^vbd+++xvbn+=banged
away ^rp+pl+++=away
at ^in++++=at
it ^pp3+it+++=it
as ^in++++=as
' ^zz++++='ard
ard ^nn+++??+=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
could ^md+pos+++=could
bang ^vb++++=bang,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
last ^rb"++++=last
the ^ati++++=the
bedroom ^nn++++=bedroom
winder ^jjr++++=winder
went ^vbd+++xvbn+=went
up ^rp++++=up
and ^cc++++=and
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Pretty ^np++++=Pretty
stuck ^vbd+++xvbn+=stuck
her ^pp$+pp3+++=her
' ^zz++++='ead
ead ^nn+++??+=EXTRAWORD
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
" ^zz++++="H'sh!"
h ^zz++++=EXTRAWORD
'sh!" ^nn+++??+=EXTRAWORD
she ^pp3a+pp3+++=she
ses ^nns+++??+=ses,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
whisper ^nn++++=whisper.
. ^zz++++=EXTRAWORD
" ^zz++++="Go
go ^vb++++=EXTRAWORD
away ^rp+pl+++=away."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
Bob ^np++++=Bob,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Dicky ^np+++??+=Dicky
Weed ^nn++++=Weed.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
' ^zz++++='im,"
im ^&fw++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Pretty ^np++++=Pretty.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
getting ^vbg+++xvbgx+=getting
' ^zz++++='im
im ^&fw++++=EXTRAWORD
to ^in++++=to
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+aux++0=EXTRAWORD
been ^vpsv++agls+xvbnx+=been
shot ^vpsv++agls+xvbnx+=shot,
, ^zz++++=EXTRAWORD
pore ^jj+atrb+++=pore
dear ^nn++++=dear.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
' ^zz++++='ear
ear ^nn++++=EXTRAWORD
' ^zz++++='im
im ^&fw++++=EXTRAWORD
groaning ^jj+++xvbg+=groaning?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
' ^zz++++='adn't
ad ^&fw++++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
up ^in+cmpx+++=up
to ^in"++++=to
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a'most
'most ^nn++be+??+0=EXTRAWORD
direckly ^jj++++=direckly
arter ^jjr++++=arter
she ^pp3a+pp3+++=she
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
spoke ^vbd+++xvbn+=spoke
you ^pp2+pp2+++=you
could ^md+pos+++=could
ha ^uh++++=ha'
' ^zz++++=EXTRAWORD
heard ^vbn+vprv++xvbn+=heard
Bob ^np++++=Bob's
's ^$++++=EXTRAWORD
groans ^nn++++=groans
a ^at++++=a
mile ^nn++++=mile
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Dreadful ^jj++++=Dreadful,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
" ^zz++++="There,
there ^rn+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
pore ^jj+atrb+++=pore
dear ^nn++++=dear,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Pretty ^np++++=Pretty.
. ^zz++++=EXTRAWORD
" ^zz++++="Shall
shall ^md+prd+++=EXTRAWORD
I ^pp1a+pp1+++=I
come ^vb++++=come
in ^in++++=in
and ^cc++++=and
' ^zz++++='elp
elp ^nn+++??+=EXTRAWORD
you ^pp2+pp2+++=you
get ^vb++++=get
' ^zz++++='im
im ^&fw++++=EXTRAWORD
to ^in++++=to
bed ^nn++++=bed?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Dicky ^np+++??+=Dicky
Weed ^nn++++=Weed,
, ^zz++++=EXTRAWORD
' ^zz++++='arf
arf ^nn+++??+=EXTRAWORD
crying ^vwbg+++xvbg+=crying.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
thank ^vb++++=thank
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Weed ^np++++=Weed,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Pretty ^np++++=Pretty.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
very ^ql+amp+++=very
kind ^rb++++=kind
of ^rb"++++=of
you ^pp2+pp2+++=you
to ^to++++=to
offer ^vbi++++=offer,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
' ^zz++++='e
e ^zz++++=EXTRAWORD
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
any ^dti++++=any
hands ^nns++++=hands
but ^cc++++=but
mine ^nn++++=mine
to ^in++++=to
touch ^nn++++=touch
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
send ^vb++++=send
in ^in++++=in
and ^cc++++=and
let ^vb+++xvbn+=let
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
' ^zz++++='ow
ow ^nn+++??+=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
fust ^nn+++??+=fust
thing ^nn++++=thing
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Try
try ^vb++++=EXTRAWORD
and ^cc+phrs+++=and
get ^vb++++=get
' ^zz++++='old
old ^jj++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
Dicky ^np+++??+=Dicky,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill
Chambers ^nns+nom+++=Chambers,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
whisper ^nn++++=whisper.
. ^zz++++=EXTRAWORD
" ^zz++++="Offer
offer ^nn++++=EXTRAWORD
to ^to++++=to
mend ^vbi++++=mend
it ^pp3+it+++=it
for ^in++++=for
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
sure ^jj++++=sure
to ^to+jcmp+++=to
want ^vbi++++=want
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
sorry ^uh++++=sorry
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
no ^at++++=no
' ^zz++++='elp
elp ^nn+++??+=EXTRAWORD
to ^in++++=to
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Dicky ^np+++??+=Dicky
Weed ^nn++++=Weed,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
noticed ^vbd+vprv++xvbnx+=noticed
a ^at++++=a
rent ^nn++++=rent
in ^in++++=in
Bob ^np++++=Bob's
's ^$++++=EXTRAWORD
coat ^nn++++=coat
and ^cc++++=and,
, ^zz++++=EXTRAWORD
as ^in++++=as
' ^zz++++='e's
e ^zz++++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
likely ^jj++++=likely
to ^to+jcmp+++=to
be ^vbi+vbi+aux++=be
laid ^vpsv++agls+xvbnx+=laid
up ^rp++++=up
a ^at++++=a
bit ^nn++++=bit,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
ud ^nn+++??+=ud
be ^vb+be+vrb++=be
a ^at++++=a
good ^jj+atrb+++=good
opportunity ^nn+nom+++=opportunity
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
mend ^vbi++++=mend
it ^pp3+it+++=it
for ^in++++=for
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
charge ^nn++++=charge
' ^zz++++='im
im ^&fw++++=EXTRAWORD
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
drop ^vb++++=drop
it ^pp3+it+++=it
down ^rp++++=down
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do
it ^pp3+it+++=it
now ^rn+tm+++=now."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Thankee,"
thankee ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Pretty ^np++++=Pretty;
; ^zz++++=EXTRAWORD
" ^zz++++="if
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
just ^rb+emph+++=just
wait ^vb++++=wait
a ^at++++=a
moment ^nn++++=moment
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
clear ^vb++++=clear
the ^ati++++=the
pockets ^nns++++=pockets
out ^rp+pl+++=out
and ^cc++++=and
drop ^nn++++=drop
it ^pp3+it+++=it
down ^rp++++=down
to ^in++++=to
you ^pp2+pp2+++=you."
