Four ^cd++++=Four
as ^ql++++=EXTRAWORD
long ^rb++++=long
as ^ql++++=as
your ^pp$+pp2+++=your--oh,
-- ^--+clp+++=EXTRAWORD
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my!
! ^zz++++=EXTRAWORD
Think ^vb+vprv+++=Think
of ^in++++=of
a ^at++++=a
shark ^nn+++??+=shark
having ^vwbg+hvg++xvbg+=having
a ^at++++=a
leg ^nn++++=leg!
! ^zz++++=EXTRAWORD
Ha ^uh++++=Ha,
, ^zz++++=EXTRAWORD
ha ^uh++++=ha,
, ^zz++++=EXTRAWORD
ha ^uh++++=ha!
! ^zz++++=EXTRAWORD
Long ^jj++++=Long
as ^ql++++=as
your ^pp$+pp2+++=your
leg ^nn++++=leg!
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my!
! ^zz++++=EXTRAWORD
Pardon ^np+++??+=Pardon
my ^pp$+pp1+++=my
levity ^nn++++=levity,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
must ^md+nec+++=must
laugh ^vb++++=laugh.
. ^zz++++=EXTRAWORD
Ha ^uh++++=Ha,
, ^zz++++=EXTRAWORD
ha ^uh++++=ha,
, ^zz++++=EXTRAWORD
ha ^uh++++=ha!
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my!
! ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
of ^in++++=of
you ^pp2+pp2+++=you
swore ^vbd+vpub++xvbn+=swore--you
-- ^--+clp+++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other
sharks ^nns++++=sharks.
. ^zz++++=EXTRAWORD
No ^at++++=No
lying ^nvbg+++xvbg+=lying;
; ^zz++++=EXTRAWORD
no ^at++++=no
deceit ^nn++++=deceit;
; ^zz++++=EXTRAWORD
no ^at++++=no
swindling ^nn+nom+++=swindling.
. ^zz++++=EXTRAWORD
First ^od++++=First
shark ^vb+++??+=shark
that ^dt+pdem+++=that
makes ^vbz++++=makes
a ^at++++=a
slip ^nn++++=slip
is ^vbz+bez+aux++=is
to ^to++++=to
call ^vbi++++=call
the ^ati++++=the
skipper ^nn++++=skipper
and ^cc++++=and
be ^vb+be+aux++=be
sent ^vpsv++agls+xvbnx+=sent
adrift ^rb++++=adrift
with ^in++++=with
one ^cd1++++=one
oar ^nn++++=oar
and ^cc++++=and
nothing ^pn++++=nothing
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
pledged ^vprf+++xvbnx+=pledged
your ^pp$+pp2+++=your
honor ^nn++++=honor
to ^in++++=to
your ^pp$+pp2+++=your
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
God ^nn++++=God,
, ^zz++++=EXTRAWORD
yourself ^ppl+pp2+++=yourself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
your ^pp$+pp2+++=your
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
true ^jj+atrb+++=true
and ^cc+phrs+++=and
honorable ^jj+atrb+++=honorable
shark ^nn+++??+=shark.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
the ^ati++++=the
hot ^jj+atrb+++=hot
sun ^nn++++=sun
broiling ^nn+nom+++=broiling
you ^pp2+pp2+++=you
and ^cc++++=and
covering ^nvbg+++xvbg+=covering
you ^pp2+pp2+++=you
with ^in++++=with
bursting ^xvbg+++xvbg+=bursting
blisters ^nns+nom+++=blisters,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
changing ^vbg+++xvbg+=changing
the ^ati++++=the
marrow ^nn+++??+=marrow
of ^in++++=of
your ^pp$+pp2+++=your
bones ^nns++++=bones
to ^to++++=to
melted ^vbi++++=melted
iron ^nn++++=iron
and ^cc++++=and
your ^pp$+pp2+++=your
blood ^nn++++=blood
to ^in++++=to
hissing ^jj+atrb+++=hissing
lava ^nn++++=lava--it
-- ^--+clp+++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
the ^ati++++=the
sun ^nn++++=sun
that ^tht+rel+subj++=that
hurts ^vbz++++=hurts;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
hunger ^nn++++=hunger
that ^tht+rel+obj++=that
gnaws ^nns+++??+=gnaws
your ^pp$+pp2+++=your
intestines ^nns++++=intestines
to ^in++++=to
rags ^nns++++=rags,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
thirst ^nn++++=thirst
that ^tht+rel+obj++=that
changes ^nns++++=changes
your ^pp$+pp2+++=your
throat ^nn++++=throat
into ^in++++=into
a ^at++++=a
funnel ^nn++++=funnel
of ^in++++=of
hot ^jj+atrb+++=hot
brass ^nn++++=brass,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
blinding ^jj+atrb+++=blinding
bursts ^nns++++=bursts
of ^in++++=of
red ^jj+atrb+++=red
fire ^nn++++=fire
in ^in++++=in
your ^pp$+pp2+++=your
head ^nn++++=head,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lying ^vbg+++xvbg+=lying
dead ^jj++++=dead
in ^in++++=in
the ^ati++++=the
waist ^nn++++=waist
of ^in++++=of
the ^ati++++=the
boat ^nn++++=boat
while ^cs+sub+++=while
the ^ati++++=the
sun ^nn++++=sun
steals ^vbz++++=steals
thirty ^cd++++=thirty
degrees ^nns+nom+++=degrees
of ^in++++=of
time ^nn++++=time
out ^rp+pl+++=out
the ^ati++++=the
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
million ^cd++++=million
fiery ^jj+atrb+++=fiery
tadpoles ^nns+++??+=tadpoles
darting ^vwbg+++xvbg+=darting
through ^in++++=through
the ^ati++++=the
air ^nn++++=air--none
-- ^--+clp+++=EXTRAWORD
none ^pn++++=EXTRAWORD
of ^in++++=of
them ^pp3o+pp3+++=them
hurts ^vbz++++=hurts
so ^ql++++=so
much ^ap++++=much
as ^ql++++=as
something ^pn++++=something
infinitely ^rb++++=infinitely
deeper ^jjr++++=deeper
and ^cc++++=and
more ^ql++++=more
cruel, ^nn+++??+=cruel,--your
-- ^--+clp+++=EXTRAWORD
your ^pp$+pp2+++=EXTRAWORD
broken ^jj+atrb++xvbn+=broken
pledge ^nn++++=pledge
of ^in++++=of
honor ^nn++++=honor
to ^in++++=to
your ^pp$+pp2+++=your
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
God ^nn++++=God,
, ^zz++++=EXTRAWORD
yourself ^ppl+pp2+++=yourself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
your ^pp$+pp2+++=your
friends ^nns++++=friends.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
hurts ^nns++++=hurts,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
late ^jj+pred+++=late,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
to ^to++++=to
begin ^vbi++++=begin
life ^nn++++=life
all ^abn++++=all
over ^in++++=over
again ^rb+tm+++=again
while ^cs+sub+++=while
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
in ^in++++=in
the ^ati++++=the
article ^nn++++=article
of ^in++++=of
death ^nn++++=death,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
resolve ^vb++++=resolve
to ^to+vcmp+++=to
be ^vbi++vrb++=be
good ^jj+pred+++=good
when ^wrb+who+++=when
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
no ^at++++=no
longer ^rbr++++=longer
possible ^jj++++=possible
to ^to+jcmp+++=to
be ^vbi++vrb++=be
bad ^jj+pred+++=bad.
. ^zz++++=EXTRAWORD
But ^cs+sub+++=But
that ^cs"++++=that
is ^vbz+bez+vrb++=is
our ^pp$+pp1+++=our
affair ^nn++++=affair,
, ^zz++++=EXTRAWORD
yours ^pp$$++++=yours
and ^cc++++=and
mine ^pp$$++++=mine;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
just ^rb+emph+++=just
at ^in++++=at
this ^dt+dem+++=this
time ^nn++++=time
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
not ^xnot++not++=not
choosing ^vb+++xvbg+=choosing
to ^to+vcmp+++=to
discuss ^vbi++++=discuss
the ^ati++++=the
utility ^nn+nom+++=utility
of ^in++++=of
goodness ^nns+nom+++=goodness.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
that ^dt+dem+++=that
sneer ^nn++++=sneer
in ^in++++=in
your ^pp$+pp2+++=your
glance ^nn++++=glance.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
only ^rb+down+++=only
one ^cd1++++=one
oar ^nn++++=oar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
will ^md+prd+++=will
cheerfully ^rb++splt++=cheerfully
break ^vb++++=break
it ^pp3+it+++=it
over ^in++++=over
your ^pp$+pp2+++=your
wretched ^jj++++=wretched
head ^jjb++++=head
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
come ^vb++++=come
a ^at++++=a
yard ^nn++++=yard
nearer.. ^nn+++??+=nearer....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Aha!
aha ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
Thought ^j+++xvbn+=Thought
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
eh ^uh++++=eh?
? ^zz++++=EXTRAWORD
See ^vb+vprv+++=See;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
stand ^vb++++=stand
steady ^jj++++=steady
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
try ^vb++++=try.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
that ^dt+dem+++=that
sneer ^nn++++=sneer
in ^in++++=in
your ^pp$+pp2+++=your
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+++=believe
in ^in++++=in
the ^ati++++=the
reformation ^nn+nom+++=reformation
of ^in++++=of
the ^ati++++=the
dying ^nvbg+++xvbg+=dying,
, ^zz++++=EXTRAWORD
eh ^uh++++=eh?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
a ^at++++=a
contemptible ^jj+atrb+++=contemptible
dog ^nn++++=dog;
; ^zz++++=EXTRAWORD
a ^at++++=a
low ^jj++++=low,
, ^zz++++=EXTRAWORD
mean ^jj++++=mean,
, ^zz++++=EXTRAWORD
outcast ^nn++++=outcast
dog ^nn++++=dog.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
sneer ^vb++++=sneer
at ^in++++=at
the ^ati++++=the
declaration ^nn+nom+++=declaration
of ^in++++=of
a ^at++++=a
man ^nn++++=man
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
can ^md+pos+++=can
and ^cc++++=and
will ^md+prd+++=will
be ^vb+be+vrb++=be
honest ^jj+pred+++=honest
at ^rb++++=at
last ^rb"++++=last
and ^cc++++=and
face ^vb++++=face
his ^pp$+pp3+++=his
Maker ^nn++++=Maker
humbly ^rb+cnj+++=humbly,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
still ^rb++++=still
as ^in++++=as
a ^at++++=a
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
let ^vb+++xvbn+=let
us ^pp1o+pp1+++=us
see ^vb+vprv+++=see
which ^wdt+who+whcl++=which
of ^in++++=of
us ^pp1o+pp1+++=us
two ^cd++++=two
is ^vbz+bez+vrb++=is
the ^ati++++=the
decent ^jj+atrb+++=decent
and ^cc+phrs+++=and
honorable ^jj+atrb+++=honorable
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Stake ^nn++++=Stake
your ^pp$+pp2+++=your
manhood ^nn+nom+++=manhood
against ^in++++=against
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stake ^nn++++=stake
your ^pp$+pp2+++=your
life ^nn++++=life
with ^in++++=with
your ^pp$+pp2+++=your
manhood ^nn+nom+++=manhood.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We'll
'll ^md+prd+++0=EXTRAWORD
see ^vb+vprv+++=see
which ^whp+who+++=which
is ^vbz+bez+vrb++=is
the ^ati++++=the
more ^rbr++++=more
honorable ^jj++++=honorable
of ^in++++=of
the ^ati++++=the
two ^cd++++=two;
; ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Shark ^np++++=Shark,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
going ^md"++pmd"++=going
to ^md+prd+++=to
gamble ^vb++++=gamble
for ^in++++=for
our ^pp$+pp1+++=our
lives ^nns++++=lives
and ^cc++++=and
our ^pp$+pp1+++=our
honor ^nn++++=honor.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
up ^rp++++=up
closer ^rbr++++=closer
and ^cc++++=and
watch ^vb++++=watch
the ^ati++++=the
throw ^nn++++=throw.
. ^zz++++=EXTRAWORD
No ^at++++=No?
? ^zz++++=EXTRAWORD
Afraid ^jj++++=Afraid
of ^in++++=of
the ^ati++++=the
oar ^nn++++=oar?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
sneaking ^jj+atrb+++=sneaking
coward ^nn++++=coward!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
decent ^jj+atrb+++=decent
shark ^nn+++??+=shark
at ^rb++++=at
last ^rb"++++=last
did ^vbd+dod+vrb++=did
the ^ati++++=the
oar ^nn++++=oar
but ^cc++++=but
split ^nn+++xvbn+=split
your ^pp$+pp2+++=your
skull ^nn++++=skull.
. ^zz++++=EXTRAWORD
See ^vb+vprv+++=See
this ^dt+dem+++=this
visiting ^jj+atrb++xvbg+=visiting
card ^nn++++=card,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
villain ^nn++++=villain?
? ^zz++++=EXTRAWORD
Look ^vb++++=Look
at ^rb++++=at
it ^pp3+it+++=it
as ^ql++++=as
I ^pp1a+pp1+++=I
hold ^vb+vprv+tht0++=hold
it ^pp3+it+++=it
up ^rp++++=up.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+aux++=is
printing ^vbg+++xvbgx+=printing
on ^in++++=on
one ^cd1++++=one
side ^nn++++=side;
; ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
name ^nn++++=name;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
side ^nn++++=side
is ^vbz+bez+vrb++=is
blank ^jj+pred+++=blank;
; ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
going ^md"++pmd"++=going
to ^md+prd+++=to
throw ^vb++++=throw
this ^dt+dem+++=this
into ^in++++=into
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
falls ^vbz++++=falls
name ^nn++++=name
up ^rp++++=up,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
win ^vb++++=win;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
blank ^jj+atrb+++=blank
side ^nn++++=side
up ^rp++++=up,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
win ^vb++++=win.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
win ^vb++++=win,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
eat ^vb++++=eat
you ^pp2+pp2+++=you;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
win ^vb++++=win,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
eat ^vb++++=eat
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
that ^tht+vcmp+++=that
a ^at++++=a
go ^vb++++=go?
? ^zz++++=EXTRAWORD
" ^zz++++="Hold
hold ^nn++++=EXTRAWORD
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
throw ^vb++++=throw
a ^at++++=a
card ^nn++++=card
so ^rb++++=so
as ^in++++=as
to ^in"++++=to
bring ^vb++++=bring
uppermost ^jj++++=uppermost
either ^dtx++++=either
side ^nn++++=side
I ^pp1a+pp1+++=I
please ^uh++++=please.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
fair ^jj+pred+++=fair.
. ^zz++++=EXTRAWORD
For ^in++++=For
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
the ^ati++++=the
last ^rb++++=last
game ^nn++++=game
of ^in++++=of
my ^pp$+pp1+++=my
life ^nn++++=life,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
to ^to++++=to
be ^vbi++vrb++=be
square ^nn++++=square.
. ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
fold ^nn++++=fold
one ^cd1++++=one
end ^nn++++=end
down ^rp++++=down
on ^in++++=on
this ^dt+dem+++=this
side ^nn++++=side,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
other ^ap++++=other
down ^rp++++=down
on ^in++++=on
that ^dt+dem+++=that
side ^nn++++=side.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
you ^pp2+pp2+++=you
throw ^vb++++=throw
a ^at++++=a
card ^nn++++=card
folded ^vbd+++xvbn+=folded
like ^in++++=like
that ^dt+dem+++=that
no ^at++++=no
living ^jj+atrb++xvbg+=living
shark ^nn+++??+=shark,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
have ^vb+hv+vrb++=have
legs ^nns++++=legs
or ^cc++++=or
only ^rb+down+++=only
a ^at++++=a
tail ^nn++++=tail,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
know ^vb+vprv+++=know
which ^wdt+who+whcl++=which
side ^nn++++=side
will ^md+prd+++=will
fall ^vb++++=fall
uppermost ^jj++++=uppermost.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
a ^at++++=a
square ^nn++++=square
game ^nn++++=game,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
will ^md+prd+++=will
settle ^vb++++=settle
the ^ati++++=the
little ^jj+atrb+++=little
difference ^nn+nom+++=difference
that ^tht+rel+subj++=that
has ^vbz+hvz+aux++=has
existed ^vprf+++xvbnx+=existed
between ^in++++=between
you ^pp2+pp2+++=you
and ^cc++++=and
me ^pp1o+pp1+++=me
for ^in++++=for
four ^cd++++=four
days ^nns++++=days
past ^nn++++=past--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
difference ^nn+nom+++=difference
of ^in++++=of
ten ^cd++++=ten
or ^cc++++=or
fifteen ^cd++++=fifteen
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
" ^zz++++="Mind
mind ^nn++++=EXTRAWORD
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
win ^vb++++=win,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
to ^to++++=to
come ^vbi++++=come
alongside ^in+pl+++=alongside
the ^ati++++=the
boat ^nn++++=boat
and ^cc++++=and
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
to ^to++++=to
kill ^vbi++++=kill
you ^pp2+pp2+++=you
and ^cc++++=and
eat ^vb++++=eat
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
may ^md+pos+++=may
sustain ^vb++++=sustain
my ^pp$+pp1+++=my
life ^nn++++=life
until ^cs+sub+++=until
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
picked ^vpsv++agls+xvbnx+=picked
up ^rp++++=up.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
win ^vb++++=win,
, ^zz++++=EXTRAWORD
over ^in++++=over
I ^pp1a+pp1+++=I
go ^vb++++=go
and ^cc++++=and
you ^pp2+pp2+++=you
eat ^vb++++=eat
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
you ^pp2+pp2+++=you
in ^in++++=in
the ^ati++++=the
game ^nn++++=game?
? ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
here ^rn+pl+++=here
goes ^vbz++++=goes,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
for ^in++++=for
life ^nn++++=life
or ^cc++++=or
death.. ^nn+++??+=death....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah!
! ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
won ^vprf+++xvbnx+=won!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
a ^at++++=a
game ^nn++++=game
of ^in++++=of
honor ^nn++++=honor!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
A ^at++++=A
black ^jj++++=black-smoking
- ^zz++++=EXTRAWORD
smoking ^vbg+++xvbg+=EXTRAWORD
steamer ^np++++=steamer
was ^vbd+bedz+aux++=was
steadily ^rb++splt++=steadily
approaching ^vbg+++xvbgx+=approaching
the ^ati++++=the
drifting ^jj+atrb++xvbg+=drifting
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
lookout ^nn++++=lookout
had ^vbd+hvd+aux++=had
reported ^vprf+++xvbnx+=reported
the ^ati++++=the
discovery ^nn+nom+++=discovery,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
steamer ^nn++++=steamer
was ^vbd+bedz+aux++=was
bearing ^vbg+++xvbgx+=bearing
down ^rp++++=down
to ^to++++=to
lend ^vbi++++=lend
succor ^vb++++=succor.
. ^zz++++=EXTRAWORD
The ^ati++++=The
captain ^nn++++=captain,
, ^zz++++=EXTRAWORD
standing ^vbg+++xvbg+=standing
on ^in++++=on
the ^ati++++=the
bridge ^nn++++=bridge,
, ^zz++++=EXTRAWORD
saw ^j+++xvbn+=saw
through ^in++++=through
his ^pp$+pp3+++=his
glass ^nn++++=glass
a ^at++++=a
wild ^jj++++=wild
and ^cc++++=and
nearly ^rb+down+++=nearly
naked ^jj+atrb+++=naked
man ^nn++++=man
making ^vwbg+++xvbg+=making
the ^ati++++=the
most ^ql+emph+++=most
extraordinary ^jj+atrb+++=extraordinary
signs ^nns++++=signs
and ^cc++++=and
gestures ^nns++++=gestures,
, ^zz++++=EXTRAWORD
staggering ^jj++++=staggering
and ^cc++++=and
lurching ^nn++++=lurching
in ^in++++=in
imminent ^jj+atrb+++=imminent
danger ^nn++++=danger
of ^in++++=of
falling ^xvbg+++xvbg+=falling
overboard ^rb+pl+++=overboard.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
ship ^nn++++=ship
had ^vbd+hvd+aux++=had
approached ^vprf+++xvbnx+=approached
quite ^abl++++=quite
near ^rb++++=near
the ^ati++++=the
captain ^nn++++=captain
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
man ^nn++++=man
toss ^nn++++=toss
a ^at++++=a
card ^nn++++=card
into ^in++++=into
the ^ati++++=the
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
stand ^vb++++=stand
with ^in++++=with
an ^at++++=an
ominous ^jj+atrb+++=ominous
rigidity ^nn+nom+++=rigidity,
, ^zz++++=EXTRAWORD
the ^ati++++=the
meaning ^jj+++xvbg+=meaning
of ^in++++=of
which ^whp+rel+pied++=which
was ^vbd+bedz+vrb++=was
unmistakable ^jj+pred+++=unmistakable.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sounded ^vbd+++xvbnx+=sounded
a ^at++++=a
blast ^nn++++=blast
from ^in++++=from
the ^ati++++=the
whistle ^nn++++=whistle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
drifting ^jj+atrb++xvbg+=drifting
man ^nn++++=man
started ^vbd+++xvbn+=started
violently ^rb++++=violently
and ^cc++++=and
turned ^vbd+++xvbn+=turned
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
steamer ^np++++=steamer
approaching ^vwbg+++xvbg+=approaching,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
observed ^jj+atrb++xvbn+=observed
hasty ^jj+atrb+++=hasty
preparations ^nns+nom+++=preparations
for ^in++++=for
the ^ati++++=the
lowering ^nn++++=lowering
of ^in++++=of
a ^at++++=a
boat ^nn++++=boat.
. ^zz++++=EXTRAWORD
