No ^at++++=No
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
child ^nn++++=child.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
father ^nn++++=father
is ^vbz+bez+vrb++=is
a ^at++++=a
lawyer ^nn++++=lawyer"
" ^zz++++=EXTRAWORD
( ^zz++++=(the
the ^ati++++=EXTRAWORD
bandits ^nns++++=bandits
shuddered ^vbd+++xvbn+=shuddered),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
my ^pp$+pp1+++=my
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
cousin ^nn++++=cousin
is ^vbz+bez+vrb++=is
a ^at++++=a
police ^nns++++=police
inspector ^nn++++=inspector."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ah,"
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Victor ^nn++++=Victor,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
good ^jj+atrb+++=good
employment ^nn+nom+++=employment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
police ^nns++++=police
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
be ^vbi+vbi+aux++=be
inspected ^vbd+++xvbn+=inspected,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
in ^in++++=in
Italy ^np++++=Italy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Everywhere!"
everywhere ^rb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
added ^vbd+vpub++xvbn+=added
Beni ^np+++??+=Beni.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
could ^md+pos+++=could
do ^vb+do+vrb++=do
other ^ap++++=other
things ^nns++++=things,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
continued ^vbd+++xvbn+=continued
Martha ^np+++??+=Martha,
, ^zz++++=EXTRAWORD
encouragingly ^rb++++=encouragingly.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
could ^md+pos+++=could
be ^vb+be+vrb++=be
motor ^nn++++=motor
men ^nns++++=men
on ^in++++=on
trolley ^nn++++=trolley
cars ^nns++++=cars,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
clerks ^nns++++=clerks
in ^in++++=in
a ^at++++=a
department ^nn+nom+++=department
store ^nn++++=store.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
people ^nns++++=people
even ^rb++++=even
become ^vb++++=become
aldermen ^nns++++=aldermen
to ^to++++=to
earn ^vbi++++=earn
a ^at++++=a
living ^nvbg+++xvbg+=living."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
bandits ^nns++++=bandits
shook ^vbd+++xvbn+=shook
their ^pp$+pp3+++=their
heads ^nns++++=heads
sadly ^rb++++=sadly.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
are ^vb+ber+aux++=are
not ^xnot++not++=not
fitted ^vbd+++xvbn+=fitted
for ^in++++=for
such ^abl++++=such
work ^nn++++=work,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Victor ^nn++++=Victor.
. ^zz++++=EXTRAWORD
" ^zz++++="Our
our ^pp$+pp1+++=EXTRAWORD
business ^nns+nom+++=business
is ^vbz+bez+aux++=is
to ^to++++=to
rob ^vbi++++=rob."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Martha ^np+++??+=Martha
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
think ^vbi+vprv+++=think.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
rather ^rb++++=rather
hard ^jj+pred+++=hard
to ^to+jcmp+++=to
get ^vbi++++=get
positions ^nns+nom+++=positions
in ^in++++=in
the ^ati++++=the
gas ^nn++++=gas
office ^nn++++=office,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
might ^md+pos+++=might
become ^vb++++=become
politicians ^nns++++=politicians."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No!"
no ^at++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Beni ^np+++??+=Beni,
, ^zz++++=EXTRAWORD
with ^in++++=with
sudden ^jj+atrb+++=sudden
fierceness ^nns+nom+++=fierceness;
; ^zz++++=EXTRAWORD
" ^zz++++="we
we ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
not ^xnot++not++=not
abandon ^vb++++=abandon
our ^pp$+pp1+++=our
high ^jj+atrb+++=high
calling ^nvbg+++xvbg+=calling.
. ^zz++++=EXTRAWORD
Bandits ^nns++++=Bandits
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
always ^rb++splt++=always
been ^vprf+ben+vrb+xvbnx+=been,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bandits ^nns++++=bandits
we ^pp1a+pp1+++=we
must ^md+nec+++=must
remain ^vb++++=remain!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="'Tis
it ^pp3+it+++0=EXTRAWORD
is ^vbz+bez+vrb++=EXTRAWORD
so ^ql++++=so!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
agreed ^vbd+vpub++xvbn+=agreed
the ^ati++++=the
fat ^nn++++=fat
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="Even
even ^rb++++=EXTRAWORD
in ^in++++=in
Chicago ^np++++=Chicago
there ^ex+pex+++=there
must ^md+nec+++=must
be ^vb+be+vrb++=be
people ^nns++++=people
to ^to++++=to
rob ^vbi++++=rob,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
remarked ^vprf+++xvbn+=remarked
Victor ^nn++++=Victor,
, ^zz++++=EXTRAWORD
with ^in++++=with
cheerfulness ^nns+nom+++=cheerfulness.
. ^zz++++=EXTRAWORD
Martha ^np+++??+=Martha
was ^vbd+bedz+aux++=was
distressed ^vpsv++agls+xvbnx+=distressed.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+tht0++=think
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
all ^rb++splt++=all
been ^vprf+ben+aux+xvbnx+=been
robbed ^vpsv++agls+xvbnx+=robbed,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
objected ^vbd+vpub++xvbnx+=objected.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
we ^pp1a+pp1+++=we
can ^md+pos+++=can
rob ^vb++++=rob
the ^ati++++=the
robbers ^nns+nom+++=robbers,
, ^zz++++=EXTRAWORD
for ^in++++=for
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
experience ^nn+nom+++=experience
and ^cc++++=and
talent ^nn++++=talent
beyond ^in++++=beyond
the ^ati++++=the
ordinary ^jj++++=ordinary,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Beni ^np+++??+=Beni.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
dear ^jj++++=dear;
; ^zz++++=EXTRAWORD
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
dear ^jj++++=dear!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
moaned ^vbd+++xvbn+=moaned
the ^ati++++=the
girl ^nn++++=girl;
; ^zz++++=EXTRAWORD
" ^zz++++="why
why ^wrb+who+whq++=EXTRAWORD
did ^vbd+dod+aux++=did
Uncle ^nn++++=Uncle
Walter ^np++++=Walter
ever ^rb++++=ever
send ^vb++++=send
you ^pp2+pp2+++=you
here ^rn+pl+++=here
in ^in++++=in
this ^dt+dem+++=this
chest ^nn++++=chest?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
bandits ^nns++++=bandits
became ^vbd+++xvbn+=became
interested ^jj++++=interested.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
should ^md+nec+++=should
like ^vb++++=like
to ^to+vcmp+++=to
know ^vbi+vprv+++=know,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
declared ^vbd+vpub++xvbn+=declared
Victor ^nn++++=Victor,
, ^zz++++=EXTRAWORD
eagerly ^rb++++=eagerly.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
will ^md+prd+++=will
ever ^rb++splt++=ever
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
for ^in++++=for
Uncle ^nn++++=Uncle
Walter ^np++++=Walter
was ^vbd+bedz+aux++=was
lost ^vpsv++agls+xvbnx+=lost
while ^cs+sub+++=while
hunting ^nvbg+++xvbg+=hunting
elephants ^nns+nom+++=elephants
in ^in++++=in
Africa ^np++++=Africa,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
continued ^vbd+++xvbnx+=continued,
, ^zz++++=EXTRAWORD
with ^in++++=with
conviction ^nn+nom+++=conviction.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
we ^pp1a+pp1+++=we
must ^md+nec+++=must
accept ^vb+vprv+tht0++=accept
our ^pp$+pp1+++=our
fate ^nn++++=fate
and ^cc++++=and
rob ^vb++++=rob
to ^in++++=to
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
our ^pp$+pp1+++=our
ability ^nn+nom+++=ability,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Victor ^nn++++=Victor.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
long ^rb++++=long
as ^ql++++=as
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
faithful ^jj+pred+++=faithful
to ^in++++=to
our ^pp$+pp1+++=our
beloved ^jj+atrb+++=beloved
profession ^nn++++=profession
we ^pp1a+pp1+++=we
need ^vb++++=need
not ^xnot++not++=not
be ^vb+be+vrb++=be
ashamed ^jj+pred+++=ashamed."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="'Tis
it ^pp3+it+++0=EXTRAWORD
is ^vbz+bez+vrb++=EXTRAWORD
so ^ql++++=so!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
fat ^nn++++=fat
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="Brothers!
brothers ^nns+nom+++=EXTRAWORD
! ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
will ^md+prd+++=will
begin ^vb++++=begin
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
us ^pp1o+pp1+++=us
rob ^vb++++=rob
the ^ati++++=the
house ^nn++++=house
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
in ^in+strn+++=in."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Good!"
good ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
shouted ^vbd+vpub++xvbn+=shouted
the ^ati++++=the
others ^aps++++=others
and ^cc++++=and
sprang ^vpsv++agls+xvbn+=sprang
to ^in++++=to
their ^pp$+pp3+++=their
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
Beni ^np+++??+=Beni
turned ^vbd+++xvbn+=turned
threateningly ^rb++++=threateningly
upon ^in++++=upon
the ^ati++++=the
child ^nn++++=child.
. ^zz++++=EXTRAWORD
" ^zz++++="Remain
remain ^vb++++=EXTRAWORD
here ^rn+pl+++=here!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
commanded ^vbd+vpub++xvbnx+=commanded.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
stir ^vb++++=stir
one ^cd1++++=one
step ^nn++++=step
your ^pp$+pp2+++=your
blood ^nn++++=blood
will ^md+prd+++=will
be ^vb+be+vrb++=be
on ^in++++=on
your ^pp$+pp2+++=your
own ^ap++++=own
head ^nn++++=head!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
gentler ^jjr+atrb+++=gentler
voice ^nn++++=voice:
: ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
afraid ^jj+pred+++=afraid;
; ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
way ^nn++++=way
all ^abn++++=all
bandits ^nns++++=bandits
talk ^nn++++=talk
to ^in++++=to
their ^pp$+pp3+++=their
captives ^nns++++=captives.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
of ^in+emph+++=of
course ^nn+emph"+++=course
we ^pp1a+pp1+++=we
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
hurt ^vb+++xvbn+=hurt
a ^at++++=a
young ^jj+atrb+++=young
lady ^nn++++=lady
under ^in++++=under
any ^dti++++=any
circumstances ^nns+nom+++=circumstances."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course
not ^xnot++not++=not,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Victor ^nn++++=Victor.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fat ^nn++++=fat
man ^nn++++=man
drew ^vbd+++xvbn+=drew
a ^at++++=a
big ^jj+atrb+++=big
knife ^nn++++=knife
from ^in++++=from
his ^pp$+pp3+++=his
belt ^nn++++=belt
and ^cc++++=and
flourished ^vbd+++xvbn+=flourished
it ^pp3+it+++=it
about ^in++++=about
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="S'blood!"
s ^zz++++=EXTRAWORD
'blood!" ^nn+++??+=EXTRAWORD
he ^pp3a+pp3+++=he
ejaculated ^vbd+++xvbnx+=ejaculated,
, ^zz++++=EXTRAWORD
fiercely ^rb++++=fiercely.
. ^zz++++=EXTRAWORD
" ^zz++++="S'bananas!"
s ^zz++++=EXTRAWORD
'bananas!" ^nn+++??+=EXTRAWORD
cried ^vbd+++xvbn+=cried
Beni ^np+++??+=Beni,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
terrible ^jj+atrb+++=terrible
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="Confusion
confusion ^nn++++=EXTRAWORD
to ^in++++=to
our ^pp$+pp1+++=our
foes ^nns++++=foes!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
hissed ^vbd+++xvbn+=hissed
Victor ^nn++++=Victor.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
the ^ati++++=the
three ^cd++++=three
bent ^np+++xvbn+=bent
themselves ^ppls+pp3+++=themselves
nearly ^rb+down+++=nearly
double ^jj++++=double
and ^cc++++=and
crept ^vbd+++xvbn+=crept
stealthily ^rb++++=stealthily
down ^in++++=down
the ^ati++++=the
stairway ^nn++++=stairway
with ^in++++=with
cocked ^jj+atrb++xvbn+=cocked
pistols ^nns++++=pistols
in ^in++++=in
their ^pp$+pp3+++=their
hands ^nns++++=hands
and ^cc++++=and
glittering ^jj+atrb+++=glittering
knives ^nns++++=knives
between ^in++++=between
their ^pp$+pp3+++=their
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
Martha ^np+++??+=Martha
trembling ^vwbg+++xvbg+=trembling
with ^in++++=with
fear ^nn++++=fear
and ^cc++++=and
too ^ql++++=too
horrified ^jj+++xvbn+=horrified
to ^to++++=to
even ^cs+sub+++=even
cry ^nn++++=cry
for ^in++++=for
help ^nn++++=help.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
long ^rb++++=long
she ^pp3a+pp3+++=she
remained ^vbd+++xvbnx+=remained
alone ^rb++++=alone
in ^in++++=in
the ^ati++++=the
attic ^nn++++=attic
she ^pp3a+pp3+++=she
never ^rb++++=never
knew ^vbd+vprv++xvbn+=knew,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
finally ^rb++++=finally
she ^pp3a+pp3+++=she
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
catlike ^jj+atrb+++=catlike
tread ^nn++++=tread
of ^in++++=of
the ^ati++++=the
returning ^jj+atrb++xvbg+=returning
bandits ^nns++++=bandits
and ^cc++++=and
saw ^vbd+vprv+tht0+xvbn+=saw
them ^pp3o+pp3+++=them
coming ^vbg+++xvbg+=coming
up ^rp++++=up
the ^ati++++=the
stairs ^nns++++=stairs
in ^in++++=in
single ^jj+atrb+++=single
file ^nn++++=file.
. ^zz++++=EXTRAWORD
All ^abn++++=All
bore ^vbd+++xvbn+=bore
heavy ^jj+atrb+++=heavy
loads ^nns++++=loads
of ^in++++=of
plunder ^nn++++=plunder
in ^in++++=in
their ^pp$+pp3+++=their
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Lugui ^np+++??+=Lugui
was ^vbd+bedz+vrb++=was
balancing ^nn++++=balancing
a ^at++++=a
mince ^nn++++=mince
pie ^nn++++=pie
on ^in++++=on
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
a ^at++++=a
pile ^nn++++=pile
of ^in++++=of
her ^pp3o+pp3+++=her
mother ^npt++++=mother's
's ^vbz+bez+vrb++0=EXTRAWORD
best ^jjt+atrb+++=best
evening ^nn++++=evening
dresses ^nns+nom+++=dresses.
. ^zz++++=EXTRAWORD
Victor ^nn++++=Victor
came ^vbd+++xvbn+=came
next ^rb++++=next
with ^in++++=with
an ^at++++=an
armful ^nn++++=armful
of ^in++++=of
bric ^jj++++=bric-a-brac,
- ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
- ^zz++++=EXTRAWORD
brac ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
brass ^nn++++=brass
candelabra ^nn+++??+=candelabra
and ^cc++++=and
the ^ati++++=the
parlor ^nn++++=parlor
clock ^nn++++=clock.
. ^zz++++=EXTRAWORD
Beni ^np+++??+=Beni
had ^vb+hv+vrb++=had
the ^ati++++=the
family ^nn++++=family
Bible ^nn++++=Bible,
, ^zz++++=EXTRAWORD
the ^ati++++=the
basket ^nn++++=basket
of ^in++++=of
silverware ^nn+++??+=silverware
from ^in++++=from
the ^ati++++=the
sideboard ^nn++++=sideboard,
, ^zz++++=EXTRAWORD
a ^at++++=a
copper ^nn++++=copper
kettle ^nn++++=kettle
and ^cc++++=and
papa ^npt++++=papa's
's ^$++++=EXTRAWORD
fur ^nn++++=fur
overcoat ^nn++++=overcoat.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
joy ^nn++++=joy!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Victor ^nn++++=Victor,
, ^zz++++=EXTRAWORD
putting ^vbg+++xvbg+=putting
down ^rb+phrv+++=down
his ^pp$+pp3+++=his
load ^nn++++=load;
; ^zz++++=EXTRAWORD
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
pleasant ^jj+pred+++=pleasant
to ^to+jcmp+++=to
rob ^vbi++++=rob
once ^rb+tm+++=once
more ^rbr++++=more."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ecstacy ^nn+nom+++=ecstacy!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Beni ^np+++??+=Beni;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
let ^vbd+++xvbnx+=let
the ^ati++++=the
kettle ^nn++++=kettle
drop ^vb++++=drop
on ^in++++=on
his ^pp$+pp3+++=his
toe ^nn++++=toe
and ^cc++++=and
immediately ^rb+tm+++=immediately
began ^vbd+++xvbn+=began
dancing ^vbg+++xvbg+=dancing
around ^rp++++=around
in ^in++++=in
anguish ^nn++++=anguish,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
muttered ^vbd+++xvbnx+=muttered
queer ^jj+atrb+++=queer
words ^nns++++=words
in ^in++++=in
the ^ati++++=the
Italian ^jj+atrb+++=Italian
language ^nn+nom+++=language.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
much ^ap++++=much
wealth ^nn++++=wealth,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
continued ^vbd+++xvbn+=continued
Victor ^nn++++=Victor,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv++xvbg+=holding
the ^ati++++=the
mince ^nn++++=mince
pie ^nn++++=pie
while ^cs+sub+++=while
Lugui ^np+++??+=Lugui
added ^vbd+vpub+tht0+xvbn+=added
his ^pp$+pp3+++=his
spoils ^nns++++=spoils
to ^in++++=to
the ^ati++++=the
heap ^nn++++=heap;
; ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
all ^rb++++=all
from ^in++++=from
one ^cd1++++=one
house ^nn++++=house!
! ^zz++++=EXTRAWORD
This ^dt+dem+++=This
America ^np++++=America
must ^md+nec+++=must
be ^vb+be+vrb++=be
a ^at++++=a
rich ^jj+atrb+++=rich
place ^nn++++=place."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
With ^in++++=With
a ^at++++=a
dagger ^nn++++=dagger
he ^pp3a+pp3+++=he
then ^rn+tm+++=then
cut ^vb+++xvbn+=cut
himself ^ppl+pp3+++=himself
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
the ^ati++++=the
pie ^nn++++=pie
and ^cc++++=and
handed ^vbd+++xvbn+=handed
the ^ati++++=the
remainder ^nn+nom+++=remainder
to ^in++++=to
his ^pp$+pp3+++=his
comrades ^nns++++=comrades.
. ^zz++++=EXTRAWORD
Whereupon ^cs+sub+++=Whereupon
all ^rb++++=all
three ^cd++++=three
sat ^vbd+++xvbn+=sat
upon ^in++++=upon
the ^ati++++=the
floor ^nn++++=floor
and ^cc++++=and
consumed ^vbd+++xvbn+=consumed
the ^ati++++=the
pie ^nn++++=pie
while ^cs+sub+++=while
Martha ^np+++??+=Martha
looked ^vbd+++xvbn+=looked
on ^in++++=on
sadly ^rb++++=sadly.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
have ^vb+hv+vrb++=have
a ^at++++=a
cave ^nn++++=cave,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
remarked ^vprf+++xvbn+=remarked
Beni ^np+++??+=Beni;
; ^zz++++=EXTRAWORD
" ^zz++++="for
for ^in++++=EXTRAWORD
we ^pp1a+pp1+++=we
must ^md+nec+++=must
store ^vb++++=store
our ^pp$+pp1+++=our
plunder ^nn++++=plunder
in ^in++++=in
a ^at++++=a
safe ^jj+atrb+++=safe
place ^nn++++=place.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
you ^pp2+pp2+++=you
tell ^vb++++=tell
us ^pp1o+pp1+++=us
of ^in++++=of
a ^at++++=a
secret ^jj+atrb+++=secret
cave ^nn++++=cave?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
Martha ^np+++??+=Martha.
. ^zz++++=EXTRAWORD
" ^zz++++="There's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
Mammoth ^nn++++=Mammoth
cave ^nn++++=cave,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
answered ^vbd+vpub++xvbnx+=answered,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
in ^in++++=in
Kentucky ^np+++??+=Kentucky.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
would ^md+prd+++=would
be ^vb+be+aux++=be
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
ride ^vbi++++=ride
on ^in++++=on
the ^ati++++=the
cars ^nns++++=cars
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
to ^to++++=to
get ^vbi++++=get
there ^rn+pl+++=there."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
three ^cd++++=three
bandits ^nns++++=bandits
looked ^vbd+++xvbn+=looked
thoughtful ^jj++++=thoughtful
and ^cc+phrs+++=and
munched ^jj+++xvbn+=munched
their ^pp$+pp3+++=their
pie ^nn++++=pie
silently ^rb+cnj+++=silently,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
next ^ap++++=next
moment ^nn++++=moment
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
startled ^vpsv++by+xvbnx+=startled
by ^in++++=by
the ^ati++++=the
ringing ^nn++++=ringing
of ^in++++=of
the ^ati++++=the
electric ^jj+atrb+++=electric
doorbell ^nn++++=doorbell,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
heard ^vpsv++agls+xvbnx+=heard
plainly ^rb++++=plainly
even ^rb++++=even
in ^in++++=in
the ^ati++++=the
remote ^jj+atrb+++=remote
attic ^nn++++=attic.
. ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
that ^tht+vcmp+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
demanded ^vwbn+vsua++xvbn+=demanded
Victor ^nn++++=Victor,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
hoarse ^jj+atrb+++=hoarse
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
three ^cd++++=three
scrambled ^vbd+++xvbn+=scrambled
to ^in++++=to
