Has ^vbz+hvz+aux++=Has
Not ^xnot++not++=Not
a ^at++++=a
rap ^nn++++=rap!
! ^zz++++=EXTRAWORD
Never ^rb++++=Never
a ^at++++=a
snap ^nn++++=snap
of ^in++++=of
the ^ati++++=the
weakest ^jjt+atrb+++=weakest
proportions ^nns+nom+++=proportions
( ^zz++++=(not
not ^xnot++not++=EXTRAWORD
explicable ^jj++++=explicable
by ^in++++=by
natural ^jj+atrb+++=natural
laws ^nns++++=laws)
) ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has,
, ^zz++++=EXTRAWORD
from ^in++++=from
that ^dt+dem+++=that
day ^nn++++=day
to ^in++++=to
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
visited ^j+++xvbn+=visited
my ^pp$+pp1+++=my
personal ^jj+atrb+++=personal
career ^nn++++=career.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
a ^at++++=a
candlestick ^nn+++??+=candlestick
ever ^rb++++=ever
walked ^vbd+++xvbn+=walked
an ^at++++=an
inch ^nn++++=inch
for ^in++++=for
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
induce ^vb++++=induce
a ^at++++=a
chair ^nn++++=chair
to ^in++++=to
hop ^nn++++=hop
after ^in++++=after
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
No ^at++++=No
turnip ^nn++++=turnip
has ^vbz+hvz+aux++=has
consented ^vprf+++xvbnx+=consented
to ^to++++=to
drop ^vbi++++=drop
from ^in++++=from
the ^ati++++=the
ceiling ^nn+nom+++=ceiling
for ^in++++=for
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Planchette ^np+nom++??+=Planchette,
, ^zz++++=EXTRAWORD
in ^in++++=in
her ^pp$+pp3+++=her
day ^nn++++=day,
, ^zz++++=EXTRAWORD
wrote ^j+++xvbn+=wrote
hundreds ^cds++++=hundreds
of ^in++++=of
lines ^nns++++=lines
for ^in++++=for
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
never ^rb++++=never
one ^cd1++++=one
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
of ^in++++=of
the ^ati++++=the
slightest ^jjt+atrb+++=slightest
possible ^jj+atrb+++=possible
significance ^nn+nom+++=significance
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
to ^in++++=to
the ^ati++++=the
universe ^nn++++=universe
at ^rb++++=at
large ^rb"++++=large.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
did ^vbd+dod+vrb++=did
a ^at++++=a
medium ^nn++++=medium
tell ^vb++++=tell
me ^pp1o+pp1+++=me
anything ^pn++++=anything
that ^cs+sub+++=that
ever ^rb++++=ever
came ^vbd+++xvbn+=came
to ^to++++=to
pass ^vbi++++=pass;
; ^zz++++=EXTRAWORD
though ^cs+sub+++=though
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
once ^cs+tm+++=once
made ^vprf+++xvbn+=made
a ^at++++=a
whole ^jj+atrb+++=whole
winter ^nn++++=winter
miserable ^jj++++=miserable
by ^in++++=by
prophesying ^xvbg+++xvbg+=prophesying
a ^at++++=a
death ^nn++++=death
which ^whp+rel+subj++=which
did ^vbd+dod+aux++=did
not ^xnot++not++=not
occur ^vb++++=occur.
. ^zz++++=EXTRAWORD
Being ^vbg+beg++xvbg+=Being
destitute ^jj++++=destitute
of ^in++++=of
objections ^nns+nom+++=objections
to ^in++++=to
belief ^nn++++=belief
in ^in++++=in
the ^ati++++=the
usefulness ^nns+nom+++=usefulness
of ^in++++=of
spiritualistic ^jj+atrb+++=spiritualistic
mystery ^nn+nom+++=mystery,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
by ^in++++=by
temperament ^nn+nom+++=temperament,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
inclining ^vbg+++xvbg+=inclining
to ^to++++=to
hope ^vbi++++=hope
that ^tht+vcmp+++=that
such ^abl++++=such
phenomena ^nns++++=phenomena
may ^md+pos+++=may
be ^vb+be+aux++=be
tamed ^vpsv++agls+xvbnx+=tamed
and ^cc++++=and
yoked ^jj+++xvbn+=yoked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vpsv++agls+xvbn+=made
to ^to+vcmp+++=to
work ^vb++++=work
for ^in++++=for
human ^jj+atrb+++=human
happiness ^nns+nom+++=happiness,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
there ^ex+pex+++=there
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
be ^vbi++vrb++=be
something ^pn++++=something
about ^rb++++=about
me ^pp1o+pp1+++=me
which ^whp+who+++=which
these ^dt+dem+++=these
agencies ^nns++++=agencies
do ^vb+do+aux++=do
not ^xnot++not++=not
find ^vb+vprv+++=find
congenial ^jj++++=congenial.
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone
longing ^vbg+++xvbg+=longing
for ^in++++=for
a ^at++++=a
sign ^nn++++=sign,
, ^zz++++=EXTRAWORD
no ^at++++=no
sign ^vb++++=sign
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
given ^vpsv++agls+xvbnx+=given
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
always ^rb++++=always
ready ^jj++++=ready
to ^to+jcmp+++=to
believe ^vbi+vprv+++=believe
all ^abn++++=all
other ^ap++++=other
people ^nns++++=people's
's ^$++++=EXTRAWORD
mysteries ^nns+nom+++=mysteries,
, ^zz++++=EXTRAWORD
no ^at++++=no
inexplicable ^jj+atrb+++=inexplicable
facts ^nns++++=facts
have ^vb+hv+aux++=have
honored ^vprf+++xvbnx+=honored
my ^pp$+pp1+++=my
experience ^nn+nom+++=experience.
. ^zz++++=EXTRAWORD
The ^ati++++=The
only ^rb+down+++=only
personal ^jj+atrb+++=personal
prophecy ^nn++++=prophecy
ever ^rb++++=ever
strictly ^rb++++=strictly
fulfilled ^vbd+++xvbn+=fulfilled
in ^in++++=in
my ^pp$+pp1+++=my
life ^nn++++=life
was ^vbd+bedz+aux++=was
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
certain ^jj++++=certain
whether ^cs+who+++=whether
I ^pp1a+pp1+++=I
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
feel ^vb+vprv+++=feel
embarrassed ^jj+++xvbn+=embarrassed
in ^in++++=in
[ ^zz++++=[pg
pg ^nn+++??+=EXTRAWORD
52 ^cd++++=52]
] ^zz++++=EXTRAWORD
alluding ^jj+++xvbg+=alluding
to ^in++++=to
it ^pp3+it+++=it
made ^vpsv++by+xvbn+=made
by ^in++++=by
a ^at++++=a
gipsy ^nn++++=gipsy
fortune ^nn++++=fortune-teller.
- ^zz++++=EXTRAWORD
teller ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
young ^jj+pred+++=young
and ^cc++++=and
pretty ^rb+cnj+++=pretty,
, ^zz++++=EXTRAWORD
the ^ati++++=the
seventh ^nn++++=seventh
child ^nn++++=child
of ^in++++=of
a ^at++++=a
seventh ^nn++++=seventh
child ^nn++++=child,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
lived ^vbd+++xvbnx+=lived
in ^in++++=in
a ^at++++=a
Massachusetts ^np+++??+=Massachusetts
shoe ^nn++++=shoe-town
- ^zz++++=EXTRAWORD
town ^nn++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
Lynn ^np++++=Lynn.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
what ^wdt+who+whq++=what
was ^vbd+bedz+aux++=was
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
must ^md+nec+++=must
excuse ^vb++++=excuse
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
The ^ati++++=The
grandfather ^nn+nom+++=grandfather
to ^to++++=to
whom ^whp+wpor+++=whom
these ^dt+dem+++=these
marvels ^nns++++=marvels
happened ^vbd+++xvbn+=happened
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
a ^at++++=a
literary ^jj+atrb+++=literary
man ^nn++++=man;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
even ^rb++++=even
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
write ^vb++++=write
a ^rb++++=a
little ^rb"++++=little
book ^nn++++=book
a ^at++++=a
religious ^jj+atrb+++=religious
tale ^nn++++=tale,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
tract ^nn++++=tract,
, ^zz++++=EXTRAWORD
after ^in++++=after
the ^ati++++=the
manner ^nn++++=manner
of ^in++++=of
his ^pp$+pp3+++=his
day ^nn++++=day
and ^cc++++=and
profession ^nn++++=profession;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
took ^vbd+++xvbn+=took
to ^to+vcmp+++=to
itself ^ppl++++=itself
a ^at++++=a
circulation ^nn+nom+++=circulation
of ^in++++=of
two ^cd++++=two
hundred ^cd++++=hundred
thousand ^cd++++=thousand
copies ^nns++++=copies.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
how ^wrb+who+++=how
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
James ^np++++=James
T ^zz++++=T.
. ^zz++++=EXTRAWORD
Fields ^nns++++=Fields
laughed ^vbd+++xvbn+=laughed
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
of ^in++++=of
it ^pp3+it+++=it
that ^dt+dem+++=that
merry ^jj+atrb+++=merry
laugh ^nn++++=laugh
peculiar ^jj++++=peculiar
to ^in++++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
publisher ^nn+nom+++=publisher
said ^vbd+vpub++xvbn+=said;
; ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
come ^vb++++=come
of ^in++++=of
a ^at++++=a
family ^nn++++=family
of ^in++++=of
large ^jj+atrb+++=large
circulations ^nns+nom+++=circulations."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
at ^rb++++=at
school ^nn++++=school
with ^in++++=with
my ^pp$+pp1+++=my
brother ^nn++++=brother,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little,
, ^zz++++=EXTRAWORD
private ^jj+atrb+++=private
school ^nn++++=school,
, ^zz++++=EXTRAWORD
down ^rp++++=down
by ^in++++=by
what ^wdt+who+++=what
were ^vbd+bed+aux++=were
called ^vpsv++agls+xvbnx+=called
the ^ati++++=the
English ^jj+atrb+++=English
dormitories ^nns++++=dormitories
in ^in++++=in
Andover ^np+++??+=Andover.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
eight ^cd++++=eight
years ^nns++++=years
old ^jj++++=old.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
one ^cd1++++=one
came ^vbd+++xvbn+=came
in ^in++++=in
and ^cc++++=and
whispered ^vpsv++agls+xvbn+=whispered
to ^in++++=to
the ^ati++++=the
teacher ^nn++++=teacher.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
face ^nn++++=face
turned ^vbd+++xvbn+=turned
very ^ql+amp+++=very
grave ^jj++++=grave,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
up ^in+cmpx+++=up
to ^in"++++=to
us ^pp1o+pp1+++=us
quietly ^rb+cnj+++=quietly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
called ^jj+++xvbn+=called
us ^pp1o+pp1+++=us
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
entry ^nn++++=entry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gently ^rb++++=gently
put ^vbd+++xvbn+=put
on ^rb+phrv+++=on
our ^pp$+pp1+++=our
things ^nns++++=things.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+aux++=are
to ^to++++=to
go ^vbi++++=go
home ^nr++++=home,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said;
; ^zz++++=EXTRAWORD
" ^zz++++="your
your ^pp$+pp2+++=EXTRAWORD
mother ^nn++++=mother
is ^vbz+bez+vrb++=is
dead ^jj+pred+++=dead."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
my ^pp$+pp1+++=my
little ^ap++++=little
brother ^nn++++=brother's
's ^$++++=EXTRAWORD
hand ^nn++++=hand
without ^in++++=without
a ^at++++=a
word ^nn++++=word,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
trudged ^vbd+++xvbn+=trudged
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
think ^vb+vprv+tht0++=think
we ^pp1a+pp1+++=we
spoke ^vbd+++xvbn+=spoke
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
sure ^jj+pred+++=sure
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
cry ^nn++++=cry
on ^in++++=on
the ^ati++++=the
way ^nn++++=way
home ^nr++++=home.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
perfectly ^rb+amp+++=perfectly
that ^cs+sub+++=that
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
very ^ql+amp+++=very
gayly ^jj++++=gayly
dressed ^jj+++xvbn+=dressed.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
mother ^npt++++=mother
liked ^vbd+++xvbn+=liked
bright ^jj++++=bright,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
barbaric ^jj+atrb+++=barbaric
colors ^nns++++=colors
on ^in++++=on
children ^nns++++=children.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
boy ^nn++++=boy's
's ^$++++=EXTRAWORD
coat ^nn++++=coat
was ^vbd+bedz+vrb++=was
of ^in++++=of
red ^jj+atrb+++=red
broadcloth ^nn+++??+=broadcloth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
cape ^np++++=cape
of ^in++++=of
a ^at++++=a
canary ^nn++++=canary
yellow ^nn++++=yellow,
, ^zz++++=EXTRAWORD
dyed ^j+++xvbn+=dyed
at ^in++++=at
home ^nr++++=home
in ^in++++=in
white ^jj++++=white-oak
- ^zz++++=EXTRAWORD
oak ^nn++++=EXTRAWORD
dye ^nn++++=dye.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
colors ^nns++++=colors
flared ^vbd+++xvbn+=flared
before ^cs+sub+++=before
my ^pp$+pp1+++=my
eyes ^nns++++=eyes
as ^ql++++=as
we ^pp1a+pp1+++=we
shuffled ^vbd+++xvbn+=shuffled
along ^in++++=along
and ^cc++++=and
crushed ^jj+++xvbn+=crushed
the ^ati++++=the
crisp ^jj+atrb+++=crisp,
, ^zz++++=EXTRAWORD
dead ^jj+atrb+++=dead
leaves ^nns++++=leaves
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
tossing ^vbg+++xvbgx+=tossing
in ^in++++=in
the ^ati++++=the
autumn ^nn++++=autumn
wind ^nn++++=wind
all ^abn++++=all
over ^in++++=over
Andover ^np+++??+=Andover
Hill ^nn++++=Hill.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
we ^pp1a+pp1+++=we
got ^vbd+++xvbn+=got
home ^nr++++=home
they ^pp3a+pp3+++=they
told ^vbd+vpub++xvbnx+=told
us ^pp1o+pp1+++=us
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
mistake ^nn++++=mistake;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
dead ^jj++++=dead;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
sent ^vpsv++agls+xvbnx+=sent
back ^jjb++++=back
to ^in++++=to
school ^nn++++=school.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^ap++++=a
few ^ap"++++=few
weeks ^nns++++=weeks
after ^in++++=after
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
day ^nn++++=day
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
told ^vpsv++tht0+xvbnx+=told
we ^pp1a+pp1+++=we
need ^vb++++=need
not ^xnot++not++=not
go ^vb++++=go
to ^in++++=to
school ^nn++++=school
at ^rb++++=at
all ^abn++++=all;
; ^zz++++=EXTRAWORD
the ^ati++++=the
red ^jj+atrb+++=red
and ^cc+phrs+++=and
yellow ^jj+atrb+++=yellow
coats ^nns++++=coats
came ^vbd+++xvbn+=came
off ^rp+pl+++=off,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
little ^ap++++=little
black ^jj+atrb+++=black
ones ^cd1s++++=ones
took ^vbd+++xvbn+=took
their ^pp$+pp3+++=their
places ^nns++++=places.
. ^zz++++=EXTRAWORD
The ^ati++++=The
new ^jj+atrb+++=new
baby ^nn++++=baby,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
haggard ^jj+atrb+++=haggard
father ^nn++++=father's
's ^$++++=EXTRAWORD
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
baptized ^vpsv++agls+xvbnx+=baptized
at ^rb++++=at
his ^pp$+pp3+++=his
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
funeral ^nn++++=funeral;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
looked ^vbd+++xvbn+=looked
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wondered ^vbd+vprv++xvbn+=wondered
what ^wdt+who+whcl++=what
it ^pp3+it+++=it
all ^abn++++=all
meant ^vbd+vprv++xvbn+=meant,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
became ^vbd+++xvbn+=became
of ^in++++=of
children ^nns++++=children
whose ^whp+rel+obj++=whose
mother ^nn++++=mother
was ^vbd+bedz+aux++=was
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
go ^vbi++++=go
to ^in++++=to
heaven ^nn++++=heaven
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
seemed ^vbd+seem++xvbnx+=seemed
so ^ql+emph+++=so
necessary ^jj++++=necessary
in ^in++++=in
Andover ^np+++??+=Andover.
. ^zz++++=EXTRAWORD
At ^rb++++=At
eight ^cd++++=eight
years ^nns++++=years
of ^in++++=of
age ^nn++++=age
a ^at++++=a
child ^nn++++=child
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
her ^pp3o+pp3+++=her
mother ^npt++++=mother
intimately ^rb+cnj+++=intimately,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
hard ^jj+pred+++=hard
for ^in++++=for
me ^pp1o+pp1+++=me
always ^rb++++=always
to ^to++++=to
distinguish ^vbi++++=distinguish
between ^in++++=between
the ^ati++++=the
effect ^nn++++=effect
produced ^vbd+++xvbn+=produced
upon ^in++++=upon
me ^pp1o+pp1+++=me
by ^in++++=by
her ^pp$+pp3+++=her
literary ^jj+atrb+++=literary
success ^nns+nom+++=success
as ^ql++++=as
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
since ^cs+sub+++=since
understood ^vbd+vprv+tht0+xvbn+=understood
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
left ^vpsv++by+xvbn+=left
by ^in++++=by
her ^pp$+pp3+++=her
own ^ap++++=own
truly ^rb++++=truly
extraordinary ^jj+atrb+++=extraordinary
personality ^nn+nom+++=personality
upon ^in++++=upon
the ^ati++++=the
annals ^nns++++=annals
of ^in++++=of
the ^ati++++=the
nursery ^nn+nom+++=nursery.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
name ^nn++++=name
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
proud ^jj+pred+++=proud
to ^to+jcmp+++=to
wear ^vbi++++=wear,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
eldest ^jjt+atrb+++=eldest
daughter ^nn+nom+++=daughter
of ^in++++=of
Professor ^npt++++=Professor
Stuart ^np++++=Stuart,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
inherited ^vbd+++xvbn+=inherited
his ^pp$+pp3+++=his
intellectuality ^nn+nom+++=intellectuality.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
her ^pp$+pp3+++=her
death ^nn++++=death
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
at ^rb++++=at
the ^ati++++=the
first ^od++++=first
blossom ^vb++++=blossom
of ^in++++=of
her ^pp$+pp3+++=her
very ^ql+amp+++=very
positive ^jj++++=positive
and ^cc++++=and
widely ^rb++++=widely-promising
- ^zz++++=EXTRAWORD
promising ^jj+atrb+++=EXTRAWORD
success ^nns+nom+++=success
as ^in++++=as
a ^at++++=a
writer ^nn++++=writer
of ^in++++=of
the ^ati++++=the
simple ^jj+atrb+++=simple
home ^nr++++=home
stories ^nns++++=stories
which ^whp+rel+subj++=which
took ^vbd+++xvbn+=took
such ^abl++++=such
a ^at++++=a
hold ^nn++++=hold
upon ^in++++=upon
the ^ati++++=the
popular ^jj+atrb+++=popular
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
" ^zz++++="Sunnyside"
sunnyside ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
already ^rb++splt++=already
reached ^vprf+++xvbnx+=reached
a ^at++++=a
circulation ^nn+nom+++=circulation
of ^in++++=of
one ^cd1++++=one
hundred ^cd++++=hundred
thousand ^cd++++=thousand
copies ^nns++++=copies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
following ^vbg+++xvbgx+=following
it ^pp3+it+++=it
fast ^rb++++=fast
too ^ql++++=too
fast ^rb++++=fast
by ^in++++=by
other ^ap++++=other
books ^nns++++=books
for ^in++++=for
which ^whp+rel+pied++=which
the ^ati++++=the
critics ^nns++++=critics
and ^cc++++=and
the ^ati++++=the
publishers ^nns+nom+++=publishers
clamored ^vbd+++xvbn+=clamored.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
last ^rb++++=last
book ^nn++++=book
and ^cc++++=and
her ^pp$+pp3+++=her
last ^rb++++=last
baby ^nn++++=baby
came ^vbd+++xvbn+=came
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
killed ^vbd+++xvbn+=killed
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
lived ^vbd+++xvbnx+=lived
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
rich ^jj+atrb+++=rich
and ^cc+phrs+++=and
piteous ^jj+atrb+++=piteous
lives ^nns++++=lives
such ^abl++++=such
as ^ql++++=as
only ^rb+down+++=only
gifted ^jj+atrb+++=gifted
women ^nns++++=women
know ^vb+vprv+++=know;
; ^zz++++=EXTRAWORD
torn ^xvbn+++xvbn+=torn
by ^in++++=by
the ^ati++++=the
civil ^jj+atrb+++=civil
war ^nn++++=war
of ^in++++=of
the ^ati++++=the
dual ^jj+atrb+++=dual
nature ^nn++++=nature
which ^whp+rel+subj++=which
can ^md+pos+++=can
be ^vb+be+aux++=be
given ^vpsv++agls+xvbnx+=given
to ^in++++=to
women ^nns++++=women
only ^rb+down+++=only.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
as ^ql++++=as
natural ^jj++++=natural
for ^in++++=for
her ^pp$+pp3+++=her
daughter ^nn+nom+++=daughter
to ^to++++=to
write ^vbi++++=write
as ^in++++=as
to ^in"++++=to
breathe ^vb++++=breathe;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
impossible ^jj+pred+++=impossible
for ^in++++=for
her ^pp$+pp3+++=her
daughter ^nn+nom+++=daughter
to ^to++++=to
forget ^vbi+vprv+++=forget
that ^tht+vcmp+++=that
a ^at++++=a
woman ^nn++++=woman
of ^in++++=of
intellectual ^jj+atrb+++=intellectual
power ^nn++++=power
could ^md+pos+++=could
be ^vb+be+vrb++=be
the ^ati++++=the
most ^ql+emph+++=most
successful ^jj++++=successful
of ^in++++=of
mothers ^nns+nom+++=mothers.
. ^zz++++=EXTRAWORD
From ^in++++=From
an ^at++++=an
early ^jj+atrb+++=early
photograph ^nn++++=photograph.
. ^zz++++=EXTRAWORD
" ^zz++++="Everybody's
everybody ^pn++++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
mother ^nn++++=mother
is ^vbz+bez+vrb++=is
a ^at++++=a
remarkable ^jj+atrb+++=remarkable
woman ^nn++++=woman,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
father ^npt++++=father
used ^md"++pmd"++=used
to ^to++++=to
say ^vb+vpub+++=say
when ^wrb+who+whcl++=when
he ^pp3a+pp3+++=he
read ^vbd+vprv++xvbnx+=read
overdrawn ^xvbn+++xvbn+=overdrawn
memoirs ^nns++++=memoirs
indited ^vwbn+++xvbn+=indited
by ^in++++=by
devout ^jj+atrb+++=devout
children ^nns++++=children;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
sometimes ^rb++splt++=sometimes
felt ^vprf+++xvbnx+=felt
