Whenever ^nn+nom+++=Whenever
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
severe ^jj++++=severe.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
distance ^nn+nom+++=distance
back ^jjb++++=back
from ^in++++=from
the ^ati++++=the
file ^nn++++=file
room ^nn++++=room
was ^vbd+bedz+vrb++=was
the ^ati++++=the
draftsman ^jj+atrb+++=draftsman's
's ^vbz+bez+vrb++0=EXTRAWORD
room ^nn++++=room
now ^rn+tm+++=now
entirely ^rb+amp+++=entirely
vacated ^vpsv++by+xvbn+=vacated
by ^in++++=by
its ^pp$+it+++=its
occupants ^nns+nom+++=occupants.
. ^zz++++=EXTRAWORD
Sharp ^jj++++=Sharp
dropped ^jj+++xvbn+=dropped
behind ^in+pl+++=behind
the ^ati++++=the
outgoing ^jj+atrb++xvbg+=outgoing
stream ^nn++++=stream
of ^in++++=of
men ^nns++++=men,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
slipped ^vbd+++xvbn+=slipped
slyly ^jj++++=slyly
into ^in++++=into
this ^dt+dem+++=this
room ^nn++++=room.
. ^zz++++=EXTRAWORD
The ^ati++++=The
clerks ^nns++++=clerks
trooped ^vbd+++xvbn+=trooped
noisily ^rb++++=noisily
down ^in++++=down
the ^ati++++=the
iron ^nn++++=iron
stairway ^nn++++=stairway,
, ^zz++++=EXTRAWORD
singing ^vbg+++xvbg+=singing,
, ^zz++++=EXTRAWORD
whistling ^jj++++=whistling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
talking ^vbg+++xvbg+=talking.
. ^zz++++=EXTRAWORD
Below ^rb++++=Below,
, ^zz++++=EXTRAWORD
the ^ati++++=the
night ^nn++++=night
watchman ^nn+nom+++=watchman
awaited ^vbd+++xvbn+=awaited
their ^pp$+pp3+++=their
exit ^nn++++=exit,
, ^zz++++=EXTRAWORD
ready ^jj++++=ready
to ^to+jcmp+++=to
close ^vbi++++=close
and ^cc++++=and
bar ^nn++++=bar
the ^ati++++=the
two ^cd++++=two
great ^jj+atrb+++=great
doors ^nns++++=doors
to ^in++++=to
the ^ati++++=the
south ^np+pl+++=south
and ^cc++++=and
cast ^nn+++xvbn+=cast.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
his ^pp$+pp3+++=his
duty ^nn++++=duty
to ^to+ncmp+++=to
take ^vbi++++=take
careful ^jj+atrb+++=careful
note ^nn++++=note
each ^dt++++=each
day ^nn++++=day
that ^tht+rel+obj++=that
no ^at++++=no
one ^cd1++++=one
remains ^nns++++=remains
in ^in++++=in
the ^ati++++=the
building ^jj+++xvbg+=building
after ^in++++=after
the ^ati++++=the
hour ^nn++++=hour
of ^in++++=of
closing ^xvbg+++xvbg+=closing.
. ^zz++++=EXTRAWORD
Sharp ^jj++++=Sharp
waited ^jj+++xvbn+=waited
until ^cs+sub+++=until
all ^abn++++=all
sounds ^nns++++=sounds
had ^vbd+hvd+aux++=had
ceased ^vprf+++xvbnx+=ceased.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
intention ^nn+nom+++=intention
to ^to+ncmp+++=to
linger ^vbi++++=linger
until ^cs+sub+++=until
everything ^pn++++=everything
was ^vbd+bedz+vrb++=was
quiet ^nn++++=quiet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
to ^to++++=to
remove ^vbi++++=remove
the ^ati++++=the
certificate ^nn+nom+++=certificate
from ^in++++=from
the ^ati++++=the
file ^nn++++=file,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
throw ^vb++++=throw
the ^ati++++=the
latter ^ap++++=latter
carelessly ^rb++++=carelessly
on ^in++++=on
some ^dti++++=some
draftsman ^nn+nom+++=draftsman's
's ^$++++=EXTRAWORD
desk ^nn++++=desk
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
left ^vpsv++agls+xvbnx+=left
there ^rn+pl+++=there
during ^in++++=during
the ^ati++++=the
business ^nns+nom+++=business
of ^in++++=of
the ^ati++++=the
day ^nn++++=day.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
also ^rb++++=also
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
must ^md+nec+++=must
remove ^vb++++=remove
the ^ati++++=the
certificate ^nn+nom+++=certificate
from ^in++++=from
the ^ati++++=the
office ^nn++++=office
or ^cc++++=or
destroy ^vb++++=destroy
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
chance ^nn++++=chance
finding ^vwbg+++xvbg+=finding
of ^in++++=of
it ^pp3+it+++=it
by ^in++++=by
a ^at++++=a
clerk ^nn++++=clerk
would ^md+prd+++=would
lead ^vb++++=lead
to ^in++++=to
its ^pp$+it+++=its
immediately ^rb+tm+++=immediately
being ^xvbg+++xvbg+=being
restored ^vbd+++xvbn+=restored
to ^in++++=to
its ^pp$+it+++=its
proper ^jj+atrb+++=proper
place ^nn++++=place,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
consequent ^jj+atrb+++=consequent
discovery ^nn+nom+++=discovery
that ^tht+ncmp+++=that
his ^pp$+pp3+++=his
location ^nn+nom+++=location
over ^in++++=over
the ^ati++++=the
old ^jj+atrb+++=old
survey ^nn++++=survey
was ^vbd+bedz+vrb++=was
absolutely ^rb+amp+++=absolutely
worthless ^jj+pred+++=worthless.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
moved ^vbd+++xvbnx+=moved
cautiously ^rb++++=cautiously
along ^in++++=along
the ^ati++++=the
stone ^nn++++=stone
floor ^nn++++=floor
the ^ati++++=the
loud ^nn++++=loud
barking ^vwbg+++xvbg+=barking
of ^in++++=of
the ^ati++++=the
little ^ap++++=little
black ^jj+atrb+++=black
dog ^nn++++=dog,
, ^zz++++=EXTRAWORD
kept ^xvbn+++xvbn+=kept
by ^in++++=by
the ^ati++++=the
watchman ^nn+nom+++=watchman,
, ^zz++++=EXTRAWORD
told ^vb+++xvbn+=told
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
sharp ^jj+atrb+++=sharp
ears ^nns++++=ears
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
the ^ati++++=the
sounds ^nns++++=sounds
of ^in++++=of
his ^pp$+pp3+++=his
steps ^nns++++=steps.
. ^zz++++=EXTRAWORD
The ^ati++++=The
great ^jj+atrb+++=great,
, ^zz++++=EXTRAWORD
hollow ^jj+atrb+++=hollow
rooms ^nns++++=rooms
echoed ^vwbn+++xvbn+=echoed
loudly ^rb+cnj+++=loudly,
, ^zz++++=EXTRAWORD
move ^vb++++=move
as ^ql++++=as
lightly ^rb++++=lightly
as ^ql++++=as
he ^pp3a+pp3+++=he
could ^md+pos+++=could.
. ^zz++++=EXTRAWORD
Sharp ^jj++++=Sharp
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
at ^rb++++=at
a ^at++++=a
desk ^nn++++=desk
and ^cc++++=and
laid ^vbd+++xvbn+=laid
the ^ati++++=the
file ^nn++++=file
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
In ^in++++=In
all ^abn++++=all
his ^pp$+pp3+++=his
queer ^jj+atrb+++=queer
practices ^nns++++=practices
and ^cc++++=and
cunning ^jj+atrb+++=cunning
tricks ^nns++++=tricks
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
not ^xnot++not++=not
yet ^rb++++=yet
included ^vbd+++xvbn+=included
any ^dti++++=any
act ^nn++++=act
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
downright ^jjb+atrb+++=downright
criminal ^nn+nom+++=criminal.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
always ^rb++splt++=always
kept ^vprf+++xvbnx+=kept
on ^rb+phrv+++=on
the ^ati++++=the
safe ^jj+atrb+++=safe
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
law ^nn++++=law,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
the ^ati++++=the
deed ^nn++++=deed
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
about ^md"++pmd"++=about
to ^md+prd+++=to
commit ^vb++++=commit
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
compromise ^nn++++=compromise
to ^to++++=to
be ^vbi+vbi+aux++=be
made ^vpsv++agls+xvbnx+=made
with ^in++++=with
what ^wdt+who+++=what
little ^jj+atrb+++=little
conscience ^nn+nom+++=conscience
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
no ^at++++=no
well ^rb++++=well-defined
- ^zz++++=EXTRAWORD
defined ^jj+atrb++xvbn+=EXTRAWORD
boundary ^nn+nom+++=boundary
line ^nn++++=line
between ^in++++=between
honesty ^nn++++=honesty
and ^cc++++=and
dishonesty ^nn++++=dishonesty.
. ^zz++++=EXTRAWORD
The ^ati++++=The
frontiers ^nns+nom+++=frontiers
of ^in++++=of
one ^cd1++++=one
blend ^nn++++=blend
with ^in++++=with
the ^ati++++=the
outside ^jjb+atrb+++=outside
limits ^nns++++=limits
of ^in++++=of
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
who ^whp+who+++=who
attempts ^vbz++++=attempts
to ^to+vcmp+++=to
tread ^vbi++++=tread
this ^dt+dem+++=this
dangerous ^jj+atrb+++=dangerous
ground ^nn++++=ground
may ^md+pos+++=may
be ^vb+be+vrb++=be
sometimes ^rb++++=sometimes
in ^in++++=in
one ^cd1++++=one
domain ^nn++++=domain
and ^cc++++=and
sometimes ^rb++++=sometimes
in ^in++++=in
the ^ati++++=the
other ^ap++++=other;
; ^zz++++=EXTRAWORD
so ^cs+sub+++=so
the ^ati++++=the
only ^rb+down+++=only
safe ^jj+atrb+++=safe
road ^nn++++=road
is ^vbz+bez+vrb++=is
the ^ati++++=the
broad ^jj+atrb+++=broad
highway ^nn++++=highway
that ^tht+rel+subj++=that
leads ^vbz++++=leads
straight ^jj++++=straight
through ^in++++=through
and ^cc++++=and
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
well ^jj+pred+++=well
defined ^vpsv++by+xvbn+=defined
by ^in++++=by
line ^nn++++=line
and ^cc++++=and
compass ^nn++++=compass.
. ^zz++++=EXTRAWORD
Sharp ^jj++++=Sharp
was ^vbd+bedz+vrb++=was
a ^at++++=a
man ^nn++++=man
of ^in++++=of
what ^wdt+who+++=what
is ^vbz+bez+aux++=is
called ^vpsv++agls+xvbnx+=called
high ^np++++=high
standing ^vwbg+++xvbg+=standing
in ^in++++=in
the ^ati++++=the
community ^nn+nom+++=community.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
word ^nn++++=word
in ^in++++=in
a ^at++++=a
trade ^nn++++=trade
was ^vbd+bedz+vrb++=was
as ^ql++++=as
good ^jj++++=good
as ^ql++++=as
any ^dti++++=any
man ^nn++++=man's;
's; ^nn+++??+=EXTRAWORD
his ^pp$+pp3+++=his
check ^nn++++=check
was ^vbd+bedz+vrb++=was
as ^ql++++=as
good ^jj++++=good
as ^ql++++=as
so ^cs+sub+++=so
much ^ap++++=much
cash ^nn++++=cash,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql+emph+++=so
regarded ^jj+++xvbn+=regarded;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
to ^in++++=to
church ^nn++++=church
regularly ^rb++++=regularly;
; ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
in ^in++++=in
good ^jj+atrb+++=good
society ^nn++++=society
and ^cc++++=and
owed ^vbd+++xvbn+=owed
no ^at++++=no
man ^nn++++=man
anything ^pn++++=anything.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
a ^at++++=a
sure ^jj+atrb+++=sure
winner ^nn++++=winner
in ^in++++=in
any ^dti++++=any
land ^nn++++=land
trade ^nn++++=trade
he ^pp3a+pp3+++=he
chose ^vbd+++xvbnx+=chose
to ^to++++=to
make ^vbi++++=make,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
occupation ^nn+nom+++=occupation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
act ^nn++++=act
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
about ^md"++pmd"++=about
to ^md+prd+++=to
commit ^vb++++=commit
now ^rn+tm+++=now
would ^md+prd+++=would
place ^vb++++=place
him ^pp3o+pp3+++=him
forever ^rb++++=forever
in ^in++++=in
the ^ati++++=the
ranks ^nns++++=ranks
of ^in++++=of
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
chose ^vbd+++xvbn+=chose
evil ^nn++++=evil
for ^in++++=for
their ^pp$+pp3+++=their
portion ^nn+nom+++=portion--if
-- ^--+clp+++=EXTRAWORD
if ^cs+cnd+++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
More ^ql++++=More
than ^cs+sub+++=than
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
rob ^vb++++=rob
a ^at++++=a
widow ^nn++++=widow
and ^cc++++=and
her ^pp$+pp3+++=her
son ^nn++++=son
of ^in++++=of
property ^nn++++=property
soon ^rb+tm+++=soon
to ^to++++=to
be ^vbi++vrb++=be
of ^in++++=of
great ^jj+atrb+++=great
value ^nn++++=value,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
not ^xnot++not++=not
legally ^rb++++=legally
theirs ^pp$$++++=theirs,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
theirs ^pp$$++++=theirs
certainly ^rb++++=certainly
by ^in++++=by
every ^at++++=every
claim ^nn++++=claim
of ^in++++=of
justice ^nn++++=justice.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
too ^ql++++=too
far ^rb+pl+++=far
to ^to++++=to
hesitate ^nn+nom+++=hesitate.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
own ^ap++++=own
survey ^nn++++=survey
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
patent ^nn++++=patent
room ^nn++++=room
for ^in++++=for
patenting ^xvbg+++xvbg+=patenting.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
own ^ap++++=own
title ^nn++++=title
was ^vbd+bedz+vrb++=was
about ^md"++pmd"++=about
to ^md+prd+++=to
be ^vbi+vbi+aux++=be
perfected ^vpsv++by+xvbn+=perfected
by ^in++++=by
the ^ati++++=the
State ^np++++=State's
's ^$++++=EXTRAWORD
own ^ap++++=own
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
The ^ati++++=The
certificate ^nn+nom+++=certificate
must ^md+nec+++=must
be ^vb+be+aux++=be
destroyed ^vpsv++agls+xvbnx+=destroyed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
leaned ^vbd+++xvbnx+=leaned
his ^pp$+pp3+++=his
head ^jjb++++=head
on ^in++++=on
his ^pp$+pp3+++=his
hands ^nns++++=hands
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
so ^rb++++=so
a ^at++++=a
sound ^nn++++=sound
behind ^rp+pl+++=behind
him ^pp3o+pp3+++=him
caused ^vbd+++xvbn+=caused
his ^pp$+pp3+++=his
heart ^nn++++=heart
to ^to++++=to
leap ^vbi++++=leap
with ^in++++=with
guilty ^jj+atrb+++=guilty
fear ^nn++++=fear,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
could ^md+pos+++=could
rise ^vb++++=rise,
, ^zz++++=EXTRAWORD
a ^at++++=a
hand ^nn++++=hand
came ^vbd+++xvbn+=came
over ^in++++=over
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder
and ^cc++++=and
grasped ^vbd+vprv++xvbn+=grasped
the ^ati++++=the
file ^nn++++=file.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rose ^vbd+++xvbnx+=rose
quickly ^rb+cnj+++=quickly,
, ^zz++++=EXTRAWORD
as ^ql++++=as
white ^np++++=white
as ^ql++++=as
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
rattling ^jj++++=rattling
his ^pp$+pp3+++=his
chair ^nn++++=chair
loudly ^rb++++=loudly
on ^in++++=on
the ^ati++++=the
stone ^nn++++=stone
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boy ^nn++++=boy
who ^whp+rel+obj++=who
land ^nn++++=land
spoken ^vbd+++xvbn+=spoken
to ^in++++=to
him ^pp3o+pp3+++=him
earlier ^jjr++++=earlier
stood ^vbd+++xvbn+=stood
contemplating ^vbg+++xvbg+=contemplating
him ^pp3o+pp3+++=him
with ^in++++=with
contemptuous ^jj+atrb+++=contemptuous
and ^cc+phrs+++=and
flashing ^jj+atrb++xvbg+=flashing
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
quietly ^rb++++=quietly
placed ^vbd+++xvbn+=placed
the ^ati++++=the
file ^nn++++=file
in ^in++++=in
the ^ati++++=the
left ^jj+atrb++xvbn+=left
breast ^nn++++=breast
pocket ^nn++++=pocket
of ^in++++=of
his ^pp$+pp3+++=his
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
" ^zz++++="So,
so ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Sharp ^np++++=Sharp,
, ^zz++++=EXTRAWORD
by ^in++++=by
nature ^nn++++=nature
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
by ^in++++=by
name ^nn++++=name,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
seems ^vbz+seem+++=seems
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
right ^jj+pred+++=right
in ^in++++=in
waiting ^nn++++=waiting
behind ^in+pl+++=behind
the ^ati++++=the
door ^nn++++=door
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
see ^vb+vprv+++=see
you ^pp2+pp2+++=you
safely ^rb++++=safely
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
appreciate ^nn+nom+++=appreciate
the ^ati++++=the
pleasure ^nn++++=pleasure
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
in ^in++++=in
having ^nn+nn+aux++=having
done ^vwbn+++xvbn+=done
so ^ql++++=so
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you
my ^pp$+pp1+++=my
name ^nn++++=name
is ^vbz+bez+vrb++=is
Harris ^np++++=Harris.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
mother ^nn++++=mother
owns ^vbz++++=owns
the ^ati++++=the
land ^nn++++=land
on ^in++++=on
which ^whp+rel+pied++=which
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
filed ^vprf+++xvbnx+=filed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
any ^dti++++=any
justice ^nn++++=justice
in ^in++++=in
Texas ^np++++=Texas
she ^pp3a+pp3+++=she
shall ^md+prd+++=shall
hold ^vb+vprv+tht0++=hold
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
certain ^jj++++=certain,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
you ^pp2+pp2+++=you
place ^nn++++=place
a ^at++++=a
paper ^nn++++=paper
in ^in++++=in
this ^dt+dem+++=this
file ^nn++++=file
this ^dt+dem+++=this
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
barely ^rb+down+++=barely
possible ^jj+pred+++=possible
that ^tht+jcmp+++=that
it ^pp3+it+++=it
may ^md+pos+++=may
be ^vb+be+vrb++=be
of ^in++++=of
value ^nn++++=value
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
also ^rb++splt++=also
impressed ^vpsv++agls+xvbnx+=impressed
with ^in++++=with
the ^ati++++=the
idea ^nn++++=idea
that ^tht+ncmp+++=that
you ^pp2+pp2+++=you
desired ^vbd+vsua++xvbn+=desired
to ^to+vcmp+++=to
remove ^vbi++++=remove
it ^pp3+it+++=it
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
had ^vb+hv+vrb++=had
not ^xnot++not++=not
the ^ati++++=the
opportunity ^nn+nom+++=opportunity.
. ^zz++++=EXTRAWORD
Anyway ^rb+cnj+++=Anyway,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
keep ^vb++++=keep
it ^pp3+it+++=it
until ^cs+sub+++=until
tomorrow ^nr+tm+++=to-morrow
and ^cc++++=and
let ^vb+++xvbn+=let
the ^ati++++=the
Commissioner ^nn+nom+++=Commissioner
decide ^vb+vprv+++=decide."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Far ^rb+pl+++=Far
back ^jjb++++=back
among ^in++++=among
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Sharp ^np++++=Sharp's
's ^$++++=EXTRAWORD
ancestors ^nns++++=ancestors
there ^ex+pex+++=there
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
berserker ^jjr+atrb+++=berserker
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
for ^in++++=for
his ^pp$+pp3+++=his
caution ^nn+nom+++=caution,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
presence ^nn+nom+++=presence
of ^in++++=of
mind ^nn++++=mind
left ^vbd+++xvbn+=left
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
left ^jj+++xvbn+=left
him ^pp3o+pp3+++=him
possessed ^vbd+++xvbn+=possessed
of ^in++++=of
a ^at++++=a
blind ^jj++++=blind,
, ^zz++++=EXTRAWORD
devilish ^jj+atrb+++=devilish,
, ^zz++++=EXTRAWORD
unreasoning ^jj+atrb+++=unreasoning
rage ^nn++++=rage
that ^tht+rel+++=that
showed ^jj+++xvbn+=showed
itself ^ppl++++=itself
in ^in++++=in
a ^at++++=a
moment ^nn++++=moment
in ^in++++=in
the ^ati++++=the
white ^jj+atrb+++=white
glitter ^nn++++=glitter
of ^in++++=of
his ^pp$+pp3+++=his
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
" ^zz++++="Give
give ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
file ^nn++++=file,
, ^zz++++=EXTRAWORD
boy ^nn++++=boy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
thickly ^rb+cnj+++=thickly,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv++xvbg+=holding
out ^rp+pl+++=out
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
no ^at++++=no
such ^abl++++=such
fool ^jjb++++=fool,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Sharp ^np++++=Sharp,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
youth ^nn++++=youth.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
file ^nn++++=file
shall ^md+prd+++=shall
be ^vb+be+aux++=be
laid ^vpsv++agls+xvbnx+=laid
before ^in++++=before
the ^ati++++=the
Commissioner ^nn+nom+++=Commissioner
tomorrow ^nr+tm+++=to-morrow
for ^in++++=for
examination ^nn+nom+++=examination.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
finds ^vbz+vprv+++=finds--Help!
-- ^--+clp+++=EXTRAWORD
help ^vb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Help ^vb++++=Help!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sharp ^jj++++=Sharp
was ^vbd+bedz+vrb++=was
upon ^in++++=upon
him ^pp3o+pp3+++=him
like ^in++++=like
a ^at++++=a
tiger ^nn++++=tiger
and ^cc++++=and
bore ^nn+++xvbn+=bore
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boy ^nn++++=boy
was ^vbd+bedz+vrb++=was
strong ^jj+pred+++=strong
and ^cc+phrs+++=and
vigorous ^jj++++=vigorous,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
suddenness ^nns+nom+++=suddenness
of ^in++++=of
the ^ati++++=the
attack ^nn++++=attack
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
no ^at++++=no
chance ^nn++++=chance
to ^to+ncmp+++=to
resist ^vbi++++=resist.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
struggled ^vbd+++xvbnx+=struggled
up ^rp++++=up
again ^rb+tm+++=again
to ^in++++=to
his ^pp$+pp3+++=his
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
an ^at++++=an
animal ^nn++++=animal,
, ^zz++++=EXTRAWORD
with ^in++++=with
blazing ^jj+atrb+++=blazing
eyes ^nns++++=eyes
and ^cc++++=and
cruel ^jj++++=cruel-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
teeth ^nns++++=teeth
that ^tht+rel+subj++=that
fought ^vprf+++xvbn+=fought
him ^pp3o+pp3+++=him,
