Searchers ^nns+nom++??+=Searchers
. ^zz++++=EXTRAWORD
" ^zz++++="Ketched
ketched ^jj+++xvbn+=EXTRAWORD
in ^in++++=in
the ^ati++++=the
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
be ^vb+be+vrb++=be
ye ^pp2+pp2+++=ye?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
greeted ^vbd+++xvbnx+=greeted.
. ^zz++++=EXTRAWORD
" ^zz++++="Glad
glad ^jj++++=EXTRAWORD
ye ^pp2+pp2+++=ye
was ^vbd+bedz+vrb++=was
nigh ^rb++++=nigh
the ^ati++++=the
haouse ^nn+++??+=haouse
en ^&fw++++=en'
' ^zz++++=EXTRAWORD
hed ^jj+++xvbn+=hed
the ^ati++++=the
sense ^nn++++=sense
ta ^nn+++??+=ta
come ^vprf+++xvbn+=come
right ^jj++++=right
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
calc ^nn+++??+=calc'late
'late ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
alseep ^nn+++??+=alseep,
, ^zz++++=EXTRAWORD
else ^rb+cnj+++=else
I ^pp1a+pp1+++0=I'd
'd ^md+prd+vrb++=EXTRAWORD
a ^at++++=a
heerd ^nn+++??+=heerd
ye ^pp2+pp2+++=ye-I
- ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
as ^in++++=as
young ^jj++++=young
as ^ql++++=as
I ^pp1a+pp1+++=I
uster ^nn++++=uster
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
need ^nn++++=need
a ^at++++=a
paowerful ^jj+atrb+++=paowerful
sight ^nn++++=sight
of ^in++++0=o'
naps ^nns+++??+=naps
naowadays ^nns+++??+=naowadays.
. ^zz++++=EXTRAWORD
Trav ^np+++??+=Trav'lin
'lin ^nn+++??+=EXTRAWORD
fur ^nn++++=fur?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hai ^nn+++??+=hain't
n't ^xnot++not++0=EXTRAWORD
seed ^nn++++=seed
many ^ap++++=many
folks ^nns++++=folks
' ^zz++++='long
long ^rb++++=EXTRAWORD
this ^dt+dem+++=this
rud ^nn+++??+=rud
sence ^nn++++=sence
they ^pp3a+pp3+++=they
tuk ^nn+++??+=tuk
off ^in+pl+++=off
the ^ati++++=the
Arkham ^np+++??+=Arkham
stage ^nn++++=stage."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
replied ^vbd+vpub++xvbnx+=replied
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
to ^in++++=to
Arkham ^np+++??+=Arkham,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
apologized ^vpsv++agls+xvbn+=apologized
for ^in++++=for
my ^pp$+pp1+++=my
rude ^jj+atrb+++=rude
entry ^nn++++=entry
into ^in++++=into
his ^pp$+pp3+++=his
domicile ^nn+++??+=domicile,
, ^zz++++=EXTRAWORD
whereupon ^cs+sub+++=whereupon
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued.
. ^zz++++=EXTRAWORD
" ^zz++++="Glad
glad ^jj+atrb+++=EXTRAWORD
ta ^nn+++??+=ta
see ^vb+vprv+tht0++=see
ye ^pp2+pp2+++=ye,
, ^zz++++=EXTRAWORD
young ^jj+atrb+++=young
Sir ^npt++++=Sir
new ^jj+atrb+++=new
faces ^nns++++=faces
is ^vbz+bez+aux++=is
scurce ^jj+pred++??+=scurce
arount ^vwbn+++xvbn+=arount
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
hai ^nn+++??+=hain't
n't ^xnot++not++0=EXTRAWORD
got ^vbd+++xvbn+=got
much ^ap++++=much
ta ^nn+++??+=ta
cheer ^nn++++=cheer
me ^pp1o+pp1+++=me
up ^rp++++=up
these ^dt+dem+++=these
days ^nns++++=days.
. ^zz++++=EXTRAWORD
Guess ^vb++++=Guess
yew ^np++++=yew
hail ^nn++++=hail
from ^in++++=from
Bosting ^np+++??+=Bosting,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
ye ^pp2+pp2+++=ye?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
ben ^np++++=ben
thar ^nn+++??+=thar,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
kin ^nns++++=kin
tell ^vb++++=tell
a ^at++++=a
taown ^jj+atrb++xvbn+=taown
man ^nn++++=man
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
' ^zz++++='im
im ^&fw++++=EXTRAWORD
we ^pp1a+pp1+++=we
hed ^vbd+++xvbn+=hed
one ^cd1++++=one
fer ^&fw++++=fer
deestrick ^jj+atrb++??+=deestrick
schoolmaster ^nn+nom+++=schoolmaster
in ^in++++=in
' ^zz++++='eighty-four,
eighty ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
quit ^vb++++=quit
suddent ^jj++++=suddent
and ^cc++++0=an'
no ^at++++=no
one ^cd1++++=one
never ^rb++++=never
heerd ^nn+++??+=heerd
on ^in++++=on
' ^zz++++='im
im ^&fw++++=EXTRAWORD
sence ^nn++++=sence
" ^zz++++="
here ^rn+pl+++=here
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
lapsed ^vbd+++xvbn+=lapsed
into ^in++++=into
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
chuckle ^nn++++=chuckle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vprf+++xvbn+=made
no ^at++++=no
explanation ^nn+nom+++=explanation
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
questioned ^vbd+vpub++xvbnx+=questioned
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
in ^in++++=in
an ^at++++=an
aboundingly ^jj+atrb+++=aboundingly
good ^jj+atrb+++=good
humor ^nn++++=humor,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
to ^to++++=to
possess ^nns+nom+++=possess
those ^dt+dem+++=those
eccentricities ^nns+nom+++=eccentricities
which ^whp+rel+obj++=which
one ^cd1++++=one
might ^md+pos+++=might
guess ^vb++++=guess
from ^in++++=from
his ^pp$+pp3+++=his
grooming ^nvbg+++xvbg+=grooming.
. ^zz++++=EXTRAWORD
For ^in++++=For
some ^dti++++=some
time ^nn++++=time
he ^pp3a+pp3+++=he
rambled ^vbd+++xvbnx+=rambled
on ^in++++=on
with ^in++++=with
an ^at++++=an
almost ^rb+hdg+++=almost
feverish ^jj+atrb+++=feverish
geniality ^nn+nom+++=geniality,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
it ^pp3+it+++=it
struck ^vbd+++xvbn+=struck
me ^pp1o+pp1+++=me
to ^to++++=to
ask ^vbi++++=ask
him ^pp3o+pp3+++=him
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
by ^in++++=by
so ^rb+emph+++=so
rare ^jj++++=rare
a ^at++++=a
book ^nn++++=book
as ^ql++++=as
Pigafetta ^np++++=Pigafetta's
's ^$++++=EXTRAWORD
" ^zz++++="Regnum
regnum ^nn+++??+=EXTRAWORD
Congo ^np++++=Congo."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
effect ^nn++++=effect
of ^in++++=of
this ^dt+dem+++=this
volume ^nn++++=volume
had ^vb+hv+aux++=had
not ^xnot++not++=not
left ^vbd+++xvbn+=left
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
a ^at++++=a
certain ^jj+atrb+++=certain
hesitancy ^nn++++=hesitancy
in ^in++++=in
speaking ^xvbg+++xvbg+=speaking
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
curiosity ^nn+nom+++=curiosity
overmastered ^vbd+++xvbn+=overmastered
all ^abn++++=all
the ^ati++++=the
vague ^jj+atrb+++=vague
fears ^nns++++=fears
which ^whp+rel+subj++=which
had ^vb+hv+aux++=had
steadily ^rb++splt++=steadily
accumulated ^vprf+++xvbnx+=accumulated
since ^cs+sub+++=since
my ^pp$+pp1+++=my
first ^od++++=first
glimpse ^vb++++=glimpse
of ^in++++=of
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
To ^in++++=To
my ^pp$+pp1+++=my
relief ^nn++++=relief,
, ^zz++++=EXTRAWORD
the ^ati++++=the
question ^nn+nom+++=question
did ^vbd+dod+aux++=did
not ^xnot++not++=not
seem ^vb+seem+++=seem
an ^at++++=an
awkward ^jj+atrb+++=awkward
one ^pn++++=one,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
answered ^vbd+vpub++xvbn+=answered
freely ^rb++++=freely
and ^cc++++=and
volubly ^jj++++=volubly.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
Afriky ^np+++??+=Afriky
book ^nn++++=book?
? ^zz++++=EXTRAWORD
Cap ^nn++++=Cap'n
'n ^nn+++??+=EXTRAWORD
Ebenezer ^np+nom++??+=Ebenezer
Holt ^np++++=Holt
traded ^vbd+++xvbn+=traded
me ^pp1o+pp1+++=me
thet ^nn+++??+=thet
in ^in++++=in
' ^zz++++='sixty-eight
sixty ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
him ^pp3o+pp3+++=him
as ^ql++++=as
was ^vbd+bedz+vrb++=was
kilt ^nn++++=kilt
in ^in++++=in
the ^ati++++=the
war ^nn++++=war."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Something ^pn++++=Something
about ^in++++=about
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
Ebenezer ^np+nom++??+=Ebenezer
Holt ^np++++=Holt
caused ^vbd+++xvbn+=caused
me ^pp1o+pp1+++=me
to ^to++++=to
look ^vbi++++=look
up ^rp++++=up
sharply ^rb++++=sharply.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
encountered ^vprf+++xvbnx+=encountered
it ^pp3+it+++=it
in ^in++++=in
my ^pp$+pp1+++=my
genealogical ^jj+atrb+++=genealogical
work ^nn++++=work,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
in ^in++++=in
any ^dti++++=any
record ^nn++++=record
since ^in++++=since
the ^ati++++=the
Revolution ^nn+nom+++=Revolution.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wondered ^vbd+vprv++xvbnx+=wondered
if ^cs+cnd+++=if
my ^pp$+pp1+++=my
host ^nn++++=host
could ^md+pos+++=could
help ^vb++++=help
me ^pp1o+pp1+++=me
in ^in++++=in
the ^ati++++=the
task ^nn++++=task
at ^in++++=at
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
laboring ^vbg+++xvbgx+=laboring,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
resolved ^vb+++xvbn+=resolved
to ^to+vcmp+++=to
ask ^vbi++++=ask
him ^pp3o+pp3+++=him
about ^in++++=about
it ^pp3+it+++=it
later ^rbr+tm+++=later
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
continued ^vbd+++xvbnx+=continued.
. ^zz++++=EXTRAWORD
" ^zz++++="Ebenezer
ebenezer ^jjr++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
on ^in++++=on
a ^at++++=a
Salem ^np++++=Salem
merchantman ^nn+nom+++=merchantman
for ^in++++=for
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
picked ^vbd+++xvbn+=picked
up ^rp++++=up
a ^at++++=a
sight ^nn++++=sight
of ^in++++0=o'
queer ^jj+atrb+++=queer
stuff ^nn++++=stuff
in ^in++++=in
every ^at++++=every
port ^nn++++=port.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
got ^vbd+++xvbnx+=got
this ^dt+dem+++=this
in ^in++++=in
London ^np++++=London,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess
he ^pp3a+pp3+++=he
uster ^nn++++=uster
like ^in++++=like
ter ^nn++++=ter
buy ^vb++++=buy
things ^nns++++=things
at ^in++++=at
the ^ati++++=the
shops ^nns++++=shops.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
up ^rp++++=up
ta ^nn+++??+=ta
his ^pp$+pp3+++=his
haouse ^nn+++??+=haouse
onct ^nn+++??+=onct,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
hill ^nn++++=hill,
, ^zz++++=EXTRAWORD
tradin ^nn+++??+=tradin'
' ^zz++++=EXTRAWORD
hosses ^nns+++??+=hosses,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
this ^dt+dem+++=this
book ^nn++++=book.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
relished ^vbd+++xvbnx+=relished
the ^ati++++=the
picters ^nns+nom+++=picters,
, ^zz++++=EXTRAWORD
so ^ql++++=so
he ^pp3a+pp3+++=he
give ^vb++++=give
it ^pp3+it+++=it
in ^in++++=in
on ^in++++=on
a ^at++++=a
swap ^nn+++??+=swap.
. ^zz++++=EXTRAWORD
it ^pp3+it+++0='Tis
is ^vbz+bez+vrb++=EXTRAWORD
a ^at++++=a
queer ^jj+atrb+++=queer
book ^nn++++=book
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
leave ^nn++++=leave
me ^pp1o+pp1+++=me
git ^np++++=git
on ^in++++=on
my ^pp$+pp1+++=my
spectacles ^nns++++=spectacles-"
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
man ^nn++++=man
fumbled ^vbd+++xvbn+=fumbled
among ^in++++=among
his ^pp$+pp3+++=his
rags ^nns++++=rags,
, ^zz++++=EXTRAWORD
producing ^vbg+++xvbg+=producing
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
dirty ^jj++++=dirty
and ^cc++++=and
amazingly ^rb++++=amazingly
antique ^jj+atrb+++=antique
glasses ^nns++++=glasses
with ^in++++=with
small ^jj+atrb+++=small
octagonal ^jj+atrb+++=octagonal
lenses ^nns++++=lenses
and ^cc++++=and
steel ^nn++++=steel
bows ^nns++++=bows.
. ^zz++++=EXTRAWORD
Donning ^np+++??+=Donning
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
reached ^vbd+++xvbnx+=reached
for ^in++++=for
the ^ati++++=the
volume ^nn++++=volume
on ^in++++=on
the ^ati++++=the
table ^nn++++=table
and ^cc++++=and
turned ^vbd+++xvbn+=turned
the ^ati++++=the
pages ^nns++++=pages
lovingly ^rb++++=lovingly.
. ^zz++++=EXTRAWORD
" ^zz++++="Ebenezer
ebenezer ^jjr+atrb+++=EXTRAWORD
cud ^nn++++=cud
read ^vbd+vprv++xvbn+=read
a ^at++++=a
leetle ^nn+++??+=leetle
of ^in++++0=o'
this- ^nn+++??+=this-'tis
it ^pp3+it+++0=EXTRAWORD
is ^vbz+bez+vrb++=EXTRAWORD
Latin ^jj+pred+++=Latin
but ^cc++++=but
I ^pp1a+pp1+++=I
ca ^np++++=can't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
two ^cd++++=two
er ^&fw++++=er
three ^cd++++=three
schoolmasters ^nns+nom+++=schoolmasters
read ^vbd+vprv++xvbn+=read
me ^pp1o+pp1+++=me
a ^at++++=a
bit ^nn++++=bit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Passon ^np++++=Passon
Clark ^np++++=Clark,
, ^zz++++=EXTRAWORD
him ^pp3o+pp3+++=him
they ^pp3a+pp3+++=they
say ^vb+vpub+++=say
got ^vbd+++xvbn+=got
draownded ^vbd+++xvbn+=draownded
in ^in++++=in
the ^ati++++=the
pond ^nn++++=pond
kin ^nns++++=kin
yew ^nn++++=yew
make ^vb++++=make
anything ^pn++++=anything
outen ^vbd+++xvbn+=outen
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
could ^md+pos+++=could,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
translated ^vpsv++agls+xvbn+=translated
for ^in++++=for
his ^pp$+pp3+++=his
benefit ^nn++++=benefit
a ^at++++=a
paragraph ^nn++++=paragraph
near ^in+pl+++=near
the ^ati++++=the
beginning ^nvbg+++xvbg+=beginning.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
erred ^vbd+++xvbnx+=erred,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
scholar ^nn++++=scholar
enough ^qlp++++=enough
to ^in++++=to
correct ^jj++++=correct
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
childishly ^rb++++=childishly
pleased ^vbd+++xvbn+=pleased
at ^rb++++=at
my ^pp$+pp1+++=my
English ^jj+atrb+++=English
version ^nn++++=version.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
proximity ^nn+nom+++=proximity
was ^vbd+bedz+aux++=was
becoming ^vbg+++xvbgx+=becoming
rather ^rb++++=rather
obnoxious ^jj++++=obnoxious,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
no ^at++++=no
way ^nn++++=way
to ^to++++=to
escape ^vbi++++=escape
without ^in++++=without
offending ^xvbg+++xvbg+=offending
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
amused ^vpsv++agls+xvbnx+=amused
at ^rb++++=at
the ^ati++++=the
childish ^jj+atrb+++=childish
fondness ^nns+nom+++=fondness
of ^in++++=of
this ^dt+dem+++=this
ignorant ^jj+atrb+++=ignorant
old ^jj+atrb+++=old
man ^nn++++=man
for ^in++++=for
the ^ati++++=the
pictures ^nns++++=pictures
in ^in++++=in
a ^at++++=a
book ^nn++++=book
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
read ^vb+vprv++xvbn+=read,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wondered ^vbd+vprv++xvbn+=wondered
how ^wrb+who+whcl++=how
much ^ap++++=much
better ^jjr++++=better
he ^pp3a+pp3+++=he
could ^md+pos+++=could
read ^vb+vprv++xvbn+=read
the ^ati++++=the
few ^ap++++=few
books ^nns++++=books
in ^in++++=in
English ^nn++++=English
which ^whp+rel+subj++=which
adorned ^vbd+++xvbn+=adorned
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
revelation ^nn+nom+++=revelation
of ^in++++=of
simplicity ^nn+nom+++=simplicity
removed ^vwbn+++xvbn+=removed
much ^ap++++=much
of ^in++++=of
the ^ati++++=the
ill ^jj++++=ill-defined
- ^zz++++=EXTRAWORD
defined ^jj+atrb++xvbn+=EXTRAWORD
apprehension ^nn++++=apprehension
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
felt ^vprf+++xvbnx+=felt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
smiled ^vbd+++xvbnx+=smiled
as ^ql++++=as
my ^pp$+pp1+++=my
host ^nn++++=host
rambled ^vbd+++xvbn+=rambled
on ^in+strn+++=on:
: ^zz++++=EXTRAWORD
" ^zz++++="Queer
queer ^jj+atrb+++=EXTRAWORD
haow ^nn+++??+=haow
picters ^nns+nom+++=picters
kin ^nns++++=kin
set ^vbd+++xvbn+=set
a ^at++++=a
body ^nn++++=body
thinkin ^nn+++??+=thinkin'.
'. ^nn+++??+=EXTRAWORD
Take ^vb++++=Take
this ^dt+dem+++=this
un ^&fw++++=un
here ^rn+pl+++=here
near ^in+pl+++=near
the ^ati++++=the
front ^nn++++=front.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey
yew ^nn++++=yew
ever ^rb++++=ever
seed ^nn++++=seed
trees ^nns++++=trees
like ^in++++=like
thet ^nn+++??+=thet,
, ^zz++++=EXTRAWORD
with ^in++++=with
big ^jj+atrb+++=big
leaves ^nns++++=leaves
a ^at++++=a
floppin ^nn+++??+=floppin'
' ^zz++++=EXTRAWORD
over ^in++++=over
and ^cc++++0=an'
daown ^jj+++xvbn+=daown?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
them ^pp3o+pp3+++=them
men ^nns++++=men
them ^pp3o+pp3+++=them
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
niggers ^nns+nom+++=niggers
they ^pp3a+pp3+++=they
dew ^nn++++=dew
beat ^vbd+++xvbn+=beat
all ^abn++++=all.
. ^zz++++=EXTRAWORD
Kinder ^jjr++++=Kinder
like ^in++++=like
Injuns ^np+++??+=Injuns,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess,
, ^zz++++=EXTRAWORD
even ^rb++++=even
ef ^nn+++??+=ef
they ^pp3a+pp3+++=they
be ^vb+be+vrb++=be
in ^in++++=in
Afriky ^np+++??+=Afriky.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++0=o'
these ^dt+dem+++=these
here ^rn+pl+++=here
critters ^nns+nom+++=critters
looks ^nns++++=looks
like ^in++++=like
monkeys ^nns++++=monkeys,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
half ^nn++++=half
monkeys ^nns++++=monkeys
and ^cc++++0=an'
half ^nn++++=half
men ^nns++++=men,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
never ^rb++++=never
heerd ^nn+++??+=heerd
of ^in++++0=o'
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
like ^in++++=like
this ^dt+dem+++=this
un ^&fw++++=un."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
he ^pp3a+pp3+++=he
pointed ^vbd+++xvbnx+=pointed
to ^in++++=to
a ^at++++=a
fabulous ^jj+atrb+++=fabulous
creature ^nn++++=creature
of ^in++++=of
the ^ati++++=the
artist ^nn++++=artist,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
one ^cd1++++=one
might ^md+pos+++=might
describe ^vb++++=describe
as ^in++++=as
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
dragon ^nn++++=dragon
with ^in++++=with
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
an ^at++++=an
alligator ^nn++++=alligator.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
naow ^nn+++??+=naow
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
show ^vb+vprv+tht0++=show
ye ^pp2+pp2+++=ye
the ^ati++++=the
best ^jjt++++=best
un ^np++++=un
over ^in++++=over
here ^rn+pl+++=here
nigh ^rb++++=nigh
the ^ati++++=the
middle ^jjb++++=middle
" ^zz++++="The
the ^ati++++=EXTRAWORD
old ^jj+atrb+++=old
man ^nn++++=man's
's ^$++++=EXTRAWORD
speech ^nn++++=speech
grew ^vbd+++xvbn+=grew
a ^at++++=a
trifle ^nn++++=trifle
thicker ^jjr++++=thicker
and ^cc++++=and
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
assumed ^vwbn+vprv++xvbn+=assumed
a ^at++++=a
brighter ^jjr+atrb+++=brighter
glow ^nn++++=glow;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
fumbling ^jj+atrb++xvbg+=fumbling
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
seemingly ^rb++++=seemingly
clumsier ^jjr++++=clumsier
than ^in++++=than
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
entirely ^rb+amp+++=entirely
adequate ^jj+pred+++=adequate
to ^in++++=to
their ^pp$+pp3+++=their
mission ^nn++++=mission.
. ^zz++++=EXTRAWORD
The ^ati++++=The
book ^nn++++=book
fell ^vbd+++xvbn+=fell
open ^jj++++=open,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
of ^in++++=of
its ^pp$+it+++=its
own ^ap++++=own
accord ^nn++++=accord
and ^cc++++=and
as ^cs+sub+++=as
if ^cs+cnd+++=if
from ^in++++=from
frequent ^jj+atrb+++=frequent
consultation ^nn+nom+++=consultation
at ^in++++=at
this ^dt+dem+++=this
place ^nn++++=place,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
repellent ^jj+atrb+++=repellent
twelfth ^np++++=twelfth
plate ^nn++++=plate
showing ^vwbg+++xvbg+=showing
a ^at++++=a
butcher ^nn++++=butcher's
's ^$++++=EXTRAWORD
shop ^nn++++=shop
amongst ^in++++=amongst
the ^ati++++=the
Anzique ^np+++??+=Anzique
cannibals ^nns+nom+++=cannibals.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
sense ^nn++++=sense
of ^in++++=of
restlessness ^nns+nom+++=restlessness
returned ^vbd+++xvbn+=returned,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
exhibit ^vb++++=exhibit
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
especially ^rb++++=especially
bizarre ^jj+atrb+++=bizarre
thing ^nn++++=thing
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
the ^ati++++=the
artist ^nn++++=artist
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
his ^pp$+pp3+++=his
Africans ^nns+nom+++=Africans
look ^vb++++=look
like ^in++++=like
white ^jj+atrb+++=white
men ^nns++++=men
the ^ati++++=the
limbs ^nns++++=limbs
and ^cc++++=and
quarters ^nns+nom+++=quarters
hanging ^vwbg+++xvbg+=hanging
about ^in++++=about
the ^ati++++=the
walls ^nns++++=walls
of ^in++++=of
the ^ati++++=the
shop ^nn++++=shop
were ^vbd+bed+vrb++=were
ghastly ^jj+pred+++=ghastly,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
butcher ^nn++++=butcher
with ^in++++=with
his ^pp$+pp3+++=his
axe ^nn++++=axe
was ^vbd+bedz+vrb++=was
