Men ^nns++++=Men
the ^ati++++=the
railing ^nn+nom+++=railing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
disappeared ^vpsv++agls+xvbn+=disappeared
beneath ^in+pl+++=beneath
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
hands ^nns++++=hands
below ^in+strn+++=below!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Andrey ^np+++??+=Andrey;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
watching ^vbg+++xvbg+=watching
where ^wrb+who+++=where
the ^ati++++=the
shells ^nns++++=shells
fell ^vbd+++xvbn+=fell
thickest ^rbt++++=thickest,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
to ^to++++=to
give ^vbi++++=give
his ^pp$+pp3+++=his
orders ^nns++++=orders.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Kate ^np++++=Kate
circled ^vbd+++xvbn+=circled
like ^in++++=like
a ^at++++=a
run ^vb+++xvbn+=run-down
- ^zz++++=EXTRAWORD
down ^rp++++=EXTRAWORD
hare ^nn++++=hare,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
all ^abn++++=all
along ^in++++=along
the ^ati++++=the
darkening ^jj+atrb++xvbg+=darkening
skyline ^nn++++=skyline
the ^ati++++=the
smoking ^jj+atrb++xvbg+=smoking
stacks ^nns++++=stacks
of ^in++++=of
mine ^pp$$++++=mine-layers
- ^zz++++=EXTRAWORD
layers ^nns++++=EXTRAWORD
and ^cc++++=and
destroyers ^nns+nom+++=destroyers
were ^vbd+bed+vrb++=were
visible ^jj+pred+++=visible
as ^in++++=as
the ^ati++++=the
enemy ^nn++++=enemy's
's ^vbz+bez+vrb++0=EXTRAWORD
ruthless ^jj+atrb+++=ruthless
ring ^nn++++=ring
rapidly ^rb++++=rapidly
tightened ^vbd+++xvbn+=tightened
about ^in++++=about
the ^ati++++=the
submarine ^nn++++=submarine.
. ^zz++++=EXTRAWORD
Having ^vbg+hvg++xvbg+=Having
had ^vb+hv+vrb++=had
her ^pp$+pp3+++=her
wireless ^jj+atrb+++=wireless
mast ^nn++++=mast
shot ^vbd+++xvbn+=shot
off ^in+pl+++=off
by ^in++++=by
a ^at++++=a
shell ^nn++++=shell,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Kate ^np++++=Kate
now ^rn+tm+++=now
dashed ^vbd+++xvbn+=dashed
toward ^in++++=toward
the ^ati++++=the
rocky ^jj+atrb+++=rocky
shore ^nn++++=shore,
, ^zz++++=EXTRAWORD
running ^jj+atrb++xvbg+=running
awash ^nn+++??+=awash.
. ^zz++++=EXTRAWORD
Six ^cd++++=Six
sparks ^np++++=sparks
shot ^vbd+++xvbn+=shot
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
dark ^jj++++=dark
and ^cc++++=and
six ^cd++++=six
steel ^nn++++=steel-clad
- ^zz++++=EXTRAWORD
clad ^jj+atrb+++=EXTRAWORD
demons ^nns++++=demons
hissed ^vbd+++xvbn+=hissed
above ^jjb++++=above
the ^ati++++=the
boat ^nn++++=boat.
. ^zz++++=EXTRAWORD
The ^ati++++=The
long ^jj+atrb+++=long
shadow ^nn++++=shadow
of ^in++++=of
a ^at++++=a
ship ^nn++++=ship
glided ^vbd+++xvbn+=glided
along ^in++++=along
the ^ati++++=the
shore ^nn++++=shore.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Kate ^np++++=Kate
shook ^vbd+++xvbn+=shook,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
sharp ^jj++++=sharp-nosed
- ^zz++++=EXTRAWORD
nosed ^vbd+++xvbn+=EXTRAWORD
torpedo ^vb+++??+=torpedo
detached ^vbd+++xvbn+=detached
itself ^ppl++++=itself
from ^in++++=from
her ^pp$+pp3+++=her
hull ^np++++=hull
and ^cc++++=and
glided ^vbd+++xvbn+=glided
away ^rp+pl+++=away
under ^in++++=under
the ^ati++++=the
water ^nn++++=water
to ^to++++=to
meet ^vbi++++=meet
the ^ati++++=the
vsilhouette ^nn+nom+++=vsilhouette
of ^in++++=of
the ^ati++++=the
vessel ^nn++++=vessel.
. ^zz++++=EXTRAWORD
A ^at++++=A
moment ^nn++++=moment
passed ^vbd+++xvbn+=passed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
fluffy ^jj+atrb+++=fluffy,
, ^zz++++=EXTRAWORD
mountainous ^jj+atrb+++=mountainous
mass ^nn++++=mass
of ^in++++=of
fire ^nn++++=fire
and ^cc++++=and
water ^nn++++=water
rose ^vbd+++xvbn+=rose
from ^in++++=from
the ^ati++++=the
spot ^nn++++=spot
where ^wrb+who+++=where
the ^ati++++=the
stacks ^nns++++=stacks
of ^in++++=of
a ^at++++=a
mine ^pp$$++++=mine-layer
- ^zz++++=EXTRAWORD
layer ^nn++++=EXTRAWORD
had ^vbd+hvd+aux++=had
projected ^vprf+++xvbnx+=projected
shortly ^rb+tm+++=shortly
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mountain ^nn++++=mountain
sank ^vbd+++xvbn+=sank
and ^cc++++=and
the ^ati++++=the
silhouette ^nn+nom+++=silhouette
disappeared ^vbd+seem++xvbn+=disappeared.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Kate ^np++++=Kate
entered ^vbd+++xvbn+=entered
a ^at++++=a
baylet ^nn++++=baylet
among ^in++++=among
the ^ati++++=the
rocks ^nns++++=rocks,
, ^zz++++=EXTRAWORD
submerged ^j+++xvbn+=submerged,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lay ^vpsv++agls+xvbn+=lay
on ^rb+phrv+++=on
the ^ati++++=the
sandy ^jj+atrb+++=sandy
sea ^nn++++=sea-bed.
- ^zz++++=EXTRAWORD
bed ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
weeks ^nns++++=weeks
the ^ati++++=the
submarine ^nn++++=submarine
remained ^vbd+++xvbn+=remained
in ^in++++=in
the ^ati++++=the
inlet ^nn++++=inlet,
, ^zz++++=EXTRAWORD
completely ^rb+amp+++=completely
cut ^vb+++xvbn+=cut
off ^rb+phrv+++=off
from ^in++++=from
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
By ^in++++=By
day ^nn++++=day
she ^pp3a+pp3+++=she
hid ^vbd+++xvbnx+=hid
in ^in++++=in
the ^ati++++=the
deep ^jj++++=deep,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^rb+down+++=only
under ^in++++=under
the ^ati++++=the
cover ^nn++++=cover
of ^in++++=of
night ^nn++++=night
did ^vbd+dod+vrb++=did
she ^pp3a+pp3+++=she
rise ^nn++++=rise
to ^in++++=to
the ^ati++++=the
surface ^nn++++=surface
to ^to++++=to
get ^vbi++++=get
a ^at++++=a
supply ^nn++++=supply
of ^in++++=of
air ^nn++++=air.
. ^zz++++=EXTRAWORD
The ^ati++++=The
greatest ^jjt+atrb+++=greatest
precautions ^nns+nom+++=precautions
were ^vbd+bed+vrb++=were
necessary ^jj+pred+++=necessary,
, ^zz++++=EXTRAWORD
for ^in++++=for
there ^rn+pl+++=there
was ^vbd+bedz+vrb++=was
little ^ap++++=little
likelihood ^nn+nom+++=likelihood
that ^tht+ncmp+++=that
the ^ati++++=the
enemy ^nn++++=enemy
believed ^vbd+vprv++xvbn+=believed
the ^ati++++=the
submarine ^nn++++=submarine
to ^to++++=to
be ^vbi+vbi+aux++=be
destroyed ^vpsv++agls+xvbnx+=destroyed.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
that ^dt+dem+++=that
time ^nn++++=time
some ^dti++++=some
action ^nn++++=action
was ^vbd+bedz+vrb++=was
inevitable ^jj+pred+++=inevitable,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
boat ^nn++++=boat's
's ^$++++=EXTRAWORD
supplies ^nns++++=supplies
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
out ^rp+pl+++=out;
; ^zz++++=EXTRAWORD
for ^in++++=for
three ^cd++++=three
days ^nns++++=days
the ^ati++++=the
crew ^nn++++=crew
had ^vbd+hvd+aux++=had
fed ^vprf+++xvbnx+=fed
on ^in++++=on
fish ^nns++++=fish
which ^whp+rel+obj++=which
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
men ^nns++++=men
had ^vbd+hvd+aux++=had
caught ^vprf+++xvbnx+=caught
at ^rb++++=at
great ^jj++++=great
risk ^vb++++=risk.
. ^zz++++=EXTRAWORD
Audrey ^np++++=Audrey
decided ^vbd+vprv++xvbn+=decided
to ^to+vcmp+++=to
leave ^vbi++++=leave
the ^ati++++=the
bay ^nn++++=bay
and ^cc++++=and
make ^vb++++=make
a ^at++++=a
supreme ^jj+atrb+++=supreme
effort ^nn++++=effort
to ^to+ncmp+++=to
run ^vbi++++=run
the ^ati++++=the
enemy ^nn++++=enemy's
's ^$++++=EXTRAWORD
cordon ^nn++++=cordon.
. ^zz++++=EXTRAWORD
About ^in++++=About
daybreak ^nn+++??+=daybreak,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
Kate ^np++++=Kate
was ^vbd+bedz+aux++=was
nearing ^vbg+++xvbgx+=nearing
the ^ati++++=the
surface ^nn++++=surface
of ^in++++=of
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
the ^ati++++=the
crew ^nn++++=crew
became ^vbd+++xvbn+=became
aware ^jj++++=aware
of ^in++++=of
a ^at++++=a
tremendous ^jj+atrb+++=tremendous
muffled ^jj+atrb+++=muffled
cannonade ^nn+++??+=cannonade;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
the ^ati++++=the
boat ^nn++++=boat
emerged ^vbd+++xvbn+=emerged
into ^in++++=into
a ^at++++=a
white ^jj+atrb+++=white
fog ^nn++++=fog,
, ^zz++++=EXTRAWORD
the ^ati++++=the
whole ^jj+atrb+++=whole
coast ^nn++++=coast
shook ^vbd+++xvbn+=shook
and ^cc+phrs+++=and
echoed ^vbd+++xvbn+=echoed
with ^in++++=with
the ^ati++++=the
roar ^nn++++=roar
and ^cc++++=and
crash ^nn++++=crash
of ^in++++=of
a ^at++++=a
sea ^nn++++=sea
battle ^nn++++=battle.
. ^zz++++=EXTRAWORD
Broadsides ^np+++??+=Broadsides
and ^cc++++=and
terrific ^jj+atrb+++=terrific
explosions ^nns++++=explosions
alternated ^vbd+++xvbn+=alternated
with ^in++++=with
the ^ati++++=the
crackling ^nn+nom+++=crackling
of ^in++++=of
guns ^nns++++=guns.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
as ^cs+sub+++=as
though ^cs+sub+++=though
a ^at++++=a
multitude ^nn++++=multitude
of ^in++++=of
sea ^nn++++=sea-devils
- ^zz++++=EXTRAWORD
devils ^nns++++=EXTRAWORD
coughed ^vbd+++xvbn+=coughed
and ^cc+phrs+++=and
blew ^vbd+++xvbn+=blew
and ^cc+phrs+++=and
roared ^vbd+++xvbn+=roared
at ^rb++++=at
each ^dt++++=each
other ^ap++++=other.
. ^zz++++=EXTRAWORD
" ^zz++++="Quick,
quick ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
shouted ^vbd+vpub++xvbn+=shouted
Yakovlev ^np+++??+=Yakovlev,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv++xvbg+=holding
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
railing ^nn+nom+++=railing;
; ^zz++++=EXTRAWORD
" ^zz++++="we
we ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
break ^vb++++=break
through ^in++++=through
now ^rn+tm+++=now!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
teeth ^nn++++=teeth
rattled ^vwbn+++xvbn+=rattled.
. ^zz++++=EXTRAWORD
The ^ati++++=The
preparations ^nns+nom+++=preparations
for ^in++++=for
the ^ati++++=the
dash ^nn++++=dash
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
completed ^vpsv++agls+xvbnx+=completed.
. ^zz++++=EXTRAWORD
A ^at++++=A
strong ^jj+atrb+++=strong
gale ^nn++++=gale
swept ^vwbn+++xvbn+=swept
away ^rp+pl+++=away
the ^ati++++=the
fog ^nn++++=fog
and ^cc++++=and
drove ^vbd+++xvbn+=drove
its ^pp$+it+++=its
torn ^xvbn+++xvbn+=torn
masses ^nns++++=masses
over ^in++++=over
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
laying ^vbg+++xvbg+=laying
bare ^jj++++=bare
the ^ati++++=the
rocky ^jj+atrb+++=rocky
shore ^nn++++=shore.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Kate ^np++++=Kate
dashed ^vwbn+++xvbn+=dashed
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
bay ^nn++++=bay
into ^in++++=into
the ^ati++++=the
open ^nn++++=open.
. ^zz++++=EXTRAWORD
The ^ati++++=The
firing ^nvbg+++xvbg+=firing
was ^vbd+bedz+aux++=was
now ^rn+tm+splt++=now
heard ^vpsv++agls+xvbnx+=heard
behind ^in+pl+++=behind
and ^cc++++=and
on ^in++++=on
the ^ati++++=the
right ^nn++++=right;
; ^zz++++=EXTRAWORD
the ^ati++++=the
road ^nn++++=road
to ^in++++=to
the ^ati++++=the
port ^nn++++=port
was ^vbd+bedz+vrb++=was
open ^jj+pred+++=open
at ^rb++++=at
last ^rb"++++=last.
. ^zz++++=EXTRAWORD
The ^ati++++=The
submarine ^nn++++=submarine
rushed ^vbd+++xvbn+=rushed
along ^in+strn+++=along,
, ^zz++++=EXTRAWORD
ripping ^vbg+++xvbg+=ripping
in ^in++++=in
twain ^nn+++??+=twain
the ^ati++++=the
frothing ^jj+atrb++xvbg+=frothing
waves ^nns++++=waves.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
moment ^nn++++=moment
of ^in++++=of
exaltation ^nn+nom+++=exaltation,
, ^zz++++=EXTRAWORD
to ^to++++=to
return ^vbi++++=return
safely ^rb++++=safely
to ^in++++=to
base ^nn++++=base,
, ^zz++++=EXTRAWORD
simply ^rb++++=simply
to ^to++++=to
do ^vbi++++=do
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
duty ^nn++++=duty,
, ^zz++++=EXTRAWORD
seemed ^j+++xvbn+=seemed
too ^ql++++=too
little ^ap++++=little
to ^in++++=to
these ^dt+dem+++=these
fearless ^jj+atrb+++=fearless
men ^nns++++=men.
. ^zz++++=EXTRAWORD
The ^ati++++=The
feeling ^nvbg+++xvbg+=feeling
that ^tht+ncmp+++=that
possessed ^jj+++xvbn+=possessed
them ^pp3o+pp3+++=them
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
enthusiasm ^nn++++=enthusiasm
but ^cc++++=but
a ^at++++=a
greediness ^nns+nom+++=greediness,
, ^zz++++=EXTRAWORD
a ^at++++=a
yearning ^jj+++xvbg+=yearning
for ^in++++=for
destruction ^nn+nom+++=destruction.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
cannot ^md+pos+not++=cannot
go ^vb++++=go
away ^rp+pl+++=away
like ^in++++=like
this ^dt+pdem+++=this,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Yakovlev ^np+++??+=Yakovlev
shouted ^vbd+vpub++xvbn+=shouted
in ^in++++=in
Audrey ^np++++=Audrey's
's ^$++++=EXTRAWORD
ear ^nn++++=ear;
; ^zz++++=EXTRAWORD
" ^zz++++="turn
turn ^nn++++=EXTRAWORD
back ^jjb++++=back
or ^cc++++=or
I ^pp1a+pp1+++=I
will ^md+prd+++=will
shoot ^vb++++=shoot
myself ^ppl+pp1+++=myself!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
was ^vbd+bedz+vrb++=was
completely ^rb+amp+++=completely
beside ^in+pl+++=beside
himself ^ppl+pp3+++=himself;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
pale ^nn++++=pale
face ^nn++++=face
twisted ^vbd+++xvbn+=twisted
convulsively ^rb++++=convulsively.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
then ^rn+tm+++=then
the ^ati++++=the
sun ^nn++++=sun
arose ^vbd+++xvbn+=arose,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
the ^ati++++=the
rolling ^jj+++xvbg+=rolling
sea ^npl++++=sea
into ^in++++=into
a ^at++++=a
dull ^jj+atrb+++=dull
orange ^nn++++=orange.
. ^zz++++=EXTRAWORD
Near ^in+pl+++=Near
at ^rb++++=at
hand ^nn++++=hand
invisible ^jj+atrb+++=invisible
ships ^nns++++=ships
thundered ^vbd+++xvbn+=thundered
against ^in++++=against
each ^dt++++=each
other ^ap++++=other.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
a ^at++++=a
gray ^np++++=gray
mountain ^nn++++=mountain-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
shape ^nn++++=shape
emerged ^vbd+++xvbn+=emerged
from ^in++++=from
the ^ati++++=the
fog ^nn++++=fog,
, ^zz++++=EXTRAWORD
enveloped ^j+++xvbn+=enveloped
in ^in++++=in
flame ^nn++++=flame
and ^cc++++=and
smoke ^nn++++=smoke.
. ^zz++++=EXTRAWORD
Above ^in+pl+++=Above
its ^pp$+it+++=its
turrets ^nns++++=turrets,
, ^zz++++=EXTRAWORD
stacks ^nns++++=stacks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
masts ^nns+++??+=masts
fluttered ^vbd+++xvbn+=fluttered
a ^at++++=a
flag ^nn++++=flag
bearing ^vwbg+++xvbg+=bearing
a ^at++++=a
black ^jj+atrb+++=black
eagle ^nn++++=eagle.
. ^zz++++=EXTRAWORD
Mad ^jj++++=Mad
with ^in++++=with
the ^ati++++=the
thought ^vprf+++xvbn+=thought
that ^tht+vcmp+++=that
the ^ati++++=the
opportunity ^nn+nom+++=opportunity
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
Andrey ^np+++??+=Andrey
rushed ^vbd+++xvbn+=rushed
down ^rp++++=down
the ^ati++++=the
hatchway ^nn+++??+=hatchway,
, ^zz++++=EXTRAWORD
knocking ^vbg+++xvbg+=knocking
over ^rb+phrv+++=over
Yakovlev ^np+++??+=Yakovlev
on ^in++++=on
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
loaded ^vbd+++xvbn+=loaded
the ^ati++++=the
torpedo ^nn+++??+=torpedo
tube ^nn++++=tube.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Kate ^np++++=Kate
submerged ^vbd+++xvbn+=submerged
a ^rb++++=a
little ^rb"++++=little,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sailing ^nvbg+++xvbg+=sailing
awash ^nn+++??+=awash,
, ^zz++++=EXTRAWORD
headed ^xvbn+++xvbn+=headed
straight ^jj++++=straight
for ^in++++=for
the ^ati++++=the
enemy ^nn++++=enemy
vessel ^nn++++=vessel.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shadow ^nn++++=shadow
of ^in++++=of
the ^ati++++=the
hostile ^jj+atrb+++=hostile
ship ^nn++++=ship
glided ^vbd+++xvbn+=glided
along ^in++++=along
the ^ati++++=the
periscope ^nn++++=periscope
screen ^nn++++=screen,
, ^zz++++=EXTRAWORD
every ^at++++=every
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then
wrapping ^vbg+++xvbg+=wrapping
itself ^ppl++++=itself
into ^in++++=into
a ^at++++=a
cloud ^nn++++=cloud
pierced ^vbd+++xvbn+=pierced
with ^in++++=with
fiery ^jj+atrb+++=fiery
needles ^nps++++=needles
of ^in++++=of
shots ^nns++++=shots.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Kate ^np++++=Kate
fired ^vbd+++xvbn+=fired
a ^at++++=a
torpedo ^nn+++??+=torpedo
but ^cc++++=but
missed ^vprf+++xvbn+=missed
her ^pp$+pp3+++=her
aim ^nn++++=aim.
. ^zz++++=EXTRAWORD
Leaning ^vbg+++xvbg+=Leaning
over ^in++++=over
the ^ati++++=the
screen ^nn++++=screen
and ^cc++++=and
biting ^vbg+++xvbg+=biting
his ^pp$+pp3+++=his
lips ^nns++++=lips
to ^in++++=to
bleeding ^xvbg+++xvbg+=bleeding,
, ^zz++++=EXTRAWORD
Andrey ^np+++??+=Andrey
examined ^vwbn+++xvbn+=examined
the ^ati++++=the
tiny ^jj+atrb+++=tiny
image ^nn++++=image
of ^in++++=of
the ^ati++++=the
vessel ^nn++++=vessel,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
mightiest ^nn++++=mightiest
of ^in++++=of
battleships ^nns+nom+++=battleships.
. ^zz++++=EXTRAWORD
The ^ati++++=The
distance ^nn+nom+++=distance
between ^in++++=between
the ^ati++++=the
Kate ^np++++=Kate
and ^cc++++=and
the ^ati++++=the
enemy ^nn++++=enemy
vessel ^nn++++=vessel
continued ^vbd+++xvbn+=continued
to ^to++++=to
decrease ^vbi++++=decrease;
; ^zz++++=EXTRAWORD
the ^ati++++=the
image ^nn++++=image
of ^in++++=of
the ^ati++++=the
ship ^nn++++=ship
already ^rb++++=already
occupied ^vbd+++xvbn+=occupied
half ^abn++++=half
of ^in++++=of
the ^ati++++=the
periscope ^nn++++=periscope
screen ^nn++++=screen.
. ^zz++++=EXTRAWORD
" ^zz++++="Another
another ^dt++++=EXTRAWORD
torpedo ^nn+++??+=torpedo!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
shouted ^vbd+vpub++xvbn+=shouted
Andrey ^np+++??+=Andrey.
. ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
very ^ql+amp+++=very
instant ^nn+nom+++=instant
a ^at++++=a
blow ^nn++++=blow
was ^vbd+bedz+aux++=was
struck ^vpsv++agls+xvbnx+=struck
the ^ati++++=the
boat ^nn++++=boat
and ^cc++++=and
the ^ati++++=the
periscope ^nn++++=periscope
screen ^nn++++=screen
grew ^vbd+++xvbn+=grew
dark ^nn++++=dark.
. ^zz++++=EXTRAWORD
Andrey ^np+++??+=Andrey
ran ^vbd+++xvbn+=ran
out ^rp+pl+++=out
from ^in++++=from
the ^ati++++=the
navigating ^jj+atrb++xvbg+=navigating
compartment ^nn+nom+++=compartment
and ^cc++++=and
shouted ^vbd+vpub++xvbn+=shouted:
: ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
periscope ^nn++++=periscope
is ^vbz+bez+aux++=is
shot ^vpsv++agls+xvbnx+=shot
away ^rp+pl+++=away!
! ^zz++++=EXTRAWORD
Full ^jj+atrb+++=Full
speed ^nn++++=speed
forward ^rb++++=forward!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
engineer ^nn+nom+++=engineer
seized ^vbd+++xvbn+=seized
the ^ati++++=the
handle ^nn++++=handle
of ^in++++=of
a ^at++++=a
lever ^nn++++=lever
and ^cc++++=and
asked ^vbd+vsua++xvbn+=asked,
, ^zz++++=EXTRAWORD
" ^zz++++="Which
which ^whp+who+++=EXTRAWORD
way ^nn++++=way?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Forward!
forward ^rb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
forward ^rb++++=forward!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Andrey ^np+++??+=Andrey
went ^vbd+++xvbn+=went
into ^in++++=into
the ^ati++++=the
conning ^jj+++xvbg+=conning
tower ^npl++++=tower;
; ^zz++++=EXTRAWORD
straight ^jj++++=straight
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
him ^pp3o+pp3+++=him
foamy ^nn+++??+=foamy
eddies ^nns+++??+=eddies
whirled ^vbd+++xvbn+=whirled
furiously ^rb++++=furiously.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dark ^jj+atrb+++=dark
hull ^np++++=hull
of ^in++++=of
a ^at++++=a
ship ^nn++++=ship
appeared ^vbd+seem++xvbn+=appeared,
, ^zz++++=EXTRAWORD
obscuring ^vbg+++xvbg+=obscuring
the ^ati++++=the
light ^nn++++=light.
. ^zz++++=EXTRAWORD
" ^zz++++="Stop!"
stop ^vb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
shouted ^vbd+vpub++xvbn+=shouted
Andrey ^np+++??+=Andrey.
. ^zz++++=EXTRAWORD
" ^zz++++="Fire
fire ^nn++++=EXTRAWORD
another ^dt++++=another
one ^pn++++=one!
! ^zz++++=EXTRAWORD
Full ^jj+atrb+++=Full
speed ^nn++++=speed
backward ^jj++++=backward!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
closed ^vbd+++xvbnx+=closed
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
moment ^nn++++=moment
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
him ^vbi++++=him
that ^dt+dem+++=that
the ^ati++++=the
end ^nn++++=end
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
hurled ^vpsv++by+xvbnx+=hurled
by ^in++++=by
the ^ati++++=the
explosion ^nn++++=explosion
of ^in++++=of
the ^ati++++=the
torpedo ^nn+++??+=torpedo
into ^in++++=into
the ^ati++++=the
corridor ^nn++++=corridor
and ^cc++++=and
dashed ^vpsv++agls+xvbn+=dashed
against ^in++++=against
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
The ^ati++++=The
outcries ^nns++++=outcries
of ^in++++=of
the ^ati++++=the
men ^nns++++=men
were ^vbd+bed+aux++=were
drowned ^vpsv++by+xvbnx+=drowned
by ^in++++=by
the ^ati++++=the
muffled ^jj+atrb+++=muffled
thud ^nn++++=thud
of ^in++++=of
the ^ati++++=the
inrushing ^jj+atrb++xvbg+=inrushing
water ^nn++++=water.
. ^zz++++=EXTRAWORD
The ^ati++++=The
light ^nn++++=light
went ^vbd+++xvbn+=went
out ^rp+pl+++=out;
; ^zz++++=EXTRAWORD
the ^ati++++=the
Kate ^np++++=Kate
began ^vbd+++xvbn+=began
to ^to++++=to
rotate ^vbi++++=rotate
and ^cc++++=and
sink ^nn++++=sink.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boat ^nn++++=boat
did ^vbd+dod+aux++=did
not ^xnot++not++=not
stay ^vb++++=stay
long ^rb++++=long
in ^in++++=in
the ^ati++++=the
deep ^jj++++=deep;
; ^zz++++=EXTRAWORD
freed ^j+++xvbn+=freed
from ^in++++=from
the ^ati++++=the
weight ^nn++++=weight
of ^in++++=of
two ^cd++++=two
torpedoes ^nns+++??+=torpedoes,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
slowly ^rb++++=slowly
