Laura ^nn++++=Laura
the ^ati++++=the
picture ^nn++++=picture
of ^in++++=of
Howie ^np++++=Howie
blown ^vbd+++xvbn+=blown
into ^in++++=into
pieces ^nns++++=pieces.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
hated ^vbd+++xvbnx+=hated
people ^nns++++=people.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
always ^rb++splt++=always
doing ^vbg+++xvbgx+=doing
something ^pn++++=something
like ^in++++=like
this ^dt+dem+++=this
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
hated ^vbd+++xvbnx+=hated
all ^abn++++=all
these ^dt+dem+++=these
people ^nns++++=people
in ^in++++=in
the ^ati++++=the
theater ^nn++++=theater.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem+tht0+xvbn+=seemed
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
all ^abn++++=all,
, ^zz++++=EXTRAWORD
somehow ^rb+cnj+++=somehow,
, ^zz++++=EXTRAWORD
against ^in++++=against
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Howie ^np++++=Howie
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
so ^ql+emph+++=so
good ^jj++++=good
to ^to+jcmp+++=to
them ^pp3o+pp3+++=them!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
good ^jj++++=good
to ^to+jcmp+++=to
people ^vb++++=people
like ^in++++=like
the ^ati++++=the
people ^nn++++=people
in ^in++++=in
this ^dt+dem+++=this
theater ^jjr++++=theater.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
good ^jj++++=good
and ^cc++++=and
kind ^nn++++=kind
to ^in++++=to
them ^pp3o+pp3+++=them
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
Howie ^np++++=Howie
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
always ^rb++splt++=always
thinking ^vbg+++xvbgx+=thinking
of ^in++++=of
people ^nns++++=people's
's ^$++++=EXTRAWORD
comfort ^nn++++=comfort
the ^ati++++=the
comfort ^nn++++=comfort
of ^in++++=of
people ^nns++++=people
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
to ^in++++=to
work ^nn++++=work
hard ^jj++++=hard.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
time ^nn++++=time
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
into ^in++++=into
his ^pp$+pp3+++=his
father ^nn++++=father's
's ^$++++=EXTRAWORD
factory ^nn++++=factory
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
always ^rb++splt++=always
been ^vprf+ben+aux+xvbnx+=been
thinking ^vbg+++xvbgx+=thinking
up ^rb+phrv+++=up
ways ^nns++++=ways
of ^in++++=of
making ^xvbg+++xvbg+=making
people ^nns++++=people
more ^rbr++++=more
comfortable ^jj++++=comfortable
in ^in++++=in
their ^pp$+pp3+++=their
work ^nn++++=work.
. ^zz++++=EXTRAWORD
To ^to++++=To
see ^vbi+vprv+++=see
girls ^nns++++=girls
working ^vwbg+++xvbg+=working
in ^in++++=in
uncomfortable ^jj+atrb+++=uncomfortable
chairs ^nns++++=chairs,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
standing ^jj+atrb++xvbg+=standing
hour ^nn++++=hour
after ^in++++=after
hour ^nn++++=hour
at ^in++++=at
tables ^nns++++=tables
too ^rb++++=too
low ^jj++++=low
or ^cc++++=or
too ^ql++++=too
high ^np++++=high
for ^in++++=for
them ^pp3o+pp3+++=them
he ^pp3a+pp3+++=he
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
pass ^vb++++=pass
those ^dt+dem+++=those
things ^nns++++=things
by ^in++++=by
as ^ql++++=as
others ^aps++++=others
passed ^jj+++xvbn+=passed
them ^pp3o+pp3+++=them
by ^in+strn+++=by.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
a ^at++++=a
certain ^jj+atrb+++=certain
inventive ^jj+atrb+++=inventive
faculty ^nn++++=faculty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
kindness ^nns+nom+++=kindness
was ^vbd+bedz+aux++=was
always ^rb++splt++=always
making ^vbg+++xvbgx+=making
use ^nn++++=use
of ^in++++=of
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
father ^npt++++=father
used ^md"++pmd"++=used
to ^to++++=to
tell ^vb++++=tell
him ^pp3o+pp3+++=him
he ^pp3a+pp3+++=he
would ^md+prd+++=would
break ^vb++++=break
them ^pp3o+pp3+++=them
all ^rb++++=all
up ^rp++++=up
in ^in++++=in
business ^nns+nom+++=business
if ^cs+cnd+++=if
his ^pp$+pp3+++=his
mind ^nn++++=mind
went ^vbd+++xvbn+=went
on ^in++++=on
working ^xvbg+++xvbg+=working
in ^cs+sub+++=in
that ^cs"++++=that
direction ^nn+nom+++=direction.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
tell ^vb++++=tell
him ^pp3o+pp3+++=him
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
be ^vbi++vrb++=be
an ^at++++=an
inventor ^nn++++=inventor
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
better ^jjr++++=better
think ^vb+vprv+++=think
up ^rb+phrv+++=up
some ^dti++++=some
money ^nn++++=money-making
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
inventions ^nns+nom+++=inventions.
. ^zz++++=EXTRAWORD
Howie ^np++++=Howie
would ^md+prd+++=would
laugh ^vb++++=laugh
and ^cc++++=and
reply ^vb++++=reply
that ^tht+vcmp+obj++=that
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
make ^vb++++=make
it ^pp3+it+++=it
all ^rb++++=all
up ^rp++++=up
some ^dti++++=some
day ^nn++++=day.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
at ^rb++++=at
last ^rb"++++=last
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
things ^nns++++=things
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
thought ^vprf+++xvbnx+=thought
out ^rp+pl+++=out
to ^to++++=to
make ^vbi++++=make
it ^pp3+it+++=it
better ^jjr++++=better
for ^in++++=for
people ^nns++++=people
was ^vbd+bedz+aux++=was
really ^rb+emph+splt++=really
going ^md"++pmd"++=going
to ^md+prd+++=to
make ^vb++++=make
it ^pp3+it+++=it
better ^jjr++++=better
for ^in++++=for
Howie ^np++++=Howie.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
certain ^jj++++=certain
kind ^rb++++=kind
of ^rb"++++=of
shade ^nn++++=shade
for ^in++++=for
the ^ati++++=the
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
relief ^nn++++=relief
to ^in++++=to
the ^ati++++=the
girls ^nns++++=girls
in ^in++++=in
their ^pp$+pp3+++=their
little ^jj+atrb+++=little
factory ^nn++++=factory,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
being ^vbg+beg+aux+xvbg+=being
tried ^vbd+++xvbn+=tried
out ^rp+pl+++=out
elsewhere ^rb++++=elsewhere.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
even ^rb++++=even
being ^xvbg+++xvbg+=being
used ^xvbn+++xvbn+=used
a ^rb++++=a
little ^rb"++++=little
in ^in++++=in
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
big ^jj+atrb+++=big
munition ^nn+nom+++=munition
plants ^nns++++=plants.
. ^zz++++=EXTRAWORD
Howie ^np++++=Howie
was ^vbd+bedz+aux++=was
there ^ex+pex+++=there
seeing ^vbg+vprv++xvbg+=seeing
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
in ^in++++=in
there ^rn+pl+++=there
Howie ^np++++=Howie.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
even ^rb++++=even
anything ^pn++++=anything
to ^to++++=to
carry ^vbi++++=carry
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
The ^ati++++=The
picture ^nn++++=picture
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^md"++pmd"++=had
to ^md+nec+++=to
wait ^vb++++=wait
until ^cs+sub+++=until
almost ^rb+hdg+++=almost
half ^nn++++=half
of ^in++++=of
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
before ^cs+sub+++=before
her ^pp$+pp3+++=her
moment ^nn++++=moment
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
The ^ati++++=The
story ^nn++++=story
was ^vbd+bedz+vrb++=was
a ^at++++=a
tawdry ^nn++++=tawdry,
, ^zz++++=EXTRAWORD
meaningless ^jj+atrb+++=meaningless
thing ^nn++++=thing
about ^in++++=about
the ^ati++++=the
adventures ^nns++++=adventures
of ^in++++=of
two ^cd++++=two
men ^nns++++=men
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
stolen ^vprf+++xvbnx+=stolen
a ^at++++=a
diamond ^nn++++=diamond
cross ^nn++++=cross
a ^at++++=a
strange ^jj+atrb+++=strange
world ^nn++++=world
into ^in++++=into
which ^whp+rel+pied++=which
to ^to++++=to
come ^vbi++++=come
to ^to++++=to
find ^vbi+vprv+++=find
Howie ^np++++=Howie.
. ^zz++++=EXTRAWORD
Chance ^nn++++=Chance
had ^vbd+hvd+aux++=had
caught ^vprf+++xvbnx+=caught
him ^pp3o+pp3+++=him
into ^in++++=into
it ^pp3+it+++=it
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
people ^nns++++=people
passing ^vwbg+++xvbg+=passing
along ^in++++=along
a ^at++++=a
street ^nn++++=street
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
being ^vbg+beg+aux+xvbg+=being
taken ^vprf+++xvbn+=taken
for ^in++++=for
the ^ati++++=the
picture ^nn++++=picture.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
moment ^nn++++=moment
was ^vbd+bedz+aux++=was
prolonged ^vpsv++by+xvbnx+=prolonged
by ^in++++=by
his ^pp$+pp3+++=his
stopping ^nvbg+++xvbg+=stopping
to ^to++++=to
do ^vbi++++=do
the ^ati++++=the
kind ^rb++++=kind
of ^rb"++++=of
thing ^nn++++=thing
Howie ^np++++=Howie
would ^md+prd+++=would
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
as ^cs+sub+++=as
if ^cs+cnd+++=if
that ^dt+dem+++=that
one ^cd1++++=one
moment ^nn++++=moment
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^ap+down+++=only
thing ^nn++++=thing
saved ^vwbn+++xvbn+=saved
out ^rp+pl+++=out
of ^in++++=of
Howie ^np++++=Howie's
's ^$++++=EXTRAWORD
life ^nn++++=life.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
who ^whp+who+++=who
made ^vbd+++xvbn+=made
the ^ati++++=the
picture ^nn++++=picture
had ^vb+hv+aux++=had
apparently ^rb++splt++=apparently
seen ^vprf+++xvbnx+=seen
that ^tht+vcmp+++=that
the ^ati++++=the
moment ^nn++++=moment
was ^vbd+bedz+vrb++=was
worth ^in++++=worth
keeping ^xvbg+++xvbg+=keeping
they ^pp3a+pp3+++=they
left ^vbd+++xvbnx+=left
it ^pp3+it+++=it
as ^in++++=as
a ^at++++=a
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
stream ^nn++++=stream
of ^in++++=of
life ^nn++++=life
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
by ^in++++=by
while ^cs+sub+++=while
the ^ati++++=the
detective ^nn++++=detective
of ^in++++=of
their ^pp$+pp3+++=their
story ^nn++++=story
waited ^vbd+++xvbn+=waited
for ^in++++=for
the ^ati++++=the
men ^nns++++=men
for ^in++++=for
whom ^whp+rel+pied++=whom
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
laid ^vprf+++xvbnx+=laid
a ^at++++=a
trap ^nn++++=trap.
. ^zz++++=EXTRAWORD
The ^ati++++=The
story ^nn++++=story
itself ^ppl++++=itself
had ^vb+hv+vrb++=had
little ^ap++++=little
relation ^nn+nom+++=relation
to ^in++++=to
real ^jj+atrb+++=real
things ^nns++++=things
yet ^cc++++=yet
chance ^nn++++=chance
made ^vbd+++xvbn+=made
it ^pp3+it+++=it
this ^dt+dem+++=this
vehicle ^nn++++=vehicle
for ^in++++=for
keeping ^xvbg+++xvbg+=keeping
something ^pn++++=something
of ^in++++=of
the ^ati++++=the
reality ^nn+nom+++=reality
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
Howie ^np++++=Howie
a ^at++++=a
disclosing ^jj+atrb++xvbg+=disclosing
moment ^nn++++=moment
captured ^vbd+++xvbn+=captured
unawares ^rb++++=unawares.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
thinking ^vbg+++xvbgx+=thinking
of ^in++++=of
the ^ati++++=the
strangeness ^nns+nom+++=strangeness
of ^in++++=of
all ^abn++++=all
this ^dt+pdem+++=this
when ^wrb+who+++=when
again ^rb+tm+++=again
the ^ati++++=the
people ^nns++++=people
seated ^vbd+++xvbn+=seated
back ^jjb++++=back
of ^in++++=of
her ^pp$+pp3+++=her
said ^vbd+vpub++xvbn+=said
a ^at++++=a
thing ^nn++++=thing
that ^tht+rel+subj++=that
came ^vbd+++xvbn+=came
right ^nn++++=right
to ^to+ncmp+++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
saying ^vbg+++xvbgx+=saying
" ^zz++++="scrap-heap."
scrap ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
heap ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
knew ^vbd+vprv++xvbnx+=knew
before ^cs+sub+++=before
she ^pp3a+pp3+++=she
knew ^vbd+vprv++xvbnx+=knew
why ^wrb+who+whcl++=why
that ^cs+sub+++=that
this ^dt+pdem+++=this
had ^vb+hv+vrb++=had
something ^pn++++=something
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
found ^vbd+vprv++xvbnx+=found
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
talking ^vbg+++xvbgx+=talking
about ^in++++=about
this ^dt+dem+++=this
film ^nn++++=film.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
ready ^jj+pred+++=ready
for ^in++++=for
the ^ati++++=the
scrap ^nn++++=scrap-heap.
- ^zz++++=EXTRAWORD
heap ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
on ^in++++=on
its ^pp$+it+++=its
last ^jj+atrb+++=last
legs ^nns++++=legs.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
laughed ^vbd+++xvbnx+=laughed
and ^cc+phrs+++=and
said ^vbd+vpub++xvbn+=said
perhaps ^rb++++=perhaps
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
seeing ^vbg+vprv+tht0+xvbgx+=seeing
its ^pp$+it+++=its
" ^zz++++="last
last ^rb++++=EXTRAWORD
appearance ^nn+nom+++=appearance."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
understand ^vbi+vprv+++=understand
what ^wdt+who+whcl++=what
it ^pp3+it+++=it
meant ^vbd+vprv++xvbn+=meant.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
even ^rb++++=even
this ^dt+pdem+++=this
would ^md+prd+++=would
cease ^vb++++=cease
to ^to++++=to
be ^vbi++vrb++=be
in ^in++++=in
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
known ^vprf++tht0+xvbnx+=known
she ^pp3a+pp3+++=she
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
stop ^vb++++=stop
following ^vbg+++xvbg+=following
the ^ati++++=the
picture ^nn++++=picture
around ^in+strn+++=around,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
even ^rb++splt++=even
told ^vprf++tht0+xvbnx+=told
herself ^ppl+pp3+++=herself
this ^dt+pdem+++=this
would ^md+prd+++=would
be ^vb+be+vrb++=be
the ^ati++++=the
last ^jj+atrb+++=last
time ^nn++++=time
she ^pp3a+pp3+++=she
would ^md+prd+++=would
come ^vb++++=come
to ^to++++=to
see ^vbi+vprv+tht0++=see
it ^pp3+it+++=it
but ^cc++++=but
to ^to++++=to
feel ^vbi+vprv+tht0++=feel
it ^pp3+it+++=it
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
any ^dti++++=any
longer ^rbr++++=longer
be ^vb+be+vrb++=be
there ^ex+pex+++=there
to ^to++++=to
be ^vbi+vbi+aux++=be
seen ^vpsv++agls+xvbnx+=seen
that ^tht+vcmp+++=that
even ^rb++++=even
this ^dt+dem+++=this
glimpse ^nn++++=glimpse
of ^in++++=of
Howie ^np++++=Howie
would ^md+prd+++=would
go ^vb++++=go
out ^rp+pl+++=out
go ^vb++++=go
out ^rp+pl+++=out
as ^in++++=as
life ^nn++++=life
goes ^vbz++++=goes
out ^rp+pl+++=out
scrap ^nn++++=scrap-heap!
- ^zz++++=EXTRAWORD
heap ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
sat ^vbd+++xvbnx+=sat
up ^rp++++=up
straight ^jj++++=straight
and ^cc+phrs+++=and
cleared ^jj+++xvbn+=cleared
her ^pp$+pp3+++=her
throat ^nn++++=throat.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=would
have ^md"++pmd"++=have
to ^md+nec+++=to
leave ^vb++++=leave.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
must ^md+nec+++=must
get ^vb++++=get
air ^nn++++=air.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
where ^wrb+who+whcl++=where
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
far ^rb+pl+++=far
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
might ^md+pos+++=might
miss ^vb++++=miss
Howie ^np++++=Howie!
! ^zz++++=EXTRAWORD
With ^in++++=With
both ^abx++++=both
hands ^nns++++=hands
she ^pp3a+pp3+++=she
took ^vbd+++xvbnx+=took
hold ^nn++++=hold
of ^in++++=of
the ^ati++++=the
sides ^nns++++=sides
of ^in++++=of
the ^ati++++=the
seat ^nn++++=seat.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
going ^md"++pmd"++=going
to ^md+prd+++=to
fall ^vb++++=fall
forward ^rb++++=forward!
! ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
suffocating ^jj+++xvbg+=suffocating.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
until ^cs+sub+++=until
after ^cs+sub+++=after
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now.
. ^zz++++=EXTRAWORD
The ^ati++++=The
detective ^nn++++=detective
has ^vbz+hvz+aux++=has
left ^vprf+++xvbnx+=left
the ^ati++++=the
hotel ^nn++++=hotel
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
walking ^vbg+++xvbgx+=walking
along ^in++++=along
the ^ati++++=the
street ^nn++++=street.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
comes ^vbz++++=comes
to ^in++++=to
the ^ati++++=the
cigar ^nn++++=cigar-store
- ^zz++++=EXTRAWORD
store ^nn++++=EXTRAWORD
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
steps ^nns++++=steps
in ^in++++=in
to ^to++++=to
watch ^vbi++++=watch.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
there ^ex+pex+++=there
comes ^vbz++++=comes
the ^ati++++=the
dog ^nn++++=dog!
! ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
going ^md"++pmd"++=going
to ^md+prd+++=to
be ^vbi+vbi+aux++=be
cut ^vb+++xvbn+=cut
out ^rp+pl+++=out
tonight ^nr+tm+++=tonight!
! ^zz++++=EXTRAWORD
Along ^in++++=Along
comes ^vbz++++=comes
the ^ati++++=the
little ^ap++++=little
dog ^nn++++=dog
pawing ^vwbg+++xvbg+=pawing
at ^rb++++=at
his ^pp$+pp3+++=his
muzzle ^nn++++=muzzle.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stops ^vbz++++=stops
in ^in++++=in
distress ^nns+nom+++=distress
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
the ^ati++++=the
cigar ^nn++++=cigar-store.
- ^zz++++=EXTRAWORD
store ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
People ^nns++++=People
pass ^vb++++=pass
and ^cc++++=and
pay ^nn++++=pay
no ^at++++=no
attention ^nn+nom+++=attention
to ^in++++=to
the ^ati++++=the
dog ^nn++++=dog
there ^rn+pl+++=there
on ^rp++++=on
the ^ati++++=the
sidewalk ^nn++++=sidewalk.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
in ^in++++=in
the ^ati++++=the
darkened ^jj+++xvbn+=darkened
theater ^jjr++++=theater
her ^pp$+pp3+++=her
hands ^nns++++=hands
go ^vb++++=go
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
door ^nn++++=door
has ^vbz+hvz+aux++=has
opened ^vprf+++xvbnx+=opened
and ^cc++++=and
she ^pp3a+pp3+++=she
sees ^vbz+vprv+tht0++=sees
her ^pp$+pp3+++=her
husband ^nn++++=husband!
! ^zz++++=EXTRAWORD
Howie ^np++++=Howie.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There.
. ^zz++++=EXTRAWORD
Moving ^vbg+++xvbg+=Moving
as ^ql++++=as
he ^pp3a+pp3+++=he
always ^rb++++=always
moved ^vbd+++xvbn+=moved!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
fights ^nns++++=fights
back ^jjb++++=back
the ^ati++++=the
tears ^nns++++=tears
that ^tht+rel+subj++=that
would ^md+prd+++=would
blur ^vb++++=blur
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
That ^cs+sub+++=That
dear ^uh++++=dear
familiar ^jj+atrb+++=familiar
way ^nn++++=way
he ^pp3a+pp3+++=he
moves ^vbz++++=moves!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
almost ^rb+hdg+++=almost
as ^cs+sub+++=as
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
could ^md+pos+++=could
step ^vb++++=step
up ^rp++++=up
and ^cc++++=and
meet ^vb++++=meet
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
could ^md+pos+++=could
walk ^vb++++=walk
away ^rp+pl+++=away
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
starts ^vbz++++=starts
to ^to++++=to
go ^vbi++++=go
the ^ati++++=the
other ^ap++++=other
way ^nn++++=way.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
sees ^vbz+vprv+++=sees
the ^ati++++=the
dog ^nn++++=dog.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
goes ^vbz++++=goes
up ^in+cmpx+++=up
to ^in"++++=to
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
speaking ^vbg+++xvbgx+=speaking
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
wanting ^vb+++xvbg+=wanting
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
what ^wdt+who+++=what
is ^vbz+bez+vrb++=is
the ^ati++++=the
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
can ^md+pos+++=can
fairly ^rb++splt++=fairly
hear ^vb+vprv+++=hear
the ^ati++++=the
warmth ^nn++++=warmth
and ^cc++++=and
kindness ^nns+nom+++=kindness
of ^in++++=of
his ^pp$+pp3+++=his
voice ^nn++++=voice
as ^ql++++=as
he ^pp3a+pp3+++=he
speaks ^vbz++++=speaks
to ^in++++=to
the ^ati++++=the
little ^ap++++=little
dog ^nn++++=dog.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
feels ^vbz+vprv+++=feels
of ^in++++=of
the ^ati++++=the
muzzle ^nn++++=muzzle
finds ^vbz+vprv+tht0++=finds
it ^pp3+it+++=it
too ^ql++++=too
tight ^jj++++=tight;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
lets ^vbz++++=lets
it ^pp3+it+++=it
out ^rp+pl+++=out
a ^at++++=a
notch ^nn++++=notch.
. ^zz++++=EXTRAWORD
Dear ^jj+atrb+++=Dear
Howie ^np++++=Howie.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
he ^pp3a+pp3+++=he
would ^md+prd+++=would
do ^vb+do+vrb++=do
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
