Speaking ^vbg+++xvbg+=SPEAKING
of ^in++++=of
Africa ^np++++=Africa.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
myself ^ppl+pp1+++=myself
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
arrived ^j+++xvbn+=arrived
at ^rb++++=at
the ^ati++++=the
coast ^nn++++=coast,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
catch ^vb++++=catch
the ^ati++++=the
first ^od++++=first
mail ^nn++++=mail-boat
- ^zz++++=EXTRAWORD
boat ^nn++++=EXTRAWORD
bound ^vwbn+++xvbn+=bound
for ^in++++=for
Liverpool ^np++++=Liverpool
and ^cc++++=and
then ^rn+tm+++=then
on ^in+cmpx+++=on
to ^in++++=to
America ^np++++=America.
. ^zz++++=EXTRAWORD
No ^at++++=No
I ^pp1a+pp1+++=I
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
even ^rb++++=even
wait ^vb++++=wait
for ^in++++=for
the ^ati++++=the
mail ^nn++++=mail-boat.
- ^zz++++=EXTRAWORD
boat ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
go ^vb++++=go
straight ^jj++++=straight
aboard ^in+pl+++=aboard
the ^ati++++=the
first ^rb++++=first
dirty ^jj+atrb+++=dirty
tramp ^nn++++=tramp
steamer ^np++++=steamer
that ^tht+rel+subj++=that
came ^vbd+++xvbn+=came
wallowing ^vbg+++xvbg+=wallowing
up ^rp++++=up
from ^in++++=from
the ^ati++++=the
south ^np+pl+++=south,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beat ^vb+++xvbn+=beat
it ^pp3+it+++=it
home ^nr++++=home.
. ^zz++++=EXTRAWORD
Home ^nr++++=Home!
! ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
needed ^vbd+++xvbnx+=needed!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
rest ^nn++++=rest,
, ^zz++++=EXTRAWORD
rest ^nn++++=rest
and ^cc++++=and
a ^at++++=a
white ^jj+atrb+++=white
man ^nn++++=man's
's ^vbz+bez+vrb++0=EXTRAWORD
big ^jj++++=big,
, ^zz++++=EXTRAWORD
crimson ^nn+++??+=crimson
drink ^vb++++=drink
in ^rb+phrv+++=in
a ^at++++=a
white ^jj+atrb+++=white
man ^nn++++=man's
's ^vbz+bez+vrb++0=EXTRAWORD
proper ^jj+atrb+++=proper
surroundings ^nns++++=surroundings
with ^in++++=with
white ^jj++++=white-aproned
- ^zz++++=EXTRAWORD
aproned ^jj+atrb++xvbn+=EXTRAWORD
saloonkeepers ^nns+nom+++=saloonkeepers
and ^cc++++=and
stolid ^jj+atrb+++=stolid
policemen ^nns++++=policemen
and ^cc++++=and,
, ^zz++++=EXTRAWORD
maybe ^rb+cnj+++=maybe,
, ^zz++++=EXTRAWORD
a ^at++++=a
night ^nn++++=night-court
- ^zz++++=EXTRAWORD
court ^nn++++=EXTRAWORD
magistrate ^nn+nom+++=magistrate
or ^cc++++=or
two ^cd++++=two
all ^abn++++=all
complete ^jj++++=complete.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
shut ^vpsv++agls+xvbnx+=shut
for ^in++++=for
a ^at++++=a
while ^cs+sub+++=while
from ^in++++=from
this ^dt+dem+++=this
stinking ^nvbg+++xvbg+=stinking,
, ^zz++++=EXTRAWORD
brooding ^nn++++=brooding,
, ^zz++++=EXTRAWORD
leering ^jj+atrb+++=leering
Africa ^np++++=Africa.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
America ^np++++=America,
, ^zz++++=EXTRAWORD
the ^ati++++=the
white ^jj+atrb+++=white
man ^nn++++=man's
's ^$++++=EXTRAWORD
land ^nn++++=land,
, ^zz++++=EXTRAWORD
the ^ati++++=the
white ^jj+atrb+++=white
man ^nn++++=man's
's ^$++++=EXTRAWORD
blessed ^vpsv++agls+xvbnx+=blessed,
, ^zz++++=EXTRAWORD
saving ^nvbg+++xvbg+=saving
vices ^nns++++=vices
and ^cc++++=and
prejudices ^nns++++=prejudices.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
I ^pp1a+pp1+++=I
longed ^vbd+++xvbnx+=longed
for ^in++++=for
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
longed ^j+++xvbn+=longed
for ^in++++=for
it ^pp3+it+++=it
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
a ^at++++=a
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
paddled ^vbd+++xvbnx+=paddled
down ^in++++=down
the ^ati++++=the
river ^nn++++=river!
! ^zz++++=EXTRAWORD
Of ^in++++=Of
home ^nr++++=home
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
of ^in++++=of
foolish ^jj+atrb+++=foolish
things ^nns++++=things
New ^jj+atrb+++=New
York ^np++++=York,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dear ^nn++++=dear,
, ^zz++++=EXTRAWORD
garish ^jj++++=garish
Fifth ^od++++=Fifth
Avenue ^npl++++=Avenue
all ^abn++++=all
agleam ^nn+++??+=agleam
with ^in++++=with
shop ^nn++++=shop
windows ^nns++++=windows
and ^cc++++=and
the ^ati++++=the
screaming ^jj+atrb++xvbg+=screaming
brasses ^nns+++??+=brasses
of ^in++++=of
passing ^xvbg+++xvbg+=passing
automobiles ^nns++++=automobiles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
soda ^nn++++=soda
place ^nn++++=place
around ^in++++=around
the ^ati++++=the
corner ^npl++++=corner
on ^in++++=on
Forty ^cd++++=Forty-second,
- ^zz++++=EXTRAWORD
second ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
night ^nn++++=night
boat ^nn++++=boat
to ^in++++=to
Boston ^np++++=Boston
and ^cc++++=and
a ^at++++=a
solid ^jj+atrb+++=solid
hour ^nn++++=hour
with ^in++++=with
the ^ati++++=the
ads ^nns+++??+=ads
in ^in++++=in
back ^in"++++=back
of ^in"++++=of
the ^ati++++=the
magazines ^nns++++=magazines.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
about ^rb++++=about
me ^pp1o+pp1+++=me
and ^cc++++=and
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
Africa ^np++++=Africa,
, ^zz++++=EXTRAWORD
putrid ^nn+++??+=putrid,
, ^zz++++=EXTRAWORD
acrid ^jj++++=acrid!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
gee ^np++++=gee!
! ^zz++++=EXTRAWORD
How ^wrb+who+++=How
I ^pp1a+pp1+++=I
hated ^vbd+++xvbnx+=hated
it ^pp3+it+++=it
hated ^vbd+++xvbn+=hated
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
pulled ^vbd+++xvbnx+=pulled
myself ^ppl+pp1+++=myself
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
Sure ^jj++++=Sure,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
quinine ^nn+++??+=quinine,
, ^zz++++=EXTRAWORD
more ^ql++++=more
Warburg ^np++++=Warburg's,
's, ^nn+++??+=EXTRAWORD
and ^cc++++=and
another ^dt++++=another
nip ^nn++++=nip
of ^in++++=of
the ^ati++++=the
stuff ^nn++++=stuff.
. ^zz++++=EXTRAWORD
Back ^jjb++++=Back
to ^in++++=to
the ^ati++++=the
paddle ^nn++++=paddle
with ^in++++=with
all ^abn++++=all
my ^pp$+pp1+++=my
strength ^nn++++=strength
and ^cc++++=and
the ^ati++++=the
canoe ^nn+++??+=canoe
flying ^vwbg+++xvbg+=flying
along ^in++++=along
like ^in++++=like
a ^at++++=a
sentient ^nn++++=sentient
being ^vwbg+beg++xvbg+=being.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
paddled ^vbd+++xvbnx+=paddled
as ^cs+sub+++=as
if ^cs+cnd+++=if
all ^rb++++=all
the ^ati++++=the
furies ^nps++++=furies
were ^vbd+bed+vrb++=were
after ^in++++=after
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
opened ^vbd+++xvbn+=opened
a ^at++++=a
tin ^nn++++=tin
at ^rb++++=at
random ^rb"++++=random,
, ^zz++++=EXTRAWORD
sneaked ^j+++xvbn+=sneaked
forty ^cd++++=forty
winks ^nns+++??+=winks
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
off ^in+pl+++=off
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
my ^pp$+pp1+++=my
hands ^nns++++=hands
were ^vbd+bed+vrb++=were
raw ^jj+pred+++=raw
and ^cc+phrs+++=and
blistered ^jj+++xvbn+=blistered,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
back ^jjb+atrb+++=back
sore ^nn++++=sore
and ^cc++++=and
strained ^vprf+++xvbn+=strained
till ^cs+sub+++=till
I ^pp1a+pp1+++=I
nearly ^rb+down+++=nearly
shrieked ^vbd+++xvbn+=shrieked,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
legs ^nns++++=legs
numb ^jj++++=numb
from ^in++++=from
the ^ati++++=the
knees ^nns++++=knees
down ^in+strn+++=down,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
eyes ^nns++++=eyes
red ^jj++++=red-rimmed
- ^zz++++=EXTRAWORD
rimmed ^jj++++=EXTRAWORD
and ^cc+phrs+++=and
smarting ^jj+++xvbg+=smarting
with ^in++++=with
watching ^xvbg+++xvbg+=watching
the ^ati++++=the
current ^nn++++=current.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
days ^nns++++=days.
. ^zz++++=EXTRAWORD
Four ^cd++++=Four.
. ^zz++++=EXTRAWORD
Five ^cd++++=Five
And ^cc++++=And
the ^ati++++=the
work ^nn++++=work!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
sweat ^nn++++=sweat!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
heat ^nn++++=heat!
! ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
heat ^nn++++=heat
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
universe ^nn++++=universe
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
gathered ^xvbn+++xvbn+=gathered
into ^in++++=into
a ^at++++=a
tight ^jj++++=tight,
, ^zz++++=EXTRAWORD
crimson ^nn+++??+=crimson
ball ^nn++++=ball
poised ^vbd+++xvbn+=poised
directly ^rb++++=directly
above ^rb++++=above
my ^pp$+pp1+++=my
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
kept ^vbd+++xvbnx+=kept
right ^jj++++=right
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
with ^in++++=with
always ^rb++++=always
the ^ati++++=the
picture ^nn++++=picture
of ^in++++=of
home ^nr++++=home
before ^in++++=before
my ^pp$+pp1+++=my
mind ^nn++++=mind's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
Home ^nr++++=Home,
, ^zz++++=EXTRAWORD
white ^jj+atrb+++=white
faces ^nns++++=faces,
, ^zz++++=EXTRAWORD
hundreds ^cds++++=hundreds
and ^cc++++=and
hundreds ^cds++++=hundreds
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
houses ^nns++++=houses
of ^in++++=of
stone ^nn++++=stone,
, ^zz++++=EXTRAWORD
paved ^jj+atrb++xvbn+=paved
streets ^nns++++=streets,
, ^zz++++=EXTRAWORD
a ^at++++=a
sun ^nn++++=sun
which ^whp+rel+subj++=which
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
maim ^jj+++??+=maim
and ^cc++++=and
kill ^nn++++=kill,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
dinner ^nn++++=dinner,
, ^zz++++=EXTRAWORD
plain ^nn++++=plain,
, ^zz++++=EXTRAWORD
clean ^jj++++=clean,
, ^zz++++=EXTRAWORD
as ^in++++=as
dinner ^nn++++=dinner
should ^md+nec+++=should
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
the ^ati++++=the
theater ^jjr++++=theater,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
over ^in++++=over
it ^pp3+it+++=it
all ^rb++++=all
the ^ati++++=the
sweet ^jj+atrb+++=sweet
home ^nr++++=home
scent ^nn++++=scent.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
sixth ^od++++=sixth
day ^nn++++=day,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
fell ^vbd+++xvbnx+=fell
in ^in++++=in
a ^at++++=a
faint ^nn++++=faint.
. ^zz++++=EXTRAWORD
Picked ^j+++xvbn+=Picked
myself ^ppl+pp1+++=myself
up ^rp++++=up
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
rescued ^j+++xvbn+=rescued
my ^pp$+pp1+++=my
paddle ^vb++++=paddle
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
about ^md"++pmd"++=about
to ^md+prd+++=to
float ^vb++++=float
away ^rp+pl+++=away
downstream ^rb+cnj+++=downstream,
, ^zz++++=EXTRAWORD
swallowed ^j+++xvbn+=swallowed
an ^at++++=an
opium ^nn++++=opium
pill ^nn++++=pill,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
called ^vbd+++xvbn+=called
myself ^ppl+pp1+++=myself
a ^at++++=a
fool ^nn++++=fool.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
last ^ap++++=last
helped ^jj+++xvbn+=helped
the ^ati++++=the
most ^ap+emph+++=most.
. ^zz++++=EXTRAWORD
At ^rb++++=At
all ^abn++++=all
events ^nns++++=events,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
off ^in+pl+++=off
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
weak ^jj++++=weak.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
conscious ^jj++++=conscious
of ^in++++=of
a ^at++++=a
sickening ^jj+atrb+++=sickening
sensation ^nn+nom+++=sensation
of ^in++++=of
nameless ^jj+atrb+++=nameless
horror ^nn++++=horror
and ^cc++++=and
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
afraid ^jj+pred+++=afraid
of ^in+strn+++=of?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Myself ^ppl+pp1+++=Myself.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
myself ^ppl+pp1+++=myself!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
afraid ^jj+pred+++=afraid
of ^in++++=of
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
Momentarily ^rb+cnj+++=Momentarily,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
crystallized ^vbd+++xvbnx+=crystallized
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Myself ^ppl+pp1+++=Myself
and ^cc++++=and
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
see ^vb+vprv+++=see
the ^ati++++=the
reason ^nn++++=reason
presently ^rb+tm+++=presently.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=THAT
day ^nn++++=day
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
get ^vb++++=get
into ^in+ppvb+++=into
a ^at++++=a
mangrove ^nn+++??+=mangrove
swamp ^nn++++=swamp;
; ^zz++++=EXTRAWORD
a ^at++++=a
thick ^jj+atrb+++=thick
and ^cc+phrs+++=and
oozy ^jj+atrb+++=oozy
one ^pn++++=one,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
spiky ^nn+++??+=spiky
orchids ^nns+++??+=orchids
coming ^vwbg+++xvbg+=coming
down ^rp++++=down
in ^in++++=in
a ^at++++=a
waxen ^jj+atrb+++=waxen,
, ^zz++++=EXTRAWORD
odorous ^jj+atrb+++=odorous
avalanche ^nn++++=avalanche,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^abn++++=all
sorts ^nns++++=sorts
of ^in++++=of
thorny ^jj+atrb+++=thorny
plants ^nns++++=plants
reaching ^vwbg+++xvbg+=reaching
down ^rp++++=down
and ^cc+phrs+++=and
out ^rp+pl+++=out
as ^cs+sub+++=as
if ^cs+cnd+++=if
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
rip ^vbi++++=rip
the ^ati++++=the
heart ^nn++++=heart
out ^rp+pl+++=out
of ^in++++=of
my ^pp$+pp1+++=my
body ^nn++++=body,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
impede ^vbi+++??+=impede
my ^pp$+pp1+++=my
progress ^nns+nom+++=progress,
, ^zz++++=EXTRAWORD
to ^to++++=to
keep ^vbi++++=keep
me ^pp1o+pp1+++=me
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
hands ^nns++++=hands
and ^cc++++=and
face ^nn++++=face
were ^vbd+bed+aux++=were
lacerated ^vpsv++agls+xvbnx+=lacerated,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
clothes ^nns++++=clothes
torn ^vbd+++xvbn+=torn,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
care ^nn++++=care.
. ^zz++++=EXTRAWORD
By ^in++++=By
main ^jjb+atrb+++=main
force ^nn++++=force,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
jerked ^vbd+++xvbnx+=jerked
the ^ati++++=the
canoe ^nn+++??+=canoe
free ^jj++++=free
and ^cc++++=and
was ^vbd+bedz+vrb++=was
off ^in+pl+++=off
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
whipping ^jj+++xvbg+=whipping
the ^ati++++=the
water ^nn++++=water
like ^in++++=like
a ^at++++=a
madman ^nn++++=madman;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
fear ^nn++++=fear,
, ^zz++++=EXTRAWORD
the ^ati++++=the
horror ^nn++++=horror,
, ^zz++++=EXTRAWORD
the ^ati++++=the
vague ^jj+atrb+++=vague
presentiment ^nn+nom+++=presentiment
always ^rb++++=always
growing ^jj+++xvbg+=growing!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
my ^pp$+pp1+++=my
hatred ^nn++++=hatred
of ^in++++=of
Africa ^np++++=Africa,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
nearly ^rb+down+++=nearly
choked ^jj+++xvbn+=choked
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
loneliness ^nns+nom+++=loneliness!
! ^zz++++=EXTRAWORD
The ^ati++++=The
loneliness ^nns+nom+++=loneliness
which ^whp+rel+obj++=which
lay ^jjb+++xvbn+=lay
across ^in+pl+++=across
my ^pp$+pp1+++=my
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
body ^nn++++=body,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
sodden ^jj+atrb+++=sodden
blanket ^nn++++=blanket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
fear ^vb++++=fear
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
would ^md+prd+++=would
never ^rb++splt++=never
reach ^vb++++=reach
home ^nr++++=home.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
lost ^vbd+++xvbnx+=lost
all ^abn++++=all
track ^npl++++=track
of ^in++++=of
time ^nn++++=time.
. ^zz++++=EXTRAWORD
A ^at++++=A
week ^nn++++=week
to ^to++++=to
make ^vbi++++=make
the ^ati++++=the
coast ^nn++++=coast,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
figured ^vprf+++xvbnx+=figured;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
here ^rn+pl+++=here
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
at ^rb++++=at
the ^ati++++=the
very ^ql+amp+++=very
least ^rbt++++=least
the ^ati++++=the
tenth ^od++++=tenth
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
still ^rb++++=still
my ^pp$+pp1+++=my
paddle ^nn++++=paddle
went ^vbd+++xvbn+=went,
, ^zz++++=EXTRAWORD
still ^rb++++=still
the ^ati++++=the
river ^npl++++=river
slid ^vbd+++xvbn+=slid
before ^rb++++=before
my ^pp$+pp1+++=my
eyes ^nns++++=eyes
like ^in++++=like
a ^at++++=a
watered ^jj+++xvbn+=watered-silk
- ^zz++++=EXTRAWORD
silk ^nn++++=EXTRAWORD
ribbon ^nn++++=ribbon,
, ^zz++++=EXTRAWORD
still ^rb+atrb+++=still
Africa ^np++++=Africa
unrolled ^vbd+++xvbn+=unrolled
like ^in++++=like
an ^at++++=an
odorous ^jj+atrb+++=odorous,
, ^zz++++=EXTRAWORD
meaningless ^jj+atrb+++=meaningless
scroll ^nn++++=scroll,
, ^zz++++=EXTRAWORD
still ^rb++++=still
at ^in++++=at
my ^pp$+pp1+++=my
back ^jjb++++=back
rode ^vbd+++xvbn+=rode
horror ^nn++++=horror
and ^cc++++=and
fear ^nn++++=fear.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
I ^pp1a+pp1+++=I
missed ^vbd+++xvbnx+=missed
the ^ati++++=the
main ^jjb++++=main
channel ^npl++++=channel,
, ^zz++++=EXTRAWORD
got ^j+++xvbn+=got
lost ^vbd+++xvbn+=lost
in ^in++++=in
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
numerous ^jj+atrb+++=numerous
smaller ^jjr+atrb+++=smaller
rivers ^nns++++=rivers
that ^tht+rel+++=that
empty ^jj++++=empty
into ^in++++=into
the ^ati++++=the
Ogowe ^np+++??+=Ogowe.
. ^zz++++=EXTRAWORD
At ^rb++++=At
all ^abn++++=all
events ^nns++++=events,
, ^zz++++=EXTRAWORD
late ^jj+atrb+++=late
one ^cd1++++=one
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv+tht0+xvbnx+=found
myself ^ppl+pp1+++=myself
in ^in++++=in
a ^at++++=a
narrow ^jj+atrb+++=narrow,
, ^zz++++=EXTRAWORD
trickly ^jj+atrb+++=trickly
stream ^nn++++=stream,
, ^zz++++=EXTRAWORD
with ^in++++=with
my ^pp$+pp1+++=my
paddle ^vb++++=paddle
touching ^jj+atrb++xvbg+=touching
ground ^nn++++=ground
every ^at++++=every
second ^od++++=second
stroke ^nn++++=stroke,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
banks ^nns++++=banks
to ^in++++=to
right ^jj++++=right
and ^cc++++=and
left ^vpsv++agls+xvbn+=left
like ^in++++=like
frowning ^xvbg+++xvbg+=frowning,
, ^zz++++=EXTRAWORD
sardonic ^jj+atrb+++=sardonic
walls ^nns++++=walls.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
river ^nn++++=river
any ^dti++++=any
more ^rbr++++=more
but ^cc+phrs+++=but
just ^rb+emph+++=just
a ^at++++=a
watery ^jj+atrb+++=watery
sort ^nn++++=sort
of ^in++++=of
jungle ^nn++++=jungle
trail ^nn++++=trail,
, ^zz++++=EXTRAWORD
hardly ^rb+down+++=hardly
discernible ^jj++++=discernible,
, ^zz++++=EXTRAWORD
wiped ^xvbn+++xvbn+=wiped
by ^in++++=by
the ^ati++++=the
poisonous ^jj+atrb+++=poisonous
breath ^nn++++=breath
of ^in++++=of
the ^ati++++=the
tropics ^nns++++=tropics
into ^in++++=into
a ^at++++=a
dim ^jj+atrb+++=dim,
, ^zz++++=EXTRAWORD
smelly ^jj+atrb+++=smelly
mire ^nn+++??+=mire
which ^whp+rel+subj++=which
frothed ^vbd+++xvbn+=frothed
and ^cc+phrs+++=and
bubbled ^vbd+++xvbn+=bubbled
and ^cc+phrs+++=and
sucked ^vbd+++xvbn+=sucked
and ^cc+phrs+++=and
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
reach ^vbi++++=reach
out ^rb+phrv+++=out
for ^in+ppvb+++=for
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
dared ^vbd+++xvbn+=dared
tread ^vb++++=tread
its ^pp$+it+++=its
foul ^jj+atrb+++=foul
solitude ^nn++++=solitude.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
pushed ^vbd+++xvbnx+=pushed
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
through ^in++++=through
an ^at++++=an
entangled ^jj+atrb++xvbn+=entangled,
, ^zz++++=EXTRAWORD
exuberant ^jj+atrb+++=exuberant
commingling ^nn+nom+++=commingling
of ^in++++=of
leaves ^nns++++=leaves
and ^cc++++=and
lasciviously ^jj+atrb+++=lasciviously
scented ^jj+atrb++xvbn+=scented,
, ^zz++++=EXTRAWORD
fantastic ^jj+atrb+++=fantastic
flowers ^nns+nom+++=flowers
that ^tht+rel+subj++=that
vaulted ^vbd+++xvbn+=vaulted
above ^rb++++=above
me ^pp1o+pp1+++=me
like ^in++++=like
an ^at++++=an
arch ^nn++++=arch,
, ^zz++++=EXTRAWORD
cutting ^nvbg+++xvbg+=cutting
my ^pp$+pp1+++=my
way ^nn++++=way
through ^in++++=through
the ^ati++++=the
mangrove ^nn+++??+=mangrove
that ^tht+rel+++=that
opened ^jj+++xvbn+=opened
before ^in++++=before
my ^pp$+pp1+++=my
canoe ^nn+++??+=canoe,
