Money ^nn++++=Money
" ^zz++++=EXTRAWORD
At ^rb++++=At
1 ^zz++++=1
o'clock ^rb++++=o'clock
when ^wrb+who+++=when
the ^ati++++=the
hod ^nn+++??+=hod-carriers
- ^zz++++=EXTRAWORD
carriers ^nns+nom+++=EXTRAWORD
were ^vbd+bed+aux++=were
making ^vbg+++xvbgx+=making
ready ^jj++++=ready
to ^to+jcmp+++=to
close ^vbi++++=close
up ^rp++++=up
the ^ati++++=the
front ^jjb++++=front
and ^cc++++=and
keep ^vb++++=keep
the ^ati++++=the
inside ^jjb++++=inside
open ^jj++++=open,
, ^zz++++=EXTRAWORD
a ^at++++=a
woman ^nn++++=woman
slips ^nns++++=slips
in ^in++++=in
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
the ^ati++++=the
restaurant ^nn+nom+++=restaurant
and ^cc++++=and
comes ^vbz++++=comes
up ^rp++++=up
to ^in++++=to
Old ^jj+atrb+++=Old
Jack ^np++++=Jack's
's ^$++++=EXTRAWORD
table ^nn++++=table.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You've
've ^vb+hv+aux++0=EXTRAWORD
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
kind ^nn++++=kind--black
-- ^--+clp+++=EXTRAWORD
black ^jj+atrb+++=EXTRAWORD
shawl ^nn++++=shawl,
, ^zz++++=EXTRAWORD
creepy ^nn+++??+=creepy
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
ragged ^jj+atrb+++=ragged
skirt ^nn++++=skirt,
, ^zz++++=EXTRAWORD
white ^jj+atrb+++=white
face ^nn++++=face,
, ^zz++++=EXTRAWORD
eyes ^nns++++=eyes
a ^at++++=a
cross ^nn++++=cross
between ^in++++=between
Gabriel ^np++++=Gabriel's
's ^$++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
sick ^jj+atrb+++=sick
kitten ^nn++++=kitten's--the
's--the ^nn+++??+=EXTRAWORD
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of
woman ^nn++++=woman
that ^tht+rel+subj++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
always ^rb++++=always
on ^in++++=on
the ^ati++++=the
lookout ^nn++++=lookout
for ^in++++=for
an ^at++++=an
automobile ^nn+++??+=automobile
or ^cc++++=or
the ^ati++++=the
mendicancy ^nn+++??+=mendicancy
squad ^nn++++=squad--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
she ^pp3a+pp3+++=she
stands ^vbz++++=stands
there ^rn+pl+++=there
without ^in++++=without
a ^at++++=a
word ^nn++++=word
and ^cc++++=and
looks ^nns++++=looks
at ^rb++++=at
the ^ati++++=the
money ^nn++++=money.
. ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
Jack ^np++++=Jack
gets ^vbz++++=gets
up ^rp++++=up,
, ^zz++++=EXTRAWORD
peels ^nns+++??+=peels
me ^pp1o+pp1+++=me
off ^in+pl+++=off
the ^ati++++=the
roll ^nn++++=roll
and ^cc++++=and
hands ^nns++++=hands
me ^pp1o+pp1+++=me
to ^in++++=to
her ^pp$+pp3+++=her
with ^in++++=with
a ^at++++=a
bow ^nn++++=bow.
. ^zz++++=EXTRAWORD
" ^zz++++="Madam,"
madam ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
like ^in++++=like
actors ^nns++++=actors
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
heard ^vprf+++xvbnx+=heard,
, ^zz++++=EXTRAWORD
" ^zz++++="here
here ^rn+pl+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
tainted ^jj+atrb++xvbn+=tainted
bill ^nn++++=bill.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
gambler ^nn++++=gambler.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
bill ^nn++++=bill
came ^vbd+++xvbn+=came
to ^in++++=to
me ^pp1o+pp1+++=me
to ^to++++=to-night
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
from ^in++++=from
a ^at++++=a
gentleman ^nn+nom+++=gentleman's
's ^$++++=EXTRAWORD
son ^nn++++=son.
. ^zz++++=EXTRAWORD
Where ^wrb+who+++=Where
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
it ^pp3+it+++=it
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
will ^md+prd+++=will
do ^vb+do+vrb++=do
me ^pp1o+pp1+++=me
the ^ati++++=the
favor ^nn++++=favor
to ^to++++=to
accept ^vbi+vprv+++=accept
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
yours ^pp$$++++=yours."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman
took ^vbd+++xvbn+=took
me ^pp1o+pp1+++=me
with ^in++++=with
a ^at++++=a
trembling ^jj+atrb++xvbg+=trembling
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="Sir,"
sir ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
counted ^vbd+++xvbnx+=counted
thousands ^cds++++=thousands
of ^in++++=of
this ^dt+dem+++=this
issue ^nn++++=issue
of ^in++++=of
bills ^nns++++=bills
into ^in++++=into
packages ^nns+nom+++=packages
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
virgin ^nn++++=virgin
from ^in++++=from
the ^ati++++=the
presses ^nns+nom++??+=presses.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
clerk ^nn++++=clerk
in ^in++++=in
the ^ati++++=the
Treasury ^np++++=Treasury
Department ^nn+nom+++=Department.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
an ^at++++=an
official ^jj++++=official
to ^to++++=to
whom ^whp+wpor+++=whom
I ^pp1a+pp1+++=I
owed ^vbd+++xvbnx+=owed
my ^pp$+pp1+++=my
position ^nn+nom+++=position.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
say ^vb+vpub+tht0++=say
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
tainted ^vpsv++agls+xvbnx+=tainted
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
only ^rb+down+++=only
knew ^vbd+vprv++xvbn+=knew--but
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+++=say
any ^dti++++=any
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
Thank ^vb++++=Thank
you ^pp2+pp2+++=you
with ^in++++=with
all ^abn++++=all
my ^pp$+pp1+++=my
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir--thank
-- ^--+clp+++=EXTRAWORD
thank ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you--thank
-- ^--+clp+++=EXTRAWORD
thank ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Where ^wrb+who+whq++=Where
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
suppose ^vb+vprv+++=suppose
that ^tht+vcmp+++=that
woman ^nn++++=woman
carried ^vbd+++xvbn+=carried
me ^pp1o+pp1+++=me
almost ^rb+hdg+++=almost
at ^in++++=at
a ^at++++=a
run ^nn+++xvbn+=run?
? ^zz++++=EXTRAWORD
To ^in++++=To
a ^at++++=a
bakery ^nn++++=bakery.
. ^zz++++=EXTRAWORD
Away ^in+pl+++=Away
from ^in"++++=from
Old ^jj+atrb+++=Old
Jack ^np++++=Jack
and ^cc++++=and
a ^at++++=a
sizzling ^nn+nom+++=sizzling
good ^jj+atrb+++=good
time ^nn++++=time
to ^in++++=to
a ^at++++=a
bakery ^nn++++=bakery.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
get ^vb++++=get
changed ^vbd+++xvbn+=changed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
does ^vbz+doz+vrb++=does
a ^at++++=a
Sheridan ^np+nom++??+=Sheridan-twenty-miles-away
- ^zz++++=EXTRAWORD
twenty ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
miles ^nns++++=EXTRAWORD
- ^zz++++=EXTRAWORD
away ^rp+pl+++=EXTRAWORD
with ^in++++=with
a ^at++++=a
dozen ^cd++++=dozen
rolls ^nns++++=rolls
and ^cc++++=and
a ^at++++=a
section ^nn+nom+++=section
of ^in++++=of
jelly ^nn++++=jelly
cake ^nn++++=cake
as ^in++++=as
big ^nn++++=big
as ^in++++=as
a ^at++++=a
turbine ^nn++++=turbine
water ^nn++++=water-wheel.
- ^zz++++=EXTRAWORD
wheel ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
I ^pp1a+pp1+++=I
lost ^vbd+++xvbnx+=lost
sight ^nn++++=sight
of ^in++++=of
her ^pp$+pp3+++=her
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
snowed ^vpsv++agls+xvbnx+=snowed
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
bakery ^nn++++=bakery,
, ^zz++++=EXTRAWORD
wondering ^vbg+++xvbg+=wondering
whether ^cs+who+++=whether
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
get ^vb++++=get
changed ^vbd+++xvbn+=changed
at ^rb++++=at
the ^ati++++=the
drug ^nn++++=drug
store ^nn++++=store
the ^ati++++=the
next ^ap++++=next
day ^nn++++=day
in ^in++++=in
an ^at++++=an
alum ^nn++++=alum
deal ^nn++++=deal
or ^cc++++=or
paid ^vpsv++agls+xvbn+=paid
over ^in++++=over
to ^in++++=to
the ^ati++++=the
cement ^nn++++=cement
works ^nns++++=works.
. ^zz++++=EXTRAWORD
A ^at++++=A
week ^nn++++=week
afterward ^rb++++=afterward
I ^pp1a+pp1+++=I
butted ^vbd+++xvbnx+=butted
up ^in+cmpx+++=up
against ^in"++++=against
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
one ^cd1++++=one-dollar
- ^zz++++=EXTRAWORD
dollar ^nn++++=EXTRAWORD
bills ^nns++++=bills
the ^ati++++=the
baker ^np++++=baker
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
the ^ati++++=the
woman ^nn++++=woman
for ^in++++=for
change ^nn++++=change.
. ^zz++++=EXTRAWORD
" ^zz++++="Hallo,
hallo ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
E ^zz++++=E
35039669 ^cd++++=35039669,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
" ^zz++++="weren't
were ^vbd+bed+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
in ^in++++=in
the ^ati++++=the
change ^nn++++=change
for ^in++++=for
me ^pp1o+pp1+++=me
in ^in++++=in
a ^at++++=a
bakery ^nn++++=bakery
last ^jj+atrb+++=last
Saturday ^nr++++=Saturday
night ^nn++++=night?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yep,"
yep ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
solitaire ^&fw++++=solitaire
in ^in++++=in
his ^pp$+pp3+++=his
free ^jj+atrb+++=free
and ^cc+phrs+++=and
easy ^jj+atrb+++=easy
style ^nn++++=style.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+whq++=EXTRAWORD
did ^vbd+dod+aux++=did
the ^ati++++=the
deal ^nn++++=deal
turn ^nn++++=turn
out ^rp+pl+++=out?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
blew ^vbd+++xvbnx+=blew
E ^zz++++=E
17051431 ^cd++++=17051431
for ^in++++=for
mills ^nns++++=mills
and ^cc++++=and
round ^in++++=round
steak ^nn++++=steak,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
one ^cd1++++=one-spot.
- ^zz++++=EXTRAWORD
spot ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
kept ^vbd+++xvbnx+=kept
me ^pp1o+pp1+++=me
till ^in++++=till
the ^ati++++=the
rent ^nn++++=rent
man ^nn++++=man
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
bum ^nn+++??+=bum
room ^nn++++=room
with ^in++++=with
a ^at++++=a
sick ^jj+atrb+++=sick
kid ^nn++++=kid
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi+vbi+aux++=have
seen ^vprf++tht0+xvbn+=seen
him ^pp3o+pp3+++=him
go ^vb++++=go
for ^in+ppvb+++=for
the ^ati++++=the
bread ^nn++++=bread
and ^cc++++=and
tincture ^nn+++??+=tincture
of ^in++++=of
formaldehyde ^nn+++??+=formaldehyde.
. ^zz++++=EXTRAWORD
Half ^abn++++=Half-starved,
- ^zz++++=EXTRAWORD
starved ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
prayed ^vbd+vsua++xvbnx+=prayed
some ^dti++++=some.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
stuck ^vbd+++xvbn+=stuck
up ^rp++++=up,
, ^zz++++=EXTRAWORD
tenner ^jjr++++=tenner.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
one ^cd1++++=one-spots
- ^zz++++=EXTRAWORD
spots ^nns++++=EXTRAWORD
hear ^vb+vprv+++=hear
ten ^cd++++=ten
prayers ^nns+nom+++=prayers,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
you ^pp2+pp2+++=you
hear ^vb+vprv+tht0++=hear
one ^pn++++=one.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
said ^vbd+vpub+tht0+xvbnx+=said
something ^pn++++=something
about ^in++++=about
' ^zz++++='who
who ^whp+who+++=EXTRAWORD
giveth ^vbz++++=giveth
to ^in++++=to
the ^ati++++=the
poor ^nn++++=poor.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
let ^vb++++0=let's
us ^pp1o+pp1+++=EXTRAWORD
cut ^vbd+++xvbn+=cut
out ^rp+pl+++=out
the ^ati++++=the
slum ^nn++++=slum
talk ^nn++++=talk.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
certainly ^rb++splt++=certainly
tired ^vpsv++agls+xvbnx+=tired
of ^in++++=of
the ^ati++++=the
company ^nn++++=company
that ^tht+rel+subj++=that
keeps ^vbz++++=keeps
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wish ^vb+vprv+tht0++=wish
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
big ^jj+pred+++=big
enough ^qlp++++=enough
to ^to++++=to
move ^vbi++++=move
in ^in++++=in
society ^nn++++=society
with ^in++++=with
you ^pp2+pp2+++=you
tainted ^vbd+++xvbn+=tainted
bills ^nns++++=bills."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Shut
shut ^vbd+++xvbn+=EXTRAWORD
up ^rp++++=up,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I;
; ^zz++++=EXTRAWORD
" ^zz++++="there's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
such ^abl++++=such
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
' ^zz++++='lendeth
lendeth ^vbz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
Lord ^npt++++=Lord'
' ^zz++++=EXTRAWORD
somewhere ^rb++++=somewhere
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
look ^vb++++=look
on ^in++++=on
my ^pp$+pp1+++=my
back ^jjb++++=back
and ^cc++++=and
read ^vb+vprv++xvbn+=read
what ^wdt+who+whcl++=what
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
there ^rn+pl+++=there."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
note ^nn++++=note
is ^vbz+bez+vrb++=is
a ^at++++=a
legal ^jj++++=legal
tender ^jj++++=tender
at ^rb++++=at
its ^pp$+it+++=its
face ^nn++++=face
value ^nn++++=value
for ^in++++=for
all ^abn++++=all
debts ^nns++++=debts
public ^jj++++=public
and ^cc+phrs+++=and
private ^jj++++=private."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
talk ^nn++++=talk
about ^in++++=about
tainted ^vbd+++xvbn+=tainted
money ^nn++++=money
makes ^vbz++++=makes
me ^pp1o+pp1+++=me
tired ^jj++++=tired,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
i ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
