With ^in++++=With
the ^ati++++=the
sacred ^jj+atrb+++=sacred
marks ^nns++++=marks
of ^in++++=of
toil ^nn++++=toil.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
we ^pp1a+pp1+++=we
looked ^vbd+++xvbn+=looked
into ^in+ppvb+++=into
each ^ppls++++=each
other's ^ppls++++=other's
eyes ^nns++++=eyes
for ^in++++=for
a ^at++++=a
long ^rb++++=long
while ^cs+sub+++=while.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh!
! ^zz++++=EXTRAWORD
what ^wdt+who+++=what
power ^nn++++=power
a ^at++++=a
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
eye ^nn++++=eye
has ^vbz+hvz+vrb++=has!
! ^zz++++=EXTRAWORD
How ^wrb+who+++=How
it ^pp3+it+++=it
agitates ^nns+nom+++=agitates
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
it ^pp3+it+++=it
invades ^vbz+++??+=invades
our ^pp$+pp1+++=our
very ^ql+amp+++=very
being ^nvbg+++xvbg+=being,
, ^zz++++=EXTRAWORD
takes ^vbz++++=takes
possession ^nn++++=possession
of ^in++++=of
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dominates ^nns+nom+++=dominates
us ^pp1o+pp1+++=us!
! ^zz++++=EXTRAWORD
How ^wrb+who+++=How
profound ^jj++++=profound
it ^pp3+it+++=it
seems ^vbz+seem+++=seems,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
full ^jj++++=full
of ^in++++=of
infinite ^jj+atrb+++=infinite
promises ^nns++++=promises!
! ^zz++++=EXTRAWORD
People ^nns++++=People
call ^vb++++=call
that ^dt+dem+++=that
looking ^vbg+++xvbg+=looking
into ^in+ppvb+++=into
each ^ppls++++=each
other's ^ppls++++=other's
souls ^nns++++=souls!
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh!
! ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
humbug ^nn++++=humbug!
! ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
we ^pp1a+pp1+++=we
could ^md+pos+++=could
see ^vb+vprv+++=see
into ^in++++=into
each ^ppls++++=each
other's ^ppls++++=other's
souls ^nns++++=souls,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
should ^md+nec+++=should
be ^vb+be+vrb++=be
more ^rbr++++=more
careful ^jj+pred+++=careful
of ^in++++=of
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
captivated ^vpsv++agls+xvbnx+=captivated
and ^cc++++=and
was ^vbd+bedz+vrb++=was
crazy ^jj+pred+++=crazy
about ^rb++++=about
her ^pp3o+pp3+++=her
and ^cc++++=and
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
take ^vbi++++=take
her ^pp$+pp3+++=her
into ^in++++=into
my ^pp$+pp1+++=my
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
' ^zz++++='Paws
paws ^nns+++??+=EXTRAWORD
off! ^nn+++??+=off!'.
'. ^nn+++??+=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
knelt ^vbd+++xvbnx+=knelt
down ^rp++++=down
and ^cc++++=and
opened ^vbd+++xvbn+=opened
my ^pp$+pp1+++=my
heart ^nn++++=heart
to ^in++++=to
her ^pp$+pp3+++=her
and ^cc++++=and
poured ^vbd+++xvbn+=poured
out ^rp+pl+++=out
all ^rb++++=all
the ^ati++++=the
affection ^nn+nom+++=affection
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
suffocating ^vbg+++xvbgx+=suffocating
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
seemed ^vbd+seem++xvbnx+=seemed
surprised ^vbd+++xvbn+=surprised
at ^rb++++=at
my ^pp$+pp1+++=my
change ^nn++++=change
of ^in++++=of
manner ^nn++++=manner
and ^cc++++=and
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
a ^at++++=a
sidelong ^jj+atrb+++=sidelong
glance ^nn++++=glance,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
' ^zz++++='Ah!
ah ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
so ^ql++++=so
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
the ^ati++++=the
way ^nn++++=way
women ^nns++++=women
make ^vb++++=make
a ^at++++=a
fool ^nn++++=fool
of ^in++++=of
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
old ^jj++++=old
fellow ^jjb++++=fellow!
! ^zz++++=EXTRAWORD
Very ^ql+amp+++=Very
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
will ^md+prd+++=will
see ^vb+vprv+++=see.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
love ^nn++++=love,
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
always ^rb++++=always
novices ^nns++++=novices,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
women ^nns++++=women
artful ^jj+atrb+++=artful
dealers ^nns+nom+++=dealers.
. ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
doubt ^nn++++=doubt
I ^pp1a+pp1+++=I
could ^md+pos+++=could
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
my ^pp$+pp1+++=my
own ^ap++++=own
stupidity ^nn+nom+++=stupidity
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
person ^nn++++=person,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
love ^nn++++=love,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
ideal ^nn++++=ideal.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
sentimental ^jj+pred+++=sentimental,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi+vbi+aux++=have
been ^vprf+ben+aux+xvbn+=been
using ^vbg+++xvbgx+=using
my ^pp$+pp1+++=my
time ^nn++++=time
to ^in++++=to
a ^at++++=a
better ^jjr+atrb+++=better
purpose ^nn++++=purpose.
. ^zz++++=EXTRAWORD
" ^zz++++="As
as ^ql++++=EXTRAWORD
soon ^rb+tm+++=soon
as ^ql++++=as
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
enough ^qlp++++=enough
of ^in++++=of
my ^pp$+pp1+++=my
declarations ^nns+nom+++=declarations
of ^in++++=of
affection ^nn+nom+++=affection,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
got ^vbd+++xvbnx+=got
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
returned ^vbd+++xvbn+=returned
to ^in++++=to
Saint ^nn++++=Saint-Cloud,
- ^zz++++=EXTRAWORD
cloud ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
leave ^nn++++=leave
her ^pp3o+pp3+++=her
until ^cs+sub+++=until
we ^pp1a+pp1+++=we
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
Paris ^vb++++=Paris;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
looked ^vprf+++xvbnx+=looked
so ^pn+emph+++=so
sad ^jj++++=sad
as ^ql++++=as
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
returning ^vbg+++xvbgx+=returning,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
at ^rb++++=at
last ^rb"++++=last
I ^pp1a+pp1+++=I
asked ^vbd+vsua+tht0+xvbnx+=asked
her ^pp$+pp3+++=her
what ^wdt+who+++=what
was ^vbd+bedz+vrb++=was
the ^ati++++=the
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
thinking ^vbg+++xvbgx+=thinking,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
replied ^vbd+vpub++xvbnx+=replied,
, ^zz++++=EXTRAWORD
' ^zz++++='that
that ^cs+sub+++=EXTRAWORD
this ^dt+pdem+++=this
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
days ^nns++++=days
of ^in++++=of
which ^whp+rel+pied++=which
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
but ^cc++++=but
few ^ap++++=few
in ^in++++=in
life ^nn++++=life.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
heart ^nn++++=heart
beat ^vbd+++xvbn+=beat
so ^ql++++=so
that ^cs+sub+++=that
it ^pp3+it+++=it
felt ^vbd+vprv++xvbn+=felt
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
would ^md+prd+++=would
break ^vb++++=break
my ^pp$+pp1+++=my
ribs ^nns++++=ribs.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
saw ^vbd+vprv+tht0+xvbnx+=saw
her ^pp$+pp3+++=her
on ^in++++=on
the ^ati++++=the
following ^jj+atrb++xvbg+=following
Sunday ^nr++++=Sunday,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
next ^ap++++=next
Sunday ^nr++++=Sunday,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
Sunday ^nr++++=Sunday.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
her ^pp$+pp3+++=her
to ^in++++=to
Bougival ^np+nom++??+=Bougival,
, ^zz++++=EXTRAWORD
Saint ^nn++++=Saint-Germain,
- ^zz++++=EXTRAWORD
germain ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Maisons ^np+++??+=Maisons-Lafitte,
- ^zz++++=EXTRAWORD
lafitte ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Poissy ^np+++??+=Poissy;
; ^zz++++=EXTRAWORD
to ^in++++=to
every ^at++++=every
suburban ^jj+atrb+++=suburban
resort ^nn++++=resort
of ^in++++=of
lovers ^nns++++=lovers.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
little ^ap++++=little
jade ^nn+++??+=jade,
, ^zz++++=EXTRAWORD
in ^in++++=in
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
pretended ^vb+++xvbn+=pretended
to ^to+vcmp+++=to
love ^vb++++=love
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
until ^in++++=until,
, ^zz++++=EXTRAWORD
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
altogether ^nn+nom+++=altogether
lost ^vbd+++xvbn+=lost
my ^pp$+pp1+++=my
head ^nn++++=head,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
three ^cd++++=three
months ^nns++++=months
later ^rbr+tm+++=later
I ^pp1a+pp1+++=I
married ^vbd+++xvbnx+=married
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
can ^md+pos+++=can
you ^pp2+pp2+++=you
expect ^vb+vprv+++=expect,
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
a ^at++++=a
man ^nn++++=man
is ^vbz+bez+vrb++=is
a ^at++++=a
clerk ^nn++++=clerk,
, ^zz++++=EXTRAWORD
living ^jj+++xvbg+=living
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
without ^in++++=without
any ^dti++++=any
relations ^nns+nom+++=relations,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
any ^dti++++=any
one ^cd1++++=one
to ^to++++=to
advise ^vbi+vpub+++=advise
him ^pp3o+pp3+++=him?
? ^zz++++=EXTRAWORD
One ^cd1++++=One
says ^vbz+vpub+++=says
to ^in+vcmp+++=to
one ^cd1++++=one's
's ^nns+bez+++0=EXTRAWORD
self ^nn++++=self:
: ^zz++++=EXTRAWORD
' ^zz++++='How
how ^wrb+who+++=EXTRAWORD
sweet ^jj+atrb+++=sweet
life ^nn++++=life
would ^md+prd+++=would
be ^vb+be+vrb++=be
with ^in++++=with
a ^at++++=a
wife ^nn++++=wife!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
so ^ql++++=so
one ^cd1++++=one
gets ^vbz++++=gets
married ^jj+++xvbn+=married
and ^cc++++=and
she ^pp3a+pp3+++=she
calls ^vbz++++=calls
you ^pp2+pp2+++=you
names ^nns++++=names
from ^in++++=from
morning ^nn++++=morning
till ^in++++=till
night ^nn++++=night,
, ^zz++++=EXTRAWORD
understands ^vbz++++=understands
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
knows ^vbz+vprv+tht0++=knows
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
chatters ^nns+nom+++=chatters
continually ^rb+cnj+++=continually,
, ^zz++++=EXTRAWORD
sings ^vbz++++=sings
the ^ati++++=the
song ^nn++++=song
of ^in++++=of
Musette ^np+nom++??+=Musette
at ^in++++=at
the ^ati++++=the,
, ^zz++++=EXTRAWORD
top ^jjb++++=top
of ^in++++=of
her ^pp$+pp3+++=her
voice ^nn++++=voice
( ^zz++++=(oh!
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
that ^dt+dem+++=that
song ^nn++++=song
of ^in++++=of
Musette ^np+nom++??+=Musette,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
tired ^jj+atrb++xvbn+=tired
one ^cd1++++=one
gets ^vbz++++=gets
of ^in++++=of
it! ^nn+++??+=it!);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
quarrels ^nns++++=quarrels
with ^in++++=with
the ^ati++++=the
charcoal ^nn+nom+++=charcoal
dealer ^nn++++=dealer,
, ^zz++++=EXTRAWORD
tells ^vbz++++=tells
the ^ati++++=the
janitor ^nn++++=janitor
all ^abn++++=all
her ^pp3o+pp3+++=her
domestic ^jj+atrb+++=domestic
details ^nns++++=details,
, ^zz++++=EXTRAWORD
confides ^nns+++??+=confides
all ^abn++++=all
the ^ati++++=the
secrets ^nns++++=secrets
of ^in++++=of
her ^pp$+pp3+++=her
bedroom ^nn++++=bedroom
to ^in++++=to
the ^ati++++=the
neighbor ^nn++++=neighbor's
's ^$++++=EXTRAWORD
servant ^nn+nom+++=servant,
, ^zz++++=EXTRAWORD
discusses ^vbz++++=discusses
her ^pp$+pp3+++=her
husband ^nn++++=husband
with ^in++++=with
the ^ati++++=the
tradespeople ^nn+++??+=tradespeople
and ^cc++++=and
has ^vbz+hvz+vrb++=has
her ^pp$+pp3+++=her
head ^jjb++++=head
so ^ql+emph+++=so
stuffed ^jj+++xvbn+=stuffed
with ^in++++=with
stupid ^jj+atrb+++=stupid
stories ^nns++++=stories,
, ^zz++++=EXTRAWORD
with ^in++++=with
idiotic ^jj+atrb+++=idiotic
superstitions ^nns+nom+++=superstitions,
, ^zz++++=EXTRAWORD
with ^in++++=with
extraordinary ^jj+atrb+++=extraordinary
ideas ^nns++++=ideas
and ^cc++++=and
monstrous ^jj+atrb+++=monstrous
prejudices ^nns++++=prejudices,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I--for
-- ^--+clp+++=EXTRAWORD
for ^in++++=EXTRAWORD
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
said ^vprf+++xvbnx+=said
applies ^vbz++++=applies
more ^rbr++++=more
particularly ^rb++++=particularly
to ^in++++=to
myself ^ppl+pp1+++=myself--shed
-- ^--+clp+++=EXTRAWORD
shed ^jj+atrb++xvbn+=EXTRAWORD
tears ^nns++++=tears
of ^in++++=of
discouragement ^nn+nom+++=discouragement
every ^at++++=every
time ^nn++++=time
I ^pp1a+pp1+++=I
talk ^nn++++=talk
to ^in++++=to
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stopped ^vbd+++xvbnx+=stopped,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
rather ^rb++++=rather
out ^rp+pl+++=out
of ^in++++=of
breath ^nn++++=breath
and ^cc++++=and
very ^ql+amp+++=very
much ^ap++++=much
moved ^jj+++xvbn+=moved,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
pity ^nn++++=pity
for ^in++++=for
this ^dt+dem+++=this
poor ^jj+atrb+++=poor,
, ^zz++++=EXTRAWORD
artless ^jj+atrb+++=artless
devil ^nn++++=devil,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
just ^rb+emph+splt++=just
going ^md"++pmd"++=going
to ^md+prd+++=to
give ^vb++++=give
him ^pp3o+pp3+++=him
some ^dti++++=some
sort ^nn++++=sort
of ^in++++=of
answer ^nn++++=answer,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
boat ^nn++++=boat
stopped ^vbd+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+vrb++=were
at ^in++++=at
Saint ^nn++++=Saint-Cloud.
- ^zz++++=EXTRAWORD
cloud ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
woman ^nn++++=woman
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
so ^ql+emph+++=so
taken ^jj+++xvbn+=taken
my ^pp$+pp1+++=my
fancy ^jj+atrb+++=fancy
rose ^nn+++xvbn+=rose
from ^in++++=from
her ^pp$+pp3+++=her
seat ^nn++++=seat
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
land ^vb++++=land.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
passed ^vbd+++xvbnx+=passed
close ^in+cmpx+++=close
to ^in"++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
a ^at++++=a
sidelong ^jj+atrb+++=sidelong
glance ^nn++++=glance
and ^cc++++=and
a ^at++++=a
furtive ^jj+atrb+++=furtive
smile ^nn++++=smile,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
those ^dt+pdem+++=those
smiles ^vbz++++=smiles
that ^dt+dem+++=that
drive ^nn++++=drive
you ^pp2+pp2+++=you
wild ^jj++++=wild.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
jumped ^vbd+++xvbnx+=jumped
on ^in++++=on
the ^ati++++=the
landing ^jj+++xvbg+=landing-stage.
- ^zz++++=EXTRAWORD
stage ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sprang ^vbd+++xvbnx+=sprang
forward ^rb+phrv+++=forward
to ^in+ppvb+++=to
follow ^vbi+vprv+tht0++=follow
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
my ^pp$+pp1+++=my
neighbor ^nn++++=neighbor
laid ^vbd+++xvbn+=laid
hold ^nn++++=hold
of ^in++++=of
my ^pp$+pp1+++=my
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shook ^vbd+++xvbnx+=shook
myself ^ppl+pp1+++=myself
loose ^jj++++=loose,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
whereupon ^cs+sub+++=whereupon
he ^pp3a+pp3+++=he
seized ^vbd+++xvbnx+=seized
the ^ati++++=the
skirt ^nn++++=skirt
of ^in++++=of
my ^pp$+pp1+++=my
coat ^nn++++=coat
and ^cc++++=and
pulled ^vbd+++xvbn+=pulled
me ^pp1o+pp1+++=me
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
exclaiming ^jj+++xvbg+=exclaiming:
: ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
shall ^md+prd+++=shall
not ^xnot++not++=not
go ^vb++++=go!
! ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
shall ^md+prd+++=shall
not ^xnot++not++=not
go ^vb++++=go!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
such ^abl++++=such
a ^at++++=a
loud ^jj+atrb+++=loud
voice ^nn++++=voice
that ^tht+rel+obj++=that
everybody ^pn++++=everybody
turned ^vbd+++xvbn+=turned
round ^rb+phrv+++=round
and ^cc++++=and
laughed ^vbd+++xvbn+=laughed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
remained ^vbd+++xvbnx+=remained
standing ^vbg+++xvbg+=standing
motionless ^jj++++=motionless
and ^cc+phrs+++=and
furious ^jj++++=furious,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
without ^in++++=without
venturing ^vb+++xvbg+=venturing
to ^to+vcmp+++=to
face ^vbi++++=face
scandal ^nn++++=scandal
and ^cc++++=and
ridicule ^nn++++=ridicule,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
steamboat ^nn++++=steamboat
started ^vbd+++xvbn+=started.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
woman ^nn++++=woman
on ^in++++=on
the ^ati++++=the
landing ^jj+++xvbg+=landing-stage
- ^zz++++=EXTRAWORD
stage ^nn++++=EXTRAWORD
looked ^vbd+++xvbn+=looked
at ^rb++++=at
me ^pp1o+pp1+++=me
as ^ql++++=as
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
off ^rb+phrv+++=off
with ^in+ppvb+++=with
an ^at++++=an
air ^nn++++=air
of ^in++++=of
disappointment ^nn+nom+++=disappointment,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
my ^pp$+pp1+++=my
persecutor ^nn++++=persecutor
rubbed ^vbd+++xvbn+=rubbed
his ^pp$+pp3+++=his
hands ^nns++++=hands
and ^cc++++=and
whispered ^vpsv++agls+xvbn+=whispered
to ^in++++=to
me ^pp1o+pp1+++=me:
: ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
acknowledge ^vb+vpub+++=acknowledge
that ^tht+vcmp+++=that
i ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
done ^vwbn+++xvbn+=done
you ^pp2+pp2+++=you
a ^at++++=a
great ^jj+atrb+++=great
service ^nn++++=service."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
