An ^at++++=An
? ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
of ^in++++=of
course. ^nn+++??+=course...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
no ^at++++=no
harm ^nn++++=harm
was ^vbd+bedz+aux++=was
done ^vpsv++agls+xvbnx+=done
to ^in++++=to
any ^dti++++=any
one ^pn++++=one
by ^in++++=by
my ^pp$+pp1+++=my
writing ^nvbg+++xvbg+=writing
to ^in++++=to
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
can ^md+pos+++=can
see.. ^vb+++??+=see..."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Pardon
pardon ^nn++++=EXTRAWORD
me ^pp1o+pp1+++=me--to
-- ^--+clp+++=EXTRAWORD
to ^to++++=EXTRAWORD
whom ^whp+wpor+++=whom?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="To
to ^in++++=EXTRAWORD
Boles ^np+++??+=Boles,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
he ^pp3a+pp3+++=he
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
exist ^vb++++=exist."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Alas!
alas ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
alas ^uh++++=alas!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
what ^wdt+who+++=what
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
does ^vbz+doz+vrb++=doesn't?
n't ^xnot++not++0=EXTRAWORD
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
exist ^vb++++=exist,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
might ^md+pos+++=might!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
write ^vb++++=write
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
looks ^vbz++++=looks
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
exist ^vb++++=exist.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Teresa--that ^np++++=Teresa--that's
's ^$++++=EXTRAWORD
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
replies ^vbz+vpub+++=replies
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
write ^vb++++=write
to ^in++++=to
him ^pp3o+pp3+++=him
again.. ^nn+++??+=again..."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
understood ^vbd+vprv++xvbnx+=understood
at ^rb++++=at
last ^rb"++++=last.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
so ^ql+emph+++=so
sick ^jj++++=sick,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
miserable ^jj++++=miserable,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
ashamed ^jj++++=ashamed,
, ^zz++++=EXTRAWORD
somehow ^rb++++=somehow.
. ^zz++++=EXTRAWORD
Alongside ^rb++++=Alongside
of ^in++++=of
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
three ^cd++++=three
yards ^nns++++=yards
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
lived ^j+++xvbn+=lived
a ^at++++=a
human ^jj+atrb+++=human
creature ^nn++++=creature
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
nobody ^pn++++=nobody
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
to ^to++++=to
treat ^vbi++++=treat
her ^pp$+pp3+++=her
kindly ^rb+cnj+++=kindly,
, ^zz++++=EXTRAWORD
affectionately ^rb+cnj+++=affectionately,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
human ^jj++++=human
being ^jj+++xvbg+=being
had ^vbd+hvd+aux++=had
invented ^vprf+++xvbnx+=invented
a ^at++++=a
friend ^nn++++=friend
for ^in++++=for
herself ^ppl+pp3+++=herself!
! ^zz++++=EXTRAWORD
" ^zz++++="Look,
look ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now!
! ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
wrote ^vbd+vprv++xvbn+=wrote
me ^pp1o+pp1+++=me
a ^at++++=a
letter ^nn++++=letter
to ^in++++=to
Boles ^np+++??+=Boles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
gave ^vbd+++xvbnx+=gave
it ^pp3+it+++=it
to ^in++++=to
some ^dti++++=some
one ^cd1++++=one
else ^rb+cnj+++=else
to ^to++++=to
read ^vbi+vprv+tht0+xvbn+=read
it ^pp3+it+++=it
to ^in++++=to
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
read ^vbd+vprv+tht0+xvbnx+=read
it ^pp3+it+++=it
to ^in++++=to
me ^pp1o+pp1+++=me
I ^pp1a+pp1+++=I
listened ^vbd+++xvbnx+=listened
and ^cc+phrs+++=and
fancied ^vbd+++xvbn+=fancied
that ^tht+vcmp+++=that
Boles ^np+++??+=Boles
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
asked ^vbd+vsua+tht0+xvbnx+=asked
you ^pp2+pp2+++=you
to ^to++++=to
write ^vbi++++=write
me ^pp1o+pp1+++=me
a ^at++++=a
letter ^nn++++=letter
from ^in++++=from
Boles ^np+++??+=Boles
to ^in++++=to
Teresa ^np++++=Teresa--that
-- ^--+clp+++=EXTRAWORD
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
to ^to++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
write ^vb++++=write
such ^abl++++=such
a ^at++++=a
letter ^nn++++=letter
for ^in++++=for
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
read ^vb+vprv++xvbn+=read
it ^pp3+it+++=it
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
quite ^rb++++=quite
sure ^jj++++=sure
that ^tht+jcmp+++=that
Boles ^np+++??+=Boles
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
life ^nn++++=life
grows ^vbz++++=grows
easier ^jjr++++=easier
for ^in++++=for
me ^pp1o+pp1+++=me
in ^rb++++=in
consequence ^nn+nom+++=consequence."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Deuce
deuce ^nn+++??+=EXTRAWORD
take ^vb++++=take
you ^pp2+pp2+++=you
for ^in++++=for
a ^at++++=a
blockhead ^nn+++??+=blockhead!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I
to ^in++++=to
myself ^ppl+pp1+++=myself
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
heard ^vbd+vprv+tht0+xvbnx+=heard
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
from ^in++++=from
thenceforth ^nn+++??+=thenceforth,
, ^zz++++=EXTRAWORD
regularly ^rb+cnj+++=regularly,
, ^zz++++=EXTRAWORD
twice ^rb++++=twice
a ^at++++=a
week ^nn++++=week,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wrote ^vbd+vprv++xvbnx+=wrote
a ^at++++=a
letter ^nn++++=letter
to ^in++++=to
Boles ^np+++??+=Boles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
answer ^nn++++=answer
from ^in++++=from
Boles ^np+++??+=Boles
to ^in++++=to
Teresa ^np++++=Teresa.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wrote ^vbd+vprv++xvbnx+=wrote
those ^dt+dem+++=those
answers ^nns+nom+++=answers
well. ^nn+++??+=well...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
listened ^j+++xvbn+=listened
to ^in++++=to
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wept ^vpsv++agls+xvbn+=wept
like ^in++++=like
anything ^pn++++=anything,
, ^zz++++=EXTRAWORD
roared ^j+++xvbn+=roared,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
bass ^np++++=bass
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
in ^in++++=in
return ^in"++++=return
for ^in"++++=for
my ^pp$+pp1+++=my
thus ^rb+cnj+++=thus
moving ^jj+++xvbg+=moving
her ^pp3o+pp3+++=her
to ^in++++=to
tears ^nns++++=tears
by ^in++++=by
real ^jj+atrb+++=real
letters ^nns+nom+++=letters
from ^in++++=from
the ^ati++++=the
imaginary ^jj+atrb+++=imaginary
Boles ^np+++??+=Boles,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
began ^vbd+++xvbnx+=began
to ^to++++=to
mend ^vbi++++=mend
the ^ati++++=the
holes ^nns++++=holes
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
in ^in++++=in
my ^pp$+pp1+++=my
socks ^nns++++=socks,
, ^zz++++=EXTRAWORD
shirts ^nns++++=shirts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
articles ^nns++++=articles
of ^in++++=of
clothing ^nn++++=clothing.
. ^zz++++=EXTRAWORD
Subsequently ^rb+cnj+++=Subsequently,
, ^zz++++=EXTRAWORD
about ^in++++=about
three ^cd++++=three
months ^nns++++=months
after ^cs+sub+++=after
this ^dt+dem+++=this
history ^nn++++=history
began ^vbd+++xvbn+=began,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
put ^vbd+++xvbnx+=put
her ^pp$+pp3+++=her
in ^in++++=in
prison ^nn++++=prison
for ^in++++=for
something ^pn++++=something
or ^cc++++=or
other ^ap++++=other.
. ^zz++++=EXTRAWORD
No ^at++++=No
doubt ^nn++++=doubt
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is
dead ^jj+pred+++=dead.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
acquaintance ^nn+nom+++=acquaintance
shook ^vbd+++xvbn+=shook
the ^ati++++=the
ash ^nn++++=ash
from ^in++++=from
his ^pp$+pp3+++=his
cigarette ^nn+nom+++=cigarette,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
pensively ^jj++++=pensively
up ^rp++++=up
at ^in++++=at
the ^ati++++=the
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
concluded ^vbd+vprv++xvbn+=concluded:
: ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
the ^ati++++=the
more ^rbr++++=more
a ^at++++=a
human ^jj+atrb+++=human
creature ^nn++++=creature
has ^vbz+hvz+aux++=has
tasted ^vprf+++xvbn+=tasted
of ^in++++=of
bitter ^jj+atrb+++=bitter
things ^nns++++=things
the ^ati++++=the
more ^ql++++=more
it ^pp3+it+++=it
hungers ^nns+nom+++=hungers
after ^in++++=after
the ^ati++++=the
sweet ^jj+atrb+++=sweet
things ^nns++++=things
of ^in++++=of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
we ^pp1a+pp1+++=we,
, ^zz++++=EXTRAWORD
wrapped ^j+++xvbn+=wrapped
round ^in++++=round
in ^in++++=in
the ^ati++++=the
rags ^nns++++=rags
of ^in++++=of
our ^pp$+pp1+++=our
virtues ^nns++++=virtues,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
regarding ^in++++=regarding
others ^aps++++=others
through ^in++++=through
the ^ati++++=the
mist ^nn++++=mist
of ^in++++=of
our ^pp$+pp1+++=our
self ^nn++++=self-sufficiency,
- ^zz++++=EXTRAWORD
sufficiency ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
persuaded ^vpsv++agls+xvbn+=persuaded
of ^in++++=of
our ^pp$+pp1+++=our
universal ^jj+atrb+++=universal
impeccability ^nn+nom+++=impeccability,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
understand ^vb+vprv+tht0++=understand
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
whole ^jj+atrb+++=whole
thing ^nn++++=thing
turns ^vbz++++=turns
out ^rb+phrv+++=out
pretty ^rb++++=pretty
stupidly ^rb++++=stupidly--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
very ^ql+amp+++=very
cruelly ^rb++++=cruelly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fallen ^vprf+++xvbn+=fallen
classes ^nns++++=classes,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
the ^ati++++=the
fallen ^vprf+++xvbn+=fallen
classes ^nns++++=classes,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
like ^vb++++=like
to ^to+vcmp+++=to
know ^vbi+vprv+++=know?
? ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
first ^rb++++=first
of ^in++++=of
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
people ^nns++++=people
with ^in++++=with
the ^ati++++=the
same ^ap++++=same
bones ^nns++++=bones,
, ^zz++++=EXTRAWORD
flesh ^nn++++=flesh,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
blood ^nn++++=blood
and ^cc++++=and
nerves ^nns++++=nerves
as ^cs+sub+++=as
ourselves ^ppls+pp1+++=ourselves.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
told ^vpsv++agls+xvbnx+=told
this ^dt+dem+++=this
day ^nn++++=day
after ^in++++=after
day ^nn++++=day
for ^in++++=for
ages ^nns++++=ages.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
we ^pp1a+pp1+++=we
actually ^rb+amp+++=actually
listen ^vb++++=listen--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
the ^ati++++=the
devil ^nn++++=devil
only ^rb+down+++=only
knows ^vbz+vprv+++=knows
how ^wrb+who+whcl++=how
hideous ^jj++++=hideous
the ^ati++++=the
whole ^jj+atrb+++=whole
thing ^nn++++=thing
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
are ^vb+ber+vrb++=are
we ^pp1a+pp1+++=we
completely ^rb+amp+++=completely
depraved ^jj++++=depraved
by ^in++++=by
the ^ati++++=the
loud ^jj++++=loud
sermonising ^jj+++xvbg+=sermonising
of ^in++++=of
humanism ^nn+nom+++=humanism?
? ^zz++++=EXTRAWORD
In ^in++++=In
reality ^nn+nom+++=reality,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
also ^rb++++=also
are ^vb+ber+aux++=are
fallen ^vprf+++xvbn+=fallen
folks ^nns++++=folks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
so ^ql++++=so
far ^rb+pl+++=far
as ^ql++++=as
I ^pp1a+pp1+++=I
can ^md+pos+++=can
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
deeply ^rb++++=deeply
fallen ^vprf+++xvbn+=fallen
into ^in+ppvb+++=into
the ^ati++++=the
abyss ^nn++++=abyss
of ^in++++=of
self ^nn++++=self-sufficiency
- ^zz++++=EXTRAWORD
sufficiency ^nn++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
conviction ^nn+nom+++=conviction
of ^in++++=of
our ^pp$+pp1+++=our
own ^ap++++=own
superiority ^nn+nom+++=superiority.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
enough ^dt++++=enough
of ^in++++=of
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
all ^abn++++=all
as ^ql++++=as
old ^jj++++=old
as ^in++++=as
the ^ati++++=the
hills ^nns++++=hills--so
-- ^--+clp+++=EXTRAWORD
so ^ql+emph+++=EXTRAWORD
old ^jj++++=old
that ^cs+sub+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
shame ^nn++++=shame
to ^to++++=to
speak ^vbi++++=speak
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Very ^ql+amp+++=Very
old ^jj++++=old
indeed ^rb++++=indeed--yes,
-- ^--+clp+++=EXTRAWORD
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is!
! ^zz++++=EXTRAWORD
