New ^jj+atrb+++=NEW
childhood ^nn+nom+++=childhood.
. ^zz++++=EXTRAWORD
" ^zz++++="Hush,
hush ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Emma ^np++++=Emma!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
man ^nn++++=man
kept ^vbd+++xvbn+=kept
saying ^vbg+++xvbg+=saying.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
be ^vb+be+vrb++=be
reasonable ^jj+pred+++=reasonable.
. ^zz++++=EXTRAWORD
Think ^vb+vprv+++=Think
of ^in++++=of
the ^ati++++=the
children ^nns++++=children.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They'll
'll ^md+prd+++0=EXTRAWORD
hear ^vb+vprv+++=hear
us ^pp1o+pp1+++=us."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
care ^nn++++=care
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They'll
'll ^md+prd+++0=EXTRAWORD
know ^vb+vprv+++=know
soon ^rb+tm+++=soon
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
God ^np++++=God
knows ^vbz+vprv+++=knows!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wish ^vb+vprv+tht0++=wish
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
under ^in++++=under
the ^ati++++=the
turf ^nn++++=turf!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Emma,
emma ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
be ^vb+be+vrb++=be
reasonable ^jj+pred+++=reasonable."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Reasonable!
reasonable ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
" ^zz++++="
The ^ati++++=The
child ^nn++++=child
was ^vbd+bedz+aux++=was
crying ^vbg+++xvbgx+=crying
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
The ^ati++++=The
father ^nn++++=father
came ^vbd+++xvbn+=came
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
first ^od++++=first
room ^nn++++=room,
, ^zz++++=EXTRAWORD
got ^j+++xvbn+=got
something ^pn++++=something
from ^in++++=from
his ^pp$+pp3+++=his
coat ^nn++++=coat
pocket ^nn++++=pocket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
took ^vbd+++xvbn+=took
it ^pp3+it+++=it
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
" ^zz++++="Nils,
nils ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
quite ^rb++++=quite
mad ^jj++++=mad,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
drive ^vbi++++=drive
me ^pp1o+pp1+++=me
mad ^jj++++=mad?
? ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
give ^vb++++=give
the ^ati++++=the
child ^nn++++=child
that ^tht+rel+subj++=that
rattle ^vb++++=rattle!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
be ^vb+be+vrb++=be
either ^dtx++++=either
mad ^jj++++=mad
or ^cc++++=or
a ^at++++=a
brute ^jjb++++=brute,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
nerves ^nns++++=nerves
in ^in++++=in
this ^dt+dem+++=this
state ^nn++++=state.
. ^zz++++=EXTRAWORD
Have ^vb+hv+vrb++=Haven't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
the ^ati++++=the
slightest ^jjt+atrb+++=slightest
consideration ^nn+nom+++=consideration
for ^in++++=for
" ^zz++++="
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
rattle ^vb++++=rattle,
, ^zz++++=EXTRAWORD
Emma ^np++++=Emma;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
doll ^nn++++=doll."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^rn+pl+++=EXTRAWORD
you ^pp2+pp2+++=you
go ^vb++++=go
again ^rb+tm+++=again!
! ^zz++++=EXTRAWORD
Flinging ^vbg+++xvbg+=Flinging
your ^pp$+pp2+++=your
money ^nn++++=money
away ^rp+pl+++=away
on ^in++++=on
rubbish ^nn++++=rubbish
that ^tht+rel+subj++=that'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
on ^in++++=on
the ^ati++++=the
dust ^nn++++=dust-heap
- ^zz++++=EXTRAWORD
heap ^nn++++=EXTRAWORD
to ^to++++=to-morrow,
- ^zz++++=EXTRAWORD
morrow ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
your ^pp$+pp2+++=your
poor ^jj+atrb+++=poor
wife ^nn++++=wife
slaving ^vwbg+++xvbg+=slaving
her ^pp3o+pp3+++=her
finger ^nn++++=finger-nails
- ^zz++++=EXTRAWORD
nails ^nns++++=EXTRAWORD
off ^in+pl+++=off
for ^in++++=for
you ^pp2+pp2+++=you
in ^in++++=in
this ^dt+dem+++=this
wretched ^jj+atrb+++=wretched
hole ^nn++++=hole,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
a ^at++++=a
decent ^jj+atrb+++=decent
rag ^nn++++=rag
to ^in++++=to
her ^pp$+pp3+++=her
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
Me ^pp1o+pp1+++=Me,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
clever ^jj+atrb+++=clever
wife ^nn++++=wife
that ^tht+rel+subj++=that
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
. ^zz++++=.
Light ^jj++++=Light
those ^dt+dem+++=those
candles ^nns++++=candles
and ^cc++++=and
bring ^vb++++=bring
me ^pp1o+pp1+++=me
a ^at++++=a
wet ^jj+atrb+++=wet
towel ^nn++++=towel
for ^in++++=for
my ^pp$+pp1+++=my
head ^nn++++=head.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
read ^vb+vprv++xvbn+=read
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
try ^nn++++=try
and ^cc++++=and
compose ^vb++++=compose
my ^pp$+pp1+++=my
nerves ^nns++++=nerves,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
can ^md+pos+++=can."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
father ^npt++++=father
returned ^vbd+++xvbn+=returned
to ^in++++=to
the ^ati++++=the
first ^od++++=first
room ^nn++++=room,
, ^zz++++=EXTRAWORD
the ^ati++++=the
boy ^nn++++=boy
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
up ^rp++++=up
in ^in++++=in
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
deathly ^jj+atrb+++=deathly
white ^nn++++=white.
. ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
sonny ^nn++++=sonny?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
father ^nn++++=father,
, ^zz++++=EXTRAWORD
bending ^nvbg+++xvbg+=bending
over ^rp++++=over
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
putting ^vbg+++xvbg+=putting
a ^at++++=a
hand ^nn++++=hand
to ^in++++=to
his ^pp$+pp3+++=his
back ^nn++++=back.
. ^zz++++=EXTRAWORD
" ^zz++++="Nothing,
nothing ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
father ^nn++++=father.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
all ^abn++++=all
right ^jj++++=right
directly ^rb++++=directly.
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
worry ^vb+vprv+++=worry,
, ^zz++++=EXTRAWORD
father ^nn++++=father."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
feel ^vb+vprv+++=feel
bad ^jj++++=bad,
, ^zz++++=EXTRAWORD
sonny ^nn++++=sonny?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
my ^pp$+pp1+++=my
head ^nn++++=head
and ^cc++++=and
stomach ^nn++++=stomach,
, ^zz++++=EXTRAWORD
father ^nn++++=father;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
all ^abn++++=all
right ^jj+atrb+++=right
d ^zz++++=d'rectly.
'rectly. ^nn++be+??+0=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
often ^rb++splt++=often
been ^vprf+ben+vrb+xvbnx+=been
that ^dt+dem+++=that
way ^nn++++=way."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
minute ^nn++++=minute
or ^cc++++=or
two ^cd++++=two
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
worse ^jjr+pred+++=worse.
. ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
God ^np++++=God's
's ^$++++=EXTRAWORD
sake ^nn++++=sake,
, ^zz++++=EXTRAWORD
Nils ^np+++??+=Nils,
, ^zz++++=EXTRAWORD
take ^vb++++=take
that ^dt+dem+++=that
boy ^nn++++=boy
into ^in++++=into
the ^ati++++=the
kitchen ^nn++++=kitchen,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
somewhere ^rb+cnj+++=somewhere,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
" ^zz++++="or
or ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
go ^vb++++=go
mad ^jj++++=mad.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
enough ^qlp++++=enough
to ^to++++=to
kill ^vbi++++=kill
a ^at++++=a
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
drive ^vbi++++=drive
me ^pp1o+pp1+++=me
into ^in++++=into
a ^at++++=a
lunatic ^jj+atrb+++=lunatic
asylum ^nn++++=asylum?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
feel ^vb+vprv+++=feel
better ^jjr++++=better
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
sonny ^nn++++=sonny?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
father ^nn++++=father.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ever ^rb++++=ever
so ^ql++++=so
much ^ap++++=much
better ^jjr++++=better,
, ^zz++++=EXTRAWORD
father ^nn++++=father,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
white ^jj++++=white
and ^cc+phrs+++=and
weak ^jj++++=weak.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
all ^abn++++=all
right ^jj++++=right
in ^in++++=in
a ^at++++=a
minute ^nn++++=minute,
, ^zz++++=EXTRAWORD
father ^nn++++=father."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
had ^vb+hv+vrb++=had
best ^jjt+atrb+++=best
sleep ^nn++++=sleep
on ^in++++=on
the ^ati++++=the
sofa ^nn++++=sofa
to ^to++++=to-night,
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sonny ^nn++++=sonny.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
cooler ^jjr++++=cooler
there ^rn+pl+++=there."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
father ^nn++++=father,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
rather ^rb++splt++=rather
stay ^vb++++=stay
here ^rn+pl+++=here;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
much ^ap++++=much
cooler ^jjr++++=cooler
now ^rn+tm+++=now."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
father ^npt++++=father
fixed ^vbd+++xvbn+=fixed
the ^ati++++=the
bed ^nn++++=bed
as ^in++++=as
comfortably ^rb++++=comfortably
as ^ql++++=as
he ^pp3a+pp3+++=he
could ^md+pos+++=could,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
the ^ati++++=the
boy ^nn++++=boy's
's ^$++++=EXTRAWORD
protest ^nn++++=protest,
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
his ^pp$+pp3+++=his
own ^ap++++=own
pillow ^nn++++=pillow
under ^in++++=under
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
a ^at++++=a
fire ^nn++++=fire
in ^in++++=in
the ^ati++++=the
kitchen ^nn++++=kitchen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hung ^vbd+++xvbn+=hung
the ^ati++++=the
kettle ^nn++++=kettle
and ^cc++++=and
a ^at++++=a
big ^jj+atrb+++=big
billy ^np++++=billy
of ^in++++=of
water ^nn++++=water
over ^in++++=over
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
haunted ^vpsv++by+xvbnx+=haunted
by ^in++++=by
recollections ^nns+nom+++=recollections
of ^in++++=of
convulsions ^nns++++=convulsions
amongst ^in++++=amongst
the ^ati++++=the
children ^nns++++=children
while ^cs+sub+++=while
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
teething ^nn++++=teething.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
off ^rb+phrv+++=off
his ^pp$+pp3+++=his
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
about ^md"++pmd"++=about
to ^md+prd+++=to
lie ^vb++++=lie
down ^rp++++=down
again ^rb+tm+++=again
when ^wrb+who+++=when
the ^ati++++=the
mother ^nn++++=mother
called ^vbd+++xvbn+=called
" ^zz++++="Nils,
nils ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Nils ^np+++??+=Nils,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you
made ^vbd+++xvbn+=made
a ^at++++=a
fire ^nn++++=fire?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Emma ^np++++=Emma."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
for ^in++++=for
God ^np++++=God's
's ^$++++=EXTRAWORD
sake ^nn++++=sake
make ^vb++++=make
me ^pp1o+pp1+++=me
a ^at++++=a
cup ^nn++++=cup
of ^in++++=of
tea ^nn++++=tea.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
have ^vb+hv+vrb++=have
it ^pp3+it+++=it
after ^in++++=after
all ^abn++++=all
this ^dt+pdem+++=this."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
hurried ^vbd+++xvbnx+=hurried
up ^rp++++=up
the ^ati++++=the
kettle ^nn++++=kettle
she ^pp3a+pp3+++=she
calling ^vbg+nom++xvbg+=calling
every ^at++++=every
few ^ap++++=few
minutes ^nns++++=minutes
to ^to++++=to
know ^vbi+vprv+++=know
if ^cs+cnd+++=if
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
kettle ^nn++++=kettle
was ^vbd+bedz+aux++=was
boiling ^nvbg+++xvbg+=boiling
yet ^rb++++=yet."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
her ^pp3o+pp3+++=her
a ^at++++=a
cup ^nn++++=cup
of ^in++++=of
tea ^nn++++=tea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
a ^at++++=a
second ^od++++=second.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
said ^vbd+vpub+tht0+xvbnx+=said
the ^ati++++=the
tea ^nn++++=tea
was ^vbd+bedz+vrb++=was
slush ^nn+++??+=slush,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
sweet ^jj++++=sweet
as ^ql++++=as
syrup ^nn++++=syrup,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
called ^vpsv++agls+xvbn+=called
for ^in+ppvb+++=for
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hot ^jj+atrb+++=hot
water ^nn++++=water.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+whq++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
feel ^vb+vprv+++=feel
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
sonny ^nn++++=sonny?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
as ^ql++++=as
he ^pp3a+pp3+++=he
lay ^vbd+++xvbnx+=lay
down ^rb+phrv+++=down
on ^in++++=on
the ^ati++++=the
sofa ^nn++++=sofa
once ^rb+tm+++=once
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
" ^zz++++="Much
much ^ap++++=EXTRAWORD
better ^jjr++++=better,
, ^zz++++=EXTRAWORD
father ^nn++++=father.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
put ^vb+++xvbn+=put
out ^rb+phrv+++=out
the ^ati++++=the
light ^nn++++=light
now ^rn+tm+++=now
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
like ^vb++++=like."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
father ^nn++++=father
blew ^vbd+++xvbn+=blew
out ^rp+pl+++=out
the ^ati++++=the
candle ^nn++++=candle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
settled ^vbd+++xvbn+=settled
back ^jjb++++=back
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
still ^rb++++=still
dressed ^vbd+++xvbn+=dressed,
, ^zz++++=EXTRAWORD
save ^vb++++=save
for ^in++++=for
his ^pp$+pp3+++=his
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
presently ^rb+tm+++=presently
the ^ati++++=the
small ^jj+atrb+++=small,
, ^zz++++=EXTRAWORD
weak ^jj+atrb+++=weak
hand ^nn++++=hand
sought ^vbd+++xvbn+=sought
the ^ati++++=the
hard ^jj++++=hard,
, ^zz++++=EXTRAWORD
strong ^jj++++=strong,
, ^zz++++=EXTRAWORD
horny ^nn+++??+=horny,
, ^zz++++=EXTRAWORD
knotted ^jj+atrb+++=knotted
one ^pn++++=one;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
they ^pp3a+pp3+++=they
lay ^vbd+++xvbnx+=lay,
, ^zz++++=EXTRAWORD
as ^ql++++=as
was ^vbd+bedz+vrb++=was
customary ^jj+pred+++=customary
with ^in++++=with
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
a ^at++++=a
while ^cs+sub+++=while
the ^ati++++=the
father ^nn++++=father
leaned ^vbd+++xvbn+=leaned
over ^in++++=over
a ^rb++++=a
little ^rb"++++=little
and ^cc++++=and
whispered ^jj+++xvbn+=whispered
" ^zz++++="Asleep,
asleep ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sonny ^nn++++=sonny?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
father ^nn++++=father."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Feel
feel ^vb+vprv+++=EXTRAWORD
bad ^jj++++=bad
again ^rb+tm+++=again?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
father ^nn++++=father."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Pause ^nn++++=Pause.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
thinking ^nvbg+++xvbg+=thinking
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
sonny ^nn++++=sonny?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nothing,
nothing ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
father ^nn++++=father."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
what ^wdt+who+++=what
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
worrying ^vbg+++xvbg+=worrying
about ^in+strn+++=about?
? ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nothing,
nothing ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
father ^nn++++=father,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
it ^pp3+it+++=it'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
a ^at++++=a
good ^jj++++=good
while ^cs+sub+++=while
yet ^rb++++=yet
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
grow ^vb++++=grow
up ^rp++++=up
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
father ^nn++++=father?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
father ^nn++++=father
lay ^vbd+++xvbn+=lay
silent ^jj++++=silent
and ^cc+phrs+++=and
troubled ^jj+++xvbn+=troubled
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
moments ^nns+nom+++=moments.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
ask ^vb++++=ask
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
question ^nn+nom+++=question
to ^to++++=to-night,
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sonny ^nn++++=sonny?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
you ^pp2+pp2+++=you'd
'd ^vbd+hvd+aux++0=EXTRAWORD
done ^vprf+++xvbnx+=done
with ^in++++=with
all ^abn++++=all
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
were ^vbd+bed+aux++=were
always ^rb++splt++=always
asking ^vbg+++xvbgx+=asking
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
question ^nn+nom+++=question
when ^wrb+who+++=when
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
a ^at++++=a
child ^nn++++=child.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+aux++0=EXTRAWORD
getting ^vbg+++xvbgx+=getting
too ^rb++++=too
old ^jj++++=old
for ^in++++=for
those ^dt+dem+++=those
foolish ^jj+atrb+++=foolish
fancies ^nns++++=fancies
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
have ^vb+hv+vrb++=have
you ^pp2+pp2+++=you
always ^rb++++=always
had ^vb+hv+vrb++=had
such ^abl++++=such
a ^at++++=a
horror ^nn++++=horror
of ^in++++=of
growing ^xvbg+++xvbg+=growing
up ^rp++++=up
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
man ^nn++++=man?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
father ^nn++++=father.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
always ^rb++++=always
had ^vb+hv+vrb++=had
funny ^jj+atrb+++=funny
thoughts ^nns++++=thoughts
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
father ^nn++++=father.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
used ^md"++pmd"++=used
to ^to++++=to
think ^vb+vprv+++=think
that ^tht+vcmp+++=that
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
