Everything ^pn++++=Everything
was ^vbd+bedz+vrb++=was
seven ^cd++++=seven
feet ^nns++++=feet
tall ^jj++++=tall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
boomed ^vbd+++xvbnx+=boomed
with ^in++++=with
importance ^nn+nom+++=importance,
, ^zz++++=EXTRAWORD
accomplishments ^nns+nom+++=accomplishments,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
joy ^nn++++=joy
of ^in++++=of
living ^xvbg+++xvbg+=living.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Duncan ^np++++=Duncan!
! ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Duncan ^np++++=Duncan!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
a ^at++++=a
joke ^nn++++=joke.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
doing ^vbg+++xvbg+=doing
here ^rn+pl+++=here?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
people ^nns++++=people
leave ^vb++++=leave.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
come ^vb++++=come
in ^in+strn+++=in!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We're
we ^pp1a+pp1+++=EXTRAWORD
're ^vb+ber+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
be ^vbi++vrb++=be
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
picture ^nn++++=picture
together ^nn+nom+++=together,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
shyly ^rb++++=shyly.
. ^zz++++=EXTRAWORD
" ^zz++++="Good!"
good ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Hitz ^np++++=Hitz
heartily ^rb++++=heartily.
. ^zz++++=EXTRAWORD
" ^zz++++="And,
and ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
that ^cs+sub+++=that
some ^dti++++=some
picture ^nn++++=picture?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
sure ^jj++++=sure
am ^vb+bem+aux++=am
honored ^vpsv++agls+xvbnx+=honored
to ^to++++=to
be ^vbi++vrb++=be
in ^in++++=in
it ^pp3+it+++=it
with ^in++++=with
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
me ^pp1o+pp1+++=me
tell ^vb++++=tell
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
honored ^vpsv++agls+xvbnx+=honored
to ^to++++=to
be ^vbi++vrb++=be
in ^in++++=in
it ^pp3+it+++=it
with ^in++++=with
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Without ^in++++=Without
women ^nns++++=women
like ^in++++=like
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
wonderful ^jj+atrb+++=wonderful
world ^nn++++=world
we ^pp1a+pp1+++=we've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
possible ^jj+pred+++=possible."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saluted ^vbd+++xvbnx+=saluted
her ^pp3o+pp3+++=her
and ^cc++++=and
moved ^vpsv++agls+xvbn+=moved
toward ^in++++=toward
the ^ati++++=the
door ^nn++++=door
that ^tht+rel+subj++=that
led ^vprf+++xvbn+=led
to ^in++++=to
the ^ati++++=the
delivery ^nn+nom+++=delivery
rooms ^nns++++=rooms.
. ^zz++++=EXTRAWORD
" ^zz++++="Guess
guess ^vb++++=EXTRAWORD
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
just ^rb+emph+splt++=just
born ^vpsv++agls+xvbnx+=born,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
ca ^np++++=can't,"
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Triplets!"
triplets ^nns+nom+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Triplets!"
triplets ^nns+nom+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
exclaiming ^vbg+++xvbgx+=exclaiming
over ^in++++=over
the ^ati++++=the
legal ^jj+atrb+++=legal
implications ^nns+nom+++=implications
of ^in++++=of
triplets ^nns+nom+++=triplets.
. ^zz++++=EXTRAWORD
The ^ati++++=The
law ^nn++++=law
said ^vbd+vpub++xvbn+=said
that ^tht+vcmp+++=that
no ^at++++=no
newborn ^vprf+++xvbn+=newborn
child ^nn++++=child
could ^md+pos+++=could
survive ^vb++++=survive
unless ^cs+cnd+++=unless
the ^ati++++=the
parents ^nns++++=parents
of ^in++++=of
the ^ati++++=the
child ^nn++++=child
could ^md+pos+++=could
find ^vb+vprv+++=find
someone ^pn++++=someone
who ^whp+who+++=who
would ^md+prd+++=would
volunteer ^nn+nom+++=volunteer
to ^to+vcmp+++=to
die ^vbi++++=die.
. ^zz++++=EXTRAWORD
Triplets ^nns+nom++??+=Triplets,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
all ^abn++++=all
to ^to++++=to
live ^vbi++++=live,
, ^zz++++=EXTRAWORD
called ^j+++xvbn+=called
for ^in++++=for
three ^cd++++=three
volunteers ^nns+nom+++=volunteers.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+vrb++=EXTRAWORD
the ^ati++++=the
parents ^nns++++=parents
have ^vb+hv+aux++=have
three ^cd++++=three
volunteers ^nns+nom+++=volunteers?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Leora ^np+++??+=Leora
Duncan ^np++++=Duncan.
. ^zz++++=EXTRAWORD
" ^zz++++="Last
last ^rb++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Hitz ^np++++=Hitz,
, ^zz++++=EXTRAWORD
" ^zz++++="they
they ^pp3a+pp3+++=EXTRAWORD
had ^vb+hv+vrb++=had
one ^pn++++=one,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
were ^vbd+bed+aux++=were
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
scrape ^vbi++++=scrape
another ^dt++++=another
two ^cd++++=two
up ^rp++++=up."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+tht0++=think
they ^pp3a+pp3+++=they
made ^vbd+++xvbnx+=made
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Nobody
nobody ^pn++++=EXTRAWORD
made ^vbd+++xvbn+=made
three ^cd++++=three
appointments ^nns+nom+++=appointments
with ^in++++=with
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
but ^cc++++=but
singles ^nns++++=singles
going ^vwbg+++xvbg+=going
through ^in++++=through
today ^nr+tm+++=today,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
somebody ^pn++++=somebody
called ^vbd+++xvbn+=called
in ^rb+phrv+++=in
after ^cs+sub+++=after
I ^pp1a+pp1+++=I
left ^vbd+++xvbnx+=left.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
name ^nn++++=name?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Wehling,"
wehling ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
waiting ^jj+atrb++xvbg+=waiting
father ^nn++++=father,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
up ^rp++++=up,
, ^zz++++=EXTRAWORD
red ^jj++++=red-eyed
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
and ^cc++++=and
frowzy ^nn+++??+=frowzy.
. ^zz++++=EXTRAWORD
" ^zz++++="Edward
edward ^np++++=EXTRAWORD
K ^zz++++=K.
. ^zz++++=EXTRAWORD
Wehling ^np+nom++??+=Wehling,
, ^zz++++=EXTRAWORD
Jr ^np+++??+=Jr.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
the ^ati++++=the
happy ^jj+atrb+++=happy
father ^nn++++=father-to-be."
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
be ^vb+be+vrb++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
raised ^vbd+++xvbnx+=raised
his ^pp$+pp3+++=his
right ^jj+atrb+++=right
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
at ^rb++++=at
a ^at++++=a
spot ^nn++++=spot
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
a ^at++++=a
hoarsely ^rb++++=hoarsely
wretched ^jj+atrb+++=wretched
chuckle ^nn++++=chuckle.
. ^zz++++=EXTRAWORD
" ^zz++++="Present,"
present ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wehling ^np+nom+++=Wehling,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Hitz ^np++++=Hitz,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
invisible ^jj+atrb+++=invisible
man ^nn++++=man,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Wehling ^np+nom++??+=Wehling.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
just ^rb+emph+++=just
phoned ^vbd+++xvbn+=phoned
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
your ^pp$+pp2+++=your
triplets ^nns+nom+++=triplets
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
born ^vpsv++agls+xvbnx+=born,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Hitz ^np++++=Hitz.
. ^zz++++=EXTRAWORD
" ^zz++++="They're
they ^pp3a+pp3+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
all ^abn++++=all
fine ^jj++++=fine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
is ^vbz+bez+vrb++=is
the ^ati++++=the
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
on ^in++++=on
my ^pp$+pp1+++=my
way ^nn++++=way
in ^in++++=in
to ^to++++=to
see ^vbi+vprv+++=see
them ^pp3o+pp3+++=them
now ^rn+tm+++=now."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Hooray,"
hooray ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Wehling ^np+nom++??+=Wehling
emptily ^jj++++=emptily.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
sound ^jj++++=sound
very ^ql+amp+++=very
happy ^jj++++=happy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Hitz ^np++++=Hitz.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
man ^nn++++=man
in ^in++++=in
my ^pp$+pp1+++=my
shoes ^nns++++=shoes
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
happy ^jj+pred+++=happy?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Wehling ^np+nom++??+=Wehling.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gestured ^vbd+++xvbnx+=gestured
with ^in++++=with
his ^pp$+pp3+++=his
hands ^nns++++=hands
to ^to++++=to
symbolize ^vbi++++=symbolize
care ^nn++++=care-free
- ^zz++++=EXTRAWORD
free ^jj+atrb+++=EXTRAWORD
simplicity ^nn+nom+++=simplicity.
. ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^md"++pmd"++=have
to ^md+nec+++=to
do ^vb++++=do
is ^vbz+bez+aux++=is
pick ^vb++++=pick
out ^rp+pl+++=out
which ^whp+who+++=which
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
triplets ^nns+nom+++=triplets
is ^vbz+bez+aux++=is
going ^md"++pmd"++=going
to ^md+prd+++=to
live ^vb++++=live,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
deliver ^vb++++=deliver
my ^pp$+pp1+++=my
maternal ^jj+atrb+++=maternal
grandfather ^nn+nom+++=grandfather
to ^in++++=to
the ^ati++++=the
Happy ^jj+atrb+++=Happy
Hooligan ^nn+nom+++=Hooligan,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
come ^vb++++=come
back ^jjb++++=back
here ^rn+pl+++=here
with ^in++++=with
a ^at++++=a
receipt ^nn++++=receipt."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Hitz ^np++++=Hitz
became ^vbd+++xvbn+=became
rather ^rb++++=rather
severe ^jj++++=severe
with ^in++++=with
Wehling ^np+nom++??+=Wehling,
, ^zz++++=EXTRAWORD
towered ^j+++xvbn+=towered
over ^rp++++=over
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+++=believe
in ^in++++=in
population ^nn+nom+++=population
control ^nn++++=control,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wehling ^np+nom+++=Wehling?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
perfectly ^rb+amp+++=perfectly
keen ^jj++++=keen,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Wehling ^np+nom++??+=Wehling
tautly ^jj++++=tautly.
. ^zz++++=EXTRAWORD
" ^zz++++="Would
would ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you
like ^vb++++=like
to ^to+vcmp+++=to
go ^vbi++++=go
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
good ^jj+atrb+++=good
old ^jj+atrb+++=old
days ^nns++++=days,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
population ^nn+nom+++=population
of ^in++++=of
the ^ati++++=the
Earth ^nn++++=Earth
was ^vbd+bedz+vrb++=was
twenty ^cd++++=twenty
billion ^cd++++=billion
about ^md"++pmd"++=about
to ^md+prd+++=to
become ^vb++++=become
forty ^cd++++=forty
billion ^cd++++=billion,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
eighty ^cd++++=eighty
billion ^cd++++=billion,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
sixty ^cd++++=sixty
billion ^cd++++=billion?
? ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
a ^at++++=a
drupelet ^nn+nom+++=drupelet
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wehling ^np+nom+++=Wehling?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Hitz ^np+++??+=Hitz.
. ^zz++++=EXTRAWORD
" ^zz++++="Nope,"
nope ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Wehling ^np+nom++??+=Wehling
sulkily ^rb++++=sulkily.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
drupelet ^nn+nom+++=drupelet,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wehling ^np+nom+++=Wehling,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
little ^ap++++=little
knobs ^nns+++??+=knobs,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
little ^jj+atrb+++=little
pulpy ^jj+atrb+++=pulpy
grains ^nns++++=grains
of ^in++++=of
a ^at++++=a
blackberry ^nn++++=blackberry,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Hitz ^np++++=Hitz.
. ^zz++++=EXTRAWORD
" ^zz++++="Without
without ^in++++=EXTRAWORD
population ^nn+nom+++=population
control ^nn++++=control,
, ^zz++++=EXTRAWORD
human ^jj+atrb+++=human
beings ^nns++++=beings
would ^md+prd+++=would
now ^rn+tm+++=now
be ^vb+be+aux++=be
packed ^vpsv++agls+xvbnx+=packed
on ^in++++=on
this ^dt+dem+++=this
surface ^nn++++=surface
of ^in++++=of
this ^dt+dem+++=this
old ^jj+atrb+++=old
planet ^nn++++=planet
like ^in++++=like
drupelets ^nns+nom+++=drupelets
on ^in++++=on
a ^at++++=a
blackberry ^nn++++=blackberry!
! ^zz++++=EXTRAWORD
Think ^vb+vprv+++=Think
of ^in++++=of
it ^pp3+it+++=it!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Wehling ^np+nom++??+=Wehling
continued ^vbd+++xvbn+=continued
to ^to++++=to
stare ^vbi++++=stare
at ^in++++=at
the ^ati++++=the
same ^ap++++=same
spot ^nn++++=spot
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
the ^ati++++=the
year ^nn++++=year
2000 ^cd++++=2000,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Hitz ^np++++=Hitz,
, ^zz++++=EXTRAWORD
" ^zz++++="before
before ^cs+sub+++=EXTRAWORD
scientists ^nns+nom+++=scientists
stepped ^vbd+++xvbn+=stepped
in ^in++++=in
and ^cc++++=and
laid ^xvbn+++xvbn+=laid
down ^rb+phrv+++=down
the ^ati++++=the
law ^nn++++=law,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
even ^cs+sub+++=even
enough ^qlp++++=enough
drinking ^vbg+++xvbg+=drinking
water ^nn++++=water
to ^to++++=to
go ^vbi++++=go
around ^rp++++=around,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nothing ^pn++++=nothing
to ^to++++=to
eat ^vbi++++=eat
but ^cc++++=but
sea ^nn++++=sea-weed
- ^zz++++=EXTRAWORD
weed ^nn++++=EXTRAWORD
and ^cc++++=and
still ^rb+atrb+++=still
people ^nns++++=people
insisted ^vbd+vpub++xvbn+=insisted
on ^in++++=on
their ^pp$+pp3+++=their
right ^nn++++=right
to ^to+ncmp+++=to
reproduce ^vbi++++=reproduce
like ^in++++=like
jackrabbits ^nns+++??+=jackrabbits.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
their ^pp$+pp3+++=their
right ^nn++++=right,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
to ^to++++=to
live ^vbi++++=live
forever ^rb++++=forever."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
those ^dt+dem+++=those
kids ^nns++++=kids,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Wehling ^np+nom++??+=Wehling
quietly ^rb++++=quietly.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
all ^abn++++=all
three ^cd++++=three
of ^in++++=of
them ^pp3o+pp3+++=them."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Hitz ^np++++=Hitz.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
only ^rb+down+++=only
human ^jj++++=human."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather
to ^to++++=to
die ^vbi++++=die,
, ^zz++++=EXTRAWORD
either ^dtx++++=either,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Wehling ^np+nom++??+=Wehling.
. ^zz++++=EXTRAWORD
" ^zz++++="Nobody's
nobody ^pn++++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
really ^rb+emph+++=really
happy ^jj++++=happy
about ^in++++=about
taking ^xvbg+++xvbg+=taking
a ^at++++=a
close ^jj++++=close
relative ^jj++++=relative
to ^in++++=to
the ^ati++++=the
Catbox ^np+++??+=Catbox,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Hitz ^np++++=Hitz
gently ^rb+cnj+++=gently,
, ^zz++++=EXTRAWORD
sympathetically ^rb++++=sympathetically.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wish ^vb+vprv+tht0++=wish
people ^nns++++=people
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
call ^vb++++=call
it ^pp3+it+++=it
that ^dt+pdem+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Leora ^np+++??+=Leora
Duncan ^np++++=Duncan.
. ^zz++++=EXTRAWORD
" ^zz++++="What?"
what ^wdt+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Hitz ^np++++=Hitz.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wish ^vb+vprv+tht0++=wish
people ^nns++++=people
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
call ^vb++++=call
it ^pp3+it+++=it
' ^zz++++='the
the ^ati++++=EXTRAWORD
