Hanrahan ^np+nom++??+=Hanrahan,
crying ^nvbg+++xvbg+=crying
from ^in++++=from
the ^ati++++=the
rafters ^nns+nom+++=rafters
or ^cc++++=or
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
flame ^nn++++=flame
on ^in++++=on
the ^ati++++=the
hearth ^nn++++=hearth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
times ^nns++++=times
the ^ati++++=the
whole ^jj+atrb+++=whole
house ^npl++++=house
was ^vbd+bedz+aux++=was
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
music ^nn++++=music
that ^tht+rel+subj++=that
went ^vbd+++xvbn+=went
through ^in++++=through
it ^pp3+it+++=it
like ^in++++=like
a ^at++++=a
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
after ^cs+sub+++=after
a ^at++++=a
while ^cs+sub+++=while
his ^pp$+pp3+++=his
weakness ^nns+nom+++=weakness
left ^vbd+++xvbn+=left
no ^at++++=no
place ^nn++++=place
for ^in++++=for
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
grew ^vbd+++xvbn+=grew
up ^rp++++=up
about ^rb++++=about
him ^pp3o+pp3+++=him
a ^at++++=a
great ^nn++++=great
silence ^nn+nom+++=silence
like ^in++++=like
the ^ati++++=the
silence ^nn+nom+++=silence
in ^in++++=in
the ^ati++++=the
heart ^nn++++=heart
of ^in++++=of
a ^at++++=a
lake ^nn++++=lake,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
came ^vbd+++xvbn+=came
through ^in++++=through
it ^pp3+it+++=it
like ^in++++=like
the ^ati++++=the
flame ^nn++++=flame
of ^in++++=of
a ^at++++=a
rushlight ^nn+++??+=rushlight
the ^ati++++=the
faint ^jj+atrb+++=faint
joyful ^jj+atrb+++=joyful
voices ^nns++++=voices
ever ^rb++++=ever
and ^cc+phrs+++=and
always ^rb++++=always.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
morning ^nn++++=morning
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
music ^nn++++=music
somewhere ^rb++++=somewhere
outside ^jjb++++=outside
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
the ^ati++++=the
day ^nn++++=day
passed ^vbd+++xvbn+=passed
it ^pp3+it+++=it
grew ^vbd+++xvbn+=grew
louder ^jjr++++=louder
and ^cc+phrs+++=and
louder ^jjr++++=louder
until ^cs+sub+++=until
it ^pp3+it+++=it
drowned ^vbd+++xvbn+=drowned
the ^ati++++=the
faint ^jj+atrb+++=faint
joyful ^jj+atrb+++=joyful
voices ^nns++++=voices,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
Winny ^np++++=Winny's
's ^$++++=EXTRAWORD
cry ^nn++++=cry
upon ^in++++=upon
the ^ati++++=the
hillside ^nn++++=hillside
at ^in++++=at
the ^ati++++=the
fall ^nn++++=fall
of ^in++++=of
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
About ^in++++=About
midnight ^nn++++=midnight
and ^cc++++=and
in ^in++++=in
a ^at++++=a
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
the ^ati++++=the
walls ^nns++++=walls
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
melt ^vbi++++=melt
away ^rp+pl+++=away
and ^cc++++=and
to ^to++++=to
leave ^vbi++++=leave
his ^pp$+pp3+++=his
bed ^nn++++=bed
floating ^vwbg+++xvbg+=floating
on ^in++++=on
a ^at++++=a
pale ^jj++++=pale
misty ^jj++++=misty
light ^jj++++=light
that ^dt+pdem+++=that
shone ^vbd+++xvbn+=shone
on ^in++++=on
every ^at++++=every
side ^nn++++=side
as ^in++++=as
far ^in"+pl+++=far
as ^in"++++=as
the ^ati++++=the
eye ^nn++++=eye
could ^md+pos+++=could
see ^vb+vprv+++=see;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^in++++=after
the ^ati++++=the
first ^rb++++=first
blinding ^jj++++=blinding
of ^in++++=of
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
full ^jj+pred+++=full
of ^in++++=of
great ^jj+atrb+++=great
shadowy ^jj+atrb+++=shadowy
figures ^nns++++=figures
rushing ^vwbg+++xvbg+=rushing
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time
the ^ati++++=the
music ^nn++++=music
came ^vbd+++xvbn+=came
very ^ql+amp+++=very
clearly ^rb++++=clearly
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
but ^cc++++=but
the ^ati++++=the
continual ^jj+atrb+++=continual
clashing ^nn++++=clashing
of ^in++++=of
swords ^nns++++=swords.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
after ^in++++=after
my ^pp$+pp1+++=my
death ^nn++++=death,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
' ^zz++++='and
and ^cc++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
very ^ap+amp+++=very
heart ^nn++++=heart
of ^in++++=of
the ^ati++++=the
music ^nn++++=music
of ^in++++=of
Heaven ^nn++++=Heaven.
. ^zz++++=EXTRAWORD
O ^zz++++=O
Cheruhim ^np+++??+=Cheruhim
and ^cc++++=and
Seraphim ^np+++??+=Seraphim,
, ^zz++++=EXTRAWORD
receive ^vb++++=receive
my ^pp$+pp1+++=my
soul ^nn++++=soul!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
At ^in++++=At
his ^pp$+pp3+++=his
cry ^nn++++=cry
the ^ati++++=the
light ^nn++++=light
where ^wrb+who+++=where
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
nearest ^jjt+pred+++=nearest
to ^in++++=to
him ^pp3o+pp3+++=him
filled ^vbd+++xvbn+=filled
with ^in++++=with
sparks ^nns++++=sparks
of ^in++++=of
yet ^rb++++=yet
brighter ^jjr++++=brighter
light ^jj++++=light,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
that ^tht+vcmp+++=that
these ^dt+pdem+++=these
were ^vbd+bed+vrb++=were
the ^ati++++=the
points ^nns++++=points
of ^in++++=of
swords ^nns++++=swords
turned ^vbd+++xvbn+=turned
towards ^in++++=towards
his ^pp$+pp3+++=his
heart ^nn++++=heart;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
a ^at++++=a
sudden ^jj+atrb+++=sudden
flame ^nn++++=flame,
, ^zz++++=EXTRAWORD
bright ^jj++++=bright
and ^cc+phrs+++=and
burning ^jj+++xvbg+=burning
like ^in++++=like
God ^np++++=God's
's ^$++++=EXTRAWORD
love ^nn++++=love
or ^cc++++=or
God ^np++++=God's
's ^$++++=EXTRAWORD
hate ^vb++++=hate,
, ^zz++++=EXTRAWORD
swept ^xvbn+++xvbn+=swept
over ^in++++=over
the ^ati++++=the
light ^nn++++=light
and ^cc++++=and
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
and ^cc++++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
in ^in++++=in
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
he ^pp3a+pp3+++=he
could ^md+pos+++=could
see ^vb+vprv+tht0++=see
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
for ^in++++=for
all ^rb++++=all
was ^vbd+bedz+vrb++=was
as ^ql++++=as
dark ^jj++++=dark
as ^cs+sub+++=as
if ^cs+cnd+++=if
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
black ^jj+atrb+++=black
bog ^nn++++=bog
earth ^nn++++=earth
about ^rb++++=about
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
all ^rb++++=all
of ^in++++=of
a ^at++++=a
sudden ^jj++++=sudden
the ^ati++++=the
fire ^nn++++=fire
blazed ^vbd+++xvbn+=blazed
up ^rp++++=up
as ^cs+sub+++=as
if ^cs+cnd+++=if
a ^at++++=a
wisp ^nn++++=wisp
of ^in++++=of
straw ^nn++++=straw
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
thrown ^vpsv++agls+xvbnx+=thrown
upon ^in++++=upon
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
as ^ql++++=as
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
the ^ati++++=the
light ^nn++++=light
was ^vbd+bedz+aux++=was
shining ^vbg+++xvbgx+=shining
on ^in++++=on
the ^ati++++=the
big ^nn++++=big
pot ^vb++++=pot
that ^dt+pdem+++=that
was ^vbd+bedz+aux++=was
hanging ^vbg+++xvbgx+=hanging
from ^in++++=from
a ^at++++=a
hook ^nn++++=hook,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
the ^ati++++=the
flat ^nn++++=flat
stone ^nn++++=stone
where ^wrb+who+++=where
Winny ^np+++??+=Winny
used ^md"++pmd"++=used
to ^to++++=to
bake ^vb++++=bake
a ^at++++=a
cake ^nn++++=cake
now ^rn+tm+++=now
and ^cc+phrs+++=and
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
the ^ati++++=the
long ^rb++++=long
rusty ^np++++=rusty
knife ^nn++++=knife
she ^pp3a+pp3+++=she
used ^md"++pmd"++=used
to ^to++++=to
be ^vbi+vbi+aux++=be
cutting ^vbg+++xvbgx+=cutting
the ^ati++++=the
roots ^nns++++=roots
of ^in++++=of
the ^ati++++=the
heather ^nn++++=heather
with ^in+strn+++=with,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
the ^ati++++=the
long ^nn++++=long
blackthorn ^vbd+++xvbn+=blackthorn
stick ^vb++++=stick
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
into ^in++++=into
the ^ati++++=the
house ^npl++++=house
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
those ^dt+dem+++=those
four ^cd++++=four
things ^nns++++=things,
, ^zz++++=EXTRAWORD
some ^dti++++=some
memory ^nn++++=memory
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
Hanrahan ^np+nom+++=Hanrahan's
's ^$++++=EXTRAWORD
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
strength ^nn++++=strength
came ^vbd+++xvbn+=came
back ^jjb++++=back
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
rose ^vbd+++xvbnx+=rose
sitting ^vbg+++xvbg+=sitting
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
very ^ql+amp+++=very
loud ^jj++++=loud
and ^cc+phrs+++=and
clear ^jj++++=clear:
: ^zz++++=EXTRAWORD
' ^zz++++='The
the ^ati++++=EXTRAWORD
Cauldron ^nn++++=Cauldron,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Stone ^nn++++=Stone,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Sword ^nn++++=Sword,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Spear ^nn++++=Spear.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
are ^vb+ber+aux++=are
they ^pp3a+pp3+++=they?
? ^zz++++=EXTRAWORD
Who ^whp+who+whq++=Who
do ^vb+do+aux++=do
they ^pp3a+pp3+++=they
belong ^vb++++=belong
to ^to++++=to?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
asked ^vprf+++xvbnx+=asked
the ^ati++++=the
question ^nn+nom+++=question
this ^dt+dem+++=this
time ^nn++++=time,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
fell ^vbd+++xvbnx+=fell
back ^jjb++++=back
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
weak ^jj++++=weak,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
breath ^nn++++=breath
going ^vwbg+++xvbg+=going
from ^in++++=from
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Winny ^np+++??+=Winny
Byrne ^np+++??+=Byrne,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
tending ^vbg+++xvbgx+=tending
the ^ati++++=the
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
over ^in++++=over
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
fixed ^vbd+++xvbn+=fixed
on ^in++++=on
the ^ati++++=the
bed ^nn++++=bed;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
faint ^nn++++=faint
laughing ^vwbg+++xvbg+=laughing
voices ^nns++++=voices
began ^vbd+++xvbn+=began
crying ^nvbg+++xvbg+=crying
out ^rp+pl+++=out
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
pale ^nn++++=pale
light ^jj++++=light,
, ^zz++++=EXTRAWORD
grey ^np++++=grey
like ^in++++=like
a ^at++++=a
wave ^nn++++=wave,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
creeping ^jj+++xvbg+=creeping
over ^in++++=over
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
from ^in++++=from
what ^wdt+who+++=what
secret ^jj+atrb+++=secret
world ^nn++++=world
it ^pp3+it+++=it
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv++xvbnx+=saw
Winny ^np++++=Winny's
's ^$++++=EXTRAWORD
withered ^jj+atrb++xvbn+=withered
face ^nn++++=face
and ^cc++++=and
her ^pp$+pp3+++=her
withered ^vbd+++xvbn+=withered
arms ^nns++++=arms
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
grey ^np++++=grey
like ^in++++=like
crumbled ^jj+atrb+++=crumbled
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
weak ^jj++++=weak
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
he ^pp3a+pp3+++=he
shrank ^vbd+++xvbnx+=shrank
back ^rp++++=back
farther ^rbr++++=farther
towards ^in++++=towards
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
there ^ex+pex+++=there
came ^vbd+++xvbn+=came
out ^rb+phrv+++=out
of ^in+ppvb+++=of
the ^ati++++=the
mud ^nn++++=mud-stiffened
- ^zz++++=EXTRAWORD
stiffened ^jj+atrb++xvbn+=EXTRAWORD
rags ^nns++++=rags
arms ^nns++++=arms
as ^ql++++=as
white ^np++++=white
and ^cc++++=and
as ^in++++=as
shadowy ^nn++++=shadowy
as ^in++++=as
the ^ati++++=the
foam ^nn++++=foam
on ^in++++=on
a ^at++++=a
river ^nn++++=river,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
put ^vpsv++agls+xvbnx+=put
about ^rb+phrv+++=about
his ^pp$+pp3+++=his
body ^nn++++=body,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
voice ^nn++++=voice
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
hear ^vb+vprv+++=hear
well ^jj+pred+++=well
but ^cs+sub+++=but
that ^cs"++++=that
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
come ^vbi++++=come
from ^in+ppvb+++=from
a ^at++++=a
long ^jj+atrb+++=long
way ^nn++++=way
off ^in+pl+++=off
said ^vb++++=said
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him
in ^in++++=in
a ^at++++=a
whisper ^nn++++=whisper:
: ^zz++++=EXTRAWORD
' ^zz++++='You
you ^pp2+pp2+++=EXTRAWORD
will ^md+prd+++=will
go ^vb++++=go
looking ^jj+++xvbg+=looking
for ^in++++=for
me ^pp1o+pp1+++=me
no ^at++++=no
more ^rbr++++=more
upon ^in++++=upon
the ^ati++++=the
breasts ^nns++++=breasts
of ^in++++=of
women ^nns++++=women.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Who
who ^whp+who+++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
lasting ^jj+atrb++xvbg+=lasting
people ^nns++++=people,
, ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
lasting ^nn++++=lasting
unwearied ^vbd+++xvbn+=unwearied
Voices ^nns++++=Voices,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
make ^nn++++=make
my ^pp$+pp1+++=my
dwelling ^nvbg+++xvbg+=dwelling
in ^in++++=in
the ^ati++++=the
broken ^jj+++xvbn+=broken
and ^cc++++=and
the ^ati++++=the
dying ^nvbg+++xvbg+=dying,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
those ^dt+dem+++=those
that ^dt+pdem+++=that
have ^vb+hv+aux++=have
lost ^vprf+++xvbnx+=lost
their ^pp$+pp3+++=their
wits ^nns++++=wits;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
looking ^jj+++xvbg+=looking
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
mine ^pp$$++++=mine
until ^cs+sub+++=until
the ^ati++++=the
whole ^jj+atrb+++=whole
world ^nn++++=world
is ^vbz+bez+aux++=is
burned ^vpsv++agls+xvbnx+=burned
out ^rp+pl+++=out
like ^in++++=like
a ^at++++=a
candle ^nn++++=candle
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
spent ^vpsv++agls+xvbnx+=spent.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
look ^vb++++=look
up ^rp++++=up
now ^rn+tm+++=now,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
' ^zz++++='for
for ^in++++=EXTRAWORD
the ^ati++++=the
wisps ^nns++++=wisps
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
for ^in++++=for
our ^pp$+pp1+++=our
wedding ^nn++++=wedding
are ^vb+ber+aux++=are
lighted ^vpsv++agls+xvbnx+=lighted.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv++xvbnx+=saw
then ^rn+tm+++=then
that ^cs+sub+++=that
the ^ati++++=the
house ^nn++++=house
was ^vbd+bedz+aux++=was
crowded ^vpsv++agls+xvbnx+=crowded
with ^in++++=with
pale ^jj+atrb+++=pale
shadowy ^jj+atrb+++=shadowy
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
every ^at++++=every
hand ^nn++++=hand
was ^vbd+bedz+aux++=was
holding ^vbg+vprv++xvbgx+=holding
what ^wdt+who+++=what
was ^vbd+bedz+vrb++=was
sometimes ^rb++++=sometimes
like ^in++++=like
a ^at++++=a
wisp ^nn++++=wisp
lighted ^vbd+++xvbn+=lighted
for ^in++++=for
a ^at++++=a
marriage ^nn+nom+++=marriage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb++++=sometimes
like ^in++++=like
a ^at++++=a
tall ^jj+atrb+++=tall
white ^jj+atrb+++=white
candle ^nn++++=candle
for ^in++++=for
the ^ati++++=the
dead ^nn++++=dead.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
sun ^nn++++=sun
rose ^vbd+++xvbn+=rose
on ^in++++=on
the ^ati++++=the
morning ^nn++++=morning
of ^in++++=of
the ^ati++++=the
morrow ^nn++++=morrow
Winny ^np+++??+=Winny
of ^in++++=of
the ^ati++++=the
Cross ^nn++++=Cross
Roads ^nns++++=Roads
rose ^vbd+++xvbn+=rose
up ^rp++++=up
from ^in++++=from
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
beside ^in+pl+++=beside
the ^ati++++=the
body ^nn++++=body,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
began ^vbd+++xvbn+=began
her ^pp$+pp3+++=her
begging ^vbg+++xvbg+=begging
from ^in++++=from
townland ^nn+++??+=townland
to ^in++++=to
townland ^nn+++??+=townland,
, ^zz++++=EXTRAWORD
singing ^vbg+++xvbg+=singing
the ^ati++++=the
same ^ap++++=same
song ^nn++++=song
as ^ql++++=as
she ^pp3a+pp3+++=she
walked ^vbd+++xvbnx+=walked,
, ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
beautiful ^jj+pred+++=beautiful,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
beautiful ^jj+pred+++=beautiful.
. ^zz++++=EXTRAWORD
The ^ati++++=The
birds ^nns++++=birds
in ^in++++=in
the ^ati++++=the
air ^nn++++=air,
, ^zz++++=EXTRAWORD
the ^ati++++=the
moths ^nns++++=moths
under ^in++++=under
the ^ati++++=the
leaves ^nns++++=leaves,
, ^zz++++=EXTRAWORD
the ^ati++++=the
flies ^nns++++=flies
over ^in++++=over
the ^ati++++=the
water ^nn++++=water
look ^vb++++=look
at ^rb++++=at
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Look ^vb++++=Look
at ^rb++++=at
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
perishing ^vbg+++xvbg+=perishing
woods ^npl++++=woods,
, ^zz++++=EXTRAWORD
for ^in++++=for
my ^pp$+pp1+++=my
body ^nn++++=body
will ^md+prd+++=will
be ^vb+be+aux++=be
shining ^vbg+++xvbgx+=shining
like ^in++++=like
the ^ati++++=the
lake ^nn++++=lake
water ^nn++++=water
after ^cs+sub+++=after
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
hurried ^vpsv++agls+xvbnx+=hurried
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
and ^cc++++=and
the ^ati++++=the
old ^jj+atrb+++=old
race ^nn++++=race
of ^in++++=of
men ^nns++++=men,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
race ^nn++++=race
of ^in++++=of
the ^ati++++=the
beasts ^nns++++=beasts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
race ^nn++++=race
of ^in++++=of
the ^ati++++=the
fish ^nn++++=fish,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
winged ^jj+atrb+++=winged
race ^nn++++=race,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
wearing ^vbg+++xvbgx+=wearing
away ^rp+pl+++=away
like ^in++++=like
a ^at++++=a
candle ^nn++++=candle
that ^tht+rel+subj++=that
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
burned ^vpsv++agls+xvbnx+=burned
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
laugh ^vb++++=laugh
out ^rp+pl+++=out
loud ^jj++++=loud,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
in ^in++++=in
my ^pp$+pp1+++=my
youth ^nn++++=youth.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
come ^vb++++=come
back ^jjb++++=back
that ^dt+dem+++=that
night ^nn++++=night
or ^cc++++=or
any ^dti++++=any
night ^nn++++=night
to ^in++++=to
the ^ati++++=the
cabin ^nn++++=cabin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
till ^in++++=till
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
two ^cd++++=two
days ^nns++++=days
that ^tht+rel+obj++=that
the ^ati++++=the
turf ^nn++++=turf
cutters ^nns+nom+++=cutters
going ^vwbg+++xvbg+=going
to ^in++++=to
the ^ati++++=the
bog ^nn++++=bog
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
body ^nn++++=body
of ^in++++=of
Red ^jj+atrb+++=Red
Owen ^np++++=Owen
Hanrahan ^np+nom++??+=Hanrahan,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gathered ^xvbn+++xvbn+=gathered
men ^nns++++=men
to ^to++++=to
wake ^vbi++++=wake
him ^pp3o+pp3+++=him
and ^cc++++=and
women ^nns++++=women
to ^in++++=to
keen ^jj++++=keen
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
a ^at++++=a
burying ^jj++++=burying
worthy ^jj++++=worthy
of ^in++++=of
so ^ql++++=so
great ^np++++=great
a ^at++++=a
poet ^nn++++=poet.
. ^zz++++=EXTRAWORD
